,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,accepted_answer_id,closed_date,closed_reason,locked_date,migrated_from
18,"['javascript', 'jquery', 'html', 'focus', 'selection']","{'account_id': 1156152, 'reputation': 16590, 'user_id': 1136709, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/a1cc91085ff58f273cce59129475c2b8?s=256&d=identicon&r=PG', 'display_name': 'Lucas', 'link': 'https://stackoverflow.com/users/1136709/lucas'}",True,36342,5,31,1665563919,1346140351,1495541395.0,12154954,CC BY-SA 3.0,https://stackoverflow.com/questions/12154954/how-to-make-element-not-lose-focus-when-button-is-pressed,How to make element not lose focus when button is pressed?,,43627784.0,,,,
19,"['javascript', 'jquery', 'html', 'css', 'google-chrome']","{'account_id': 50409, 'reputation': 9538, 'user_id': 150370, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/bc4cdaa1c25aa3868ec3bdd8b93dbe53?s=256&d=identicon&r=PG', 'display_name': 'German Latorre', 'link': 'https://stackoverflow.com/users/150370/german-latorre'}",True,194990,28,97,1665407427,1345455725,1345459380.0,12035400,CC BY-SA 3.0,https://stackoverflow.com/questions/12035400/how-can-i-remove-the-no-file-chosen-tooltip-from-a-file-input-in-chrome,How can I remove the &quot;No file chosen&quot; tooltip from a file input in Chrome?,,12035542.0,,,,
20,"['javascript', 'html']","{'account_id': 1323029, 'reputation': 1062, 'user_id': 1268427, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://i.stack.imgur.com/tOhmH.jpg?s=256&g=1', 'display_name': 'Abhinai', 'link': 'https://stackoverflow.com/users/1268427/abhinai'}",True,311824,2,3,1665263137,1344844930,1665263137.0,11930253,CC BY-SA 4.0,https://stackoverflow.com/questions/11930253/how-to-create-a-login-page-for-a-user-that-checks-their-password-on-the-client-s,How to create a login page for a user that checks their password on the client side,1382430779.0,11930310.0,,,,
21,"['html', 'css', 'background']","{'account_id': 1015954, 'reputation': 8956, 'user_id': 1027520, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/b1LDA.jpg?s=256&g=1', 'display_name': 'Prashobh', 'link': 'https://stackoverflow.com/users/1027520/prashobh'}",True,32572,5,11,1665035803,1343900997,1354824545.0,11774984,CC BY-SA 3.0,https://stackoverflow.com/questions/11774984/how-to-give-alt-and-title-for-background-image,How to give alt and title for background image?,1502929736.0,11775031.0,,,,
22,"['html', 'css', 'layout']","{'account_id': 1621125, 'reputation': 424, 'user_id': 1497645, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/829a683f5d991e17d4cca0453117d491?s=256&d=identicon&r=PG', 'display_name': 'Dubslow', 'link': 'https://stackoverflow.com/users/1497645/dubslow'}",True,19931,4,8,1664812065,1343843364,1664812065.0,11764743,CC BY-SA 4.0,https://stackoverflow.com/questions/11764743/forcing-one-element-below-another,Forcing one element below another?,,11764821.0,,,,
23,"['c#', 'html', 'ajax', 'visual-studio-2010']","{'account_id': 419285, 'reputation': 2908, 'user_id': 796368, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/835823a428b28d2eadf000680e067851?s=256&d=identicon&r=PG', 'display_name': 'geminiCoder', 'link': 'https://stackoverflow.com/users/796368/geminicoder'}",False,882,2,0,1664803502,1343915105,1343916102.0,11778775,CC BY-SA 3.0,https://stackoverflow.com/questions/11778775/unable-to-including-ajax-file,unable to including ajax file,,,,,,
24,"['html', 'css', 'text', 'alignment', 'margin']","{'account_id': 1743991, 'reputation': 161, 'user_id': 1594603, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/29a6bb348d04176b57c711457f04c684?s=256&d=identicon&r=PG', 'display_name': 'user1594603', 'link': 'https://stackoverflow.com/users/1594603/user1594603'}",True,30562,3,7,1664662710,1345144179,1664662669.0,11993870,CC BY-SA 4.0,https://stackoverflow.com/questions/11993870/css-code-to-margin-space-above-text-only-without-effecting-the-background,CSS code to margin space above text Only without effecting the background?,,11993891.0,,,,
25,"['html', 'css', 'checkbox', 'styles']","{'account_id': 204938, 'reputation': 29918, 'user_id': 453435, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/4pzzK.jpg?s=256&g=1', 'display_name': 'Ky -', 'link': 'https://stackoverflow.com/users/453435/ky'}",True,3701,4,6,1663874155,1345525249,,12048672,CC BY-SA 3.0,https://stackoverflow.com/questions/12048672/how-can-i-apply-styles-to-a-label-whose-checkbox-is-checked-using-only-css,How can I apply styles to a label whose checkbox is checked using only CSS?,,12048731.0,,,,
26,"['html', 'google-apps-script', 'web-applications']","{'account_id': 1800139, 'reputation': 23, 'user_id': 1638687, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7fdde7baf33d3f02f96b2aaa99283907?s=256&d=identicon&r=PG', 'display_name': 'LawCorredor', 'link': 'https://stackoverflow.com/users/1638687/lawcorredor'}",True,22238,2,0,1663212436,1346418732,1663212436.0,12216073,CC BY-SA 4.0,https://stackoverflow.com/questions/12216073/how-to-create-a-button-for-change-page,How to Create a button for change page?,,13477298.0,,,,
27,"['css', 'html', 'anchor']","{'account_id': 1268658, 'reputation': 13554, 'user_id': 1225413, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/d105577f903c79da270c4723020612bd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Akhil Jain', 'link': 'https://stackoverflow.com/users/1225413/akhil-jain'}",True,26822,2,21,1663006222,1344231178,,11822969,CC BY-SA 3.0,https://stackoverflow.com/questions/11822969/display-anchor-tag-to-full-width-as-a-button-in-html,display anchor tag to full width as a button in HTML?,,11851972.0,,,,
28,"['html', 'css', 'position', 'master-pages', 'parent-child']","{'user_type': 'does_not_exist', 'display_name': 'user557419'}",True,378957,15,261,1662721033,1345629881,1570271846.0,12070759,CC BY-SA 4.0,https://stackoverflow.com/questions/12070759/make-absolute-positioned-div-expand-parent-div-height,Make absolute positioned div expand parent div height,1566331884.0,12071017.0,,,,
29,"['html', 'css', 'paypal']","{'account_id': 1061863, 'reputation': 79, 'user_id': 1063290, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c006f1e098f02b6dde6029ac8fad33b7?s=256&d=identicon&r=PG', 'display_name': 'jpann', 'link': 'https://stackoverflow.com/users/1063290/jpann'}",False,9004,2,4,1662588030,1345564245,,12058635,CC BY-SA 3.0,https://stackoverflow.com/questions/12058635/html-css-paypal-button,HTML/CSS PayPal Button,1524961738.0,,,,,
30,"['html', 'jquery', 'math', 'html-select']","{'account_id': 1793311, 'reputation': 23, 'user_id': 1633267, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e6e7910b8a213b7fef368191e370076a?s=256&d=identicon&r=PG', 'display_name': 'Joe Baumgart', 'link': 'https://stackoverflow.com/users/1633267/joe-baumgart'}",True,1568,2,2,1662559952,1346246622,1662559952.0,12179009,CC BY-SA 4.0,https://stackoverflow.com/questions/12179009/change-price-with-jquery-through-option-rel,Change price with jquery through &lt;option rel=&quot;&quot;&gt;,,12179205.0,,,,
31,"['html', 'svg']","{'account_id': 6419, 'reputation': 13788, 'user_id': 10779, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/42910619ef3d550e37f7150caa0d94ff?s=256&d=identicon&r=PG', 'display_name': 'Patrick Klug', 'link': 'https://stackoverflow.com/users/10779/patrick-klug'}",True,23676,2,12,1662345843,1343801490,1343801900.0,11753485,CC BY-SA 3.0,https://stackoverflow.com/questions/11753485/set-img-src-to-dynamic-svg-element,set img.src to dynamic svg element,,11765731.0,,,,
32,"['javascript', 'html', 'jquery', 'jquery-plugins']","{'account_id': 1753724, 'reputation': 4133, 'user_id': 1602230, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/MsFPM.jpg?s=256&g=1', 'display_name': 'Sathish', 'link': 'https://stackoverflow.com/users/1602230/sathish'}",False,10856,3,4,1662332670,1345973724,1345974031.0,12129039,CC BY-SA 3.0,https://stackoverflow.com/questions/12129039/how-to-browse-for-folder-in-html-javascript-jquery,how to &quot;browse for folder&quot; in html/javaScript/Jquery,,,,,,
33,"['php', 'html']","{'account_id': 391006, 'reputation': 2423, 'user_id': 983887, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/3010a1a5f4fe12557384c2c0f8eb369c?s=256&d=identicon&r=PG', 'display_name': 'xing', 'link': 'https://stackoverflow.com/users/983887/xing'}",True,346742,6,226,1662143283,1345155539,1627435037.0,11996257,CC BY-SA 4.0,https://stackoverflow.com/questions/11996257/the-character-encoding-of-the-html-document-was-not-declared,The character encoding of the HTML document was not declared,1515038274.0,,,,,
34,"['html', 'sorting', 'internet-explorer', 'html-select']","{'account_id': 785078, 'reputation': 1089, 'user_id': 888280, 'user_type': 'registered', 'accept_rate': 39, 'profile_image': 'https://www.gravatar.com/avatar/495f0492d1aeb5ff23401437d0904fc6?s=256&d=identicon&r=PG', 'display_name': 'jeff', 'link': 'https://stackoverflow.com/users/888280/jeff'}",True,480,1,1,1662119268,1345646433,1662119268.0,12075617,CC BY-SA 4.0,https://stackoverflow.com/questions/12075617/html-select-options-ordered-by-value-in-ie,html select options ordered by value in ie,,,,,,
35,"['html', 'css']","{'account_id': 968170, 'reputation': 2245, 'user_id': 991234, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/b48e4c549a62ba9a6972d3a78cee0dc8?s=256&d=identicon&r=PG', 'display_name': 'Joshua', 'link': 'https://stackoverflow.com/users/991234/joshua'}",True,180060,9,32,1661960181,1344441424,1344441747.0,11868474,CC BY-SA 3.0,https://stackoverflow.com/questions/11868474/how-to-make-the-web-page-height-to-fit-screen-height,How to make the web page height to fit screen height,,11868708.0,,,,
36,"['javascript', 'html', 'dom-events']","{'account_id': 1197335, 'reputation': 1042, 'user_id': 1168764, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://www.gravatar.com/avatar/0f67465b28b24e6ae93119136bdb967d?s=256&d=identicon&r=PG', 'display_name': 'Max', 'link': 'https://stackoverflow.com/users/1168764/max'}",True,231,1,0,1661880252,1344428717,1661880252.0,11864484,CC BY-SA 4.0,https://stackoverflow.com/questions/11864484/suspend-javascript-keydown-event,Suspend JavaScript keydown event,,,,,,
37,"['javascript', 'html', 'dom-events']","{'account_id': 477780, 'reputation': 3693, 'user_id': 889475, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/a7ed6a241a88e87de11fae105303a888?s=256&d=identicon&r=PG', 'display_name': 'HashimR', 'link': 'https://stackoverflow.com/users/889475/hashimr'}",True,1126,1,1,1661880220,1344489585,1661880220.0,11877220,CC BY-SA 4.0,https://stackoverflow.com/questions/11877220/capture-url-change-event-through-javascript,Capture URL change event through JavaScript,,,,,,
38,"['javascript', 'html', 'dom-events']","{'account_id': 905340, 'reputation': 534, 'user_id': 940361, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/bdf37b02d5153078cdbf42f180def8b9?s=256&d=identicon&r=PG', 'display_name': 'Ollie', 'link': 'https://stackoverflow.com/users/940361/ollie'}",False,2226,1,2,1661880189,1344697156,1661880189.0,11915731,CC BY-SA 4.0,https://stackoverflow.com/questions/11915731/updating-date-with-javascript,Updating date with JavaScript,,,,,,
39,"['javascript', 'html', 'dom-events']","{'account_id': 1738776, 'reputation': 503, 'user_id': 1590751, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/9cbec822059e327732086af467f03fae?s=256&d=identicon&r=PG', 'display_name': 'Alex C', 'link': 'https://stackoverflow.com/users/1590751/alex-c'}",False,70,0,0,1661852487,1344979148,1661852487.0,11960903,CC BY-SA 4.0,https://stackoverflow.com/questions/11960903/navigating-to-part-of-a-div-after-unhiding,Navigating to part of a div after unhiding,,,,,,
40,"['javascript', 'html', 'dom-events']","{'account_id': 1368478, 'reputation': 5414, 'user_id': 1304357, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/a46682a4c090149db5c399519335c331?s=256&d=identicon&r=PG', 'display_name': 'tawheed', 'link': 'https://stackoverflow.com/users/1304357/tawheed'}",True,304,3,1,1661852423,1345142221,1661852423.0,11993392,CC BY-SA 4.0,https://stackoverflow.com/questions/11993392/check-and-uncheck-boxes-in-javascript,Check and uncheck boxes in JavaScript,,11993428.0,,,,
41,"['javascript', 'html', 'dom-events']","{'account_id': 159543, 'reputation': 69694, 'user_id': 379008, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/Labo5.png?s=256&g=1', 'display_name': 'GibboK', 'link': 'https://stackoverflow.com/users/379008/gibbok'}",True,300,3,1,1661852363,1345815862,1661852363.0,12110645,CC BY-SA 4.0,https://stackoverflow.com/questions/12110645/how-to-call-some-javascript-from-an-html-buttons,How to call some JavaScript from an HTML Buttons,,12110778.0,,,,
42,"['javascript', 'html', 'dom-events']","{'account_id': 914328, 'reputation': 4038, 'user_id': 947473, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/8bf6f5a03b923767e74c129b2215b04c?s=256&d=identicon&r=PG', 'display_name': 'Sami Al-Subhi', 'link': 'https://stackoverflow.com/users/947473/sami-al-subhi'}",True,126,3,1,1661845166,1345897222,1661845166.0,12121897,CC BY-SA 4.0,https://stackoverflow.com/questions/12121897/making-a-javascript-code-works-with-any-element,Making a JavaScript code works with any element,,12122114.0,,,,
43,"['javascript', 'html', 'dom-events']","{'account_id': 914328, 'reputation': 4038, 'user_id': 947473, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/8bf6f5a03b923767e74c129b2215b04c?s=256&d=identicon&r=PG', 'display_name': 'Sami Al-Subhi', 'link': 'https://stackoverflow.com/users/947473/sami-al-subhi'}",True,109,2,0,1661845139,1345964688,1661845139.0,12128271,CC BY-SA 4.0,https://stackoverflow.com/questions/12128271/a-bug-in-a-javascript,A bug in a JavaScript,,12128369.0,,,,
44,"['javascript', 'html', 'dom-events']","{'account_id': 1325502, 'reputation': 777, 'user_id': 1270405, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/4b6aeb5e4ac611feeddeefe38cdf5d4a?s=256&d=identicon&r=PG', 'display_name': 'CRS', 'link': 'https://stackoverflow.com/users/1270405/crs'}",True,240,2,0,1661845076,1346002828,1661845076.0,12132404,CC BY-SA 4.0,https://stackoverflow.com/questions/12132404/beginner-javascript-trying-to-use-event-keys,Beginner JavaScript trying to use event keys,,12133125.0,,,,
45,"['javascript', 'html']","{'account_id': 1791319, 'reputation': 231, 'user_id': 1631651, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/94722d0c0bc733e6d386b04539778a35?s=256&d=identicon&r=PG', 'display_name': 'user1631651', 'link': 'https://stackoverflow.com/users/1631651/user1631651'}",False,3788,2,3,1661811019,1346194606,1661811019.0,12168707,CC BY-SA 4.0,https://stackoverflow.com/questions/12168707/html-textbox-which-accepts-phonenumbers-and-has-a-displays-in-us-phone-number-fo,HTML Textbox which accepts phonenumbers and has a displays in us phone number format,,,,,,
46,"['html', 'css', 'styling']","{'account_id': 1244787, 'reputation': 69, 'user_id': 1206479, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/52b97f9d60eba89d19e814523fe372b3?s=256&d=identicon&r=PG', 'display_name': 'user1206479', 'link': 'https://stackoverflow.com/users/1206479/user1206479'}",True,13048,5,6,1661749850,1343974252,1343974718.0,11790214,CC BY-SA 3.0,https://stackoverflow.com/questions/11790214/does-anyone-know-how-to-add-superscripts-in-the-option-tag-of-select,Does anyone know how to add superscripts in the option tag of &lt;select&gt;,,,,,,
47,"['c#', 'html', 'html-agility-pack']","{'account_id': 1505704, 'reputation': 2687, 'user_id': 1409113, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/06e7b0ec615bdcf058e88581cbbf6027?s=256&d=identicon&r=PG', 'display_name': 'Gene S', 'link': 'https://stackoverflow.com/users/1409113/gene-s'}",True,14462,3,5,1661605022,1345580675,1544024628.0,12062495,CC BY-SA 4.0,https://stackoverflow.com/questions/12062495/better-way-to-add-a-style-attribute-to-html-using-htmlagilitypack,Better way to add a style attribute to Html using HtmlAgilityPack,,12073769.0,,,,
48,"['javascript', 'html', 'dom-events']","{'account_id': 1635895, 'reputation': 10819, 'user_id': 1509401, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/HiLe4.jpg?s=256&g=1', 'display_name': 'thank_you', 'link': 'https://stackoverflow.com/users/1509401/thank-you'}",True,14126,2,2,1661586178,1344398705,1661586178.0,11857524,CC BY-SA 4.0,https://stackoverflow.com/questions/11857524/basic-example-of-initkeyboardevent,Basic example of initKeyboardEvent,,11857825.0,,,,
49,"['html', 'css', 'distance', 'units-of-measurement']","{'user_type': 'does_not_exist', 'display_name': 'user1218247'}",True,268423,10,513,1661560374,1344009565,1633355854.0,11799236,,https://stackoverflow.com/questions/11799236/should-i-use-px-or-rem-value-units-in-my-css,Should I use px or rem value units in my CSS?,1447988359.0,11803273.0,1587050083.0,Opinion-based,,
