,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,migrated_from,closed_date,closed_reason,locked_date,community_owned_date
10,"['javascript', 'html']","{'account_id': 465354, 'reputation': 1961, 'user_id': 869380, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/a48731528e03a5b45eaa6555df623817?s=256&d=identicon&r=PG', 'display_name': 'Sachin J', 'link': 'https://stackoverflow.com/users/869380/sachin-j'}",True,175203,8938185.0,6,121,1665928162,1327044933,1510020732.0,8938124,CC BY-SA 3.0,https://stackoverflow.com/questions/8938124/how-to-filter-input-type-file-dialog-by-specific-file-type,How to filter input type=&quot;file&quot; dialog by specific file type?,,,,,,
11,"['javascript', 'html', 'dom', 'include']","{'account_id': 981663, 'reputation': 16947, 'user_id': 1001224, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/URqvo.jpg?s=256&g=1', 'display_name': 'lolo', 'link': 'https://stackoverflow.com/users/1001224/lolo'}",True,1946620,9003363.0,41,773,1665797101,1327416676,1592256812.0,8988855,CC BY-SA 4.0,https://stackoverflow.com/questions/8988855/include-another-html-file-in-a-html-file,Include another HTML file in a HTML file,1423758180.0,,,,,
12,"['html', 'search', 'meta-tags']","{'account_id': 93462, 'reputation': 1516, 'user_id': 255682, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/y6evm.jpg?s=256&g=1', 'display_name': 'DarrylGodden', 'link': 'https://stackoverflow.com/users/255682/darrylgodden'}",True,869,8909426.0,1,0,1665554209,1326879254,1665554209.0,8907895,CC BY-SA 4.0,https://stackoverflow.com/questions/8907895/google-yahoo-bing-meta-description-not-correct,"Google (Yahoo, Bing) Meta Description not correct",,,,,,
13,"['javascript', 'html', 'audio', 'youtube']","{'account_id': 954246, 'reputation': 467, 'user_id': 979830, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/36228f6603571a1e625cdde167199e05?s=256&d=identicon&r=PG', 'display_name': 'user979830', 'link': 'https://stackoverflow.com/users/979830/user979830'}",True,130134,8690294.0,12,43,1664745307,1325361389,1504627389.0,8690255,CC BY-SA 3.0,https://stackoverflow.com/questions/8690255/how-to-play-only-the-audio-of-a-youtube-video-using-html-5,How to play only the audio of a Youtube video using HTML 5?,1664789776.0,,,,,
14,"['python', 'html', 'refresh', 'document', 'python-webbrowser']","{'account_id': 948213, 'reputation': 1126, 'user_id': 974992, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/pVJbN.png?s=256&g=1', 'display_name': 'Dan Doe', 'link': 'https://stackoverflow.com/users/974992/dan-doe'}",False,16172,,1,6,1664640390,1326163586,,8797965,CC BY-SA 3.0,https://stackoverflow.com/questions/8797965/python-refresh-html-document,Python refresh HTML document,,,,,,
15,"['html', 'copy-paste', 'copy-protection']","{'account_id': 1109311, 'reputation': 5733, 'user_id': 1100081, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/eab3a3d67dbdcc0eefc26252702cb4c1?s=256&d=identicon&r=PG', 'display_name': 'Anton', 'link': 'https://stackoverflow.com/users/1100081/anton'}",True,128933,8957470.0,11,55,1664515633,1327186650,,8957443,CC BY-SA 3.0,https://stackoverflow.com/questions/8957443/prevent-copying-text-in-web-page,Prevent copying text in web-page,1510271311.0,,,,,
16,"['javascript', 'html', 'height', 'document-body']","{'account_id': 1075190, 'reputation': 349, 'user_id': 1073500, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/26b39c780bed4eb8790642a501f54e50?s=256&d=identicon&r=PG', 'display_name': 'defacto', 'link': 'https://stackoverflow.com/users/1073500/defacto'}",False,7617,,1,0,1664110950,1326307277,1326314333.0,8824809,CC BY-SA 3.0,https://stackoverflow.com/questions/8824809/change-body-size-height,Change body size height,,,,,,
17,"['javascript', 'html', 'bookmarklet', 'quotation-marks']","{'account_id': 99497, 'reputation': 3749, 'user_id': 268721, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/377b60db3c8bf7ffc68f52330a58b4b2?s=256&d=identicon&r=PG', 'display_name': 'tic', 'link': 'https://stackoverflow.com/users/268721/tic'}",True,320,,2,0,1663263840,1327621737,,9027208,CC BY-SA 3.0,https://stackoverflow.com/questions/9027208/quotation-marks-in-a-javascript-bookmarklet,quotation marks in a javascript bookmarklet,,,,,,
18,"['html', 'css', 'seo']","{'account_id': 462274, 'reputation': 1860, 'user_id': 864507, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/c4e78236ce7ad05f86a56fb6b3153b33?s=256&d=identicon&r=PG', 'display_name': 'fxfuture', 'link': 'https://stackoverflow.com/users/864507/fxfuture'}",True,7175,8793024.0,9,4,1662826682,1326126766,1326128216.0,8792088,,https://stackoverflow.com/questions/8792088/h1-tag-on-home-page,&lt;h1&gt; tag on home page?,,"{'other_site': {'styling': {'tag_background_color': '#F5F5F5', 'tag_foreground_color': '#666', 'link_color': '#0077CC'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'wordpress.meta', 'site_url': 'https://wordpress.meta.stackexchange.com', 'name': 'WordPress Development Meta Stack Exchange'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=wordpress.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['Prettify'], 'launch_date': 1297718441, 'open_beta_date': 1282158000, 'closed_beta_date': 1281553200, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/wordpress/Img/apple-touch-icon@2.png', 'twitter_account': 'StackWordPress', 'favicon_url': 'https://cdn.sstatic.net/Sites/wordpress/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/wordpress/Img/apple-touch-icon.png', 'audience': 'WordPress developers and administrators', 'site_url': 'https://wordpress.stackexchange.com', 'api_site_parameter': 'wordpress', 'logo_url': 'https://cdn.sstatic.net/Sites/wordpress/Img/logo.png', 'name': 'WordPress Development', 'site_type': 'main_site'}, 'on_date': 1326128007, 'question_id': 38362}",,,,
19,"['html', 'css', 'html-table']","{'account_id': 1130175, 'reputation': 7711, 'user_id': 1116467, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/4179283cf6ac21e80b6e99f1afc9d968?s=256&d=identicon&r=PG', 'display_name': 'Rajagopal 웃', 'link': 'https://stackoverflow.com/users/1116467/rajagopal-%ec%9b%83'}",True,1055591,8986325.0,9,321,1662637857,1327405423,1622215324.0,8986260,CC BY-SA 4.0,https://stackoverflow.com/questions/8986260/how-to-center-the-contents-of-an-html-table,How to center the contents of an HTML table?,,,,,,
20,"['html', 'django', 'forms', 'html-select']","{'account_id': 1011347, 'reputation': 244, 'user_id': 1023857, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/e9ed46598770604d3fe92828046dd6e4?s=256&d=identicon&r=PG', 'display_name': 'marlboro', 'link': 'https://stackoverflow.com/users/1023857/marlboro'}",True,6608,8955978.0,1,0,1662492387,1327098162,1662492387.0,8948629,CC BY-SA 4.0,https://stackoverflow.com/questions/8948629/keep-selected-value-in-an-html-form-after-submit-is-pressed,"keep selected value in an html form, after submit is pressed",,,,,,
21,"['javascript', 'html', 'dom-events']","{'account_id': 32248, 'reputation': 1835, 'user_id': 89256, 'user_type': 'registered', 'accept_rate': 49, 'profile_image': 'https://www.gravatar.com/avatar/2985313d55787c9a0813b7f338148fed?s=256&d=identicon&r=PG', 'display_name': 'Samuel', 'link': 'https://stackoverflow.com/users/89256/samuel'}",False,246,,1,1,1662050329,1325780544,1662050329.0,8745895,CC BY-SA 4.0,https://stackoverflow.com/questions/8745895/javascript-events-going-into-infinite-loop,JavaScript events going into infinite loop,,,,,,
22,"['javascript', 'html', 'dom-events']","{'account_id': 174571, 'reputation': 31006, 'user_id': 404020, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/cdfe0bab2e03558085a7a328d0901607?s=256&d=identicon&r=PG', 'display_name': 'node ninja', 'link': 'https://stackoverflow.com/users/404020/node-ninja'}",True,95,,4,1,1662040338,1325980268,1662040338.0,8774137,CC BY-SA 4.0,https://stackoverflow.com/questions/8774137/javascript-doesnt-have-to-be-inside-a-script-tag,JavaScript doesn&#39;t have to be inside a &lt;script&gt; tag?,,,,,,
23,"['javascript', 'html', 'dom-events']","{'account_id': 149749, 'reputation': 7775, 'user_id': 362479, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/p91ff.jpg?s=256&g=1', 'display_name': 'Laziale', 'link': 'https://stackoverflow.com/users/362479/laziale'}",True,305,8803101.0,1,0,1662040307,1326131066,1662040307.0,8792751,CC BY-SA 4.0,https://stackoverflow.com/questions/8792751/javascript-calculator-functionality,JavaScript calculator functionality,,,,,,
24,"['javascript', 'html', 'dom-events']","{'account_id': 1172463, 'reputation': 108, 'user_id': 1149334, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d558949b0033ea5f4ba67a6e288c7310?s=256&d=identicon&r=PG', 'display_name': 'Erick', 'link': 'https://stackoverflow.com/users/1149334/erick'}",True,111,8862777.0,1,2,1662040259,1326550796,1662040259.0,8862760,CC BY-SA 4.0,https://stackoverflow.com/questions/8862760/how-to-move-javascript-events-from-html-properly-do-you-know-other-ways,How to move JavaScript events from HTML properly? (Do you know other ways?),,,,,,
25,"['javascript', 'html', 'dom-events']","{'account_id': 338964, 'reputation': 2198, 'user_id': 668138, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/ehDDe.jpg?s=256&g=1', 'display_name': 'Grego', 'link': 'https://stackoverflow.com/users/668138/grego'}",True,726,8873726.0,2,3,1662024245,1326664402,1662024245.0,8873680,CC BY-SA 4.0,https://stackoverflow.com/questions/8873680/use-html-javascript-attribute-onsomething-or-add-a-event-listener-on-script-fo,Use HTML JavaScript attribute &quot;onSOMETHING&quot; or add a Event Listener on Script for all elements at once?,,,,,,
26,"['javascript', 'html', 'dom-events']","{'account_id': 49884, 'reputation': 414, 'user_id': 148678, 'user_type': 'registered', 'accept_rate': 38, 'profile_image': 'https://www.gravatar.com/avatar/474049c63523c6a505a30f8c84758aa6?s=256&d=identicon&r=PG', 'display_name': 'returnvoid', 'link': 'https://stackoverflow.com/users/148678/returnvoid'}",True,191,8898130.0,1,2,1662024206,1326817037,1662024206.0,8897992,CC BY-SA 4.0,https://stackoverflow.com/questions/8897992/get-html5-data-attribute-from-event-inline,Get html5 data attribute from event inline,,,,,,
27,"['javascript', 'html', 'dom-events']","{'account_id': 1158093, 'reputation': 31, 'user_id': 1138177, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/927df9dfc6c5fb4911da161f6139f0c9?s=256&d=identicon&r=PG', 'display_name': 'Ashok', 'link': 'https://stackoverflow.com/users/1138177/ashok'}",True,6497,,3,1,1662024144,1326897516,1662024144.0,8911952,CC BY-SA 4.0,https://stackoverflow.com/questions/8911952/how-to-add-text-field-in-html-dynamically-using-javascript-by-clicking-radio-but,How to add text field in html dynamically using JavaScript by clicking radio button,,,,,,
28,"['html', 'webkit', 'html-select', 'optgroup']","{'account_id': 176503, 'reputation': 4489, 'user_id': 407245, 'user_type': 'registered', 'accept_rate': 17, 'profile_image': 'https://i.stack.imgur.com/YKa0q.jpg?s=256&g=1', 'display_name': 'Chris Cinelli', 'link': 'https://stackoverflow.com/users/407245/chris-cinelli'}",True,325,,2,0,1661963113,1326335884,1661963113.0,8829451,CC BY-SA 4.0,https://stackoverflow.com/questions/8829451/bug-in-select-optgroup-using-keyboard-accelerators-in-webkit,Bug in select/optgroup using keyboard accelerators in webkit?,,,,,,
29,"['javascript', 'html', 'html-select']","{'account_id': 438127, 'reputation': 377, 'user_id': 826211, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/273Pk.png?s=256&g=1', 'display_name': 'DoobyScooby', 'link': 'https://stackoverflow.com/users/826211/doobyscooby'}",True,42155,8716126.0,5,5,1661956408,1325611119,1661956408.0,8716064,CC BY-SA 4.0,https://stackoverflow.com/questions/8716064/html-js-how-to-change-option-value-of-select-type-using-js,HTML/JS: How to change option value of select type using JS,,,,,,
30,"['javascript', 'html', 'node.js', 'canvas']","{'account_id': 337985, 'reputation': 46579, 'user_id': 666564, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/784a570374d05695178c2617b3f1b550?s=256&d=identicon&r=PG', 'display_name': 'fancy', 'link': 'https://stackoverflow.com/users/666564/fancy'}",True,1569,,3,1,1661885115,1325651088,,8721991,CC BY-SA 3.0,https://stackoverflow.com/questions/8721991/use-canvas-to-remove-pixels-from-image,Use canvas to remove pixels from image?,,,,,,
31,"['html', 'css', 'href']","{'account_id': 1182911, 'reputation': 2774, 'user_id': 1157442, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/621df3a625d37737779be2dc907b7a11?s=256&d=identicon&r=PG', 'display_name': 'Rbijker.com', 'link': 'https://stackoverflow.com/users/1157442/rbijker-com'}",True,460542,8919740.0,5,236,1661787869,1326934065,1391981265.0,8919682,CC BY-SA 3.0,https://stackoverflow.com/questions/8919682/remove-all-styling-formatting-from-hyperlinks,Remove ALL styling/formatting from hyperlinks,1469920593.0,,,,,
32,"['javascript', 'firefox', 'html', 'layer']","{'account_id': 1174335, 'reputation': 53, 'user_id': 1150705, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a22a1732f2129577466bcf3d5c534d85?s=256&d=identicon&r=PG', 'display_name': 'Alex Datcu', 'link': 'https://stackoverflow.com/users/1150705/alex-datcu'}",True,12152,8872294.0,3,3,1661344216,1326652465,,8872262,CC BY-SA 3.0,https://stackoverflow.com/questions/8872262/how-do-you-toggle-the-visibility-of-a-div-in-ff-with-javascript-ie-and-chrome,How do you toggle the visibility of a div in FF with javascript? (IE and Chrome work fine),,,,,,
33,"['javascript', 'html', 'dom-events']","{'account_id': 280784, 'reputation': 13293, 'user_id': 576682, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/4bf67432be46991fde147b0b0fa74312?s=256&d=identicon&r=PG', 'display_name': 'Ant&#39;s', 'link': 'https://stackoverflow.com/users/576682/ants'}",True,345,,1,0,1660882077,1327402192,1660882077.0,8985512,CC BY-SA 4.0,https://stackoverflow.com/questions/8985512/how-do-i-process-on-the-image-that-have-been-uploaded-by-the-user,How Do I Process on The Image That Have Been Uploaded By The User?,,,,,,
34,"['javascript', 'html', 'dom-events']","{'account_id': 436448, 'reputation': 1503, 'user_id': 823640, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/3c5e8fcffaa848655d00e1c4b9b565da?s=256&d=identicon&r=PG', 'display_name': 'Cobaia', 'link': 'https://stackoverflow.com/users/823640/cobaia'}",True,2299,9027181.0,3,2,1660491108,1327453768,1660491108.0,8996670,CC BY-SA 4.0,https://stackoverflow.com/questions/8996670/get-same-html-element-without-id-using-javascript,Get same html Element without id using JavaScript,,,,,,
35,"['html', 'terminology']","{'account_id': 386430, 'reputation': 2679, 'user_id': 744184, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/b3c344835e7d6c28d221702306647db6?s=256&d=identicon&r=PG', 'display_name': 'user', 'link': 'https://stackoverflow.com/users/744184/user'}",True,149635,8937454.0,9,95,1660488735,1327039478,1464730892.0,8937384,CC BY-SA 3.0,https://stackoverflow.com/questions/8937384/what-is-the-difference-between-html-tags-and-elements,What is the difference between HTML tags and elements?,1515402755.0,,,,,
36,"['javascript', 'jquery', 'html', 'forms', 'file-upload']","{'account_id': 447789, 'reputation': 8162, 'user_id': 841626, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/3c9e3621ce29f79624cec25a2b231aba?s=256&d=identicon&r=PG', 'display_name': 'pillarOfLight', 'link': 'https://stackoverflow.com/users/841626/pillaroflight'}",True,44265,8898164.0,3,34,1660280906,1326817365,1326817669.0,8898077,CC BY-SA 3.0,https://stackoverflow.com/questions/8898077/copying-the-value-of-a-forms-file-input-field-to-another-forms-input-field,copying the value of a form&#39;s file input field to another form&#39;s input field,,,,,,
37,"['javascript', 'html', 'editor', 'wysiwyg', 'paste']","{'account_id': 415072, 'reputation': 2518, 'user_id': 789655, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/b7fac771a6c8fccc82fe34f951b7b3fd?s=256&d=identicon&r=PG', 'display_name': 'Sthe', 'link': 'https://stackoverflow.com/users/789655/sthe'}",True,5124,,2,2,1660121946,1325430566,1326052370.0,8693717,CC BY-SA 3.0,https://stackoverflow.com/questions/8693717/how-to-clean-up-html-on-paste-in-my-wysiwyg-editor,How to clean up HTML on-paste in my WYSIWYG editor,,,,,,
38,"['javascript', 'html', 'image-processing', 'transparency', 'pixel']","{'account_id': 1098908, 'reputation': 36853, 'user_id': 1091828, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/57e2ddd51487107535b956eadd7d613a?s=256&d=identicon&r=PG', 'display_name': 'Danny Fox', 'link': 'https://stackoverflow.com/users/1091828/danny-fox'}",True,196831,8751659.0,6,143,1660109873,1325803771,1621942275.0,8751020,CC BY-SA 4.0,https://stackoverflow.com/questions/8751020/how-to-check-if-a-specific-pixel-of-an-image-is-transparent,How to check if a specific pixel of an image is transparent?,,,,,,
39,"['javascript', 'html', 'jquery', 'jquery-events']","{'account_id': 285361, 'reputation': 18528, 'user_id': 1004875, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://i.stack.imgur.com/aBytn.png?s=256&g=1', 'display_name': '0x12', 'link': 'https://stackoverflow.com/users/1004875/0x12'}",True,206,8722743.0,3,1,1660083243,1325657339,1660083243.0,8722714,CC BY-SA 4.0,https://stackoverflow.com/questions/8722714/how-to-fire-event-s-in-a-dynamically-generated-list-in-jquery,How to fire event s in a dynamically generated List in jQuery,,,,,,
40,"['javascript', 'html', 'jquery', 'jquery-events']","{'account_id': 202879, 'reputation': 13, 'user_id': 450197, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a2dd48235de6d9a44e36705f6c0fe602?s=256&d=identicon&r=PG', 'display_name': 'Wade', 'link': 'https://stackoverflow.com/users/450197/wade'}",True,216,,1,0,1660083113,1325724633,1660083113.0,8736235,CC BY-SA 4.0,https://stackoverflow.com/questions/8736235/dynamic-image-swap-with-select-statements,Dynamic image swap with select statements,,,,,,
41,"['javascript', 'html', 'jquery', 'jquery-events']","{'account_id': 121009, 'reputation': 1468, 'user_id': 313787, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/bccf4a1ced840c7b7fdb53ba885da91e?s=256&d=identicon&r=PG', 'display_name': 'Ethan', 'link': 'https://stackoverflow.com/users/313787/ethan'}",True,786,,1,2,1660083092,1325832337,1660083092.0,8754350,CC BY-SA 4.0,https://stackoverflow.com/questions/8754350/handle-mouse-event-on-irregular-shaped-objects-with-event-delegation,Handle mouse event on irregular shaped objects with event delegation,,,,,,
42,"['javascript', 'jquery', 'html']","{'account_id': 362647, 'reputation': 841, 'user_id': 705953, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/tly0s.jpg?s=256&g=1', 'display_name': 'Michael Insalaco', 'link': 'https://stackoverflow.com/users/705953/michael-insalaco'}",True,23546,8973473.0,6,9,1659608603,1327330121,,8973451,CC BY-SA 3.0,https://stackoverflow.com/questions/8973451/display-div-inside-text-area,display div inside text area,,,,,,
43,"['javascript', 'jquery', 'html']","{'account_id': 184936, 'reputation': 479, 'user_id': 421323, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/d068dae50a7fd900c8867e2c0b63d5cb?s=256&d=identicon&r=PG', 'display_name': 'Noam', 'link': 'https://stackoverflow.com/users/421323/noam'}",True,72471,46527064.0,8,30,1659049050,1326171481,1326177045.0,8798745,CC BY-SA 3.0,https://stackoverflow.com/questions/8798745/how-to-get-html-elements-from-an-object-tag,How to get html elements from an object tag?,,,,,,
44,"['javascript', 'android', 'html', 'html5-audio']","{'account_id': 1051174, 'reputation': 39, 'user_id': 1055069, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/d55c27f2791ddf5349a56fd7819b3076?s=256&d=identicon&r=PG', 'display_name': 'krayyem', 'link': 'https://stackoverflow.com/users/1055069/krayyem'}",False,836,,1,0,1658849231,1327722075,1658849231.0,9042737,CC BY-SA 4.0,https://stackoverflow.com/questions/9042737/html-button-tag-stuck-and-wont-play-html5-audio-on-second-click,HTML button tag stuck and won&#39;t play HTML5 audio on second click,,,,,,
45,"['javascript', 'html', 'image', 'src']","{'account_id': 319393, 'reputation': 32864, 'user_id': 637142, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/e048b74ce81d0005ce82b0ef5b85b48a?s=256&d=identicon&r=PG', 'display_name': 'Tono Nam', 'link': 'https://stackoverflow.com/users/637142/tono-nam'}",True,55075,9022464.0,5,30,1658547906,1327598712,,9022427,CC BY-SA 3.0,https://stackoverflow.com/questions/9022427/see-if-src-of-img-exists,see if src of img exists,,,,,,
46,"['php', 'html', 'forms']","{'account_id': 1006500, 'reputation': 1022, 'user_id': 1020123, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/4c9e7c54ad7e0fba97fb9a9c31fe51bb?s=256&d=identicon&r=PG', 'display_name': 'D3_JMultiply', 'link': 'https://stackoverflow.com/users/1020123/d3-jmultiply'}",True,3798,8874067.0,4,0,1658243622,1326666569,1658243622.0,8873917,CC BY-SA 4.0,https://stackoverflow.com/questions/8873917/change-form-elements-depending-on-selected-option,Change Form Elements Depending On Selected Option,,,,,,
