,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,protected_date,migrated_from,closed_date,closed_reason,community_owned_date
10,"['android', 'html']","{'account_id': 201212, 'reputation': 896, 'user_id': 447509, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/29d75f9aa58dc2566c609bd8f9b02ef2?s=256&d=identicon&r=PG', 'display_name': 'Vijay Kumbhar', 'link': 'https://stackoverflow.com/users/447509/vijay-kumbhar'}",False,1693,,1,2,1666342209,1347289393,12354418,CC BY-SA 3.0,https://stackoverflow.com/questions/12354418/android-html5-add-shortcut-icon-to-home-screen-not-consistant,Android HTML5 add shortcut icon to home screen not consistant,1495535693.0,,,,,
11,"['mobile', 'mobile-website', 'tooltip', 'html']","{'account_id': 128497, 'reputation': 49518, 'user_id': 326389, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/d2c037ce48d12bd88ec6529f9bb39f0a?s=256&d=identicon&r=PG', 'display_name': 'at.', 'link': 'https://stackoverflow.com/users/326389/at'}",True,104998,12538532.0,12,77,1665616845,1348257122,12539006,,https://stackoverflow.com/questions/12539006/tooltips-for-mobile-browsers,Tooltips for mobile browsers,,1612475541.0,"{'other_site': {'aliases': ['https://ui.stackexchange.com'], 'styling': {'tag_background_color': '#FFF', 'tag_foreground_color': '#000', 'link_color': '#0077CC'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'ux.meta', 'site_url': 'https://ux.meta.stackexchange.com', 'name': 'User Experience Meta Stack Exchange'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=ux.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['Balsamiq'], 'launch_date': 1325624400, 'open_beta_date': 1281985200, 'closed_beta_date': 1281380400, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/ux/Img/apple-touch-icon@2.png', 'twitter_account': 'StackUX', 'favicon_url': 'https://cdn.sstatic.net/Sites/ux/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/ux/Img/apple-touch-icon.png', 'audience': 'user experience researchers and experts', 'site_url': 'https://ux.stackexchange.com', 'api_site_parameter': 'ux', 'logo_url': 'https://cdn.sstatic.net/Sites/ux/Img/logo.png', 'name': 'User Experience', 'site_type': 'main_site'}, 'on_date': 1348266833, 'question_id': 25959}",,,
12,"['ajax', 'html', 'web']","{'account_id': 59443, 'reputation': 2613, 'user_id': 177850, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/wWhJg.jpg?s=256&g=1', 'display_name': 'Miriam P.  Raphael', 'link': 'https://stackoverflow.com/users/177850/miriam-p-raphael'}",True,14553,12645356.0,4,28,1665094431,1348855749,12645186,CC BY-SA 3.0,https://stackoverflow.com/questions/12645186/ajax-vs-web-sockets-vs-web-workers,Ajax vs. Web sockets vs. Web Workers,1348858139.0,,,,,
13,"['jquery', 'html', 'facebook']","{'account_id': 1794054, 'reputation': 189, 'user_id': 1633872, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/a7a063f934750b210cd0737f59b14797?s=256&d=identicon&r=PG&f=1', 'display_name': 'Slurms', 'link': 'https://stackoverflow.com/users/1633872/slurms'}",True,1183,,2,1,1665060206,1347253617,12345620,CC BY-SA 3.0,https://stackoverflow.com/questions/12345620/remove-grey-border-from-facebook-lightbox-pop-up,Remove grey border from Facebook lightbox pop up,,1665060240.0,,,,
14,"['jquery', 'ios', 'objective-c', 'html', 'cocoa-touch']","{'account_id': 964044, 'reputation': 6116, 'user_id': 987818, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/PYvQM.png?s=256&g=1', 'display_name': 'Jem', 'link': 'https://stackoverflow.com/users/987818/jem'}",True,213771,12496184.0,7,124,1665053188,1348062515,12496144,CC BY-SA 3.0,https://stackoverflow.com/questions/12496144/can-you-autoplay-html5-videos-on-the-ipad,Can you autoplay HTML5 videos on the iPad?,1368525522.0,1410626263.0,,,,
15,"['javascript', 'html']","{'account_id': 1248920, 'reputation': 1833, 'user_id': 1209757, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/b2f5bf3c958222a58dd0a5dbc95819ed?s=256&d=identicon&r=PG', 'display_name': 'Hadi Mostafapour', 'link': 'https://stackoverflow.com/users/1209757/hadi-mostafapour'}",True,116385,12330572.0,10,92,1664757886,1347101755,12330086,CC BY-SA 3.0,https://stackoverflow.com/questions/12330086/how-to-loop-through-selected-elements-with-document-queryselectorall,How to loop through selected elements with document.querySelectorAll,1438267640.0,,,,,
16,"['html', 'css', 'width']","{'account_id': 1446916, 'reputation': 6467, 'user_id': 1365053, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/329381200b3974c701e3a84cdbf3a440?s=256&d=identicon&r=PG', 'display_name': 'Bilal Fazlani', 'link': 'https://stackoverflow.com/users/1365053/bilal-fazlani'}",False,8927,,5,3,1664496391,1348570824,12581588,CC BY-SA 3.0,https://stackoverflow.com/questions/12581588/how-to-give-infinite-width-to-a-div,How to give infinite width to a div?,1447259280.0,,,,,
17,"['html', 'css']","{'account_id': 1591508, 'reputation': 8454, 'user_id': 1474739, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://i.stack.imgur.com/LUkEQ.jpg?s=256&g=1', 'display_name': 'Willem de Wit', 'link': 'https://stackoverflow.com/users/1474739/willem-de-wit'}",True,87265,49270067.0,6,55,1663695047,1346770945,12266262,CC BY-SA 3.0,https://stackoverflow.com/questions/12266262/position-sticky-on-thead,Position sticky on thead,,,,,,
18,"['html', 'meta']","{'user_type': 'does_not_exist', 'display_name': 'user1663487'}",True,577,12473945.0,1,1,1663171386,1347959516,12473853,CC BY-SA 4.0,https://stackoverflow.com/questions/12473853/meaning-of-various-meta-tags,Meaning of various meta tags,1663171386.0,,,,,
19,"['html', 'css', 'border']","{'account_id': 1832995, 'reputation': 327, 'user_id': 1663965, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/62554d933f4270c97c757bdb3c07b9b3?s=256&d=identicon&r=PG', 'display_name': 'RMi Flores', 'link': 'https://stackoverflow.com/users/1663965/rmi-flores'}",True,18834,,2,14,1663162023,1347531235,12403998,CC BY-SA 4.0,https://stackoverflow.com/questions/12403998/border-is-cutting-off-when-using-border-radius,Border is cutting off when using border-radius?,1663093759.0,,,,,
20,"['html', 'textbox']","{'account_id': 1004084, 'reputation': 19061, 'user_id': 1018270, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/f63e4d88b0db551dd7ddd04dca2770d9?s=256&d=identicon&r=PG', 'display_name': 'Milos Cuculovic', 'link': 'https://stackoverflow.com/users/1018270/milos-cuculovic'}",True,56068,12278624.0,9,29,1663103158,1346838145,12278571,CC BY-SA 3.0,https://stackoverflow.com/questions/12278571/html-text-input-avoid-submit-when-enter-is-pressed,HTML Text Input: Avoid submit when enter is pressed,1492086288.0,,,,,
21,"['jquery', 'html', 'css', 'slider', 'nivo-slider']","{'account_id': 1885343, 'reputation': 71, 'user_id': 1704678, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b9b4886848375473b624e9bbd8a8f6b1?s=256&d=identicon&r=PG', 'display_name': 'user1704678', 'link': 'https://stackoverflow.com/users/1704678/user1704678'}",False,8033,,1,6,1662563015,1348783574,12630713,CC BY-SA 3.0,https://stackoverflow.com/questions/12630713/nivo-slider-jquery-plugin-images-resizing-automatically,Nivo Slider Jquery Plugin - images resizing automatically,1348852885.0,,,,,
22,"['css', 'html']","{'account_id': 1701551, 'reputation': 905, 'user_id': 1561469, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://i.stack.imgur.com/YFWJt.png?s=256&g=1', 'display_name': 'crazyloonybin', 'link': 'https://stackoverflow.com/users/1561469/crazyloonybin'}",True,24428,12600865.0,3,11,1662552070,1348659090,12600743,CC BY-SA 3.0,https://stackoverflow.com/questions/12600743/make-a-div-auto-expand-width-to-the-left-instead-of-the-right,Make a div auto expand width to the left instead of the right,,,,,,
23,"['html', 'google-apps-script', 'web-applications']","{'account_id': 898670, 'reputation': 771, 'user_id': 935389, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/ed9653454660a95d092a869c72d4a1f1?s=256&d=identicon&r=PG', 'display_name': 'M. Oranje', 'link': 'https://stackoverflow.com/users/935389/m-oranje'}",True,1646,,2,0,1662314232,1347014187,12316423,CC BY-SA 4.0,https://stackoverflow.com/questions/12316423/server-error-with-htmlservice-template-debugging-shows-nothing,"Server error with HtmlService template, debugging shows nothing",1662314232.0,,,,,
24,"['html', 'css', 'border', 'zooming']","{'account_id': 346890, 'reputation': 841, 'user_id': 680675, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/3fe2e42ed7cfec870b93eaf75c2ee7fd?s=256&d=identicon&r=PG', 'display_name': 'Lu&#237;s Pureza', 'link': 'https://stackoverflow.com/users/680675/lu%c3%ads-pureza'}",True,36058,50912523.0,8,48,1662080056,1348346767,12547580,CC BY-SA 3.0,https://stackoverflow.com/questions/12547580/borders-disappear-in-chrome-when-i-zoom-in,Borders disappear in Chrome when I zoom in,1495541806.0,,,,,
25,"['javascript', 'html']","{'account_id': 220846, 'reputation': 10303, 'user_id': 834239, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://i.stack.imgur.com/smpej.jpg?s=256&g=1', 'display_name': 'Amit Pal', 'link': 'https://stackoverflow.com/users/834239/amit-pal'}",True,10891,12252670.0,1,0,1661810973,1346697069,12252613,CC BY-SA 4.0,https://stackoverflow.com/questions/12252613/how-to-parse-the-data-given-in-input-text-using-javascript,How to parse the data given in input text using JavaScript?,1661810973.0,,,,,
26,"['javascript', 'html', 'dom-events']","{'account_id': 1355213, 'reputation': 1073, 'user_id': 1293752, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/081900573954ba8a66e4923a4ac9482d?s=256&d=identicon&r=PG', 'display_name': 'kamal', 'link': 'https://stackoverflow.com/users/1293752/kamal'}",True,199,12316274.0,4,0,1661810906,1347013352,12316214,CC BY-SA 4.0,https://stackoverflow.com/questions/12316214/how-to-write-javascript-which-works-normally-in-chrome-and-ie,How to write JavaScript which works normally in Chrome and IE?,1661810906.0,,,,,
27,"['javascript', 'html']","{'account_id': 1560211, 'reputation': 47, 'user_id': 1450247, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c74f8ceec6b1b48bda9c14b14170435a?s=256&d=identicon&r=PG', 'display_name': 'Wahaj Latif', 'link': 'https://stackoverflow.com/users/1450247/wahaj-latif'}",False,307,,1,-3,1661799057,1347065479,12327137,CC BY-SA 4.0,https://stackoverflow.com/questions/12327137/how-to-get-a-specific-value-from-javascript-to-c-coding,How to get a specific value from JavaScript to C# coding?,1661799057.0,,,,,
28,"['javascript', 'html', 'dom-events']","{'account_id': 1428611, 'reputation': 291, 'user_id': 1351542, 'user_type': 'registered', 'accept_rate': 23, 'profile_image': 'https://www.gravatar.com/avatar/7f33032877f7063d0c08d523349a7dba?s=256&d=identicon&r=PG', 'display_name': 'joneric wennerstrom', 'link': 'https://stackoverflow.com/users/1351542/joneric-wennerstrom'}",False,115,,1,0,1661798948,1347473476,12393998,CC BY-SA 4.0,https://stackoverflow.com/questions/12393998/onchange-handler-prevents-href-method-from-being-called,onchange handler prevents href method from being called,1661798948.0,,,,,
29,"['javascript', 'html', 'dom-events']","{'account_id': 1868983, 'reputation': 223, 'user_id': 1691743, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/698ebf8e4d69084f2d90dfebd9ae6ea9?s=256&d=identicon&r=PG', 'display_name': 'Kajal', 'link': 'https://stackoverflow.com/users/1691743/kajal'}",True,148,,1,0,1661798915,1348371794,12549552,CC BY-SA 4.0,https://stackoverflow.com/questions/12549552/in-firefox-the-window-is-not-re-sizeing-using-javascript,"In Firefox the window is not re-sizeing using JavaScript,",1661798915.0,,,,,
30,"['javascript', 'html', 'dom-events']","{'account_id': 1691424, 'reputation': 586, 'user_id': 1553676, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/7fce17ff6fac6b387760460b51047503?s=256&d=identicon&r=PG', 'display_name': 'yejinxin', 'link': 'https://stackoverflow.com/users/1553676/yejinxin'}",True,409,12564213.0,4,1,1661782095,1348485977,12564097,CC BY-SA 4.0,https://stackoverflow.com/questions/12564097/why-radio-button-click-event-behaves-differently,Why radio button click event behaves differently,1661782095.0,,,,,
31,"['javascript', 'html', 'dom-events']","{'account_id': 1882560, 'reputation': 1628, 'user_id': 1702401, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/3f4290372c0dd8581ec50265d9f4aa20?s=256&d=identicon&r=PG', 'display_name': 'user1702401', 'link': 'https://stackoverflow.com/users/1702401/user1702401'}",False,1196,,0,1,1661782046,1348730176,12616050,CC BY-SA 4.0,https://stackoverflow.com/questions/12616050/onmouseover-event-on-tr-tag,Onmouseover event on TR tag,1661782046.0,,,,,
32,"['html', 'drop-down-menu', 'twitter-bootstrap']","{'account_id': 456775, 'reputation': 3855, 'user_id': 855705, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://i.stack.imgur.com/CEANe.jpg?s=256&g=1', 'display_name': 'hjuster', 'link': 'https://stackoverflow.com/users/855705/hjuster'}",True,464918,12458825.0,30,112,1661409238,1347882371,12458522,CC BY-SA 3.0,https://stackoverflow.com/questions/12458522/bootstrap-dropdown-not-working,Bootstrap dropdown not working,1433158001.0,1466245432.0,,,,
33,"['html', 'email', 'encoding', 'hyperlink', 'href']","{'account_id': 945577, 'reputation': 8388, 'user_id': 972891, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/Bg3hD.png?s=256&g=1', 'display_name': 'QFDev', 'link': 'https://stackoverflow.com/users/972891/qfdev'}",False,442,,0,3,1661400706,1347032927,12321451,CC BY-SA 3.0,https://stackoverflow.com/questions/12321451/links-getting-corrupted-in-html-emails,Links getting corrupted in HTML emails,,,,,,
34,"['html', 'sqlite', 'local-storage', 'indexeddb']","{'account_id': 379167, 'reputation': 1046, 'user_id': 732347, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/laaTd.jpg?s=256&g=1', 'display_name': 'Taha', 'link': 'https://stackoverflow.com/users/732347/taha'}",True,39866,12247517.0,8,29,1661184750,1346673310,12247380,CC BY-SA 3.0,https://stackoverflow.com/questions/12247380/offline-access-sqlite-or-indexed-db,Offline access - SQLite or Indexed DB?,1405963542.0,,,,,
35,"['javascript', 'html', 'iframe']","{'account_id': 378066, 'reputation': 3920, 'user_id': 730569, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/fba56dc30f7787a51b395342210e4181?s=256&d=identicon&r=PG', 'display_name': 'user730569', 'link': 'https://stackoverflow.com/users/730569/user730569'}",True,9803,12336111.0,3,1,1661139066,1347157174,12336031,CC BY-SA 3.0,https://stackoverflow.com/questions/12336031/how-to-check-if-an-element-is-inside-an-iframe-or-not,How to check if an element is inside an iframe or not,,,,,,
36,"['javascript', 'html', 'dom-events']","{'account_id': 1630997, 'reputation': 347, 'user_id': 1505535, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/76393a0b6177f0dada98cb57cb2bdece?s=256&d=identicon&r=PG', 'display_name': 'VinKrish', 'link': 'https://stackoverflow.com/users/1505535/vinkrish'}",True,1025,12596907.0,2,0,1660854046,1348644208,12596610,CC BY-SA 4.0,https://stackoverflow.com/questions/12596610/avoid-hidden-element-occupying-space-not-possible-to-make-visibilitytrue-which,Avoid hidden element occupying space/not possible to make visibility:true which is initially made display:none in css style,1660854046.0,,,,,
37,"['html', 'webforms', 'forms']","{'account_id': 47163, 'reputation': 3895, 'user_id': 139560, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/885a6fe8a4179cf7b8c9b21869f5a8b2?s=256&d=identicon&r=PG', 'display_name': 'Jamie Kitson', 'link': 'https://stackoverflow.com/users/139560/jamie-kitson'}",True,28248,12543907.0,3,63,1660732004,1348317587,12543848,CC BY-SA 3.0,https://stackoverflow.com/questions/12543848/does-form-data-still-transfer-if-the-input-tag-has-no-name,Does form data still transfer if the input tag has no name?,,,,,,
38,"['javascript', 'html', 'dom-events']","{'account_id': 945292, 'reputation': 978, 'user_id': 972648, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/305b5b0515304d2839122238b42fac83?s=256&d=identicon&r=PG', 'display_name': 'Rahul Ranjan', 'link': 'https://stackoverflow.com/users/972648/rahul-ranjan'}",True,1728,12530292.0,2,0,1660725234,1348229001,12530259,CC BY-SA 4.0,https://stackoverflow.com/questions/12530259/how-to-capture-browser-close-event-and-make-a-request-to-web-service-method-on-t,How to capture browser close event and make a request to web service method on that event through JavaScript,1660725234.0,,,,,
39,"['html', 'google-chrome', 'autocomplete', 'forms']","{'account_id': 1832417, 'reputation': 7619, 'user_id': 1663528, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/b7404304fd3f800929f53b1bd952161c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mr Fett', 'link': 'https://stackoverflow.com/users/1663528/mr-fett'}",True,615111,,68,681,1660560192,1347382471,12374442,CC BY-SA 4.0,https://stackoverflow.com/questions/12374442/chrome-ignores-autocomplete-off,Chrome ignores autocomplete=&quot;off&quot;,1546546471.0,1395943130.0,,,,
40,"['html', '.mov']","{'account_id': 252879, 'reputation': 411, 'user_id': 531213, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/a10f037858117d64484b95107b66c1e7?s=256&d=identicon&r=PG', 'display_name': 'Charles Marsh', 'link': 'https://stackoverflow.com/users/531213/charles-marsh'}",True,148674,18994322.0,3,36,1660478304,1348180246,12521849,CC BY-SA 3.0,https://stackoverflow.com/questions/12521849/how-to-embed-a-mov-file-in-html,How to embed a .mov file in HTML?,1375748845.0,,,,,
41,"['html', 'css', 'font-size']","{'account_id': 40752, 'reputation': 1628, 'user_id': 118153, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/a0296a09b791029185a67ff818445e7b?s=256&d=identicon&r=PG', 'display_name': 'Iiridayn', 'link': 'https://stackoverflow.com/users/118153/iiridayn'}",True,1797,12485599.0,3,0,1660146035,1348004621,12485548,CC BY-SA 4.0,https://stackoverflow.com/questions/12485548/move-an-html-element-up-exactly-1-line-height,Move an HTML element up exactly 1 line-height,1660146035.0,,,,,
42,"['html', 'css']","{'account_id': 1708998, 'reputation': 6607, 'user_id': 1567428, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/b97087844500eaf12d6ad45688d96d3c?s=256&d=identicon&r=PG', 'display_name': 'nasty', 'link': 'https://stackoverflow.com/users/1567428/nasty'}",True,114180,12574716.0,10,71,1659989220,1348532212,12574668,CC BY-SA 4.0,https://stackoverflow.com/questions/12574668/change-color-of-sibling-elements-on-hover-using-css,Change color of sibling elements on hover using CSS,1622731953.0,,,,,
43,"['javascript', 'html', 'jquery', 'jquery-events']","{'account_id': 162830, 'reputation': 4197, 'user_id': 384554, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/87fea5473f0ed1616dfe0fca14fc92b9?s=256&d=identicon&r=PG', 'display_name': 'PUG', 'link': 'https://stackoverflow.com/users/384554/pug'}",True,676,12241092.0,2,0,1659887238,1346635952,12241079,CC BY-SA 4.0,https://stackoverflow.com/questions/12241079/child-element-live-click-never-runs-instead-parent-divs-click-always-runs,Child element live.(&#39;click&#39;) never runs instead Parent div&#39;s Click always runs,1659887238.0,,,,,
44,"['html', 'jquery', 'dom-events']","{'account_id': 1760508, 'reputation': 303, 'user_id': 1607765, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/ed664bfb556a6df4273f169410f513bd?s=256&d=identicon&r=PG', 'display_name': 'David 10K', 'link': 'https://stackoverflow.com/users/1607765/david-10k'}",True,119,12272099.0,3,2,1659887207,1346796932,12272073,CC BY-SA 4.0,https://stackoverflow.com/questions/12272073/button-with-label-included-can-cause-double-firing,Button with label included can cause double firing,1659887207.0,,,,,
45,"['javascript', 'html', 'jquery', 'jquery-events']","{'account_id': 1785621, 'reputation': 83, 'user_id': 1627149, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dce6a41209dc6dc4c93c37eb0b97c91b?s=256&d=identicon&r=PG', 'display_name': 'Lionel Messi', 'link': 'https://stackoverflow.com/users/1627149/lionel-messi'}",True,619,12362283.0,3,-3,1659870297,1347332780,12362178,CC BY-SA 4.0,https://stackoverflow.com/questions/12362178/how-to-add-event-on-html-lists-bullets,How to add event on HTML list&#39;s bullets?,1659870297.0,,,,,
46,"['html', 'jquery', 'jquery-events']","{'account_id': 1759027, 'reputation': 27, 'user_id': 1606612, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/dc952d66fbb071a3f2688d0e6d2a8013?s=256&d=identicon&r=PG', 'display_name': 'user1606612', 'link': 'https://stackoverflow.com/users/1606612/user1606612'}",True,468,12480673.0,1,0,1659868696,1347983671,12480631,CC BY-SA 4.0,https://stackoverflow.com/questions/12480631/jquery-several-select-elements-from-json-data-detect-change,jQuery several select elements from JSON data detect change,1659868696.0,,,,,
