,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,migrated_from,closed_date,closed_reason,community_owned_date
10,"['html', 'css', 'google-chrome', 'css-float']","{'account_id': 466702, 'reputation': 494, 'user_id': 871614, 'user_type': 'registered', 'accept_rate': 49, 'profile_image': 'https://www.gravatar.com/avatar/b61eb00f0b9c71a1720f3190060490c8?s=256&d=identicon&r=PG', 'display_name': 'WebMW', 'link': 'https://stackoverflow.com/users/871614/webmw'}",True,101,3,1,1666466315,1336387977,1666466315.0,10480777,CC BY-SA 4.0,https://stackoverflow.com/questions/10480777/positioning-issue-in-chrome-other-browsers-work-fine,Positioning issue in Chrome (other browsers work fine),10481094.0,,,,,
11,"['html', 'css']","{'account_id': 960198, 'reputation': 1846, 'user_id': 984734, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/1c5b4c0bc3f44cd9b4ca9c8de73f1315?s=256&d=identicon&r=PG', 'display_name': 'Ben', 'link': 'https://stackoverflow.com/users/984734/ben'}",True,322007,7,42,1666351225,1335958342,1478329246.0,10412883,CC BY-SA 3.0,https://stackoverflow.com/questions/10412883/span-with-onclick-event-inside-a-tag,span with onclick event inside a tag,18805158.0,,,,,
12,"['html', 'css', 'less']","{'account_id': 44027, 'reputation': 85076, 'user_id': 128967, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/e6ce48656d5e39227a10b37a51754134?s=256&d=identicon&r=PG', 'display_name': 'Naftuli Kay', 'link': 'https://stackoverflow.com/users/128967/naftuli-kay'}",True,46672,4,23,1666264387,1336933360,1373523368.0,10574126,CC BY-SA 3.0,https://stackoverflow.com/questions/10574126/box-shadow-around-rounded-corners,Box shadow around rounded corners?,10574532.0,,,,,
13,"['html', 'sorting']","{'account_id': 1365938, 'reputation': 729, 'user_id': 1302360, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/b08bfc3773a387d3d04775f6df1c3440?s=256&d=identicon&r=PG', 'display_name': 'h3tr1ck', 'link': 'https://stackoverflow.com/users/1302360/h3tr1ck'}",True,229351,7,36,1666097119,1337596732,1568180683.0,10683712,CC BY-SA 4.0,https://stackoverflow.com/questions/10683712/html-table-sort,HTML table sort,10683805.0,,,,,
14,"['javascript', 'html', 'dom', 'html-parsing']","{'account_id': 1479256, 'reputation': 3925, 'user_id': 1388977, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cb9e0e4e5f1d15b0a23a09c6b93b608f?s=256&d=identicon&r=PG', 'display_name': 'stage', 'link': 'https://stackoverflow.com/users/1388977/stage'}",True,665213,15,372,1665782097,1337004671,1630002096.0,10585029,CC BY-SA 4.0,https://stackoverflow.com/questions/10585029/parse-an-html-string-with-js,Parse an HTML string with JS,10585079.0,,,,,
15,"['jquery', 'html']","{'account_id': 25955, 'reputation': 51755, 'user_id': 67153, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/ada681281032e89d41010e7533e7fe69?s=256&d=identicon&r=PG', 'display_name': 'Itay Moav -Malimovka', 'link': 'https://stackoverflow.com/users/67153/itay-moav-malimovka'}",True,225107,15,84,1665740442,1336492572,,10502093,CC BY-SA 3.0,https://stackoverflow.com/questions/10502093/how-to-reset-a-select-element-with-jquery,How to reset a select element with jQuery,10502152.0,,,,,
16,"['javascript', 'html', 'jquery', 'drop-down-menu']","{'account_id': 1465379, 'reputation': 27411, 'user_id': 1378388, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/txELp.jpg?s=256&g=1', 'display_name': 'William Kinaan', 'link': 'https://stackoverflow.com/users/1378388/william-kinaan'}",True,2013574,34,1334,1665604607,1337371914,1657716868.0,10659097,CC BY-SA 4.0,https://stackoverflow.com/questions/10659097/jquery-get-selected-option-from-dropdown,jQuery Get Selected Option From Dropdown,10659117.0,,,,,
17,"['jquery', 'html', 'internet-explorer']","{'account_id': 1268637, 'reputation': 27, 'user_id': 1225397, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/925f7d8cb155e76a95b42b486df59db0?s=256&d=identicon&r=PG', 'display_name': 'Sorin', 'link': 'https://stackoverflow.com/users/1225397/sorin'}",False,8099,1,1,1665493415,1336564312,1336597763.0,10515523,CC BY-SA 3.0,https://stackoverflow.com/questions/10515523/internet-explorer-not-loading-js-file,Internet Explorer not loading js file,,,,,,
18,"['jquery', 'html', 'forms']","{'account_id': 35295, 'reputation': 3997, 'user_id': 99944, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/abeb4d3fa51c19d88731b0e3e84f417a?s=256&d=identicon&r=PG', 'display_name': 'izidor', 'link': 'https://stackoverflow.com/users/99944/izidor'}",True,614125,9,197,1665346792,1336894844,,10570070,CC BY-SA 3.0,https://stackoverflow.com/questions/10570070/how-to-disable-enable-select-field-using-jquery,How to disable/enable select field using jQuery?,10570155.0,,,,,
19,"['html', 'css', 'drop-down-menu']","{'account_id': 1035768, 'reputation': 3684, 'user_id': 1043102, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/wirf2.jpg?s=256&g=1', 'display_name': 'Gopesh', 'link': 'https://stackoverflow.com/users/1043102/gopesh'}",True,319572,10,89,1665148225,1336401785,1430464784.0,10484053,CC BY-SA 3.0,https://stackoverflow.com/questions/10484053/change-select-list-option-background-colour-on-hover,Change Select List Option background colour on hover,,,,,,
20,"['html', 'doctype']","{'account_id': 391553, 'reputation': 11733, 'user_id': 752288, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/38640cb2a26fca6dc885aff0cd19027c?s=256&d=identicon&r=PG', 'display_name': 'Ashwin', 'link': 'https://stackoverflow.com/users/752288/ashwin'}",True,269,7,4,1664627060,1337938854,1337939048.0,10752051,CC BY-SA 3.0,https://stackoverflow.com/questions/10752051/are-there-different-html5-doctypes,Are there different HTML5 doctypes?,10752064.0,,,,,
21,"['css', 'html']","{'account_id': 466543, 'reputation': 4078, 'user_id': 871354, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/2b6ef2c52b3585bd23220bdd8ad1a81a?s=256&d=identicon&r=PG', 'display_name': 'benams', 'link': 'https://stackoverflow.com/users/871354/benams'}",True,38238,5,60,1664561932,1338370358,1635343413.0,10813581,CC BY-SA 4.0,https://stackoverflow.com/questions/10813581/can-i-replace-the-expand-icon-of-the-details-element,Can I replace the expand icon (▶) of the &lt;details&gt; element?,10813665.0,,,,,
22,"['javascript', 'html']","{'account_id': 632119, 'reputation': 4210, 'user_id': 393941, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://i.stack.imgur.com/aZeS5.jpg?s=256&g=1', 'display_name': 'richa', 'link': 'https://stackoverflow.com/users/393941/richa'}",True,2430,4,0,1664209575,1336142136,1336142183.0,10450930,CC BY-SA 3.0,https://stackoverflow.com/questions/10450930/javascript-html5-text-to-image,javascript / html5 - text to image,10450966.0,,,,,
23,"['html', 'embed', 'soundcloud']","{'account_id': 1461180, 'reputation': 11, 'user_id': 1375472, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2f56ba6f0dd7e3c68c741aed745fb41e?s=256&d=identicon&r=PG', 'display_name': 'Simon Buckingham', 'link': 'https://stackoverflow.com/users/1375472/simon-buckingham'}",False,8207,1,1,1663193095,1336150425,1554663903.0,10453008,CC BY-SA 4.0,https://stackoverflow.com/questions/10453008/soundcloud-embedded-html-theme-color-option-not-working,Soundcloud embedded HTML theme_color option not working,,,,,,
24,"['javascript', 'html', 'forms']","{'account_id': 1186300, 'reputation': 5243, 'user_id': 1160198, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://i.stack.imgur.com/L56Xc.png?s=256&g=1', 'display_name': 'StaticVariable', 'link': 'https://stackoverflow.com/users/1160198/staticvariable'}",True,22302,5,8,1663094069,1338436776,1617337747.0,10827256,CC BY-SA 4.0,https://stackoverflow.com/questions/10827256/how-to-detect-copy-and-paste-in-javascript,how to detect copy and paste in javascript?,10827512.0,,,,,
25,"['javascript', 'html', 'cordova', 'canvas', 'save']","{'account_id': 1501731, 'reputation': 2251, 'user_id': 1406153, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/26e0cf3066965ae7f4618fc842c45ba5?s=256&d=identicon&r=PG', 'display_name': 'Wardenclyffe', 'link': 'https://stackoverflow.com/users/1406153/wardenclyffe'}",True,474512,13,189,1662982577,1337514390,1498671643.0,10673122,CC BY-SA 3.0,https://stackoverflow.com/questions/10673122/how-to-save-canvas-as-an-image-with-canvas-todataurl,How To Save Canvas As An Image With canvas.toDataURL()?,,1373641402.0,,,,
26,"['javascript', 'html', 'rest', 'post', 'exist-db']","{'account_id': 416706, 'reputation': 347, 'user_id': 792248, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/593f29399899469e3025cd5442179476?s=256&d=identicon&r=PG', 'display_name': 'Sowmya', 'link': 'https://stackoverflow.com/users/792248/sowmya'}",False,9402,4,2,1662926805,1338355972,1389984948.0,10810492,CC BY-SA 3.0,https://stackoverflow.com/questions/10810492/html-form-submit-giving-400-bad-request,HTML form submit giving 400 bad request,,,,,,
27,"['html', 'browser', 'touch', 'zooming']","{'account_id': 335469, 'reputation': 3090, 'user_id': 662564, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/f2c554f040f2de856d19be9abba46720?s=256&d=identicon&r=PG', 'display_name': 'Wouter Konecny', 'link': 'https://stackoverflow.com/users/662564/wouter-konecny'}",True,177828,17,163,1662727728,1337156038,1337156426.0,10614481,CC BY-SA 3.0,https://stackoverflow.com/questions/10614481/disable-double-tap-zoom-option-in-browser-on-touch-devices,Disable double-tap &quot;zoom&quot; option in browser on touch devices,10910547.0,,,,,
28,"['javascript', 'jquery', 'html', 'marquee']","{'account_id': 1410818, 'reputation': 921, 'user_id': 1337447, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/a4c2ce8876a14c2b865e8fa1b1704643?s=256&d=identicon&r=PG', 'display_name': 'Derp', 'link': 'https://stackoverflow.com/users/1337447/derp'}",True,196787,10,32,1662710088,1336724034,1336724605.0,10547797,CC BY-SA 3.0,https://stackoverflow.com/questions/10547797/very-simple-very-smooth-javascript-marquee,"Very Simple, Very Smooth, JavaScript Marquee",10547997.0,,,,,
29,"['android', 'html', 'geolocation']","{'account_id': 1447534, 'reputation': 61, 'user_id': 1365506, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7b60eb4916ab7bc067e7c60eb8863bf0?s=256&d=identicon&r=PG', 'display_name': 'Aymeric Raguet', 'link': 'https://stackoverflow.com/users/1365506/aymeric-raguet'}",False,8411,2,4,1662674775,1335872660,1495541789.0,10397189,CC BY-SA 3.0,https://stackoverflow.com/questions/10397189/using-html5-geolocation-api-with-android-2-0-browser,Using HTML5 Geolocation API with Android 2.0+ Browser,,,,,,
30,"['html', 'optimization', 'seo', 'roles']","{'account_id': 363655, 'reputation': 13510, 'user_id': 707544, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ed3f6a05c4093de098a39e510df448b1?s=256&d=identicon&r=PG', 'display_name': 'jeroen', 'link': 'https://stackoverflow.com/users/707544/jeroen'}",True,723596,5,1340,1662532734,1335867105,1587295797.0,10403138,,https://stackoverflow.com/questions/10403138/what-is-the-purpose-of-the-role-attribute-in-html,What is the purpose of the &quot;role&quot; attribute in HTML?,18664038.0,1428647594.0,"{'other_site': {'styling': {'tag_background_color': '#FFF', 'tag_foreground_color': '#000', 'link_color': '#0077CC'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'codereview.meta', 'site_url': 'https://codereview.meta.stackexchange.com', 'name': 'Code Review Meta Stack Exchange'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=codereview.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['MathJax', 'EscapedMathJaxDelimiters', 'Prettify'], 'launch_date': 1436881020, 'open_beta_date': 1296068400, 'closed_beta_date': 1295463600, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/codereview/Img/apple-touch-icon@2.png', 'twitter_account': 'StackCodeReview', 'favicon_url': 'https://cdn.sstatic.net/Sites/codereview/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/codereview/Img/apple-touch-icon.png', 'audience': 'peer programmer code reviews', 'site_url': 'https://codereview.stackexchange.com', 'api_site_parameter': 'codereview', 'logo_url': 'https://cdn.sstatic.net/Sites/codereview/Img/logo.png', 'name': 'Code Review', 'site_type': 'main_site'}, 'on_date': 1335900680, 'question_id': 11368}",,,
31,"['php', 'html', 'jquery', 'html-select']","{'account_id': 1424564, 'reputation': 1201, 'user_id': 1348435, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/0f1148db8cbe102782cc2eb5ed0cf22e?s=256&d=identicon&r=PG', 'display_name': 'kalaba2003', 'link': 'https://stackoverflow.com/users/1348435/kalaba2003'}",True,5151,2,0,1662491859,1338067848,1662491859.0,10769952,CC BY-SA 4.0,https://stackoverflow.com/questions/10769952/option-selected-selected-text-option-returns-always-a-value-despite-havin,&lt;option selected=&quot;selected&quot;&gt; text &lt;/option&gt; returns always a value despite having no value,10769960.0,,,,,
32,"['javascript', 'jquery', 'html', 'generics', 'popup']","{'account_id': 1259258, 'reputation': 81, 'user_id': 1218035, 'user_type': 'registered', 'accept_rate': 15, 'profile_image': 'https://www.gravatar.com/avatar/da89302d05b3d614bf53e2164000458a?s=256&d=identicon&r=PG', 'display_name': 'javauser', 'link': 'https://stackoverflow.com/users/1218035/javauser'}",False,7926,2,1,1662454975,1338360483,,10811260,CC BY-SA 3.0,https://stackoverflow.com/questions/10811260/center-popup-windows-opened-from-main-window-using-jquery,Center popup windows opened from main window using jquery?,,,,,,
33,"['html', 'css']","{'account_id': 249401, 'reputation': 2878, 'user_id': 525406, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/65dec1fa3bb8f06a9dfd95d62b59f82f?s=256&d=identicon&r=PG', 'display_name': 'Bertaud', 'link': 'https://stackoverflow.com/users/525406/bertaud'}",True,441494,11,76,1662018069,1336143989,1336144710.0,10451445,CC BY-SA 3.0,https://stackoverflow.com/questions/10451445/two-div-blocks-on-same-line,Two div blocks on same line,10451583.0,,,,,
34,"['php', 'html', 'drop-down-menu', 'html-select']","{'account_id': 1133511, 'reputation': 410, 'user_id': 1119051, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/47fa8e3fe31526c44420d2cf1199fe6e?s=256&d=identicon&r=PG', 'display_name': 'Rohith Raveendran', 'link': 'https://stackoverflow.com/users/1119051/rohith-raveendran'}",True,575,5,2,1661962406,1336048827,1661962406.0,10431581,CC BY-SA 4.0,https://stackoverflow.com/questions/10431581/any-way-to-define-selected-inside-select-tag-rather-than-on-option,Any way to define selected inside &lt;select&gt; tag rather than on &lt;option&gt;,,,,,,
35,"['javascript', 'html', 'dom-events']","{'account_id': 1257014, 'reputation': 2340, 'user_id': 1216272, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/77512fe46dec389c7bc5d85c6a321638?s=256&d=identicon&r=PG', 'display_name': 'Kunal Vashist', 'link': 'https://stackoverflow.com/users/1216272/kunal-vashist'}",True,2485,2,0,1661949150,1336401208,1661949150.0,10483937,CC BY-SA 4.0,https://stackoverflow.com/questions/10483937/need-to-disable-context-menu-on-right-click-and-call-a-function-on-right-click,Need to disable &quot;context menu&quot; on right click and call a function on right click,10483985.0,,,,,
36,"['html', 'google-chrome', 'parsing']","{'account_id': 334861, 'reputation': 18676, 'user_id': 661589, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/54d910c2365b1e965a4007607a71b162?s=256&d=identicon&r=PG', 'display_name': 'Gavriel', 'link': 'https://stackoverflow.com/users/661589/gavriel'}",True,1141,1,5,1661876422,1336047564,1661876422.0,10431242,CC BY-SA 4.0,https://stackoverflow.com/questions/10431242/html-em-parsing-bug-in-chrome,html em parsing bug in chrome,10431355.0,,,,,
37,"['html', 'css', 'fonts', 'font-size']","{'account_id': 215051, 'reputation': 23727, 'user_id': 469408, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/7d338ab538a3892a908027bcb751bce2?s=256&d=identicon&r=PG', 'display_name': 'Channel72', 'link': 'https://stackoverflow.com/users/469408/channel72'}",True,1828,3,13,1661807844,1336309406,1661807844.0,10470727,CC BY-SA 4.0,https://stackoverflow.com/questions/10470727/what-is-an-em-if-the-font-size-of-the-document-is-specified-in-ems,What is an &quot;em&quot; if the font-size of the document is specified in ems?,10470734.0,,,,,
38,"['javascript', 'html', 'dom-events']","{'account_id': 946056, 'reputation': 5182, 'user_id': 973308, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/2ab94c0a59eebc04483ff2482f1e3513?s=256&d=identicon&r=PG', 'display_name': 'Tamil', 'link': 'https://stackoverflow.com/users/973308/tamil'}",False,546,0,1,1661721534,1337618687,1661721534.0,10689202,CC BY-SA 4.0,https://stackoverflow.com/questions/10689202/javascript-updating-window-location-using-history-pushstate,JavaScript updating window location using history.pushState,,,,,,
39,"['javascript', 'html', 'jquery-events']","{'account_id': 1211082, 'reputation': 1996, 'user_id': 1179592, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/ea9e90a8a7b797b6275e78066d7ddf39?s=256&d=identicon&r=PG', 'display_name': 'MaurerPower', 'link': 'https://stackoverflow.com/users/1179592/maurerpower'}",True,1018,4,-1,1661623045,1336844552,1661623045.0,10566033,CC BY-SA 4.0,https://stackoverflow.com/questions/10566033/alerts-not-firing-on-window-load,Alerts not firing on window load,10566108.0,,,,,
40,"['javascript', 'html', 'textarea', 'syntax-highlighting', 'rich-text-editor']","{'account_id': 158367, 'reputation': 66430, 'user_id': 376947, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/1b61fefdf47fd531f94a86516dba0521?s=256&d=identicon&r=PG', 'display_name': 'Alex', 'link': 'https://stackoverflow.com/users/376947/alex'}",True,71634,5,16,1661454706,1335906156,1465638268.0,10404312,CC BY-SA 3.0,https://stackoverflow.com/questions/10404312/html5-rich-text-inside-textarea,HTML5 rich-text inside textarea,,,,,,
41,"['javascript', 'html', 'dom-events']","{'account_id': 470943, 'reputation': 3397, 'user_id': 878414, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/A4yn4.jpg?s=256&g=1', 'display_name': 'Vaquita', 'link': 'https://stackoverflow.com/users/878414/vaquita'}",True,225,1,2,1660645556,1338196653,1660645556.0,10782155,CC BY-SA 4.0,https://stackoverflow.com/questions/10782155/execute-a-javascript-function-when-user-selects-some-text-in-an-html-file,Execute a JavaScript function when user selects some text in an html file,11472016.0,,,,,
42,"['html', 'hyperlink', 'svg']","{'account_id': 11261, 'reputation': 47632, 'user_id': 21640, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/492a3c5c13fb44d27229364e0993fa11?s=256&d=identicon&r=PG', 'display_name': 'Marcin', 'link': 'https://stackoverflow.com/users/21640/marcin'}",False,136,1,0,1660542298,1336141815,,10450854,CC BY-SA 3.0,https://stackoverflow.com/questions/10450854/object-does-not-work-as-link,Object does not work as link,,,,,,
43,"['html', 'css', 'twitter-bootstrap', 'text-decorations']","{'account_id': 1185111, 'reputation': 2669, 'user_id': 1159248, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/a6d9cec0e941926418d552bb15d6874d?s=256&d=identicon&r=PG', 'display_name': 'Olly F', 'link': 'https://stackoverflow.com/users/1159248/olly-f'}",True,32226,4,7,1660513869,1335823350,,10391177,CC BY-SA 3.0,https://stackoverflow.com/questions/10391177/text-decoration-none-not-working-in-bootstrap,&#39;Text-decoration: none&#39; not working in Bootstrap,10391188.0,,,,,
44,"['javascript', 'html', 'jquery', 'jquery-events']","{'account_id': 1366076, 'reputation': 8108, 'user_id': 1302468, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/1a8463adfb10e1b24bdcc3ec8e43172b?s=256&d=identicon&r=PG', 'display_name': 'Valli69', 'link': 'https://stackoverflow.com/users/1302468/valli69'}",True,161,5,0,1660034380,1336556676,1660034380.0,10513602,CC BY-SA 4.0,https://stackoverflow.com/questions/10513602/how-to-use-string-argument-of-a-function-in-a-jquery-expression,How to use string argument of a function in a jQuery expression,10513655.0,,,,,
45,"['javascript', 'html', 'jquery', 'jquery-events']","{'account_id': 1366076, 'reputation': 8108, 'user_id': 1302468, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/1a8463adfb10e1b24bdcc3ec8e43172b?s=256&d=identicon&r=PG', 'display_name': 'Valli69', 'link': 'https://stackoverflow.com/users/1302468/valli69'}",True,135,1,0,1660034268,1335963856,1660034268.0,10414348,CC BY-SA 4.0,https://stackoverflow.com/questions/10414348/having-problems-with-hide-show-functionality-in-jquery,Having Problems with Hide/Show Functionality in jQuery,10552041.0,,,,,
46,"['javascript', 'html', 'jquery', 'jquery-events']","{'account_id': 303157, 'reputation': 2419, 'user_id': 611941, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/b65f9615495aa1fbfaf0833cfaca5463?s=256&d=identicon&r=PG', 'display_name': 'HyperDevil', 'link': 'https://stackoverflow.com/users/611941/hyperdevil'}",True,3062,1,3,1660034215,1337070724,1660034215.0,10596921,CC BY-SA 4.0,https://stackoverflow.com/questions/10596921/jquery-submit-method,jQuery .submit method,10596953.0,,,,,
