,tags,owner,is_answered,view_count,bounty_amount,bounty_closes_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,migrated_from,locked_date
12,"['javascript', 'html', 'jquery']","{'account_id': 16612797, 'reputation': 56, 'user_id': 12005270, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/14d1630ce886c24b7a8d3b4aab7c3683?s=256&d=identicon&r=PG', 'display_name': 'behroz', 'link': 'https://stackoverflow.com/users/12005270/behroz'}",True,46,,,74429714.0,1,0,1668419525,1652177305,1652182033.0,72184381,CC BY-SA 4.0,https://stackoverflow.com/questions/72184381/how-to-select-the-li-element-when-clicked-with-on-input,How to select the li element when clicked with on input,,,,,
13,"['javascript', 'html', 'css', 'frontend']","{'account_id': 19422177, 'reputation': 149, 'user_id': 14204488, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3e336102bff9868da3d16e6afc5ab570?s=256&d=identicon&r=PG&f=1', 'display_name': 'kokiwebaaa', 'link': 'https://stackoverflow.com/users/14204488/kokiwebaaa'}",False,121,,,,3,-1,1668280272,1651668851,1651669855.0,72113350,CC BY-SA 4.0,https://stackoverflow.com/questions/72113350/blur-whole-body-except-one-div-with-js,Blur whole body except one div with js,,,,,
14,"['javascript', 'html', 'localization', 'format', 'percentage']","{'account_id': 25128605, 'reputation': 11, 'user_id': 18976129, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/caf32fb3b5b329be0abb9661eb6825d6?s=256&d=identicon&r=PG', 'display_name': 'Carol12', 'link': 'https://stackoverflow.com/users/18976129/carol12'}",False,26,,,,1,1,1668109063,1651338424,1651338915.0,72070524,CC BY-SA 4.0,https://stackoverflow.com/questions/72070524/how-to-change-the-format-of-a-percentage-number,How to change the format of a percentage number?,,,,,
15,"['javascript', 'html', 'markdown']","{'account_id': 6014802, 'reputation': 876, 'user_id': 4724047, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6f594987218d2946463bf2fda52dc7bb?s=256&d=identicon&r=PG&f=1', 'display_name': 'anton-tchekov', 'link': 'https://stackoverflow.com/users/4724047/anton-tchekov'}",False,155,,,,1,0,1668082014,1652721237,1652737019.0,72263107,CC BY-SA 4.0,https://stackoverflow.com/questions/72263107/how-do-i-use-markdown-it-without-node-js,How do I use markdown-it without node.js?,,,,,
16,"['python', 'html', 'web-scraping', 'beautifulsoup', 'python-requests']","{'account_id': 23453326, 'reputation': 117, 'user_id': 17509195, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gg2J2eECPq8k9UPfzTdr2tgSNOBqnrpdK8danCCIA=k-s256', 'display_name': 'Robert Tacchini', 'link': 'https://stackoverflow.com/users/17509195/robert-tacchini'}",True,194,,,72331367.0,3,1,1667921332,1653051104,,72319238,CC BY-SA 4.0,https://stackoverflow.com/questions/72319238/how-to-requests-all-sizes-in-stock-python,How to requests all sizes in stock - Python,,,,,
17,"['html', 'css', 'laravel', 'tailwind-css', 'pseudo-class']","{'account_id': 25348165, 'reputation': 1, 'user_id': 19165450, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gh-6BWJPKjpf2eXEs7N2oeR36Ys53AFgKoorI9G8Q=k-s256', 'display_name': 'Riki Eprilion Saputra', 'link': 'https://stackoverflow.com/users/19165450/riki-eprilion-saputra'}",False,861,,,,2,0,1667838027,1653105024,,72326526,CC BY-SA 4.0,https://stackoverflow.com/questions/72326526/group-focus-not-working-on-my-code-using-tailwindcss,Group-focus not working on my code using tailwindcss,,,,,
18,"['javascript', 'html', 'for-loop', 'passwords']","{'account_id': 24801891, 'reputation': 7, 'user_id': 18684193, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzFt6qEwxvIuRioPKN3872M5im-cy-FWYLBunrW=k-s256', 'display_name': 'Janae Welsh', 'link': 'https://stackoverflow.com/users/18684193/janae-welsh'}",True,151,,,72267043.0,2,0,1667605374,1652745845,,72266839,CC BY-SA 4.0,https://stackoverflow.com/questions/72266839/simple-javascript-password-checker-wont-loop-after-the-first-iteration,Simple JavaScript password checker won&#39;t loop after the first iteration,,,,,
19,"['javascript', 'html', 'liveserver']","{'account_id': 19498774, 'reputation': 101, 'user_id': 17978333, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/X8VuA.jpg?s=256&g=1', 'display_name': 'Johan', 'link': 'https://stackoverflow.com/users/17978333/johan'}",True,1448,,,72218423.0,3,0,1667537052,1652367465,1652368782.0,72217858,CC BY-SA 4.0,https://stackoverflow.com/questions/72217858/the-server-responded-with-a-mime-type-of-image-png-html-javascript,the server responded with a MIME type of &quot;image/png&quot; - HTML / JavaScript,,,,,
20,"['html', 'css', 'python-3.x', 'plotly']","{'account_id': 16683690, 'reputation': 155, 'user_id': 12058154, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4c3824bd6479a1123d4268721f67c2b3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ormetrom2354', 'link': 'https://stackoverflow.com/users/12058154/ormetrom2354'}",False,377,,,,1,2,1667467610,1651398077,1656785973.0,72075604,CC BY-SA 4.0,https://stackoverflow.com/questions/72075604/how-to-set-the-line-height-of-the-html-br-tag-in-plotly-dash-python,How to set the line height of the html.Br tag in Plotly Dash Python?,,,,,
21,"['javascript', 'html', 'visual-studio-code', 'ecmascript-6', 'formatting']","{'account_id': 2473145, 'reputation': 2389, 'user_id': 2154440, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://i.stack.imgur.com/cAabD.jpg?s=256&g=1', 'display_name': 'Edgar Derby', 'link': 'https://stackoverflow.com/users/2154440/edgar-derby'}",False,254,,,,1,4,1667296809,1651397062,,72075490,CC BY-SA 4.0,https://stackoverflow.com/questions/72075490/visual-studio-code-how-to-automatically-format-html-contained-in-template-liter,Visual Studio Code: How to automatically format HTML contained in template literals?,,,,,
22,"['html', 'user-interface', 'web-applications']","{'account_id': 21786123, 'reputation': 43, 'user_id': 17143734, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxaC5JbSyV7kdjAIAelr8o-g-ztzI27jD7AM9lE=k-s256', 'display_name': 'AB_Coding', 'link': 'https://stackoverflow.com/users/17143734/ab-coding'}",True,161,,,74264569.0,1,1,1667225366,1652041990,,72164885,CC BY-SA 4.0,https://stackoverflow.com/questions/72164885/tools-for-building-a-graph-node-based-user-interface-in-a-webapp,Tools for building a Graph/Node based user interface in a webapp,,,,,
23,"['html', 'reactjs']","{'account_id': 18042619, 'reputation': 72, 'user_id': 13114349, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/128d317a22fcc3d9df11bcc7b6883d7b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Amir', 'link': 'https://stackoverflow.com/users/13114349/amir'}",True,52,,,,1,0,1666964744,1652081687,1666964744.0,72168422,CC BY-SA 4.0,https://stackoverflow.com/questions/72168422/object-are-not-valid-as-reactchild-in-react-jsx-parser,object are not valid as Reactchild in react-jsx-parser,,,,,
24,"['javascript', 'html', 'css']","{'account_id': 24724442, 'reputation': 9, 'user_id': 18613114, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxeBJCm2qcL2yUMCwy7fXKJwiM4e_zPR9EPyZhB=k-s256', 'display_name': 'Dimitri Mentus', 'link': 'https://stackoverflow.com/users/18613114/dimitri-mentus'}",True,51,,,,1,-1,1666882245,1653576946,1666882245.0,72393826,CC BY-SA 4.0,https://stackoverflow.com/questions/72393826/why-does-this-question-still-exist-i-want-to-delete-it,why does this question still exist i want to delete it,,,,,
25,"['html', 'mustache', 'postmark']","{'account_id': 2766797, 'reputation': 85, 'user_id': 2382321, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/1f4369c8ae77b6d786621f6fe0cb2bbc?s=256&d=identicon&r=PG', 'display_name': 'user2382321', 'link': 'https://stackoverflow.com/users/2382321/user2382321'}",False,107,,,,2,0,1666728811,1653147149,,72330964,CC BY-SA 4.0,https://stackoverflow.com/questions/72330964/nested-variables-not-rendering-in-email-template-using-mustache,Nested variables not rendering in email template using mustache,,,,,
26,"['python', 'html', 'beautifulsoup']","{'account_id': 25371660, 'reputation': 3, 'user_id': 19185360, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/62da460964b525e981dbc760a037386a?s=256&d=identicon&r=PG', 'display_name': 'xorgus', 'link': 'https://stackoverflow.com/users/19185360/xorgus'}",True,77,,,72356786.0,2,-2,1666702323,1653360931,1653372717.0,72356733,CC BY-SA 4.0,https://stackoverflow.com/questions/72356733/trying-to-skip-empty-tags-beautifulsoup-attributeerror-nonetype-object-has-no,Trying to skip empty tags beautifulsoup AttributeError: &#39;NoneType&#39; object has no attribute &#39;text&#39;,,,,,
27,"['javascript', 'java', 'html', 'css', 'strapi']","{'account_id': 15191819, 'reputation': 2500, 'user_id': 10962364, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/5rz7O.jpg?s=256&g=1', 'display_name': 'MagnusEffect', 'link': 'https://stackoverflow.com/users/10962364/magnuseffect'}",True,587,,,,3,2,1666606374,1652183247,1652183560.0,72185760,CC BY-SA 4.0,https://stackoverflow.com/questions/72185760/not-able-to-create-a-new-collection-type-in-strapi-dashboard,Not able to create a new collection-type in Strapi Dashboard,,,,,
28,"['html', 'filter', 'knitr', 'pdb']","{'account_id': 25290063, 'reputation': 1, 'user_id': 19116345, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ebc4bcf15dccd86fd1fc896e91ad62a1?s=256&d=identicon&r=PG', 'display_name': 'Rler01', 'link': 'https://stackoverflow.com/users/19116345/rler01'}",False,34,,,,1,0,1666599321,1652538785,,72241163,CC BY-SA 4.0,https://stackoverflow.com/questions/72241163/error-cannot-find-when-knitting-to-html,Error cannot find &quot;%&gt;%&quot; when knitting to html?,,,,,
29,"['html', 'css', 'reactjs', 'firefox']","{'account_id': 23895443, 'reputation': 1, 'user_id': 17894495, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJy5RuLWj71Dq8UFALAtQFvjNSKZJfkFlh4SqS_V=k-s256', 'display_name': 'Shograti', 'link': 'https://stackoverflow.com/users/17894495/shograti'}",False,171,,,,0,0,1666456436,1652086395,1652087185.0,72169312,CC BY-SA 4.0,https://stackoverflow.com/questions/72169312/display-issue-with-a-positionfixed-bottom-tab-bar-on-firefox-mobile-browser,Display issue with a position:fixed bottom tab bar on Firefox mobile browser,,,,,
30,"['html', 'css', 'svg']","{'account_id': 12078424, 'reputation': 306, 'user_id': 8831048, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/1OPim.jpg?s=256&g=1', 'display_name': 'Mathew Dony', 'link': 'https://stackoverflow.com/users/8831048/mathew-dony'}",True,378,,,72123344.0,2,1,1666439159,1651733581,1666439159.0,72123042,CC BY-SA 4.0,https://stackoverflow.com/questions/72123042/prevent-border-radius-from-clipping-svg-icon-in-css,Prevent border-radius from clipping SVG icon in CSS,,,,,
31,"['html', 'angular', 'typescript', 'angular-material']","{'account_id': 25207367, 'reputation': 1, 'user_id': 19045506, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3168b9e03d92569d008a103059487099?s=256&d=identicon&r=PG', 'display_name': 'user19045506', 'link': 'https://stackoverflow.com/users/19045506/user19045506'}",False,398,,,,1,0,1666337392,1651772517,,72131496,CC BY-SA 4.0,https://stackoverflow.com/questions/72131496/panelclass-for-matdialogconfig-is-being-added-to-the-wrong-element-how-can-i-re,PanelClass for MatDialogConfig is being added to the wrong element. How can I resolve this?,,,,,
32,"['html', 'css', 'email', 'templates', 'mjml']","{'account_id': 130393, 'reputation': 489, 'user_id': 1142974, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://i.stack.imgur.com/YNSlB.png?s=256&g=1', 'display_name': 'Helmi', 'link': 'https://stackoverflow.com/users/1142974/helmi'}",False,138,,,,1,0,1666278317,1651732403,,72122852,CC BY-SA 4.0,https://stackoverflow.com/questions/72122852/how-to-set-font-features-stylistics-sets-in-mjml,How to set font features (stylistics sets) in MJML,,,,,
33,"['c#', 'html', 'image', 'bitmap']","{'account_id': 25182315, 'reputation': 1, 'user_id': 19023688, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4f0fc2c1f32ed3db80123ed67525caba?s=256&d=identicon&r=PG', 'display_name': 'agoya', 'link': 'https://stackoverflow.com/users/19023688/agoya'}",False,639,,,,0,0,1666265410,1651577115,1666265410.0,72098681,CC BY-SA 4.0,https://stackoverflow.com/questions/72098681/c-convert-html-to-image,C# convert html to image,,,,,
34,"['html', 'loops', 'if-statement', 'script-tag']","{'account_id': 25260854, 'reputation': 3, 'user_id': 19091774, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzvmZnSu6txGtXoXS5emZAkyGkeAOJQmxzWenZx=k-s256', 'display_name': '00000000', 'link': 'https://stackoverflow.com/users/19091774/00000000'}",True,83,,,72241834.0,1,0,1666236514,1652542823,1666236514.0,72241743,CC BY-SA 4.0,https://stackoverflow.com/questions/72241743/adding-html-in-a-if-statement,Adding HTML in a if-statement,,,,,
35,"['html', 'powershell']","{'account_id': 21822273, 'reputation': 1, 'user_id': 16118328, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhfgozRjWR-Ggje5UkJkk3c7Cs5I22_aOYVSg5J=k-s256', 'display_name': 'trlhrn', 'link': 'https://stackoverflow.com/users/16118328/trlhrn'}",True,245,,,,1,0,1666236437,1653162232,1666236437.0,72332736,CC BY-SA 4.0,https://stackoverflow.com/questions/72332736/web-scraping-html-page-using-powershell-loop-div-and-export-result-as-table,Web Scraping HTML page using PowerShell - loop DIV and export result as table,,,,,
36,"['html', 'dictionary', 'folium']","{'account_id': 21415879, 'reputation': 1, 'user_id': 15775147, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-FFkILxj2M1Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnusYA7vACCja6ILXctieGTcCXT5A/s96-c/photo.jpg?sz=256', 'display_name': 'Lengesder', 'link': 'https://stackoverflow.com/users/15775147/lengesder'}",False,189,,,,0,0,1666166140,1653317536,1654349015.0,72350588,CC BY-SA 4.0,https://stackoverflow.com/questions/72350588/how-to-read-a-html-map-created-and-saved-with-folium-back-into-folium-as-a-map-o,How to read a html map created and saved with folium back into folium as a map object to do some changes?,,,,,
37,"['javascript', 'html']","{'account_id': 24384413, 'reputation': 170, 'user_id': 19059575, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/402f436a049cc85b02ad4a8e41666447?s=256&d=identicon&r=PG', 'display_name': 'makerbaker', 'link': 'https://stackoverflow.com/users/19059575/makerbaker'}",True,593,,,72244073.0,5,1,1666158280,1652560247,,72243659,CC BY-SA 4.0,https://stackoverflow.com/questions/72243659/how-to-make-input-checkbox-update-price-total-using-values-include-additional,How to Make Input Checkbox Update Price Total Using Values + Include Additional Fees for Total?,,,,,
38,"['javascript', 'html', 'variables']","{'account_id': 23848170, 'reputation': 65, 'user_id': 17852420, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5de5cf26a1a9e829e93a801618164a3f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jos&#233; Leal', 'link': 'https://stackoverflow.com/users/17852420/jos%c3%a9-leal'}",True,134,,,72262185.0,2,-1,1666134216,1652716246,,72262026,CC BY-SA 4.0,https://stackoverflow.com/questions/72262026/javascript-how-i-use-a-global-variable-for-2-different-html-pages,Javascript: how i use a &#39;&#39;global variable&#39;&#39; for 2 different html pages?,,,,,
39,"['javascript', 'html', 'go', 'vite']","{'account_id': 17442601, 'reputation': 502, 'user_id': 12658831, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/GBTOh.jpg?s=256&g=1', 'display_name': 'Mutex', 'link': 'https://stackoverflow.com/users/12658831/mutex'}",True,1082,,,72442140.0,1,2,1665923919,1653969716,1665923919.0,72442139,CC BY-SA 4.0,https://stackoverflow.com/questions/72442139/failed-to-load-module-script-expected-a-javascript-module,Failed to load module script: Expected a JavaScript module,,,,,
40,"['javascript', 'html', 'css', 'drop-down-menu']","{'account_id': 25158121, 'reputation': 87, 'user_id': 19002676, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyvIT3BUtCNwPr_F7wDTLNju3VtrRCywpOj_uHTSg=k-s256', 'display_name': 'Brian', 'link': 'https://stackoverflow.com/users/19002676/brian'}",True,106,,,,3,1,1665921494,1653576298,,72393681,CC BY-SA 4.0,https://stackoverflow.com/questions/72393681/closing-dropdown-button-in-vanilla-js,Closing dropdown button in Vanilla JS,,,,,
41,"['javascript', 'html', 'sql', 'asp.net-core', 'razor']","{'account_id': 25279677, 'reputation': 31, 'user_id': 19107716, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/30e874c252c31901c7467c4c59c515d7?s=256&d=identicon&r=PG', 'display_name': 'Ammos', 'link': 'https://stackoverflow.com/users/19107716/ammos'}",True,451,,,,3,0,1665810366,1653474252,1653639153.0,72375867,CC BY-SA 4.0,https://stackoverflow.com/questions/72375867/how-to-hide-columns-in-html-table-if-rows-under-this-column-is-empty,How to hide columns in HTML table if rows under this column is empty?,,,,,
42,"['javascript', 'html', 'automation', 'cypress']","{'account_id': 21894891, 'reputation': 51, 'user_id': 16181294, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/xekMC.jpg?s=256&g=1', 'display_name': 'Ignis Abbot', 'link': 'https://stackoverflow.com/users/16181294/ignis-abbot'}",True,368,,,,1,0,1665768613,1652973211,1665768613.0,72307051,CC BY-SA 4.0,https://stackoverflow.com/questions/72307051/i-got-an-error-while-using-cy-origin-and-trying-to-execute-any-command-on-the,I got an error while using cy.origin() and trying to execute any command on the new context,,,,,
43,"['javascript', 'html', 'dom', 'frontend']","{'account_id': 13011162, 'reputation': 153, 'user_id': 9404143, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bc866597f2eb264e0000a1f560861937?s=256&d=identicon&r=PG&f=1', 'display_name': 'Juan Luis', 'link': 'https://stackoverflow.com/users/9404143/juan-luis'}",False,181,,,,1,0,1665680118,1652839830,,72282509,CC BY-SA 4.0,https://stackoverflow.com/questions/72282509/passing-parameters-to-mouseenter-mouseout-js-callbacks,passing parameters to mouseenter/mouseout JS callbacks,,,,,
44,"['html', 'xml', 'view', 'sapui5', 'manifest']","{'account_id': 22323842, 'reputation': 28, 'user_id': 16546123, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f15ce880129e52c25fc54de8ad8e6785?s=256&d=identicon&r=PG&f=1', 'display_name': 'JK97Tae', 'link': 'https://stackoverflow.com/users/16546123/jk97tae'}",True,45,,,,1,0,1665512937,1653465546,1665512937.0,72373923,CC BY-SA 4.0,https://stackoverflow.com/questions/72373923/creating-two-html-pages-in-sapui5-and-executing-one-or-the-other-depends-on-the,Creating two html pages in SAPUI5 and executing one or the other depends on the situation,,,,,
45,"['javascript', 'html', 'css', 'node.js', 'reactjs']","{'account_id': 25222874, 'reputation': 127, 'user_id': 19059099, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/YzWIx.jpg?s=256&g=1', 'display_name': 'Arjunsingh thakur', 'link': 'https://stackoverflow.com/users/19059099/arjunsingh-thakur'}",True,183,,,72190197.0,2,1,1665478097,1652200605,,72190039,CC BY-SA 4.0,https://stackoverflow.com/questions/72190039/there-is-lag-in-my-react-app-on-a-add-to-card-button,there is lag in my react app on a add to card button,,,,,
46,"['javascript', 'html', 'jquery', 'css', 'frontend']","{'account_id': 7290655, 'reputation': 182, 'user_id': 9301938, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0b79fc86394c5640cd157d6fadf9ce1d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dave', 'link': 'https://stackoverflow.com/users/9301938/dave'}",True,1252,,,,3,2,1665391789,1653060828,1653137651.0,72321466,CC BY-SA 4.0,https://stackoverflow.com/questions/72321466/scrollable-content-on-left-sticky-image-on-right-with-active-item-on-scroll,Scrollable content on left - sticky image on right - with active item on scroll,,,,,
