,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,closed_date,last_edit_date,closed_reason,protected_date,migrated_from
10,"['html', 'css']","{'account_id': 3176949, 'reputation': 27, 'user_id': 2900729, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/eecd28968ed2effbd19e73fb4272d41b?s=256&d=identicon&r=PG', 'display_name': 'Lutfi Hanafiah Ramadhan', 'link': 'https://stackoverflow.com/users/2900729/lutfi-hanafiah-ramadhan'}",True,1372,61337224.0,2,1,1668231569,1587450184,61337175,CC BY-SA 4.0,https://stackoverflow.com/questions/61337175/button-is-moving-a-little-bit-when-i-hover-it,Button is moving a little bit when i hover it,,1592644375.0,,,
11,"['html', 'redirect', 'next.js']","{'account_id': 4759281, 'reputation': 7120, 'user_id': 3847117, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/625532931d60c1c3a51c51de2bf9f141?s=256&d=identicon&r=PG&f=1', 'display_name': 'Foobar', 'link': 'https://stackoverflow.com/users/3847117/foobar'}",True,3666,61027216.0,2,4,1667691793,1585979498,61024295,CC BY-SA 4.0,https://stackoverflow.com/questions/61024295/serve-top-level-domain-as-static-html-page-in-next-js,Serve top level domain as static html page in next.js?,,1667691793.0,,,
12,['html'],"{'account_id': 18372592, 'reputation': 1, 'user_id': 13382385, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-xFfiQy_ETV4/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJN2i25w7DRe8H4VhgY5FAnWZlWKrw/photo.jpg?sz=256', 'display_name': 'Sandaru Rasanjana', 'link': 'https://stackoverflow.com/users/13382385/sandaru-rasanjana'}",False,23,,0,0,1667455491,1587696123,61400219,CC BY-SA 4.0,https://stackoverflow.com/questions/61400219/automatic-coloring-of-text-when-typing-in-a-contenteditable-div,Automatic Coloring of text when typing in a contenteditable div,,1667455491.0,,,
13,"['html', 'css']","{'account_id': 17996063, 'reputation': 13, 'user_id': 13079057, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/J5B7o.jpg?s=256&g=1', 'display_name': 'buzzy', 'link': 'https://stackoverflow.com/users/13079057/buzzy'}",True,636,61471210.0,1,0,1667455457,1588014241,61466454,CC BY-SA 4.0,https://stackoverflow.com/questions/61466454/issues-with-css-grid-and-media-queries-help,Issues with CSS Grid and Media Queries (HELP!),,1667455457.0,,,
14,"['javascript', 'html']","{'account_id': 18191126, 'reputation': 1, 'user_id': 13236956, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-GQhI8Ki16j8/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJN6Q1eF8-GHW2siOJldsKoRwAT9eg/photo.jpg?sz=256', 'display_name': 'user13236956', 'link': 'https://stackoverflow.com/users/13236956/user13236956'}",False,22,,0,0,1667160195,1586173491,61059034,CC BY-SA 4.0,https://stackoverflow.com/questions/61059034/suggest-a-way-to-store-the-value-form-csv-into-dropdown-with-javascript-variable,Suggest a way to store the value form csv into dropdown with javascript variable perform operations on it,,1667160195.0,,,
15,"['html', 'flutter', 'navigator', 'flutter-web']","{'account_id': 8384279, 'reputation': 95, 'user_id': 6295177, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bcadb649701d8068853aba061a908691?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sajad Khoshnoudi', 'link': 'https://stackoverflow.com/users/6295177/sajad-khoshnoudi'}",True,6862,61293207.0,2,3,1666805448,1587137699,61275354,CC BY-SA 4.0,https://stackoverflow.com/questions/61275354/request-camera-permission-flutter-web,Request Camera Permission Flutter Web,,,,,
16,"['javascript', 'html', 'css', 'electron', 'titlebar']","{'account_id': 17954942, 'reputation': 81, 'user_id': 13047233, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/600036763715108/picture?type=large', 'display_name': 'Plamen Dobrev', 'link': 'https://stackoverflow.com/users/13047233/plamen-dobrev'}",False,1600,,2,2,1666731466,1586709681,61174826,CC BY-SA 4.0,https://stackoverflow.com/questions/61174826/electron-webkit-app-region-drag-works-but-it-doesnt-let-me-click-the-buttons,Electron: -webkit-app-region: drag works but it doesn&#39;t let me click the buttons in my custom title bar,,,,,
17,"['javascript', 'html', 'accessibility', 'wai-aria']","{'account_id': 450024, 'reputation': 1781, 'user_id': 1105281, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://i.stack.imgur.com/Byxyt.jpg?s=256&g=1', 'display_name': 'osdiab', 'link': 'https://stackoverflow.com/users/1105281/osdiab'}",True,4553,,2,6,1666642632,1587123834,61270823,CC BY-SA 4.0,https://stackoverflow.com/questions/61270823/accessibility-show-hide-password-button-in-a-password-input,Accessibility: show/hide password button in a password input,,1666642632.0,,,
18,"['html', 'reactjs', 'accessibility', 'screen-readers']","{'account_id': 17969070, 'reputation': 1, 'user_id': 13058300, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/x4o3i.jpg?s=256&g=1', 'display_name': 'PiggyPandaCub', 'link': 'https://stackoverflow.com/users/13058300/piggypandacub'}",False,907,,1,0,1666642614,1587444212,61336110,CC BY-SA 4.0,https://stackoverflow.com/questions/61336110/accessibility-visibility-on-hover-how-can-i-add-screenreader-and-ontab-functi,Accessibility: Visibility on Hover - How can I add screenreader and ontab functionality?,,1666642614.0,,,
19,"['html', 'css', 'angular', 'frontend', 'web-frontend']","{'account_id': 7641699, 'reputation': 381, 'user_id': 5793587, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://lh3.googleusercontent.com/-ExR2DgtsHmA/AAAAAAAAAAI/AAAAAAAAAJo/oLNG2z3eWLs/photo.jpg?sz=256', 'display_name': 'J. Grohmann', 'link': 'https://stackoverflow.com/users/5793587/j-grohmann'}",True,309,61092110.0,2,0,1666427731,1586309369,61091977,CC BY-SA 4.0,https://stackoverflow.com/questions/61091977/angular-flexbox-wont-fill-screen,Angular: Flexbox Won&#39;t Fill Screen,,1586310314.0,,,
20,"['html', 'node.js', 'reactjs', 'next.js']","{'account_id': 1668855, 'reputation': 12591, 'user_id': 2700303, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://i.stack.imgur.com/vE8uj.jpg?s=256&g=1', 'display_name': 'MiguelSlv', 'link': 'https://stackoverflow.com/users/2700303/miguelslv'}",True,30370,61902243.0,9,33,1666273422,1587326392,61310847,CC BY-SA 4.0,https://stackoverflow.com/questions/61310847/how-to-set-html-lang-attribute-dynamically-on-nextjs-document,How to set HTML lang attribute dynamically on NextJs Document?,,1613971080.0,,,
21,"['javascript', 'html', 'reactjs']","{'account_id': 14574029, 'reputation': 69, 'user_id': 12810253, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-80rDuZOKX_k/AAAAAAAAAAI/AAAAAAAABFo/kn-FTFd8gUI/photo.jpg?sz=256', 'display_name': 'Kayla Song', 'link': 'https://stackoverflow.com/users/12810253/kayla-song'}",True,8446,,2,3,1666264883,1586383565,61110804,CC BY-SA 4.0,https://stackoverflow.com/questions/61110804/disable-right-click-in-react-js,Disable right click in React.js?,,,,,
22,"['html', 'material-design']","{'account_id': 9514033, 'reputation': 2054, 'user_id': 7071069, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/e48dc1bd8c3adc24506f641ea5310a63?s=256&d=identicon&r=PG&f=1', 'display_name': 'Leff', 'link': 'https://stackoverflow.com/users/7071069/leff'}",True,3152,,5,5,1666241211,1588111991,61490873,CC BY-SA 4.0,https://stackoverflow.com/questions/61490873/material-design-for-web-how-to-make-an-autocomplete-input,Material design for web - how to make an autocomplete input,,1588544234.0,,,
23,"['javascript', 'html', 'reactjs']","{'account_id': 11944810, 'reputation': 4066, 'user_id': 8740387, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6c52c34f18b15f314a70053032eb0931?s=256&d=identicon&r=PG&f=1', 'display_name': 'S. Hesam', 'link': 'https://stackoverflow.com/users/8740387/s-hesam'}",False,227,,1,-3,1666135869,1587993642,61459861,CC BY-SA 4.0,https://stackoverflow.com/questions/61459861/how-to-get-selected-option-in-react-js-not-jquery-or-any-other-framework,How to get selected option in React.js not jQuery or any other framework?,,1588162859.0,,,
24,"['javascript', 'html', 'frontend', 'slick.js']","{'account_id': 15350045, 'reputation': 25, 'user_id': 11074098, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1fc80c44ea0c841c3a6b88e0dd5c357b?s=256&d=identicon&r=PG&f=1', 'display_name': 'jacksmug', 'link': 'https://stackoverflow.com/users/11074098/jacksmug'}",True,256,61473830.0,1,0,1666031399,1588052944,61473430,CC BY-SA 4.0,https://stackoverflow.com/questions/61473430/slick-js-count-number-by-page,Slick.js count number by page,,1588060781.0,,,
25,"['javascript', 'html']","{'account_id': 16202737, 'reputation': 15, 'user_id': 11698755, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ba7acc211dc76dba0869b4739327495d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jacob', 'link': 'https://stackoverflow.com/users/11698755/jacob'}",True,400,61055284.0,2,0,1665901476,1586157627,61054763,CC BY-SA 4.0,https://stackoverflow.com/questions/61054763/how-to-allow-the-selection-only-one-option-for-certain-values-in-a-multiple-sele,How to allow the selection ONLY one option for certain values in a multiple selection dropdown list?,,,,,
26,"['javascript', 'html', 'reactjs', 'ads', 'external-script']","{'account_id': 4918001, 'reputation': 47, 'user_id': 3961407, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Lou', 'link': 'https://stackoverflow.com/users/3961407/lou'}",True,1434,61036930.0,3,2,1665845990,1586044973,61036388,CC BY-SA 4.0,https://stackoverflow.com/questions/61036388/load-external-script-from-advertising-partner-in-react-js-app,Load External Script From Advertising Partner in React.js app,,1586048208.0,,,
27,"['javascript', 'html', 'css']","{'account_id': 18187637, 'reputation': 37, 'user_id': 13234022, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/838913363ff0323e6d96b939a5c90f2f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rostek', 'link': 'https://stackoverflow.com/users/13234022/rostek'}",True,392,61268257.0,2,-1,1665534782,1587114185,61267782,CC BY-SA 4.0,https://stackoverflow.com/questions/61267782/use-javascript-to-change-a-second-select-list-based-on-the-first-select-list-opt,Use javascript to change a second select list based on the first select list option?,,1665534782.0,,,
28,"['html', 'w3c-validation']","{'account_id': 3777679, 'reputation': 773, 'user_id': 3138025, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://i.stack.imgur.com/TSLrq.jpg?s=256&g=1', 'display_name': 'user3138025', 'link': 'https://stackoverflow.com/users/3138025/user3138025'}",False,53,,0,1,1665514654,1587172878,61283145,CC BY-SA 4.0,https://stackoverflow.com/questions/61283145/how-to-fix-a-validation-error-within-a-script-tag,How to fix a validation error within a &lt;script&gt; tag,,1665514654.0,,,
29,"['javascript', 'html', 'express', 'backend', 'web-frontend']","{'account_id': 17506607, 'reputation': 5, 'user_id': 12695689, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Zugx7.png?s=256&g=1', 'display_name': 'Bedrock Coder', 'link': 'https://stackoverflow.com/users/12695689/bedrock-coder'}",True,2891,,3,0,1664890586,1586627488,61161253,CC BY-SA 4.0,https://stackoverflow.com/questions/61161253/console-log-in-client-from-express-server,console.log() in client from express server,,,,,
30,"['html', 'image', 'pdf', 'flutter', 'dart']","{'account_id': 5843095, 'reputation': 5858, 'user_id': 4603998, 'user_type': 'registered', 'accept_rate': 7, 'profile_image': 'https://i.stack.imgur.com/6uv0w.png?s=256&g=1', 'display_name': 'jazzbpn', 'link': 'https://stackoverflow.com/users/4603998/jazzbpn'}",True,6077,61438434.0,3,1,1664611047,1587550084,61362410,CC BY-SA 4.0,https://stackoverflow.com/questions/61362410/can-we-convert-pdf-into-image-using-flutter-in-order-to-show-thumbnail-of-the-fi,Can we convert PDF into image using flutter in order to show thumbnail of the file?,,1587892325.0,,,
31,"['html', 'excel', 'vba', 'web-scraping', 'css-selectors']","{'account_id': 10383148, 'reputation': 8076, 'user_id': 7657180, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6c0ee64d62bb9980080e6881a20a15fc?s=256&d=identicon&r=PG', 'display_name': 'YasserKhalil', 'link': 'https://stackoverflow.com/users/7657180/yasserkhalil'}",True,336,60958005.0,3,0,1664522647,1585673945,60955924,CC BY-SA 4.0,https://stackoverflow.com/questions/60955924/extract-email-html-element,Extract email HTML Element,,1585749989.0,,,
32,"['html', 'angular', 'sass', 'angular-material']","{'account_id': 16331994, 'reputation': 1, 'user_id': 11795075, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a59b257de35169d61aed00635f5f099e?s=256&d=identicon&r=PG&f=1', 'display_name': 'AndreRoque', 'link': 'https://stackoverflow.com/users/11795075/andreroque'}",True,3035,61235268.0,3,0,1664400050,1586960547,61231153,CC BY-SA 4.0,https://stackoverflow.com/questions/61231153/how-can-i-change-angular-material-mat-autocomplete-text-color-to-white-after-an,How can I change Angular Material mat-autocomplete text color to white after an option is chosen?,,,,,
33,"['javascript', 'html', 'css']","{'account_id': 11324634, 'reputation': 180, 'user_id': 11499729, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3ac3fc31c053d51d5f2c4c6a90df3414?s=256&d=identicon&r=PG&f=1', 'display_name': 'atheros', 'link': 'https://stackoverflow.com/users/11499729/atheros'}",True,1150,61496267.0,1,2,1663969557,1588144218,61496094,CC BY-SA 4.0,https://stackoverflow.com/questions/61496094/persistent-dark-mode-while-navigating-pages-with-a-dark-light-mode-toggling-opti,Persistent dark mode while navigating pages with a dark/light mode toggling option,,1663969557.0,,,
34,"['javascript', 'html', 'vue.js']","{'account_id': 1039651, 'reputation': 16128, 'user_id': 1046010, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/eJKBB.png?s=256&g=1', 'display_name': 'Ben Carey', 'link': 'https://stackoverflow.com/users/1046010/ben-carey'}",True,1131,61256252.0,2,2,1663942804,1587049028,61253405,CC BY-SA 4.0,https://stackoverflow.com/questions/61253405/why-does-inheritattrs-even-exist-in-vue,Why does inheritAttrs even exist in Vue?,,1587059114.0,,,
35,"['html', 'css']","{'account_id': 16490213, 'reputation': 99, 'user_id': 11914355, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0e8717a7086f30f70f7c9c0f14eb0932?s=256&d=identicon&r=PG&f=1', 'display_name': 'zach_21', 'link': 'https://stackoverflow.com/users/11914355/zach-21'}",True,6232,61160064.0,2,5,1663790402,1586620849,61159717,CC BY-SA 4.0,https://stackoverflow.com/questions/61159717/how-to-align-icon-left-and-text-centred-in-a-html-button,How to align icon left and text centred in a html button?,,,,,
36,"['html', 'css']","{'account_id': 15566767, 'reputation': 19, 'user_id': 11230261, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/122158258929194/picture?type=large', 'display_name': 'Tarun Rathore', 'link': 'https://stackoverflow.com/users/11230261/tarun-rathore'}",False,1226,,3,1,1663784675,1585998882,61027225,CC BY-SA 4.0,https://stackoverflow.com/questions/61027225/why-is-html-page-not-displaying-hindi-fonts,Why is html page not displaying hindi fonts?,,1586009008.0,,,
37,"['html', 'greasemonkey', 'tampermonkey']","{'account_id': 3676149, 'reputation': 39, 'user_id': 3062207, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3062207', 'link': 'https://stackoverflow.com/users/3062207/user3062207'}",False,354,,3,0,1663578765,1586264501,61080641,CC BY-SA 4.0,https://stackoverflow.com/questions/61080641/change-default-website-language-for-google-translation,change default website language for google translation,,,,,
38,"['html', 'css', 'twitter-bootstrap-3', 'thumbnails']","{'account_id': 7763231, 'reputation': 1679, 'user_id': 5875276, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://graph.facebook.com/10108283776627117/picture?type=large', 'display_name': 'DiamondJoe12', 'link': 'https://stackoverflow.com/users/5875276/diamondjoe12'}",False,19,,0,1,1663444308,1587569327,61368958,CC BY-SA 4.0,https://stackoverflow.com/questions/61368958/trouble-adding-a-caption-below-thumbnail-in-bootstrap,Trouble adding a caption below thumbnail in Bootstrap,,1663444308.0,,,
39,"['javascript', 'html']","{'account_id': 12977026, 'reputation': 2994, 'user_id': 11510013, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-oBTTQmrq_mA/AAAAAAAAAAI/AAAAAAAAANI/VTYhL_gyQXk/photo.jpg?sz=256', 'display_name': 'snehit vaddi', 'link': 'https://stackoverflow.com/users/11510013/snehit-vaddi'}",True,721671,61442974.0,16,271,1663365486,1587460595,61339968,CC BY-SA 4.0,https://stackoverflow.com/questions/61339968/error-message-devtools-failed-to-load-sourcemap-could-not-load-content-for-chr,Error message &quot;DevTools failed to load SourceMap: Could not load content for chrome-extension://...&quot;,,1643605065.0,,1609148609.0,
40,"['javascript', 'jquery', 'html', 'css']","{'account_id': 9352333, 'reputation': 25, 'user_id': 6941593, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/07R9f.jpg?s=256&g=1', 'display_name': 'Nagashiwa', 'link': 'https://stackoverflow.com/users/6941593/nagashiwa'}",True,375,61305019.0,2,1,1663285978,1586799674,61193500,CC BY-SA 4.0,https://stackoverflow.com/questions/61193500/button-opens-and-jumps-accordion-while-clicking-on-it,Button opens and jumps accordion while clicking on it,,1586874028.0,,,
41,"['html', 'css', 'angular', 'primeng']","{'account_id': 13320707, 'reputation': 46, 'user_id': 9615471, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3a575b4f481c76d72fe83f4b59d5237e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Adabala Rama Krishna', 'link': 'https://stackoverflow.com/users/9615471/adabala-rama-krishna'}",True,2237,,3,1,1662991361,1585914347,61011174,CC BY-SA 4.0,https://stackoverflow.com/questions/61011174/primeng-data-table-columns-width-autofit-based-on-contents,primeng data table columns width autofit based on contents,,1586156440.0,,,
42,"['html', 'css', 'font-awesome']","{'account_id': 4819712, 'reputation': 651, 'user_id': 3890722, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://i.stack.imgur.com/DN5eJ.jpg?s=256&g=1', 'display_name': 'Niranga Sandaruwan', 'link': 'https://stackoverflow.com/users/3890722/niranga-sandaruwan'}",True,1334,61404438.0,2,1,1662477545,1587716829,61404181,CC BY-SA 4.0,https://stackoverflow.com/questions/61404181/font-awesome-unicode-f046-not-showing-in-chrome,Font Awesome unicode &quot;\f046&quot; not showing in Chrome,,1587718239.0,,,
43,"['javascript', 'php', 'html', 'drupal', 'html-select']","{'account_id': 5509577, 'reputation': 307, 'user_id': 4376346, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a1718e02e7b6c4f87221a7c95b929ba7?s=256&d=identicon&r=PG', 'display_name': 'Xavier Duvan Melo', 'link': 'https://stackoverflow.com/users/4376346/xavier-duvan-melo'}",True,63,61088434.0,2,1,1662477473,1586289282,61088351,CC BY-SA 4.0,https://stackoverflow.com/questions/61088351/select-by-default-all-options-in-select,Select by default all options in &lt;select&gt;,,1662477473.0,,,
44,"['html', 'article', 'assistive-technology']","{'account_id': 14027347, 'reputation': 21, 'user_id': 10132060, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/bUhX6.jpg?s=256&g=1', 'display_name': 'ksdomino', 'link': 'https://stackoverflow.com/users/10132060/ksdomino'}",False,69,,1,2,1662391867,1586787449,61189837,CC BY-SA 4.0,https://stackoverflow.com/questions/61189837/which-is-the-correct-h-tag-for-a-nested-section,Which is the correct H* tag for a nested &lt;section&gt;,,1586789483.0,,,
45,"['html', 'href', 'src']","{'account_id': 6759558, 'reputation': 69, 'user_id': 7132551, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9d28a848509ccb8ea22f73dad3c6a2cf?s=256&d=identicon&r=PG&f=1', 'display_name': 'khaled', 'link': 'https://stackoverflow.com/users/7132551/khaled'}",True,1819,61051812.0,1,-1,1662390924,1586129540,61050861,CC BY-SA 4.0,https://stackoverflow.com/questions/61050861/what-is-the-difference-between-rel-and-href-and-src-in-html,what is the difference between rel and href and src in HTML,,1662390924.0,,,
46,"['html', 'embed', 'hta']","{'account_id': 16528518, 'reputation': 149, 'user_id': 11942507, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d3218d6d9243221505fa87c9f3cd0f8c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Elliot Harrell', 'link': 'https://stackoverflow.com/users/11942507/elliot-harrell'}",False,119,,0,0,1662334392,1586029733,61033889,CC BY-SA 4.0,https://stackoverflow.com/questions/61033889/iframe-links-not-redirecting-despite-correct-syntax-hta-file,Iframe links not redirecting despite correct syntax (HTA file),,1662334392.0,,,
47,"['javascript', 'html', 'jquery', 'slick.js']","{'account_id': 10639502, 'reputation': 562, 'user_id': 7835100, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f7b2827b053cccad71128befbd21a76d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Caleb', 'link': 'https://stackoverflow.com/users/7835100/caleb'}",True,214,,2,0,1662179048,1587500678,61352585,CC BY-SA 4.0,https://stackoverflow.com/questions/61352585/slick-slide-slickadd-returns-false,Slick Slide slickAdd returns false,,,,,
