,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,protected_date,last_edit_date,closed_date,closed_reason,migrated_from,locked_date
10,"['android', 'c', 'opencv', 'image-processing', 'android-ndk']","{'account_id': 1255584, 'reputation': 9, 'user_id': 1215116, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1b3331380fc9b4adcde44317d53b95a6?s=256&d=identicon&r=PG', 'display_name': 'user1215116', 'link': 'https://stackoverflow.com/users/1215116/user1215116'}",False,9988,,1,0,1664013705,1329438901,9321307,CC BY-SA 4.0,https://stackoverflow.com/questions/9321307/image-perspective-transform-using-android-opencv,Image Perspective Transform using Android OpenCV,,1661322282.0,,,,
11,"['c++', 'c', 'gcc']","{'account_id': 287280, 'reputation': 17390, 'user_id': 586986, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/XOJW1.jpg?s=256&g=1', 'display_name': 'Cemre Meng&#252;', 'link': 'https://stackoverflow.com/users/586986/cemre-meng%c3%bc'}",True,2332,9244030.0,6,8,1663512857,1328993707,9243994,CC BY-SA 3.0,https://stackoverflow.com/questions/9243994/gcc-g-output-type,gcc/g++ output type,,,,,,
12,"['python', 'c', 'performance', 'fortran']","{'account_id': 912155, 'reputation': 1256, 'user_id': 945738, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/dd8ad66e5ac37d12640752865306b6b1?s=256&d=identicon&r=PG&f=1', 'display_name': 'armando', 'link': 'https://stackoverflow.com/users/945738/armando'}",True,8320,9443809.0,8,12,1662855385,1330128723,9439869,CC BY-SA 3.0,https://stackoverflow.com/questions/9439869/comparing-python-with-c-fortran,comparing python with c/fortran,,1434646851.0,,,,
13,"['c', 'locking', 'linux-kernel']","{'account_id': 347421, 'reputation': 3981, 'user_id': 681523, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/d81ada5d1066e8ed9ef30284e014a924?s=256&d=identicon&r=PG', 'display_name': 'Casey Patton', 'link': 'https://stackoverflow.com/users/681523/casey-patton'}",False,15513,,1,1,1661940150,1329095339,9254395,CC BY-SA 4.0,https://stackoverflow.com/questions/9254395/using-wait-event-interruptible-and-wake-up-all-together,Using wait_event_interruptible and wake_up_all together,,1592644375.0,,,,
14,"['c', 'sockets', 'epoll']","{'account_id': 297929, 'reputation': 11799, 'user_id': 603688, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/1058344e1b119c4d9dd3aedc5456277b?s=256&d=identicon&r=PG', 'display_name': 'Dan', 'link': 'https://stackoverflow.com/users/603688/dan'}",True,28986,9162805.0,3,71,1661853022,1328542949,9162712,CC BY-SA 4.0,https://stackoverflow.com/questions/9162712/what-is-the-purpose-of-epolls-edge-triggered-option,What is the purpose of epoll&#39;s edge triggered option?,,1539236443.0,,,,
15,"['c', 'free', 'glibc']","{'account_id': 108622, 'reputation': 4453, 'user_id': 288208, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/4d6e4de1d6760e455edf9e1b90d1baaa?s=256&d=identicon&r=PG', 'display_name': 'Rami Jarrar', 'link': 'https://stackoverflow.com/users/288208/rami-jarrar'}",False,15843,,0,1,1661130005,1328442370,9148960,CC BY-SA 3.0,https://stackoverflow.com/questions/9148960/corrupted-unsorted-chunks-glibc-error,"corrupted unsorted chunks, glibc error?",,,,,,
16,"['c++', 'c', 'sqlite']","{'account_id': 382074, 'reputation': 389, 'user_id': 737088, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/156c20e6445524084e2544fb800a29e9?s=256&d=identicon&r=PG', 'display_name': 'jobobo', 'link': 'https://stackoverflow.com/users/737088/jobobo'}",True,1150,9475045.0,1,-1,1660228819,1330389524,9474680,CC BY-SA 3.0,https://stackoverflow.com/questions/9474680/sqlite-scientific-notation-during-select,sqlite scientific notation during select,,,,,,
17,"['c++', 'c', 'linux', 'email', 'gmail']","{'account_id': 1254905, 'reputation': 187, 'user_id': 1214587, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/e1aa5dce9a3c30d536c0005a37a9b164?s=256&d=identicon&r=PG', 'display_name': 'Madagascar', 'link': 'https://stackoverflow.com/users/1214587/madagascar'}",True,34338,9317444.0,5,14,1659948183,1329418485,9317305,CC BY-SA 3.0,https://stackoverflow.com/questions/9317305/sending-an-email-from-a-c-c-program-in-linux,sending an email from a C/C++ program in linux,,1329418573.0,,,,
18,"['c', 'memory', 'pointers']","{'account_id': 930839, 'reputation': 241, 'user_id': 960753, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/a0aa32680cc1f09dcb5d580d2f4af3ed?s=256&d=identicon&r=PG', 'display_name': 'Gopinath', 'link': 'https://stackoverflow.com/users/960753/gopinath'}",True,22373,9373037.0,7,13,1659117236,1329804140,9372936,CC BY-SA 3.0,https://stackoverflow.com/questions/9372936/can-we-assign-a-value-to-a-given-memory-location,Can we assign a value to a given memory location?,,1329805018.0,,,,
19,"['c', 'sdl']","{'account_id': 1280859, 'reputation': 11, 'user_id': 1234975, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/871cdeaf692be1af0220881989eb5f6f?s=256&d=identicon&r=PG', 'display_name': 'user1234975', 'link': 'https://stackoverflow.com/users/1234975/user1234975'}",True,1231,,3,1,1658395744,1330325974,9461158,CC BY-SA 3.0,https://stackoverflow.com/questions/9461158/defining-sdl-rect-and-sdl-mousebuttondown,defining sdl_rect and sdl_mousebuttondown,,1330327337.0,,,,
20,"['c', 'cross-compiling', 'snmp', 'powerpc', 'net-snmp']","{'account_id': 213119, 'reputation': 3527, 'user_id': 466339, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/960652dda2d376483116e2fa230b5e32?s=256&d=identicon&r=PG', 'display_name': 'j4x', 'link': 'https://stackoverflow.com/users/466339/j4x'}",True,14192,9471975.0,3,2,1657441349,1330368554,9470494,CC BY-SA 3.0,https://stackoverflow.com/questions/9470494/snmpd-cannot-open-proc-bus-pci,SNMPd: Cannot open /proc/bus/pci,,,,,,
21,['c'],"{'account_id': 890994, 'reputation': 662, 'user_id': 929274, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/741a1b0507432bfb522d1a284ce34ba9?s=256&d=identicon&r=PG', 'display_name': 'Figus', 'link': 'https://stackoverflow.com/users/929274/figus'}",True,49490,,2,14,1657291248,1328325436,9138109,CC BY-SA 3.0,https://stackoverflow.com/questions/9138109/config-h-no-such-file-or-directory,Config.h - No such file or directory,,1491242478.0,,,,
22,"['c', 'gcc', 'gcc-warning']","{'account_id': 415329, 'reputation': 21197, 'user_id': 790070, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/8SPP4.jpg?s=256&g=1', 'display_name': 'Timothy Jones', 'link': 'https://stackoverflow.com/users/790070/timothy-jones'}",True,23368,9319528.0,6,51,1655885006,1328075401,9091397,CC BY-SA 3.0,https://stackoverflow.com/questions/9091397/is-there-a-way-to-get-warned-about-unused-functions,Is there a way to get warned about unused functions?,,1428421440.0,,,,
23,"['c', 'multidimensional-array', 'comma-operator']","{'account_id': 459147, 'reputation': 3365, 'user_id': 859453, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/b1238bfa1241c414bc0f411984c89487?s=256&d=identicon&r=PG', 'display_name': 'Kyrol', 'link': 'https://stackoverflow.com/users/859453/kyrol'}",True,81,9239814.0,1,2,1654835458,1328959319,9239801,CC BY-SA 4.0,https://stackoverflow.com/questions/9239801/wrong-multi-dimensional-array-variables-increase-in-c,Wrong multi-dimensional array variables increase in C,,1654835458.0,,,,
24,"['c', 'delphi', 'comma-operator']","{'account_id': 26660, 'reputation': 4430, 'user_id': 69588, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/0ca3db293b31c2ba52e89874483335a2?s=256&d=identicon&r=PG', 'display_name': 'PhiS', 'link': 'https://stackoverflow.com/users/69588/phis'}",True,210,9190211.0,1,2,1654812864,1328691244,9190158,CC BY-SA 4.0,https://stackoverflow.com/questions/9190158/c-code-with-comma-operator-to-delphi,C code (with comma operator) to Delphi,,1654812864.0,,,,
25,"['c', 'c89']","{'account_id': 450819, 'reputation': 6869, 'user_id': 846351, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/SEZKp.jpg?s=256&g=1', 'display_name': 'Nahum', 'link': 'https://stackoverflow.com/users/846351/nahum'}",True,16850,9445218.0,5,2,1654352164,1330182571,9445171,CC BY-SA 3.0,https://stackoverflow.com/questions/9445171/strtol-using-errno,strtol using errno,,1330204649.0,,,,
26,"['c', 'free', 'binary-tree']","{'account_id': 306589, 'reputation': 819, 'user_id': 617425, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/a3f26520605b3ab6926c0433180635f9?s=256&d=identicon&r=PG', 'display_name': 'mary', 'link': 'https://stackoverflow.com/users/617425/mary'}",True,46756,9181223.0,8,10,1653922711,1328636816,9181146,CC BY-SA 3.0,https://stackoverflow.com/questions/9181146/freeing-memory-of-a-binary-tree-c,freeing memory of a binary tree C,,,,,,
27,"['c', 'operating-system', 'linux-kernel', 'kernel-module']","{'account_id': 1090907, 'reputation': 697, 'user_id': 1085569, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/bc54978be4a333a38dc9f0db0d72325a?s=256&d=identicon&r=PG', 'display_name': 'tijin', 'link': 'https://stackoverflow.com/users/1085569/tijin'}",True,36031,9481164.0,4,35,1653917007,1330428489,9481055,CC BY-SA 4.0,https://stackoverflow.com/questions/9481055/what-is-a-kernel-thread,What is a Kernel thread?,,1653917007.0,,,,
28,"['c++', 'c', 'security', 'freebsd']","{'account_id': 1251649, 'reputation': 43, 'user_id': 1211953, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b41bc01969e38310b780af38da36364f?s=256&d=identicon&r=PG', 'display_name': 'Tyler Neely', 'link': 'https://stackoverflow.com/users/1211953/tyler-neely'}",True,1691,9298178.0,3,4,1653844817,1329326178,9298005,CC BY-SA 3.0,https://stackoverflow.com/questions/9298005/how-can-i-disable-aslr-on-freebsd,How can I disable ASLR on FreeBSD?,,1359108791.0,,,,
29,"['c', 'casting', 'integer', 'floating-point']","{'account_id': 351875, 'reputation': 14257, 'user_id': 688624, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/b0714eded10b5ccee614c7134360974b?s=256&d=identicon&r=PG', 'display_name': 'imallett', 'link': 'https://stackoverflow.com/users/688624/imallett'}",True,851,9289701.0,3,2,1653188544,1329283165,9288241,CC BY-SA 4.0,https://stackoverflow.com/questions/9288241/rules-for-explicit-int32-float32-casting,Rules for Explicit int32 -&gt; float32 Casting,,1653188544.0,,,,
30,"['c', 'recursion', 'fork', 'fibonacci']","{'account_id': 193593, 'reputation': 2233, 'user_id': 435418, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/61b9beb5c479e01e74c2bcbe0a503891?s=256&d=identicon&r=PG', 'display_name': 'CODe', 'link': 'https://stackoverflow.com/users/435418/code'}",True,4775,,1,2,1652667951,1329398472,9311999,CC BY-SA 3.0,https://stackoverflow.com/questions/9311999/recursive-fibonacci-using-fork-in-c-pt-2,Recursive Fibonacci using Fork in C (Pt 2),,1495540080.0,,,,
31,"['c', 'while-loop', 'stdin', 'wait', 'control-flow']","{'account_id': 482539, 'reputation': 8432, 'user_id': 896997, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://i.stack.imgur.com/OaJnY.jpg?s=256&g=1', 'display_name': 'tom91136', 'link': 'https://stackoverflow.com/users/896997/tom91136'}",True,8017,9157981.0,1,0,1649704626,1328515790,9157222,CC BY-SA 4.0,https://stackoverflow.com/questions/9157222/c-wait-for-stdin-read,c wait for stdin read?,,1649704626.0,,,,
32,"['c', 'gcc', 'types', 'openmp', 'typeof']","{'account_id': 243222, 'reputation': 2240, 'user_id': 515249, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/759e486978da62a230e6c232f8d81805?s=256&d=identicon&r=PG', 'display_name': 'Amittai Aviram', 'link': 'https://stackoverflow.com/users/515249/amittai-aviram'}",True,37887,,6,13,1649342848,1328508781,9156226,CC BY-SA 3.0,https://stackoverflow.com/questions/9156226/how-to-get-the-type-of-a-variable-in-c-code,How to get the type of a variable in C code?,,1524125186.0,,,,
33,"['c++', 'c', 'macports', 'cgal']","{'account_id': 220753, 'reputation': 385, 'user_id': 478335, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/91c06cf2de1833032415e817dd6495c8?s=256&d=identicon&r=PG', 'display_name': 'newDelete', 'link': 'https://stackoverflow.com/users/478335/newdelete'}",True,537,,1,1,1649235619,1328643126,9182605,CC BY-SA 3.0,https://stackoverflow.com/questions/9182605/macports-cgal-not-working-how-do-i-fix-it,Macports cgal not working! How do I fix it?,,1328645956.0,,,,
34,"['c', 'linux', 'pthreads', 'cpu-usage']","{'account_id': 66507, 'reputation': 1409, 'user_id': 195063, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/a08ff9d742fa72a291207d66da7833a7?s=256&d=identicon&r=PG', 'display_name': 'hari', 'link': 'https://stackoverflow.com/users/195063/hari'}",True,8668,,4,7,1649191716,1330085228,9430491,CC BY-SA 3.0,https://stackoverflow.com/questions/9430491/find-cpu-usage-for-a-thread-in-linux,Find CPU usage for a Thread in Linux,,,,,,
35,"['c++', 'c', 'binary', 'bit-manipulation', 'bit']","{'account_id': 287824, 'reputation': 38382, 'user_id': 587884, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/11a0d222c5e2951d47f69a462fc14402?s=256&d=identicon&r=PG', 'display_name': 'Heisenbug', 'link': 'https://stackoverflow.com/users/587884/heisenbug'}",True,8499,9093395.0,6,8,1647779224,1328087852,9093323,CC BY-SA 3.0,https://stackoverflow.com/questions/9093323/efficient-bitwise-operations-for-counting-bits-or-find-the-rightleft-most-ones,Efficient bitwise operations for counting bits or find the right|left most ones,,,,,,
36,"['c', 'int', 'parent-child', 'pipe']","{'account_id': 121721, 'reputation': 1676, 'user_id': 315015, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/e7396baec346f6ebce3fed84678d041d?s=256&d=identicon&r=PG', 'display_name': 'Seephor', 'link': 'https://stackoverflow.com/users/315015/seephor'}",False,8061,,1,1,1647550850,1328636685,9181122,CC BY-SA 3.0,https://stackoverflow.com/questions/9181122/writing-and-reading-integers-from-a-pipe-in-c,Writing and Reading integers from a pipe in C,,1495540600.0,,,,
37,"['python', 'c', 'compiler-construction', 'compilation', 'compiler-errors']","{'account_id': 252412, 'reputation': 1782, 'user_id': 530439, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/88b12df90cd6c1dc1a33c89263b584ab?s=256&d=identicon&r=PG', 'display_name': 'RanZilber', 'link': 'https://stackoverflow.com/users/530439/ranzilber'}",True,20843,9420715.0,4,7,1645531381,1330028666,9420673,CC BY-SA 4.0,https://stackoverflow.com/questions/9420673/is-it-possible-to-compile-c-code-using-python,Is it possible to compile c code using python?,,1528798538.0,,,,
38,"['c', 'gcc', 'assembly', 'x86', 'inline-assembly']","{'account_id': 392254, 'reputation': 2854, 'user_id': 753418, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/9543c70d133016c344c0cb6f152f159d?s=256&d=identicon&r=PG', 'display_name': 'Hlib', 'link': 'https://stackoverflow.com/users/753418/hlib'}",True,49028,9347957.0,2,76,1644509119,1329641698,9347909,CC BY-SA 3.0,https://stackoverflow.com/questions/9347909/can-i-use-intel-syntax-of-x86-assembly-with-gcc,Can I use Intel syntax of x86 assembly with GCC?,,1366746176.0,,,,
39,"['c', 'makefile']","{'account_id': 1225518, 'reputation': 306, 'user_id': 1191127, 'user_type': 'registered', 'accept_rate': 38, 'profile_image': 'https://www.gravatar.com/avatar/5ce9db50f4f36076e66d7136ba59ca94?s=256&d=identicon&r=PG', 'display_name': 'tux_mind', 'link': 'https://stackoverflow.com/users/1191127/tux-mind'}",False,126,,1,0,1643751050,1328647336,9183571,CC BY-SA 3.0,https://stackoverflow.com/questions/9183571/include-an-open-source-project-into-another,include an open source project into another,,1328649848.0,,,,
40,"['c', 'macros', 'include', 'c-preprocessor']","{'account_id': 441640, 'reputation': 1849, 'user_id': 831845, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/3d48d70f0df4d3a1ad29d37f51a89763?s=256&d=identicon&r=PG', 'display_name': 'bgroenks', 'link': 'https://stackoverflow.com/users/831845/bgroenks'}",True,19483,9438498.0,3,0,1643125043,1330119803,9438483,CC BY-SA 3.0,https://stackoverflow.com/questions/9438483/using-definitions-in-c-header-files,Using Definitions in C Header Files?,,1448799308.0,,,,
41,['c'],"{'account_id': 1248607, 'reputation': 247, 'user_id': 1209517, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/063a45fdbc6a108dbda3e2797f778446?s=256&d=identicon&r=PG', 'display_name': 'sam ray', 'link': 'https://stackoverflow.com/users/1209517/sam-ray'}",True,91226,9280721.0,7,14,1642965907,1329237559,9280654,CC BY-SA 3.0,https://stackoverflow.com/questions/9280654/c-printing-bits,C printing bits,,1334099190.0,,,,
42,"['c', 'macos', 'unix']","{'account_id': 894543, 'reputation': 1262, 'user_id': 932108, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/e2f7647492d73a139c3761aeadbd70bb?s=256&d=identicon&r=PG', 'display_name': 'seanxiaoxiao', 'link': 'https://stackoverflow.com/users/932108/seanxiaoxiao'}",True,15532,9260998.0,5,15,1642607549,1329138026,9260948,CC BY-SA 3.0,https://stackoverflow.com/questions/9260948/how-to-see-the-compilation-platform-of-a-static-library-file,How to see the compilation platform of a static library file,,1329141278.0,,,,
43,"['c', 'pointers']","{'user_type': 'does_not_exist', 'display_name': 'user935375'}",True,935,9196962.0,4,5,1641296295,1328716939,9196914,CC BY-SA 3.0,https://stackoverflow.com/questions/9196914/size-of-pointers-and-if-that-size-is-dependent-of-the-architecture,Size of pointers and if that size is dependent of the architecture,,,,,,
44,"['c', 'linux', 'refactoring', 'gnu']","{'account_id': 325025, 'reputation': 2671, 'user_id': 645957, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/a69f885a6a22d84b9c13e9aeeeb6641d?s=256&d=identicon&r=PG', 'display_name': 'J. M. Becker', 'link': 'https://stackoverflow.com/users/645957/j-m-becker'}",True,3179,9401414.0,4,7,1640582705,1329937313,9401254,CC BY-SA 3.0,https://stackoverflow.com/questions/9401254/code-refactoring-tools-for-c-usable-on-gnu-linux-foss-preferable,"Code refactoring tools for C, usable on GNU/Linux? FOSS preferable",,1329938072.0,,,,
45,"['c', 'gtk', 'refresh', 'widget']","{'account_id': 485008, 'reputation': 3027, 'user_id': 901046, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/7a53df3d2946347ca06dd0064788192d?s=256&d=identicon&r=PG&f=1', 'display_name': 'TheUnexpected', 'link': 'https://stackoverflow.com/users/901046/theunexpected'}",True,14409,9193176.0,4,9,1639897200,1328699625,9192223,CC BY-SA 3.0,https://stackoverflow.com/questions/9192223/remove-gtk-container-children-repopulate-it-then-refresh,"Remove GTK+ container children, repopulate it, then refresh",,1328700214.0,,,,
46,"['c', 'fopen']","{'account_id': 1278500, 'reputation': 791, 'user_id': 1233186, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/4d7d783f11736c694cc5e728b35ddcc1?s=256&d=identicon&r=PG', 'display_name': 'TylarBen', 'link': 'https://stackoverflow.com/users/1233186/tylarben'}",True,87860,9449321.0,5,7,1637439726,1330214644,9449295,CC BY-SA 3.0,https://stackoverflow.com/questions/9449295/opening-a-file-from-command-line-arguments-in-c,Opening a file from command line arguments in C,,1371069185.0,,,,
47,"['c++', 'c', 'macos', 'memory-management', 'heap-memory']","{'account_id': 32190, 'reputation': 4632, 'user_id': 89036, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/f7e336058bbf02148d003860aacd758f?s=256&d=identicon&r=PG', 'display_name': 'snowcrash09', 'link': 'https://stackoverflow.com/users/89036/snowcrash09'}",True,684,,1,2,1637084067,1328746565,9203677,CC BY-SA 4.0,https://stackoverflow.com/questions/9203677/diagnosing-heap-fragmentation-on-mac-os-x,Diagnosing heap fragmentation on Mac OS X?,,1637084067.0,,,,
48,"['c++', 'python', 'c']","{'account_id': 117973, 'reputation': 931, 'user_id': 1159290, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/8413d7f973d5c9207cc9134db63314a6?s=256&d=identicon&r=PG', 'display_name': 'user1159290', 'link': 'https://stackoverflow.com/users/1159290/user1159290'}",True,988,9410757.0,2,1,1636924933,1329988849,9410100,CC BY-SA 3.0,https://stackoverflow.com/questions/9410100/porting-cpp-defines-to-python,porting CPP defines to python,,,,,,
49,"['c', 'fork', 'pid']","{'account_id': 389809, 'reputation': 11778, 'user_id': 749477, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/6845c6b2318e02258cc1dc56fe620482?s=256&d=identicon&r=PG', 'display_name': 'Derek', 'link': 'https://stackoverflow.com/users/749477/derek'}",True,109639,9147779.0,6,19,1636013668,1328427945,9147760,CC BY-SA 3.0,https://stackoverflow.com/questions/9147760/how-to-get-child-pid-in-c,How to get child PID in C?,,1328428760.0,,,,
