,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,migrated_from,locked_date
11,['c'],"{'account_id': 21035684, 'reputation': 91, 'user_id': 15459165, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9abe15259b3b9470910687125a99dd4c?s=256&d=identicon&r=PG&f=1', 'display_name': 'dipese', 'link': 'https://stackoverflow.com/users/15459165/dipese'}",True,433,2,2,1660764903,1616490762,66760207,CC BY-SA 4.0,https://stackoverflow.com/questions/66760207/typedef-redefinition-with-different-types-struct-tgame-vs-struct-tgame,Typedef redefinition with different types (&#39;struct TGAME&#39; vs &#39;struct TGAME&#39;),,,,,,
12,"['c', 'newline', 'c-strings', 'fgets', 'strcmp']","{'account_id': 18539098, 'reputation': 1253, 'user_id': 13508045, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/sLvib.png?s=256&g=1', 'display_name': 'puncher', 'link': 'https://stackoverflow.com/users/13508045/puncher'}",True,180,3,0,1659748770,1616404496,66743172,CC BY-SA 4.0,https://stackoverflow.com/questions/66743172/how-to-compare-two-char-arrays-in-c,How to compare two char arrays in C?,66743215.0,1659748770.0,,,,
13,"['c', 'recursion', 'segmentation-fault', 'primes', 'coredump']","{'account_id': 20934896, 'reputation': 23, 'user_id': 15380286, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f3f40096f3a09cde2fe4071473629801?s=256&d=identicon&r=PG&f=1', 'display_name': 'Noaah', 'link': 'https://stackoverflow.com/users/15380286/noaah'}",True,415,3,2,1659467945,1615577549,66606118,CC BY-SA 4.0,https://stackoverflow.com/questions/66606118/segmentation-fault-core-dumped-function-that-returns-the-next-prime-number,Segmentation fault core dumped : Function that returns the next prime number,66606765.0,1659467945.0,,,,
14,['c'],"{'account_id': 20980483, 'reputation': 13, 'user_id': 15415435, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5d6db292469b8f8562ad6153081aa03b?s=256&d=identicon&r=PG&f=1', 'display_name': 'squieler', 'link': 'https://stackoverflow.com/users/15415435/squieler'}",True,72,1,1,1659439877,1615990749,66674972,CC BY-SA 4.0,https://stackoverflow.com/questions/66674972/copying-bit-interval-from-a-variable-to-an-array,Copying Bit Interval From A Variable To An Array,66677791.0,,,,,
15,"['c', 'visual-studio-code']","{'account_id': 19538787, 'reputation': 381, 'user_id': 14297009, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4b018a9dca54f6a5521dc1229ba18d94?s=256&d=identicon&r=PG&f=1', 'display_name': 'digolira2', 'link': 'https://stackoverflow.com/users/14297009/digolira2'}",False,1920,1,0,1658826485,1615908504,66658308,CC BY-SA 4.0,https://stackoverflow.com/questions/66658308/c-vs-code-error-debugging-unable-to-start-debugging-unexpected-gdb-environm,C - VS Code Error debugging - Unable to start debugging. Unexpected GDB environment cd,,1615913924.0,,,,
16,"['c', 'server', 'openssl', 'tls1.3']","{'account_id': 21110721, 'reputation': 83, 'user_id': 15518738, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a61f2cad00b68afd6e19e9f58970965b?s=256&d=identicon&r=PG&f=1', 'display_name': 'hardbean', 'link': 'https://stackoverflow.com/users/15518738/hardbean'}",True,1920,2,8,1658763457,1617160646,66881174,CC BY-SA 4.0,https://stackoverflow.com/questions/66881174/how-to-make-openssl-c-server-only-support-tls-1-3,How to make OpenSSL C server only support TLS 1.3?,66881277.0,1658763457.0,,,,
17,"['c', 'debugging', 'gdb', 'codeblocks']","{'account_id': 21112802, 'reputation': 11, 'user_id': 15520442, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-IUmcwlxBNyQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn5TeOnxFCBp_9iG2WkRzgHjzwW8A/s96-c/photo.jpg?sz=256', 'display_name': 'hello world', 'link': 'https://stackoverflow.com/users/15520442/hello-world'}",True,5972,4,1,1658711306,1617179809,66884293,CC BY-SA 4.0,https://stackoverflow.com/questions/66884293/starting-the-debuggee-failed-no-executable-specified-use-target-exec,"Starting the debuggee failed: No executable specified, use `target exec&#39;",,1617180602.0,,,,
18,"['c', 'gcc', 'arm', 'c-preprocessor', 'compiler-optimization']","{'account_id': 18596755, 'reputation': 82, 'user_id': 13552564, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5a72660acdd6b024d47808dc0a72107f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Cimory', 'link': 'https://stackoverflow.com/users/13552564/cimory'}",True,139,4,0,1658412381,1614727598,66448564,CC BY-SA 4.0,https://stackoverflow.com/questions/66448564/does-this-statement-turn-into-a-nop,Does this statement turn into a nop?,66448647.0,1658412381.0,,,,
19,"['c', 'stdio', 'misra']","{'account_id': 20299365, 'reputation': 61, 'user_id': 14889159, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-cUQFvZ4oVeU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmjURyGbU5tuCFe_33QsHTgDOFDaQ/s96-c/photo.jpg?sz=256', 'display_name': 'Wait What', 'link': 'https://stackoverflow.com/users/14889159/wait-what'}",True,1037,4,4,1658104027,1616394104,66741172,CC BY-SA 4.0,https://stackoverflow.com/questions/66741172/alternatives-to-printf-for-misra-c-2004-compliant-code,Alternatives to printf() for MISRA C : 2004 compliant code,,1658104027.0,,,,
20,['c'],"{'account_id': 18539098, 'reputation': 1253, 'user_id': 13508045, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/sLvib.png?s=256&g=1', 'display_name': 'puncher', 'link': 'https://stackoverflow.com/users/13508045/puncher'}",True,89,4,-1,1658059672,1616505705,66764024,CC BY-SA 4.0,https://stackoverflow.com/questions/66764024/is-it-possible-to-use-a-variable-from-if-block-outside-of-that-if-block,Is it possible to use a variable from if block outside of that if block?,66764070.0,1657799497.0,,,,
21,"['c', 'char8-t', 'c23']","{'account_id': 17077819, 'reputation': 1561, 'user_id': 12357035, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/XT9DZ.png?s=256&g=1', 'display_name': 'Sourav Kannantha B', 'link': 'https://stackoverflow.com/users/12357035/sourav-kannantha-b'}",True,554,3,1,1657131370,1616996201,66849200,CC BY-SA 4.0,https://stackoverflow.com/questions/66849200/is-there-a-char8-t-in-c,Is there a char8_t in C?,66973420.0,,,,,
22,"['c', 'memory-leaks', 'valgrind', 'clion', 'leak-sanitizer']","{'account_id': 20937587, 'reputation': 81, 'user_id': 15382443, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/817a0faa72aabe75023b82b8d491f021?s=256&d=identicon&r=PG&f=1', 'display_name': 'Stefan', 'link': 'https://stackoverflow.com/users/15382443/stefan'}",True,2602,3,8,1657128595,1615550654,66599589,CC BY-SA 4.0,https://stackoverflow.com/questions/66599589/how-can-i-see-memory-leaks-on-macos-big-sur-using-clion,How can I see memory leaks on MacOS Big Sur using CLion?,,1615580628.0,,,,
23,"['arrays', 'c', 'if-statement']","{'account_id': 9897440, 'reputation': 401, 'user_id': 10613167, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-zwVrG7MyZhY/AAAAAAAAAAI/AAAAAAAAAEY/3j_kMnfS28Y/photo.jpg?sz=256', 'display_name': 'Amirul Akmal', 'link': 'https://stackoverflow.com/users/10613167/amirul-akmal'}",True,482,5,3,1656839067,1616500010,66762515,CC BY-SA 4.0,https://stackoverflow.com/questions/66762515/how-to-check-if-all-values-in-array-are-the-same,How to check if all values in array are the same?,66762656.0,1616615258.0,,,,
24,['c'],"{'account_id': 20164324, 'reputation': 43, 'user_id': 14788643, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/3579446598802471/picture?type=large', 'display_name': 'Lobsang Tashi', 'link': 'https://stackoverflow.com/users/14788643/lobsang-tashi'}",True,96,2,1,1656760983,1617106361,66870731,CC BY-SA 4.0,https://stackoverflow.com/questions/66870731/fpost-t-error-due-to-incompatible-types-when-assigning-to-type-fpos-t,fpost_t error due to incompatible types when assigning to type ‘fpos_t’,,1656760187.0,,,,
25,"['c', 'keyword']","{'account_id': 8055118, 'reputation': 395, 'user_id': 6072571, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/85040d9b6ad38353ac3e1d22498d731b?s=256&d=identicon&r=PG&f=1', 'display_name': 'ericw31415', 'link': 'https://stackoverflow.com/users/6072571/ericw31415'}",True,228,2,3,1656624549,1614632135,66429492,CC BY-SA 4.0,https://stackoverflow.com/questions/66429492/can-the-restrict-keyword-be-used-in-the-function-definition-only,Can the `restrict` keyword be used in the function definition only?,,1614635221.0,,,,
26,"['c', 'macros', 'c-preprocessor', 'variadic-macros']","{'account_id': 19621523, 'reputation': 1573, 'user_id': 14656198, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-N2kF3v4S_YI/AAAAAAAAAAI/AAAAAAAAAFI/AMZuucmPSiR-QIZRKIdtaX-aerQCKRukKg/photo.jpg?sz=256', 'display_name': 'Luiz Martins', 'link': 'https://stackoverflow.com/users/14656198/luiz-martins'}",True,463,1,1,1656453345,1615335102,66556552,CC BY-SA 4.0,https://stackoverflow.com/questions/66556552/a-way-to-count-the-number-of-va-args-arguments-including-0-without-compile,"A way to count the number of __VA_ARGS__ arguments, including 0, without compiler specific constructs",66556553.0,,,,,
27,"['c', 'opengl', 'glsl', 'ssbo']","{'account_id': 11375350, 'reputation': 761, 'user_id': 8339821, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0148d1cfa01aea7231cf3195f54f2d78?s=256&d=identicon&r=PG&f=1', 'display_name': 'user14063792468', 'link': 'https://stackoverflow.com/users/8339821/user14063792468'}",True,149,1,0,1656379813,1615863418,66648488,CC BY-SA 4.0,https://stackoverflow.com/questions/66648488/can-a-glsl-fragment-shader-run-without-a-framebuffer-and-similar-inconveniences,Can a GLSL fragment shader run without a framebuffer and similar inconveniences?,,1616299200.0,,,,
28,"['c', 'segmentation-fault']","{'account_id': 13874157, 'reputation': 462, 'user_id': 10016327, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5e412e575addc9fb9fd167a0c0949cb6?s=256&d=identicon&r=PG', 'display_name': 'satyesht', 'link': 'https://stackoverflow.com/users/10016327/satyesht'}",True,99,1,2,1656344309,1616713486,66808792,CC BY-SA 4.0,https://stackoverflow.com/questions/66808792/var-args-of-different-type-return-segmentation-fault,Var args of different type return segmentation fault,66808835.0,1656344309.0,,,,
29,"['c', 'cs50']","{'account_id': 21089216, 'reputation': 1, 'user_id': 15501528, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9a182482c0364663dec3babc78b7b72c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Themustarddog', 'link': 'https://stackoverflow.com/users/15501528/themustarddog'}",False,85,1,0,1656022178,1616962098,66845738,CC BY-SA 4.0,https://stackoverflow.com/questions/66845738/after-user-input-my-if-else-else-if-loop-does-nothing-cs50-pset1,"after user input my if else else if loop, does nothing (CS50 pset1)",,1616962709.0,,,,
30,"['c', 'hamming-code']","{'account_id': 15264878, 'reputation': 57, 'user_id': 15434658, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-q7nbDrNZyLA/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQMEhnE5n9WoXuk3B1zgX0kSIaGeTQ/mo/photo.jpg?sz=256', 'display_name': 'Lex', 'link': 'https://stackoverflow.com/users/15434658/lex'}",False,182,0,1,1655449535,1616329986,66732335,CC BY-SA 4.0,https://stackoverflow.com/questions/66732335/how-can-i-rewrite-hamming-code-7-4-to-63-57,"How can I rewrite hamming code (7, 4) to (63, 57)",,,,,,
31,"['c', 'scanf']","{'account_id': 20994235, 'reputation': 11, 'user_id': 15426459, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgVZqTWySMNEAQuzgKRdzRHeTG57QyrogxxevDL=k-s256', 'display_name': 'Ahmet Naci Turan', 'link': 'https://stackoverflow.com/users/15426459/ahmet-naci-turan'}",True,55,1,1,1654704434,1616088563,66696171,CC BY-SA 4.0,https://stackoverflow.com/questions/66696171/using-comma-before-format-spec-in-scanf-in-c,Using comma before format spec. in scanf in C?,,1654704434.0,,,,
32,"['arrays', 'c', 'string', 'pointers', 'multidimensional-array']","{'account_id': 16775092, 'reputation': 35, 'user_id': 12126640, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0cf8672780b603276a8f6e115310bf93?s=256&d=identicon&r=PG&f=1', 'display_name': 'noob_coder', 'link': 'https://stackoverflow.com/users/12126640/noob-coder'}",True,84,1,0,1654092377,1615358110,66559519,CC BY-SA 4.0,https://stackoverflow.com/questions/66559519/why-does-this-c-code-print-a-string-from-a-2d-array-together-with-the-next-one,Why does this C code print a string from a 2D array together with the next one?,66561805.0,1615358613.0,,,,
33,['c'],"{'account_id': 7769610, 'reputation': 32, 'user_id': 8390913, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1191730c83dd8e6257edfbab528b4579?s=256&d=identicon&r=PG&f=1', 'display_name': 'bido whab', 'link': 'https://stackoverflow.com/users/8390913/bido-whab'}",True,73,1,-1,1654087972,1615639065,66613577,CC BY-SA 4.0,https://stackoverflow.com/questions/66613577/taking-double-arguments-from-command-line,Taking double arguments from command line,66613616.0,,,,,
34,['c'],"{'account_id': 20940075, 'reputation': 31, 'user_id': 15384345, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-OjxMHTnuyOE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckMv-AirZingrxdm886FSqI9Zbxlw/s96-c/photo.jpg?sz=256', 'display_name': 'Horwing42', 'link': 'https://stackoverflow.com/users/15384345/horwing42'}",True,71,1,3,1653863649,1615570405,66604569,CC BY-SA 4.0,https://stackoverflow.com/questions/66604569/dynamic-storage-of-a-binary-file-in-c,Dynamic storage of a binary file in C,,1653863649.0,,,,
35,"['c', 'struct', 'casting', 'language-lawyer', 'unions']","{'account_id': 4342327, 'reputation': 139415, 'user_id': 3545273, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/RDWxl.png?s=256&g=1', 'display_name': 'Serge Ballesta', 'link': 'https://stackoverflow.com/users/3545273/serge-ballesta'}",True,251,2,9,1653711559,1615457786,66580497,CC BY-SA 4.0,https://stackoverflow.com/questions/66580497/is-it-legal-to-cast-a-struct-to-an-union-containing-it,Is it legal to cast a struct to an union containing it?,,,,,,
36,"['c', 'file']","{'user_type': 'does_not_exist', 'display_name': 'user15370833'}",True,84,1,0,1653333038,1615404783,66571641,CC BY-SA 4.0,https://stackoverflow.com/questions/66571641/create-a-text-file-and-write-address-of-the-char-array-in-it,Create a text file and write address of the char array in it,66571868.0,1653333038.0,,,,
37,"['c', 'file']","{'account_id': 10497247, 'reputation': 407, 'user_id': 15178710, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/50ec964226caef5e8f31bba56ec46f1e?s=256&d=identicon&r=PG&f=1', 'display_name': 'gregni', 'link': 'https://stackoverflow.com/users/15178710/gregni'}",False,67,1,0,1653315073,1615993601,66675812,CC BY-SA 4.0,https://stackoverflow.com/questions/66675812/weird-segmantation-fault-on-writing-a-to-a-file-c,Weird Segmantation fault on writing a to a file c,,1653315073.0,,,,
38,"['c', 'cat', 'unistd.h']","{'user_type': 'does_not_exist', 'display_name': 'user15483624'}",True,85,1,2,1653246832,1616734393,66811241,CC BY-SA 4.0,https://stackoverflow.com/questions/66811241/c-implement-like-cat-with-robustness-and-efficiency,C implement like cat with robustness and efficiency,,1653246832.0,,,,
39,"['arrays', 'c', 'sorting', 'struct', 'qsort']","{'account_id': 21046782, 'reputation': 13, 'user_id': 15467960, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6297f41106b12d4ef247fb0e446d0acb?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tiago Amorim', 'link': 'https://stackoverflow.com/users/15467960/tiago-amorim'}",True,107,1,1,1653169240,1616578071,66778132,CC BY-SA 4.0,https://stackoverflow.com/questions/66778132/sorting-an-array-of-pointers-to-struct-inside-another-struct,Sorting an array of pointers to struct inside another struct,66778641.0,,,,,
40,"['c', 'unix', 'signals', 'posix']","{'account_id': 5020259, 'reputation': 657, 'user_id': 4033917, 'user_type': 'registered', 'accept_rate': 18, 'profile_image': 'https://graph.facebook.com/100001492317759/picture?type=large', 'display_name': 'Andre Liberty', 'link': 'https://stackoverflow.com/users/4033917/andre-liberty'}",False,99,1,0,1653114228,1616513970,66766446,CC BY-SA 4.0,https://stackoverflow.com/questions/66766446/does-the-kernel-propagates-sigkill-to-the-process-or-kills-it-immediately,Does the kernel propagates SIGKILL to the process or kills it immediately?,,,,,,
41,"['c', 'embedded', 'stm32', 'hal', 'stm32f4']","{'account_id': 16525573, 'reputation': 45, 'user_id': 14553722, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-gTxHOdPTg8Q/AAAAAAAAAAI/AAAAAAAAC-g/79ZBMsE02PA/photo.jpg?sz=256', 'display_name': 'Joshua John', 'link': 'https://stackoverflow.com/users/14553722/joshua-john'}",True,3352,1,4,1653069005,1616787971,66823397,CC BY-SA 4.0,https://stackoverflow.com/questions/66823397/implementing-a-single-press-long-press-and-a-double-press-function-in-hal-for-s,"Implementing a single press, long press and a double press function in HAL for STM32",66824589.0,,,,,
42,"['c', 'linux-kernel', 'kernel-module']","{'account_id': 20196098, 'reputation': 43, 'user_id': 14813014, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f8757952e9c2710d0c05576970778f18?s=256&d=identicon&r=PG&f=1', 'display_name': 'zer0-padding', 'link': 'https://stackoverflow.com/users/14813014/zer0-padding'}",True,324,1,1,1652456996,1614699454,66442420,CC BY-SA 4.0,https://stackoverflow.com/questions/66442420/understanding-the-calculation-of-the-time-jiffies,Understanding the calculation of the time (jiffies),66443052.0,1614701794.0,,,,
43,"['c', 'nasm', 'paging', 'gdt']","{'account_id': 21062164, 'reputation': 1, 'user_id': 15480317, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/746e67a0856c25fd610caaec415b6f1d?s=256&d=identicon&r=PG&f=1', 'display_name': 'WernerDrasche', 'link': 'https://stackoverflow.com/users/15480317/wernerdrasche'}",True,152,1,0,1651679493,1616693880,66804811,CC BY-SA 4.0,https://stackoverflow.com/questions/66804811/enabling-paging-leads-to-triple-fault,enabling paging leads to triple fault,66849267.0,1651679493.0,,,,
44,['c'],"{'account_id': 20653177, 'reputation': 23, 'user_id': 15162956, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2126937507436844/picture?type=large', 'display_name': 'Julia', 'link': 'https://stackoverflow.com/users/15162956/julia'}",False,725,1,1,1651472717,1616349715,66735745,CC BY-SA 4.0,https://stackoverflow.com/questions/66735745/terminated-by-signal-sigkill-forced-quit-different-error,terminated by signal SIGKILL (Forced quit) DIFFERENT ERROR,,1651472717.0,,,,
45,"['android', 'c', 'linux', 'touch-event']","{'account_id': 20574220, 'reputation': 21, 'user_id': 15101852, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjxugUqYt3mZTcnlaDXx3aQfv0dgmObUzWo-f5PEA=k-s256', 'display_name': 'Abhinav jayaswal', 'link': 'https://stackoverflow.com/users/15101852/abhinav-jayaswal'}",True,1744,3,1,1651267285,1615267468,66541256,CC BY-SA 4.0,https://stackoverflow.com/questions/66541256/in-android-how-to-find-what-dev-input-event-is-used-for-touchscreen-using-c-fu,In android how to find what /dev/input/event* is used for touchscreen using c function,,,,,,
46,"['c', 'macos', 'visual-studio-code', 'clang', 'llvm']","{'account_id': 19431567, 'reputation': 111, 'user_id': 14211875, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gibrt3h3nIm82GpOOUJaU36BWTVWNMJP2kopN6ZIw=k-s256', 'display_name': 'Tom', 'link': 'https://stackoverflow.com/users/14211875/tom'}",True,1816,2,2,1650429465,1615908076,66658186,CC BY-SA 4.0,https://stackoverflow.com/questions/66658186/macos-llvm-cant-find-stdio-h-anymore,macOS llvm can&#39;t find stdio.h anymore,66661660.0,,,,,
47,"['c', 'pthreads', 'shared-memory', 'multiprocess', 'futex']","{'account_id': 9633390, 'reputation': 1923, 'user_id': 7150408, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-iJ-Hk3r0_Zc/AAAAAAAAAAI/AAAAAAAACJ4/5oV3lHcC-IM/photo.jpg?sz=256', 'display_name': 'Poohl', 'link': 'https://stackoverflow.com/users/7150408/poohl'}",True,342,2,3,1650314109,1614953369,66494029,CC BY-SA 4.0,https://stackoverflow.com/questions/66494029/shared-pthread-cond-broadcast-stuck-in-futex-wait,Shared pthread_cond_broadcast stuck in futex_wait,66510048.0,,,,,
