,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,migrated_from,protected_date,locked_date
10,"['c', 'string', 'parsing', 'scanf', 'c89']","{'account_id': 18199174, 'reputation': 55, 'user_id': 13275846, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e96123ac10cd03fe8bf63e4bc5f76364?s=256&d=identicon&r=PG&f=1', 'display_name': 'Argon', 'link': 'https://stackoverflow.com/users/13275846/argon'}",True,288,3,-1,1665589943,1586497818,1665589943.0,61134722,CC BY-SA 4.0,https://stackoverflow.com/questions/61134722/parse-a-string-in-c89-c90,Parse a string in C89/C90,,,,,,
11,"['c', 'struct', 'module', 'nodes', 'c99']","{'user_type': 'does_not_exist', 'display_name': 'user13186558'}",True,48,1,0,1665589740,1588103869,1665589740.0,61488910,CC BY-SA 4.0,https://stackoverflow.com/questions/61488910/see-get-min-value-of-nodes-exceptional-case,"see get min value of nodes, exceptional case",61489479.0,,,,,
12,"['c', 'assembly', 'x86', 'reverse-engineering', 'binary-bomb']","{'account_id': 12917043, 'reputation': 83, 'user_id': 13244127, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiqdcFpef5jUh0WQQOmWCSnhn6PzyGFMejWUZO6=k-s256', 'display_name': 'scy8', 'link': 'https://stackoverflow.com/users/13244127/scy8'}",True,1008,2,8,1664715846,1586224867,1664715846.0,61071660,CC BY-SA 4.0,https://stackoverflow.com/questions/61071660/difficulty-understanding-logic-in-disassembled-binary-bomb-phase-3,Difficulty understanding logic in disassembled binary bomb phase 3,61084591.0,,,,,
13,"['c', 'modulo', 'calculation']","{'account_id': 18005762, 'reputation': 25, 'user_id': 13086581, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/982091e05e918e8b39620691770e9d0d?s=256&d=identicon&r=PG&f=1', 'display_name': 'vvdalimkar', 'link': 'https://stackoverflow.com/users/13086581/vvdalimkar'}",True,295,1,1,1664624292,1586767111,1586774987.0,61184215,CC BY-SA 4.0,https://stackoverflow.com/questions/61184215/what-is-meant-by-compute-it-modulo-1-000-000-007,"What is meant by &quot;compute it modulo 1,000,000,007&quot;?",61186366.0,,,,,
14,"['c', 'struct', 'malloc', 'coredump']","{'account_id': 18253782, 'reputation': 3, 'user_id': 13288205, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0f3c69ca736f89e290d1314426b36d9e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jcathartes', 'link': 'https://stackoverflow.com/users/13288205/jcathartes'}",True,223,1,0,1664374329,1586629385,1664374329.0,61161692,CC BY-SA 4.0,https://stackoverflow.com/questions/61161692/why-accessing-structure-members-inside-a-function-causes-malloc-corrupted-top,Why accessing structure members inside a function causes malloc(): corrupted top size in C language?,61161995.0,,,,,
15,"['c', 'macos', 'visual-studio-code', 'macos-catalina']","{'account_id': 247985, 'reputation': 1661, 'user_id': 523079, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/b5d6c11a514be643da906488f8ecd180?s=256&d=identicon&r=PG', 'display_name': 'swineone', 'link': 'https://stackoverflow.com/users/523079/swineone'}",True,8656,5,21,1663413256,1587668273,,61394972,CC BY-SA 4.0,https://stackoverflow.com/questions/61394972/program-would-like-to-access-files-in-your-documents-folder-message-with-v,`&quot;&lt;program&gt;&quot; would like to access files in your Documents folder` message with VS Code and macOS Catalina,,,,,,
16,"['c', 'algorithm', 'primes', 'factors', 'prime-factoring']","{'account_id': 16999723, 'reputation': 61, 'user_id': 12297393, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/faf6b6e24afae746438f8061d0159c10?s=256&d=identicon&r=PG&f=1', 'display_name': 'Thang', 'link': 'https://stackoverflow.com/users/12297393/thang'}",False,895,1,0,1663164632,1587024932,,61245618,,https://stackoverflow.com/questions/61245618/algorithms-to-find-prime-factors,Algorithms to find prime factors,,1663607486.0,Duplicate,,,
17,"['c++', 'c', 'neovim', 'clangd']","{'account_id': 14179563, 'reputation': 319, 'user_id': 10243689, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-YJCMyIzl6RQ/AAAAAAAAAAI/AAAAAAAAAAA/APUIFaPQK7GmkLP9HL4OE7KDEYThc4m3jQ/mo/photo.jpg?sz=256', 'display_name': 'AMIR REZA SADEQI', 'link': 'https://stackoverflow.com/users/10243689/amir-reza-sadeqi'}",True,16984,3,8,1663051740,1586863952,1586864685.0,61206703,CC BY-SA 4.0,https://stackoverflow.com/questions/61206703/is-there-includepath-option-in-clangd,Is there &quot;includePath&quot; option in clangd?,,,,,,
18,"['c', 'io']","{'account_id': 17661227, 'reputation': 89, 'user_id': 12819647, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-iCJFdmUBUQg/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rccybAkm4jAGfAk_RibrgFnMmjVgA/photo.jpg?sz=256', 'display_name': 'Asger Skov Velling', 'link': 'https://stackoverflow.com/users/12819647/asger-skov-velling'}",True,210,3,1,1663006336,1586182957,1586184335.0,61062004,CC BY-SA 4.0,https://stackoverflow.com/questions/61062004/kr-chapter-1-5-4-how-would-you-test-the-word-count-program,K&amp;R Chapter 1.5.4: &quot;How would you test the word count program?&quot;,61082229.0,,,,,
19,"['c', 'linker-errors', 'pic']","{'account_id': 4444734, 'reputation': 605, 'user_id': 4042944, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/d8564bbb44783b3ae9b8e593e61a0292?s=256&d=identicon&r=PG', 'display_name': 'ZoomVirus', 'link': 'https://stackoverflow.com/users/4042944/zoomvirus'}",False,63,0,0,1662994498,1587018350,1662994498.0,61243974,CC BY-SA 4.0,https://stackoverflow.com/questions/61243974/linker-not-enough-rom,Linker not enough ROM,,,,,,
20,"['c', 'gcc', 'optimization']","{'account_id': 9428377, 'reputation': 378, 'user_id': 7012683, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/165776790545301/picture?type=large', 'display_name': 'skywind3000', 'link': 'https://stackoverflow.com/users/7012683/skywind3000'}",True,551,1,2,1662043877,1587573882,1662043877.0,61370485,CC BY-SA 4.0,https://stackoverflow.com/questions/61370485/is-it-a-gcc-o2-optimization-bug-different-result-from-o1,Is it a gcc -O2 optimization bug (different result from -O1)?,,,,,,
21,['c'],"{'account_id': 18251929, 'reputation': 23, 'user_id': 13286752, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/925fb9b85ecd00448aa11c692c443259?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gil Carlos Volpato', 'link': 'https://stackoverflow.com/users/13286752/gil-carlos-volpato'}",True,413,4,-1,1661593868,1586612868,,61157794,CC BY-SA 4.0,https://stackoverflow.com/questions/61157794/why-some-code-examples-from-the-c-programming-language-book-dont-work-as-expect,Why some code examples from The C Programming Language book don&#39;t work as expected?,61159667.0,,,,,
22,['c'],"{'user_type': 'does_not_exist', 'display_name': 'user12061175'}",False,95,1,0,1661268609,1586146586,1661268609.0,61052880,CC BY-SA 4.0,https://stackoverflow.com/questions/61052880/ifdef-is-causing-a-conflict-even-though-i-used-endif,"#ifdef is causing a conflict, even though i used #endif",,,,,,
23,"['c', 'floating-point', 'bit-shift']","{'account_id': 6927638, 'reputation': 1107, 'user_id': 5394409, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/RZLo7.png?s=256&g=1', 'display_name': 'OmarL', 'link': 'https://stackoverflow.com/users/5394409/omarl'}",True,156,3,1,1661211142,1586115449,,61048404,CC BY-SA 4.0,https://stackoverflow.com/questions/61048404/is-it-defined-what-will-happen-if-you-shift-a-float,Is it defined what will happen if you shift a float?,61049957.0,,,,,
24,"['c', 'do-while']","{'account_id': 18191529, 'reputation': 85, 'user_id': 13237300, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2a94c7c57cba6bc8b4a86ece84a1589c?s=256&d=identicon&r=PG&f=1', 'display_name': 'OmKshirsagar', 'link': 'https://stackoverflow.com/users/13237300/omkshirsagar'}",True,291,3,0,1660234119,1587921766,,61444997,CC BY-SA 4.0,https://stackoverflow.com/questions/61444997/how-to-set-a-range-in-do-while-range-in-c,How to set a range in do/while range in c?,61445027.0,,,,,
25,"['c', 'visual-studio-2015', 'mouseevent']","{'account_id': 18300438, 'reputation': 403, 'user_id': 13325381, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/Nn39R.png?s=256&g=1', 'display_name': 'rick', 'link': 'https://stackoverflow.com/users/13325381/rick'}",True,96,1,1,1659704210,1588188889,1588191253.0,61510204,CC BY-SA 4.0,https://stackoverflow.com/questions/61510204/monitor-flashing-when-running-a-windows-sendinput-api,Monitor flashing when running a Windows SendInput API,61510466.0,,,,,
26,"['c', 'c99', 'variadic-macros']","{'account_id': 6677794, 'reputation': 3159, 'user_id': 5151909, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/677946faa239045e9bb743ab5f9f8ca0?s=256&d=identicon&r=PG&f=1', 'display_name': 'galah92', 'link': 'https://stackoverflow.com/users/5151909/galah92'}",False,47,1,0,1659598948,1587306897,,61306070,CC BY-SA 4.0,https://stackoverflow.com/questions/61306070/macro-with-number-of-arguments-and-default-parameter,Macro with number of arguments AND default parameter,,,,,,
27,['c'],"{'account_id': 17749279, 'reputation': 105, 'user_id': 12887858, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/--rzCocmEKqU/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rc68djp9nKqxh2LQR83jjy0ACEF0g/photo.jpg?sz=256', 'display_name': 'IDK', 'link': 'https://stackoverflow.com/users/12887858/idk'}",True,549,4,0,1659208097,1587558279,1607068004.0,61365053,CC BY-SA 4.0,https://stackoverflow.com/questions/61365053/100-doors-problem-solution-does-not-work-as-expected,100 doors problem solution does not work as expected,,,,,,
28,"['c', 'libuv']","{'account_id': 99714, 'reputation': 2504, 'user_id': 269181, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/968d700efe38dce8e9cce18360980325?s=256&d=identicon&r=PG', 'display_name': 'PeterM', 'link': 'https://stackoverflow.com/users/269181/peterm'}",True,130,2,1,1659058843,1586254766,1586385877.0,61077756,CC BY-SA 4.0,https://stackoverflow.com/questions/61077756/how-to-safely-used-a-padded-struct-as-a-hashmap-key,How to safely used a padded struct as a hashmap key,,,,,,
29,"['python', 'c', 'modulus']","{'account_id': 6776801, 'reputation': 24452, 'user_id': 5218354, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://lh4.googleusercontent.com/-NEO9rZKeffY/AAAAAAAAAAI/AAAAAAAAAKc/9IttO1jUOr4/photo.jpg=k-s256', 'display_name': 'norok2', 'link': 'https://stackoverflow.com/users/5218354/norok2'}",True,185,3,4,1658943515,1587481256,1587565058.0,61346630,CC BY-SA 4.0,https://stackoverflow.com/questions/61346630/compute-cs-using-pythons,Compute C&#39;s `%` using Python&#39;s `%`?,61346631.0,,,,,
30,"['c', 'ubuntu', 'fork', 'pid', 'waitpid']","{'account_id': 18414305, 'reputation': 11, 'user_id': 13413789, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgHaUIG7annmjHCQCktEzBsOwswHucpjiCCZY5acQ=k-s256', 'display_name': 'JackRS', 'link': 'https://stackoverflow.com/users/13413789/jackrs'}",True,5688,2,1,1658777557,1588014633,1588014947.0,61466564,CC BY-SA 4.0,https://stackoverflow.com/questions/61466564/how-to-make-parent-process-wait-for-child-processes-to-finish,How to make parent process wait for child processes to finish?,,,,,,
31,"['c++', 'c', 'gcc', 'clang', 'extint']","{'account_id': 15329073, 'reputation': 3007, 'user_id': 11059315, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/68263eac6b6be448f38d829a0832e2b9?s=256&d=identicon&r=PG&f=1', 'display_name': 'xilpex', 'link': 'https://stackoverflow.com/users/11059315/xilpex'}",True,225,2,1,1658570062,1587743877,1587789383.0,61412470,CC BY-SA 4.0,https://stackoverflow.com/questions/61412470/will-clangs-custom-int-size-feature-ever-get-added-to-gcc,Will clangs custom int size feature ever get added to gcc?,61412471.0,,,,,
32,"['c', 'primes']","{'account_id': 18295867, 'reputation': 1, 'user_id': 13321817, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-CUI85I3nPiY/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJM-xiXVOlvH-3_I1-jSMgsq1lOQKA/photo.jpg?sz=256', 'display_name': 'Junaid Mohammed', 'link': 'https://stackoverflow.com/users/13321817/junaid-mohammed'}",True,3296,6,0,1658422451,1587226918,1587229207.0,61292457,CC BY-SA 4.0,https://stackoverflow.com/questions/61292457/c-program-prime-number-in-a-given-range,C Program (Prime Number in a given range),,,,,,
33,"['c', 'linux', 'x11', 'xlib']","{'account_id': 4364878, 'reputation': 4684, 'user_id': 3560981, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/8fa10e8d564dd93ece697b0aebe689dd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nidhoegger', 'link': 'https://stackoverflow.com/users/3560981/nidhoegger'}",False,1016,0,4,1658150170,1587127301,,61271941,CC BY-SA 4.0,https://stackoverflow.com/questions/61271941/create-a-system-tray-icon-in-linux-without-gtk-qt,Create a System Tray Icon in Linux without GTK/QT,,,,,,
34,"['c', 'struct', 'stm32', 'spi', 'dma']","{'account_id': 11437426, 'reputation': 11, 'user_id': 13332996, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e5aa2526cec1c672317c28ec8c1c7ed3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gordon Madden', 'link': 'https://stackoverflow.com/users/13332996/gordon-madden'}",True,498,2,1,1657905850,1587061005,1587112428.0,61257182,CC BY-SA 4.0,https://stackoverflow.com/questions/61257182/spi-with-dma-transfer-between-two-stm32-chips-results-in-reordered-data-in-struc,SPI with DMA transfer between two STM32 chips results in reordered data in struct,,,,,,
35,"['c', 'smtp']","{'account_id': 18054694, 'reputation': 1, 'user_id': 13123478, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-vHvH0J1sPoU/AAAAAAAAAAI/AAAAAAAAAAA/AKF05nDj8QZ7sKdU_cyg991Zb5_AwdoC2Q/photo.jpg?sz=256', 'display_name': 'Der Mulm', 'link': 'https://stackoverflow.com/users/13123478/der-mulm'}",False,178,1,0,1657471136,1585873287,,61003283,CC BY-SA 4.0,https://stackoverflow.com/questions/61003283/send-email-with-attachment-in-c,send email with attachment in C,,,,,,
36,"['c++', 'c', 'video', 'gstreamer', 'gstreamer-1.0']","{'account_id': 18355519, 'reputation': 61, 'user_id': 13368659, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3b37fc53b33d9dd376188174714f9099?s=256&d=identicon&r=PG&f=1', 'display_name': 'KrithikaV', 'link': 'https://stackoverflow.com/users/13368659/krithikav'}",False,2261,1,6,1657278008,1587451228,,61337392,CC BY-SA 4.0,https://stackoverflow.com/questions/61337392/memory-not-freed-after-gstreamer-pipeline-set-to-gst-state-null,Memory not freed after gstreamer pipeline set to GST_STATE_NULL,,,,,,
37,"['c', 'linux-kernel']","{'account_id': 62316, 'reputation': 6267, 'user_id': 185235, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/a276b9e48f23fd30eef9351eef2bcca5?s=256&d=identicon&r=PG', 'display_name': 'Chris H', 'link': 'https://stackoverflow.com/users/185235/chris-h'}",True,1092,1,5,1655049348,1588208561,1588331918.0,61514215,CC BY-SA 4.0,https://stackoverflow.com/questions/61514215/where-and-why-do-read2-and-write2-system-calls-copy-to-and-from-userspace,Where and why do read(2) and write(2) system calls copy to and from userspace?,,,,,,
38,"['c', 'header-files', 'fcntl']","{'account_id': 17610467, 'reputation': 890, 'user_id': 12778634, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-vd6GgGMvutk/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcFqF3HvyarV4BMWPGtNDQZ1pt9TA/photo.jpg?sz=256', 'display_name': 'AndreasInfo', 'link': 'https://stackoverflow.com/users/12778634/andreasinfo'}",True,452,2,0,1655015864,1586424283,1586426099.0,61117904,CC BY-SA 4.0,https://stackoverflow.com/questions/61117904/programm-can-not-find-constant-in-libary-fcntl-h-in-c,programm can not find constant in libary fcntl.h in c,61118295.0,,,,,
39,"['c', 'gcc', 'arm', 'nxp-microcontroller']","{'account_id': 6101216, 'reputation': 33, 'user_id': 10000855, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e396bd4921ab3460ed7905c34704031d?s=256&d=identicon&r=PG&f=1', 'display_name': 'LuC', 'link': 'https://stackoverflow.com/users/10000855/luc'}",True,2839,1,3,1654084652,1587054351,1654084652.0,61255179,CC BY-SA 4.0,https://stackoverflow.com/questions/61255179/setting-attribute-used-to-c-variable-constant-has-no-effect,Setting __attribute__((used)) to C variable/constant has no effect,61276017.0,,,,,
40,"['c', 'stack', 'runtime-error']","{'account_id': 18235551, 'reputation': 33, 'user_id': 13273643, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d773d134dfd7adf7ba31a01f76be38bf?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kamel Yehya', 'link': 'https://stackoverflow.com/users/13273643/kamel-yehya'}",False,2451,3,1,1653249193,1586470251,1586799681.0,61131045,CC BY-SA 4.0,https://stackoverflow.com/questions/61131045/program-giving-correct-output-but-displaying-runtime-error-on-hackerrank,"Program giving correct output, but displaying Runtime error on Hackerrank",,,,,,
41,"['c', 'gcc', 'build', 'linux-kernel', 'gcc-plugins']","{'account_id': 5773163, 'reputation': 21, 'user_id': 4556037, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/19b8b967ca4b2f26103443ff99cd32e4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Lurricane', 'link': 'https://stackoverflow.com/users/4556037/lurricane'}",False,330,0,2,1651719590,1587482637,1651719590.0,61347102,CC BY-SA 4.0,https://stackoverflow.com/questions/61347102/error-building-program-using-gcc-plugin-from-linux-kernel-source-tree,Error building program using gcc plugin from linux kernel source tree,,,,,,
42,"['c', 'windows', 'winapi']","{'account_id': 17970421, 'reputation': 17, 'user_id': 13059324, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/00825292ce56367f1c4ac6e3bc67ae4e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Amenadiel', 'link': 'https://stackoverflow.com/users/13059324/amenadiel'}",False,121,1,0,1651677994,1586627800,1651677994.0,61161325,CC BY-SA 4.0,https://stackoverflow.com/questions/61161325/getfullpathnamea-returns-projects-path,GetFullPathNameA Returns Project&#39;s Path,,,,,,
43,"['c', 'pwm', 'motordriver', 'psoc']","{'account_id': 16955190, 'reputation': 33, 'user_id': 12263767, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-rhGpssC_yPM/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3reWcuyV7TmebLTrItwy1Gqye9_DlQ/photo.jpg?sz=256', 'display_name': 'Rogier', 'link': 'https://stackoverflow.com/users/12263767/rogier'}",False,324,1,0,1651448638,1586202628,,61067848,CC BY-SA 4.0,https://stackoverflow.com/questions/61067848/dc-motor-speed-and-direction-with-pwm-psoc,DC Motor speed and direction with PWM PSoC,,,,,,
44,['c'],"{'account_id': 18360044, 'reputation': 1, 'user_id': 13372343, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiwqnRqKQgm6_eQ1h67zMmshWdF-hxVKEeCNJOevME=k-s256', 'display_name': 'Giuseppe Valdes', 'link': 'https://stackoverflow.com/users/13372343/giuseppe-valdes'}",True,101,2,0,1651157170,1588096049,1651157170.0,61486657,CC BY-SA 4.0,https://stackoverflow.com/questions/61486657/c-problems-with-fscanf,C Problems with fscanf,,,,,,
45,"['python', 'c++', 'c', 'pycharm', 'clion']","{'account_id': 18289586, 'reputation': 84, 'user_id': 13316671, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/SyBG7.png?s=256&g=1', 'display_name': 'jshwi', 'link': 'https://stackoverflow.com/users/13316671/jshwi'}",True,164,2,1,1651081843,1586914523,,61219918,CC BY-SA 4.0,https://stackoverflow.com/questions/61219918/can-substitute-pycharm-professional-for-clion-primarily-for-python,Can substitute PyCharm Professional for CLion - primarily for python,72033188.0,,,,,
46,"['c', 'arrays']","{'account_id': 17102395, 'reputation': 375, 'user_id': 12375196, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5a609ab25bad7733b639a357c393b692?s=256&d=identicon&r=PG&f=1', 'display_name': 'Spyromancer', 'link': 'https://stackoverflow.com/users/12375196/spyromancer'}",True,44,1,-1,1649667420,1585682214,,60958209,CC BY-SA 4.0,https://stackoverflow.com/questions/60958209/arrays-values-change-not-working-properly,Arrays values change not working properly,71825105.0,,,,,
