,tags,owner,is_answered,view_count,closed_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,content_license,migrated_from
10,"['c', 'assembly', 'x86-64', 'reverse-engineering']","{'user_type': 'does_not_exist', 'display_name': 'user11764168'}",True,1758,,62343616.0,2,2,1665251632,1591960324,1601593749.0,62343089,https://stackoverflow.com/questions/62343089/assembly-instruction-reading-leaq,,"Assembly instruction reading, leaq",CC BY-SA 4.0,
11,"['c', 'function']","{'account_id': 7059122, 'reputation': 17, 'user_id': 5405199, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b227ee47539870a15b8c230cad7727bf?s=256&d=identicon&r=PG', 'display_name': 'Ananaskirsche', 'link': 'https://stackoverflow.com/users/5405199/ananaskirsche'}",True,63,,62119171.0,1,1,1664798410,1590942126,1664798410.0,62119141,https://stackoverflow.com/questions/62119141/make-methods-available-everywhere,,Make methods available everywhere,CC BY-SA 4.0,
12,"['c', 'loops', 'for-loop', 'logic']","{'user_type': 'does_not_exist', 'display_name': 'user12187654'}",True,2148,,,2,1,1662626975,1592325721,1592327446.0,62413491,https://stackoverflow.com/questions/62413491/c-program-to-print-right-angle-triangle,,C program to print right angle triangle,CC BY-SA 4.0,
13,"['c', 'assembly', 'arm', 'imx6']","{'account_id': 11435339, 'reputation': 3168, 'user_id': 8382929, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/feb63c4676da4621466f8c12e590b644?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bayou', 'link': 'https://stackoverflow.com/users/8382929/bayou'}",True,186,,62897186.0,1,1,1662290804,1593118371,1593175587.0,62584153,https://stackoverflow.com/questions/62584153/enable-arm-errata-in-inline-assembly,,Enable ARM errata in inline assembly,CC BY-SA 4.0,
14,"['c++', 'c', 'floating-point', 'bit-manipulation']","{'account_id': 17715102, 'reputation': 4294, 'user_id': 12861639, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6a08a192c07be32909e1ad8bd895ffde?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ranoiaetep', 'link': 'https://stackoverflow.com/users/12861639/ranoiaetep'}",True,838,,62637155.0,4,5,1661653235,1593404983,1652820016.0,62631242,https://stackoverflow.com/questions/62631242/is-there-a-formula-to-find-the-numbers-of-bits-for-either-exponent-or-significan,,Is there a formula to find the numbers of bits for either exponent or significand in a floating point number?,CC BY-SA 4.0,
15,['c'],"{'account_id': 18865521, 'reputation': 1, 'user_id': 13761357, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gi3FxpAvDiZlSiqqexiH4C_MCGCcsYbjP5KetZX5Q=k-s256', 'display_name': 'gyunh0', 'link': 'https://stackoverflow.com/users/13761357/gyunh0'}",True,76,1592387129.0,,1,-4,1661268593,1592383892,1661268593.0,62425105,https://stackoverflow.com/questions/62425105/what-should-i-change-red-to,Needs details or clarity,What should I change &#39;RED&#39; to?,,
16,"['c', 'memory-address']","{'account_id': 15424531, 'reputation': 412, 'user_id': 11127624, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bf5239c54128e99251d3f3b4ed7a4c3e?s=256&d=identicon&r=PG&f=1', 'display_name': 'tonik', 'link': 'https://stackoverflow.com/users/11127624/tonik'}",True,235,,62312708.0,3,-1,1661229682,1591819158,,62312151,https://stackoverflow.com/questions/62312151/c-why-is-this-address-of-the-char-array-6-bytes,,C: Why is this address of the char array 6 bytes?,CC BY-SA 4.0,
17,"['c', 'arrays', 'multidimensional-array', 'undefined-behavior']","{'account_id': 3466990, 'reputation': 439, 'user_id': 4644468, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/9a52b2a168cce82a0f3997c132a7e107?s=256&d=identicon&r=PG&f=1', 'display_name': 'hiy', 'link': 'https://stackoverflow.com/users/4644468/hiy'}",True,346,,62249886.0,3,6,1660888870,1591553388,,62249658,https://stackoverflow.com/questions/62249658/is-accessing-an-element-of-a-multidimensional-array-out-of-bounds-undefined-beha,,Is accessing an element of a multidimensional array out of bounds undefined behavior?,CC BY-SA 4.0,
18,"['c', 'visual-studio-code', 'visual-c++']","{'account_id': 18596063, 'reputation': 1, 'user_id': 13552051, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/L3MJs.jpg?s=256&g=1', 'display_name': 'wildcArd_', 'link': 'https://stackoverflow.com/users/13552051/wildcard'}",True,32059,,,7,0,1660856381,1592049893,1660856381.0,62359501,https://stackoverflow.com/questions/62359501/im-trying-to-enable-error-squiggles-in-vs-code-and-its-not-working-and-throwin,,I&#39;m trying to enable error squiggles in VS Code and it&#39;s not working and throwing an error message,CC BY-SA 4.0,
19,"['c++', 'c', 'operating-system', 'embedded', 'system']","{'account_id': 18399536, 'reputation': 39, 'user_id': 13402994, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gj1fuifwPo-QoJE893EXsl4CUDi5afccqVcDhTn=k-s256', 'display_name': 'Lokesh Waran', 'link': 'https://stackoverflow.com/users/13402994/lokesh-waran'}",True,2633,,,5,2,1660544155,1592790102,,62506302,https://stackoverflow.com/questions/62506302/why-developers-use-c-c-for-embedded-systems-rather-than-high-level-language-li,,why developers use c/c++ for embedded systems rather than high level language like python compared to c?,CC BY-SA 4.0,
20,"['c', '8051', 'sdcc']","{'account_id': 14554464, 'reputation': 1, 'user_id': 10512395, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-OHdaZJaNl4w/AAAAAAAAAAI/AAAAAAAAANU/iWYHiuPVgFc/photo.jpg?sz=256', 'display_name': 'bhaggya umayangana salwathura', 'link': 'https://stackoverflow.com/users/10512395/bhaggya-umayangana-salwathura'}",True,1240,,62290680.0,1,-3,1660493820,1591730057,1660493820.0,62290210,https://stackoverflow.com/questions/62290210/mcu-8051-ide-small-device-c-compiler-sdcc-compiler-with-c-language-is-not-co,,MCU 8051 IDE &#39;Small Device C Compiler&#39; (SDCC) compiler with C language is not compiling,CC BY-SA 4.0,
21,"['c', 'gcc', 'optimization', 'clang', 'x86-64']","{'account_id': 1028663, 'reputation': 10309, 'user_id': 1037407, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/ea9053cc1a060bd52936e92c59a35eca?s=256&d=identicon&r=PG', 'display_name': 'Ecir Hana', 'link': 'https://stackoverflow.com/users/1037407/ecir-hana'}",True,687,,62258049.0,1,5,1660263691,1591601533,1591606184.0,62257103,https://stackoverflow.com/questions/62257103/emit-div-instruction-instead-of-udivti3,,"Emit DIV instruction, instead of __udivti3",CC BY-SA 4.0,
22,"['c', 'winapi', 'win32-process']","{'account_id': 15637461, 'reputation': 57, 'user_id': 11281905, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d6ccaf7fa94a78663f5eb48f70cb897a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Margie', 'link': 'https://stackoverflow.com/users/11281905/margie'}",True,240,,62675249.0,1,1,1659938089,1593510760,,62654743,https://stackoverflow.com/questions/62654743/program-to-get-all-local-users-and-their-permission-for-the-given-file-using-win,,Program to get all local users and their permission for the given file using win32 api in C programming,CC BY-SA 4.0,
23,"['c++', 'c', 'visual-studio', 'dll']","{'account_id': 12248144, 'reputation': 65, 'user_id': 10071455, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-M_4DPyvsXoQ/AAAAAAAAAAI/AAAAAAAAAAA/AAnnY7rL-cVZrYSZ3Xy8dvk3I1LkepxyUQ/mo/photo.jpg?sz=256', 'display_name': 'Andriy Buchynskyy', 'link': 'https://stackoverflow.com/users/10071455/andriy-buchynskyy'}",False,973,,,1,1,1658906681,1591122955,1591300805.0,62159032,https://stackoverflow.com/questions/62159032/printf-doesnt-print-any-message-from-dll-library,,printf doesn&#39;t print any message from dll library,CC BY-SA 4.0,
24,['c'],"{'account_id': 18842575, 'reputation': 39, 'user_id': 13743673, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/4RMLe.jpg?s=256&g=1', 'display_name': 'KAVAY SHARMA_ITSMEKAV', 'link': 'https://stackoverflow.com/users/13743673/kavay-sharma-itsmekav'}",True,4326,,62570377.0,1,1,1658866882,1593070375,1593070772.0,62570122,https://stackoverflow.com/questions/62570122/implicit-declaration-of-function-wimplicit-function-declaration,,implicit declaration of function [-Wimplicit-function-declaration],CC BY-SA 4.0,
25,"['c++', 'c', 'filter', 'ffmpeg']","{'account_id': 18848707, 'reputation': 9, 'user_id': 13748342, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/304239227ff69c0149fb7045c586f9f8?s=256&d=identicon&r=PG&f=1', 'display_name': 'luchengbiao', 'link': 'https://stackoverflow.com/users/13748342/luchengbiao'}",False,180,,,1,0,1658224315,1592209649,,62384279,https://stackoverflow.com/questions/62384279/how-to-use-the-blackframe-avfilter-of-ffmpeg-in-c-c,,How to use the blackframe avfilter of ffmpeg in C/C++,CC BY-SA 4.0,
26,"['c', 'linux', 'process', 'operating-system']","{'account_id': 18751205, 'reputation': 349, 'user_id': 13672269, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d0789b086b9428b0d34d56e8a9f90801?s=256&d=identicon&r=PG&f=1', 'display_name': 'kwonryul', 'link': 'https://stackoverflow.com/users/13672269/kwonryul'}",False,279,,,1,1,1656925451,1591186632,,62172646,https://stackoverflow.com/questions/62172646/can-sigcont-wake-up-the-sleeping-process,,Can SIGCONT wake up the sleeping process?,CC BY-SA 4.0,
27,"['c', 'ubuntu', 'ide', 'cs50', 'math.h']","{'account_id': 18659732, 'reputation': 3, 'user_id': 13601231, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3e8716b9445ff0d9ca10115b551665db?s=256&d=identicon&r=PG&f=1', 'display_name': 'the_philonoist', 'link': 'https://stackoverflow.com/users/13601231/the-philonoist'}",True,368,,62214707.0,3,-2,1656509205,1591355169,,62213905,https://stackoverflow.com/questions/62213905/how-to-include-and-use-math-h-library-in-cs50-ide,,How to include and use math.h library in cs50 ide,CC BY-SA 4.0,
28,"['c', 'cs50', 'luhn']","{'account_id': 13866594, 'reputation': 391, 'user_id': 10010969, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1b5dd287f0cd88d80147cb8a39d19429?s=256&d=identicon&r=PG&f=1', 'display_name': 'Julian', 'link': 'https://stackoverflow.com/users/10010969/julian'}",True,1299,,62613123.0,4,0,1655885790,1593276476,1596812875.0,62612851,https://stackoverflow.com/questions/62612851/cs50-luhns-algorithm-in-c,,CS50 Luhn&#39;s Algorithm in C,CC BY-SA 4.0,
29,"['c', 'string', 'pointers', 'char']","{'account_id': 18953572, 'reputation': 29, 'user_id': 13830689, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5551854c0dd13f8ef4ecb0e5485d9c17?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dan', 'link': 'https://stackoverflow.com/users/13830689/dan'}",True,748,,,4,2,1655384017,1593375452,1593377080.0,62627776,https://stackoverflow.com/questions/62627776/how-to-initialize-char-in-c,,How to initialize char ** in C?,CC BY-SA 4.0,
30,"['c', 'cs50', 'luhn']","{'account_id': 18731130, 'reputation': 15, 'user_id': 13656489, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5a629af4d950d2fd638a2a2d43623735?s=256&d=identicon&r=PG&f=1', 'display_name': 'Naeem', 'link': 'https://stackoverflow.com/users/13656489/naeem'}",True,2658,,72586416.0,4,0,1655151114,1590993358,1591018293.0,62126872,https://stackoverflow.com/questions/62126872/credit-card-validation-check-in-c-programming,,Credit card validation check in C programming,CC BY-SA 4.0,
31,"['c', 'arrays', 'string', 'pointers']","{'account_id': 18907593, 'reputation': 55, 'user_id': 13794400, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/529584152968b203534caf81198149ca?s=256&d=identicon&r=PG&f=1', 'display_name': 'Momo', 'link': 'https://stackoverflow.com/users/13794400/momo'}",True,59,,,3,1,1655018899,1592898515,1592899113.0,62529865,https://stackoverflow.com/questions/62529865/change-first-char-to-uppercase,,Change first char to uppercase,CC BY-SA 4.0,
32,"['c', 'realloc']","{'account_id': 18431372, 'reputation': 23, 'user_id': 13426403, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/084b4d1c219c19a413e08fff130f162d?s=256&d=identicon&r=PG&f=1', 'display_name': 'JoseAlmeida', 'link': 'https://stackoverflow.com/users/13426403/josealmeida'}",False,56,,,0,0,1654843991,1593126256,1654843991.0,62585576,https://stackoverflow.com/questions/62585576/delete-occurrences-of-an-element-if-it-occurs-more-than-n-times-realloc-inv,,Delete occurrences of an element if it occurs more than n times - realloc(): invalid next size,CC BY-SA 4.0,
33,"['c#', 'c', 'windows-kernel', 'deviceiocontrol']","{'account_id': 3387836, 'reputation': 739, 'user_id': 2843435, 'user_type': 'registered', 'accept_rate': 39, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ben', 'link': 'https://stackoverflow.com/users/2843435/ben'}",True,205,,71890973.0,2,10,1654796317,1591333124,1654796317.0,62208433,https://stackoverflow.com/questions/62208433/trouble-passing-a-c-string-from-userland-to-kernelmode-c-and-using-it-to-find-s,,Trouble passing a C# string from userland to kernelmode C and using it to find specific LDR_DATA_TABLE_ENTRY,CC BY-SA 4.0,
34,"['c', 'sdl', 'synthesis']","{'account_id': 18455425, 'reputation': 15, 'user_id': 13666264, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/84b66984b003a58ccb42a33ebc509a02?s=256&d=identicon&r=PG&f=1', 'display_name': 'valentin diverchy', 'link': 'https://stackoverflow.com/users/13666264/valentin-diverchy'}",True,159,,72506508.0,1,1,1654424250,1591882129,,62325567,https://stackoverflow.com/questions/62325567/struggle-to-program-an-lfo,,Struggle to program an LFO,CC BY-SA 4.0,
35,"['c', 'arrays', 'pointers']","{'account_id': 14766970, 'reputation': 319, 'user_id': 10664697, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/aTRhK.jpg?s=256&g=1', 'display_name': 'S.Sot', 'link': 'https://stackoverflow.com/users/10664697/s-sot'}",True,521,,62176209.0,1,1,1654409604,1591196538,,62176106,https://stackoverflow.com/questions/62176106/how-do-i-use-a-double-pointer-to-manipulate-an-array-in-c,,How do I use a double pointer to manipulate an array in C?,CC BY-SA 4.0,
36,"['c', 'linux']","{'account_id': 10674031, 'reputation': 167, 'user_id': 7858200, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10212458242674079/picture?type=large', 'display_name': 'Maor Rocky', 'link': 'https://stackoverflow.com/users/7858200/maor-rocky'}",True,85,,,1,1,1653334401,1592127617,1653334401.0,62370803,https://stackoverflow.com/questions/62370803/c-program-can-only-write-to-file-when-given-absolute-path-and-cant-when-given-re,,C program can only write to file when given absolute path and cant when given relative path,CC BY-SA 4.0,
37,"['c', 'cross-platform', 'desktop', 'pid']","{'user_type': 'does_not_exist', 'display_name': 'user4821390'}",True,2090,,,1,5,1652139634,1592085121,1652055099.0,62365978,https://stackoverflow.com/questions/62365978/get-a-list-of-child-processes-from-parent-process-in-c-and-c-cross-platform,,"Get a List of Child Processes from Parent Process in C and C++ (Cross-Platform, No Command Line)",CC BY-SA 4.0,
38,"['c++', 'c', 'string', 'macros', 'preprocessor']","{'account_id': 14483774, 'reputation': 1, 'user_id': 10462314, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-mFTzpusHsnY/AAAAAAAAAAI/AAAAAAAACoE/t4Bajxc84i4/photo.jpg?sz=256', 'display_name': 'Siddharth Singh', 'link': 'https://stackoverflow.com/users/10462314/siddharth-singh'}",True,522,,,3,0,1651742723,1592631466,,62482082,https://stackoverflow.com/questions/62482082/write-a-macro-function-to-change-the-case-of-a-string,,Write a macro function to change the case of a string?,CC BY-SA 4.0,
39,"['c', 'python-3.x', 'cython', 'pyinstaller']","{'account_id': 18731268, 'reputation': 65, 'user_id': 13656598, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/60e95c89d07e15e0a3bcde33b18edd1b?s=256&d=identicon&r=PG', 'display_name': 'Achyut-BK', 'link': 'https://stackoverflow.com/users/13656598/achyut-bk'}",False,634,,,0,1,1650990750,1590994818,1591000524.0,62127137,https://stackoverflow.com/questions/62127137/utilising-cython-with-pyinstaller,,Utilising Cython with Pyinstaller,CC BY-SA 4.0,
40,"['c', 'casting']","{'account_id': 17569410, 'reputation': 19, 'user_id': 12745397, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mDuM2ebhGc-5xH7BoE9blv_8IJ2d3VInACQH7nJ=k-s256', 'display_name': '반어이', 'link': 'https://stackoverflow.com/users/12745397/%eb%b0%98%ec%96%b4%ec%9d%b4'}",True,105,1592160396.0,,1,-1,1650622588,1592158428,1650622588.0,62376449,https://stackoverflow.com/questions/62376449/printff-5-4-in-c-language-returns-0-00000-unexpectedly,Not suitable for this site,"printf(&quot;%f&quot;,5/4) in C language returns 0.00000 unexpectedly",,
41,"['c', 'function', 'arguments', 'language-lawyer', 'c99']","{'account_id': 18283242, 'reputation': 198, 'user_id': 13629644, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/rupZn.png?s=256&g=1', 'display_name': 'Ulaş Sezgin', 'link': 'https://stackoverflow.com/users/13629644/ula%c5%9f-sezgin'}",True,1355,,62151455.0,3,6,1650350331,1591097318,1591100991.0,62150971,https://stackoverflow.com/questions/62150971/what-is-function-designator-and-actual-call,,What is function designator and actual call?,CC BY-SA 4.0,
42,"['c', 'linux', 'linux-kernel', 'embedded', 'bgi']","{'user_type': 'does_not_exist', 'display_name': 'user13747623'}",True,30,,,1,0,1649346381,1592983737,1649346381.0,62669687,https://stackoverflow.com/questions/62669687/how-to-write-mouse-program-in-linux,,how to write mouse program in linux,,"{'other_site': {'aliases': ['https://linux.stackexchange.com'], 'styling': {'tag_background_color': '#F0F0F0', 'tag_foreground_color': '#444444', 'link_color': '#0077CC'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'unix.meta', 'site_url': 'https://unix.meta.stackexchange.com', 'name': 'Unix &amp; Linux Meta Stack Exchange'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=unix.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['Prettify'], 'launch_date': 1294871917, 'open_beta_date': 1282071600, 'closed_beta_date': 1281466800, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/unix/Img/apple-touch-icon@2.png', 'favicon_url': 'https://cdn.sstatic.net/Sites/unix/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/unix/Img/apple-touch-icon.png', 'audience': 'users of Linux, FreeBSD and other Un*x-like operating systems', 'site_url': 'https://unix.stackexchange.com', 'api_site_parameter': 'unix', 'logo_url': 'https://cdn.sstatic.net/Sites/unix/Img/logo.png', 'name': 'Unix &amp; Linux', 'site_type': 'main_site'}, 'on_date': 1593577540, 'question_id': 594735}"
43,"['c++', 'c', 'linux-kernel', 'embedded-linux', 'bgi']","{'user_type': 'does_not_exist', 'display_name': 'user13747623'}",True,848,1592942995.0,,1,0,1649346340,1592914372,1649346340.0,62534429,https://stackoverflow.com/questions/62534429/how-to-write-piano-program-in-c-c,Needs more focus,How to write piano program in C/C++,,
44,"['c', 'security', 'assembly', 'stack', 'buffer-overflow']","{'account_id': 7662487, 'reputation': 21, 'user_id': 5807307, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10206232572318854/picture?type=large', 'display_name': 'Mostafa Saeed', 'link': 'https://stackoverflow.com/users/5807307/mostafa-saeed'}",True,105,,,2,0,1649271492,1591296940,,62202162,https://stackoverflow.com/questions/62202162/x86-assembly-function-stack,,x86 assembly function stack,CC BY-SA 4.0,
45,"['c', 'cmd', 'git-bash']","{'account_id': 15993747, 'reputation': 447, 'user_id': 11542205, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/baZW1.jpg?s=256&g=1', 'display_name': 'Tarek Hammami', 'link': 'https://stackoverflow.com/users/11542205/tarek-hammami'}",False,94,,,0,0,1648906142,1591693221,1648906142.0,62278778,https://stackoverflow.com/questions/62278778/c-program-in-git-bash-does-not-accept-input-properly,,C program in Git Bash does not accept input properly,CC BY-SA 4.0,
46,"['c', 'direct3d', 'direct2d']","{'account_id': 17459735, 'reputation': 33, 'user_id': 12657714, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mBkgPvHQpMA8m9KOdO_9bxo5Hy90abhKuFwKXKBKA=k-s256', 'display_name': 'Julio Enrique', 'link': 'https://stackoverflow.com/users/12657714/julio-enrique'}",True,1669,,,1,3,1648421167,1592935650,1592936097.0,62541121,https://stackoverflow.com/questions/62541121/why-is-id2d1factorygetdesktopdpi-obsolete,,Why is ID2D1Factory::GetDesktopDpi obsolete?,CC BY-SA 4.0,
47,"['c', 'gcc', 'g++', 'int128']","{'account_id': 2640892, 'reputation': 2778, 'user_id': 2284570, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/9bd1d26aad2cfb7ece066d94c128d529?s=256&d=identicon&r=PG', 'display_name': 'user2284570', 'link': 'https://stackoverflow.com/users/2284570/user2284570'}",True,1831,,,5,1,1647345141,1591785781,1591886722.0,62301621,https://stackoverflow.com/questions/62301621/how-to-define-int128-max-and-int128-min-for-int128,,How to define INT128_MAX and INT128_MIN for __int128?,CC BY-SA 4.0,
