,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,community_owned_date,locked_date,migrated_from,protected_date
16,"['c', 'gcc']","{'account_id': 979386, 'reputation': 20802, 'user_id': 999530, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/YGip7.png?s=256&g=1', 'display_name': 'Travis Griggs', 'link': 'https://stackoverflow.com/users/999530/travis-griggs'}",True,469,13775217.0,1,2,1661777862,1354944518,13774807,CC BY-SA 4.0,https://stackoverflow.com/questions/13774807/is-there-a-way-to-do-grouping-in-gcc-binary-literals,Is there a way to do grouping in GCC binary literals?,1661777862.0,,,,,,
17,"['c++', 'c', 'macros', 'c-preprocessor']","{'account_id': 1003777, 'reputation': 1995, 'user_id': 1038007, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/ea2290c08b1e545167a444c6634a3e19?s=256&d=identicon&r=PG', 'display_name': 'PoP', 'link': 'https://stackoverflow.com/users/1038007/pop'}",True,50943,13842784.0,8,125,1661466672,1355324422,13842468,CC BY-SA 3.0,https://stackoverflow.com/questions/13842468/comma-in-c-c-macro,Comma in C/C++ macro,1481848096.0,,,,,,
18,"['c++', 'c', 'endianness']","{'account_id': 1097930, 'reputation': 10467, 'user_id': 1091116, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/15098b2b940cacd8b4d07026e01e3102?s=256&d=identicon&r=PG', 'display_name': 'd33tah', 'link': 'https://stackoverflow.com/users/1091116/d33tah'}",True,22333,13995796.0,7,38,1660968020,1356111416,13994674,CC BY-SA 3.0,https://stackoverflow.com/questions/13994674/how-to-write-endian-agnostic-c-c-code,How to write endian agnostic C/C++ code?,,,,,,,
19,"['c', 'validation', 'user-input']","{'account_id': 443254, 'reputation': 648, 'user_id': 834359, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://i.stack.imgur.com/4VNxK.jpg?s=256&g=1', 'display_name': '7kemZmani', 'link': 'https://stackoverflow.com/users/834359/7kemzmani'}",True,112865,14099507.0,6,15,1660764975,1356943624,14099473,CC BY-SA 4.0,https://stackoverflow.com/questions/14099473/how-to-scanf-only-integer-and-repeat-reading-if-the-user-enters-non-numeric-char,How to scanf only integer and repeat reading if the user enters non-numeric characters?,1572735794.0,,,,,,
20,"['c', 'hex', 'midi', 'binaryfiles', 'file-format']","{'account_id': 20520, 'reputation': 6164, 'user_id': 49128, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/c7ed65fb7a7bfd0365aa6c329d6048ad?s=256&d=identicon&r=PG', 'display_name': 'benwad', 'link': 'https://stackoverflow.com/users/49128/benwad'}",True,1126,13744827.0,1,5,1659545609,1354796511,13743546,CC BY-SA 4.0,https://stackoverflow.com/questions/13743546/reading-midi-file-c-0x00-appearing-after-the-end-of-a-var-length-value,Reading MIDI file (C): 0x00 appearing after the end of a var-length value,1659545609.0,,,,,,
21,['c'],"{'account_id': 2150844, 'reputation': 21, 'user_id': 1907266, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cbd7548c112a54a01e808361a1887282?s=256&d=identicon&r=PG', 'display_name': 'user1907266', 'link': 'https://stackoverflow.com/users/1907266/user1907266'}",True,1663,,3,2,1659114831,1355630999,13898535,CC BY-SA 3.0,https://stackoverflow.com/questions/13898535/what-is-the-effect-of-dereferencing-a-string-literal-in-c,What is the effect of dereferencing a string literal in C?,1355631254.0,,,,,,
22,"['c', 'struct']","{'account_id': 1635203, 'reputation': 8813, 'user_id': 1508893, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/4df7c23210912b1d78af7c125d02f5fc?s=256&d=identicon&r=PG', 'display_name': 'user1508893', 'link': 'https://stackoverflow.com/users/1508893/user1508893'}",True,293851,13716957.0,16,121,1659006937,1354685578,13716913,CC BY-SA 3.0,https://stackoverflow.com/questions/13716913/default-value-for-struct-member-in-c,default value for struct member in C,,,,,,,
23,"['c', 'serial-port', 'usbserial']","{'account_id': 1149625, 'reputation': 1441, 'user_id': 1131607, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/xLKUc.jpg?s=256&g=1', 'display_name': 'Arun', 'link': 'https://stackoverflow.com/users/1131607/arun'}",True,1625,,3,0,1658845751,1355229728,13820667,CC BY-SA 3.0,https://stackoverflow.com/questions/13820667/serial-port-read-gets-only-less-bytes-at-a-time,Serial Port read() gets only less bytes at a time,,,,,,,
24,"['c', 'gcc']","{'account_id': 1870288, 'reputation': 1477, 'user_id': 1927143, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/be5e929bfcc25f6fdbab21ae753adc9f?s=256&d=identicon&r=PG', 'display_name': 'Chris J. Kiick', 'link': 'https://stackoverflow.com/users/1927143/chris-j-kiick'}",True,2601,,2,5,1658250405,1356373658,14024593,CC BY-SA 3.0,https://stackoverflow.com/questions/14024593/is-this-correct-usage-of-weakref,Is this correct usage of weakref?,,,,,,,
25,['c'],"{'account_id': 256915, 'reputation': 8965, 'user_id': 537943, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/910d6caf7e77a69b61fbf0b4e0d32532?s=256&d=identicon&r=PG', 'display_name': 'Tom', 'link': 'https://stackoverflow.com/users/537943/tom'}",True,155666,14069241.0,4,65,1657763696,1356695961,14069226,CC BY-SA 3.0,https://stackoverflow.com/questions/14069226/c-warning-implicit-declaration-of-function-printf,c - warning: implicit declaration of function ‘printf’,,,,,,,
26,"['c++', 'c', 'comma-operator']","{'account_id': 419176, 'reputation': 355, 'user_id': 796189, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/945b843987235df544693c61768935be?s=256&d=identicon&r=PG', 'display_name': 'fLOyd', 'link': 'https://stackoverflow.com/users/796189/floyd'}",True,314,,4,0,1654963682,1356877641,14091506,CC BY-SA 4.0,https://stackoverflow.com/questions/14091506/is-it-possible-to-put-delete-in-comma-expression,Is it possible to put &quot;delete&quot; in comma expression,1654963682.0,,,,,,
27,"['c++', 'c', 'arrays', 'variable-length-array']","{'account_id': 233694, 'reputation': 12334, 'user_id': 499359, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://i.stack.imgur.com/Xrx9K.gif?s=256&g=1', 'display_name': 'PaperBirdMaster', 'link': 'https://stackoverflow.com/users/499359/paperbirdmaster'}",True,16278,14077029.0,5,12,1654906050,1356725610,14075194,CC BY-SA 4.0,https://stackoverflow.com/questions/14075194/variable-length-arrays-vla-in-c-and-c,Variable length arrays (VLA) in C and C++,1654906050.0,,,,,,
28,"['c++', 'c', 'parsing', 'scanf']","{'account_id': 264777, 'reputation': 609, 'user_id': 551291, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/04203cda62190584cb94163df1715d65?s=256&d=identicon&r=PG', 'display_name': 'anrieff', 'link': 'https://stackoverflow.com/users/551291/anrieff'}",True,5765,13921439.0,3,10,1654883663,1355768580,13919817,CC BY-SA 4.0,https://stackoverflow.com/questions/13919817/how-to-parse-numbers-like-3-14-with-scanf-when-locale-expects-3-14,"How to parse numbers like &quot;3.14&quot; with scanf when locale expects &quot;3,14&quot;",1654883663.0,,,,,,
29,"['c', 'glibc', 'strlen']","{'account_id': 1810946, 'reputation': 113, 'user_id': 1647035, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/a20eadc6c934f37e551b976819fa7445?s=256&d=identicon&r=PG', 'display_name': 'Aakashdeep', 'link': 'https://stackoverflow.com/users/1647035/aakashdeep'}",True,704,14042261.0,2,4,1654725112,1356530890,14041750,,https://stackoverflow.com/questions/14041750/how-the-magic-bits-are-improving-the-strlen-function-in-glibc,How the magic bits are improving the strlen function in glibc,,1654724639.0,Duplicate,,,,
30,"['c', 'arrays', 'string', 'algorithm', 'char']","{'account_id': 2148893, 'reputation': 8184, 'user_id': 1908235, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/98795b2ac9d39a0a001c5c8536d967dc?s=256&d=identicon&r=PG', 'display_name': 'ShuklaSannidhya', 'link': 'https://stackoverflow.com/users/1908235/shuklasannidhya'}",True,20286,13904167.0,9,12,1653858858,1355681708,13904149,CC BY-SA 3.0,https://stackoverflow.com/questions/13904149/why-do-we-need-to-add-a-0-null-at-the-end-of-a-character-array-in-c,Why do we need to add a &#39;\0&#39; (null) at the end of a character array in C?,,,,,,,
31,"['c', 'cs50']","{'account_id': 2173820, 'reputation': 69, 'user_id': 1925037, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/963617390382519/picture?type=large', 'display_name': 'Johanna', 'link': 'https://stackoverflow.com/users/1925037/johanna'}",True,129530,14011701.0,7,3,1653644486,1356271930,14011644,CC BY-SA 3.0,https://stackoverflow.com/questions/14011644/how-to-solve-error-expected-identifier-or,How to solve error: expected identifier or &#39;(&#39;,1470621468.0,,,,,,
32,"['c', 'scanf', 'conversion-specifier']","{'account_id': 2115606, 'reputation': 623, 'user_id': 1880009, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/aa40990170d25369ada52cfda88567e8?s=256&d=identicon&r=PG', 'display_name': 'user1880009', 'link': 'https://stackoverflow.com/users/1880009/user1880009'}",True,391185,13730228.0,7,61,1653575219,1354732994,13730188,CC BY-SA 3.0,https://stackoverflow.com/questions/13730188/reading-in-double-values-with-scanf-in-c,Reading in double values with scanf in c,1507384857.0,,,,,,
33,"['c', 'pointers', 'null', 'c99']","{'account_id': 93342, 'reputation': 6656, 'user_id': 255412, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/d62b5a67f2184b7f89b0f329bf7416ad?s=256&d=identicon&r=PG', 'display_name': 'user963241', 'link': 'https://stackoverflow.com/users/255412/user963241'}",True,1660,13684076.0,2,2,1652618385,1354536573,13682952,CC BY-SA 4.0,https://stackoverflow.com/questions/13682952/comparing-two-null-pointers,Comparing two null pointers,1652618385.0,,,,,,
34,"['c++', 'c']","{'account_id': 2065243, 'reputation': 2366, 'user_id': 1840861, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/cYn1P.jpg?s=256&g=1', 'display_name': 'Praveen Vinny', 'link': 'https://stackoverflow.com/users/1840861/praveen-vinny'}",True,21849,13689134.0,6,4,1651256495,1354555615,13688534,CC BY-SA 3.0,https://stackoverflow.com/questions/13688534/to-print-something-without-using-cout-printf-or-puts,"To print something without using cout, printf or puts()",1422883934.0,,,,,,
35,"['c', 'assembly', 'scope', 'switch-statement']","{'account_id': 1626497, 'reputation': 2404, 'user_id': 1501948, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/oa7Tn.jpg?s=256&g=1', 'display_name': 'yuan', 'link': 'https://stackoverflow.com/users/1501948/yuan'}",True,278,14022475.0,3,1,1649695634,1356357460,14022295,CC BY-SA 4.0,https://stackoverflow.com/questions/14022295/switch-statement-with-and-without-brace,switch statement with and without brace,1649695634.0,,,,,,
36,"['c', 'bgi']","{'account_id': 1892052, 'reputation': 609, 'user_id': 1709873, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/96c6ce07fcfa3b6edb6e75ae8da323ed?s=256&d=identicon&r=PG', 'display_name': 'Nicholas Wild', 'link': 'https://stackoverflow.com/users/1709873/nicholas-wild'}",True,3856,15178294.0,4,0,1649349254,1356510247,14037886,CC BY-SA 4.0,https://stackoverflow.com/questions/14037886/fullscreen-c-program-app-not-working-in-windows-7-8,fullscreen c program app not working in windows 7/8,1649349254.0,,,,,,
37,"['c', 'events', 'keyboard', 'sdl', 'keyup']","{'account_id': 443197, 'reputation': 357, 'user_id': 834268, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d1b828b6dc67b1a9544875b02a045df8?s=256&d=identicon&r=PG', 'display_name': 'Bottle Rocket', 'link': 'https://stackoverflow.com/users/834268/bottle-rocket'}",True,7239,,3,0,1647927399,1356961595,14102348,CC BY-SA 3.0,https://stackoverflow.com/questions/14102348/c-sdl-keyboard-events-sdl-keyup-triggering-when-key-is-down,C SDL Keyboard Events SDL_KEYUP Triggering When Key Is Down,,,,,,,
38,"['c', 'macos', 'pthreads', 'cpu-usage']","{'account_id': 146218, 'reputation': 984, 'user_id': 356537, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/ae5db787623d17a332d1b4e3fe8e2cfc?s=256&d=identicon&r=PG', 'display_name': 'Mat', 'link': 'https://stackoverflow.com/users/356537/mat'}",True,2424,13896268.0,2,4,1647479588,1355582358,13893134,CC BY-SA 3.0,https://stackoverflow.com/questions/13893134/get-current-pthread-cpu-usage-mac-os-x,Get current pthread cpu usage Mac OS X,1495540834.0,,,,,,
39,"['c', 'sockets', 'network-programming', 'udp', 'checksum']","{'account_id': 525345, 'reputation': 2279, 'user_id': 927604, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/5fe67af0c65b91abe8f2722bc49ef89e?s=256&d=identicon&r=PG', 'display_name': 'Bill VB', 'link': 'https://stackoverflow.com/users/927604/bill-vb'}",True,10904,14043782.0,3,6,1646720439,1356541375,14043680,CC BY-SA 3.0,https://stackoverflow.com/questions/14043680/how-to-enable-udp-checksums,How to enable UDP checksums,,,,,,,
40,"['c', 'arrays', 'char', 'multidimensional-array']","{'account_id': 2039103, 'reputation': 4383, 'user_id': 1820739, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/rrJim.png?s=256&g=1', 'display_name': 'Nakib', 'link': 'https://stackoverflow.com/users/1820739/nakib'}",True,32730,13903406.0,3,5,1646521152,1355676737,13903388,CC BY-SA 3.0,https://stackoverflow.com/questions/13903388/how-to-assign-values-of-array-to-another-arraymaking-copy-in-c,How to assign values of array to another array(making copy) in c?,1355677023.0,,,,,,
41,['c'],"{'account_id': 1277362, 'reputation': 933, 'user_id': 1232311, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/3807373da8ee7d61f4cc3487a8760043?s=256&d=identicon&r=PG', 'display_name': 'Gomathi', 'link': 'https://stackoverflow.com/users/1232311/gomathi'}",True,1125,13860311.0,3,1,1645747453,1355398795,13859040,CC BY-SA 3.0,https://stackoverflow.com/questions/13859040/identifying-the-start-and-end-of-functions-in-a-c-program,Identifying the start and end of functions in a C program,,,,,,,
42,"['c', 'localization', 'internationalization', 'locale', 'units-of-measurement']","{'account_id': 2110660, 'reputation': 1020, 'user_id': 1928678, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/2c0cddf071d044723836a649d6e2359a?s=256&d=identicon&r=PG', 'display_name': 'user16538', 'link': 'https://stackoverflow.com/users/1928678/user16538'}",True,1724,14044413.0,2,5,1645224264,1356514005,14038491,CC BY-SA 3.0,https://stackoverflow.com/questions/14038491/how-do-i-know-the-measurement-units-corresponding-to-a-given-locale,How do I know the measurement units corresponding to a given locale?,1356540261.0,,,,,,
43,['c'],"{'user_type': 'does_not_exist', 'display_name': 'user1638624'}",True,3707,13924233.0,3,2,1644823075,1355788181,13924215,CC BY-SA 4.0,https://stackoverflow.com/questions/13924215/lcm-and-gcd-in-c-using-recursion-or-normal-method,LCM And GCD in C using recursion or normal method,1644823075.0,,,,,,
44,"['c++', 'c', 'eclipse']","{'account_id': 2107693, 'reputation': 201, 'user_id': 1873644, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5e6fe66ffd2d011cc6cba8c76dec375c?s=256&d=identicon&r=PG', 'display_name': 'user1873644', 'link': 'https://stackoverflow.com/users/1873644/user1873644'}",True,84863,,9,20,1644622877,1354564531,13690644,CC BY-SA 3.0,https://stackoverflow.com/questions/13690644/the-program-file-specified-in-the-launch-configuration-does-not-exist,The program file specified in the launch configuration does not exist,1354565714.0,,,,,,
45,"['c', 'logging', 'gtk']","{'account_id': 517760, 'reputation': 5037, 'user_id': 999400, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/3a5048f2407660f906b3bce05762885a?s=256&d=identicon&r=PG', 'display_name': 'MiJyn', 'link': 'https://stackoverflow.com/users/999400/mijyn'}",True,7499,13793064.0,1,10,1644404114,1355079017,13790559,CC BY-SA 3.0,https://stackoverflow.com/questions/13790559/showing-gtk-debug-log-messages,Showing GTK debug log messages,1355094912.0,,,,,,
46,"['c', 'compiler-errors', 'gsoap']","{'account_id': 466971, 'reputation': 1925, 'user_id': 872058, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/59e8d2a209d51036f5c246dd4bf08f9c?s=256&d=identicon&r=PG', 'display_name': 'Fei Xue', 'link': 'https://stackoverflow.com/users/872058/fei-xue'}",True,4023,,4,0,1643711740,1356929805,14097603,CC BY-SA 3.0,https://stackoverflow.com/questions/14097603/gsoap-client-compile-link-error,gsoap client compile/link error,,,,,,,
47,"['c', 'cpu-architecture', 'memory-address']","{'account_id': 113187, 'reputation': 178676, 'user_id': 298225, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/ef102f4ee36e58d09e0b27cd5393a1d8?s=256&d=identicon&r=PG', 'display_name': 'Eric Postpischil', 'link': 'https://stackoverflow.com/users/298225/eric-postpischil'}",True,2236,14091976.0,4,20,1641394317,1356880551,14091855,CC BY-SA 4.0,https://stackoverflow.com/questions/14091855/what-memory-address-spaces-are-there,What memory address spaces are there?,1641394317.0,,,,,,
48,"['c', 'recursion', 'knights-tour']","{'account_id': 1315611, 'reputation': 1809, 'user_id': 1262568, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/b7850546eac0298026dc778445fddcdc?s=256&d=identicon&r=PG', 'display_name': 'whd', 'link': 'https://stackoverflow.com/users/1262568/whd'}",True,554,18887357.0,1,1,1641139696,1354560648,13689725,CC BY-SA 4.0,https://stackoverflow.com/questions/13689725/knights-tour-recursive,Knights tour recursive,1641139696.0,,,,,,
