,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,accepted_answer_id,migrated_from
10,"['c', 'linux', 'memory-management', 'linux-kernel', 'linux-device-driver']","{'account_id': 3371151, 'reputation': 3857, 'user_id': 2830324, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'md.jamal', 'link': 'https://stackoverflow.com/users/2830324/md-jamal'}",True,381,1,3,1658396599,1567431165,1567433044.0,57757876,CC BY-SA 4.0,https://stackoverflow.com/questions/57757876/is-kmalloc-allocation-not-virtually-contiguous,Is kmalloc allocation not virtually contiguous?,,,57758230.0,
11,"['c', 'audio-streaming', 'ogg', 'opus', 'internet-radio']","{'account_id': 6879321, 'reputation': 854, 'user_id': 5286593, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-TEsNm6kITnY/AAAAAAAAAAI/AAAAAAAAAPA/fyrLkdEoX40/photo.jpg?sz=256', 'display_name': 'AldaronLau', 'link': 'https://stackoverflow.com/users/5286593/aldaronlau'}",False,396,0,0,1656803002,1567906063,1656803002.0,57838545,CC BY-SA 4.0,https://stackoverflow.com/questions/57838545/ogg-opus-http-stream,Ogg Opus HTTP stream,,,,
12,"['c', 'gnu-efi']","{'account_id': 15168819, 'reputation': 498, 'user_id': 10945545, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/YfRFK.png?s=256&g=1', 'display_name': 'randomuser5215', 'link': 'https://stackoverflow.com/users/10945545/randomuser5215'}",False,723,2,-1,1655989345,1569164704,1569229973.0,58050463,CC BY-SA 4.0,https://stackoverflow.com/questions/58050463/setting-th-color-of-text-printed-with-print-gnu-efi,Setting th color of text printed with Print (gnu-efi),,,,
13,"['c', 'time']","{'account_id': 10987621, 'reputation': 139, 'user_id': 10983279, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/747c825930aa778eb628e2f94bd8b737?s=256&d=identicon&r=PG', 'display_name': 'user762750', 'link': 'https://stackoverflow.com/users/10983279/user762750'}",True,89,2,-1,1655788480,1568523439,1655788480.0,57941273,CC BY-SA 4.0,https://stackoverflow.com/questions/57941273/why-does-clock-produce-inconsistent-intervals-between-sleep,Why does clock() produce inconsistent intervals between sleep()?,,,57941319.0,
14,"['c', 'return-value', 'comma-operator']","{'account_id': 8720931, 'reputation': 583, 'user_id': 6524125, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/087b26c210214919e1a8df262b327d93?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ashish Kumar', 'link': 'https://stackoverflow.com/users/6524125/ashish-kumar'}",True,2858,7,35,1654608836,1568493152,1654608836.0,57939065,,https://stackoverflow.com/questions/57939065/why-is-the-return-value-of-the-fun-function-8-instead-of-7,Why is the return value of the fun function 8 instead of 7?,1568633909.0,Duplicate,57939100.0,
15,"['c', 'pointers', 'dynamic', 'tree', 'malloc']","{'account_id': 16652235, 'reputation': 9, 'user_id': 12034762, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-03iTFmZbLV0/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rddvUjWBeIyMzz_KEiQpPBgPyeWKw/photo.jpg?sz=256', 'display_name': 'F.D_98', 'link': 'https://stackoverflow.com/users/12034762/f-d-98'}",False,56,0,0,1654127147,1568285706,1654127147.0,57905191,CC BY-SA 4.0,https://stackoverflow.com/questions/57905191/how-can-i-save-changes-on-a-dynamic-tree-on-c,How can I save changes on a dynamic tree on c?,,,,
16,['c'],"{'account_id': 16755539, 'reputation': 171, 'user_id': 12111561, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-qjY5UbnAoVQ/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rflQ-JrEdf7icVQU8JswsxziAi4hQ/photo.jpg?sz=256', 'display_name': 'Pratham Shah', 'link': 'https://stackoverflow.com/users/12111561/pratham-shah'}",True,133,5,1,1653593966,1569310806,1569311041.0,58075338,CC BY-SA 4.0,https://stackoverflow.com/questions/58075338/no-output-shown-on-problem-8-of-project-euler,No output shown on problem 8 of project euler,,,58081796.0,
17,"['c', 'colors', 'printf']","{'account_id': 16612248, 'reputation': 31, 'user_id': 12004880, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mAOqhZOq21i1l_mM4LzJpCELzahTuIbPoWX-L9Vhg=k-s256', 'display_name': 'Richard Jensen', 'link': 'https://stackoverflow.com/users/12004880/richard-jensen'}",True,271,3,3,1651779955,1569837715,1569839900.0,58165576,CC BY-SA 4.0,https://stackoverflow.com/questions/58165576/why-is-ansi-printing-the-code-the-first-time-the-function-is-called-and-printing,Why is ANSI printing the code the first time the function is called and printing colours the second time around?,,,,
18,"['c', 'struct', 'printf', 'typedef']","{'account_id': 3899710, 'reputation': 409, 'user_id': 3227830, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'bgarrood', 'link': 'https://stackoverflow.com/users/3227830/bgarrood'}",True,3904,4,1,1651609259,1568893152,1568893362.0,58010178,CC BY-SA 4.0,https://stackoverflow.com/questions/58010178/how-to-create-24-bit-unsigned-integer-in-c,How to create 24 bit unsigned integer in C,,,58010297.0,
19,"['c', 'lint', 'misra']","{'account_id': 267616, 'reputation': 1709, 'user_id': 555911, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/531a798e41fe010eac238329693a916d?s=256&d=identicon&r=PG', 'display_name': 'kapilddit', 'link': 'https://stackoverflow.com/users/555911/kapilddit'}",True,758,1,0,1650435678,1569324073,1569326238.0,58079170,CC BY-SA 4.0,https://stackoverflow.com/questions/58079170/function-like-macro-report-error-defined-misra-2012-directive-4-9-advisory,"Function-like macro, &#39;REPORT_ERROR&#39;, defined [MISRA 2012 Directive 4.9, advisory]",,,58079746.0,
20,"['c', 'printf']","{'account_id': 12972805, 'reputation': 433, 'user_id': 9377932, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/3jKf9.jpg?s=256&g=1', 'display_name': 'Roger Almengor', 'link': 'https://stackoverflow.com/users/9377932/roger-almengor'}",True,2110,1,0,1649489446,1568534818,,57942250,,https://stackoverflow.com/questions/57942250/what-does-the-flag-in-a-printf-statement-in-c,What does the %# flag in a printf statement in C?,1569394767.0,Duplicate,57942334.0,
21,"['c', 'visual-studio-code', 'gdb', 'vscode-debugger']","{'account_id': 85314, 'reputation': 19861, 'user_id': 237934, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/Hshoa.png?s=256&g=1', 'display_name': 'kame', 'link': 'https://stackoverflow.com/users/237934/kame'}",False,435,2,1,1648819996,1568101544,,57866218,CC BY-SA 4.0,https://stackoverflow.com/questions/57866218/breakpoints-are-ignored-in-vs-code-debugging-c-with-gdb,Breakpoints are ignored in VS-Code debugging C with gdb,,,,
22,"['c', 'if-statement', 'printf']","{'account_id': 8734589, 'reputation': 71, 'user_id': 6533623, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-Wzu8c9VWEYU/AAAAAAAAAAI/AAAAAAAAADk/zvVn3onWmWs/photo.jpg?sz=256', 'display_name': 'Jatin', 'link': 'https://stackoverflow.com/users/6533623/jatin'}",True,5624,4,2,1648494400,1569338166,1569339114.0,58083433,CC BY-SA 4.0,https://stackoverflow.com/questions/58083433/why-printf-inside-if-condition-works-in-c,Why printf inside if condition works in c?,,,58083459.0,
23,"['c++', 'c', 'bash', 'shell']","{'account_id': 11420681, 'reputation': 121, 'user_id': 8401779, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6a0c40941769a77c088616009942fe46?s=256&d=identicon&r=PG', 'display_name': 'Andrew Sonin', 'link': 'https://stackoverflow.com/users/8401779/andrew-sonin'}",True,1091,3,2,1646861442,1568601194,1568602039.0,57949740,CC BY-SA 4.0,https://stackoverflow.com/questions/57949740/is-there-a-way-to-embed-a-sh-bash-session-in-c-or-c,Is there a way to embed a Sh/Bash session in C or C++?,,,57950184.0,
24,"['c', 'windows', 'sockets', 'bad-request']","{'account_id': 16675761, 'reputation': 1, 'user_id': 12052229, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4dff422eef17615238788a4c60f6270e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sandra', 'link': 'https://stackoverflow.com/users/12052229/sandra'}",False,183,1,0,1645582718,1568197357,1645570396.0,57887047,CC BY-SA 4.0,https://stackoverflow.com/questions/57887047/i-receive-a-bad-request-from-server-when-i-would-to-download-file-via-winsock,I receive a bad request from server when i would to download file via Winsock,,,,
25,"['c', 'types', 'comparison', 'implicit-conversion']","{'account_id': 16195242, 'reputation': 33, 'user_id': 11693037, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-eskt1gUfVwc/AAAAAAAAAAI/AAAAAAAAACM/Qz6qNjKe-so/photo.jpg?sz=256', 'display_name': 'jai deep', 'link': 'https://stackoverflow.com/users/11693037/jai-deep'}",True,2394,3,-1,1644658352,1567707754,1644658352.0,57811091,CC BY-SA 4.0,https://stackoverflow.com/questions/57811091/why-does-c-compare-3-as-equal-to-3-0,Why does C compare 3 as equal to 3.0?,,,57811711.0,
26,"['c', 'cmake', 'cmocka']","{'account_id': 14374963, 'reputation': 29, 'user_id': 10383628, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e0cfd9b13b66581e82881bd92e0b965b?s=256&d=identicon&r=PG&f=1', 'display_name': 'AshishP', 'link': 'https://stackoverflow.com/users/10383628/ashishp'}",True,1177,2,0,1644272811,1568118452,1568122382.0,57870802,CC BY-SA 4.0,https://stackoverflow.com/questions/57870802/how-does-target-link-libraries-wrap-work,How does target_link_libraries(--wrap) work?,,,57870889.0,
27,['c'],"{'user_type': 'does_not_exist', 'display_name': 'user12050586'}",True,86,2,1,1643981071,1568255532,,57898981,CC BY-SA 4.0,https://stackoverflow.com/questions/57898981/printing-the-last-char-in-a-file,Printing the last char in a file,,,57899250.0,
28,"['c', 'pointers']","{'account_id': 10391987, 'reputation': 51, 'user_id': 7662957, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/780c52a0805782e1b1da2fe55bf24b14?s=256&d=identicon&r=PG&f=1', 'display_name': 'fsyscall', 'link': 'https://stackoverflow.com/users/7662957/fsyscall'}",True,89,4,0,1641984328,1568926398,1641984328.0,58018814,CC BY-SA 4.0,https://stackoverflow.com/questions/58018814/why-char-value-increasing-3,Why char value increasing 3?,,,58018882.0,
29,"['c', 'macos', 'memory-leaks']","{'account_id': 16727789, 'reputation': 11, 'user_id': 12090983, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1ac716b5db4eb8003a83ca468d0819bd?s=256&d=identicon&r=PG&f=1', 'display_name': 'andrefcptcc34', 'link': 'https://stackoverflow.com/users/12090983/andrefcptcc34'}",True,7368,3,0,1641524675,1568904186,,58013601,CC BY-SA 4.0,https://stackoverflow.com/questions/58013601/memory-leaks-in-c-macos,Memory Leaks in C (MacOS),,,58014878.0,
30,"['c', 'input', 'output']","{'account_id': 16577398, 'reputation': 170, 'user_id': 11978862, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mB_N4TUYZseRAmrSS9qpPkoVtkOTedY-RUCtrnu=k-s256', 'display_name': 'Da3kL10rd', 'link': 'https://stackoverflow.com/users/11978862/da3kl10rd'}",True,108,1,-8,1640882037,1568467692,1640882037.0,57935968,CC BY-SA 4.0,https://stackoverflow.com/questions/57935968/im-confused-with-a-output-so-im-expecting-explaination-for-my-output,I&#39;m confused with a output . So I&#39;m expecting explaination For my output,,,57936081.0,
31,"['c', 'operating-system', 'xv6']","{'account_id': 12955140, 'reputation': 57, 'user_id': 9366250, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7196e7a3d133e1f592810fd7c5494eb4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Syed', 'link': 'https://stackoverflow.com/users/9366250/syed'}",True,2219,2,2,1638024798,1568507668,1568507815.0,57940268,CC BY-SA 4.0,https://stackoverflow.com/questions/57940268/xv6-makefile-says-undefined-reference-to-printf-chk,xv6 makefile says undefined reference to __printf_chk,,,57940299.0,
32,"['c', 'swift', 'xcode', 'package', 'bridging-header']","{'account_id': 4616103, 'reputation': 646, 'user_id': 3742575, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://i.stack.imgur.com/H8uMa.png?s=256&g=1', 'display_name': 'Heinz M.', 'link': 'https://stackoverflow.com/users/3742575/heinz-m'}",True,801,1,3,1637416348,1569618071,1569723151.0,58141295,CC BY-SA 4.0,https://stackoverflow.com/questions/58141295/cant-include-c-files-in-swift-package-with-xcode-11-package-manager,Can&#39;t include C-files in Swift-package with Xcode 11 package manager,,,,
33,"['c', 'arduino', 'embedded', 'interrupt']","{'account_id': 5068217, 'reputation': 340, 'user_id': 4067754, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://lh3.googleusercontent.com/-3kVjMnOdixU/AAAAAAAAAAI/AAAAAAAAH-8/6Kw1o-G4ZNU/photo.jpg?sz=256', 'display_name': 'Jakob Kenda', 'link': 'https://stackoverflow.com/users/4067754/jakob-kenda'}",True,982,3,0,1635439587,1568797368,1568970132.0,57988939,CC BY-SA 4.0,https://stackoverflow.com/questions/57988939/how-to-read-rotary-encoder-input,How to read rotary encoder input,,,,
34,"['c', 'embedded', 'microcontroller', 'gpio']","{'account_id': 368188, 'reputation': 7360, 'user_id': 714831, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/e27204ed6e8383e2c084ab6eddfd673b?s=256&d=identicon&r=PG', 'display_name': 'Raulp', 'link': 'https://stackoverflow.com/users/714831/raulp'}",True,178,2,0,1634668190,1568362227,1568379109.0,57919680,CC BY-SA 4.0,https://stackoverflow.com/questions/57919680/checking-the-status-of-the-gpio-even-before-main-starts-in-embedded-programming,Checking the status of the GPIO even before main starts in embedded programming,,,,
35,"['c', 'linux', 'can-bus']","{'account_id': 10574553, 'reputation': 309, 'user_id': 7790234, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4adbe025213d5f211a6f7fd08da0c96d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Markus Ippy', 'link': 'https://stackoverflow.com/users/7790234/markus-ippy'}",True,2392,1,2,1634415693,1568787616,1634415693.0,57986218,CC BY-SA 4.0,https://stackoverflow.com/questions/57986218/reading-can-bus-in-c-displays-incorrect-can-id-for-29-bit-can-id,Reading CAN bus in C displays incorrect CAN ID for 29-bit CAN ID,,,57987376.0,
36,"['c', 'linux']","{'account_id': 179991, 'reputation': 1391, 'user_id': 413023, 'user_type': 'registered', 'accept_rate': 24, 'profile_image': 'https://www.gravatar.com/avatar/ce49894b776b33c1e15f691a098e7be1?s=256&d=identicon&r=PG', 'display_name': 'Milan', 'link': 'https://stackoverflow.com/users/413023/milan'}",True,190,4,0,1633277034,1568413835,1568415757.0,57930992,,https://stackoverflow.com/questions/57930992/how-many-members-calloc-allocates-in-c,How many members calloc allocates in C,1568450982.0,Duplicate,,
37,"['c', 'arrays', 'segmentation-fault']","{'account_id': 10344492, 'reputation': 51, 'user_id': 7629872, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7f2d0a5fa8599382499d51e700b39303?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dainius', 'link': 'https://stackoverflow.com/users/7629872/dainius'}",True,1150,2,0,1632569939,1568718030,1568720417.0,57972862,CC BY-SA 4.0,https://stackoverflow.com/questions/57972862/k-largest-elements-exercise-from-geeksforgeeks,k largest elements exercise from geeksforgeeks,,,57974371.0,
38,"['c', 'random']","{'account_id': 3978604, 'reputation': 361, 'user_id': 3281147, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gavin D. Howard', 'link': 'https://stackoverflow.com/users/3281147/gavin-d-howard'}",True,1393,4,4,1628035307,1569258763,1569341884.0,58067210,CC BY-SA 4.0,https://stackoverflow.com/questions/58067210/is-it-acceptable-to-use-rand-for-cryptographically-insecure-random-numbers,Is it acceptable to use rand() for cryptographically insecure random numbers?,,,58067258.0,
39,"['javascript', 'c', 'logical-or', 'logical-and']","{'account_id': 12826385, 'reputation': 309, 'user_id': 9279246, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9b2597348cd21210acbb93fbfae3d0f7?s=256&d=identicon&r=PG', 'display_name': 'Bapi', 'link': 'https://stackoverflow.com/users/9279246/bapi'}",True,523,2,-14,1627435585,1567409430,1625973564.0,57752949,CC BY-SA 4.0,https://stackoverflow.com/questions/57752949/why-does-the-or-and-and-operator-in-javascript-behave-differently-than,Why does the || (or) and &amp;&amp; (and) operator in JavaScript behave differently than in C (returning non boolean value)?,,,,
40,"['c', 'visual-studio', 'go']","{'account_id': 7239745, 'reputation': 11, 'user_id': 5914402, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b1430d8910afa7fe0a2d9de6af5dfef2?s=256&d=identicon&r=PG&f=1', 'display_name': 'kpage', 'link': 'https://stackoverflow.com/users/5914402/kpage'}",False,590,1,0,1626769287,1568555817,,57944793,CC BY-SA 4.0,https://stackoverflow.com/questions/57944793/access-golang-code-from-a-c-project-in-visual-studio-2019,Access Golang code from a C project in Visual Studio 2019,,,,
41,"['c', 'macos', 'clang', 'llvm', 'llvm-clang']","{'user_type': 'does_not_exist', 'display_name': 'user11679606'}",True,4203,2,2,1625055240,1567347895,1567349140.0,57746792,CC BY-SA 4.0,https://stackoverflow.com/questions/57746792/homebrews-llvm-fatal-error-stdio-h-file-not-found-on-macos,Homebrew&#39;s LLVM &quot;fatal error: &#39;stdio.h&#39; file not found&quot; on macOS,,,,
42,"['c', 'malloc', 'mingw']","{'account_id': 3262436, 'reputation': 1295, 'user_id': 2747734, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/be010893a4d7744798a068b6ddb0951d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sarah cartenz', 'link': 'https://stackoverflow.com/users/2747734/sarah-cartenz'}",True,467,2,4,1624869496,1569827584,1569832132.0,58163105,CC BY-SA 4.0,https://stackoverflow.com/questions/58163105/do-i-really-need-malloc,Do I really need malloc?,,,58163652.0,
43,"['c', 'usb', 'libusb']","{'account_id': 16204136, 'reputation': 11, 'user_id': 11699803, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/436f7f5afed4db132d92d69a2ed0ade0?s=256&d=identicon&r=PG&f=1', 'display_name': 'ornxka', 'link': 'https://stackoverflow.com/users/11699803/ornxka'}",True,152,1,1,1624161278,1569022129,,58036108,CC BY-SA 4.0,https://stackoverflow.com/questions/58036108/how-do-i-prevent-losing-data-in-usb-transfers,How do I prevent losing data in USB transfers?,,,58036620.0,
44,"['c', 'operating-system', 'stack', 'malloc', 'heap-memory']","{'account_id': 4500647, 'reputation': 875, 'user_id': 3659239, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b3b6ed436c73d42ba39748209936b7e7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sandy', 'link': 'https://stackoverflow.com/users/3659239/sandy'}",True,126,1,4,1623662860,1567749023,1623662860.0,57816388,CC BY-SA 4.0,https://stackoverflow.com/questions/57816388/why-does-same-code-gives-different-addresses-each-time-it-runs,Why does same code gives different addresses each time it runs?,,,57821665.0,
45,"['c', 'recursion', 'memory-management', 'stack', 'heap-memory']","{'user_type': 'does_not_exist', 'display_name': 'user7157075'}",True,285,1,3,1623662798,1569746279,1623662798.0,58153619,CC BY-SA 4.0,https://stackoverflow.com/questions/58153619/why-is-the-assigned-stack-frame-size-is-different-for-malloc-and-normal-array,Why is the assigned stack frame size is different for malloc() and normal array declaration?,,,58820521.0,
46,['c'],"{'account_id': 16724503, 'reputation': 41, 'user_id': 12088416, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mDRo5s8iad4l-wYK0MoWBoyaU-1qHL9INvZWFFhpUk=k-s256', 'display_name': 'Caiden Keller', 'link': 'https://stackoverflow.com/users/12088416/caiden-keller'}",True,18530,3,4,1623250825,1568870730,,58004209,CC BY-SA 4.0,https://stackoverflow.com/questions/58004209/how-to-fix-return-value-ignored-scanf-code-c6031-in-visual-studio,How to fix &quot;return value ignored: &#39;scanf&#39;&quot; code C6031 in visual studio,,,,
47,"['c', 'shell', 'command-line', 'eval', 'dash-shell']","{'account_id': 10472908, 'reputation': 600, 'user_id': 7720281, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/da28bb6ee9230e16336432c1617bef12?s=256&d=identicon&r=PG&f=1', 'display_name': 'borizzzzz', 'link': 'https://stackoverflow.com/users/7720281/borizzzzz'}",True,257,2,0,1623240196,1567926780,1623240196.0,57839875,CC BY-SA 4.0,https://stackoverflow.com/questions/57839875/dash-and-c-eval-cmdfile-and-systemeval-cmdfile-giving-differ,Dash and C: eval &quot;$(&lt;cmdfile)&quot; and system(&quot;eval \&quot;\$(&lt;cmdfile)\&quot;&quot;) giving different results,,,57840209.0,
48,"['c', 'linux', 'kernel', 'spi']","{'account_id': 2535231, 'reputation': 79, 'user_id': 2202554, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e45261f7abdf6ee0f48d38c45ccb1a6f?s=256&d=identicon&r=PG', 'display_name': 'Maros Macko', 'link': 'https://stackoverflow.com/users/2202554/maros-macko'}",True,2645,2,3,1622634863,1567673865,,57801887,CC BY-SA 4.0,https://stackoverflow.com/questions/57801887/using-spi-bitbang-driver,Using spi-bitbang driver,,,58113397.0,
