,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from
11,"['c', 'shell', 'process', 'operating-system', 'fork']","{'account_id': 20325727, 'reputation': 1, 'user_id': 15924687, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/54e6ef04744a5aaf8923166027defa99?s=256&d=identicon&r=PG&f=1', 'display_name': 'Julen', 'link': 'https://stackoverflow.com/users/15924687/julen'}",False,196,0,0,1661333743,1620986298,67532422,CC BY-SA 4.0,https://stackoverflow.com/questions/67532422/how-can-i-know-when-has-execvp-finished,How can I know when has execvp finished?,1661333743.0,,,,,
12,"['c', 'linux', 'voip', 'tls1.2', 'pjsip']","{'account_id': 21206470, 'reputation': 11, 'user_id': 15595981, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gj-KChuz-mLTkVdp3f6P3dVEMkRHi5ggK6Nz1WHrg=k-s256', 'display_name': 'T&#249;ng Nguyễn Thanh', 'link': 'https://stackoverflow.com/users/15595981/t%c3%b9ng-nguy%e1%bb%85n-thanh'}",False,452,1,1,1660573512,1619943341,67354248,CC BY-SA 4.0,https://stackoverflow.com/questions/67354248/add-tls-configuration-for-sip-account-in-pjsip,Add TLS configuration for SIP account in PJSIP,,,,,,
13,"['c', 'data-structures', 'stack', 'postfix-notation']","{'account_id': 21570488, 'reputation': 3, 'user_id': 15903426, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4bcb3990f73ba0a48c36d925f376589c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Animesh Sethi', 'link': 'https://stackoverflow.com/users/15903426/animesh-sethi'}",False,5211,1,0,1659694262,1620798615,67497961,CC BY-SA 4.0,https://stackoverflow.com/questions/67497961/postfix-to-infix-conversion-in-c,Postfix to Infix conversion in C,1621038597.0,,,,,
14,"['c', 'visual-studio-code', 'compiler-errors', 'runtime-error']","{'account_id': 18613600, 'reputation': 1, 'user_id': 13565378, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-RKcQsPX3L1w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl4TX0xdex53g8kmSFnzMpWlog7SQ/photo.jpg?sz=256', 'display_name': 'Sujal Singhania', 'link': 'https://stackoverflow.com/users/13565378/sujal-singhania'}",False,11748,4,-1,1659514417,1620473144,67446994,CC BY-SA 4.0,https://stackoverflow.com/questions/67446994/my-c-code-is-not-running-in-microsoft-vs-code,My C code is not running in Microsoft VS CODE,1620903248.0,,,,,
15,"['c', 'tokenize', 'c-strings', 'strsep']","{'account_id': 19166811, 'reputation': 57, 'user_id': 14001350, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/589ccda113f0f515d0ab43a6e499a83f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Stephen Wong', 'link': 'https://stackoverflow.com/users/14001350/stephen-wong'}",True,582,3,1,1658946487,1620757204,67492332,CC BY-SA 4.0,https://stackoverflow.com/questions/67492332/strsep-with-multiple-delimiters-strange-result,Strsep with Multiple Delimiters: Strange result,1620758864.0,67492464.0,,,,
16,"['c', 'linux', 'list', 'unix']","{'user_type': 'does_not_exist', 'display_name': 'user15874403'}",True,602,1,2,1658096766,1620571326,67458982,CC BY-SA 4.0,https://stackoverflow.com/questions/67458982/list-h-in-linux-files,List.h in linux files?,,,,,,
17,"['c', 'import', 'webassembly', 'emscripten', 'wasi']","{'account_id': 16928193, 'reputation': 883, 'user_id': 12243262, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a53af68e571b1fb8e4c3be6d02cf8672?s=256&d=identicon&r=PG&f=1', 'display_name': 'rambi', 'link': 'https://stackoverflow.com/users/12243262/rambi'}",True,3562,1,6,1657620877,1622325548,67756028,CC BY-SA 4.0,https://stackoverflow.com/questions/67756028/why-are-there-wasi-snapshot-preview-1-imports-in-this-wasm-module,Why are there &quot;wasi_snapshot_preview_1&quot; imports in this wasm module?,1657620877.0,67809004.0,,,,
18,"['c', 'linux', 'linux-kernel', 'filesystems', 'ioctl']","{'account_id': 18915806, 'reputation': 59, 'user_id': 13800905, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/523ac614af0b6f73ec23822df956a927?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jeffrey', 'link': 'https://stackoverflow.com/users/13800905/jeffrey'}",False,176,0,0,1655988128,1621661259,67646398,CC BY-SA 4.0,https://stackoverflow.com/questions/67646398/got-notty-for-the-linux-kernel-ramfs-with-unlocked-ioctl,Got NOTTY for the Linux kernel ramfs with unlocked_ioctl,,,,,,
19,"['c', 'memory', 'stm32', 'flash-memory']","{'account_id': 10255877, 'reputation': 11, 'user_id': 7568730, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-szzu8aKBR0k/AAAAAAAAAAI/AAAAAAAAAGw/2LOKWem6ksI/photo.jpg?sz=256', 'display_name': 'Yann Kergutuil', 'link': 'https://stackoverflow.com/users/7568730/yann-kergutuil'}",True,648,1,0,1653400677,1620317561,67422054,CC BY-SA 4.0,https://stackoverflow.com/questions/67422054/stm32h7-weird-behavior-of-hal-flash-program-function,"STM32H7, weird behavior of HAL_FLASH_Program function",1653400677.0,67500606.0,,,,
20,"['c', 'file', 'append', 'fopen', 'stdio']","{'account_id': 20239855, 'reputation': 9, 'user_id': 14844002, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d38a74403c2310d04a5e0b0414a5fa41?s=256&d=identicon&r=PG&f=1', 'display_name': 'Oğulcan', 'link': 'https://stackoverflow.com/users/14844002/o%c4%9fulcan'}",True,166,1,0,1653400547,1622062475,67712591,,https://stackoverflow.com/questions/67712591/how-can-i-write-text-on-a-file-in-c,How can i write text on a file in c?,1653400547.0,67712630.0,,1653400565.0,Duplicate,
21,"['c', 'mkfifo']","{'account_id': 12491593, 'reputation': 111, 'user_id': 9092943, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/037886fb686ca75045ec5e14c24fb95c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Lois2B', 'link': 'https://stackoverflow.com/users/9092943/lois2b'}",False,94,0,0,1652938632,1621857173,67671647,CC BY-SA 4.0,https://stackoverflow.com/questions/67671647/how-to-make-server-process-wait-for-second-read-from-fifo,How to make server process wait for second read() from FIFO?,1652938632.0,,,,,
22,['c'],"{'account_id': 21704349, 'reputation': 17, 'user_id': 16017063, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e47a5296db59464aec290aedc8554144?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nick Gz', 'link': 'https://stackoverflow.com/users/16017063/nick-gz'}",True,89,2,0,1652206626,1622288528,67750935,CC BY-SA 4.0,https://stackoverflow.com/questions/67750935/how-to-verify-a-string-and-double-in-c,how to verify a string and double in c,1622289369.0,67946681.0,,,,
23,['c'],"{'account_id': 21614792, 'reputation': 33, 'user_id': 15940769, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxATJ6UBwZXwmPDXnkqSTM3G9hZb09gxyQqPW--=k-s256', 'display_name': 'Yogesh Satyam', 'link': 'https://stackoverflow.com/users/15940769/yogesh-satyam'}",True,286,1,0,1650910235,1621160047,67555410,CC BY-SA 4.0,https://stackoverflow.com/questions/67555410/how-can-i-pass-stringtaken-as-input-from-user-to-a-pointer-function-in-c,how can i pass string(taken as input from user) to a pointer function in c?,1650910235.0,67555523.0,,,,
24,"['c', 'binary-search-tree']","{'account_id': 20651959, 'reputation': 37, 'user_id': 15162033, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjA9T2w8urzEazZvDVneStqYr49CDWM0B6nw3EX6lQ=k-s256', 'display_name': 'lives_in_virgosupercluster', 'link': 'https://stackoverflow.com/users/15162033/lives-in-virgosupercluster'}",False,29,0,0,1649662722,1621427594,67603351,,https://stackoverflow.com/questions/67603351/program-to-find-the-kthlargest-element-in-binarysearch-tree-not-giving-output,program to find the kthlargest element in binarysearch tree not giving output,1649662722.0,,,1621428595.0,Duplicate,
25,"['c++', 'c', 'async-await']","{'account_id': 5663508, 'reputation': 2050, 'user_id': 4480394, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://lh4.googleusercontent.com/-QwHzVkP4n0Y/AAAAAAAAAAI/AAAAAAAAAGo/xwQ_WdtwEjQ/photo.jpg?sz=256', 'display_name': 'Mona the Monad', 'link': 'https://stackoverflow.com/users/4480394/mona-the-monad'}",True,302,2,2,1649657158,1622218972,67742421,CC BY-SA 4.0,https://stackoverflow.com/questions/67742421/implementing-asynchronous-delays,Implementing asynchronous delays,1622228523.0,67745976.0,,,,
26,"['c', 'ubuntu', 'bgi']","{'account_id': 18956574, 'reputation': 77, 'user_id': 13833049, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ba8862b93479138d8691e34efea1d9ba?s=256&d=identicon&r=PG&f=1', 'display_name': 'the_razz03', 'link': 'https://stackoverflow.com/users/13833049/the-razz03'}",False,174,0,0,1649271377,1621579376,67631976,CC BY-SA 4.0,https://stackoverflow.com/questions/67631976/cant-use-settextstyle-in-graphics-h,Can&#39;t use settextstyle( ) in graphics.h,1649271377.0,,,,,
27,"['c', 'linux', 'ubuntu', 'bgi']","{'account_id': 21456909, 'reputation': 13, 'user_id': 15808380, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/750a99bd7bd6e353c5a1b6b82e2a44b5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Justin Drew', 'link': 'https://stackoverflow.com/users/15808380/justin-drew'}",False,61,0,0,1649271338,1622375120,67760769,CC BY-SA 4.0,https://stackoverflow.com/questions/67760769/few-functions-of-graphics-h-library-are-not-working-in-the-c-file-in-linux-ubun,few functions of graphics.h library are not working in the c file in linux (ubuntu LTS 20.04),1649271338.0,,,,,
28,"['c', 'cs50', 'scrabble']","{'account_id': 20114921, 'reputation': 15, 'user_id': 14750573, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-0W-j6CZxGJA/AAAAAAAAAAI/AAAAAAAAEto/AMZuucksgaxLUK0UWmibBGtH1j39M_gJsw/s96-c/photo.jpg?sz=256', 'display_name': 'Miguel ', 'link': 'https://stackoverflow.com/users/14750573/miguel'}",True,284,1,0,1648757180,1621303568,67579059,CC BY-SA 4.0,https://stackoverflow.com/questions/67579059/scrabble-cs50-computescore,Scrabble cs50 computescore,1621340584.0,67579146.0,,,,
29,"['c', 'uart', 'raspberry-pi4']","{'account_id': 21558322, 'reputation': 1, 'user_id': 15893219, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f602eb9cac9c0f9f57e084cd172102ea?s=256&d=identicon&r=PG&f=1', 'display_name': 'Goldmage', 'link': 'https://stackoverflow.com/users/15893219/goldmage'}",True,236,2,0,1646738913,1620713915,67481475,CC BY-SA 4.0,https://stackoverflow.com/questions/67481475/raspberry-pi-uart-disable-tx-and-enable-rx-in-program-c,Raspberry Pi - UART - disable TX and enable RX in program C,,,,,,
30,"['c++', 'c', 'gcc', 'clang', 'compiler-optimization']","{'account_id': 1542062, 'reputation': 7404, 'user_id': 1436450, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/49ade21b14846e41684616c6e7209db3?s=256&d=identicon&r=PG', 'display_name': 'Chinaxing', 'link': 'https://stackoverflow.com/users/1436450/chinaxing'}",True,638,1,0,1645844487,1620291103,67414823,CC BY-SA 4.0,https://stackoverflow.com/questions/67414823/gcc-cold-function-attribute-vs-builtin-expect-behavior,gcc cold function attribute vs builtin_expect behavior,,,,,,
31,"['c', 'visual-studio-code', 'outline-view']","{'account_id': 9760990, 'reputation': 75, 'user_id': 7236089, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e8e948fe4a29a9c8c83d5e45e30a23fb?s=256&d=identicon&r=PG&f=1', 'display_name': 'David Marcos', 'link': 'https://stackoverflow.com/users/7236089/david-marcos'}",True,1234,1,5,1645828174,1620742516,67488572,CC BY-SA 4.0,https://stackoverflow.com/questions/67488572/in-visual-studio-code-is-there-a-way-to-see-the-explorer-on-the-left-and-the-ou,"In Visual Studio Code, is there a way to see the explorer on the left and the outline on the right?",,69329503.0,,,,
32,"['c', 'printf', 'time.h']","{'account_id': 11735339, 'reputation': 61, 'user_id': 8589292, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4bf2892b89c12c929d8b936a2b3184f4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Black Solis', 'link': 'https://stackoverflow.com/users/8589292/black-solis'}",True,306,3,2,1645790555,1621639206,67644746,CC BY-SA 4.0,https://stackoverflow.com/questions/67644746/avoiding-a-newline-when-using-fprintf-with-time-h,Avoiding a newline when using fprintf with time.h,1645790555.0,67644832.0,,,,
33,"['c', 'stm32', 'stm32cubeide', 'stm32cubemx']","{'account_id': 17155357, 'reputation': 111, 'user_id': 13376850, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/654344dafe795f289c9c36017942d85c?s=256&d=identicon&r=PG&f=1', 'display_name': 'zhilenkov', 'link': 'https://stackoverflow.com/users/13376850/zhilenkov'}",False,533,0,1,1645452087,1621578627,67631851,CC BY-SA 4.0,https://stackoverflow.com/questions/67631851/how-to-detect-when-usb-is-disconnected,How to detect when USB is disconnected?,1645452087.0,,,,,
34,"['arrays', 'c']","{'account_id': 20013679, 'reputation': 357, 'user_id': 15823478, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/b2xRO.png?s=256&g=1', 'display_name': 'Pixie Dust', 'link': 'https://stackoverflow.com/users/15823478/pixie-dust'}",True,1049,3,1,1644662600,1620716741,67481998,CC BY-SA 4.0,https://stackoverflow.com/questions/67481998/int-array-accept-1-more-element-in-c-than-declared-size,Int array accept 1 more element in c than declared size,1644662600.0,67486967.0,,,,
35,"['c++', 'c', 'netbeans', 'netbeans-platform', 'netbeans-plugins']","{'account_id': 184877, 'reputation': 535, 'user_id': 421213, 'user_type': 'registered', 'accept_rate': 14, 'profile_image': 'https://www.gravatar.com/avatar/23185b9c0e61e65987827d56bc254592?s=256&d=identicon&r=PG', 'display_name': 'jradxl', 'link': 'https://stackoverflow.com/users/421213/jradxl'}",True,3438,1,4,1644587157,1620223982,67403049,CC BY-SA 4.0,https://stackoverflow.com/questions/67403049/how-to-set-up-netbeans-12-with-ccls-for-c-c-programming-on-ubuntu-21-04,How to set up Netbeans 12 with CCLS for C/C++ programming on Ubuntu 21.04,,,,,,
36,"['c', 'variadic-functions', 'realloc']","{'account_id': 15557317, 'reputation': 189, 'user_id': 11223349, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-CpOqrGGhVMI/AAAAAAAAAAI/AAAAAAAAQLY/7yS2Dh5JNIk/photo.jpg?sz=256', 'display_name': 'rphii', 'link': 'https://stackoverflow.com/users/11223349/rphii'}",True,86,2,-2,1644452896,1620569429,67458660,CC BY-SA 4.0,https://stackoverflow.com/questions/67458660/vsnprintf-fails-after-realloc,vsnprintf fails after realloc,1620570793.0,67459882.0,,,,
37,"['c', 'cs50', 'scrabble']","{'account_id': 21755354, 'reputation': 1, 'user_id': 16060798, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ec2889a587d5c74752f08294edf6bda2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Y-X99', 'link': 'https://stackoverflow.com/users/16060798/y-x99'}",True,405,1,0,1643685631,1622214902,67741478,CC BY-SA 4.0,https://stackoverflow.com/questions/67741478/cs50-scrabble-game,cs50 Scrabble game,1622553800.0,,,,,
38,"['arrays', 'c', 'pointers', 'declaration']","{'account_id': 13426739, 'reputation': 94, 'user_id': 10375213, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1999213826818475/picture?type=large', 'display_name': 'Mina Karam', 'link': 'https://stackoverflow.com/users/10375213/mina-karam'}",True,87,2,-1,1643411363,1620836179,67507365,CC BY-SA 4.0,https://stackoverflow.com/questions/67507365/what-the-difference-between-these-two-c-declaration-in-memory,What the difference between these two C-declaration in memory?,1643055917.0,,,,,
39,"['c', 'cs50', 'blur']","{'account_id': 17910613, 'reputation': 1, 'user_id': 14494210, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/09bYB.jpg?s=256&g=1', 'display_name': 'RAINB0WP0NY', 'link': 'https://stackoverflow.com/users/14494210/rainb0wp0ny'}",True,3432,3,0,1643342620,1621264820,67572545,CC BY-SA 4.0,https://stackoverflow.com/questions/67572545/cs50-pset4-filter-blur-function,CS50 pset4 filter blur function,1621264918.0,,,,,
40,"['c', 'linux', 'kernel', 'driver']","{'account_id': 6365469, 'reputation': 113, 'user_id': 4939578, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/279e86a1aa7acaa8b2f5e2edf345f55e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gonzo Gonzales', 'link': 'https://stackoverflow.com/users/4939578/gonzo-gonzales'}",False,170,0,1,1642540717,1621367035,67593014,CC BY-SA 4.0,https://stackoverflow.com/questions/67593014/serdev-device-driver-probe-not-called,serdev_device_driver probe not called,1642540717.0,,,,,
41,"['c', 'debugging', 'linux-kernel', 'stack-trace', 'kernel-module']","{'account_id': 7473340, 'reputation': 318, 'user_id': 5680507, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2bd8e7819cdceb78decd3d9b4049c9a8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Franc', 'link': 'https://stackoverflow.com/users/5680507/franc'}",False,2110,0,1,1641490598,1622272207,67748708,CC BY-SA 4.0,https://stackoverflow.com/questions/67748708/dump-stack-in-linux-kernel-doesnt-print-the-addresses-of-functions,dump_stack() in Linux kernel doesn&#39;t print the addresses of functions,1641490598.0,,,,,
42,"['c++', 'c', 'arduino-uno', 'lcd', 'adafruit']","{'account_id': 14476956, 'reputation': 31, 'user_id': 10457351, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/5rWbc.jpg?s=256&g=1', 'display_name': 'jubal1961', 'link': 'https://stackoverflow.com/users/10457351/jubal1961'}",True,623,1,1,1641178538,1620562631,67457589,CC BY-SA 4.0,https://stackoverflow.com/questions/67457589/different-font-size-same-lcd-screen-nokia-5110-lcd-with-arduino-uno-clock,"Different font size, same LCD screen. Nokia 5110 LCD with arduino uno clock",1641178538.0,,,,,
43,['c'],"{'account_id': 21481125, 'reputation': 15, 'user_id': 15828470, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5a055f099b3c1834b8bde082ab1d9da4?s=256&d=identicon&r=PG&f=1', 'display_name': 'tinkertailor', 'link': 'https://stackoverflow.com/users/15828470/tinkertailor'}",True,93,1,0,1640569835,1620097906,67378313,CC BY-SA 4.0,https://stackoverflow.com/questions/67378313/how-to-add-data-to-a-typedef-structure-thats-nested,How to add data to a typedef structure that&#39;s nested,1620128482.0,,,,,
44,"['c', 'database', 'faircom']","{'account_id': 8800809, 'reputation': 11, 'user_id': 6577031, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1520d36e183332ec63c0900419589997?s=256&d=identicon&r=PG&f=1', 'display_name': 'jess_askey', 'link': 'https://stackoverflow.com/users/6577031/jess-askey'}",True,90,1,1,1639494504,1620855826,67511344,CC BY-SA 4.0,https://stackoverflow.com/questions/67511344/documenting-internal-structures-of-v4-ctree-database-parsing-binary,Documenting Internal Structures of v4 CTree Database.. parsing binary?,1639494504.0,67996451.0,,,,
45,"['c++', 'c', 'memory', 'mmap', 'dynamic-arrays']","{'account_id': 18213789, 'reputation': 387, 'user_id': 13255785, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7d4fc3929a3bdd0143cfb20f7398001a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Helloer', 'link': 'https://stackoverflow.com/users/13255785/helloer'}",False,229,1,3,1638574731,1620011364,67363078,CC BY-SA 4.0,https://stackoverflow.com/questions/67363078/reserving-a-large-virtual-memory-space-for-a-dynamic-array-and-mapping-core-memo,Reserving a large virtual memory space for a dynamic array and mapping core memory as needed,,,,,,
46,"['c', 'opengl', 'powerpc', 'hp-ux', 'pa-risc']","{'account_id': 4992383, 'reputation': 45, 'user_id': 4017282, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-X-kf7n4XuT4/AAAAAAAAAAI/AAAAAAAAAZc/1Czy8rkEqyY/photo.jpg?sz=256', 'display_name': 'Shiunbird', 'link': 'https://stackoverflow.com/users/4017282/shiunbird'}",False,68,1,0,1638538233,1619904312,67350980,CC BY-SA 4.0,https://stackoverflow.com/questions/67350980/multiplatform-build-snprintf-fails-in-c,Multiplatform build - snprintf fails in C,1619949883.0,,,,,
