,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,protected_date,closed_date,closed_reason,community_owned_date,migrated_from
10,"['java', 'timer']","{'account_id': 337315, 'reputation': 10747, 'user_id': 665518, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/85a61bf4c6411ff082c51c5332248dcb?s=256&d=identicon&r=PG', 'display_name': 'meiryo', 'link': 'https://stackoverflow.com/users/665518/meiryo'}",True,308892,14,148,1668328336,1350367181,12908412,CC BY-SA 3.0,https://stackoverflow.com/questions/12908412/print-hello-world-every-x-seconds,Print &quot;hello world&quot; every X seconds,1446213431.0,12908477.0,,,,,
11,"['java', 'eclipse', 'executable-jar']","{'account_id': 1227430, 'reputation': 28915, 'user_id': 1192728, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/481baa815383ed3970e726842195f73f?s=256&d=identicon&r=PG', 'display_name': 'hqt', 'link': 'https://stackoverflow.com/users/1192728/hqt'}",True,30065,3,9,1668178279,1349840459,12811618,CC BY-SA 3.0,https://stackoverflow.com/questions/12811618/eclipse-manually-select-main-class-for-executable-jar-file,Eclipse : manually select main class for executable jar file,,12811630.0,,,,,
12,"['java', 'amazon-s3']","{'account_id': 1930834, 'reputation': 451, 'user_id': 1740237, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/7tUfw.jpg?s=256&g=1', 'display_name': 'Abhishek', 'link': 'https://stackoverflow.com/users/1740237/abhishek'}",True,29322,9,26,1667921773,1350023454,12853476,CC BY-SA 4.0,https://stackoverflow.com/questions/12853476/amazon-s3-returns-only-1000-entries-for-one-bucket-and-all-for-another-bucket-u,Amazon s3 returns only 1000 entries for one bucket and all for another bucket (using java sdk)?,1539092838.0,27931839.0,,,,,
13,"['java', 'spring', 'spring-batch']","{'account_id': 1910439, 'reputation': 41, 'user_id': 1724391, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cc1fe18bacf318edfca11a198627147d?s=256&d=identicon&r=PG', 'display_name': 'user1724391', 'link': 'https://stackoverflow.com/users/1724391/user1724391'}",False,7738,1,4,1667559640,1349487983,12755988,CC BY-SA 3.0,https://stackoverflow.com/questions/12755988/spring-batch-item-processor-not-executing,Spring Batch Item Processor not Executing,1349491809.0,,,,,,
14,"['java', 'string', 'go']","{'account_id': 149493, 'reputation': 2352, 'user_id': 362021, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/1b296a00c8d01ecc743170b8e6f4d22f?s=256&d=identicon&r=PG', 'display_name': 'Malcolm', 'link': 'https://stackoverflow.com/users/362021/malcolm'}",True,1540,2,3,1667509871,1350930643,13017499,CC BY-SA 3.0,https://stackoverflow.com/questions/13017499/is-there-an-equivalent-to-javas-string-intern-function-in-go,Is there an equivalent to Java&#39;s String intern function in Go?,,13018876.0,,,,,
15,"['java', 'git', 'jgit']","{'account_id': 175178, 'reputation': 19465, 'user_id': 405013, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/7ef3cd04888c6d17f34d43e29ec3d46f?s=256&d=identicon&r=PG', 'display_name': 'caarlos0', 'link': 'https://stackoverflow.com/users/405013/caarlos0'}",True,7892,3,20,1667322565,1349784028,12799573,CC BY-SA 3.0,https://stackoverflow.com/questions/12799573/add-remote-via-jgit,Add remote via JGit,1349789922.0,12801356.0,,,,,
16,"['java', 'eclipse', 'maven', 'package']","{'account_id': 1950164, 'reputation': 235, 'user_id': 1754438, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/fb44e10e5f50c1692f4a993163ce9990?s=256&d=identicon&r=PG', 'display_name': 'cardori', 'link': 'https://stackoverflow.com/users/1754438/cardori'}",True,9796,3,4,1667224587,1350578550,12959586,CC BY-SA 3.0,https://stackoverflow.com/questions/12959586/cant-create-packages-with-maven-webapp,Can&#39;t create packages with Maven webapp,,12959841.0,,,,,
17,"['java', 'design-patterns', 'language-agnostic', 'factory', 'factory-method']","{'account_id': 1705386, 'reputation': 5547, 'user_id': 1564528, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://i.stack.imgur.com/Do2Mk.jpg?s=256&g=1', 'display_name': 'Just_another_developer', 'link': 'https://stackoverflow.com/users/1564528/just-another-developer'}",True,117637,8,243,1666765490,1350990996,13029261,CC BY-SA 4.0,https://stackoverflow.com/questions/13029261/design-patterns-factory-vs-factory-method-vs-abstract-factory,Design Patterns: Factory vs Factory method vs Abstract Factory,1592644375.0,,1509790530.0,,,,
18,"['java', 'jboss', 'ejb', 'war', 'ear']","{'account_id': 1970198, 'reputation': 272, 'user_id': 1769374, 'user_type': 'registered', 'accept_rate': 17, 'profile_image': 'https://i.stack.imgur.com/oVzyS.jpg?s=256&g=1', 'display_name': 'Sean', 'link': 'https://stackoverflow.com/users/1769374/sean'}",False,8965,1,1,1666368521,1351025866,13039118,CC BY-SA 4.0,https://stackoverflow.com/questions/13039118/java-jboss-failed-to-process-phase-parse-of-deployment,java jboss failed to process phase PARSE of deployment,1600873956.0,,,,,,
19,"['java', 'jpa']","{'account_id': 262192, 'reputation': 4948, 'user_id': 546888, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/b6d51470ef2e3315623abd1090c75caa?s=256&d=identicon&r=PG', 'display_name': 'Gunjan Shah', 'link': 'https://stackoverflow.com/users/546888/gunjan-shah'}",True,479474,22,228,1666341583,1350912845,13012584,CC BY-SA 3.0,https://stackoverflow.com/questions/13012584/jpa-how-to-convert-a-native-query-result-set-to-pojo-class-collection,JPA : How to convert a native query result set to POJO class collection,1490097768.0,13013323.0,,,,,
20,"['java', 'arrays', 'arraylist', 'stack']","{'account_id': 1940712, 'reputation': 4742, 'user_id': 1746975, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/1b324334a7501c59aadd6ff70f6b425c?s=256&d=identicon&r=PG', 'display_name': 'ZeDonDino', 'link': 'https://stackoverflow.com/users/1746975/zedondino'}",True,424252,15,247,1666207979,1350546763,12949690,CC BY-SA 4.0,https://stackoverflow.com/questions/12949690/java-arraylist-how-to-add-elements-at-the-beginning,Java ArrayList how to add elements at the beginning,1592483435.0,12949719.0,,,,,
21,"['java', 'action', 'switch-statement']","{'account_id': 1927768, 'reputation': 1546, 'user_id': 1737830, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://i.stack.imgur.com/lyA2a.jpg?s=256&g=1', 'display_name': 'AbreQueVoy', 'link': 'https://stackoverflow.com/users/1737830/abrequevoy'}",True,1794,4,0,1666174364,1350498843,12940969,CC BY-SA 3.0,https://stackoverflow.com/questions/12940969/is-it-possible-to-replace-if-else-with-switch-statement-using-strings-as-switchi,Is it possible to replace if-else with switch statement using strings as switching values?,,12940985.0,,,,,
22,"['java', 'http', 'tomcat', 'http-headers', 'load-balancing']","{'account_id': 1933434, 'reputation': 2010, 'user_id': 1742350, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/17f35e2d73c9e36a40372a9f8043f265?s=256&d=identicon&r=PG', 'display_name': 'Slowcoder', 'link': 'https://stackoverflow.com/users/1742350/slowcoder'}",False,9634,2,2,1666173680,1351266122,13090082,CC BY-SA 3.0,https://stackoverflow.com/questions/13090082/bypassing-load-balancer-to-specific-server-for-different-web-apps,Bypassing load balancer to specific server for different web apps,1486754017.0,,,,,,
23,"['java', 'regex']","{'account_id': 1909174, 'reputation': 29, 'user_id': 1723450, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bdc307e7c0444339a05555062b3b5c3b?s=256&d=identicon&r=PG', 'display_name': 'user1723450', 'link': 'https://stackoverflow.com/users/1723450/user1723450'}",True,2242,8,0,1666135322,1349453525,12750139,CC BY-SA 3.0,https://stackoverflow.com/questions/12750139/java-regular-expressions-matching-the-first-occurrence-of-a-pattern,Java Regular Expressions - Matching the First Occurrence of a Pattern,1349458559.0,12755690.0,,,,,
24,"['java', 'swing', 'jtable']","{'account_id': 1944254, 'reputation': 11, 'user_id': 1749754, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/db92447e13c549ceb38f324712b929b2?s=256&d=identicon&r=PG', 'display_name': 'user1749754', 'link': 'https://stackoverflow.com/users/1749754/user1749754'}",False,9774,1,1,1666083990,1350385050,12913167,CC BY-SA 4.0,https://stackoverflow.com/questions/12913167/limit-rows-shown-in-jtable-next-previous-button,Limit rows shown in JTable + Next/Previous button,1579595616.0,,,,,,
25,"['java', 'syntax-error']","{'account_id': 1920568, 'reputation': 133, 'user_id': 1732191, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/fa8e0838cb7fef676b6d27e87fcc4f9e?s=256&d=identicon&r=PG', 'display_name': 'belonious', 'link': 'https://stackoverflow.com/users/1732191/belonious'}",True,35682,6,3,1666079103,1349800832,12804598,CC BY-SA 3.0,https://stackoverflow.com/questions/12804598/syntax-error-on-token-expected-after-this-token,"Syntax error on token &quot;;&quot;, &quot;{&quot; expected after this token",1437831289.0,12804628.0,,,,,
26,"['java', 'list', 'sorting', 'unmodifiable']","{'account_id': 254195, 'reputation': 13104, 'user_id': 533426, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://i.stack.imgur.com/7hsON.png?s=256&g=1', 'display_name': 'Toskan', 'link': 'https://stackoverflow.com/users/533426/toskan'}",True,78,2,2,1666000856,1351518928,13123016,CC BY-SA 4.0,https://stackoverflow.com/questions/13123016/someone-breaks-my-sorting-of-a-list-now-which-approach-to-choose-return-unmod,Someone breaks my sorting of a list - now which approach to choose: return unmodifiable List or a new List altogether?,1666000856.0,13123765.0,,,,,
27,"['java', 'io', 'java.util.scanner']","{'account_id': 1983545, 'reputation': 9892, 'user_id': 1779488, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6e08ef39da71060ac4a76e5313d4e9fe?s=256&d=identicon&r=PG', 'display_name': 'blekione', 'link': 'https://stackoverflow.com/users/1779488/blekione'}",True,772412,24,913,1665700263,1351355821,13102045,CC BY-SA 3.0,https://stackoverflow.com/questions/13102045/scanner-is-skipping-nextline-after-using-next-or-nextfoo,Scanner is skipping nextLine() after using next() or nextFoo()?,1522848692.0,13102066.0,1429434346.0,,,,
28,"['java', 'jpa', 'one-to-many', 'cascade', 'many-to-one']","{'account_id': 476430, 'reputation': 11191, 'user_id': 887343, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/adlbM.jpg?s=256&g=1', 'display_name': 'forhas', 'link': 'https://stackoverflow.com/users/887343/forhas'}",True,441881,6,291,1665669771,1350984088,13027214,CC BY-SA 4.0,https://stackoverflow.com/questions/13027214/what-is-the-meaning-of-the-cascadetype-all-for-a-manytoone-jpa-association,What is the meaning of the CascadeType.ALL for a @ManyToOne JPA association,1549984538.0,13027444.0,,,,,
29,"['java', 'big-o']","{'account_id': 1617832, 'reputation': 14099, 'user_id': 1495015, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/966f39aaa4a9ef3dbc58b827452368a8?s=256&d=identicon&r=PG', 'display_name': 'letter Q', 'link': 'https://stackoverflow.com/users/1495015/letter-q'}",True,881,2,-2,1665615060,1349734998,12790314,,https://stackoverflow.com/questions/12790314/big-o-notation-in-java,Big-O notation in Java,1665615060.0,12790422.0,,1349742611.0,not a real question,,
30,"['java', 'intellij-idea', 'keyboard-shortcuts', 'code-snippets', 'live-templates']","{'account_id': 182362, 'reputation': 15170, 'user_id': 416996, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/IuWQo.jpg?s=256&g=1', 'display_name': 'Jama A.', 'link': 'https://stackoverflow.com/users/416996/jama-a'}",True,6467,3,18,1665565838,1349080798,12669948,CC BY-SA 4.0,https://stackoverflow.com/questions/12669948/live-template-fore-intellij-idea-for-iterating-through-map,Live Template fore Intellij IDEA for Iterating through Map,1665565838.0,12670127.0,,,,,
31,"['java', 'overloading', 'variadic-functions', 'java-6']","{'account_id': 1482116, 'reputation': 26521, 'user_id': 1391249, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/6997c6e3106c59b5bdf592a0d7515829?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tiny', 'link': 'https://stackoverflow.com/users/1391249/tiny'}",True,7956,4,23,1665392354,1350196750,12879910,CC BY-SA 3.0,https://stackoverflow.com/questions/12879910/varargs-in-method-overloading-in-java,Varargs in method overloading in Java,1458237805.0,12879991.0,,,,,
32,"['java', 'file', 'text', 'output']","{'account_id': 1489533, 'reputation': 311, 'user_id': 1396974, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/f33e534c4419df01c7a52f89c1ec1efa?s=256&d=identicon&r=PG', 'display_name': 'DavyGravy', 'link': 'https://stackoverflow.com/users/1396974/davygravy'}",True,21500,3,5,1665020921,1351586364,13135331,,https://stackoverflow.com/questions/13135331/most-efficient-way-to-write-a-string-to-a-file,Most efficient way to write a string to a file,1665020921.0,13135405.0,,1351590003.0,exact duplicate,,
33,['java'],"{'account_id': 403508, 'reputation': 6152, 'user_id': 771318, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/546b0205d27524f9b6a13a566fe84032?s=256&d=identicon&r=PG', 'display_name': 'javaMan', 'link': 'https://stackoverflow.com/users/771318/javaman'}",True,33771,7,24,1664891923,1349787539,12800588,CC BY-SA 4.0,https://stackoverflow.com/questions/12800588/how-to-calculate-a-file-size-from-url-in-java,How to calculate a file size from URL in java,1664891923.0,12800801.0,,,,,
34,"['java', 'arrays', 'intersection']","{'account_id': 1945366, 'reputation': 101, 'user_id': 1750650, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fe1d96e27c01aa03d4348156619ee983?s=256&d=identicon&r=PG', 'display_name': 'Alexandr Melnik', 'link': 'https://stackoverflow.com/users/1750650/alexandr-melnik'}",True,16587,5,9,1664722983,1350404747,12919231,CC BY-SA 4.0,https://stackoverflow.com/questions/12919231/how-do-i-find-the-intersection-of-two-arrays-in-java,How do I find the intersection of two arrays in Java?,1664722983.0,12919333.0,,,,,
35,"['java', 'thread-safety']","{'account_id': 1176664, 'reputation': 20168, 'user_id': 1152500, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://www.gravatar.com/avatar/52c9add307127619573e855576ed833c?s=256&d=identicon&r=PG', 'display_name': 'Anand', 'link': 'https://stackoverflow.com/users/1152500/anand'}",True,51266,8,103,1664577022,1349893325,12825847,CC BY-SA 3.0,https://stackoverflow.com/questions/12825847/why-are-local-variables-thread-safe-in-java,Why are local variables thread safe in Java,1375107148.0,12825852.0,,,,,
36,"['java', 'jboss', 'ejb']","{'account_id': 1970198, 'reputation': 272, 'user_id': 1769374, 'user_type': 'registered', 'accept_rate': 17, 'profile_image': 'https://i.stack.imgur.com/oVzyS.jpg?s=256&g=1', 'display_name': 'Sean', 'link': 'https://stackoverflow.com/users/1769374/sean'}",False,11996,1,0,1664500091,1351020978,13037890,CC BY-SA 4.0,https://stackoverflow.com/questions/13037890/jboss-7-missing-jboss-naming-context-java-cant-run-ear,JBoss 7 missing jboss.naming.context.java - can&#39;t run EAR,1609702425.0,,,,,,
37,"['java', 'unit-testing', 'junit', 'mockito', 'tdd']","{'account_id': 304966, 'reputation': 11307, 'user_id': 614800, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/IZDYN.png?s=256&g=1', 'display_name': 'beluchin', 'link': 'https://stackoverflow.com/users/614800/beluchin'}",True,530729,6,849,1664478251,1350056686,12862659,CC BY-SA 4.0,https://stackoverflow.com/questions/12862659/how-to-verify-that-a-specific-method-was-not-called-using-mockito,How to verify that a specific method was not called using Mockito?,1635351361.0,12863072.0,,,,,
38,"['java', 'string', 'if-statement', 'jbutton', 'jradiobutton']","{'account_id': 1640971, 'reputation': 31, 'user_id': 1513402, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5c6becb7abfebe34808573c6e64c9c90?s=256&d=identicon&r=PG', 'display_name': 'dothackjhe', 'link': 'https://stackoverflow.com/users/1513402/dothackjhe'}",False,24224,4,0,1664388560,1349141057,12683333,CC BY-SA 3.0,https://stackoverflow.com/questions/12683333/if-else-condition-within-a-jbutton-actionevent,If-else condition within a JButton ActionEvent,1349579606.0,,,,,,
39,"['java', 'jakarta-ee', 'tomcat', 'servlets']","{'account_id': 259272, 'reputation': 2118, 'user_id': 542025, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/YfpxO.jpg?s=256&g=1', 'display_name': 'Steven De Groote', 'link': 'https://stackoverflow.com/users/542025/steven-de-groote'}",True,33639,5,11,1663934247,1349946368,12836006,CC BY-SA 3.0,https://stackoverflow.com/questions/12836006/how-is-a-sessionid-generated,How is a sessionID generated?,1458504919.0,12836172.0,,,,,
40,"['java', 'lisp', 'stack']","{'account_id': 953990, 'reputation': 263, 'user_id': 979616, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/e827d40ec386c5bb4cdb787b5ca41f07?s=256&d=identicon&r=PG', 'display_name': 'user979616', 'link': 'https://stackoverflow.com/users/979616/user979616'}",True,2838,2,1,1663701541,1351386069,13105519,CC BY-SA 3.0,https://stackoverflow.com/questions/13105519/lisp-expression-evaluator-in-java-using-only-one-stack,Lisp expression evaluator in Java (using only one stack),1351387300.0,,,,,,
41,"['java', 'javascript', 'oop', 'frameworks']","{'account_id': 364195, 'reputation': 14022, 'user_id': 708436, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/667fef9af6d55177bb9bfe6027d6b1bd?s=256&d=identicon&r=PG&f=1', 'display_name': 'CL22', 'link': 'https://stackoverflow.com/users/708436/cl22'}",True,151,3,0,1663540881,1350498249,12940829,,https://stackoverflow.com/questions/12940829/java-like-libraries-frameworks-for-javascript,Java-like libraries/frameworks for JavaScript,1350500106.0,12940849.0,,1350499094.0,not constructive,,
42,"['java', 'json', 'xslt', 'jackson']","{'account_id': 1473202, 'reputation': 1459, 'user_id': 1384239, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/9ebd79bf6ef05d2d985a271b78aeeec5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Chaturvedi Dewashish', 'link': 'https://stackoverflow.com/users/1384239/chaturvedi-dewashish'}",True,46294,8,34,1663256699,1351167036,13068267,CC BY-SA 3.0,https://stackoverflow.com/questions/13068267/json-to-json-transformer,JSON to JSON transformer,1351242070.0,17413190.0,,,,,
43,"['java', 'process', 'io', 'stream', 'java-io']","{'account_id': 232234, 'reputation': 3752, 'user_id': 496934, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/d82c6883e1f68776cbc4356e2ad7a740?s=256&d=identicon&r=PG', 'display_name': 'user496934', 'link': 'https://stackoverflow.com/users/496934/user496934'}",True,16007,3,7,1662969339,1350368892,12908732,CC BY-SA 3.0,https://stackoverflow.com/questions/12908732/reading-error-stream-from-a-process,Reading error stream from a process,,32995975.0,,,,,
44,"['java', 'postgresql', 'sorting', 'uuid']","{'account_id': 1330510, 'reputation': 449, 'user_id': 1274531, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/49c75d0473a7de2343d9814316ee462b?s=256&d=identicon&r=PG', 'display_name': 'javalonde', 'link': 'https://stackoverflow.com/users/1274531/javalonde'}",True,58945,4,34,1662912796,1349635677,12771737,CC BY-SA 3.0,https://stackoverflow.com/questions/12771737/conversion-string-to-uuid-in-postgres-and-java,Conversion String to UUID in Postgres and Java,1349636087.0,,,,,,
45,"['java', 'class', 'jar', 'program-entry-point']","{'account_id': 339209, 'reputation': 4741, 'user_id': 668540, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/95eefde7a484edbd40d23a355771626e?s=256&d=identicon&r=PG', 'display_name': 'Austin', 'link': 'https://stackoverflow.com/users/668540/austin'}",True,270394,21,66,1662615884,1350996210,13030675,CC BY-SA 3.0,https://stackoverflow.com/questions/13030675/could-not-find-or-load-main-class-with-a-jar-file,Could not find or load main class with a Jar File,1421267497.0,,,,,,
46,"['java', 'android', 'xml', 'fragment']","{'account_id': 329119, 'reputation': 1453, 'user_id': 652466, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/938ee57ea4abaccbfa7f465fe82b3333?s=256&d=identicon&r=PG', 'display_name': 'Plantage', 'link': 'https://stackoverflow.com/users/652466/plantage'}",True,28436,8,80,1662462667,1351008423,13034746,CC BY-SA 3.0,https://stackoverflow.com/questions/13034746/if-i-declare-a-fragment-in-an-xml-layout-how-do-i-pass-it-a-bundle,"If I declare a fragment in an XML layout, how do I pass it a Bundle?",,13034812.0,,,,,
47,['java'],"{'account_id': 151932, 'reputation': 175, 'user_id': 1456869, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f59f2a45b4428f185de4bfd45b76b1cb?s=256&d=identicon&r=PG', 'display_name': 'Shama', 'link': 'https://stackoverflow.com/users/1456869/shama'}",True,2235,3,6,1662417136,1349788912,12801032,CC BY-SA 3.0,https://stackoverflow.com/questions/12801032/how-to-locate-all-resources-in-classpath-with-a-specified-name,How to locate all resources in classpath with a specified name?,,12801290.0,,,,,
