,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date,migrated_from,locked_date,community_owned_date
10,"['java', 'spring-security', 'session-timeout']","{'account_id': 1174058, 'reputation': 641, 'user_id': 1150507, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/04c93a1f69fe8397abe22a00fe0988d7?s=256&d=identicon&r=PG', 'display_name': 'Perre', 'link': 'https://stackoverflow.com/users/1150507/perre'}",True,91037,4,34,1667990923,1344331817,11843010,CC BY-SA 3.0,https://stackoverflow.com/questions/11843010/logout-session-timeout-catching-with-spring-security,Logout/Session timeout catching with spring security,18128496.0,1394047970.0,,,,,,
11,"['java', 'sorting']","{'account_id': 1218509, 'reputation': 3120, 'user_id': 1189361, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/d44cf0fce273f41318778b9d76633a30?s=256&d=identicon&r=PG', 'display_name': 'FirmView', 'link': 'https://stackoverflow.com/users/1189361/firmview'}",True,2508,4,0,1667946581,1345968288,12128553,CC BY-SA 3.0,https://stackoverflow.com/questions/12128553/sorting-lines-based-on-column,Sorting lines based on column,,1345975782.0,,,,,,
12,"['java', 'swing', 'layout', 'jcomponent', 'null-layout-manager']","{'account_id': 1012779, 'reputation': 19776, 'user_id': 1024973, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/e9a46874cd35d5753507f10188ec83a8?s=256&d=identicon&r=PG', 'display_name': 'AndroidDev', 'link': 'https://stackoverflow.com/users/1024973/androiddev'}",True,106372,6,10,1667518193,1345871222,12119327,CC BY-SA 3.0,https://stackoverflow.com/questions/12119327/placing-a-jlabel-at-a-specific-x-y-coordinate-on-a-jpanel,"Placing a JLabel at a specific x,y coordinate on a JPanel",12119439.0,1345879305.0,,,,,,
13,"['java', 'multithreading', 'encryption']","{'account_id': 388656, 'reputation': 320, 'user_id': 747720, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/4974f3b6d364faf344236641c32351d6?s=256&d=identicon&r=PG&f=1', 'display_name': 'BZapper', 'link': 'https://stackoverflow.com/users/747720/bzapper'}",True,3994,1,3,1667421636,1344892688,11942466,CC BY-SA 3.0,https://stackoverflow.com/questions/11942466/create-and-maintain-multiple-ciphers,Create and maintain multiple Ciphers,11942645.0,1344892817.0,,,,,,
14,"['java', 'arrays', 'loops', 'jakarta-mail']","{'account_id': 1735943, 'reputation': 219, 'user_id': 1588516, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/47b70849c980d0f8218d145fa47f8ca3?s=256&d=identicon&r=PG', 'display_name': 'user1000232', 'link': 'https://stackoverflow.com/users/1588516/user1000232'}",True,6789,3,2,1667358026,1345009449,11964622,CC BY-SA 3.0,https://stackoverflow.com/questions/11964622/creating-an-array-of-numbers-without-looping,Creating an array of numbers without looping?,11964719.0,1345011007.0,,,,,,
15,"['java', 'android', 'json']","{'account_id': 1608706, 'reputation': 2317, 'user_id': 1488243, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1c497380d721bf66b5b9a2c36cab8ae6?s=256&d=identicon&r=PG', 'display_name': 'user1488243', 'link': 'https://stackoverflow.com/users/1488243/user1488243'}",True,44995,4,12,1667281394,1343922025,11781075,CC BY-SA 3.0,https://stackoverflow.com/questions/11781075/jsonobject-in-jsonobject,JSONObject in JSONObject,11781116.0,1343926477.0,,,,,,
16,"['java', 'maven', 'maven-3', 'pmd']","{'account_id': 29845, 'reputation': 29710, 'user_id': 80932, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/c8df6a60fa19ec03cde467dad65c8f24?s=256&d=identicon&r=PG', 'display_name': 'ufk', 'link': 'https://stackoverflow.com/users/80932/ufk'}",True,48862,4,69,1666789189,1345467838,12038238,CC BY-SA 4.0,https://stackoverflow.com/questions/12038238/unable-to-locate-source-xref-to-link-to,Unable to locate Source XRef to link to,12050420.0,1666743271.0,,,,,,
17,"['java', 'memory', 'javafx-2']","{'account_id': 225531, 'reputation': 25282, 'user_id': 486057, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/a9fd749502d6cb012df9425b028cea32?s=256&d=identicon&r=PG', 'display_name': 'Rogach', 'link': 'https://stackoverflow.com/users/486057/rogach'}",True,29565,4,15,1666707911,1345293839,12018675,CC BY-SA 3.0,https://stackoverflow.com/questions/12018675/making-a-memory-dump-of-java-application,Making a &quot;memory dump&quot; of java application?,12018715.0,1345294306.0,,,,,,
18,"['java', 'graphics2d']","{'account_id': 294955, 'reputation': 1396, 'user_id': 599110, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://i.stack.imgur.com/BNfcL.png?s=256&g=1', 'display_name': 'nyyrikki', 'link': 'https://stackoverflow.com/users/599110/nyyrikki'}",True,6898,2,3,1666512629,1345542442,12052235,CC BY-SA 3.0,https://stackoverflow.com/questions/12052235/draw-ellipse-using-center-point-not-upper-left-corner,draw ellipse using center point (not upper left corner),12052392.0,,,,,,,
19,"['java', 'selenium', 'webdriver', 'keydown', 'typeahead']","{'account_id': 329893, 'reputation': 815, 'user_id': 653686, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/d4def6ebb828cf56e871e79358894244?s=256&d=identicon&r=PG', 'display_name': 'StanM', 'link': 'https://stackoverflow.com/users/653686/stanm'}",False,9975,3,0,1666396880,1344887978,11941390,CC BY-SA 3.0,https://stackoverflow.com/questions/11941390/getting-java-webdriver-down-arrow-action-to-work,Getting Java Webdriver &#39;Down Arrow&#39; action to work,,1344892600.0,,,,,,
20,"['java', 'windows', 'process', 'processbuilder']","{'account_id': 113220, 'reputation': 15953, 'user_id': 298288, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/20c1f68b1bb5c87878c69d5442855a28?s=256&d=identicon&r=PG', 'display_name': 'stefan.at.wpf', 'link': 'https://stackoverflow.com/users/298288/stefan-at-wpf'}",True,12502,5,13,1666149873,1345922480,12124935,CC BY-SA 3.0,https://stackoverflow.com/questions/12124935/processbuilder-adds-extra-quotes-to-command-line,ProcessBuilder adds extra quotes to command line,12124972.0,1375860754.0,,,,,,
21,"['java', 'json', 'jackson']","{'account_id': 804216, 'reputation': 4444, 'user_id': 862193, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/60a062a625895665d619c40b96f82d6a?s=256&d=identicon&r=PG', 'display_name': 'Tim', 'link': 'https://stackoverflow.com/users/862193/tim'}",True,61434,5,34,1666082744,1346018207,12134231,CC BY-SA 3.0,https://stackoverflow.com/questions/12134231/jackson-dynamic-property-names,Jackson dynamic property names,12134649.0,1499365415.0,,,,,,
22,['java'],"{'account_id': 1105691, 'reputation': 1945, 'user_id': 1097125, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://i.stack.imgur.com/P71Nk.jpg?s=256&g=1', 'display_name': 'J.K', 'link': 'https://stackoverflow.com/users/1097125/j-k'}",True,2315,2,9,1665761475,1344426328,11863800,CC BY-SA 4.0,https://stackoverflow.com/questions/11863800/why-code-in-static-block-does-not-execute,Why code in static block does not execute?,11863843.0,1665761475.0,,,,,,
23,['java'],"{'account_id': 1675431, 'reputation': 231, 'user_id': 1541106, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/fcd102d0aa162479e129a83c16306227?s=256&d=identicon&r=PG', 'display_name': 'user1541106', 'link': 'https://stackoverflow.com/users/1541106/user1541106'}",True,2206,4,0,1665171401,1344722538,11918013,CC BY-SA 3.0,https://stackoverflow.com/questions/11918013/how-to-copy-an-entire-content-from-a-directory-to-another-in-java,How to copy an entire content from a directory to another in Java?,11918054.0,1344732813.0,,,,,,
24,"['java', 'database', 'stored-procedures', 'jdbc', 'sybase-asa']","{'account_id': 1744619, 'reputation': 11, 'user_id': 1595113, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/98cae1cb3345a352c4ecd4ae565fe739?s=256&d=identicon&r=PG', 'display_name': 'trumpets', 'link': 'https://stackoverflow.com/users/1595113/trumpets'}",False,7570,1,1,1665140555,1344855538,11932963,CC BY-SA 3.0,https://stackoverflow.com/questions/11932963/sybase-stored-procedure-through-jdbc,Sybase stored procedure through JDBC,,1363238804.0,,,,,,
25,"['java', 'c++', 'vim', 'methods']","{'account_id': 180744, 'reputation': 13647, 'user_id': 414271, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/a42dbf49bfae60f011e7d09f4ca7bc70?s=256&d=identicon&r=PG', 'display_name': 'void-pointer', 'link': 'https://stackoverflow.com/users/414271/void-pointer'}",True,27126,5,41,1665090921,1345969511,12128678,CC BY-SA 3.0,https://stackoverflow.com/questions/12128678/vim-go-to-beginning-end-of-next-method,Vim: Go to Beginning/End of Next Method,12128868.0,1389885374.0,,,,,,
26,"['java', 'json', 'minify']","{'account_id': 1297830, 'reputation': 3253, 'user_id': 1248436, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/120a039571e907a64bcfbafda75d472b?s=256&d=identicon&r=PG', 'display_name': 'mtyurt', 'link': 'https://stackoverflow.com/users/1248436/mtyurt'}",True,36047,4,27,1665068097,1346227747,12173416,CC BY-SA 4.0,https://stackoverflow.com/questions/12173416/how-do-i-get-the-compact-minified-form-of-pretty-printed-json-in-java,How do I get the compact/minified form of pretty-printed JSON in Java?,12174201.0,1662446900.0,,,,,,
27,"['java', 'spring-data', 'spring-data-jpa']","{'account_id': 226240, 'reputation': 2821, 'user_id': 487171, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/090edc0c77c7ddc315d34dc0d505fed2?s=256&d=identicon&r=PG', 'display_name': 'Sharad Yadav', 'link': 'https://stackoverflow.com/users/487171/sharad-yadav'}",True,242930,13,209,1665050925,1344506407,11880924,CC BY-SA 3.0,https://stackoverflow.com/questions/11880924/how-to-add-custom-method-to-spring-data-jpa,How to add custom method to Spring Data JPA,11881203.0,1344507255.0,,,,,,
28,"['java', 'jpa', 'jdbc']","{'account_id': 539830, 'reputation': 3018, 'user_id': 907810, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://www.gravatar.com/avatar/fe37def808ad500c8cd4c3212fed156a?s=256&d=identicon&r=PG', 'display_name': 'user907810', 'link': 'https://stackoverflow.com/users/907810/user907810'}",True,152866,6,157,1665050418,1344508700,11881548,CC BY-SA 3.0,https://stackoverflow.com/questions/11881548/jpa-or-jdbc-how-are-they-different,"JPA or JDBC, how are they different?",11881732.0,1503859748.0,,,,,,
29,"['java', 'intellij-idea']","{'account_id': 1102563, 'reputation': 14864, 'user_id': 1094640, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/6f697e3156dbf740c223af6b56cdfbdb?s=256&d=identicon&r=PG', 'display_name': 'Bober02', 'link': 'https://stackoverflow.com/users/1094640/bober02'}",True,12001,4,8,1665032061,1344425794,11863663,CC BY-SA 3.0,https://stackoverflow.com/questions/11863663/intellij-cleanup-code,intellij - cleanup code,11863717.0,,,,,,,
30,"['java', 'cursor']","{'account_id': 1793740, 'reputation': 21, 'user_id': 1633624, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a3ce63effe41380973b9fcc2ac4aae87?s=256&d=identicon&r=PG', 'display_name': 'Erik Thorsson', 'link': 'https://stackoverflow.com/users/1633624/erik-thorsson'}",False,1919,2,2,1664798471,1346253879,12181354,CC BY-SA 4.0,https://stackoverflow.com/questions/12181354/cursor-positioning,Cursor Positioning,,1664798471.0,,,,,,
31,"['java', 'search', 'artificial-intelligence', 'graph-algorithm', 'sliding-tile-puzzle']","{'account_id': 392704, 'reputation': 4854, 'user_id': 754136, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/b74357259c20c3981c6c157ec38aa2fd?s=256&d=identicon&r=PG', 'display_name': 'Simon', 'link': 'https://stackoverflow.com/users/754136/simon'}",False,8929,2,1,1664795225,1345299052,12019238,CC BY-SA 3.0,https://stackoverflow.com/questions/12019238/solve-n-puzzle-in-java,Solve n-puzzle in Java,,1345354175.0,,,,,,
32,"['java', 'json', 'web-services', 'rest', 'post']","{'account_id': 966446, 'reputation': 2437, 'user_id': 989808, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/34fbcd2a6db27c1e6d58c7d47cd0bc10?s=256&d=identicon&r=PG', 'display_name': 'mzereba', 'link': 'https://stackoverflow.com/users/989808/mzereba'}",True,450341,14,86,1664733014,1343896761,11773846,CC BY-SA 3.0,https://stackoverflow.com/questions/11773846/error-415-unsupported-media-type-post-not-reaching-rest-if-json-but-it-does-if,"Error 415 Unsupported Media Type: POST not reaching REST if JSON, but it does if XML",11774116.0,1507965733.0,,,,,,
33,"['java', 'command-line', 'testng', 'command-prompt']","{'account_id': 262141, 'reputation': 3110, 'user_id': 546801, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/8548d07c02ea7cb5dffc984277537c85?s=256&d=identicon&r=PG', 'display_name': 'Fuzzy Analysis', 'link': 'https://stackoverflow.com/users/546801/fuzzy-analysis'}",True,152835,14,38,1664381804,1344581507,11896791,CC BY-SA 3.0,https://stackoverflow.com/questions/11896791/how-to-run-testng-from-command-line,How to run TestNG from command line,11897452.0,1472033942.0,,,1504947121.0,,,
34,"['java', 'oop', 'inheritance']","{'account_id': 970670, 'reputation': 1827, 'user_id': 1845188, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/0f10ac4968735c064ba2c24f33a8f296?s=256&d=identicon&r=PG', 'display_name': 'Amith', 'link': 'https://stackoverflow.com/users/1845188/amith'}",True,4492,5,2,1664114340,1343988345,11793564,,https://stackoverflow.com/questions/11793564/why-interface-used-in-java,why interface used in java,11793650.0,1495542552.0,1344002189.0,exact duplicate,,,,
35,"['java', 'spring', 'jdbc', 'struts2', 'websphere']","{'account_id': 1766407, 'reputation': 31, 'user_id': 1612196, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fe8b825f0d412bab08f562f456c0ab12?s=256&d=identicon&r=PG', 'display_name': 'user1612196', 'link': 'https://stackoverflow.com/users/1612196/user1612196'}",False,7723,1,3,1663999360,1345479494,12041353,CC BY-SA 3.0,https://stackoverflow.com/questions/12041353/javax-naming-configurationexception-after-migrating-to-was-8-5-and-java-1-7,javax.naming.ConfigurationException after migrating to WAS 8.5 and java 1.7,,1345906737.0,,,,,,
36,"['java', 'spring', 'hibernate', 'jsp', 'spring-mvc']","{'account_id': 929110, 'reputation': 5153, 'user_id': 959321, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/e48dba67de9e1199f6d9e83797f46fda?s=256&d=identicon&r=PG', 'display_name': 'Eugene', 'link': 'https://stackoverflow.com/users/959321/eugene'}",True,696371,32,454,1663852761,1343758691,11746499,CC BY-SA 4.0,https://stackoverflow.com/questions/11746499/how-to-solve-the-failed-to-lazily-initialize-a-collection-of-role-hibernate-ex,How to solve the “failed to lazily initialize a collection of role” Hibernate exception,11746720.0,1530080552.0,,,1533722815.0,,,
37,['java'],"{'account_id': 407683, 'reputation': 17854, 'user_id': 777906, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/17b38cdcaa72a56bb584fdc6b55b2693?s=256&d=identicon&r=PG', 'display_name': 'DJ180', 'link': 'https://stackoverflow.com/users/777906/dj180'}",True,270866,10,64,1663744790,1345248471,12014641,CC BY-SA 3.0,https://stackoverflow.com/questions/12014641/java-retrieving-an-element-from-a-hashset,Java: Retrieving an element from a HashSet,12014652.0,,,,1517725631.0,,,
38,"['java', 'collections', 'concurrency', 'hashmap']","{'account_id': 225067, 'reputation': 28393, 'user_id': 485337, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/VAz9B.jpg?s=256&g=1', 'display_name': 'Adam Arold', 'link': 'https://stackoverflow.com/users/485337/adam-arold'}",True,49686,6,54,1663396230,1343986438,11793067,CC BY-SA 3.0,https://stackoverflow.com/questions/11793067/how-does-concurrenthashmap-work-internally,How does ConcurrentHashMap work internally?,11793153.0,1375792716.0,,,,,,
39,"['java', 'android']","{'account_id': 1663282, 'reputation': 63, 'user_id': 1531170, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/cf4bf12bc76d40e259cc6c512f316735?s=256&d=identicon&r=PG', 'display_name': 'user1531170', 'link': 'https://stackoverflow.com/users/1531170/user1531170'}",False,8185,3,0,1663376950,1344669306,11912805,CC BY-SA 3.0,https://stackoverflow.com/questions/11912805/how-to-store-string-value-to-array-string-and-can-call-that-array-in-another-cla,how to store string value to array string and can call that array in another class to Print as string in single line,,1344675078.0,,,,,,
40,"['java', 'synchronization']","{'account_id': 1753748, 'reputation': 1147, 'user_id': 1602248, 'user_type': 'registered', 'accept_rate': 11, 'profile_image': 'https://www.gravatar.com/avatar/bca61b4f115cbf0238f5cdf3128eeff7?s=256&d=identicon&r=PG', 'display_name': 'Venk K', 'link': 'https://stackoverflow.com/users/1602248/venk-k'}",True,1849,3,0,1663353424,1345092656,11980891,CC BY-SA 3.0,https://stackoverflow.com/questions/11980891/java-synchronized-bank-account-transfer,java synchronized bank account transfer,,1345094009.0,,,,,,
41,"['java', 'hibernate', 'jpa', 'orm']","{'account_id': 201558, 'reputation': 19099, 'user_id': 448078, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://i.stack.imgur.com/i23wc.png?s=256&g=1', 'display_name': 'Mike', 'link': 'https://stackoverflow.com/users/448078/mike'}",True,578873,9,605,1663085799,1344874649,11938253,CC BY-SA 4.0,https://stackoverflow.com/questions/11938253/jpa-joincolumn-vs-mappedby,JPA JoinColumn vs mappedBy,11939045.0,1618350341.0,,,1433370910.0,,,
42,"['java', 'spring', 'tomcat', 'amazon-s3', 'sax']","{'account_id': 50590, 'reputation': 3332, 'user_id': 150992, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/743f1a63f29b0eed1316822df312bbad?s=256&d=identicon&r=PG', 'display_name': 'Eyal', 'link': 'https://stackoverflow.com/users/150992/eyal'}",True,6669,3,7,1662707495,1346251477,12180606,CC BY-SA 3.0,https://stackoverflow.com/questions/12180606/best-practice-creation-of-sax-parser-for-xmlreader,Best practice: Creation of SAX parser for XMLReader,,1350808579.0,,,,,,
43,"['java', 'date', 'jdbc', 'timestamp']","{'account_id': 1118413, 'reputation': 2207, 'user_id': 1107224, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://www.gravatar.com/avatar/2bee3c9de1ba102e2c6295813717851e?s=256&d=identicon&r=PG', 'display_name': 'Krishna Veni', 'link': 'https://stackoverflow.com/users/1107224/krishna-veni'}",True,584977,18,116,1662649199,1344313500,11839246,CC BY-SA 4.0,https://stackoverflow.com/questions/11839246/how-to-convert-timestamp-to-date-in-java,How to convert TimeStamp to Date in Java?,,1659867372.0,,,1517753039.0,,,
44,"['java', 'unit-testing', 'maven', 'automated-tests', 'sonarqube']","{'account_id': 433402, 'reputation': 4846, 'user_id': 818703, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/ZqjXZ.png?s=256&g=1', 'display_name': 'spauny', 'link': 'https://stackoverflow.com/users/818703/spauny'}",True,12283,2,4,1662632834,1344601693,11901697,CC BY-SA 3.0,https://stackoverflow.com/questions/11901697/sonar-how-to-run-unit-test-successfully,Sonar how to run unit test successfully,11902007.0,1484455791.0,,,,,,
45,"['java', '32bit-64bit', 'bytecode']","{'account_id': 1601522, 'reputation': 609, 'user_id': 1552578, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/e472683f28639be46f139167f67c250e?s=256&d=identicon&r=PG', 'display_name': 'Ankit', 'link': 'https://stackoverflow.com/users/1552578/ankit'}",True,1473,5,0,1662605262,1344331692,11842965,CC BY-SA 4.0,https://stackoverflow.com/questions/11842965/how-do-i-make-32-bit-or-64-bit-application,How do I make 32 bit or 64 bit application?,11843807.0,1662605262.0,,,,,,
46,"['java', 'native']","{'account_id': 451349, 'reputation': 23579, 'user_id': 847200, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/ac14814bcfc842f847af55f9b3ad55b5?s=256&d=identicon&r=PG', 'display_name': 'Arsen Zahray', 'link': 'https://stackoverflow.com/users/847200/arsen-zahray'}",True,42464,5,4,1662585957,1343932236,11783632,CC BY-SA 4.0,https://stackoverflow.com/questions/11783632/how-do-i-load-and-use-native-library-in-java,How do I load and use native library in java?,,1530104664.0,,,,,,
47,"['java', 'regex']","{'account_id': 463848, 'reputation': 1522, 'user_id': 866995, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/6nme0.jpg?s=256&g=1', 'display_name': 'jackalope', 'link': 'https://stackoverflow.com/users/866995/jackalope'}",True,926,2,1,1662236389,1345523989,12048524,CC BY-SA 3.0,https://stackoverflow.com/questions/12048524/how-to-match-an-maximum-length-regex-in-java,How to match an maximum length Regex in java,12048584.0,1399362506.0,,,,,,
