,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,protected_date,locked_date,migrated_from,community_owned_date
15,"['java', 'arrays', 'equality']","{'account_id': 1106348, 'reputation': 3336, 'user_id': 1097658, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/bcb25b6879ddea4d0772e39bdefd1399?s=256&d=identicon&r=PG', 'display_name': 'PandaConda', 'link': 'https://stackoverflow.com/users/1097658/pandaconda'}",True,202249,8777279.0,9,234,1665669000,1326023606,1578609516.0,8777257,CC BY-SA 4.0,https://stackoverflow.com/questions/8777257/equals-vs-arrays-equals-in-java,equals vs Arrays.equals in Java,,,,,,
16,"['java', 'windows']","{'account_id': 385366, 'reputation': 2238, 'user_id': 742465, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/63679c79f5f68c5c65f3f5da83f45222?s=256&d=identicon&r=PG', 'display_name': 'Mike', 'link': 'https://stackoverflow.com/users/742465/mike'}",True,66561,8963444.0,4,12,1665453702,1327256433,1495542881.0,8963413,,https://stackoverflow.com/questions/8963413/how-to-run-windows-commands-in-java-and-return-the-result-text-as-a-string,How to run Windows commands in JAVA and return the result text as a string,1327262372.0,exact duplicate,,,,
17,"['java', 'pdfbox']","{'account_id': 181974, 'reputation': 4846, 'user_id': 416352, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/c6ae31275700687ab42fc97f080cb2d3?s=256&d=identicon&r=PG', 'display_name': 'ipavlic', 'link': 'https://stackoverflow.com/users/416352/ipavlic'}",True,2933,9462373.0,2,2,1665112779,1325682578,1665112779.0,8727419,CC BY-SA 4.0,https://stackoverflow.com/questions/8727419/pdfbox-pdftextstripperbyarea-coordinates-shifted,Pdfbox PDFTextStripperByArea coordinates shifted,,,,,,
18,"['java', 'xml', 'xsd', 'jaxb']","{'account_id': 1010695, 'reputation': 727, 'user_id': 1023331, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/1ca636b144330f3c120642b11f35473e?s=256&d=identicon&r=PG', 'display_name': 'bunnyjesse112', 'link': 'https://stackoverflow.com/users/1023331/bunnyjesse112'}",True,6101,9082116.0,3,4,1664722153,1328021321,1328022600.0,9081527,CC BY-SA 3.0,https://stackoverflow.com/questions/9081527/jaxb-listserializable,JAXB - List&lt;Serializable&gt;?,,,,,,
19,"['java', 'glassfish', 'web.xml', 'jaas']","{'account_id': 1046478, 'reputation': 405, 'user_id': 1051357, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/86938dbf4c0eef3e547dfdca5646476f?s=256&d=identicon&r=PG', 'display_name': 'msaladin', 'link': 'https://stackoverflow.com/users/1051357/msaladin'}",True,13851,,2,17,1664469962,1326301248,1551890601.0,8823369,CC BY-SA 4.0,https://stackoverflow.com/questions/8823369/security-constraint-in-web-xml-for-authenticated-users-without-role-memberships,Security constraint in web.xml for authenticated users without role memberships,,,,,,
20,"['java', 'regex', 'matcher']","{'account_id': 424031, 'reputation': 11831, 'user_id': 803801, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/bf4b894dd2fe6b48c4e0265ce6956a31?s=256&d=identicon&r=PG', 'display_name': 'gsgx', 'link': 'https://stackoverflow.com/users/803801/gsgx'}",True,114161,8751574.0,3,124,1664287118,1325806465,,8751482,CC BY-SA 3.0,https://stackoverflow.com/questions/8751482/patternsyntaxexception-illegal-repetition-when-using-regex-in-java,PatternSyntaxException: Illegal Repetition when using regex in Java,,,,,,
21,"['java', 'android', 'instrumentation']","{'account_id': 334412, 'reputation': 1995, 'user_id': 660848, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://i.stack.imgur.com/9kpMm.jpg?s=256&g=1', 'display_name': 'wonderb0lt', 'link': 'https://stackoverflow.com/users/660848/wonderb0lt'}",True,8545,8857120.0,3,4,1663937828,1326476934,1495535274.0,8854936,CC BY-SA 3.0,https://stackoverflow.com/questions/8854936/unable-to-resolve-activity-for-intent-when-instrumentation-testing-android-acti,Unable to resolve activity for: Intent when instrumentation-testing android activities,,,,,,
22,"['java', 'performance', 'hashmap', 'time-complexity']","{'account_id': 120672, 'reputation': 38787, 'user_id': 313245, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/0f991af3360e1c039243ce45fab996bf?s=256&d=identicon&r=PG', 'display_name': 'Hossein', 'link': 'https://stackoverflow.com/users/313245/hossein'}",True,83251,8923300.0,4,65,1663762576,1326962986,1485368533.0,8923251,CC BY-SA 3.0,https://stackoverflow.com/questions/8923251/what-is-the-time-complexity-of-hashmap-containskey-in-java,What is the time complexity of HashMap.containsKey() in java?,,,,,,
23,"['java', 'annotations']","{'account_id': 63188, 'reputation': 19018, 'user_id': 187206, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/08c1ae65039303accc2d3d184be4c539?s=256&d=identicon&r=PG', 'display_name': 'Tom Tresansky', 'link': 'https://stackoverflow.com/users/187206/tom-tresansky'}",True,6442,8911027.0,2,22,1663746114,1326892645,,8910759,CC BY-SA 3.0,https://stackoverflow.com/questions/8910759/why-cant-i-suppresswarnings-on-a-package,Why Can&#39;t I SuppressWarnings on a Package?,,,,,,
24,"['java', 'caching', 'data-structures', 'collections']","{'account_id': 29836, 'reputation': 36072, 'user_id': 80901, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/fH9bB.png?s=256&g=1', 'display_name': 'mjn', 'link': 'https://stackoverflow.com/users/80901/mjn'}",True,5276,29042779.0,6,4,1663697501,1326031865,,8778225,CC BY-SA 3.0,https://stackoverflow.com/questions/8778225/object-cache-data-structure-with-object-expiration,Object cache data structure with &quot;object expiration&quot;,,,,,,
25,"['java', 'mongodb', 'mongo-java']","{'account_id': 288664, 'reputation': 8839, 'user_id': 589215, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://i.stack.imgur.com/7fskV.png?s=256&g=1', 'display_name': 'HolySamosa', 'link': 'https://stackoverflow.com/users/589215/holysamosa'}",True,40492,9071251.0,3,37,1663666695,1327959708,1344949829.0,9071192,CC BY-SA 3.0,https://stackoverflow.com/questions/9071192/push-and-set-in-same-mongodb-update,$push and $set in same MongoDB update,,,,,,
26,"['java', 'maven']","{'account_id': 3324, 'reputation': 14326, 'user_id': 4792, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/f060ef5efd636c5803ce894d7b87d5e8?s=256&d=identicon&r=PG', 'display_name': 'Kevin Wong', 'link': 'https://stackoverflow.com/users/4792/kevin-wong'}",True,4923,,2,11,1663635185,1325883845,1325884721.0,8764500,CC BY-SA 3.0,https://stackoverflow.com/questions/8764500/programmatically-getting-the-maven-version-of-your-project,Programmatically getting the Maven version of your project,,,,,,
27,"['java', 'collections', 'hashmap']","{'account_id': 1114418, 'reputation': 769, 'user_id': 1104121, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/13dc2ea5cf10f31ed411b116309ab0e7?s=256&d=identicon&r=PG', 'display_name': 'Namita', 'link': 'https://stackoverflow.com/users/1104121/namita'}",True,2742,,4,2,1663573692,1327079603,1495542602.0,8945224,CC BY-SA 3.0,https://stackoverflow.com/questions/8945224/get-all-missing-dates-from-the-list-of-dates-sorted,Get all missing dates from the list of Dates (Sorted),,,,,,
28,"['java', 'types', 'reference', 'primitive']","{'account_id': 1065296, 'reputation': 1037, 'user_id': 1066035, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/98e0852dcba92a4cc0cb6c4e58175844?s=256&d=identicon&r=PG', 'display_name': 'WestJackson', 'link': 'https://stackoverflow.com/users/1066035/westjackson'}",True,201672,8790847.0,9,79,1663062970,1326123037,1663061908.0,8790809,CC BY-SA 4.0,https://stackoverflow.com/questions/8790809/whats-the-difference-between-primitive-and-reference-types,What&#39;s the difference between primitive and reference types?,,,,,,
29,"['java', 'string', 'substring']","{'account_id': 972744, 'reputation': 1511, 'user_id': 994926, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://i.stack.imgur.com/K1Qvn.jpg?s=256&g=1', 'display_name': 'Navdroid', 'link': 'https://stackoverflow.com/users/994926/navdroid'}",True,38599,8815689.0,6,6,1662705888,1326266863,,8815633,CC BY-SA 3.0,https://stackoverflow.com/questions/8815633/how-to-use-stringutils-substringsbetween,How to use StringUtils.substringsBetween();?,,,,,,
30,"['java', 'android', 'bluetooth']","{'account_id': 451701, 'reputation': 1106, 'user_id': 847737, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/e12edafec2c48f32155c67086149e459?s=256&d=identicon&r=PG', 'display_name': 'Tiago', 'link': 'https://stackoverflow.com/users/847737/tiago'}",True,12592,8819640.0,4,8,1662633358,1325767852,1495542882.0,8742760,CC BY-SA 3.0,https://stackoverflow.com/questions/8742760/how-to-programmatically-set-discoverable-time-without-user-confirmation,How to programmatically set Discoverable time without user confirmation?,,,,,,
31,"['java', 'python', 'jython']","{'account_id': 447451, 'reputation': 1867, 'user_id': 841072, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/e3b0b1fcb6722ceeacc8414e0826abb9?s=256&d=identicon&r=PG', 'display_name': 'Shahab', 'link': 'https://stackoverflow.com/users/841072/shahab'}",True,216104,8899042.0,12,128,1662315141,1326820228,1648314154.0,8898765,CC BY-SA 4.0,https://stackoverflow.com/questions/8898765/calling-python-in-java,Calling Python in Java?,,,,,,
32,['java'],"{'account_id': 209722, 'reputation': 867, 'user_id': 460920, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/10ea58fd1c8456a24d9f671d446935df?s=256&d=identicon&r=PG', 'display_name': 'user460920', 'link': 'https://stackoverflow.com/users/460920/user460920'}",True,196383,9051232.0,23,35,1662087358,1327813831,1327816492.0,9051103,CC BY-SA 3.0,https://stackoverflow.com/questions/9051103/java-path-error-of-jvm-cfg,Java path..Error of jvm.cfg,,,1538633515.0,,,
33,"['java', 'spring', 'annotations', 'constraints', 'bean-validation']","{'account_id': 1133317, 'reputation': 969, 'user_id': 1118895, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/625d90fedb01f4b5017f8eacc08328cf?s=256&d=identicon&r=PG', 'display_name': 'Darshan Patil', 'link': 'https://stackoverflow.com/users/1118895/darshan-patil'}",True,165443,8758577.0,21,74,1661951720,1325847408,1332781806.0,8756768,CC BY-SA 3.0,https://stackoverflow.com/questions/8756768/annotations-from-javax-validation-constraints-not-working,Annotations from javax.validation.constraints not working,,,,,,
34,"['java', 'jakarta-ee', 'weblogic', 'classloader', 'weblogic-10.x']","{'account_id': 137183, 'reputation': 4518, 'user_id': 341191, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/f79ce052be9b1990c42b16ae93948e70?s=256&d=identicon&r=PG', 'display_name': 'Sammy', 'link': 'https://stackoverflow.com/users/341191/sammy'}",False,11203,,1,2,1661731320,1325868958,1325869553.0,8761410,CC BY-SA 3.0,https://stackoverflow.com/questions/8761410/java-net-connectexception-after-adding-weblogic-application-xml,java.net.ConnectException: after adding weblogic-application.xml,,,,,,
35,"['java', 'android', 'eclipse', 'networking', 'proxy']","{'account_id': 440450, 'reputation': 61, 'user_id': 830015, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e0a1de5b966f31850b74521fc431e6c8?s=256&d=identicon&r=PG', 'display_name': 'Srikanth Pasumarthy', 'link': 'https://stackoverflow.com/users/830015/srikanth-pasumarthy'}",False,9572,,4,6,1661731320,1326283204,1417517117.0,8818868,CC BY-SA 3.0,https://stackoverflow.com/questions/8818868/java-net-socketexception-address-family-not-supported-by-protocol-in-android-em,java.net.SocketException: Address family not supported by protocol in android emulator,,,,,,
36,"['java', 'lucene']","{'account_id': 120672, 'reputation': 38787, 'user_id': 313245, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/0f991af3360e1c039243ce45fab996bf?s=256&d=identicon&r=PG', 'display_name': 'Hossein', 'link': 'https://stackoverflow.com/users/313245/hossein'}",True,15008,8910072.0,6,10,1661428286,1326889190,,8910008,CC BY-SA 3.0,https://stackoverflow.com/questions/8910008/how-can-i-get-the-list-of-unique-terms-from-a-specific-field-in-lucene,How can I get the list of unique terms from a specific field in Lucene?,,,,,,
37,"['java', 'jacob']","{'account_id': 1072448, 'reputation': 1, 'user_id': 1071399, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ff2b7ee00286bfc4427bb30d19893d24?s=256&d=identicon&r=PG', 'display_name': 'abarnai', 'link': 'https://stackoverflow.com/users/1071399/abarnai'}",False,12886,,2,0,1661302880,1326125918,,8791551,CC BY-SA 3.0,https://stackoverflow.com/questions/8791551/accessing-sheets-saving-excel-files-java-java-com-bridge-jacob-jacob-1-16,"Accessing Sheets, Saving Excel files, Java, Java Com Bridge ( Jacob jacob-1.16)",,,,,,
38,"['java', 'hibernate', 'jpa', 'playframework']","{'account_id': 230750, 'reputation': 4826, 'user_id': 494540, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/60306652129b41e624d64d04fec33100?s=256&d=identicon&r=PG&f=1', 'display_name': 'emt14', 'link': 'https://stackoverflow.com/users/494540/emt14'}",True,29532,8877470.0,4,10,1660926745,1326697150,,8876670,CC BY-SA 3.0,https://stackoverflow.com/questions/8876670/jpa-array-mapping,JPA Array Mapping,,,,,,
39,"['java', 'hibernate', 'exception']","{'account_id': 1016954, 'reputation': 2421, 'user_id': 1028315, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/3691596914ed73b42426211ab057240a?s=256&d=identicon&r=PG', 'display_name': 'lucky_start_izumi', 'link': 'https://stackoverflow.com/users/1028315/lucky-start-izumi'}",True,108241,8901922.0,4,4,1660817026,1326827200,,8900221,CC BY-SA 3.0,https://stackoverflow.com/questions/8900221/org-hibernate-exception-genericjdbcexception-could-not-execute-query,org.hibernate.exception.GenericJDBCException: could not execute query,,,,,,
40,"['java', 'pool']","{'account_id': 1147536, 'reputation': 1022, 'user_id': 1129964, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/c9e598d9c4552013ef492e54e3a3f128?s=256&d=identicon&r=PG', 'display_name': 'Ravi Bhojani', 'link': 'https://stackoverflow.com/users/1129964/ravi-bhojani'}",True,28125,8927960.0,3,18,1660083673,1326967269,1344693413.0,8924086,CC BY-SA 3.0,https://stackoverflow.com/questions/8924086/how-to-create-an-object-pool-to-be-able-to-borrow-and-return-objects,How to create an object pool to be able to borrow and return objects,,,,,,
41,"['java', 'bitmap', 'bufferedimage', 'image-resizing', 'javax.imageio']","{'account_id': 1118646, 'reputation': 3893, 'user_id': 1107412, 'user_type': 'registered', 'accept_rate': 37, 'profile_image': 'https://i.stack.imgur.com/96ODm.png?s=256&g=1', 'display_name': 'Preslav Rachev', 'link': 'https://stackoverflow.com/users/1107412/preslav-rachev'}",True,8209,,2,17,1659862976,1327325247,1400269841.0,8972357,CC BY-SA 3.0,https://stackoverflow.com/questions/8972357/manipulate-an-image-without-deleting-its-exif-data,Manipulate an image without deleting its EXIF data,,,,,,
42,"['java', 'class', 'jvm', 'opcode']","{'account_id': 133139, 'reputation': 22476, 'user_id': 334274, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/4891f30a2bc202930df6ef5eab248bdf?s=256&d=identicon&r=PG', 'display_name': 'Jivings', 'link': 'https://stackoverflow.com/users/334274/jivings'}",True,4583,8950564.0,2,34,1659465832,1327108927,1592644375.0,8949933,CC BY-SA 4.0,https://stackoverflow.com/questions/8949933/what-is-the-purpose-of-the-acc-super-access-flag-on-java-class-files,What is the purpose of the ACC_SUPER access flag on Java Class files?,,,,,,
43,"['java', 'android', 'eclipse']","{'account_id': 1073339, 'reputation': 101, 'user_id': 1072082, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/625a1e67ce3438315fa63d14bd204ea1?s=256&d=identicon&r=PG', 'display_name': 'Strife', 'link': 'https://stackoverflow.com/users/1072082/strife'}",True,13633,8767692.0,6,7,1659261199,1325914366,1656935294.0,8767655,CC BY-SA 4.0,https://stackoverflow.com/questions/8767655/application-name-center-alignment-in-android,application name center alignment in android,,,,,,
44,"['java', 'algorithm', 'combinations']","{'account_id': 345492, 'reputation': 721, 'user_id': 678458, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/92052d7ba932299d6415ab172f226405?s=256&d=identicon&r=PG', 'display_name': 'john', 'link': 'https://stackoverflow.com/users/678458/john'}",True,77405,8965943.0,11,20,1659249510,1327277260,,8965926,CC BY-SA 3.0,https://stackoverflow.com/questions/8965926/algorithm-to-generate-all-combinations-of-a-string,Algorithm to generate all combinations of a string,,,1658556544.0,,,
45,"['java', 'sorting', 'collections']","{'account_id': 30602, 'reputation': 12026, 'user_id': 83501, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/5df021d6aa9b519cc7f1209e7f9e8237?s=256&d=identicon&r=PG', 'display_name': 'Jijoy', 'link': 'https://stackoverflow.com/users/83501/jijoy'}",True,608560,8725470.0,13,603,1658995503,1325673353,1587242393.0,8725387,CC BY-SA 4.0,https://stackoverflow.com/questions/8725387/why-is-there-no-sortedlist-in-java,Why is there no SortedList in Java?,,,1373631133.0,,,
46,"['java', 'android', 'url']","{'account_id': 937143, 'reputation': 670, 'user_id': 965870, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://i.stack.imgur.com/XAXaS.jpg?s=256&g=1', 'display_name': 'Rebecca', 'link': 'https://stackoverflow.com/users/965870/rebecca'}",True,44504,,2,34,1658420580,1327293649,1621251263.0,8967253,,https://stackoverflow.com/questions/8967253/how-do-i-decode-url-in-android-application,How do I decode URL in Android Application?,1621251254.0,Duplicate,,,,
47,"['java', 'jsp', 'cookies']","{'user_type': 'does_not_exist', 'display_name': 'user918477'}",True,40029,8908380.0,6,6,1658384719,1326880258,,8908110,CC BY-SA 3.0,https://stackoverflow.com/questions/8908110/how-to-delete-the-cookies-in-jsp-java,how to delete the cookies in jsp/java,,,,,,
