,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,community_owned_date,closed_reason,protected_date,locked_date
10,"['java', 'python', 'class', 'instantiation']","{'account_id': 5612, 'reputation': 1408, 'user_id': 9133, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/84352f57cec27c3d5324e2ce5b0f9cc1?s=256&d=identicon&r=PG', 'display_name': 'Jason', 'link': 'https://stackoverflow.com/users/9133/jason'}",True,60660,452981.0,7,109,1663614177,1232179848,1380392201.0,452969,CC BY-SA 3.0,https://stackoverflow.com/questions/452969/does-python-have-an-equivalent-to-java-class-forname,Does python have an equivalent to Java Class.forName()?,,,,,
11,"['java', 'jakarta-ee', 'transactions', 'ejb']","{'user_type': 'does_not_exist', 'display_name': 'Koos Gadellaa'}",True,25696,,3,23,1663084854,1231491745,1663084854.0,427452,CC BY-SA 4.0,https://stackoverflow.com/questions/427452/ejb-transactions-in-local-method-calls,EJB Transactions in local method-calls,,,,,
12,"['java', 'hibernate', 'jpa']","{'account_id': 326, 'reputation': 20754, 'user_id': 409, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/1272cf03396632f8e3c451baec5ef4b2?s=256&d=identicon&r=PG', 'display_name': 'Brian Deacon', 'link': 'https://stackoverflow.com/users/409/brian-deacon'}",True,16010,408522.0,4,9,1661973251,1230930922,,408051,CC BY-SA 2.5,https://stackoverflow.com/questions/408051/ordering-return-of-child-objects-in-jpa-query,Ordering return of Child objects in JPA query,,,,,
13,"['java', 'instanceof', 'reflection']","{'account_id': 22128, 'reputation': 6167, 'user_id': 54318, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/257a4c1c96efd50422fa68282d54c858?s=256&d=identicon&r=PG', 'display_name': 'Megamug', 'link': 'https://stackoverflow.com/users/54318/megamug'}",True,277678,497001.0,15,497,1661879775,1233344664,,496928,CC BY-SA 2.5,https://stackoverflow.com/questions/496928/what-is-the-difference-between-instanceof-and-class-isassignablefrom,What is the difference between instanceof and Class.isAssignableFrom(...)?,,,,1376768379.0,
14,"['java', 'http', 'multipart']","{'account_id': 21518, 'reputation': 111, 'user_id': 52386, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/279a5456eb83dba3e3107b91838f13df?s=256&d=identicon&r=PG', 'display_name': 'user52386', 'link': 'https://stackoverflow.com/users/52386/user52386'}",True,10890,,4,10,1661799022,1231324632,,419850,CC BY-SA 2.5,https://stackoverflow.com/questions/419850/java-receive-a-multipart-http-response,Java: Receive a multipart HTTP response,,,,,
15,"['java', 'null', 'garbage-collection']","{'account_id': 10893, 'reputation': 47747, 'user_id': 20774, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/3e32e31d4c24c1558abd6567f2ab60ba?s=256&d=identicon&r=PG', 'display_name': 'James McMahon', 'link': 'https://stackoverflow.com/users/20774/james-mcmahon'}",True,44103,449425.0,15,87,1661248008,1232076602,1510212826.0,449409,CC BY-SA 3.0,https://stackoverflow.com/questions/449409/does-assigning-objects-to-null-in-java-impact-garbage-collection,Does assigning objects to null in Java impact garbage collection?,,,,1585416692.0,
16,"['java', 'junit', 'compare', 'text-files']","{'account_id': 11744, 'reputation': 10287, 'user_id': 22801, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://lh6.googleusercontent.com/-1X_nBDNxQDM/AAAAAAAAAAI/AAAAAAAABHs/cRkZff9kABA/photo.jpg?sz=256', 'display_name': 'jon077', 'link': 'https://stackoverflow.com/users/22801/jon077'}",True,67629,466872.0,9,52,1660830148,1232569646,1514861495.0,466841,CC BY-SA 3.0,https://stackoverflow.com/questions/466841/comparing-text-files-with-junit,Comparing text files with Junit,,,,,
17,"['java', 'json', 'parsing', 'collections']","{'account_id': 12285, 'reputation': 8561, 'user_id': 24097, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/9ea36cff24bc7ee0dae2fd641366a59c?s=256&d=identicon&r=PG', 'display_name': 'David Santamaria', 'link': 'https://stackoverflow.com/users/24097/david-santamaria'}",True,648561,583634.0,19,234,1660669210,1231948838,1511821135.0,443499,CC BY-SA 3.0,https://stackoverflow.com/questions/443499/convert-json-to-map,Convert JSON to Map,,,,,
18,"['java', 'swing', 'serialization', 'stack-overflow']","{'account_id': 22211, 'reputation': 10830, 'user_id': 54564, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/f640abf404f67c7e9a51a24d44dde700?s=256&d=identicon&r=PG', 'display_name': 'utdiscant', 'link': 'https://stackoverflow.com/users/54564/utdiscant'}",True,16053,439016.0,8,11,1659946223,1231852050,1265237561.0,438875,CC BY-SA 2.5,https://stackoverflow.com/questions/438875/stackoverflowerror-when-serializing-an-object-in-java,StackOverflowError when serializing an object in Java,,,,,
19,"['java', 'hibernate']","{'account_id': 988, 'reputation': 83881, 'user_id': 1310, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/9cb44812fc259d55c656dd8038ea5af3?s=256&d=identicon&r=PG', 'display_name': 'ScArcher2', 'link': 'https://stackoverflow.com/users/1310/scarcher2'}",True,9187,447507.0,3,7,1659380181,1232037163,,447478,CC BY-SA 2.5,https://stackoverflow.com/questions/447478/how-do-i-map-a-char1-to-a-boolean-using-hibernate-for-java,How do I map a CHAR(1) to a boolean using Hibernate for Java?,,,,,
20,"['java', 'excel', 'jsp', 'tomcat', 'export']","{'account_id': 13052, 'reputation': 35709, 'user_id': 26004, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/1ef891089f11c306cc49e2e8dedaed88?s=256&d=identicon&r=PG', 'display_name': 'fmsf', 'link': 'https://stackoverflow.com/users/26004/fmsf'}",True,30008,477951.0,7,5,1659050818,1232900563,1330549026.0,477886,CC BY-SA 3.0,https://stackoverflow.com/questions/477886/jsp-generating-excel-spreadsheet-xls-to-download,JSP generating Excel spreadsheet (XLS) to download,,,,,
21,['java'],"{'account_id': 4942, 'reputation': 15553, 'user_id': 7679, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/1df97512db6ae6bdf07e4dc1fc2f2919?s=256&d=identicon&r=PG', 'display_name': 'Chase Seibert', 'link': 'https://stackoverflow.com/users/7679/chase-seibert'}",True,67547,487963.0,12,30,1658784315,1233154577,1233155369.0,487906,CC BY-SA 2.5,https://stackoverflow.com/questions/487906/java-phone-number-format-api,Java phone number format API,,,,,
22,"['java', 'base64']","{'account_id': 1158, 'reputation': 6371, 'user_id': 1539, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/1451fbaf7c12f9604b3c303d9a0fce3b?s=256&d=identicon&r=PG', 'display_name': 'Ryan P', 'link': 'https://stackoverflow.com/users/1539/ryan-p'}",True,869893,2054226.0,21,528,1658485541,1232639718,1351068647.0,469695,CC BY-SA 3.0,https://stackoverflow.com/questions/469695/decode-base64-data-in-java,Decode Base64 data in Java,,,,1350320858.0,
23,"['java', 'class-constants']","{'account_id': 12462, 'reputation': 158456, 'user_id': 24545, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://i.stack.imgur.com/omB1R.jpg?s=256&g=1', 'display_name': 'Yuval Adam', 'link': 'https://stackoverflow.com/users/24545/yuval-adam'}",True,142563,479582.0,11,109,1656111614,1232971209,1405151481.0,479565,CC BY-SA 3.0,https://stackoverflow.com/questions/479565/how-do-you-define-a-class-of-constants-in-java,How do you define a class of constants in Java?,,,,1553179050.0,
24,"['java', 'date', 'calendar', 'hour', 'minute']","{'account_id': 4105, 'reputation': 273226, 'user_id': 6068, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/931970b8dc51b72e05e3a12b88612d61?s=256&d=identicon&r=PG', 'display_name': 'pupeno', 'link': 'https://stackoverflow.com/users/6068/pupeno'}",True,61275,460312.0,4,33,1655127437,1232434041,,460293,CC BY-SA 2.5,https://stackoverflow.com/questions/460293/how-do-you-set-the-time-and-only-the-time-in-a-calendar-in-java,How do you set the time and only the time in a calendar in Java?,,,,,
25,"['java', 'unit-testing', 'guice']","{'account_id': 21279, 'reputation': 20470, 'user_id': 51577, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/cbfaeb8d0e2ee5da976331d2cb13d0ec?s=256&d=identicon&r=PG', 'display_name': 'tddmonkey', 'link': 'https://stackoverflow.com/users/51577/tddmonkey'}",True,81626,531110.0,5,156,1653484107,1233056531,1233223338.0,483087,CC BY-SA 2.5,https://stackoverflow.com/questions/483087/overriding-binding-in-guice,Overriding Binding in Guice,,,,,
26,"['java', 'date']","{'account_id': 9045, 'reputation': 32844, 'user_id': 16534, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://i.stack.imgur.com/JnmCP.jpg?s=256&g=1', 'display_name': 'Mike Sickler', 'link': 'https://stackoverflow.com/users/16534/mike-sickler'}",True,255650,494200.0,17,119,1653035547,1233279068,1651077176.0,494180,CC BY-SA 4.0,https://stackoverflow.com/questions/494180/how-do-i-check-if-a-date-is-within-a-certain-range,How do I check if a date is within a certain range?,,,,,
27,"['java', 'naming-conventions', 'oop']","{'account_id': 20530, 'reputation': 255145, 'user_id': 49153, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/833df8cee775eea743cb1172dfcd3809?s=256&d=identicon&r=PG', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/49153/ali'}",True,83492,414029.0,7,22,1652815651,1231179331,1652814419.0,414001,CC BY-SA 4.0,https://stackoverflow.com/questions/414001/variable-naming-conventions-in-java,Variable naming conventions in Java,,,,,
28,"['java', 'multithreading', 'synchronization', 'synchronized']","{'account_id': 14630, 'reputation': 16538, 'user_id': 30316, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/01d79f038deccf8820e98fb2e3b08f9b?s=256&d=identicon&r=PG', 'display_name': 'eljenso', 'link': 'https://stackoverflow.com/users/30316/eljenso'}",True,152449,442601.0,23,401,1652769633,1231929474,1495540484.0,442564,CC BY-SA 3.0,https://stackoverflow.com/questions/442564/avoid-synchronizedthis-in-java,Avoid synchronized(this) in Java?,,,,,
29,"['java', 'terminal', 'console', 'console-application', 'gnu-screen']","{'account_id': 22219, 'reputation': 1930, 'user_id': 54591, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/788047e0220776df6c1a73817c51f939?s=256&d=identicon&r=PG', 'display_name': 'Francisco Canedo', 'link': 'https://stackoverflow.com/users/54591/francisco-canedo'}",True,83505,439847.0,5,111,1651517607,1231865779,1385592291.0,439799,,https://stackoverflow.com/questions/439799/whats-a-good-java-curses-like-library-for-terminal-applications,"What&#39;s a good Java, curses-like, library for terminal applications?",1487991746.0,,Not suitable for this site,,
30,"['java', 'swing', 'jbutton']","{'account_id': 16866, 'reputation': 7943, 'user_id': 37190, 'user_type': 'registered', 'accept_rate': 31, 'profile_image': 'https://www.gravatar.com/avatar/ca56149fb5e6eb0fd0dc7f1bbd576d76?s=256&d=identicon&r=PG', 'display_name': 'Jos&#233; Leal', 'link': 'https://stackoverflow.com/users/37190/jos%c3%a9-leal'}",True,115032,,9,22,1650575234,1231413930,1440443001.0,423950,CC BY-SA 3.0,https://stackoverflow.com/questions/423950/rounded-swing-jbutton-using-java,Rounded Swing JButton using Java,,,,,
31,"['java', 'hash', 'md5', 'hashcode']","{'account_id': 145975, 'reputation': 11673, 'user_id': 356145, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/3858f299d4726d0033187eba7fc1861c?s=256&d=identicon&r=PG', 'display_name': 'Akshay', 'link': 'https://stackoverflow.com/users/356145/akshay'}",True,1120341,415956.0,34,1078,1650502993,1231235112,1632336782.0,415953,CC BY-SA 4.0,https://stackoverflow.com/questions/415953/how-can-i-generate-an-md5-hash-in-java,How can I generate an MD5 hash in Java?,,,,1478838843.0,
32,"['java', 'jpa', 'jakarta-ee']","{'account_id': 18523, 'reputation': 5587, 'user_id': 42512, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/87f1d622f5821af5e72fe7a93d9abb8a?s=256&d=identicon&r=PG', 'display_name': 'Gennady Shumakher', 'link': 'https://stackoverflow.com/users/42512/gennady-shumakher'}",True,88308,642805.0,6,106,1649100248,1231242019,1261411935.0,416208,CC BY-SA 2.5,https://stackoverflow.com/questions/416208/jpa-map-collection-of-enums,JPA map collection of Enums,,,,,
33,"['java', 'jsp', 'maven-2', 'jsf']","{'account_id': 18028, 'reputation': 38868, 'user_id': 40933, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/a088b1abe4432e21f41875645347d705?s=256&d=identicon&r=PG', 'display_name': 'Warrior', 'link': 'https://stackoverflow.com/users/40933/warrior'}",True,898,,2,1,1648155450,1230895226,1648155450.0,406533,CC BY-SA 4.0,https://stackoverflow.com/questions/406533/which-dependency-should-be-added-in-pom-file-to-import-org-apache-tiles-controll,Which dependency should be added in pom file to import org.apache.tiles.controller?,,,,,
34,"['java', 'static', 'oop', 'language-features', 'restriction']","{'account_id': 20530, 'reputation': 255145, 'user_id': 49153, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/833df8cee775eea743cb1172dfcd3809?s=256&d=identicon&r=PG', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/49153/ali'}",True,836924,413904.0,22,461,1647459243,1231177298,1429432151.0,413898,CC BY-SA 3.0,https://stackoverflow.com/questions/413898/what-does-the-static-keyword-do-in-a-class,What does the &#39;static&#39; keyword do in a class?,,,,1447603423.0,
35,"['javascript', 'java', 'code-translation']","{'account_id': 22170, 'reputation': 27668, 'user_id': 54426, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://i.stack.imgur.com/dYp2m.png?s=256&g=1', 'display_name': 'Rich Apodaca', 'link': 'https://stackoverflow.com/users/54426/rich-apodaca'}",True,42757,,8,53,1646852090,1231873276,1438616387.0,440302,CC BY-SA 3.0,https://stackoverflow.com/questions/440302/how-to-cross-compile-java-source-code-to-javascript,How to Cross-Compile Java Source Code to JavaScript?,,,,,
36,"['java', 'serialization', 'object-serialization']","{'account_id': 18028, 'reputation': 38868, 'user_id': 40933, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/a088b1abe4432e21f41875645347d705?s=256&d=identicon&r=PG', 'display_name': 'Warrior', 'link': 'https://stackoverflow.com/users/40933/warrior'}",True,320686,447920.0,15,418,1646628971,1232044374,1349998347.0,447898,CC BY-SA 3.0,https://stackoverflow.com/questions/447898/what-is-object-serialization,What is object serialization?,,,,1401489555.0,
37,"['java', 'variables', 'initialization']","{'account_id': 5641, 'reputation': 4286, 'user_id': 9195, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/0756fd32239cf4414acd76fb1225aa0c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Shivasubramanian A', 'link': 'https://stackoverflow.com/users/9195/shivasubramanian-a'}",True,75305,,16,112,1646391805,1231225427,1466575458.0,415687,CC BY-SA 3.0,https://stackoverflow.com/questions/415687/why-are-local-variables-not-initialized-in-java,Why are local variables not initialized in Java?,,,,,
38,"['java', 'formatting', 'zero-pad']","{'account_id': 10732, 'reputation': 53497, 'user_id': 20400, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/40bd6fa511aed8cab1e12bb104b88b4e?s=256&d=identicon&r=PG', 'display_name': 'Omar Kooheji', 'link': 'https://stackoverflow.com/users/20400/omar-kooheji'}",True,767570,473309.0,18,1176,1646108439,1232724084,1529852016.0,473282,CC BY-SA 4.0,https://stackoverflow.com/questions/473282/how-can-i-pad-an-integer-with-zeros-on-the-left,How can I pad an integer with zeros on the left?,,,,1378223499.0,
39,"['java', '.net', '.net-3.5', 'linkedhashmap']","{'account_id': 49953, 'reputation': 20512, 'user_id': 148909, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/27ed4bac83aae5c5a3a573a131d23e71?s=256&d=identicon&r=PG', 'display_name': 'Schildmeijer', 'link': 'https://stackoverflow.com/users/148909/schildmeijer'}",True,12776,487005.0,8,26,1645570511,1233133119,1404142386.0,486948,CC BY-SA 3.0,https://stackoverflow.com/questions/486948/linkedhashmap-in-net,LinkedHashMap in .NET,,,,,
40,"['java', 'jvm', 'heap-dump', 'thread-dump']","{'user_type': 'does_not_exist', 'display_name': 'macgreg'}",True,574589,,20,262,1644615358,1230920251,1524654083.0,407612,CC BY-SA 3.0,https://stackoverflow.com/questions/407612/how-to-get-a-thread-and-heap-dump-of-a-java-process-on-windows-thats-not-runnin,How to get a thread and heap dump of a Java process on Windows that&#39;s not running in a console,,,,1616493632.0,
41,"['java', 'loops', 'for-loop', 'foreach']","{'account_id': 23088, 'reputation': 21496, 'user_id': 57601, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/7686f864c5f288c6d9f1760546abe64a?s=256&d=identicon&r=PG', 'display_name': 'Kosi2801', 'link': 'https://stackoverflow.com/users/57601/kosi2801'}",True,284063,477592.0,15,325,1643713200,1232881537,1485520089.0,477550,CC BY-SA 3.0,https://stackoverflow.com/questions/477550/is-there-a-way-to-access-an-iteration-counter-in-javas-for-each-loop,Is there a way to access an iteration-counter in Java&#39;s for-each loop?,,,,,
42,"['java', 'python', 'ruby', 'multithreading', 'concurrency']","{'account_id': 1636, 'reputation': 20576, 'user_id': 2197, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/594ce48419604cfc222d377f49d65975?s=256&d=identicon&r=PG', 'display_name': 'David Koelle', 'link': 'https://stackoverflow.com/users/2197/david-koelle'}",True,573,,5,7,1642663444,1231869162,1236625831.0,440036,CC BY-SA 2.5,https://stackoverflow.com/questions/440036/re-creating-threading-and-concurrency-knowledge-in-increasingly-popular-language,Re-creating threading and concurrency knowledge in increasingly popular languages,,,,,
43,"['java', 'sorting', 'collections']","{'user_type': 'does_not_exist', 'display_name': 'rohan'}",True,213379,,21,167,1642483902,1231243325,1431638153.0,416266,CC BY-SA 3.0,https://stackoverflow.com/questions/416266/sorted-collection-in-java,Sorted collection in Java,,,,,
44,"['java', 'jar']","{'user_type': 'does_not_exist', 'display_name': 'Dikla'}",True,18372,,8,46,1642403169,1233041570,,482560,CC BY-SA 2.5,https://stackoverflow.com/questions/482560/can-you-tell-on-runtime-if-youre-running-java-from-within-a-jar,Can you tell on runtime if you&#39;re running java from within a jar?,,,,,
45,"['java', 'generics']","{'account_id': 878605, 'reputation': 37342, 'user_id': 48728, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://www.gravatar.com/avatar/a8ed2d5ba8489bd3d09ffd3fc9d7d646?s=256&d=identicon&r=PG', 'display_name': 'ForYourOwnGood', 'link': 'https://stackoverflow.com/users/48728/foryourowngood'}",True,48460,,13,73,1641544923,1233190593,1485369310.0,490091,CC BY-SA 3.0,https://stackoverflow.com/questions/490091/java-generics-list-listobject-list,"Java Generics: List, List&lt;Object&gt;, List&lt;?&gt;",,,,,
46,"['java', 'concurrency', 'reentrantreadwritelock']","{'account_id': 19462, 'reputation': 101169, 'user_id': 45664, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/YPWiu.png?s=256&g=1', 'display_name': 'Andrzej Doyle', 'link': 'https://stackoverflow.com/users/45664/andrzej-doyle'}",True,43444,464824.0,12,71,1640682666,1232534538,1640682666.0,464784,CC BY-SA 4.0,https://stackoverflow.com/questions/464784/java-reentrantreadwritelocks-how-to-safely-acquire-write-lock-when-in-a-read-l,Java ReentrantReadWriteLocks - how to safely acquire write lock when in a read lock?,,,,,
47,"['java', 'unit-testing', 'junit']","{'account_id': 17822, 'reputation': 39248, 'user_id': 40310, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/8afe5283fb2d5f0a817c9c9ea4fa925e?s=256&d=identicon&r=PG', 'display_name': 'Dave Ray', 'link': 'https://stackoverflow.com/users/40310/dave-ray'}",True,144824,1426730.0,16,261,1639572290,1232725874,1540643641.0,473401,CC BY-SA 4.0,https://stackoverflow.com/questions/473401/get-name-of-currently-executing-test-in-junit-4,Get name of currently executing test in JUnit 4,,,,,
48,"['java', 'class', 'static', 'methods', 'synchronized']","{'account_id': 17315, 'reputation': 15479, 'user_id': 38663, 'user_type': 'registered', 'accept_rate': 27, 'profile_image': 'https://www.gravatar.com/avatar/861ea6ce72bc3d44204d40cb896512d5?s=256&d=identicon&r=PG', 'display_name': 'jbu', 'link': 'https://stackoverflow.com/users/38663/jbu'}",True,100742,437627.0,8,150,1639267940,1231807719,1587696946.0,437620,CC BY-SA 4.0,https://stackoverflow.com/questions/437620/java-synchronized-static-methods-lock-on-object-or-class,Java synchronized static methods: lock on object or class,,,,,
49,"['java', 'lucene']","{'user_type': 'does_not_exist', 'display_name': 'James'}",True,11062,442599.0,5,12,1637523154,1231927205,1637523154.0,442463,CC BY-SA 4.0,https://stackoverflow.com/questions/442463/finding-the-number-of-documents-in-a-lucene-index,Finding the number of documents in a Lucene index,,,,,
50,"['java', 'serialization', 'serialversionuid']","{'account_id': 9943, 'reputation': 28114, 'user_id': 18573, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/08b7b48e82ea72294df4a3382ac0da9b?s=256&d=identicon&r=PG', 'display_name': 'Miserable Variable', 'link': 'https://stackoverflow.com/users/18573/miserable-variable'}",True,7236,419807.0,6,25,1637431962,1231322420,1637431962.0,419796,CC BY-SA 4.0,https://stackoverflow.com/questions/419796/explicit-serialversionuid-considered-harmful,explicit serialVersionUID considered harmful?,,,,,
