,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,community_owned_date,closed_date,closed_reason,migrated_from
10,"['java', 'google-drive-api', 'google-drive-android-api']","{'account_id': 1507366, 'reputation': 2096, 'user_id': 1410434, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/f1a25416629621ccc7bdf78c32a17233?s=256&d=identicon&r=PG', 'display_name': 'Jerome', 'link': 'https://stackoverflow.com/users/1410434/jerome'}",True,175,2,1,1667654792,1348846787,12643111,CC BY-SA 4.0,https://stackoverflow.com/questions/12643111/how-can-i-get-only-the-shared-with-me-file-in-google-drive,How Can I Get Only The &quot;Shared with me&quot; File In Google Drive,12645015.0,1667654792.0,,,,,
11,"['java', 'unit-testing', 'mockito']","{'account_id': 1753787, 'reputation': 711, 'user_id': 1602280, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://www.gravatar.com/avatar/606c62bbcfc167cdf314d1fe18e5a4fc?s=256&d=identicon&r=PG', 'display_name': 'spal', 'link': 'https://stackoverflow.com/users/1602280/spal'}",True,39867,4,31,1667574958,1348676423,12606148,CC BY-SA 3.0,https://stackoverflow.com/questions/12606148/passing-parameterized-input-using-mockitos,passing Parameterized input using Mockitos,12606503.0,1348686849.0,,,,,
12,"['java', 'wildcard', 'converter', 'subnet', 'cidr']","{'account_id': 433739, 'reputation': 924, 'user_id': 819262, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/cabc7fa32e2f7d20df414d29645e90a5?s=256&d=identicon&r=PG', 'display_name': 'denizeren', 'link': 'https://stackoverflow.com/users/819262/denizeren'}",True,859,3,3,1667398568,1348148858,12514050,CC BY-SA 3.0,https://stackoverflow.com/questions/12514050/convert-wildcard-subnet-to-smallest-cidr-subnet-list,Convert wildcard subnet to smallest cidr subnet list,12514243.0,1348207493.0,,,,,
13,"['java', 'sorting', 'arraylist', 'hashmap']","{'account_id': 892560, 'reputation': 4280, 'user_id': 930544, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://i.stack.imgur.com/2Tw9W.png?s=256&g=1', 'display_name': 'Nidheesh', 'link': 'https://stackoverflow.com/users/930544/nidheesh'}",True,45480,12,5,1667289488,1348637516,12595097,CC BY-SA 3.0,https://stackoverflow.com/questions/12595097/java-lang-classcastexception-java-util-hashmap-cannot-be-cast-to-java-lang-comp,java.lang.ClassCastException: java.util.HashMap cannot be cast to java.lang.Comparable,12595206.0,,,,,,
14,"['java', 'memory-leaks']","{'account_id': 1658137, 'reputation': 25979, 'user_id': 1527084, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/3c93245c8f90bb4256781ab91e212821?s=256&d=identicon&r=PG', 'display_name': 'Geek', 'link': 'https://stackoverflow.com/users/1527084/geek'}",True,178,2,0,1667034215,1346653332,12242904,CC BY-SA 3.0,https://stackoverflow.com/questions/12242904/understanding-memory-leaks-in-java-what-are-the-classes-that-persist-through-o,Understanding memory leaks in Java . What are the classes that persist through out the life of a Java application? ,12242950.0,,,,,,
15,"['java', 'google-maps']","{'account_id': 1412884, 'reputation': 41, 'user_id': 1339152, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a58a8da650aa66044c95f4e4fad0f681?s=256&d=identicon&r=PG', 'display_name': 'user1339152', 'link': 'https://stackoverflow.com/users/1339152/user1339152'}",False,2383,2,1,1666867548,1346747743,12259670,CC BY-SA 3.0,https://stackoverflow.com/questions/12259670/java-api-for-creating-google-maps-or-earth,Java API for creating Google Maps or Earth,,1388298732.0,,,,,
16,"['java', 'enums', 'jackson', 'jsonserializer']","{'account_id': 1461922, 'reputation': 2881, 'user_id': 1376000, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/34d6e6e41c18e105713b19e8ed0759d1?s=256&d=identicon&r=PG', 'display_name': 'pookieman', 'link': 'https://stackoverflow.com/users/1376000/pookieman'}",True,323848,19,273,1666453337,1347927164,12468764,CC BY-SA 3.0,https://stackoverflow.com/questions/12468764/jackson-enum-serializing-and-deserializer,Jackson enum Serializing and DeSerializer,20421494.0,1382419242.0,,,,,
17,"['java', 'regex']","{'account_id': 1397413, 'reputation': 432, 'user_id': 1326922, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/16d1a9b164ade1b9c08b5ffff9d68071?s=256&d=identicon&r=PG', 'display_name': 'NLP JAVA', 'link': 'https://stackoverflow.com/users/1326922/nlp-java'}",True,23039,8,14,1666340412,1347355127,12366496,CC BY-SA 3.0,https://stackoverflow.com/questions/12366496/removing-the-url-from-text-using-java,Removing the url from text using java,12950893.0,1521488834.0,,,,,
18,"['java', 'maven', 'maven-3', 'maven-plugin']","{'account_id': 75292, 'reputation': 59535, 'user_id': 216021, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/836346d20b57c617791aaa063fe8313d?s=256&d=identicon&r=PG', 'display_name': 'kostja', 'link': 'https://stackoverflow.com/users/216021/kostja'}",True,2559,4,7,1666109218,1347610338,12420505,CC BY-SA 3.0,https://stackoverflow.com/questions/12420505/how-to-find-unused-properties-in-a-pom,How to find unused properties in a pom,,1495535220.0,,,,,
19,"['java', 'spring', 'hibernate', 'glassfish-3', 'entitymanager']","{'account_id': 1309458, 'reputation': 5809, 'user_id': 1257771, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/2e03659d52d5fa0d07ff8bd9e0d92a83?s=256&d=identicon&r=PG', 'display_name': 'kasavbere', 'link': 'https://stackoverflow.com/users/1257771/kasavbere'}",False,9466,3,0,1665900200,1348819277,12635975,CC BY-SA 3.0,https://stackoverflow.com/questions/12635975/entitymanager-persistobject-nullpointerexception,entityManager.persist(object) NullPointerException,,1495540577.0,,,,,
20,['java'],"{'account_id': 1828099, 'reputation': 3262, 'user_id': 1660298, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/7d94e3f7162dc1ee6589929559a474c6?s=256&d=identicon&r=PG', 'display_name': 'th3an0maly', 'link': 'https://stackoverflow.com/users/1660298/th3an0maly'}",True,164173,15,58,1665447127,1347333005,12362212,CC BY-SA 4.0,https://stackoverflow.com/questions/12362212/what-is-the-best-way-to-know-if-all-the-variables-in-a-class-are-null,What is the best way to know if all the variables in a Class are null?,12362257.0,1665447127.0,,,,,
21,"['java', 'fileoutputstream']","{'account_id': 338931, 'reputation': 7595, 'user_id': 668082, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/7b085f2271489a959ddcd2b535158e29?s=256&d=identicon&r=PG', 'display_name': 'Omar', 'link': 'https://stackoverflow.com/users/668082/omar'}",True,55991,5,37,1665403901,1347198855,12339673,CC BY-SA 3.0,https://stackoverflow.com/questions/12339673/fileoutputstream-crashes-with-open-failed-eisdir-is-a-directory-error-when,FileOutputStream crashes with &quot;open failed: EISDIR (Is a directory)&quot; error when downloading image,12339821.0,,,,,,
22,"['java', 'eclipse']","{'account_id': 1695783, 'reputation': 41, 'user_id': 1557188, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0471b77adc0588c9c4c71c7695d5c5c7?s=256&d=identicon&r=PG', 'display_name': 'user1557188', 'link': 'https://stackoverflow.com/users/1557188/user1557188'}",True,4391,6,4,1665138931,1348046975,12491977,CC BY-SA 3.0,https://stackoverflow.com/questions/12491977/eclipse-errors-in-comment,Eclipse errors in comment,,,,,,,
23,"['java', 'google-docs', 'google-docs-api']","{'account_id': 1480545, 'reputation': 508, 'user_id': 1390056, 'user_type': 'registered', 'accept_rate': 39, 'profile_image': 'https://www.gravatar.com/avatar/34466bc1fc32df0fd12762d5ebfc7330?s=256&d=identicon&r=PG', 'display_name': 'SlavaG', 'link': 'https://stackoverflow.com/users/1390056/slavag'}",False,867,1,0,1664981261,1347810596,12448323,CC BY-SA 3.0,https://stackoverflow.com/questions/12448323/document-not-found,Document not found,,1388349841.0,,,,,
24,"['java', 'spring', 'transactions', 'propagation']","{'account_id': 237493, 'reputation': 11666, 'user_id': 505714, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/a233fdbd816804224acb3aba55c6bf69?s=256&d=identicon&r=PG', 'display_name': 'Alexis Dufrenoy', 'link': 'https://stackoverflow.com/users/505714/alexis-dufrenoy'}",True,53402,3,95,1664974518,1347461356,12390888,CC BY-SA 3.0,https://stackoverflow.com/questions/12390888/differences-between-requires-new-and-nested-propagation-in-spring-transactions,Differences between requires_new and nested propagation in Spring transactions,12391308.0,,,,,,
25,"['java', 'data-structures']","{'account_id': 194889, 'reputation': 1103, 'user_id': 437472, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/136f8552dd0151dad24f5f77830b3e88?s=256&d=identicon&r=PG', 'display_name': 'outlaw', 'link': 'https://stackoverflow.com/users/437472/outlaw'}",True,36100,8,36,1664956825,1348491694,12565587,CC BY-SA 4.0,https://stackoverflow.com/questions/12565587/does-java-have-a-multiset-data-structure-like-the-one-in-c-stl,Does Java have a multiset data structure like the one in C++ STL?,12565723.0,1555306865.0,,,,,
26,"['java', 'ssl', 'certificate', 'keystore', 'truststore']","{'account_id': 467686, 'reputation': 3154, 'user_id': 873229, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/95c8ab21be2f8dce65665f20ccdef8bf?s=256&d=identicon&r=PG', 'display_name': 'Ghetolay', 'link': 'https://stackoverflow.com/users/873229/ghetolay'}",False,9539,2,5,1664413535,1347872611,12456079,CC BY-SA 3.0,https://stackoverflow.com/questions/12456079/java-keystore-verify-signed-certificate,Java/Keystore Verify Signed certificate,,1347877076.0,,,,,
27,"['java', 'unit-testing', 'mocking', 'mockito']","{'account_id': 1198461, 'reputation': 55, 'user_id': 1169661, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2b8ec91a9df501d200f4aa24440314c3?s=256&d=identicon&r=PG', 'display_name': 'Balasubramanian Sankar', 'link': 'https://stackoverflow.com/users/1169661/balasubramanian-sankar'}",True,15877,3,5,1664261765,1348670227,12604197,CC BY-SA 4.0,https://stackoverflow.com/questions/12604197/how-to-throw-ioexception-while-reading-a-file-using-mockito,how to throw IOException while reading a file using Mockito?,12604300.0,1664261765.0,,,,,
28,"['java', 'rest']","{'account_id': 542524, 'reputation': 2349, 'user_id': 911391, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/961538ec11ff8946111330094a9945ce?s=256&d=identicon&r=PG', 'display_name': 'orak', 'link': 'https://stackoverflow.com/users/911391/orak'}",True,8635,3,5,1663615823,1348250878,12535870,CC BY-SA 4.0,https://stackoverflow.com/questions/12535870/returning-plain-string-in-rest-service-does-not-return-json,Returning plain String in Rest service does not return json?,,1663615823.0,,,,,
29,"['java', 'mysql', 'image', 'blob']","{'account_id': 1650552, 'reputation': 33, 'user_id': 1521251, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/49fcd49ada82d43372131c687c866cca?s=256&d=identicon&r=PG', 'display_name': 'Ashan Perera', 'link': 'https://stackoverflow.com/users/1521251/ashan-perera'}",False,8871,4,1,1663394895,1348488324,12564745,CC BY-SA 3.0,https://stackoverflow.com/questions/12564745/updating-image-saved-in-mysql-blob-format,Updating image saved in mysql blob format,,1439235626.0,,,,,
30,"['java', 'android']","{'account_id': 1805916, 'reputation': 555, 'user_id': 1643009, 'user_type': 'registered', 'accept_rate': 19, 'profile_image': 'https://www.gravatar.com/avatar/f798da14d7846d194d2e73b77617efe2?s=256&d=identicon&r=PG', 'display_name': 'Hayya ANAM', 'link': 'https://stackoverflow.com/users/1643009/hayya-anam'}",True,63121,5,10,1663319204,1346874174,12288629,CC BY-SA 3.0,https://stackoverflow.com/questions/12288629/how-do-i-get-a-variable-in-another-activity,How do I get a variable in another activity?,,1481204017.0,,,,,
31,"['java', 'weblogic', 'wlst', 'bea']","{'account_id': 416901, 'reputation': 4737, 'user_id': 792580, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/79b5d89749cbb9dec0a31c071dcec4a1?s=256&d=identicon&r=PG', 'display_name': 'srk', 'link': 'https://stackoverflow.com/users/792580/srk'}",True,7484,4,2,1663070583,1347367273,12369972,CC BY-SA 3.0,https://stackoverflow.com/questions/12369972/wlst-embeded-mode-not-working,wlst embeded mode not working,,,,,,,
32,"['java', 'hbase', 'apache-zookeeper']","{'account_id': 1457904, 'reputation': 61, 'user_id': 1701015, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5551e9cde6585384610c5ad30e97cefb?s=256&d=identicon&r=PG', 'display_name': 'raff0z', 'link': 'https://stackoverflow.com/users/1701015/raff0z'}",False,10973,1,5,1662858030,1348681208,12607349,CC BY-SA 4.0,https://stackoverflow.com/questions/12607349/cant-connect-to-zookeeper-and-then-hbase-master-shuts-down,Can&#39;t connect to zookeeper and then hbase master shuts down,,1555578326.0,,,,,
33,"['java', 'hibernate', 'postgresql-9.1', 'spring-data-jpa']","{'account_id': 1675176, 'reputation': 1857, 'user_id': 1540896, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/c2dab6c67457b0ee4133ea1956a54cfe?s=256&d=identicon&r=PG', 'display_name': 'Mariusz', 'link': 'https://stackoverflow.com/users/1540896/mariusz'}",True,3825,3,6,1662677382,1347926487,12468698,CC BY-SA 4.0,https://stackoverflow.com/questions/12468698/how-to-ignore-unique-violation-during-insert-list-of-objects-which-contain-set-o,How to ignore unique violation during insert list of objects which contain set of object,12473085.0,1546528490.0,,,,,
34,"['java', 'string', 'date']","{'account_id': 1223681, 'reputation': 1773, 'user_id': 1189763, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/649a3200120fce68b1c819d5e3122db3?s=256&d=identicon&r=PG', 'display_name': 'jseth', 'link': 'https://stackoverflow.com/users/1189763/jseth'}",True,93956,5,18,1662646793,1348099860,12504537,CC BY-SA 3.0,https://stackoverflow.com/questions/12504537/convert-millisecond-string-to-date-in-java,Convert millisecond String to Date in Java,12504608.0,1348100219.0,,,,,
35,"['java', 'date', 'calendar', 'converter']","{'account_id': 181043, 'reputation': 7754, 'user_id': 414773, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/9585a756f8685f55dc62ab7d367efc49?s=256&d=identicon&r=PG', 'display_name': 'skmaran.nr.iras', 'link': 'https://stackoverflow.com/users/414773/skmaran-nr-iras'}",True,732457,11,229,1662125719,1348545444,12575990,CC BY-SA 3.0,https://stackoverflow.com/questions/12575990/calendar-date-to-yyyy-mm-dd-format-in-java,Calendar date to yyyy-MM-dd format in java,12576219.0,1455931324.0,,,,,
36,"['java', 'debugging']","{'account_id': 506799, 'reputation': 4213, 'user_id': 991703, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/0de22e1dac9ad38eeeb72bdf78e04094?s=256&d=identicon&r=PG', 'display_name': 'kloop', 'link': 'https://stackoverflow.com/users/991703/kloop'}",True,11789,4,0,1662098606,1346886268,12290952,CC BY-SA 3.0,https://stackoverflow.com/questions/12290952/what-should-i-do-when-java-core-dumps,what should I do when Java core dumps?,,,,,,,
37,"['java', 'spring']","{'account_id': 1866343, 'reputation': 621, 'user_id': 1689817, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f1723c272adc543b7721039fd38f83fb?s=256&d=identicon&r=PG', 'display_name': 'Rosh', 'link': 'https://stackoverflow.com/users/1689817/rosh'}",True,107032,7,62,1662047624,1348259843,12537851,CC BY-SA 3.0,https://stackoverflow.com/questions/12537851/accessing-spring-beans-in-static-method,Accessing spring beans in static method,,1481057494.0,,,,,
38,"['java', 'selenium', 'webdriver', 'testng', 'selenium-grid']","{'account_id': 911942, 'reputation': 43, 'user_id': 945580, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d3ab96c20a1344afa1ca73a41fa330b2?s=256&d=identicon&r=PG', 'display_name': 'GentleMurderer', 'link': 'https://stackoverflow.com/users/945580/gentlemurderer'}",False,4428,2,1,1662031290,1347442784,12385304,CC BY-SA 4.0,https://stackoverflow.com/questions/12385304/how-to-force-testng-to-run-all-methods-in-class-without-switching-to-another-thr,How to force TestNG to run all methods in class without switching to another thread in parallel mode,,1662031290.0,,,,,
39,"['java', 'youtube']","{'account_id': 1764063, 'reputation': 587, 'user_id': 1610362, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/397fe7a694b0c24af4c2cc9e72b97faf?s=256&d=identicon&r=PG', 'display_name': 'user1610362', 'link': 'https://stackoverflow.com/users/1610362/user1610362'}",False,24348,2,5,1661803280,1347704913,12436584,CC BY-SA 3.0,https://stackoverflow.com/questions/12436584/youtube-to-mp3-conversion-using-web-site,youtube to mp3 conversion using web site,,1347713655.0,1451760418.0,,,,
40,"['java', 'android', 'android-activity', 'android-context']","{'account_id': 348215, 'reputation': 5462, 'user_id': 682778, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/2BCfw.jpg?s=256&g=1', 'display_name': 'Crocodile', 'link': 'https://stackoverflow.com/users/682778/crocodile'}",True,212,2,0,1661792324,1348403176,12552358,CC BY-SA 3.0,https://stackoverflow.com/questions/12552358/how-can-a-class-reference-a-variable-from-its-containing-composite-classs-paren,How can a class reference a variable from its containing composite class&#39;s parent class (which extends Activity)?,12552438.0,1433952122.0,,,,,
41,"['java', 'json', 'gson']","{'account_id': 1356445, 'reputation': 997, 'user_id': 1294742, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/GYHM4.jpg?s=256&g=1', 'display_name': 'gosua', 'link': 'https://stackoverflow.com/users/1294742/gosua'}",True,16129,4,11,1661753692,1347406977,12379405,CC BY-SA 3.0,https://stackoverflow.com/questions/12379405/cant-cast-jsonnull-to-jsonobject,Can&#39;t cast JsonNull to JsonObject,12379518.0,1347407477.0,,,,,
42,"['java', 'eclipse', 'code-generation', 'pojo']","{'account_id': 452783, 'reputation': 7377, 'user_id': 849402, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/dd2617441b804170c03fbe1b3c958f87?s=256&d=identicon&r=PG', 'display_name': 'vertti', 'link': 'https://stackoverflow.com/users/849402/vertti'}",True,6883,8,25,1661169309,1346915040,12294627,CC BY-SA 3.0,https://stackoverflow.com/questions/12294627/generate-setters-that-return-self-in-eclipse,Generate setters that return self in Eclipse,,1346915343.0,,,,,
43,"['java', 'spring', 'web-applications', 'soap', 'soapui']","{'account_id': 76433, 'reputation': 1897, 'user_id': 218811, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/1fb4582e2ffc67e2b97f7191ece16f87?s=256&d=identicon&r=PG', 'display_name': 'Phil', 'link': 'https://stackoverflow.com/users/218811/phil'}",False,20406,1,0,1660197985,1347985517,12481129,CC BY-SA 3.0,https://stackoverflow.com/questions/12481129/soap-dont-know-what-my-endpoint-url-is,SOAP - don&#39;t know what my endpoint URL is,,1348000260.0,,,,,
44,"['java', 'multithreading', 'jvm', 'classloader']","{'account_id': 1360570, 'reputation': 5544, 'user_id': 1298028, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/Io0kQ.jpg?s=256&g=1', 'display_name': 'Łukasz Rzeszotarski', 'link': 'https://stackoverflow.com/users/1298028/%c5%81ukasz-rzeszotarski'}",True,2799,3,7,1660157172,1348043739,12491112,CC BY-SA 3.0,https://stackoverflow.com/questions/12491112/thread-creation-listener,Thread creation listener,12491455.0,,,,,,
45,"['java', 'exception', 'tomcat', 'servlets']","{'account_id': 137890, 'reputation': 8402, 'user_id': 995052, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://i.stack.imgur.com/vHZ4a.jpg?s=256&g=1', 'display_name': 'Kris', 'link': 'https://stackoverflow.com/users/995052/kris'}",True,105753,13,13,1660138410,1347354052,12366201,CC BY-SA 3.0,https://stackoverflow.com/questions/12366201/servlet-severe-allocate-exception-for-servlet,Servlet : SEVERE: Allocate exception for servlet,12368397.0,,,,,,
46,"['java', 'eclipse', 'debugging', 'maven']","{'account_id': 1192669, 'reputation': 687, 'user_id': 1165106, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/bac9ab965ceca6c87d626d75c8b50ac2?s=256&d=identicon&r=PG', 'display_name': 'Maciej Laskowski', 'link': 'https://stackoverflow.com/users/1165106/maciej-laskowski'}",True,135385,4,50,1659692614,1348650623,12598261,CC BY-SA 3.0,https://stackoverflow.com/questions/12598261/maven-build-debug-in-eclipse,Maven build debug in Eclipse,12598562.0,1464729574.0,,,,,
47,"['java', 'jakarta-ee', 'websphere-7', 'websphere-6.1']","{'account_id': 951447, 'reputation': 1859, 'user_id': 977520, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/b9d1ebb370df3ebc30d2f4846e4b1e30?s=256&d=identicon&r=PG', 'display_name': 'Mike', 'link': 'https://stackoverflow.com/users/977520/mike'}",True,15728,3,4,1659643350,1348063615,12496492,CC BY-SA 3.0,https://stackoverflow.com/questions/12496492/javax-servlet-unavailableexception-after-an-upgrade-to-was-7,javax.servlet.UnavailableException after an upgrade to WAS 7,,1348064938.0,,,,,
