,tags,owner,is_answered,view_count,closed_date,answer_count,score,last_activity_date,creation_date,question_id,link,closed_reason,title,accepted_answer_id,last_edit_date,content_license,protected_date,migrated_from
10,"['java', 'android-studio', 'window', 'archlinux']","{'account_id': 9827251, 'reputation': 233, 'user_id': 7280089, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/263e027361f3001ed56ba6d1efa58a9c?s=256&d=identicon&r=PG', 'display_name': 'R Harrington', 'link': 'https://stackoverflow.com/users/7280089/r-harrington'}",False,101,,2,1,1668537081,1584786799,60786748,https://stackoverflow.com/questions/60786748/android-studio-wizard-not-showing-up,,Android Studio wizard not showing up,,,CC BY-SA 4.0,,
11,"['java', 'spring', 'spring-boot', 'amazon-dynamodb']","{'account_id': 1177594, 'reputation': 5178, 'user_id': 1153203, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/89d4f80278b4aa0f3c134aacc14adb95?s=256&d=identicon&r=PG', 'display_name': 'Sean Dawson', 'link': 'https://stackoverflow.com/users/1153203/sean-dawson'}",True,3570,,2,0,1668443610,1583797833,60609789,https://stackoverflow.com/questions/60609789/error-creating-bean-with-name-dynamodb-dynamodbmapper,,Error creating bean with name &#39;dynamoDB-DynamoDBMapper&#39;,60609790.0,,CC BY-SA 4.0,,
12,"['java', 'android', 'kotlin', 'proguard']","{'account_id': 8898907, 'reputation': 8022, 'user_id': 6642927, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/57af95b5ffd1f8c320e0647d92d66acc?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dishonered', 'link': 'https://stackoverflow.com/users/6642927/dishonered'}",True,9755,,2,39,1668281714,1585203699,60861929,https://stackoverflow.com/questions/60861929/what-is-the-difference-between-consumer-rules-pro-and-proguard-rules-pro-in-andr,,What is the difference between consumer-rules.pro and proguard-rules.pro in Android?,60862591.0,,CC BY-SA 4.0,,
13,"['java', 'android', 'swing', 'headless']","{'account_id': 17374430, 'reputation': 67, 'user_id': 12587786, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mBuSa5UWepoaNQCb2QyurhgMhpcziPKK1oYXN39=k-s256', 'display_name': 'Tundra Spirit', 'link': 'https://stackoverflow.com/users/12587786/tundra-spirit'}",True,1352,,2,1,1668233969,1585335284,60892451,https://stackoverflow.com/questions/60892451/how-to-run-my-java-swing-desktop-application-on-mobile,,How to run my java swing desktop application on mobile?,,1585366247.0,CC BY-SA 4.0,,
14,"['java', 'spring-boot', 'travis-ci', 'openjdk-11']","{'account_id': 4329690, 'reputation': 10506, 'user_id': 3535537, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/buDCT.png?s=256&g=1', 'display_name': 'St&#233;phane GRILLON', 'link': 'https://stackoverflow.com/users/3535537/st%c3%a9phane-grillon'}",True,27750,,8,10,1668180350,1583223445,60502811,https://stackoverflow.com/questions/60502811/springboot-httpmessagenotwritableexception-no-converter-for-with-preset-c,,Springboot HttpMessageNotWritableException: No converter for [...] with preset Content-Type &#39;null&#39;],,1583225442.0,CC BY-SA 4.0,,
15,"['java', 'android', 'android-room']","{'account_id': 17808087, 'reputation': 37, 'user_id': 12933357, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ee93223451d5e9acca50b9b6453e5af1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Fotis Pozoglou', 'link': 'https://stackoverflow.com/users/12933357/fotis-pozoglou'}",True,703,,2,2,1668116995,1585139156,60848818,https://stackoverflow.com/questions/60848818/how-to-get-just-a-string-from-room-database,,How to get just a string from room database,60849141.0,,CC BY-SA 4.0,,
16,"['java', 'spring', 'spring-batch', 'spring-batch-tasklet', 'spring-batch-stream']","{'account_id': 7901122, 'reputation': 53, 'user_id': 5968119, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/697ee614adcad1c9c20c31d727671e09?s=256&d=identicon&r=PG&f=1', 'display_name': 'chandranshu', 'link': 'https://stackoverflow.com/users/5968119/chandranshu'}",True,2672,,1,5,1668098948,1585301753,60883344,https://stackoverflow.com/questions/60883344/can-we-process-the-multiple-files-sequentially-using-spring-batch-while-multiple,,can we process the multiple files sequentially using spring Batch while multiple threads used to process individual files data..?,60922099.0,1585302083.0,CC BY-SA 4.0,,
17,"['java', 'assert', 'nullable']","{'account_id': 11990777, 'reputation': 907, 'user_id': 8773964, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/be18b0cd94256e2e57067fb66d9b4e6c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Big_Bad_E', 'link': 'https://stackoverflow.com/users/8773964/big-bad-e'}",True,13899,1585007918.0,6,36,1667796186,1584389340,60712593,https://stackoverflow.com/questions/60712593/should-you-assert-not-null-with-the-assert-statement-in-production-code,Opinion-based,Should you assert not null with the assert statement in production code?,60712789.0,1584720003.0,,,
18,"['java', 'android', 'android-10.0']","{'account_id': 9552415, 'reputation': 301, 'user_id': 7096122, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1204243352965007/picture?type=large', 'display_name': 'Marcos Nielsen', 'link': 'https://stackoverflow.com/users/7096122/marcos-nielsen'}",True,12481,,3,20,1667779393,1584320927,60699244,https://stackoverflow.com/questions/60699244/boot-completed-not-working-on-android-10-q-api-level-29,,boot_completed not working on Android 10 Q API level 29,,1635943239.0,CC BY-SA 4.0,,
19,"['java', 'linux', 'netbeans', 'netbeans-11', 'java-14']","{'account_id': 2994486, 'reputation': 7437, 'user_id': 2541276, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://graph.facebook.com/100001587714573/picture?type=large', 'display_name': 'Rajkumar Natarajan', 'link': 'https://stackoverflow.com/users/2541276/rajkumar-natarajan'}",True,7102,,1,10,1667482998,1585532816,60922968,https://stackoverflow.com/questions/60922968/couldnt-install-netbeans-11-3-with-java-14-due-to-error-unsupported-jvm-versi,,Couldn&#39;t install netbeans 11.3 with Java 14 due to Error: &quot;Unsupported JVM version&quot;,60924824.0,1585538420.0,CC BY-SA 4.0,,
20,"['java', 'spring-boot', 'elasticsearch', 'spring-data', 'spring-data-elasticsearch']","{'account_id': 6676840, 'reputation': 1515, 'user_id': 5151202, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/fMCWW.jpg?s=256&g=1', 'display_name': 'Times', 'link': 'https://stackoverflow.com/users/5151202/times'}",True,4675,,2,3,1667473544,1583425939,60550049,https://stackoverflow.com/questions/60550049/elasticsearch-resthighlevelclient-throws-java-io-ioexception-connection-reset-b,,ElasticSearch RestHighLevelClient throws java.io.IOException: Connection reset by peer,,1583668355.0,CC BY-SA 4.0,,
21,"['java', 'xml', 'spring', 'spring-mvc']","{'account_id': 13176203, 'reputation': 133, 'user_id': 9517076, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'I have 10 fingers', 'link': 'https://stackoverflow.com/users/9517076/i-have-10-fingers'}",True,2649,,2,1,1667460091,1584698793,60772079,https://stackoverflow.com/questions/60772079/spring-resttemplate-deserialize-xml-to-object-return-null,,Spring RestTemplate deserialize xml to object return null,60776510.0,1584709741.0,CC BY-SA 4.0,,
22,"['java', 'avro']","{'account_id': 7047616, 'reputation': 186, 'user_id': 5397928, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/5abfc9285a965a6e66239843b1ec354d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Alberto Casta&#241;o', 'link': 'https://stackoverflow.com/users/5397928/alberto-casta%c3%b1o'}",False,4305,,1,3,1667387947,1583438588,60553129,https://stackoverflow.com/questions/60553129/deserialize-avro-data-from-bytes,,Deserialize Avro Data from bytes,,1592644375.0,CC BY-SA 4.0,,
23,"['java', 'sql', 'postgresql', 'hibernate', 'jpa']","{'account_id': 5209814, 'reputation': 31, 'user_id': 4166607, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/bcd9207cddd56c10c908f6b3efa091d0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Klapek', 'link': 'https://stackoverflow.com/users/4166607/klapek'}",False,476,,1,0,1667345387,1585562020,60928001,https://stackoverflow.com/questions/60928001/current-value-of-sequence-public-test-id-seq-is-not-yet-defined-in-this-sessio,,Current value of sequence &quot;PUBLIC.TEST_ID_SEQ&quot; is not yet defined in this session; SQL statement: select currval(&#39;test_id_seq&#39;),,,CC BY-SA 4.0,,
24,"['java', 'spring-boot', 'spring-security']","{'account_id': 17750, 'reputation': 23752, 'user_id': 40064, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/6f118f710d3077f91c0c0d722f7be0a3?s=256&d=identicon&r=PG', 'display_name': 'Wim Deblauwe', 'link': 'https://stackoverflow.com/users/40064/wim-deblauwe'}",True,4321,,2,4,1667262718,1584465738,60727265,https://stackoverflow.com/questions/60727265/use-authenticationprincipal-with-jwtauthenticationtoken-to-use-own-user-class,,Use @AuthenticationPrincipal with JwtAuthenticationToken to use own user class,60727858.0,,CC BY-SA 4.0,,
25,"['java', 'hibernate', 'criteria-api']","{'account_id': 156734, 'reputation': 25536, 'user_id': 374198, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/ed8129b80e0e4cd6152b1035e06a9a6a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Josh M.', 'link': 'https://stackoverflow.com/users/374198/josh-m'}",True,676,,2,2,1666626012,1585600532,60939072,https://stackoverflow.com/questions/60939072/hibernate-jpa-meta-model-reference-nested-properties,,Hibernate JPA Meta Model -- reference nested properties?,61184639.0,,CC BY-SA 4.0,,
26,"['java', 'string']","{'account_id': 15106940, 'reputation': 23, 'user_id': 10902333, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-6bSXn7DIWgE/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcZeKDnrj4XbHnsUS1AAfR7bWx5kdg/mo/photo.jpg?sz=256', 'display_name': 'AbhiS', 'link': 'https://stackoverflow.com/users/10902333/abhis'}",True,211,,3,2,1666607682,1584361914,60706090,https://stackoverflow.com/questions/60706090/how-is-java-string-constructor-implemented,,How is Java String constructor implemented?,60706565.0,1666607682.0,CC BY-SA 4.0,,
27,"['java', 'android', 'android-studio']","{'account_id': 14682697, 'reputation': 81, 'user_id': 10603682, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2229262673998079/picture?type=large', 'display_name': 'Jel Oly', 'link': 'https://stackoverflow.com/users/10603682/jel-oly'}",True,15332,,2,8,1666453478,1584202186,60684730,https://stackoverflow.com/questions/60684730/error-execution-failed-for-task-appmergedebugjavaresource,,Error: Execution failed for task &#39;:app:mergeDebugJavaResource&#39;,,1584302263.0,CC BY-SA 4.0,,
28,"['java', 'intellij-idea']","{'account_id': 4888372, 'reputation': 129, 'user_id': 3940148, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fe8595e333845f1e429060c6b98d0316?s=256&d=identicon&r=PG&f=1', 'display_name': 'Secondo', 'link': 'https://stackoverflow.com/users/3940148/secondo'}",False,148,,1,1,1666345203,1583576589,60576554,https://stackoverflow.com/questions/60576554/intellij-new-import-goes-to-same-line-as-the-previous-imported-class,,Intellij new import goes to same line as the previous imported class,,,CC BY-SA 4.0,,
29,"['java', 'eclipse', 'spring-boot']","{'account_id': 11787896, 'reputation': 31, 'user_id': 8624933, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ad7a4890a225932d38b1410e059570f1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mitesh', 'link': 'https://stackoverflow.com/users/8624933/mitesh'}",False,2647,,0,3,1666332267,1584002364,60650326,https://stackoverflow.com/questions/60650326/getting-unhandled-exception-with-segmentation-error-while-running-spring-boot-ap,,Getting Unhandled exception with Segmentation error while running spring boot application in Eclipse,,1584003244.0,CC BY-SA 4.0,,
30,"['java', 'apache-kafka', 'kafka-consumer-api']","{'account_id': 16862427, 'reputation': 71, 'user_id': 12192907, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7d78eb04cffc79a10bca31a28d2f6f87?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bharath', 'link': 'https://stackoverflow.com/users/12192907/bharath'}",True,29677,,3,7,1666272310,1585547992,60924842,https://stackoverflow.com/questions/60924842/kafka-consumer-commitfailedexception,,Kafka Consumer CommitFailedException,,1600861265.0,CC BY-SA 4.0,,
31,"['java', 'algorithm', 'data-structures', 'binary-tree']","{'account_id': 17958312, 'reputation': 11, 'user_id': 13049813, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgUcGpen2anCBrnmMcvyAGyX0KYKxTOoMrbutkeTA=k-s256', 'display_name': 'AlphaX', 'link': 'https://stackoverflow.com/users/13049813/alphax'}",True,940,,3,-2,1665957616,1584002402,60650339,https://stackoverflow.com/questions/60650339/how-to-represent-a-string-as-binary-tree-in-java,,How to represent a string as binary tree in Java?,,,CC BY-SA 4.0,,
32,"['java', 'android']","{'account_id': 1419026, 'reputation': 1872, 'user_id': 1344049, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/6XHWR.jpg?s=256&g=1', 'display_name': 'Dipankar Baghel', 'link': 'https://stackoverflow.com/users/1344049/dipankar-baghel'}",True,5611,,5,5,1665811491,1583226174,60503568,https://stackoverflow.com/questions/60503568/best-possible-way-to-get-device-id-in-android,,Best possible way to get device Id in Android,60505195.0,,CC BY-SA 4.0,,
33,"['java', 'spring', 'resttemplate', 'http-status-code-301']","{'account_id': 15710949, 'reputation': 21, 'user_id': 11336420, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9a5d46e13a76f14fabb938218524c385?s=256&d=identicon&r=PG&f=1', 'display_name': 'Robcruzd', 'link': 'https://stackoverflow.com/users/11336420/robcruzd'}",False,1279,,1,0,1665709631,1584024165,60656446,https://stackoverflow.com/questions/60656446/set-status-code-301-or-303-in-spring-resttemplate-and-responseentity,,Set status code 301 or 303 in Spring RestTemplate and ResponseEntity,,1584059560.0,CC BY-SA 4.0,,
34,"['java', 'maven', 'tomcat']","{'account_id': 16095880, 'reputation': 61, 'user_id': 11618066, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-2JVtIebHW4U/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3reH33zaBjbUR7A-EZQP1liH0kck6Q/mo/photo.jpg?sz=256', 'display_name': 'Michal S', 'link': 'https://stackoverflow.com/users/11618066/michal-s'}",False,6356,,2,3,1665684150,1585429236,60906948,https://stackoverflow.com/questions/60906948/classnotfoundexception-javax-jws-webservice,,ClassNotFoundException: javax.jws.WebService,,,CC BY-SA 4.0,,
35,"['java', 'spring', 'spring-webflux', 'reactive', 'spring-webclient']","{'account_id': 1229539, 'reputation': 77192, 'user_id': 1194415, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://i.stack.imgur.com/d3dZP.png?s=256&g=1', 'display_name': 'membersound', 'link': 'https://stackoverflow.com/users/1194415/membersound'}",True,602,,1,0,1665648012,1583419626,60547969,https://stackoverflow.com/questions/60547969/how-to-proxy-payload-using-reactive-spring-webclient,,How to proxy payload using reactive Spring WebClient?,,,CC BY-SA 4.0,,
36,"['java', 'json', 'xml', 'apache-camel']","{'account_id': 3853377, 'reputation': 115, 'user_id': 4512659, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/fW6nF.jpg?s=256&g=1', 'display_name': 'lozanotux', 'link': 'https://stackoverflow.com/users/4512659/lozanotux'}",True,2838,,2,0,1665585091,1585252423,60875136,https://stackoverflow.com/questions/60875136/cant-translate-xml-to-json-with-apache-camel-3-1-0,,Can&#39;t Translate XML to JSON with Apache Camel 3.1.0,60880093.0,1585294310.0,CC BY-SA 4.0,,
37,"['java', 'arrays', 'hibernate', 'csv']","{'account_id': 17697507, 'reputation': 81, 'user_id': 12847897, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/73711baa245925fd43daa1ab4384e2e0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Grzegorz Gabrychowicz', 'link': 'https://stackoverflow.com/users/12847897/grzegorz-gabrychowicz'}",False,11165,,1,1,1665432476,1585218997,60865319,https://stackoverflow.com/questions/60865319/index-1-out-of-bounds-for-length-1-error-while-creating-the-array-automatically,,Index 1 out of bounds for length 1 error while creating the array automatically from the CSV file,,1585234782.0,CC BY-SA 4.0,,
38,"['java', 'datetime', 'datetime-comparison']","{'account_id': 8872026, 'reputation': 64, 'user_id': 6625472, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-m9Eeh4GXo68/AAAAAAAAAAI/AAAAAAAAAGM/TKA60vsZmfc/photo.jpg?sz=256', 'display_name': 'Pravin Pundge', 'link': 'https://stackoverflow.com/users/6625472/pravin-pundge'}",True,5434,,3,2,1665241663,1583268202,60515213,https://stackoverflow.com/questions/60515213/how-to-compare-the-datetime-of-format-eee-mmm-dd-hhmmss-zzz-yyyy-and-yyyy-m,,How to compare the datetime of format &quot;EEE MMM dd HH:mm:ss zzz yyyy&quot; and &quot;yyyy-MM-dd hh:mm:sss&quot; in java?,60515696.0,1583301483.0,CC BY-SA 4.0,,
39,"['java', 'regex', 'unicode']","{'account_id': 7336923, 'reputation': 365, 'user_id': 5587982, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-6YdCcf-pkQg/AAAAAAAAAAI/AAAAAAAAABI/tWFo0mPWbGU/photo.jpg?sz=256', 'display_name': 'A. Cedano', 'link': 'https://stackoverflow.com/users/5587982/a-cedano'}",True,844,,2,1,1665123730,1584566730,60747707,https://stackoverflow.com/questions/60747707/how-i-can-use-incombiningdiacriticalmarks-ignoring-one-case,,How I can use InCombiningDiacriticalMarks ignoring one case,,,CC BY-SA 4.0,,
40,"['java', 'android', 'gradle']","{'account_id': 17915670, 'reputation': 131, 'user_id': 13016691, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/27f7144bdf9cc98d12d1ce0c2a0d0b42?s=256&d=identicon&r=PG&f=1', 'display_name': 'nemic', 'link': 'https://stackoverflow.com/users/13016691/nemic'}",True,21896,,15,13,1665063647,1583471544,60557935,https://stackoverflow.com/questions/60557935/cannot-create-service-of-type-taskexecuter-using-projectexecutionservices,,Cannot create service of type TaskExecuter using ProjectExecutionServices,,1583479494.0,CC BY-SA 4.0,,
41,"['java', 'mongodb', 'apache-spark', 'apache-zeppelin']","{'account_id': 18006773, 'reputation': 11, 'user_id': 13087363, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-6uD3jPU2Xg4/AAAAAAAAAAI/AAAAAAAAAAA/AKF05nBG9pNwJ-wnJISLNIo3ui0NBwAkDw/photo.jpg?sz=256', 'display_name': 'Oleg', 'link': 'https://stackoverflow.com/users/13087363/oleg'}",False,97,,0,1,1664982933,1584609054,60753959,https://stackoverflow.com/questions/60753959/mongo-spark-connector-skips-objects-while-reading-if-record-doesnt-have-fields,,Mongo-Spark connector skips objects while reading if record doesn&#39;t have fields,,,CC BY-SA 4.0,,
42,"['java', 'elasticsearch', 'resthighlevelclient']","{'account_id': 5529128, 'reputation': 1151, 'user_id': 4389737, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e6b940f3cffe4a65639567997a236f52?s=256&d=identicon&r=PG&f=1', 'display_name': 'GNG', 'link': 'https://stackoverflow.com/users/4389737/gng'}",True,5196,,3,1,1664964654,1583098513,60480002,https://stackoverflow.com/questions/60480002/how-can-i-create-an-elastic-search-index-with-the-java-high-level-rest-client,,How can I create an elastic search index with the JAVA high level REST client?,,1583173490.0,CC BY-SA 4.0,,
43,"['java', 'spring-boot', 'java-14', 'java-record']","{'account_id': 2283646, 'reputation': 10326, 'user_id': 2008247, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/b716f70c7755070e9a0ccb0f96bae885?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jan Bodnar', 'link': 'https://stackoverflow.com/users/2008247/jan-bodnar'}",True,2249,,2,7,1664794685,1584108313,60671915,https://stackoverflow.com/questions/60671915/no-default-constructor-found-with-java-record-and-beanpropertyrowmapper,,No default constructor found with Java record and BeanPropertyRowMapper,60672093.0,1584183353.0,CC BY-SA 4.0,,
44,"['java', 'asynchronous', 'orm', 'vert.x']","{'account_id': 2036328, 'reputation': 12126, 'user_id': 1818608, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/2c7fd43d0ea66acaf6eadc8062693a50?s=256&d=identicon&r=PG', 'display_name': 'Gill Bates', 'link': 'https://stackoverflow.com/users/1818608/gill-bates'}",True,1431,,2,1,1664666976,1584132461,60677083,https://stackoverflow.com/questions/60677083/is-it-possible-to-use-orm-together-with-vert-x,,Is it possible to use ORM together with Vert.x?,,,CC BY-SA 4.0,,
45,"['java', 'arraylist']","{'user_type': 'does_not_exist', 'display_name': 'user12658463'}",True,619,1585497880.0,4,0,1664652237,1585495070,60916324,https://stackoverflow.com/questions/60916324/how-can-i-find-one-element-of-the-object-in-an-arraylist-of-objects,Duplicate,How can I find one element of the object in an arraylist of objects?,60916399.0,1664652237.0,,,
