,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,closed_date,closed_reason,community_owned_date,migrated_from
16,"['java', 'while-loop', 'sentinel']","{'account_id': 2095676, 'reputation': 29, 'user_id': 1864508, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7a6f3e2180101976f0356c1b2c343fcd?s=256&d=identicon&r=PG', 'display_name': 'user1864508', 'link': 'https://stackoverflow.com/users/1864508/user1864508'}",False,13729,3,1,1666875745,1354224238,1491126188.0,13634992,CC BY-SA 3.0,https://stackoverflow.com/questions/13634992/using-sentinel-controlled-loop,Using sentinel-controlled loop,,,,,,
17,"['java', 'parseint']","{'account_id': 2054526, 'reputation': 53, 'user_id': 1832679, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ecb81811378254b28880cdb43deca491?s=256&d=identicon&r=PG', 'display_name': 'user1832679', 'link': 'https://stackoverflow.com/users/1832679/user1832679'}",True,21779,3,5,1666699214,1353193603,,13435680,CC BY-SA 3.0,https://stackoverflow.com/questions/13435680/cannot-find-symbol-parseint,cannot find symbol: parseInt,13435694.0,,,,,
18,"['java', 'oop', 'design-patterns']","{'account_id': 1667441, 'reputation': 1173, 'user_id': 1534573, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/29e59422ea828fb9e92a58c82349bb78?s=256&d=identicon&r=PG', 'display_name': 'Prasad Weera', 'link': 'https://stackoverflow.com/users/1534573/prasad-weera'}",True,8391,5,7,1666693775,1353404462,1457697268.0,13470346,CC BY-SA 3.0,https://stackoverflow.com/questions/13470346/design-pattern-to-add-attributes-to-objects-dynamically,Design pattern to add attributes to objects dynamically,13481230.0,,,,,
19,"['java', 'jsp', 'if-statement', 'jstl', 'thymeleaf']","{'account_id': 275666, 'reputation': 10994, 'user_id': 568664, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/277742f57db6dd331ed111ac6c908646?s=256&d=identicon&r=PG&f=1', 'display_name': 'Maciej Ziarko', 'link': 'https://stackoverflow.com/users/568664/maciej-ziarko'}",True,399626,13,163,1665996830,1353503598,1574341319.0,13494078,CC BY-SA 4.0,https://stackoverflow.com/questions/13494078/how-to-do-if-else-in-thymeleaf,How to do if-else in Thymeleaf?,13601710.0,,,,,
20,"['java', 'binding', 'xsd', 'schema', 'xjc']","{'account_id': 23234, 'reputation': 33512, 'user_id': 58082, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/61200477cf8983809ec152f484750204?s=256&d=identicon&r=PG', 'display_name': 'Pierre', 'link': 'https://stackoverflow.com/users/58082/pierre'}",True,62491,6,26,1665710388,1353090127,1353092948.0,13422253,CC BY-SA 3.0,https://stackoverflow.com/questions/13422253/xjc-two-declarations-cause-a-collision-in-the-objectfactory-class,xjc: Two declarations cause a collision in the ObjectFactory class,13438253.0,,,,,
21,"['java', 'design-patterns', 'decorator', 'delegation']","{'account_id': 114552, 'reputation': 11920, 'user_id': 301153, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/27468bc2bb14018b4b1ae278c95aa509?s=256&d=identicon&r=PG&f=1', 'display_name': 'michal.kreuzman', 'link': 'https://stackoverflow.com/users/301153/michal-kreuzman'}",True,10626,2,29,1665696628,1352937772,1353337412.0,13389544,CC BY-SA 3.0,https://stackoverflow.com/questions/13389544/difference-between-decorator-pattern-and-delegation-pattern,Difference between Decorator pattern and Delegation pattern,13393686.0,,,,,
22,"['java', 'list', 'hashset']","{'account_id': 939656, 'reputation': 1423, 'user_id': 967977, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/f90e80622df7002338d02c9c7c480d46?s=256&d=identicon&r=PG', 'display_name': 'Envin', 'link': 'https://stackoverflow.com/users/967977/envin'}",True,131,1,0,1665613788,1352147178,1665613788.0,13239825,CC BY-SA 4.0,https://stackoverflow.com/questions/13239825/trying-to-compare-a-hashset-element-with-an-element-in-a-list,Trying to compare a HashSet element with an element in a List,13240599.0,,,,,
23,"['java', 'eclipse', 'gwt', 'web-applications', 'tomcat6']","{'user_type': 'does_not_exist', 'display_name': 'user1260503'}",True,672,2,0,1665241537,1352990273,1352990596.0,13399733,CC BY-SA 3.0,https://stackoverflow.com/questions/13399733/changing-external-browser-in-eclipse-linux-gwt-tomcat6,"Changing External Browser in Eclipse [Linux, GWT, Tomcat6]",13401459.0,,,,,
24,['java'],"{'account_id': 2075366, 'reputation': 97, 'user_id': 1848879, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/58aef25a4ab93b58cb01818c742da60f?s=256&d=identicon&r=PG', 'display_name': 'WannaBeDroidProgrammer', 'link': 'https://stackoverflow.com/users/1848879/wannabedroidprogrammer'}",True,18709,5,7,1665175833,1353729355,1353729858.0,13538097,CC BY-SA 3.0,https://stackoverflow.com/questions/13538097/non-static-method-tostring-cannot-be-referenced-from-a-static-context,non-static method toString() cannot be referenced from a static context,13538111.0,,,,,
25,"['java', 'postgresql', 'jpa', 'eclipselink', 'jpa-2.0']","{'account_id': 888697, 'reputation': 6411, 'user_id': 927477, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/0371d87e695b51de2f76e828e6a5915f?s=256&d=identicon&r=PG', 'display_name': 'Avner Levy', 'link': 'https://stackoverflow.com/users/927477/avner-levy'}",True,5614,6,4,1664982392,1352732678,1664982392.0,13346089,CC BY-SA 4.0,https://stackoverflow.com/questions/13346089/using-uuid-with-eclipselink-and-postgresql,Using UUID with EclipseLink and PostgreSQL,15084881.0,,,,,
26,"['java', 'reflection', 'noclassdeffounderror', 'corba']","{'account_id': 1344625, 'reputation': 3227, 'user_id': 1285615, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/5d7d472da1b59aa3ef94b16c79e7defe?s=256&d=identicon&r=PG', 'display_name': 'sakthisundar', 'link': 'https://stackoverflow.com/users/1285615/sakthisundar'}",True,16453,2,14,1664912137,1353604914,1353605752.0,13517497,CC BY-SA 3.0,https://stackoverflow.com/questions/13517497/java-lang-noclassdeffounderror-org-omg-corba-interfacedef,java.lang.NoClassDefFoundError: org/omg/CORBA/InterfaceDef,,,,,,
27,"['java', 'android', 'iphone', 'ios', 'arrays']","{'account_id': 261970, 'reputation': 14044, 'user_id': 546509, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/5e8a65a04b4753027786f88f2d39eede?s=256&d=identicon&r=PG', 'display_name': 'Ethan Allen', 'link': 'https://stackoverflow.com/users/546509/ethan-allen'}",True,1262,2,6,1664626700,1352842086,,13369117,CC BY-SA 3.0,https://stackoverflow.com/questions/13369117/is-there-a-java-android-equivalent-to-the-ios-function-componentsjoinedbystri,Is there a Java / Android equivalent to the iOS function &quot;componentsJoinedByString&quot; for an NSArray?,13369159.0,,,,,
28,"['java', 'spring', 'spring-aop']","{'account_id': 1176664, 'reputation': 20168, 'user_id': 1152500, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://www.gravatar.com/avatar/52c9add307127619573e855576ed833c?s=256&d=identicon&r=PG', 'display_name': 'Anand', 'link': 'https://stackoverflow.com/users/1152500/anand'}",True,67471,16,76,1664286436,1353932001,,13564627,CC BY-SA 3.0,https://stackoverflow.com/questions/13564627/spring-aop-not-working-for-method-call-inside-another-method,Spring AOP not working for method call inside another method,13564700.0,,,,,
29,"['java', 'hibernate', 'jpa', 'entity', 'persist']","{'account_id': 138907, 'reputation': 10591, 'user_id': 344155, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/NvQmx.png?s=256&g=1', 'display_name': 'Paul Sanwald', 'link': 'https://stackoverflow.com/users/344155/paul-sanwald'}",True,629667,23,312,1664269746,1352846746,1580110470.0,13370221,CC BY-SA 4.0,https://stackoverflow.com/questions/13370221/persistentobjectexception-detached-entity-passed-to-persist-thrown-by-jpa-and-h,PersistentObjectException: detached entity passed to persist thrown by JPA and Hibernate,13500921.0,1535052174.0,,,,
30,"['java', 'hibernate', 'hql']","{'account_id': 33485, 'reputation': 18235, 'user_id': 93796, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/648137a2deb3a600c20e15add61139a5?s=256&d=identicon&r=PG', 'display_name': 'user93796', 'link': 'https://stackoverflow.com/users/93796/user93796'}",True,85693,6,24,1664104797,1354112742,1664104797.0,13607337,CC BY-SA 4.0,https://stackoverflow.com/questions/13607337/hibernate-query-for-selecting-multiple-values,Hibernate query for selecting multiple values,13607470.0,,,,,
31,"['java', 'hibernate', 'log4j']","{'user_type': 'does_not_exist', 'display_name': 'user519499'}",True,19501,2,8,1663834178,1353524356,,13500197,CC BY-SA 3.0,https://stackoverflow.com/questions/13500197/turn-off-hibernate-logging,Turn off Hibernate logging,,,,,,
32,"['java', 'exception', 'ehcache', 'heap-memory', 'terracotta']","{'account_id': 1169607, 'reputation': 491, 'user_id': 1147070, 'user_type': 'registered', 'accept_rate': 24, 'profile_image': 'https://www.gravatar.com/avatar/f802b81b3515cb405053293b56d6f0d9?s=256&d=identicon&r=PG', 'display_name': 'user1147070', 'link': 'https://stackoverflow.com/users/1147070/user1147070'}",False,2411,0,1,1663792281,1352536630,1663792281.0,13320540,CC BY-SA 4.0,https://stackoverflow.com/questions/13320540/getting-java-heap-space-error-when-using-ehcache-with-terracotta,Getting Java heap space error when using ehcache with Terracotta,,,,,,
33,"['java', 'generics']","{'account_id': 224815, 'reputation': 3859, 'user_id': 484894, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/mzzKf.jpg?s=256&g=1', 'display_name': 'Nailgun', 'link': 'https://stackoverflow.com/users/484894/nailgun'}",True,561,2,2,1663708637,1352804434,,13359570,CC BY-SA 3.0,https://stackoverflow.com/questions/13359570/get-type-parameter-of-super-interface,Get type parameter of super interface,13359826.0,,,,,
34,"['java', 'mysql', 'jdbc', 'connection-pooling', 'c3p0']","{'account_id': 1210340, 'reputation': 1372, 'user_id': 1179018, 'user_type': 'registered', 'accept_rate': 41, 'profile_image': 'https://i.stack.imgur.com/wSgGp.jpg?s=256&g=1', 'display_name': 'scabbage', 'link': 'https://stackoverflow.com/users/1179018/scabbage'}",False,14712,2,12,1663704295,1353448161,1619114518.0,13482803,CC BY-SA 4.0,https://stackoverflow.com/questions/13482803/c3p0-getconnection-throws-exception-a-resourcepool-could-not-acquire-a-resour,c3p0 getConnection() throws exception: A ResourcePool could not acquire a resource from its primary factory or source,,,,,,
35,"['java', 'android', 'json']","{'account_id': 393530, 'reputation': 729, 'user_id': 755428, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/b67c6d6d8d9e2b7b056a9bc7b50584dc?s=256&d=identicon&r=PG', 'display_name': 'Jeroen', 'link': 'https://stackoverflow.com/users/755428/jeroen'}",True,13123,2,3,1663571848,1353351074,1353400053.0,13460200,CC BY-SA 3.0,https://stackoverflow.com/questions/13460200/gson-tojson-gives-stackoverflowerror-how-to-get-proper-json-in-this-case-publ,"Gson.toJson gives StackOverFlowError, how to get proper json in this case? (public static class)",13466006.0,,,,,
36,"['java', 'arrays', 'sorting', 'radix']","{'account_id': 1432833, 'reputation': 378, 'user_id': 1354836, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/f15b618f82d71e9bf1e1e8edb7424d6c?s=256&d=identicon&r=PG', 'display_name': 'Gcap', 'link': 'https://stackoverflow.com/users/1354836/gcap'}",False,20269,5,0,1663538625,1354238960,1608531364.0,13637706,CC BY-SA 4.0,https://stackoverflow.com/questions/13637706/can-you-store-multiple-integers-at-one-array-index,Can you store multiple integers at one array index?,,,,,,
37,"['java', 'xml', 'dom', 'doctype']","{'account_id': 1256713, 'reputation': 229, 'user_id': 1216022, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://i.stack.imgur.com/b99Tm.jpg?s=256&g=1', 'display_name': 'wali', 'link': 'https://stackoverflow.com/users/1216022/wali'}",True,21878,2,6,1663497191,1353865243,1663497191.0,13553614,CC BY-SA 4.0,https://stackoverflow.com/questions/13553614/how-to-add-doctype-in-xml-document-using-dom,How to add doctype in XML document using DOM,23688424.0,,,,,
38,"['java', 'eclipse', 'import']","{'account_id': 1459032, 'reputation': 709, 'user_id': 1373852, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/6883a1baa76d38d01a2747f52ce1c5fb?s=256&d=identicon&r=PG', 'display_name': 'Pradit', 'link': 'https://stackoverflow.com/users/1373852/pradit'}",False,13204,6,0,1663390940,1352092097,1352181478.0,13226238,CC BY-SA 3.0,https://stackoverflow.com/questions/13226238/exception-in-thread-main-java-lang-error-unresolved-compilation,Exception in thread &quot;main&quot; java.lang.Error: Unresolved compilation,,,,,,
39,"['java', 'search', 'lucene', 'token', 'elasticsearch']","{'account_id': 47438, 'reputation': 2117, 'user_id': 140477, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/IjFb7.png?s=256&g=1', 'display_name': 'Kennedy', 'link': 'https://stackoverflow.com/users/140477/kennedy'}",True,19575,3,22,1663085123,1351778067,1351786729.0,13178550,CC BY-SA 3.0,https://stackoverflow.com/questions/13178550/elasticsearch-return-the-tokens-of-a-field,elasticsearch - Return the tokens of a field,13182001.0,,,,,
40,"['java', 'hibernate', 'jpa', 'class-hierarchy']","{'account_id': 2001894, 'reputation': 63, 'user_id': 1792724, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ca8d6d9528a32bc2bafba505c4ff7403?s=256&d=identicon&r=PG', 'display_name': 'Gustavo Fava', 'link': 'https://stackoverflow.com/users/1792724/gustavo-fava'}",True,4302,3,4,1663070032,1351809451,1351809873.0,13186572,CC BY-SA 3.0,https://stackoverflow.com/questions/13186572/retrieve-only-the-superclass-from-a-class-hierarchy,Retrieve only the superclass from a class hierarchy,13190858.0,,,,,
41,"['java', 'arrays']","{'account_id': 2080473, 'reputation': 101, 'user_id': 1852563, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3a197f0c1e228de14988fb863c3680e5?s=256&d=identicon&r=PG', 'display_name': 'BrobaFett44', 'link': 'https://stackoverflow.com/users/1852563/brobafett44'}",True,49203,4,7,1663039855,1353912850,1495540902.0,13560001,,https://stackoverflow.com/questions/13560001/length-of-an-object-array,Length of an object array,13560125.0,,1353974933.0,exact duplicate,,
42,"['java', 'encryption', 'encoding', 'character-encoding', 'aes']","{'account_id': 2017806, 'reputation': 747, 'user_id': 1804667, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/56890ef4338c7a35afd2bacf362874e1?s=256&d=identicon&r=PG', 'display_name': 'lazypig', 'link': 'https://stackoverflow.com/users/1804667/lazypig'}",True,36994,4,18,1662996037,1352245778,1352311529.0,13261252,CC BY-SA 3.0,https://stackoverflow.com/questions/13261252/javax-crypto-illegalblocksizeexception-last-block-incomplete-in-decryption-de,javax.crypto.IllegalBlockSizeException: last block incomplete in decryption - Decrypting an encrypted AES String,13274072.0,,,,,
43,"['java', 'hibernate', 'jakarta-ee', 'jax-rs', 'gson']","{'account_id': 966405, 'reputation': 2430, 'user_id': 989774, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/f15e5f9100b9862ed49aff34512d5d67?s=256&d=identicon&r=PG', 'display_name': 'Andreas', 'link': 'https://stackoverflow.com/users/989774/andreas'}",True,49531,7,61,1662707010,1353349134,1353761008.0,13459718,CC BY-SA 3.0,https://stackoverflow.com/questions/13459718/could-not-serialize-object-cause-of-hibernateproxy,Could not serialize object cause of HibernateProxy,13525550.0,,,,,
44,"['java', 'dialog', 'joptionpane']","{'account_id': 2063012, 'reputation': 161, 'user_id': 1839155, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/5b863f8ba0900dc10d53b44cc270dcba?s=256&d=identicon&r=PG', 'display_name': 'Jonny Stewart', 'link': 'https://stackoverflow.com/users/1839155/jonny-stewart'}",True,48667,3,4,1662650513,1353436100,1662650513.0,13479731,CC BY-SA 4.0,https://stackoverflow.com/questions/13479731/joptionpane-showoptiondialog,JOptionPane showOptionDialog,13479889.0,,,,,
45,"['java', 'arrays', 'operators']","{'account_id': 1657093, 'reputation': 1872, 'user_id': 1526334, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/d3a6471ce00be6622d9341d7aecb6e6e?s=256&d=identicon&r=PG', 'display_name': 'Tom Lilletveit', 'link': 'https://stackoverflow.com/users/1526334/tom-lilletveit'}",True,11435,5,4,1662125204,1352867246,1662125204.0,13373033,CC BY-SA 4.0,https://stackoverflow.com/questions/13373033/java-array-and-using-operator-when-adding-values,Java: Array and using ++ operator when adding values,13373053.0,,,,,
46,"['java', 'android', 'webview', 'zooming']","{'account_id': 1187950, 'reputation': 8836, 'user_id': 1161520, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://i.stack.imgur.com/xKURB.png?s=256&g=1', 'display_name': 'Carla Dessi', 'link': 'https://stackoverflow.com/users/1161520/carla-dessi'}",True,39306,6,25,1662113771,1353775217,,13543186,CC BY-SA 3.0,https://stackoverflow.com/questions/13543186/android-webview-initial-zoom-out,Android Webview initial zoom out,13543216.0,,,,,
47,"['java', 'eclipse', 'tomcat', 'jdbc', 'connection-pooling']","{'account_id': 430960, 'reputation': 15769, 'user_id': 814702, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/Pub1I.png?s=256&g=1', 'display_name': 'informatik01', 'link': 'https://stackoverflow.com/users/814702/informatik01'}",True,22863,1,30,1661890808,1354062887,1488563932.0,13595794,CC BY-SA 3.0,https://stackoverflow.com/questions/13595794/jdbc-connection-pool-runs-out-of-connections-when-context-reload-true-is-enabl,JDBC connection pool runs out of connections when Context reload=&quot;true&quot; is enabled in Tomcat,13631242.0,,,,,
