,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,closed_date,closed_reason,community_owned_date,migrated_from
10,"['java', 'capture']","{'account_id': 1513057, 'reputation': 307, 'user_id': 1414696, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/7fede07475cb6388edc376047d39b5ff?s=256&d=identicon&r=PG', 'display_name': 'user1414696', 'link': 'https://stackoverflow.com/users/1414696/user1414696'}",True,2665,2,3,1667384411,1337855121,10735619,CC BY-SA 3.0,https://stackoverflow.com/questions/10735619/capture-the-output-of-dos-command-prompt-and-display-in-a-java-frame,Capture the output of DOS (command prompt) and display in a JAVA Frame,,1337859050.0,,,,,
11,"['java', 'floating-point', 'double']","{'account_id': 1069533, 'reputation': 1421, 'user_id': 1081409, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/9f628374bd6ca4da044ca21203f71d7b?s=256&d=identicon&r=PG', 'display_name': 'Jan Ajan', 'link': 'https://stackoverflow.com/users/1081409/jan-ajan'}",True,17041,4,8,1667309067,1337289889,10643754,CC BY-SA 4.0,https://stackoverflow.com/questions/10643754/convert-float-and-double-to-bit-and-hexadecimal-representation-in-java,Convert float and double to bit and hexadecimal representation in Java,10643838.0,1667309067.0,,,,,
12,"['java', 'mutex']","{'account_id': 1307646, 'reputation': 1157, 'user_id': 1256278, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/d42812f6d39c12be3abb0f3aeaf7b6f3?s=256&d=identicon&r=PG', 'display_name': 'Epicblood', 'link': 'https://stackoverflow.com/users/1256278/epicblood'}",True,17702,11,13,1667176847,1336528017,10508846,CC BY-SA 3.0,https://stackoverflow.com/questions/10508846/how-to-make-sure-that-only-a-single-instance-of-a-java-application-is-running,How to make sure that only a single instance of a Java application is running?,10508888.0,1403732426.0,1562624266.0,,,,
13,"['java', 'eclipse', 'spring']","{'account_id': 1284054, 'reputation': 210, 'user_id': 1237500, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/1f3474816dadf7e51b3df220203559f5?s=256&d=identicon&r=PG', 'display_name': 'sameer', 'link': 'https://stackoverflow.com/users/1237500/sameer'}",True,20061,5,1,1667135694,1338181895,10779621,CC BY-SA 3.0,https://stackoverflow.com/questions/10779621/spring-cannot-import-library,Spring: cannot import library,10834916.0,1338189422.0,,,,,
14,"['java', 'android']","{'account_id': 304762, 'reputation': 11699, 'user_id': 614460, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/c0c96ec72a2ed1ee7a2447bacdee3016?s=256&d=identicon&r=PG', 'display_name': 'Somk', 'link': 'https://stackoverflow.com/users/614460/somk'}",True,35889,4,9,1667053678,1337198269,10625775,CC BY-SA 3.0,https://stackoverflow.com/questions/10625775/android-on-focus-change,Android On Focus Change,,,,,,,
15,"['java', 'superclass']","{'account_id': 1310193, 'reputation': 2681, 'user_id': 1258337, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/6d336c7cc00ccb66d741cfff807d40bb?s=256&d=identicon&r=PG', 'display_name': 'mark', 'link': 'https://stackoverflow.com/users/1258337/mark'}",True,157572,8,86,1666917411,1336521134,10508107,CC BY-SA 4.0,https://stackoverflow.com/questions/10508107/why-call-super-in-a-constructor,Why call super() in a constructor?,10508202.0,1549493320.0,,,,,
16,"['java', 'image', 'javadoc']","{'account_id': 1416578, 'reputation': 1713, 'user_id': 1342121, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/77514447b0277a930a8f46776a3da885?s=256&d=identicon&r=PG', 'display_name': 'ianpojman', 'link': 'https://stackoverflow.com/users/1342121/ianpojman'}",True,17492,7,35,1666706705,1338177215,10779169,CC BY-SA 3.0,https://stackoverflow.com/questions/10779169/including-images-in-javadocs,Including images in javadocs,10790401.0,1338178273.0,,,,,
17,"['java', 'scala', 'orm', 'sqlalchemy', 'relational-database']","{'account_id': 5645, 'reputation': 163473, 'user_id': 9204, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/c79937a093ff9e963c563e22cd385f30?s=256&d=identicon&r=PG', 'display_name': 'Alexey Romanov', 'link': 'https://stackoverflow.com/users/9204/alexey-romanov'}",True,11855,5,31,1666702521,1336665158,10537766,,https://stackoverflow.com/questions/10537766/closest-equivalent-to-sqlalchemy-for-java-scala,Closest equivalent to SQLAlchemy for Java/Scala,11982229.0,1336671670.0,,1579613467.0,Not suitable for this site,,
18,"['java', 'file', 'io']","{'account_id': 1486098, 'reputation': 1267, 'user_id': 1394354, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/ef67783b49601576315c265e5790ec9a?s=256&d=identicon&r=PG', 'display_name': 'Mike', 'link': 'https://stackoverflow.com/users/1394354/mike'}",True,84823,6,8,1666692618,1337018034,10588525,CC BY-SA 3.0,https://stackoverflow.com/questions/10588525/file-i-o-reading-from-one-file-and-writing-to-another-java,File I/O: Reading from one file and writing to another (Java),10588583.0,,,,,,
19,"['java', 'swing', 'jpanel', 'layout-manager', 'cardlayout']","{'account_id': 1323592, 'reputation': 8606, 'user_id': 1268895, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/d49ca28d6b846e64951858f6848432e4?s=256&d=identicon&r=PG', 'display_name': 'wattostudios', 'link': 'https://stackoverflow.com/users/1268895/wattostudios'}",True,1529,2,15,1666032503,1337648773,10694584,CC BY-SA 3.0,https://stackoverflow.com/questions/10694584/whats-so-special-about-cardlayout-vs-manual-adding-removal-of-jpanels,What&#39;s so special about CardLayout vs manual adding/removal of JPanels?,10694622.0,,,,,,
20,"['java', 'hashmap']","{'account_id': 485524, 'reputation': 4360, 'user_id': 1277859, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/d0ba6483b52efcc8319e0fd04128e13d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Joe', 'link': 'https://stackoverflow.com/users/1277859/joe'}",True,10078,4,0,1665861300,1338368869,10813196,CC BY-SA 3.0,https://stackoverflow.com/questions/10813196/how-to-compare-two-hashmaps-in-java,How to compare two hashmaps in java?,10816193.0,1338369410.0,,,,,
21,"['java', 'spring', 'maven', 'jasper-reports', 'pom.xml']","{'account_id': 1392374, 'reputation': 1255, 'user_id': 1322874, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/d7b69a210be6b1981a2b28303d20d3e7?s=256&d=identicon&r=PG', 'display_name': 'John', 'link': 'https://stackoverflow.com/users/1322874/john'}",False,7858,1,1,1665759725,1335885695,10399880,CC BY-SA 3.0,https://stackoverflow.com/questions/10399880/spring-maven-jasper-dependency,Spring - Maven | Jasper dependency,,1384171666.0,,,,,
22,"['java', 'connection-pooling', 'apache-commons-dbcp']","{'account_id': 297677, 'reputation': 3434, 'user_id': 603314, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/5jTks.jpg?s=256&g=1', 'display_name': 'bugs_', 'link': 'https://stackoverflow.com/users/603314/bugs'}",True,71420,4,88,1665753282,1337599253,10684244,CC BY-SA 3.0,https://stackoverflow.com/questions/10684244/dbcp-validationquery-for-different-databases,DBCP - validationQuery for different Databases,10684260.0,,,,,,
23,"['java', 'exception', 'barcode', 'zxing']","{'account_id': 98249, 'reputation': 5657, 'user_id': 266074, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/8f08368148696e8c3434f506a02c877c?s=256&d=identicon&r=PG', 'display_name': 'Param-Ganak', 'link': 'https://stackoverflow.com/users/266074/param-ganak'}",True,32569,9,15,1665731598,1336999532,10583622,CC BY-SA 3.0,https://stackoverflow.com/questions/10583622/com-google-zxing-notfoundexception-exception-comes-when-core-java-program-execut,com.google.zxing.NotFoundException exception comes when core java program executed?,,1464248486.0,,,,,
24,"['java', 'file-io', 'zero-copy']","{'account_id': 1441202, 'reputation': 13775, 'user_id': 1361315, 'user_type': 'registered', 'accept_rate': 38, 'profile_image': 'https://www.gravatar.com/avatar/adb3f8ac4f8a1e579921f57db0940a7e?s=256&d=identicon&r=PG', 'display_name': 'loyalflow', 'link': 'https://stackoverflow.com/users/1361315/loyalflow'}",True,8744,2,9,1665625712,1336749375,10554142,CC BY-SA 3.0,https://stackoverflow.com/questions/10554142/how-do-you-write-zero-copy-in-java-what-are-the-main-differences,How do you write zero copy in java? What are the main differences,10554431.0,,,,,,
25,"['java', 'class', 'null', 'ternary']","{'account_id': 106911, 'reputation': 2782, 'user_id': 284556, 'user_type': 'registered', 'accept_rate': 26, 'profile_image': 'https://www.gravatar.com/avatar/a547137de065c8bc5e843eedbf8727c3?s=256&d=identicon&r=PG&f=1', 'display_name': 'llappall', 'link': 'https://stackoverflow.com/users/284556/llappall'}",True,31709,13,61,1665604760,1335824957,10391406,CC BY-SA 4.0,https://stackoverflow.com/questions/10391406/java-avoid-checking-for-null-in-nested-classes-deep-null-checking,Java: avoid checking for null in nested classes (Deep Null checking),,1599062989.0,,,,,
26,"['java', 'c#', 'selenium', 'selenium-webdriver', 'webdriver']","{'account_id': 373248, 'reputation': 2212, 'user_id': 722773, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/LTI87.jpg?s=256&g=1', 'display_name': 'psadac', 'link': 'https://stackoverflow.com/users/722773/psadac'}",True,212577,19,119,1665565161,1337777553,10720325,CC BY-SA 4.0,https://stackoverflow.com/questions/10720325/selenium-webdriver-wait-for-complex-page-with-javascript-to-load,Selenium WebDriver: Wait for complex page with JavaScript to load,10726369.0,1558676750.0,,,,,
27,"['java', 'loops', 'while-loop', 'break']","{'account_id': 1483020, 'reputation': 103, 'user_id': 1391911, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7c5250b77d52d94300737796c2a8d5cc?s=256&d=identicon&r=PG', 'display_name': 'aablah', 'link': 'https://stackoverflow.com/users/1391911/aablah'}",True,5264,2,8,1665558460,1338049296,10767927,,https://stackoverflow.com/questions/10767927/when-to-use-and-how-to-write-loop-and-a-half-code,when to use and how to write loop and a half code,,1665558460.0,,1341511110.0,not a real question,,
28,"['java', 'class', 'sorting', 'anonymous']","{'account_id': 1078965, 'reputation': 757, 'user_id': 1076497, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/05c87b193a1ec58a551e883a55806fca?s=256&d=identicon&r=PG', 'display_name': 'Osman Khalid', 'link': 'https://stackoverflow.com/users/1076497/osman-khalid'}",True,69316,6,12,1665499792,1337495400,10671287,CC BY-SA 3.0,https://stackoverflow.com/questions/10671287/java-sort-using-anonymous-class,java sort using anonymous class,10675032.0,1435930244.0,,,,,
29,"['java', 'rest', 'rest-assured']","{'account_id': 967161, 'reputation': 370, 'user_id': 990401, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/4724b2b21be78495bc4e4e6d76e8b7b5?s=256&d=identicon&r=PG', 'display_name': 'danieltorres', 'link': 'https://stackoverflow.com/users/990401/danieltorres'}",True,3399,2,6,1665488545,1336485860,10500202,CC BY-SA 3.0,https://stackoverflow.com/questions/10500202/rest-assured-requests-not-working,Rest-assured requests not working,10507241.0,1336491335.0,,,,,
30,"['java', 'android', 'google-maps']","{'account_id': 900422, 'reputation': 1530, 'user_id': 936715, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/ab79c071387ff1ac42f9573fe4c431b2?s=256&d=identicon&r=PG', 'display_name': 'curlyreggie', 'link': 'https://stackoverflow.com/users/936715/curlyreggie'}",True,18186,3,11,1665426655,1336780235,10559904,CC BY-SA 3.0,https://stackoverflow.com/questions/10559904/closing-an-activity-from-another-class,Closing an activity from another class,10559925.0,1336780954.0,,,,,
31,"['java', 'string', 'if-statement']","{'account_id': 1484041, 'reputation': 2926, 'user_id': 1392672, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/9843d896a885cbc31f7677eced1779b3?s=256&d=identicon&r=PG', 'display_name': 'RedHatcc', 'link': 'https://stackoverflow.com/users/1392672/redhatcc'}",True,719240,23,243,1665396137,1336946737,10575624,CC BY-SA 3.0,https://stackoverflow.com/questions/10575624/java-string-see-if-a-string-contains-only-numbers-and-not-letters,Java String - See if a string contains only numbers and not letters,10575676.0,1432497893.0,,,,,
32,"['java', 'swing', 'sqlite', 'jtable', 'defaulttablemodel']","{'account_id': 1368936, 'reputation': 2816, 'user_id': 1304700, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://i.stack.imgur.com/Ys2gR.png?s=256&g=1', 'display_name': 'A. K. M. Tariqul Islam', 'link': 'https://stackoverflow.com/users/1304700/a-k-m-tariqul-islam'}",True,229604,10,39,1665347712,1337177651,10620448,CC BY-SA 4.0,https://stackoverflow.com/questions/10620448/how-to-populate-jtable-from-resultset,How to populate JTable from ResultSet?,10625471.0,1665347712.0,,,,,
33,"['java', 'arrays']","{'account_id': 252715, 'reputation': 6133, 'user_id': 530933, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/2ba2bfbd35d331603015c215e893a32e?s=256&d=identicon&r=PG', 'display_name': 'owen gerig', 'link': 'https://stackoverflow.com/users/530933/owen-gerig'}",True,27052,3,19,1664799148,1338317042,10804852,CC BY-SA 3.0,https://stackoverflow.com/questions/10804852/how-to-convert-short-array-to-byte-array,how to convert short array to byte array,10804934.0,1495542848.0,,,,,
34,"['java', 'list', 'collections', 'arraylist']","{'account_id': 434144, 'reputation': 18328, 'user_id': 819916, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/1d5036972c6c5d712b9d7a558eaa4c2d?s=256&d=identicon&r=PG&f=1', 'display_name': 'AKIWEB', 'link': 'https://stackoverflow.com/users/819916/akiweb'}",True,171932,14,79,1664784997,1337706405,10706721,CC BY-SA 3.0,https://stackoverflow.com/questions/10706721/convert-liststring-to-listinteger-directly,Convert List&lt;String&gt; to List&lt;Integer&gt; directly,10706805.0,1522058549.0,,,,,
35,"['java', 'program-entry-point']","{'account_id': 426785, 'reputation': 3196, 'user_id': 808203, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://www.gravatar.com/avatar/4b8a670393b0d55bab74e041ff18b501?s=256&d=identicon&r=PG', 'display_name': 'dejavu', 'link': 'https://stackoverflow.com/users/808203/dejavu'}",True,30465,8,28,1664492926,1338201298,10783190,CC BY-SA 3.0,https://stackoverflow.com/questions/10783190/why-does-main-method-in-java-always-need-arguments,Why does main method in Java always need arguments?,10783828.0,1453494373.0,1490419292.0,,,,
36,"['java', 'pca']","{'account_id': 795548, 'reputation': 1615, 'user_id': 869986, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/8b0ca167fb6daf260ef7043f41ff535c?s=256&d=identicon&r=PG', 'display_name': 'Trup', 'link': 'https://stackoverflow.com/users/869986/trup'}",True,21802,5,12,1664387489,1337097456,10604507,,https://stackoverflow.com/questions/10604507/pca-implementation-in-java,PCA Implementation in Java,,,,1569803005.0,Not suitable for this site,,
37,"['java', 'jdbc', 'connector', 'pervasive']","{'account_id': 1250073, 'reputation': 1650, 'user_id': 1294642, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://www.gravatar.com/avatar/7a8f40eabf3e9f86b5b693c7814b8503?s=256&d=identicon&r=PG', 'display_name': 'Navyah', 'link': 'https://stackoverflow.com/users/1294642/navyah'}",True,6100,2,0,1664311403,1336370611,10477378,CC BY-SA 4.0,https://stackoverflow.com/questions/10477378/creating-a-java-connector-for-pervasive-psql,Creating a Java Connector for Pervasive PSQL,10483420.0,1664311403.0,,,,,
38,['java'],"{'account_id': 1342449, 'reputation': 1193, 'user_id': 1283885, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/3f210621d793ccdbf2b2d74d617f3b9b?s=256&d=identicon&r=PG', 'display_name': 'user1283885', 'link': 'https://stackoverflow.com/users/1283885/user1283885'}",True,328506,15,97,1664102227,1337849371,10734106,CC BY-SA 4.0,https://stackoverflow.com/questions/10734106/how-to-override-tostring-properly-in-java,How to override toString() properly in Java?,10734148.0,1536674655.0,,,,,
39,"['java', 'string']","{'account_id': 295003, 'reputation': 22982, 'user_id': 599184, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/tjsXC.jpg?s=256&g=1', 'display_name': 'Leo Jiang', 'link': 'https://stackoverflow.com/users/599184/leo-jiang'}",True,24422,16,5,1664011208,1336410273,10486076,CC BY-SA 3.0,https://stackoverflow.com/questions/10486076/how-can-i-split-a-string-into-words-in-java-without-using-string-split,How can I split a string into words in Java without using String.split()?,10486186.0,1469476238.0,,,,,
40,"['java', 'design-patterns', 'jdbc', 'dao', 'multiple-databases']","{'account_id': 875173, 'reputation': 3518, 'user_id': 924962, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/7Hb7F.jpg?s=256&g=1', 'display_name': 'Harsha', 'link': 'https://stackoverflow.com/users/924962/harsha'}",True,46414,6,18,1663741525,1337051074,10593647,CC BY-SA 3.0,https://stackoverflow.com/questions/10593647/how-to-create-multiple-database-connections-for-different-databases-in-java,How to create multiple database connections for different databases in java,10593798.0,1337053397.0,,,,,
41,"['java', 'axis', 'webservice-client', 'jboss6.x']","{'account_id': 894565, 'reputation': 11, 'user_id': 932128, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8def8742b6f45f094fd7355e10477559?s=256&d=identicon&r=PG', 'display_name': 'Don', 'link': 'https://stackoverflow.com/users/932128/don'}",False,10031,2,1,1663711685,1336454546,10492995,CC BY-SA 3.0,https://stackoverflow.com/questions/10492995/loader-constraint-violation-in-interface-itable-initialization,loader constraint violation in interface itable initialization:,,,,,,,
42,"['java', 'swing', 'jtable']","{'account_id': 1249527, 'reputation': 461, 'user_id': 1210237, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/b2bT3.jpg?s=256&g=1', 'display_name': 'Lucy', 'link': 'https://stackoverflow.com/users/1210237/lucy'}",True,16768,3,3,1663584737,1336252742,10466079,CC BY-SA 4.0,https://stackoverflow.com/questions/10466079/import-csv-to-jtable,import csv to JTable,10466170.0,1531931600.0,,,,,
43,"['java', 'file', 'compiler-construction']","{'account_id': 1448588, 'reputation': 392, 'user_id': 1366263, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/65963e2413e2724dc8fae2cc1676049e?s=256&d=identicon&r=PG', 'display_name': 'odin', 'link': 'https://stackoverflow.com/users/1366263/odin'}",True,27815,5,1,1663524281,1335804352,10387357,,https://stackoverflow.com/questions/10387357/online-java-compiler-multiple-file-support,Online Java Compiler (Multiple File Support),41064406.0,1548778803.0,,1516895780.0,Not suitable for this site,,
44,"['java', 'map', 'guava', 'apache-commons']","{'account_id': 1239155, 'reputation': 7782, 'user_id': 1202172, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/8587094fc4666bee5d5852f163e6f86b?s=256&d=identicon&r=PG', 'display_name': 'Danijel', 'link': 'https://stackoverflow.com/users/1202172/danijel'}",True,124884,6,112,1663491306,1337679723,10699492,,https://stackoverflow.com/questions/10699492/bi-directional-map-in-java,Bi-directional Map in Java?,10699528.0,1337814651.0,,1390629514.0,Duplicate,,
45,"['java', 'xml', 'junit', 'webdriver', 'testng']","{'account_id': 1440553, 'reputation': 13, 'user_id': 1360832, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/dd7cfdb2885aa069421e5983c1cc92e0?s=256&d=identicon&r=PG', 'display_name': 'Tufan', 'link': 'https://stackoverflow.com/users/1360832/tufan'}",False,21488,7,0,1663452060,1335872225,10397117,CC BY-SA 3.0,https://stackoverflow.com/questions/10397117/how-to-do-parameterization-in-selenium-webdriver,How to do parameterization in Selenium Webdriver?,,1346996073.0,,,,,
46,"['java', 'eclipse', 'version']","{'account_id': 1389475, 'reputation': 183, 'user_id': 1320668, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/73b0c9020bbdc8a077ff8c9aad521a34?s=256&d=identicon&r=PG', 'display_name': 'user1320668', 'link': 'https://stackoverflow.com/users/1320668/user1320668'}",True,102103,4,18,1662982427,1336013983,10424528,CC BY-SA 3.0,https://stackoverflow.com/questions/10424528/changing-java-version-from-within-eclipse,Changing Java Version From Within Eclipse,,,,,,,
47,"['java', 'arraylist']","{'account_id': 194597, 'reputation': 40680, 'user_id': 437039, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/EKPmi.jpg?s=256&g=1', 'display_name': 'sandalone', 'link': 'https://stackoverflow.com/users/437039/sandalone'}",True,79522,7,28,1662845924,1336030822,10427109,CC BY-SA 3.0,https://stackoverflow.com/questions/10427109/how-to-copy-values-not-references-of-listinteger-into-another-list,"How to copy values, not references, of List&lt;Integer&gt; into another list?",10427232.0,1336031166.0,,,,,
48,"['java', 'regex']","{'account_id': 1473662, 'reputation': 545, 'user_id': 1384603, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/4ae0aaaa996cb17f5b5bf1086c02fe3d?s=256&d=identicon&r=PG', 'display_name': 'user1384603', 'link': 'https://stackoverflow.com/users/1384603/user1384603'}",True,10011,3,1,1662618580,1336567691,10516468,CC BY-SA 3.0,https://stackoverflow.com/questions/10516468/java-regular-expression-alphabetic-with-spaces-and-apostrophe,"Java regular expression. Alphabetic, with spaces and apostrophe (&#39;)",10516599.0,1397083455.0,,,,,
