,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,locked_date,community_owned_date
10,"['java', 'nullpointerexception', 'jlabel']","{'user_type': 'does_not_exist', 'display_name': 'Roberto Duran'}",True,3171,,4,0,1663408987,1237214588,1441268351.0,650719,CC BY-SA 3.0,https://stackoverflow.com/questions/650719/null-pointer-exception-jlabel,Null pointer exception JLabel,,,,,
11,"['java', 'database', 'performance', 'prepared-statement']","{'account_id': 19488, 'reputation': 19731, 'user_id': 45730, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/96869aed4de4cb65c3690b66c783dad0?s=256&d=identicon&r=PG', 'display_name': 'Kapsh', 'link': 'https://stackoverflow.com/users/45730/kapsh'}",True,36729,,11,59,1663083462,1238101814,1238174103.0,687550,CC BY-SA 2.5,https://stackoverflow.com/questions/687550/preparedstatements-and-performance,PreparedStatements and performance,,,,,
12,"['c#', 'java', 'data-structures', 'linked-list']","{'account_id': 3246, 'reputation': 182189, 'user_id': 4653, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/a525b89ed2980a2bbc41e1f23dc350cf?s=256&d=identicon&r=PG&f=1', 'display_name': 'leora', 'link': 'https://stackoverflow.com/users/4653/leora'}",True,26023,670193.0,19,31,1662050771,1237673832,1495535552.0,670104,CC BY-SA 3.0,https://stackoverflow.com/questions/670104/what-are-real-world-examples-of-when-linked-lists-should-be-used,What are real world examples of when Linked Lists should be used?,,,,,
13,"['java', 'spring', 'exception', 'nested-exceptions']","{'account_id': 19267, 'reputation': 5259, 'user_id': 45018, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/9cbc6614d58149c402f7117c04a1cbe2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Yang Meyer', 'link': 'https://stackoverflow.com/users/45018/yang-meyer'}",True,46049,610700.0,9,38,1660343209,1236174592,1660343002.0,610628,CC BY-SA 4.0,https://stackoverflow.com/questions/610628/best-way-to-check-whether-a-certain-exception-type-was-the-cause-of-a-cause-et,"Best way to check whether a certain exception type was the cause (of a cause, etc ...) in a nested exception?",,,,,
14,"['java', 'javax.imageio']","{'user_type': 'does_not_exist', 'display_name': 'Dick Song'}",True,239185,,14,122,1659641461,1237805314,1466326640.0,672916,CC BY-SA 3.0,https://stackoverflow.com/questions/672916/how-to-get-image-height-and-width-using-java,How to get image height and width using java?,1561580114.0,,,,
15,"['java', 'graphics', 'bufferedimage']","{'account_id': 24433, 'reputation': 8490, 'user_id': 62122, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/6c046fcc635a064a9dfc175b9e910663?s=256&d=identicon&r=PG', 'display_name': 'William', 'link': 'https://stackoverflow.com/users/62122/william'}",True,26397,660660.0,6,8,1659520812,1237421265,,660580,CC BY-SA 2.5,https://stackoverflow.com/questions/660580/change-the-alpha-value-of-a-bufferedimage,Change the alpha value of a BufferedImage?,,,,,
16,"['java', 'eclipse', 'path', 'java.library.path']","{'account_id': 14012, 'reputation': 11059, 'user_id': 28482, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/773e43c5d157160e1e9b96d8c93b742e?s=256&d=identicon&r=PG', 'display_name': 'Touko', 'link': 'https://stackoverflow.com/users/28482/touko'}",True,305303,2309723.0,14,97,1658352818,1237447608,1564606338.0,661320,CC BY-SA 4.0,https://stackoverflow.com/questions/661320/how-to-add-native-library-to-java-library-path-with-eclipse-launch-instead-of,How to add native library to &quot;java.library.path&quot; with Eclipse launch (instead of overriding it),,,,,
17,"['java', 'file', 'parsing', 'url', 'filenames']","{'account_id': 4301, 'reputation': 7774, 'user_id': 6400, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/a41d871eec1e78ab04ac9f95c501efa6?s=256&d=identicon&r=PG', 'display_name': 'Sietse', 'link': 'https://stackoverflow.com/users/6400/sietse'}",True,238569,17167743.0,28,170,1658347203,1236072265,1443359402.0,605696,CC BY-SA 3.0,https://stackoverflow.com/questions/605696/get-file-name-from-url,Get file name from URL,,,,,
18,"['java', 'exception', 'checked-exceptions']","{'account_id': 25591, 'reputation': 60196, 'user_id': 65868, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/1c5lJ.png?s=256&g=1', 'display_name': 'TofuBeer', 'link': 'https://stackoverflow.com/users/65868/tofubeer'}",True,78098,,33,517,1658162545,1236241134,1592759951.0,613954,CC BY-SA 4.0,https://stackoverflow.com/questions/613954/the-case-against-checked-exceptions,The case against checked exceptions,,,,,
19,"['java', 'enums']","{'account_id': 21064, 'reputation': 32424, 'user_id': 50913, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/a2efbe5dd07faf6e3432863a8303dbcd?s=256&d=identicon&r=PG', 'display_name': 'Malachi', 'link': 'https://stackoverflow.com/users/50913/malachi'}",True,1504344,604426.0,32,2294,1657621357,1236034594,1628616726.0,604424,CC BY-SA 4.0,https://stackoverflow.com/questions/604424/how-to-get-an-enum-value-from-a-string-value-in-java,How to get an enum value from a string value in Java,1342167656.0,,,,
20,"['java', 'linux', 'variables', 'x11', 'headless']","{'account_id': 18419, 'reputation': 47975, 'user_id': 42155, 'user_type': 'registered', 'accept_rate': 22, 'profile_image': 'https://www.gravatar.com/avatar/bec1c77805ad9d7e6b1dca098442e984?s=256&d=identicon&r=PG', 'display_name': 'user42155', 'link': 'https://stackoverflow.com/users/42155/user42155'}",True,599981,662429.0,11,120,1656321049,1237472930,1524516014.0,662421,CC BY-SA 3.0,https://stackoverflow.com/questions/662421/no-x11-display-variable-what-does-it-mean,&quot;No X11 DISPLAY variable&quot; - what does it mean?,1525988554.0,,,,
21,"['java', 'file', 'text', 'binary']","{'account_id': 8429, 'reputation': 55846, 'user_id': 15187, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/6901887336e94dfc45e6208206dddbae?s=256&d=identicon&r=PG', 'display_name': 'yanchenko', 'link': 'https://stackoverflow.com/users/15187/yanchenko'}",True,40324,621003.0,12,48,1655592579,1236385864,1353689432.0,620993,CC BY-SA 3.0,https://stackoverflow.com/questions/620993/determining-binary-text-file-type-in-java,Determining binary/text file type in Java?,,,,,
22,"['java', 'apache', 'ant']","{'user_type': 'does_not_exist', 'display_name': 'miaw-miaw'}",True,23071,,8,4,1655379908,1238416553,1238417209.0,697006,CC BY-SA 2.5,https://stackoverflow.com/questions/697006/how-to-install-apache-ant,How to install Apache Ant?,,,,,
23,"['java', 'batch-file', 'cmd']","{'user_type': 'does_not_exist', 'display_name': 'abc'}",True,15146,,6,2,1654632945,1235970114,1235971443.0,601315,CC BY-SA 2.5,https://stackoverflow.com/questions/601315/exit-the-batch-file-after-running-using-java,exit the batch file after running using java,,,,,
24,"['java', 'blocking', 'inputstream', 'rxtx', 'java-io']","{'account_id': 17315, 'reputation': 15479, 'user_id': 38663, 'user_type': 'registered', 'accept_rate': 27, 'profile_image': 'https://www.gravatar.com/avatar/861ea6ce72bc3d44204d40cb896512d5?s=256&d=identicon&r=PG', 'display_name': 'jbu', 'link': 'https://stackoverflow.com/users/38663/jbu'}",True,102574,,7,58,1654454622,1236189977,1424822182.0,611760,CC BY-SA 3.0,https://stackoverflow.com/questions/611760/java-inputstream-blocking-read,Java InputStream blocking read,,,,,
25,"['java', 'jar', 'decompiler']","{'account_id': 19119, 'reputation': 15252, 'user_id': 44533, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/e9765eff0c80ac791015e37d17123a27?s=256&d=identicon&r=PG', 'display_name': 'StoneHeart', 'link': 'https://stackoverflow.com/users/44533/stoneheart'}",True,695280,647140.0,8,325,1654411667,1237082923,1438776030.0,647116,,https://stackoverflow.com/questions/647116/how-to-decompile-a-whole-jar-file,How to decompile a whole Jar file?,1374613709.0,1438691852.0,Not suitable for this site,,
26,"['java', 'unit-testing', 'asynchronous', 'junit']","{'account_id': 20392, 'reputation': 6257, 'user_id': 48721, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/f2a72de364c9c7558a73a1072a0b956a?s=256&d=identicon&r=PG', 'display_name': 'Sam', 'link': 'https://stackoverflow.com/users/48721/sam'}",True,218992,631754.0,17,254,1653540300,1236708571,1553175074.0,631598,CC BY-SA 4.0,https://stackoverflow.com/questions/631598/how-to-use-junit-to-test-asynchronous-processes,How to use JUnit to test asynchronous processes,1562835797.0,,,,
27,"['java', 'encryption', 'https', 'openssl', 'ssl-certificate']","{'account_id': 28583, 'reputation': 20204, 'user_id': 76465, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/201641a489349495d6c0846e219d9a5e?s=256&d=identicon&r=PG', 'display_name': 'Chathuranga Chandrasekara', 'link': 'https://stackoverflow.com/users/76465/chathuranga-chandrasekara'}",True,319700,656559.0,16,153,1652977050,1237259669,1441135284.0,652916,CC BY-SA 3.0,https://stackoverflow.com/questions/652916/converting-a-java-keystore-into-pem-format,Converting a Java Keystore into PEM Format,,,,,
28,"['java', 'session', 'tomcat', 'jakarta-ee']","{'account_id': 15880, 'reputation': 6541, 'user_id': 34009, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/a911729c53a5437b1864e0792c5474b7?s=256&d=identicon&r=PG', 'display_name': 'Serxipc', 'link': 'https://stackoverflow.com/users/34009/serxipc'}",True,57400,666072.0,11,52,1652597905,1237552338,1491316633.0,665941,CC BY-SA 3.0,https://stackoverflow.com/questions/665941/any-way-to-share-session-state-between-different-applications-in-tomcat,Any way to share session state between different applications in tomcat?,,,,,
29,"['java', 'eclipse', 'ssl', 'ssl-certificate']","{'account_id': 24965, 'reputation': 5089, 'user_id': 63814, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/607eab54ab44ecd7ebefa443e1925596?s=256&d=identicon&r=PG', 'display_name': 'MahlerFive', 'link': 'https://stackoverflow.com/users/63814/mahlerfive'}",True,117492,685036.0,8,45,1652355253,1238027722,,684081,CC BY-SA 2.5,https://stackoverflow.com/questions/684081/importing-ssl-certificate-into-eclipse,Importing SSL Certificate into Eclipse,,,,,
30,"['java', 'performance', 'rendering', 'jogl', 'java-2d']","{'account_id': 25273, 'reputation': 64048, 'user_id': 64878, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/437d018976627b471adcf13c6b31feb7?s=256&d=identicon&r=PG', 'display_name': 'KingNestor', 'link': 'https://stackoverflow.com/users/64878/kingnestor'}",True,7338,603342.0,4,17,1652002835,1236005704,1236015423.0,602614,CC BY-SA 2.5,https://stackoverflow.com/questions/602614/what-are-some-faster-alternatives-to-java2d,What are some faster alternatives to Java2d?,,,,,
31,"['java', 'junit', 'junit4', 'parameterized']","{'account_id': 4400, 'reputation': 37462, 'user_id': 6583, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/f758b3311bad48256cad485352104576?s=256&d=identicon&r=PG', 'display_name': 'Epaga', 'link': 'https://stackoverflow.com/users/6583/epaga'}",True,96604,10143872.0,14,222,1651648011,1237217121,1346097084.0,650894,CC BY-SA 3.0,https://stackoverflow.com/questions/650894/changing-names-of-parameterized-tests,Changing names of parameterized tests,,,,,
32,"['java', 'sql', 'parsing']","{'account_id': 8326, 'reputation': 253181, 'user_id': 14955, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://i.stack.imgur.com/5DblQ.png?s=256&g=1', 'display_name': 'Thilo', 'link': 'https://stackoverflow.com/users/14955/thilo'}",True,104324,,7,145,1650780529,1237422074,1454699835.0,660609,,https://stackoverflow.com/questions/660609/sql-parser-library-for-java,SQL parser library for Java,,1331609775.0,not constructive,,
33,"['java', 'scala', 'scala-collections', 'scala-2.7']","{'account_id': 9178, 'reputation': 132397, 'user_id': 16853, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/lUxU7.jpg?s=256&g=1', 'display_name': 'oxbow_lakes', 'link': 'https://stackoverflow.com/users/16853/oxbow-lakes'}",True,81906,676466.0,10,90,1650002271,1237833975,1495542749.0,674713,CC BY-SA 3.0,https://stackoverflow.com/questions/674713/converting-a-java-collection-into-a-scala-collection,Converting a Java collection into a Scala collection,,,,,
34,"['java', 'design-patterns', 'factory-pattern', 'strategy-pattern', 'abstract-factory']","{'account_id': 876239, 'reputation': 2169, 'user_id': 74446, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/addb1996bf409977d6097b8a4d98ef87?s=256&d=identicon&r=PG', 'display_name': 'Sap_vr', 'link': 'https://stackoverflow.com/users/74446/sap-vr'}",True,84276,616836.0,15,199,1649855016,1236290022,1455410287.0,616796,CC BY-SA 3.0,https://stackoverflow.com/questions/616796/what-is-the-difference-between-factory-and-strategy-patterns,What is the difference between Factory and Strategy patterns?,,,,,
35,"['java', 'jsp', 'struts', 'tags', 'jsp-tags']","{'account_id': 26132, 'reputation': 3157, 'user_id': 67722, 'user_type': 'registered', 'accept_rate': 15, 'profile_image': 'https://www.gravatar.com/avatar/e04050fdb0180e117e28e863aa88f31a?s=256&d=identicon&r=PG', 'display_name': 'user67722', 'link': 'https://stackoverflow.com/users/67722/user67722'}",True,261,,2,1,1649405804,1237267173,1649405804.0,653085,CC BY-SA 4.0,https://stackoverflow.com/questions/653085/purpose-of-tag-library,Purpose of tag library?,,,,,
36,"['java', 'coupling', 'cohesion']","{'user_type': 'does_not_exist', 'display_name': 'Roberto Duran'}",True,353,,8,3,1649321620,1237200161,1649321620.0,649909,CC BY-SA 4.0,https://stackoverflow.com/questions/649909/class-design-change-text-on-button-click,Class design: change text on button click,,,,,
37,"['java', 'arraylist']","{'account_id': 29808, 'reputation': 14993, 'user_id': 80796, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/90004f6e9493bc0eb0618eb30f560f5a?s=256&d=identicon&r=PG', 'display_name': 'Jessy', 'link': 'https://stackoverflow.com/users/80796/jessy'}",True,969770,687842.0,23,748,1648232498,1238107137,1648232498.0,687833,CC BY-SA 4.0,https://stackoverflow.com/questions/687833/how-to-get-the-last-value-of-an-arraylist,How to get the last value of an ArrayList,,,,,
38,"['java', 'buffer', 'byte']","{'account_id': 17315, 'reputation': 15479, 'user_id': 38663, 'user_type': 'registered', 'accept_rate': 27, 'profile_image': 'https://www.gravatar.com/avatar/861ea6ce72bc3d44204d40cb896512d5?s=256&d=identicon&r=PG', 'display_name': 'jbu', 'link': 'https://stackoverflow.com/users/38663/jbu'}",True,68060,664394.0,4,73,1648063704,1237503658,1648063704.0,664389,CC BY-SA 4.0,https://stackoverflow.com/questions/664389/byte-array-of-unknown-length-in-java,Byte array of unknown length in java,,,,,
39,"['java', 'runtime', 'escaping', 'space']","{'account_id': 29727, 'reputation': 3587, 'user_id': 80544, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/HtN07.jpg?s=256&g=1', 'display_name': 'Glenn', 'link': 'https://stackoverflow.com/users/80544/glenn'}",True,10711,697672.0,4,9,1642292151,1238425726,1238426162.0,697621,CC BY-SA 2.5,https://stackoverflow.com/questions/697621/spaces-in-java-execute-path-for-os-x,Spaces in java execute path for OS X,,,,,
40,"['java', 'scala', 'scala-collections']","{'account_id': 9178, 'reputation': 132397, 'user_id': 16853, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/lUxU7.jpg?s=256&g=1', 'display_name': 'oxbow_lakes', 'link': 'https://stackoverflow.com/users/16853/oxbow-lakes'}",True,12581,674680.0,3,10,1641660255,1237831527,1367862323.0,674545,CC BY-SA 3.0,https://stackoverflow.com/questions/674545/scala-equivalent-of-new-hashsetcollection,Scala equivalent of new HashSet(Collection),,,,,
41,"['java', 'swing', 'jlabel']","{'account_id': 29808, 'reputation': 14993, 'user_id': 80796, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/90004f6e9493bc0eb0618eb30f560f5a?s=256&d=identicon&r=PG', 'display_name': 'Jessy', 'link': 'https://stackoverflow.com/users/80796/jessy'}",True,133358,685631.0,11,87,1641658544,1238070059,1641658544.0,685521,CC BY-SA 4.0,https://stackoverflow.com/questions/685521/multiline-text-in-jlabel,Multiline text in JLabel,,,,,
42,"['java', 'optimization', 'currency', 'math', 'bigdecimal']","{'account_id': 561887, 'reputation': 651, 'user_id': 73824, 'user_type': 'unregistered', 'profile_image': 'https://www.gravatar.com/avatar/5e568d199b9a45de850bc750017fb5f4?s=256&d=identicon&r=PG', 'display_name': 'Alexander Temerev', 'link': 'https://stackoverflow.com/users/73824/alexander-temerev'}",True,43403,,19,65,1640582519,1236189515,1240565694.0,611732,CC BY-SA 2.5,https://stackoverflow.com/questions/611732/what-to-do-with-java-bigdecimal-performance,What to do with Java BigDecimal performance?,,,,,
43,"['java', 'java.util.scanner', 'tokenize', 'split']","{'account_id': 19413, 'reputation': 4020, 'user_id': 45507, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/vUTtc.png?s=256&g=1', 'display_name': 'Dave', 'link': 'https://stackoverflow.com/users/45507/dave'}",True,152353,691224.0,10,165,1640573736,1238182162,1327571454.0,691184,CC BY-SA 3.0,https://stackoverflow.com/questions/691184/scanner-vs-stringtokenizer-vs-string-split,Scanner vs. StringTokenizer vs. String.Split,,,,,
44,"['java', 'multithreading']","{'account_id': 24717, 'reputation': 252862, 'user_id': 63051, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/b4b87a82355f286bb410cc1854389226?s=256&d=identicon&r=PG', 'display_name': 'flybywire', 'link': 'https://stackoverflow.com/users/63051/flybywire'}",True,588835,671052.0,17,408,1638368561,1237730674,1610273644.0,671049,CC BY-SA 4.0,https://stackoverflow.com/questions/671049/how-do-you-kill-a-thread-in-java,How do you kill a Thread in Java?,1517771646.0,,,,
45,"['java', 'xml', 'xsd']","{'account_id': 13101, 'reputation': 27260, 'user_id': 26133, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/dfe9cf5d0681a2cd730408d5ac909851?s=256&d=identicon&r=PG', 'display_name': 'Keith Palmer Jr.', 'link': 'https://stackoverflow.com/users/26133/keith-palmer-jr'}",True,346233,686468.0,13,142,1637428171,1238084074,,686453,CC BY-SA 2.5,https://stackoverflow.com/questions/686453/generate-java-classes-from-xsd-files,Generate Java classes from .XSD files...?,,,,,
46,"['java', 'void']","{'account_id': 15307, 'reputation': 17374, 'user_id': 32174, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/ec3b4d2db3e6e33b498deb38592e862d?s=256&d=identicon&r=PG', 'display_name': 'Julien Chastang', 'link': 'https://stackoverflow.com/users/32174/julien-chastang'}",True,85908,644060.0,11,170,1636467343,1236967723,1511380478.0,643906,CC BY-SA 3.0,https://stackoverflow.com/questions/643906/uses-for-the-java-void-reference-type,Uses for the Java Void Reference Type?,,,,,
47,"['java', 'hibernate', 'jpa']","{'user_type': 'does_not_exist', 'display_name': 'anon'}",True,28059,700571.0,4,60,1635980798,1238488000,1474990343.0,700558,CC BY-SA 3.0,https://stackoverflow.com/questions/700558/org-hibernate-annotations-vs-javax-persistence,org.hibernate.annotations vs. javax.persistence,,,,,
48,"['java', 'algorithm', 'optimization', 'trie']","{'account_id': 11857, 'reputation': 87478, 'user_id': 23072, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/ad19b9146f4ffd608bf137323f68de0c?s=256&d=identicon&r=PG', 'display_name': 'Uri', 'link': 'https://stackoverflow.com/users/23072/uri'}",True,40931,623998.0,14,80,1635955753,1236531472,1236556794.0,623892,,https://stackoverflow.com/questions/623892/where-do-i-find-a-standard-trie-based-map-implementation-in-java,Where do I find a standard Trie based map implementation in Java?,1374585635.0,1605438343.0,Not suitable for this site,,
49,"['java', 'client-side', 'webdav']","{'account_id': 27295, 'reputation': 9833, 'user_id': 71910, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/IHGte.jpg?s=256&g=1', 'display_name': 'Darius Kucinskas', 'link': 'https://stackoverflow.com/users/71910/darius-kucinskas'}",True,37129,672869.0,6,25,1635886817,1237800428,,672678,CC BY-SA 2.5,https://stackoverflow.com/questions/672678/java-webdav-client-side-library,Java WebDAV client side library,,,,,
50,"['java', 'url-encoding']","{'account_id': 28240, 'reputation': 1145, 'user_id': 75268, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/f9b85bd76439af9cb1f7e7a83e6be181?s=256&d=identicon&r=PG', 'display_name': 'Penchant', 'link': 'https://stackoverflow.com/users/75268/penchant'}",True,43510,624002.0,3,38,1635207564,1236530786,1236640073.0,623861,CC BY-SA 2.5,https://stackoverflow.com/questions/623861/how-do-you-unescape-urls-in-java,How do you unescape URLs in Java?,,,,,
51,"['java', 'string', 'sorting']","{'user_type': 'does_not_exist', 'display_name': 'Markus'}",True,350314,,13,163,1635091560,1236076449,1236086125.0,605891,CC BY-SA 2.5,https://stackoverflow.com/questions/605891/sort-a-single-string-in-java,Sort a single String in Java,1525060196.0,,,,
