,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,protected_date,accepted_answer_id,last_edit_date,closed_date,closed_reason,locked_date,community_owned_date
23,"['java', 'file', 'file-io', 'text-files']","{'account_id': 43356, 'reputation': 8083, 'user_id': 126680, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/20f77df5ad847ce27037ccc593fd53db?s=256&d=identicon&r=PG', 'display_name': 'Justin White', 'link': 'https://stackoverflow.com/users/126680/justin-white'}",True,1365282,24,785,1659297018,1246131448,1053467,CC BY-SA 3.0,https://stackoverflow.com/questions/1053467/how-do-i-save-a-string-to-a-text-file-using-java,How do I save a String to a text file using Java?,1389346064.0,,1404195127.0,,,,
24,"['java', 'html', 'construction']","{'account_id': 877182, 'reputation': 121, 'user_id': 118037, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/11e4c66d38145479f2823502c7b58945?s=256&d=identicon&r=PG', 'display_name': 'Tom Klapiscak', 'link': 'https://stackoverflow.com/users/118037/tom-klapiscak'}",True,16879,9,12,1658945713,1244211582,956112,CC BY-SA 4.0,https://stackoverflow.com/questions/956112/programmatic-htmldocument-generation-using-java,Programmatic HTMLDocument generation using Java,,,1658945713.0,,,,
25,"['java', 'session', 'tomcat']","{'account_id': 32898, 'reputation': 7857, 'user_id': 91610, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/91913f6ab8085bab0f2aa43995ba8ca2?s=256&d=identicon&r=PG', 'display_name': 'Bogdan Gusiev', 'link': 'https://stackoverflow.com/users/91610/bogdan-gusiev'}",True,20557,10,16,1658832578,1244273033,959174,CC BY-SA 2.5,https://stackoverflow.com/questions/959174/tomcat-sessions-expiring-unexpectedly,Tomcat sessions expiring unexpectedly,,959530.0,1244358745.0,,,,
26,"['java', 'c++', 'generics', 'c++-templates']","{'account_id': 11449, 'reputation': 45340, 'user_id': 22076, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/f764e60e95b149fd9fbfc6ddf241d872?s=256&d=identicon&r=PG', 'display_name': 'yesraaj', 'link': 'https://stackoverflow.com/users/22076/yesraaj'}",True,53107,8,60,1658830120,1245072733,996135,CC BY-SA 4.0,https://stackoverflow.com/questions/996135/how-are-java-generics-different-from-c-templates-why-cant-i-use-int-as-a-par,How are Java generics different from C++ templates? Why can&#39;t I use int as a parameter?,,996154.0,1658830120.0,,,,
27,"['java', 'android', 'android-manifest']","{'account_id': 4781, 'reputation': 13231, 'user_id': 7363, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/1a5f99a5c2c6d0597a2f4feb293ad733?s=256&d=identicon&r=PG', 'display_name': 'Lucas S.', 'link': 'https://stackoverflow.com/users/7363/lucas-s'}",True,9471,2,17,1658750530,1244588488,972933,CC BY-SA 3.0,https://stackoverflow.com/questions/972933/remove-application-from-launcher-programmatically-in-android,Remove application from launcher programmatically in Android,,980802.0,1499105369.0,,,,
28,['java'],"{'user_type': 'does_not_exist', 'display_name': 'tom'}",True,34261,17,9,1658156645,1245687461,1028095,CC BY-SA 4.0,https://stackoverflow.com/questions/1028095/how-can-i-exchange-the-first-and-last-characters-of-a-string-in-java,How can I exchange the first and last characters of a string in Java?,,1028109.0,1592644375.0,,,,
29,"['java', 'multithreading', 'concurrency', 'executorservice', 'threadpoolexecutor']","{'account_id': 39563, 'reputation': 3920, 'user_id': 114194, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/33470dd59cd4fc37d96a9ac2bd45c3da?s=256&d=identicon&r=PG', 'display_name': 'hakish', 'link': 'https://stackoverflow.com/users/114194/hakish'}",True,124880,8,189,1657735322,1244105740,949355,CC BY-SA 3.0,https://stackoverflow.com/questions/949355/executors-newcachedthreadpool-versus-executors-newfixedthreadpool,Executors.newCachedThreadPool() versus Executors.newFixedThreadPool(),1573234812.0,949463.0,1500998986.0,,,,
30,"['java', 'leap-year', 'acm-java-libraries']","{'account_id': 36198, 'reputation': 3101, 'user_id': 103132, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/xySwR.png?s=256&g=1', 'display_name': 'Ibn Saeed', 'link': 'https://stackoverflow.com/users/103132/ibn-saeed'}",True,292273,22,42,1657160238,1245491280,1021324,CC BY-SA 3.0,https://stackoverflow.com/questions/1021324/java-code-for-calculating-leap-year,Java Code for calculating Leap Year,1564492945.0,1021373.0,1388391228.0,,,,
31,"['java', 'vb.net', 'reflection', 'introspection', 'instanceof']","{'account_id': 4258, 'reputation': 73963, 'user_id': 6340, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/58102aa3319cc2ba3174fdcb3a5a5dc1?s=256&d=identicon&r=PG', 'display_name': 'brasskazoo', 'link': 'https://stackoverflow.com/users/6340/brasskazoo'}",True,14822,4,14,1656532720,1245196599,1004476,CC BY-SA 3.0,https://stackoverflow.com/questions/1004476/what-is-the-vb-equivalent-of-javas-instanceof-and-isinstance,What is the VB equivalent of Java&#39;s instanceof and isInstance()?,,1004488.0,1495540956.0,,,,
32,"['java', 'eclipse', 'compilation', 'javac']","{'account_id': 17713, 'reputation': 7143, 'user_id': 39946, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/fa2cddbada28d8e9c30976fab69bed57?s=256&d=identicon&r=PG', 'display_name': 'Lena Schimmel', 'link': 'https://stackoverflow.com/users/39946/lena-schimmel'}",True,17834,6,19,1656490687,1243944869,939194,CC BY-SA 4.0,https://stackoverflow.com/questions/939194/preserving-parameter-argument-names-in-compiled-java-classes,Preserving parameter/argument names in compiled Java classes,,939451.0,1656490687.0,,,,
33,"['java', 'logging']","{'account_id': 12837, 'reputation': 33273, 'user_id': 25472, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/577531ed942173ec2cad22b264c176af?s=256&d=identicon&r=PG', 'display_name': 'VolkA', 'link': 'https://stackoverflow.com/users/25472/volka'}",True,276147,5,87,1655978900,1244307150,960099,CC BY-SA 3.0,https://stackoverflow.com/questions/960099/how-to-set-up-java-logging-using-a-properties-file-java-util-logging,How to set up java logging using a properties file? (java.util.logging),,960110.0,1451989435.0,,,,
34,"['java', 'sql-server-2005', 'jdbc', 'connection-string']","{'account_id': 237, 'reputation': 27976, 'user_id': 292, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/16db4bb794911afb2830e17e6c9d4702?s=256&d=identicon&r=PG', 'display_name': 'shsteimer', 'link': 'https://stackoverflow.com/users/292/shsteimer'}",True,33417,14,17,1655930924,1244342217,961078,CC BY-SA 2.5,https://stackoverflow.com/questions/961078/sql-server-query-running-slow-from-java,sql server query running slow from java,,961190.0,1247020246.0,,,,
35,"['java', 'string', 'process']","{'account_id': 36460, 'reputation': 133004, 'user_id': 104015, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/946c085c383cc406907c2bbf809917c3?s=256&d=identicon&r=PG', 'display_name': 'omg', 'link': 'https://stackoverflow.com/users/104015/omg'}",True,238539,23,194,1655748323,1243968902,941272,CC BY-SA 2.5,https://stackoverflow.com/questions/941272/how-do-i-trim-a-file-extension-from-a-string-in-java,How do I trim a file extension from a String in Java?,,,1243969359.0,,,,
36,"['java', 'jmx', 'mbeans']","{'account_id': 39088, 'reputation': 65923, 'user_id': 112671, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/3e09fc9ec9f79f9444a60bc7b258cf71?s=256&d=identicon&r=PG', 'display_name': 'Robert Munteanu', 'link': 'https://stackoverflow.com/users/112671/robert-munteanu'}",True,2663,2,2,1655096908,1244560224,970666,CC BY-SA 2.5,https://stackoverflow.com/questions/970666/accessing-a-remote-garbagecollectormxbean,Accessing a remote GarbageCollectorMXBean,,970754.0,,,,,
37,"['java', 'collections', 'arraylist', 'initialization']","{'account_id': 41275, 'reputation': 90747, 'user_id': 119895, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/dEYOs.jpg?s=256&g=1', 'display_name': 'Macarse', 'link': 'https://stackoverflow.com/users/119895/macarse'}",True,3519940,33,3215,1655034526,1245211820,1005073,CC BY-SA 4.0,https://stackoverflow.com/questions/1005073/initialization-of-an-arraylist-in-one-line,Initialization of an ArrayList in one line,1428573066.0,1005083.0,1574329708.0,,,,
38,"['java', 'multithreading']","{'account_id': 35904, 'reputation': 22834, 'user_id': 102040, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/dbf44501979768be513fc1d001e4238e?s=256&d=identicon&r=PG', 'display_name': 'Geek', 'link': 'https://stackoverflow.com/users/102040/geek'}",True,61624,11,82,1654701873,1245845837,1038007,CC BY-SA 4.0,https://stackoverflow.com/questions/1038007/why-should-wait-always-be-called-inside-a-loop,Why should wait() always be called inside a loop,,,1538368831.0,,,,
39,"['java', 'tree']","{'account_id': 42395, 'reputation': 1101, 'user_id': 123498, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/64d44e1aa41a6c89cf19b74158ca6638?s=256&d=identicon&r=PG', 'display_name': 'sushant', 'link': 'https://stackoverflow.com/users/123498/sushant'}",True,30803,7,25,1654667535,1245223101,1005551,CC BY-SA 4.0,https://stackoverflow.com/questions/1005551/construct-a-tree-structure-from-list-of-string-paths,Construct a tree structure from list of string paths,,1005980.0,1538739726.0,,,,
40,"['java', 'sql', 'exception']","{'account_id': 26267, 'reputation': 18079, 'user_id': 68172, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/Tt3am.jpg?s=256&g=1', 'display_name': 'Bobby', 'link': 'https://stackoverflow.com/users/68172/bobby'}",True,137705,12,29,1654584905,1243872553,935511,CC BY-SA 3.0,https://stackoverflow.com/questions/935511/how-can-i-avoid-resultset-is-closed-exception-in-java,How can I avoid ResultSet is closed exception in Java?,,935565.0,1346949368.0,,,,
41,"['java', 'list', 'dictionary', 'collections']","{'account_id': 876449, 'reputation': 7969, 'user_id': 60173, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b7d5167a395011a165167ea306c850f1?s=256&d=identicon&r=PG', 'display_name': 'Javaa', 'link': 'https://stackoverflow.com/users/60173/javaa'}",True,940875,14,792,1654406222,1245671128,1026723,CC BY-SA 4.0,https://stackoverflow.com/questions/1026723/how-do-i-convert-a-map-to-list-in-java,How do I convert a Map to List in Java?,1625110299.0,1026736.0,1654406222.0,,,,
42,"['java', 'logging', 'log4j']","{'account_id': 31785, 'reputation': 4969, 'user_id': 87582, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/0e569b2a42b4709c5f66c00e78ede5a2?s=256&d=identicon&r=PG', 'display_name': 'Silent Warrior', 'link': 'https://stackoverflow.com/users/87582/silent-warrior'}",True,133173,16,237,1653851034,1244438034,963492,CC BY-SA 2.5,https://stackoverflow.com/questions/963492/in-log4j-does-checking-isdebugenabled-before-logging-improve-performance,"In log4j, does checking isDebugEnabled before logging improve performance?",,963681.0,1244477016.0,,,,
43,"['java', 'actionscript-3', 'http', 'httpwebrequest']","{'account_id': 21587, 'reputation': 1283, 'user_id': 52565, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/a2be2238dc61c33207468f01627f11dc?s=256&d=identicon&r=PG', 'display_name': 'helifreak', 'link': 'https://stackoverflow.com/users/52565/helifreak'}",True,29395,13,20,1653562616,1245351223,1014528,CC BY-SA 2.5,https://stackoverflow.com/questions/1014528/asynchronous-http-client-for-java,Asynchronous HTTP Client for Java,,,1245351743.0,,,,
44,"['java', 'scala', 'runtime']","{'account_id': 1186, 'reputation': 14688, 'user_id': 1578, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/13025a7ce7409a9f4c137bdb32245ff7?s=256&d=identicon&r=PG', 'display_name': 'Steve Gury', 'link': 'https://stackoverflow.com/users/1578/steve-gury'}",True,8322,10,18,1653123530,1243849957,934191,CC BY-SA 2.5,https://stackoverflow.com/questions/934191/how-to-check-existence-of-a-program-in-the-path,How to check existence of a program in the path,,23539220.0,,,,,
45,"['java', 'unit-testing', 'email', 'junit']","{'account_id': 40332, 'reputation': 8816, 'user_id': 116880, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/4efc4315f79b214b5ef6aa398068fbd4?s=256&d=identicon&r=PG', 'display_name': 'stevedbrown', 'link': 'https://stackoverflow.com/users/116880/stevedbrown'}",True,33101,7,37,1652103457,1245681778,1027595,CC BY-SA 2.5,https://stackoverflow.com/questions/1027595/running-junit-email-tests-without-emails-actually-going-out,Running Junit Email Tests Without Emails Actually Going Out,,1027636.0,1245684092.0,,,,
46,"['java', 'import']","{'account_id': 36460, 'reputation': 133004, 'user_id': 104015, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/946c085c383cc406907c2bbf809917c3?s=256&d=identicon&r=PG', 'display_name': 'omg', 'link': 'https://stackoverflow.com/users/104015/omg'}",True,24825,8,25,1651772127,1246138039,1053658,CC BY-SA 2.5,https://stackoverflow.com/questions/1053658/how-is-import-done-in-java,How is import done in Java?,,,1251220868.0,,,,
47,"['java', 'timer']","{'account_id': 14450, 'reputation': 24664, 'user_id': 2112692, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/78dff5de547254c338626be55bdf0cf5?s=256&d=identicon&r=PG', 'display_name': 'Zak', 'link': 'https://stackoverflow.com/users/2112692/zak'}",True,36145,3,19,1651556321,1245890976,1041675,CC BY-SA 2.5,https://stackoverflow.com/questions/1041675/java-timer,Java Timer,,1041692.0,1245891031.0,,,,
48,"['java', 'maven-2', 'groovy', 'dependencies', 'gmaven-plugin']","{'account_id': 41920, 'reputation': 55402, 'user_id': 121993, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/bb75c57d633d38c62e7029b4d7eb0ce7?s=256&d=identicon&r=PG', 'display_name': 'Jeff Storey', 'link': 'https://stackoverflow.com/users/121993/jeff-storey'}",True,9184,3,12,1651133024,1245532423,1022567,CC BY-SA 3.0,https://stackoverflow.com/questions/1022567/maven-compile-groovy,maven compile groovy,,1022602.0,1302442167.0,,,,
49,"['java', 'reflection', 'introspection']","{'account_id': 18480, 'reputation': 31912, 'user_id': 42372, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/e9550bd5fab2b2a8ad0af487ff1fddb5?s=256&d=identicon&r=PG', 'display_name': 'Veera', 'link': 'https://stackoverflow.com/users/42372/veera'}",True,94803,15,157,1650944099,1245921081,1042798,CC BY-SA 2.5,https://stackoverflow.com/questions/1042798/retrieving-the-inherited-attribute-names-values-using-java-reflection,Retrieving the inherited attribute names/values using Java Reflection,,1042827.0,,,,,
50,"['java', 'c++', 'c']","{'account_id': 35406, 'reputation': 3773, 'user_id': 100259, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/77d159fae92fee8cae74fb1697b7f1fe?s=256&d=identicon&r=PG', 'display_name': 'Hemant', 'link': 'https://stackoverflow.com/users/100259/hemant'}",True,35266,7,42,1650876141,1244986056,992836,CC BY-SA 3.0,https://stackoverflow.com/questions/992836/how-to-access-the-java-method-in-a-c-application,How to access the Java method in a C++ application,,992876.0,1357266271.0,,,,
