,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,accepted_answer_id,protected_date
15,"['java', 'android', 'flutter', 'android-studio', 'apple-m1']","{'account_id': 15162180, 'reputation': 373, 'user_id': 10940882, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1104769239684382/picture?type=large', 'display_name': 'Yashwanth Ravula', 'link': 'https://stackoverflow.com/users/10940882/yashwanth-ravula'}",True,22070,4,18,1667657919,1627905343,68621173,CC BY-SA 4.0,https://stackoverflow.com/questions/68621173/the-operation-couldn-t-be-completed-unable-to-locate-a-java-runtime-please-vis,The operation couldn’t be completed. Unable to locate a Java Runtime. Please visit http://www.java.com for information on installing Java,,,,68794285.0,
16,"['java', 'eclipse', 'jakarta-ee', 'servlet-4']","{'account_id': 20610705, 'reputation': 147, 'user_id': 15129964, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-iM2B6hcASxc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmMLeE4gfmFxK-b42-weZpKl_6LIA/s96-c/photo.jpg?sz=256', 'display_name': 'Ashish Goyanka', 'link': 'https://stackoverflow.com/users/15129964/ashish-goyanka'}",True,2921,2,3,1667550117,1628486573,68707177,CC BY-SA 4.0,https://stackoverflow.com/questions/68707177/upgrade-servlet-4-0-1-to-servlet-5-0,upgrade servlet 4.0.1 to servlet 5.0,1628523785.0,,,68708846.0,
17,"['java', 'http', 'tomcat', 'servlets']","{'account_id': 198643, 'reputation': 4259, 'user_id': 443422, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://www.gravatar.com/avatar/ad965cedf035a33c6eadf22c63d0e4d6?s=256&d=identicon&r=PG', 'display_name': 'Marcin Wisnicki', 'link': 'https://stackoverflow.com/users/443422/marcin-wisnicki'}",True,118,1,1,1667459115,1628522612,68714631,CC BY-SA 4.0,https://stackoverflow.com/questions/68714631/abort-streaming-servlet-response,Abort streaming servlet response,1628525148.0,,,74299136.0,
18,"['java', 'linux', 'gnome', 'wallpaper', 'kde-plasma']","{'account_id': 13033928, 'reputation': 88, 'user_id': 9419492, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/sCc8D.jpg?s=256&g=1', 'display_name': 'Mamiglia', 'link': 'https://stackoverflow.com/users/9419492/mamiglia'}",True,398,1,2,1667241315,1628764728,68755837,CC BY-SA 4.0,https://stackoverflow.com/questions/68755837/is-there-a-universal-way-to-set-a-wallpaper-on-linux,Is there a universal way to set a wallpaper on Linux?,1667241315.0,,,68760991.0,
19,"['java', 'spring', 'spring-boot', 'microservices', 'spring-cloud-config']","{'account_id': 5871401, 'reputation': 1972, 'user_id': 4935554, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://i.stack.imgur.com/H37Tj.jpg?s=256&g=1', 'display_name': 'Ng Sharma', 'link': 'https://stackoverflow.com/users/4935554/ng-sharma'}",True,5423,3,0,1667211417,1630076231,68955538,CC BY-SA 4.0,https://stackoverflow.com/questions/68955538/if-you-have-set-spring-cloud-config-server-bootstrap-true-you-need-to-use-a-com,"If you have set spring.cloud.config.server.bootstrap=true, you need to use a composite configuration",,,,,
20,"['java', 'servlets']","{'account_id': 13004562, 'reputation': 52, 'user_id': 9399523, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Boheyga', 'link': 'https://stackoverflow.com/users/9399523/boheyga'}",False,38,1,-2,1666969014,1628875259,68776170,CC BY-SA 4.0,https://stackoverflow.com/questions/68776170/java-servlet-illegal-characters,Java servlet illegal characters,1666969014.0,,,,
21,"['java', 'android', 'flutter']","{'account_id': 8567737, 'reputation': 3864, 'user_id': 6419723, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/b1kpE.png?s=256&g=1', 'display_name': 'Milosh N.', 'link': 'https://stackoverflow.com/users/6419723/milosh-n'}",True,2969,2,1,1666906110,1627758457,68605100,CC BY-SA 4.0,https://stackoverflow.com/questions/68605100/flutter-unable-to-find-bundled-java-version,Flutter - Unable to find bundled Java version,,,,,
22,"['java', 'android', 'firebase', 'firebase-dynamic-links', 'android-deep-link']","{'account_id': 22011354, 'reputation': 364, 'user_id': 16281582, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxnPoBb6gQpN4ZfDgH7VntRq93aZemkOabOKfWX=k-s256', 'display_name': 'Venkat', 'link': 'https://stackoverflow.com/users/16281582/venkat'}",False,202,1,1,1666873327,1628585221,68723662,CC BY-SA 4.0,https://stackoverflow.com/questions/68723662/how-to-create-a-deep-link-for-firestore-content,how to create a deep link for FireStore content?,,,,,
23,"['java', 'android', 'android-studio', 'gradle']","{'account_id': 22426630, 'reputation': 113, 'user_id': 16633137, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyJDy3TLKjsfg-smraxlkhcJ7hw6rYl2x4oT9lF=k-s256', 'display_name': 'Kalgi Shah', 'link': 'https://stackoverflow.com/users/16633137/kalgi-shah'}",True,25301,4,11,1666869913,1628606745,68728918,CC BY-SA 4.0,https://stackoverflow.com/questions/68728918/error-android-gradle-plugin-requires-java-11-to-run-you-are-currently-using-ja,Error: Android Gradle plugin requires Java 11 to run. You are currently using Java 1.8. -&amp; Failed to apply plugin &#39;com.android.internal.application&#39;,,,,68887632.0,
24,"['java', 'prometheus', 'monitoring', 'metrics', 'micrometer']","{'account_id': 7392763, 'reputation': 2755, 'user_id': 5625696, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://graph.facebook.com/1157900344239720/picture?type=large', 'display_name': 'Borislav Stoilov', 'link': 'https://stackoverflow.com/users/5625696/borislav-stoilov'}",True,1776,2,2,1666780730,1629314227,68838179,CC BY-SA 4.0,https://stackoverflow.com/questions/68838179/micrometer-counter-vs-distributionsummary,Micrometer Counter vs DistributionSummary,,,,,
25,"['java', 'inputstream']","{'account_id': 16115477, 'reputation': 483, 'user_id': 11632725, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/s15dw.jpg?s=256&g=1', 'display_name': 'Alexander  Tukanov', 'link': 'https://stackoverflow.com/users/11632725/alexander-tukanov'}",True,169,2,0,1666677793,1628944263,68783318,CC BY-SA 4.0,https://stackoverflow.com/questions/68783318/how-to-find-sum-of-digits-inside-inputstream-in-java,How to find sum of digits inside InputStream in Java,1628945141.0,,,68783373.0,
26,"['java', 'mongodb', 'spring-data-mongodb', 'mongo-java-driver']","{'account_id': 14085149, 'reputation': 21, 'user_id': 10175083, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-1ySga53l0i4/AAAAAAAAAAI/AAAAAAAAAFM/ZOm_HMDHOB0/photo.jpg?sz=256', 'display_name': 'Kotagiri Sathwik', 'link': 'https://stackoverflow.com/users/10175083/kotagiri-sathwik'}",False,396,0,1,1666543960,1628055709,68645935,CC BY-SA 4.0,https://stackoverflow.com/questions/68645935/java-lang-nosuchmethoderrrorcom-mongodb-connection-connectionpoolsettingsbuil,java.lang.NoSuchMethodErrror:&#39;com.mongodb.connection.ConnectionPoolSettings$Builder,,,,,
27,"['java', 'spring-security', 'jhipster', 'openid-connect']","{'account_id': 4466871, 'reputation': 149, 'user_id': 4437616, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/2ad23743879ce3c3284d7a55ed667419?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bat', 'link': 'https://stackoverflow.com/users/4437616/bat'}",True,1555,3,4,1666472467,1629876419,68918572,CC BY-SA 4.0,https://stackoverflow.com/questions/68918572/spring-security-extract-oidc-role-claims-to-spring-authorities,Spring Security: extract oidc role claims to spring authorities,1629961618.0,,,68933692.0,
28,"['java', 'mysql', 'sql']","{'account_id': 22568448, 'reputation': 15, 'user_id': 16755029, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f631a360ee44d49b9d9ddd63d49d9c21?s=256&d=identicon&r=PG&f=1', 'display_name': 'Joseph', 'link': 'https://stackoverflow.com/users/16755029/joseph'}",False,825,2,-1,1666358209,1629940619,68931403,CC BY-SA 4.0,https://stackoverflow.com/questions/68931403/how-can-i-make-connection-by-jdbcmysql-to-siteground,How can I make connection by jdbc:mysql to siteground,1629942373.0,,,,
29,"['java', 'android', 'android-studio', 'gradle', 'jitpack']","{'account_id': 15737437, 'reputation': 391, 'user_id': 11355957, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/LwFVn.png?s=256&g=1', 'display_name': 'gokmenbayram', 'link': 'https://stackoverflow.com/users/11355957/gokmenbayram'}",True,4630,5,8,1666274337,1627815181,68609683,CC BY-SA 4.0,https://stackoverflow.com/questions/68609683/android-gradle-plugin-requires-java-11-to-run-you-are-currently-using-java-1-8,Android Gradle plugin requires Java 11 to run. You are currently using Java 1.8. Error,1628769375.0,,,68756946.0,
30,"['java', 'itext7']","{'account_id': 10290135, 'reputation': 744, 'user_id': 7592120, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://graph.facebook.com/1635718449776555/picture?type=large', 'display_name': 'Vikum Dheemantha', 'link': 'https://stackoverflow.com/users/7592120/vikum-dheemantha'}",True,285,1,4,1665748099,1629782628,68902157,CC BY-SA 4.0,https://stackoverflow.com/questions/68902157/itext-7-java-when-large-table-extend-to-next-page-it-does-not-draw-bottom-bord,iText 7 (Java) When Large Table extend to next page it does not draw bottom border,1630605568.0,,,69035587.0,
31,"['java', 'unix-socket']","{'account_id': 15043541, 'reputation': 85, 'user_id': 10857391, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/52fd5655191d127b4ae2177f9b6e9825?s=256&d=identicon&r=PG&f=1', 'display_name': 'Igor', 'link': 'https://stackoverflow.com/users/10857391/igor'}",False,135,1,0,1665747083,1629837415,68913811,CC BY-SA 4.0,https://stackoverflow.com/questions/68913811/how-to-connect-to-unix-domain-socket-on-client-side-service-knowing-only-socket,How to connect to Unix Domain Socket on client side service knowing only socket file descriptor,1629864849.0,,,,
32,"['java', 'maven', 'cxf', 'java-11']","{'account_id': 6383695, 'reputation': 4424, 'user_id': 4952262, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/a8bca8677ae048b98024f30e0a6e0f5e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Michu93', 'link': 'https://stackoverflow.com/users/4952262/michu93'}",True,578,1,2,1665684046,1627887188,68617476,CC BY-SA 4.0,https://stackoverflow.com/questions/68617476/java-11-java-lang-noclassdeffounderror-javax-jws-webservice,Java 11: java.lang.NoClassDefFoundError: javax/jws/WebService,,,,,
33,"['java', 'spring', 'rest', 'web-services']","{'account_id': 17025432, 'reputation': 29, 'user_id': 12316832, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mCIEPt8I93oaM_7Us0uqNfLIS7WPHTpR3DyLl80Uxo=k-s256', 'display_name': 'Ivana', 'link': 'https://stackoverflow.com/users/12316832/ivana'}",True,2128,4,-1,1665667841,1628089814,68653734,CC BY-SA 4.0,https://stackoverflow.com/questions/68653734/port-8080-is-already-in-use,Port 8080 is already in use,,,,68654035.0,
34,"['java', 'rx-java', 'reactive-programming']","{'account_id': 4821703, 'reputation': 5076, 'user_id': 3892213, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/f43aabcdeccb30584765e29292b40dff?s=256&d=identicon&r=PG&f=1', 'display_name': 'best wishes', 'link': 'https://stackoverflow.com/users/3892213/best-wishes'}",True,377,1,1,1665630777,1628311916,68689515,CC BY-SA 4.0,https://stackoverflow.com/questions/68689515/reactive-java-list-to-map,Reactive Java List to Map,1665630777.0,,,68722771.0,
35,"['java', 'spring', 'amazon-s3', 'nullpointerexception', 'return']","{'account_id': 16161313, 'reputation': 59, 'user_id': 11667322, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-cr-kAcqO3X0/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3reYuwu-N7-frnYjjPXokXLuyZar-w/mo/photo.jpg?sz=256', 'display_name': 'Srs', 'link': 'https://stackoverflow.com/users/11667322/srs'}",True,332,1,-1,1665586827,1627928921,68626418,CC BY-SA 4.0,https://stackoverflow.com/questions/68626418/cannot-return-because-of-null-value-java-lang-nullpointerexception-cannot-invo,Cannot return because of null value. java.lang.NullPointerException: Cannot invoke &quot;reactor.core.publisher.Mono.map&quot; because is null,1665586827.0,,,68628284.0,
36,"['java', 'android', 'printing', 'windev', 'sunmi']","{'account_id': 14467128, 'reputation': 51, 'user_id': 10450150, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/60Pn4.jpg?s=256&g=1', 'display_name': 'Harvey68', 'link': 'https://stackoverflow.com/users/10450150/harvey68'}",False,347,0,2,1665518595,1629055836,68794777,CC BY-SA 4.0,https://stackoverflow.com/questions/68794777/on-a-sunmi-k2-terminal-how-can-i-print-on-the-build-in-printer-something-using,On a Sunmi K2 Terminal how can I print (on the build-in printer) something using WinDev Mobile?,1665518595.0,,,,
37,"['java', 'android', 'cordova', 'gradle']","{'account_id': 21766500, 'reputation': 57, 'user_id': 16070299, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiyNax33_P9ftZoFxK-LI-dZeUFWImvgH97ooV2PA=k-s256', 'display_name': 'Amir Safari', 'link': 'https://stackoverflow.com/users/16070299/amir-safari'}",True,16619,2,5,1665393198,1629944374,68931751,CC BY-SA 4.0,https://stackoverflow.com/questions/68931751/could-not-determine-the-dependencies-of-task-appcompiledebugjavawithjavac-h,Could not determine the dependencies of task &#39;:app:compileDebugJavaWithJavac&#39;. having issue&#39;s in Cordova,1629944546.0,,,68972393.0,
38,"['java', 'amazon-web-services', 'amazon-s3']","{'account_id': 22521051, 'reputation': 87, 'user_id': 16714629, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bdfa001cbad6e8f08a97af339c16034e?s=256&d=identicon&r=PG&f=1', 'display_name': 'watchme321', 'link': 'https://stackoverflow.com/users/16714629/watchme321'}",True,16516,3,2,1665214471,1629470875,68864095,CC BY-SA 4.0,https://stackoverflow.com/questions/68864095/unable-to-load-credentials-from-any-of-the-providers-in-the-chain-awscredentials,Unable to load credentials from any of the providers in the chain AwsCredentialsProviderChain,1629474202.0,,,68938821.0,
39,"['java', 'spring-boot', 'resttemplate', 'completable-future']","{'account_id': 7658620, 'reputation': 23, 'user_id': 5804606, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-cN1acSUZiSQ/AAAAAAAAAAI/AAAAAAAAAH0/W1tQrMmVRmk/photo.jpg?sz=256', 'display_name': 'dailybird', 'link': 'https://stackoverflow.com/users/5804606/dailybird'}",False,825,1,1,1665213728,1629026800,68791083,CC BY-SA 4.0,https://stackoverflow.com/questions/68791083/how-to-asynchronously-call-resttemplate-using-completablefuture,How to asynchronously call restTemplate using CompletableFuture,,,,,
40,"['java', 'spring', 'spring-boot', 'rest']","{'account_id': 22464248, 'reputation': 73, 'user_id': 16665655, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0012de09bea81bd590da513e2f49e39e?s=256&d=identicon&r=PG&f=1', 'display_name': 'jhintstone', 'link': 'https://stackoverflow.com/users/16665655/jhintstone'}",True,559,3,2,1665141067,1628943380,68783216,CC BY-SA 4.0,https://stackoverflow.com/questions/68783216/sending-scheduled-mail-via-spring-boot-rest-api,Sending scheduled mail via Spring Boot Rest api,1628952539.0,,,68783681.0,
41,"['java', 'docker', 'jvm', 'alpine-linux', 'apple-m1']","{'account_id': 32530, 'reputation': 796, 'user_id': 90338, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/6b7de7a3c375c1f63b56041a432d5463?s=256&d=identicon&r=PG', 'display_name': 'greymatter', 'link': 'https://stackoverflow.com/users/90338/greymatter'}",True,13543,4,3,1664865500,1630261047,68975743,CC BY-SA 4.0,https://stackoverflow.com/questions/68975743/docker-image-runs-on-intel-mac-but-not-m1-mac,Docker image runs on Intel mac but not M1 mac,,,,,
42,"['java', 'apache-spark', 'apache-spark-sql', 'apache-spark-dataset']","{'account_id': 1299099, 'reputation': 25518, 'user_id': 2218452, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://i.stack.imgur.com/9eyQu.jpg?s=256&g=1', 'display_name': 'Nikhil Agrawal', 'link': 'https://stackoverflow.com/users/2218452/nikhil-agrawal'}",True,909,1,1,1664832291,1629990247,68941033,CC BY-SA 4.0,https://stackoverflow.com/questions/68941033/reading-row-data-from-spark-dataset-in-loop,Reading Row data from Spark Dataset in Loop,1664832291.0,,,,
43,"['java', 'android', 'google-maps']","{'account_id': 22599087, 'reputation': 31, 'user_id': 16780935, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyXWil9hSSQGH7NtDQAD6yNm-sYTtCh2QfFwq-Z=k-s256', 'display_name': 'zahid habib', 'link': 'https://stackoverflow.com/users/16780935/zahid-habib'}",False,93,0,1,1664819262,1630270734,68976852,CC BY-SA 4.0,https://stackoverflow.com/questions/68976852/i-receive-a-file-not-found-exception-when-trying-to-connect-to-google-maps-api,I receive a file not found exception when trying to connect to google maps api,1664819262.0,,,,
44,"['java', 'apache-commons-compress']","{'account_id': 5644574, 'reputation': 866, 'user_id': 5342992, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/7df692f4907383e386b36a84b3d124e1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jolinar', 'link': 'https://stackoverflow.com/users/5342992/jolinar'}",False,113,2,0,1664667923,1629114608,68802313,CC BY-SA 4.0,https://stackoverflow.com/questions/68802313/apache-commons-compress-ziparchiveentry-getunixmode-always-returns-0,Apache Commons Compress: ZipArchiveEntry.getUnixMode() always returns 0,,,,,
45,"['java', 'python']","{'account_id': 22322232, 'reputation': 9, 'user_id': 16544737, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0ef1dd057d64d40e536d1ed755f693f5?s=256&d=identicon&r=PG&f=1', 'display_name': 'DrTechWiz2', 'link': 'https://stackoverflow.com/users/16544737/drtechwiz2'}",False,2101,2,0,1664660614,1628152050,68663088,CC BY-SA 4.0,https://stackoverflow.com/questions/68663088/removing-gray-from-rgb-i-am-using-coral-to-learn-programming-its-apart-of-a-c,Removing gray from RGB. I am using coral to learn programming + its apart of a course,,,,,
46,"['java', 'android', 'android-studio', 'unity3d', 'unityads']","{'account_id': 13983856, 'reputation': 67, 'user_id': 10099423, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-1V4jZHzOeiM/AAAAAAAAAAI/AAAAAAAAAEw/s9cAhbkvszA/photo.jpg?sz=256', 'display_name': 'yashwanth reddy', 'link': 'https://stackoverflow.com/users/10099423/yashwanth-reddy'}",False,3081,1,2,1664448031,1628268062,68684998,CC BY-SA 4.0,https://stackoverflow.com/questions/68684998/unity-ad-not-displaying-as-i-am-getting-unity-ads-was-not-able-to-get-current-ne,Unity Ad not displaying as i am getting Unity Ads was not able to get current network type due to missing permission,1628309277.0,,,,
