,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,community_owned_date,score,locked_date,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason
10,"['java', '.net', 'stream', 'language-agnostic', 'iostream']","{'account_id': 45139, 'reputation': 20349, 'user_id': 132931, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/e1be130ba20bb013c0e700c0d7b5cf14?s=256&d=identicon&r=PG', 'display_name': 'Rob Sobers', 'link': 'https://stackoverflow.com/users/132931/rob-sobers'}",True,26452,,507829.0,20,,206,,1663638624,1233677204,1531654579.0,507747,CC BY-SA 4.0,https://stackoverflow.com/questions/507747/can-you-explain-the-concept-of-streams,Can you explain the concept of streams?,,
11,"['java', 'generics', 'warnings']","{'account_id': 9733, 'reputation': 93832, 'user_id': 18103, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/f224e093f5d375d77316a1c4835bcfcc?s=256&d=identicon&r=PG', 'display_name': 'skiphoppy', 'link': 'https://stackoverflow.com/users/18103/skiphoppy'}",True,514216,1662208676.0,509230.0,22,,679,,1662120533,1233698267,1490736431.0,509076,CC BY-SA 3.0,https://stackoverflow.com/questions/509076/how-do-i-address-unchecked-cast-warnings,How do I address unchecked cast warnings?,,
12,"['java', 'desktop']","{'account_id': 2867, 'reputation': 8583, 'user_id': 4064, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/8f608ddcc86dff6ff7630ad1ff09ece5?s=256&d=identicon&r=PG', 'display_name': 'Frederic Morin', 'link': 'https://stackoverflow.com/users/4064/frederic-morin'}",True,69580,,550336.0,4,,95,,1661258673,1234672617,1234673366.0,550329,CC BY-SA 2.5,https://stackoverflow.com/questions/550329/how-to-open-a-file-with-the-default-associated-program,How to open a file with the default associated program,,
13,"['java', 'environment-variables']","{'account_id': 563949, 'reputation': 3919, 'user_id': 51659, 'user_type': 'unregistered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/b8744f1342919baeea8a815457134c2e?s=256&d=identicon&r=PG', 'display_name': 'raja', 'link': 'https://stackoverflow.com/users/51659/raja'}",True,291147,,,9,,211,,1661162890,1234259133,1551954662.0,531694,CC BY-SA 4.0,https://stackoverflow.com/questions/531694/how-can-i-get-system-variable-value-in-java,How can I get System variable value in Java?,,
14,"['java', 'collections', 'jdbc', 'resultset']","{'account_id': 876664, 'reputation': 45, 'user_id': 61369, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9834e2ea10bc4177328e26c28588e3ee?s=256&d=identicon&r=PG', 'display_name': 'Bhaskara Krishna Mohan Potam', 'link': 'https://stackoverflow.com/users/61369/bhaskara-krishna-mohan-potam'}",True,3075,,502429.0,5,,0,,1660404423,1233554292,1660404423.0,502318,CC BY-SA 4.0,https://stackoverflow.com/questions/502318/building-resultset-using-collection-object,Building resultset using collection object,,
15,"['java', 'memory-leaks', 'jboss', 'heap-memory']","{'user_type': 'does_not_exist', 'display_name': 'EdC'}",True,279418,,543037.0,5,,197,,1660043326,1234468722,1623619552.0,542979,CC BY-SA 4.0,https://stackoverflow.com/questions/542979/using-heapdumponoutofmemoryerror-parameter-for-heap-dump-for-jboss,Using HeapDumpOnOutOfMemoryError parameter for heap dump for JBoss,,
16,"['java', 'sql', 'datetime', 'date']","{'account_id': 1823, 'reputation': 12409, 'user_id': 2504, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/9e24f8116c535ffff582c497511220b0?s=256&d=identicon&r=PG', 'display_name': 'David Ackerman', 'link': 'https://stackoverflow.com/users/2504/david-ackerman'}",True,737344,1621763971.0,31238011.0,17,,503,,1659547402,1234214178,1471653283.0,530012,CC BY-SA 3.0,https://stackoverflow.com/questions/530012/how-to-convert-java-util-date-to-java-sql-date,How to convert java.util.Date to java.sql.Date?,,
17,"['java', 'math', 'vector', '2d', 'gis']","{'account_id': 2496, 'reputation': 261689, 'user_id': 3474, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/ffbf4e85b8ffbae4e9039b9c0cf07bc8?s=256&d=identicon&r=PG', 'display_name': 'erickson', 'link': 'https://stackoverflow.com/users/3474/erickson'}",True,7523,,,3,,11,,1658682386,1234288968,1495542757.0,533467,CC BY-SA 3.0,https://stackoverflow.com/questions/533467/how-to-approximate-a-vector-contour-from-an-elevation-raster,How to approximate a vector contour from an elevation raster?,,
18,"['java', 'multithreading', 'runnable', 'implements', 'java-threads']","{'account_id': 25435, 'reputation': 23839, 'user_id': 65374, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d9b476b19aefee886c89265430ede95a?s=256&d=identicon&r=PG', 'display_name': 'user65374', 'link': 'https://stackoverflow.com/users/65374/user65374'}",True,748497,1374690685.0,541506.0,43,,2318,,1658236050,1234448926,1629192175.0,541487,CC BY-SA 4.0,https://stackoverflow.com/questions/541487/implements-runnable-vs-extends-thread-in-java,&quot;implements Runnable&quot; vs &quot;extends Thread&quot; in Java,,
19,"['java', 'time']","{'user_type': 'does_not_exist', 'display_name': 'jao'}",True,59530,,,12,,23,,1657557570,1233593345,1553325951.0,503877,CC BY-SA 4.0,https://stackoverflow.com/questions/503877/how-can-i-measure-time-with-microsecond-precision-in-java,How can I measure time with microsecond precision in Java?,,
20,"['java', 'sql', 'hibernate', 'criteria']","{'account_id': 19465, 'reputation': 2918, 'user_id': 45671, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://i.stack.imgur.com/jVypZ.jpg?s=256&g=1', 'display_name': 'David Bult&#233;', 'link': 'https://stackoverflow.com/users/45671/david-bult%c3%a9'}",True,119254,,555192.0,9,,79,,1657229536,1234816890,1591501691.0,554481,CC BY-SA 4.0,https://stackoverflow.com/questions/554481/how-to-get-sql-from-hibernate-criteria-api-not-for-logging,How to get SQL from Hibernate Criteria API (*not* for logging),,
21,"['java', 'eclipse', 'equals', 'instanceof']","{'account_id': 9921, 'reputation': 105076, 'user_id': 18511, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/c621039e41aef415ad25054da3bf3f9a?s=256&d=identicon&r=PG', 'display_name': 'Kip', 'link': 'https://stackoverflow.com/users/18511/kip'}",True,137050,,596707.0,11,,192,,1656342877,1235765677,,596462,CC BY-SA 2.5,https://stackoverflow.com/questions/596462/any-reason-to-prefer-getclass-over-instanceof-when-generating-equals,Any reason to prefer getClass() over instanceof when generating .equals()?,,
22,"['java', 'arrays']","{'account_id': 12256, 'reputation': 76861, 'user_id': 24039, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/56e7993be670c363354b696cff311172?s=256&d=identicon&r=PG', 'display_name': 'Simon', 'link': 'https://stackoverflow.com/users/24039/simon'}",True,4874,,585602.0,6,,3,,1655571622,1235559761,1235561880.0,585587,CC BY-SA 2.5,https://stackoverflow.com/questions/585587/java-native-array-lengths,Java native array lengths,,
23,"['java', 'reflection', 'package']","{'account_id': 22705, 'reputation': 78709, 'user_id': 56285, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://i.stack.imgur.com/0u454.jpg?s=256&g=1', 'display_name': 'Jonik', 'link': 'https://stackoverflow.com/users/56285/jonik'}",True,491625,,520339.0,30,,628,,1655346447,1233927796,1435588259.0,520328,CC BY-SA 3.0,https://stackoverflow.com/questions/520328/can-you-find-all-classes-in-a-package-using-reflection,Can you find all classes in a package using reflection?,,
24,['java'],"{'account_id': 23825, 'reputation': 19305, 'user_id': 60006, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/1421481dab5f96d25ee52c80c3e76b5c?s=256&d=identicon&r=PG', 'display_name': 'DivideByHero', 'link': 'https://stackoverflow.com/users/60006/dividebyhero'}",True,593551,1544706029.0,521235.0,21,,412,,1654268579,1233940073,1233940703.0,521171,CC BY-SA 2.5,https://stackoverflow.com/questions/521171/a-java-collection-of-value-pairs-tuples,A Java collection of value pairs? (tuples?),,
25,"['java', 'geneva-framework']","{'account_id': 3138, 'reputation': 6018, 'user_id': 4462, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/50ead803b8addd4a5f64d02bd8097b3d?s=256&d=identicon&r=PG', 'display_name': 'Troels Arvin', 'link': 'https://stackoverflow.com/users/4462/troels-arvin'}",True,309,,518860.0,2,,0,,1654157581,1233874275,,518349,CC BY-SA 2.5,https://stackoverflow.com/questions/518349/talking-to-a-microsoft-geneva-server-from-java,Talking to a Microsoft Geneva server from Java,,
26,"['java', 'android', 'user-interface', 'layout']","{'account_id': 1505, 'reputation': 48660, 'user_id': 2010, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/vh06q.jpg?s=256&g=1', 'display_name': 'Henrik Gustafsson', 'link': 'https://stackoverflow.com/users/2010/henrik-gustafsson'}",True,49038,,37389179.0,13,,100,,1653417702,1234634173,1545719750.0,549451,CC BY-SA 4.0,https://stackoverflow.com/questions/549451/line-breaking-widget-layout-for-android,Line-breaking widget layout for Android,,
27,"['java', 'php', 'javascript', 'google-api', 'google-finance']","{'account_id': 876450, 'reputation': 4528, 'user_id': 60215, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/5dbb5cada11eb2a63fccad10f1f08a9f?s=256&d=identicon&r=PG', 'display_name': 'Josema', 'link': 'https://stackoverflow.com/users/60215/josema'}",True,317467,1436151045.0,527780.0,15,,129,,1653265818,1234176850,1376659374.0,527703,CC BY-SA 3.0,https://stackoverflow.com/questions/527703/how-can-i-get-stock-quotes-using-google-finance-api,How can I get stock quotes using Google Finance API?,,
28,"['java', 'cryptography', 'rijndael']","{'account_id': 6000, 'reputation': 44720, 'user_id': 9922, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/15e295b03211068b2c4dea043e48cafe?s=256&d=identicon&r=PG', 'display_name': 'rbrayb', 'link': 'https://stackoverflow.com/users/9922/rbrayb'}",True,41411,,664213.0,4,,16,,1653207831,1235588706,1235589277.0,587357,CC BY-SA 2.5,https://stackoverflow.com/questions/587357/rijndael-support-in-java,Rijndael support in Java,,
29,"['java', 'arrays', 'primitive-types']","{'account_id': 23164, 'reputation': 10656, 'user_id': 57827, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/e9b97d86dbd5b4d839ed058fb8e425ff?s=256&d=identicon&r=PG', 'display_name': 'Il-Bhima', 'link': 'https://stackoverflow.com/users/57827/il-bhima'}",True,54444,,564407.0,9,,83,,1650667650,1235032010,1379539594.0,564392,CC BY-SA 3.0,https://stackoverflow.com/questions/564392/converting-an-array-of-objects-to-an-array-of-their-primitive-types,Converting an array of objects to an array of their primitive types,,
30,['java'],"{'user_type': 'does_not_exist', 'display_name': 'michal2'}",True,574,,577300.0,1,,0,,1649319246,1235387565,1649319246.0,577280,CC BY-SA 4.0,https://stackoverflow.com/questions/577280/class-loader-java-io-filenotfoundexception-file-home-aaa-m2-repository-com-s,class loader: java.io.FileNotFoundException: file:/home/aaa/.m2/repository/com/st/module-1.1-SNAPSHOT.jar!/com/st/resource (No such file or directory),,
31,"['java', '.net', 'linux', 'mono']","{'account_id': 23836, 'reputation': 85128, 'user_id': 60096, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/5bf1f11c3493fb7dc5b4045c90a80403?s=256&d=identicon&r=PG', 'display_name': 'Andy White', 'link': 'https://stackoverflow.com/users/60096/andy-white'}",True,6478,,573997.0,13,,33,,1649244029,1235261190,1649244029.0,573982,,https://stackoverflow.com/questions/573982/what-are-the-main-benefits-of-using-mono-over-java,What are the main benefits of using Mono over Java?,1346396828.0,not constructive
32,"['java', 'concurrency']","{'account_id': 13052, 'reputation': 35709, 'user_id': 26004, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/1ef891089f11c306cc49e2e8dedaed88?s=256&d=identicon&r=PG', 'display_name': 'fmsf', 'link': 'https://stackoverflow.com/users/26004/fmsf'}",True,13591,,517539.0,7,,36,,1649135988,1233862284,1481701784.0,517532,CC BY-SA 3.0,https://stackoverflow.com/questions/517532/writing-long-and-double-is-not-atomic-in-java,Writing long and double is not atomic in Java?,,
33,"['java', 'wordle-word-cloud']","{'account_id': 97, 'reputation': 289521, 'user_id': 116, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/f6flX.jpg?s=256&g=1', 'display_name': 'Mark Harrison', 'link': 'https://stackoverflow.com/users/116/mark-harrison'}",True,746,,574703.0,2,,0,,1648026704,1235296583,1648026704.0,574672,CC BY-SA 4.0,https://stackoverflow.com/questions/574672/how-to-programatically-send-input-to-a-java-app-running-in-a-browser-window,How to programatically send input to a java app running in a browser window?,,
34,"['java', 'string', 'end-of-line']","{'user_type': 'does_not_exist', 'display_name': 'sahil'}",True,204414,,,12,,66,,1647293691,1235714757,1591212566.0,593671,CC BY-SA 4.0,https://stackoverflow.com/questions/593671/remove-end-of-line-characters-from-java-string,Remove end of line characters from Java string,,
35,"['java', 'floating-point', 'strictfp']","{'account_id': 9510, 'reputation': 16909, 'user_id': 17614, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/e531446b9e3b255692739aa38d05e380?s=256&d=identicon&r=PG', 'display_name': 'GBa', 'link': 'https://stackoverflow.com/users/17614/gba'}",True,89610,1371477576.0,517996.0,11,,278,,1645228536,1233868114,1485254766.0,517915,CC BY-SA 3.0,https://stackoverflow.com/questions/517915/when-should-i-use-the-strictfp-keyword-in-java,When should I use the &quot;strictfp&quot; keyword in java?,,
36,"['java', 'generics']","{'account_id': 18116, 'reputation': 38358, 'user_id': 41200, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/f959d9e2e97d35e05f93d57459dda444?s=256&d=identicon&r=PG', 'display_name': 'sdellysse', 'link': 'https://stackoverflow.com/users/41200/sdellysse'}",True,24055,,520568.0,13,,129,,1645145978,1233931552,1495542353.0,520527,CC BY-SA 3.0,https://stackoverflow.com/questions/520527/why-do-some-claim-that-javas-implementation-of-generics-is-bad,Why do some claim that Java&#39;s implementation of generics is bad?,,
37,"['java', 'cross-platform', 'home-directory']","{'account_id': 3396, 'reputation': 7278, 'user_id': 4900, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/64d7fe5cf40c5f50f1b08e40c0c928ae?s=256&d=identicon&r=PG', 'display_name': 'Bruno Ranschaert', 'link': 'https://stackoverflow.com/users/4900/bruno-ranschaert'}",True,301163,,586345.0,9,,349,,1644524386,1235558811,1644524386.0,585534,CC BY-SA 4.0,https://stackoverflow.com/questions/585534/what-is-the-best-way-to-find-the-users-home-directory-in-java,What is the best way to find the user&#39;s home directory in Java?,,
38,"['java', 'integer', 'parseint', 'value-of']","{'account_id': 20530, 'reputation': 255145, 'user_id': 49153, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/833df8cee775eea743cb1172dfcd3809?s=256&d=identicon&r=PG', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/49153/ali'}",True,227876,,508701.0,11,,508,,1642491722,1233691016,1642491722.0,508665,CC BY-SA 4.0,https://stackoverflow.com/questions/508665/different-between-parseint-and-valueof-in-java,Different between parseInt() and valueOf() in java?,,
39,"['java', '.net', 'certificate', 'pfx', 'jks']","{'account_id': 3488, 'reputation': 14016, 'user_id': 5035, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/dd16b4d63abcba0ad7b3add5faf05994?s=256&d=identicon&r=PG', 'display_name': 'Christian Berg', 'link': 'https://stackoverflow.com/users/5035/christian-berg'}",True,59089,,,5,,37,,1641632118,1234173779,,527610,CC BY-SA 2.5,https://stackoverflow.com/questions/527610/how-can-i-create-a-pfx-file-from-a-java-keystore,How can I create a PFX file from a Java Keystore?,,
40,"['java', 'file', 'editor', 'system']","{'account_id': 24990, 'reputation': 954, 'user_id': 63912, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/a20c6fa5129ca30589238794de989e39?s=256&d=identicon&r=PG', 'display_name': 'Arturas Smorgun', 'link': 'https://stackoverflow.com/users/63912/arturas-smorgun'}",True,23620,,526080.0,5,,13,,1641288843,1234112985,1464109770.0,526037,CC BY-SA 3.0,https://stackoverflow.com/questions/526037/how-to-open-user-system-preferred-editor-for-given-file,How to open user system preferred editor for given file?,,
41,"['java', 'hash']","{'account_id': 18889, 'reputation': 27877, 'user_id': 43756, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/2e1d183650e29061bd3811ccba1bcba7?s=256&d=identicon&r=PG', 'display_name': 'kal', 'link': 'https://stackoverflow.com/users/43756/kal'}",True,2970,,587909.0,5,,3,,1640824484,1235596601,,587884,,https://stackoverflow.com/questions/587884/java-port-of-hash-by-jenkins,Java port of Hash by Jenkins,1407805961.0,Not suitable for this site
42,"['java', 'dictionary', 'collections', 'initialization', 'idioms']","{'account_id': 4804, 'reputation': 260008, 'user_id': 7412, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/doLQL.jpg?s=256&g=1', 'display_name': 'dogbane', 'link': 'https://stackoverflow.com/users/7412/dogbane'}",True,985753,1517400618.0,507658.0,43,,1222,,1639651595,1233675693,1584540425.0,507602,CC BY-SA 4.0,https://stackoverflow.com/questions/507602/how-can-i-initialise-a-static-map,How can I initialise a static Map?,,
43,"['java', 'file', 'encoding', 'stream', 'character-encoding']","{'account_id': 24075, 'reputation': 28870, 'user_id': 60956, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/906c0f71ce59f957527d739e9622c612?s=256&d=identicon&r=PG', 'display_name': 'Joel', 'link': 'https://stackoverflow.com/users/60956/joel'}",True,363117,,4735911.0,16,,155,,1638120106,1233416050,1495541426.0,499010,CC BY-SA 3.0,https://stackoverflow.com/questions/499010/java-how-to-determine-the-correct-charset-encoding-of-a-stream,Java : How to determine the correct charset encoding of a stream,,
44,"['java', 'html', 'javadoc']","{'account_id': 20872, 'reputation': 16552, 'user_id': 50262, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/ad58b4140be60df4f364659e1e6a5f17?s=256&d=identicon&r=PG', 'display_name': 'Mark', 'link': 'https://stackoverflow.com/users/50262/mark'}",True,243439,1493225617.0,542142.0,18,,590,,1635955725,1234453962,1234454348.0,541920,CC BY-SA 2.5,https://stackoverflow.com/questions/541920/multiple-line-code-example-in-javadoc-comment,Multiple line code example in Javadoc comment,,
45,"['java', 'architecture', 'jakarta-ee', 'workflow', 'rule-engine']","{'account_id': 26862, 'reputation': 6768, 'user_id': 70288, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/7985e0ed3b6ea6355a87fb2245416a1a?s=256&d=identicon&r=PG', 'display_name': 'Robert Campbell', 'link': 'https://stackoverflow.com/users/70288/robert-campbell'}",True,2759,,,4,,15,,1635755726,1235470671,1271572783.0,581212,CC BY-SA 2.5,https://stackoverflow.com/questions/581212/space-based-architecture,Space-based architecture?,,
46,"['java', 'interface', 'static-methods']","{'account_id': 24561, 'reputation': 31437, 'user_id': 62571, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/6ebd160dfe542ce08608dbf10652919f?s=256&d=identicon&r=PG', 'display_name': 'cdmckay', 'link': 'https://stackoverflow.com/users/62571/cdmckay'}",True,408872,1539593342.0,513001.0,24,,554,,1634098631,1233775289,1558356165.0,512877,CC BY-SA 4.0,https://stackoverflow.com/questions/512877/why-cant-i-define-a-static-method-in-a-java-interface,Why can&#39;t I define a static method in a Java interface?,,
47,"['java', 'cryptography', 'pgp', 'gnupg', 'openpgp']","{'account_id': 15259, 'reputation': 22901, 'user_id': 32043, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/3df83952dc426143757b8891f68bfbfc?s=256&d=identicon&r=PG', 'display_name': 'guerda', 'link': 'https://stackoverflow.com/users/32043/guerda'}",True,7798,,557046.0,5,,6,,1632398560,1234875541,1328134816.0,556670,CC BY-SA 3.0,https://stackoverflow.com/questions/556670/recommendations-for-java-openpgp,Recommendations for Java + OpenPGP?,,
48,"['java', 'environment-variables']","{'account_id': 560298, 'reputation': 10957, 'user_id': 26927, 'user_type': 'unregistered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/c105ac309bde145bbb43d7985b836671?s=256&d=identicon&r=PG', 'display_name': 'Vicky', 'link': 'https://stackoverflow.com/users/26927/vicky'}",True,94151,,,6,,55,,1632163480,1235437369,1235507142.0,580085,CC BY-SA 2.5,https://stackoverflow.com/questions/580085/is-it-possible-to-set-an-environment-variable-at-runtime-from-java,Is it possible to set an environment variable at runtime from Java?,,
49,"['java', 'resources', 'loading']","{'account_id': 17535, 'reputation': 4479, 'user_id': 39339, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/P1c23.jpg?s=256&g=1', 'display_name': 'JuanDeLosMuertos', 'link': 'https://stackoverflow.com/users/39339/juandelosmuertos'}",True,282961,,573715.0,13,,92,,1632062492,1235247988,1605292184.0,573679,CC BY-SA 4.0,https://stackoverflow.com/questions/573679/open-resource-with-relative-path-in-java,open resource with relative path in Java,,
50,"['java', 'hibernate', 'datetime', 'jpa', 'timezone']","{'account_id': 12404, 'reputation': 61016, 'user_id': 24396, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/160d6580f280b5e9e5a1188b32c4ef2d?s=256&d=identicon&r=PG', 'display_name': 'Steve Kuo', 'link': 'https://stackoverflow.com/users/24396/steve-kuo'}",True,199316,1543936143.0,40438746.0,11,,123,,1630963911,1233681351,1494507905.0,508019,CC BY-SA 3.0,https://stackoverflow.com/questions/508019/how-to-store-date-time-and-timestamps-in-utc-time-zone-with-jpa-and-hibernate,How to store date/time and timestamps in UTC time zone with JPA and Hibernate,,
