,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,accepted_answer_id,community_owned_date,closed_date,closed_reason,locked_date
10,"['java', 'css', 'linux', 'w3c-validation']","{'account_id': 45805, 'reputation': 2986, 'user_id': 135172, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/4d2d9514d8c1d2fc1f3f5e16a0d5eb41?s=256&d=identicon&r=PG', 'display_name': 'txwikinger', 'link': 'https://stackoverflow.com/users/135172/txwikinger'}",True,5389,4,19,1667149042,1247753495,1665690165.0,1137884,CC BY-SA 4.0,https://stackoverflow.com/questions/1137884/how-can-i-validate-css-on-internal-web-pages,How can I validate CSS on internal web pages?,,1137907.0,,,,
11,"['java', 'collections', 'treeset']","{'account_id': 42000, 'reputation': 746, 'user_id': 122221, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/IbHMn.png?s=256&g=1', 'display_name': 'Gaurav Saini', 'link': 'https://stackoverflow.com/users/122221/gaurav-saini'}",True,64227,5,32,1667043007,1246954259,1667043007.0,1090969,CC BY-SA 4.0,https://stackoverflow.com/questions/1090969/treeset-to-order-elements-in-descending-order,Treeset to order elements in descending order,,1090981.0,,,,
12,"['stack-trace', 'java']","{'account_id': 6636, 'reputation': 216514, 'user_id': 11236, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/40656706454dcbdbcec125b85b01f1e4?s=256&d=identicon&r=PG', 'display_name': 'ripper234', 'link': 'https://stackoverflow.com/users/11236/ripper234'}",True,626692,23,1087,1666696074,1246453981,1573930862.0,1069066,CC BY-SA 4.0,https://stackoverflow.com/questions/1069066/how-can-i-get-the-current-stack-trace-in-java,How can I get the current stack trace in Java?,1434642834.0,1069074.0,,,,
13,"['java', 'collections']","{'account_id': 2908, 'reputation': 121719, 'user_id': 4120, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/71f8f2fa409ea5ce2757c8d490ece924?s=256&d=identicon&r=PG', 'display_name': 'Grundlefleck', 'link': 'https://stackoverflow.com/users/4120/grundlefleck'}",True,526759,20,316,1666343800,1246555439,1553585899.0,1075656,CC BY-SA 4.0,https://stackoverflow.com/questions/1075656/simple-way-to-find-if-two-different-lists-contain-exactly-the-same-elements,Simple way to find if two different lists contain exactly the same elements?,,1075699.0,,,,
14,"['java', 'spring', 'jsp', 'spring-mvc']","{'account_id': 5031, 'reputation': 35414, 'user_id': 7883, 'user_type': 'registered', 'accept_rate': 48, 'profile_image': 'https://www.gravatar.com/avatar/e2e0b96391e9e1b741114fa507247995?s=256&d=identicon&r=PG', 'display_name': 'Vasil', 'link': 'https://stackoverflow.com/users/7883/vasil'}",True,15024,7,18,1666262858,1246732465,1246733956.0,1082759,CC BY-SA 2.5,https://stackoverflow.com/questions/1082759/can-i-find-the-url-for-a-spring-mvc-controller-in-the-view-layer,Can I find the URL for a spring mvc controller in the view layer?,,,,,,
15,"['java', 'jar', 'noclassdeffounderror']","{'account_id': 6636, 'reputation': 216514, 'user_id': 11236, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/40656706454dcbdbcec125b85b01f1e4?s=256&d=identicon&r=PG', 'display_name': 'ripper234', 'link': 'https://stackoverflow.com/users/11236/ripper234'}",True,6031,5,0,1665575792,1246547346,,1074955,CC BY-SA 2.5,https://stackoverflow.com/questions/1074955/noclassdeffound-when-running-a-jar,NoClassDefFound when running a jar,,,,,,
16,"['java', 'unit-testing', 'enums', 'hamcrest']","{'account_id': 39831, 'reputation': 1780, 'user_id': 115091, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/be3b4eba618c3c15288283dd67108f57?s=256&d=identicon&r=PG', 'display_name': 'seb', 'link': 'https://stackoverflow.com/users/115091/seb'}",True,137985,6,27,1665047538,1246632697,1665047538.0,1079700,CC BY-SA 4.0,https://stackoverflow.com/questions/1079700/how-to-test-enum-types,How to test enum types?,,1103800.0,,,,
17,"['java', 'salesforce']","{'user_type': 'does_not_exist', 'display_name': 'mugen'}",True,409,5,0,1664862086,1248695877,1248821076.0,1187776,,https://stackoverflow.com/questions/1187776/how-to-transition-from-oo-development-to-web-development,How to transition from OO development to Web-Development?,,,,1664862566.0,Opinion-based,
18,"['java', 'loops', 'hashmap', 'iteration']","{'account_id': 31021, 'reputation': 56670, 'user_id': 84916, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/IaDb2.jpg?s=256&g=1', 'display_name': 'burntsugar', 'link': 'https://stackoverflow.com/users/84916/burntsugar'}",True,4320185,7,3709,1664127992,1246404254,1572364824.0,1066589,,https://stackoverflow.com/questions/1066589/iterate-through-a-hashmap,Iterate through a HashMap,1386076986.0,1066603.0,,1573200556.0,Duplicate,
19,"['java', 'user-interface', 'swing']","{'account_id': 48320, 'reputation': 4082, 'user_id': 143531, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/79c3f58f41b2854487564c78a4f829f5?s=256&d=identicon&r=PG', 'display_name': 'Robert Petermeier', 'link': 'https://stackoverflow.com/users/143531/robert-petermeier'}",True,37947,5,36,1662611781,1248448192,,1178312,CC BY-SA 2.5,https://stackoverflow.com/questions/1178312/how-to-select-all-text-in-a-jformattedtextfield-when-it-gets-focus,How to select all text in a JFormattedTextField when it gets focus?,,1178596.0,,,,
20,"['java', 'gwt', 'gxt']","{'account_id': 21157, 'reputation': 16605, 'user_id': 51230, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/Nq6as.jpg?s=256&g=1', 'display_name': 'Maksim', 'link': 'https://stackoverflow.com/users/51230/maksim'}",False,9548,2,1,1659844890,1248415453,1248448409.0,1175946,CC BY-SA 2.5,https://stackoverflow.com/questions/1175946/get-name-of-selected-radiobutton-in-ext-gwt-radiogroup,Get Name of selected RadioButton in EXT-GWT RadioGroup,,,,,,
21,"['java', 'authentication', 'kerberos', 'ntlm', 'httpurlconnection']","{'account_id': 20091, 'reputation': 58304, 'user_id': 47633, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/b072fc2897196b3bafcd337bc9c91e2d?s=256&d=identicon&r=PG', 'display_name': 'opensas', 'link': 'https://stackoverflow.com/users/47633/opensas'}",False,19210,3,6,1659582285,1248299838,1248313368.0,1168526,CC BY-SA 2.5,https://stackoverflow.com/questions/1168526/authenticate-with-ntlm-or-kerberos-using-java-urlconnection,authenticate with ntlm (or kerberos) using java UrlConnection,,,,,,
22,"['java', 'http', 'jakarta-ee', 'servlets', 'status']","{'account_id': 12846, 'reputation': 15476, 'user_id': 25498, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/3cc2ce3cbc8ee084bf9bd8c9ca1e62d3?s=256&d=identicon&r=PG', 'display_name': 'Adam Crume', 'link': 'https://stackoverflow.com/users/25498/adam-crume'}",True,85695,7,49,1659471549,1247092019,1659471549.0,1100869,CC BY-SA 4.0,https://stackoverflow.com/questions/1100869/how-to-properly-send-an-http-message-to-the-client,How to properly send an HTTP message to the client,,1101115.0,,,,
23,"['java', 'multithreading', 'concurrency', 'interlocked']","{'account_id': 6636, 'reputation': 216514, 'user_id': 11236, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/40656706454dcbdbcec125b85b01f1e4?s=256&d=identicon&r=PG', 'display_name': 'ripper234', 'link': 'https://stackoverflow.com/users/11236/ripper234'}",True,8901,3,16,1659381313,1248078305,,1152298,CC BY-SA 2.5,https://stackoverflow.com/questions/1152298/whats-javas-equivalent-of-nets-interlocked-class,What&#39;s Java&#39;s equivalent of .Net&#39;s Interlocked class?,,1152325.0,,,,
24,"['java', 'android', 'activity-lifecycle']","{'account_id': 877230, 'reputation': 3470, 'user_id': 135135, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/03e72ca97027c9a8d908a469a7238570?s=256&d=identicon&r=PG', 'display_name': 'RyanCheu', 'link': 'https://stackoverflow.com/users/135135/ryancheu'}",True,13558,5,12,1658881703,1247075982,1454537739.0,1099640,CC BY-SA 3.0,https://stackoverflow.com/questions/1099640/is-there-a-function-in-android-analogous-to-int-main-in-c-c-which-contains-t,Is there a function in Android analogous to &quot;int main&quot; in C/C++ which contains the program&#39;s main loop?,,1107509.0,,,,
25,"['java', 'syntax', 'operators', 'increment']","{'account_id': 39205, 'reputation': 2699, 'user_id': 112957, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/f7c4453d200f7cfcf8cef60bed383021?s=256&d=identicon&r=PG', 'display_name': 'erickreutz', 'link': 'https://stackoverflow.com/users/112957/erickreutz'}",True,288453,18,133,1658574431,1247000827,1247001882.0,1094872,CC BY-SA 2.5,https://stackoverflow.com/questions/1094872/is-there-a-difference-between-x-and-x-in-java,Is there a difference between x++ and ++x in java?,,1094894.0,,,,
26,"['java', 'zip']","{'account_id': 45445, 'reputation': 6059, 'user_id': 133943, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/1082a0453be51d37c1be5e3e2b5e4076?s=256&d=identicon&r=PG', 'display_name': 'Ashish Agarwal', 'link': 'https://stackoverflow.com/users/133943/ashish-agarwal'}",True,297467,17,172,1658434989,1246965751,1441362838.0,1091788,CC BY-SA 3.0,https://stackoverflow.com/questions/1091788/how-to-create-a-zip-file-in-java,How to create a zip file in Java,,1091817.0,,,,
27,"['java', 'c#', 'programming-languages', 'covariance', 'contravariance']","{'account_id': 25344, 'reputation': 20370, 'user_id': 65120, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/ac81051f3e74f6bf8ff6a4e60c47adf6?s=256&d=identicon&r=PG', 'display_name': 'xdevel2000', 'link': 'https://stackoverflow.com/users/65120/xdevel2000'}",True,11799,4,30,1658416095,1248245350,1615564248.0,1163465,,https://stackoverflow.com/questions/1163465/what-is-the-difference-between-covariance-and-contra-variance-in-programming-lan,What is the difference between covariance and contra-variance in programming languages?,,1163491.0,,1594939393.0,Needs more focus,
28,"['java', 'maven-2', 'build-process']","{'account_id': 30991, 'reputation': 7117, 'user_id': 84818, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/5f417d883ce4425b9c82a74cbeca1e2c?s=256&d=identicon&r=PG', 'display_name': 'Brian Ferris', 'link': 'https://stackoverflow.com/users/84818/brian-ferris'}",True,344426,7,514,1658324927,1247328725,1495541441.0,1114026,CC BY-SA 3.0,https://stackoverflow.com/questions/1114026/maven-modules-building-a-single-specific-module,Maven Modules + Building a Single Specific Module,,3899772.0,,,,
29,"['java', 'class', 'reflection', 'field', 'private']","{'account_id': 272, 'reputation': 68236, 'user_id': 338, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/3eef89c1710742937cc74bf88da9dff8?s=256&d=identicon&r=PG', 'display_name': 'Frank Krueger', 'link': 'https://stackoverflow.com/users/338/frank-krueger'}",True,355092,14,548,1658207039,1248808800,1516715478.0,1196192,CC BY-SA 3.0,https://stackoverflow.com/questions/1196192/how-to-read-the-value-of-a-private-field-from-a-different-class-in-java,How to read the value of a private field from a different class in Java?,1447919026.0,1196207.0,,,,
30,"['java', 'loops', 'for-loop', 'enums']","{'account_id': 45806, 'reputation': 38141, 'user_id': 135178, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/da5cf6122a16fb61af077a6b431e7b6a?s=256&d=identicon&r=PG', 'display_name': 'Nick Meyer', 'link': 'https://stackoverflow.com/users/135178/nick-meyer'}",True,505378,9,919,1658149343,1247156643,1652031537.0,1104975,CC BY-SA 4.0,https://stackoverflow.com/questions/1104975/a-for-loop-to-iterate-over-an-enum-in-java,A for-loop to iterate over an enum in Java,1415793089.0,1104994.0,,,,
31,"['java', 'scala']","{'account_id': 18735, 'reputation': 12014, 'user_id': 43222, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/4e95fd5c3acda6a9c893460cb2d4821c?s=256&d=identicon&r=PG', 'display_name': 'Zack Marrapese', 'link': 'https://stackoverflow.com/users/43222/zack-marrapese'}",True,5209,9,33,1658077413,1247150059,,1104274,CC BY-SA 2.5,https://stackoverflow.com/questions/1104274/scala-as-the-new-java,Scala as the new Java?,,1104634.0,1247150059.0,,,
32,"['java', 'excel', 'apache-poi']","{'account_id': 27755, 'reputation': 1946, 'user_id': 73572, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://i.stack.imgur.com/vODBf.jpg?s=256&g=1', 'display_name': 'joycollector', 'link': 'https://stackoverflow.com/users/73572/joycollector'}",True,313945,22,161,1657793971,1246510256,1504514077.0,1072561,CC BY-SA 3.0,https://stackoverflow.com/questions/1072561/how-can-i-read-numeric-strings-in-excel-cells-as-string-not-numbers,How can I read numeric strings in Excel cells as string (not numbers)?,1392167882.0,3504406.0,,,,
33,"['java', 'arrays', 'size', 'inputstream']","{'account_id': 46024, 'reputation': 1189, 'user_id': 135856, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/3c076f10b47211dc71f6a56ad1d8fab0?s=256&d=identicon&r=PG', 'display_name': 'ChronoXIII', 'link': 'https://stackoverflow.com/users/135856/chronoxiii'}",True,272729,13,102,1657550845,1247490333,1480327461.0,1119332,CC BY-SA 3.0,https://stackoverflow.com/questions/1119332/determine-the-size-of-an-inputstream,Determine the size of an InputStream,,1119364.0,,,,
34,"['java', 'hibernate', 'jpa']","{'account_id': 34199, 'reputation': 2733, 'user_id': 96412, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/4987d06f622d03feb8ad8a18dab34834?s=256&d=identicon&r=PG', 'display_name': 'rdk', 'link': 'https://stackoverflow.com/users/96412/rdk'}",True,74968,7,136,1657288844,1247383391,,1115480,CC BY-SA 2.5,https://stackoverflow.com/questions/1115480/can-javax-persistence-query-getresultlist-return-null,Can javax.persistence.Query.getResultList() return null?,,1115512.0,,,,
35,"['java', 'eclipse', 'tomcat']","{'account_id': 47827, 'reputation': 4680, 'user_id': 141810, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://www.gravatar.com/avatar/3b519c8a2e203fd1d5990d957f84e301?s=256&d=identicon&r=PG', 'display_name': 'hello_world_infinity', 'link': 'https://stackoverflow.com/users/141810/hello-world-infinity'}",True,60340,11,12,1657132765,1248245822,1248255368.0,1163493,CC BY-SA 2.5,https://stackoverflow.com/questions/1163493/apache-tomcat-404-error,Apache Tomcat 404 Error,,,,,,
36,"['java', 'date', 'calendar']","{'account_id': 37107, 'reputation': 3418, 'user_id': 105993, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/2eaf021e398387baaee9966d15d2d3d2?s=256&d=identicon&r=PG', 'display_name': 'nojevive', 'link': 'https://stackoverflow.com/users/105993/nojevive'}",True,374944,28,163,1656860249,1247409133,1247413493.0,1116123,CC BY-SA 2.5,https://stackoverflow.com/questions/1116123/how-do-i-calculate-someones-age-in-java,How do I calculate someone&#39;s age in Java?,1444661511.0,1116138.0,,,,
37,"['java', 'arraylist']","{'account_id': 6636, 'reputation': 216514, 'user_id': 11236, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/40656706454dcbdbcec125b85b01f1e4?s=256&d=identicon&r=PG', 'display_name': 'ripper234', 'link': 'https://stackoverflow.com/users/11236/ripper234'}",True,53972,7,72,1656663519,1248616022,,1184636,CC BY-SA 2.5,https://stackoverflow.com/questions/1184636/shrinking-an-arraylist-to-a-new-size,Shrinking an ArrayList to a new size,,1184665.0,,,,
38,"['java', 'r', 'statistics', 'data-visualization']","{'account_id': 48007, 'reputation': 3363, 'user_id': 142405, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/66eccf1a4fa78906a5a6198a53ba0cd8?s=256&d=identicon&r=PG', 'display_name': 'ludwigm', 'link': 'https://stackoverflow.com/users/142405/ludwigm'}",True,3910,7,4,1656582955,1248980345,1656582955.0,1208627,,https://stackoverflow.com/questions/1208627/visualizing-data-in-java,Visualizing Data in Java,,,,1657159008.0,Not suitable for this site,
39,"['java', 'string', 'numeric']","{'account_id': 8492, 'reputation': 22444, 'user_id': 15352, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/31bb333f97613e2a083d68b115bd4b86?s=256&d=identicon&r=PG', 'display_name': 'Craig Angus', 'link': 'https://stackoverflow.com/users/15352/craig-angus'}",True,1790118,41,1022,1656352803,1247132987,1448824515.0,1102891,CC BY-SA 3.0,https://stackoverflow.com/questions/1102891/how-to-check-if-a-string-is-numeric-in-java,How to check if a String is numeric in Java,1448786052.0,12569609.0,,,,
40,"['java', 'constructor']","{'account_id': 15102, 'reputation': 44258, 'user_id': 31563, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/12c0cefb531b067d88c2fa2407981ddd?s=256&d=identicon&r=PG', 'display_name': 'Joe Daley', 'link': 'https://stackoverflow.com/users/31563/joe-daley'}",True,313264,22,701,1655979514,1248297915,1655979514.0,1168345,CC BY-SA 4.0,https://stackoverflow.com/questions/1168345/why-do-this-and-super-have-to-be-the-first-statement-in-a-constructor,Why do this() and super() have to be the first statement in a constructor?,,,,,,
41,"['java', 'hibernate', 'jpa', 'persistence']","{'account_id': 10893, 'reputation': 47747, 'user_id': 20774, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/3e32e31d4c24c1558abd6567f2ab60ba?s=256&d=identicon&r=PG', 'display_name': 'James McMahon', 'link': 'https://stackoverflow.com/users/20774/james-mcmahon'}",True,60836,2,46,1654511414,1247769660,,1139496,CC BY-SA 2.5,https://stackoverflow.com/questions/1139496/how-can-you-replicate-hibernates-saveorupdate-in-jpa,How can you replicate Hibernate&#39;s saveOrUpdate in JPA?,,1139901.0,,,,
42,"['java', 'multithreading', 'sleep', 'interrupted-exception', 'interruption']","{'account_id': 7643, 'reputation': 3689, 'user_id': 13326, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/a21b3c1dc9d23f23e546249bcbcefe84?s=256&d=identicon&r=PG', 'display_name': 'Manki', 'link': 'https://stackoverflow.com/users/13326/manki'}",True,132094,8,129,1654280435,1246892511,1452797666.0,1087475,CC BY-SA 3.0,https://stackoverflow.com/questions/1087475/when-does-javas-thread-sleep-throw-interruptedexception,When does Java&#39;s Thread.sleep throw InterruptedException?,,1087504.0,1246892590.0,,,
43,"['java', 'unicode', 'intellij-idea', 'console']","{'account_id': 45195, 'reputation': 2294, 'user_id': 2134702, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/b72e6490d799ed9e2004c81a7d0aac53?s=256&d=identicon&r=PG&f=1', 'display_name': 'Eran', 'link': 'https://stackoverflow.com/users/2134702/eran'}",True,34958,8,20,1653599463,1246719149,1430866469.0,1082343,CC BY-SA 3.0,https://stackoverflow.com/questions/1082343/unicode-characters-appear-as-question-marks-in-intellij-idea-console,unicode characters appear as question marks in IntelliJ IDEA console,,1082370.0,,,,
44,"['java', 'naming-conventions']","{'account_id': 43526, 'reputation': 7544, 'user_id': 127269, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/7vN7k.jpg?s=256&g=1', 'display_name': 'Secko', 'link': 'https://stackoverflow.com/users/127269/secko'}",True,1978,10,3,1652882258,1248567074,1652882258.0,1183407,CC BY-SA 4.0,https://stackoverflow.com/questions/1183407/should-i-use-the-java-naming-convention,Should I use the Java naming convention?,,1183413.0,,,,
45,"['java', 'python', 'integration']","{'account_id': 41920, 'reputation': 55402, 'user_id': 121993, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/bb75c57d633d38c62e7029b4d7eb0ce7?s=256&d=identicon&r=PG', 'display_name': 'Jeff Storey', 'link': 'https://stackoverflow.com/users/121993/jeff-storey'}",True,84173,12,57,1652792810,1247494523,1247495292.0,1119696,CC BY-SA 2.5,https://stackoverflow.com/questions/1119696/java-python-integration,Java Python Integration,,1119711.0,,,,
46,"['java', 'serialization', 'singleton']","{'account_id': 48239, 'reputation': 2498, 'user_id': 143224, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/b9e46e55f56658cb76b6bb7fa92fd6d6?s=256&d=identicon&r=PG', 'display_name': 'Forage', 'link': 'https://stackoverflow.com/users/143224/forage'}",True,101522,10,144,1651820483,1248297948,1631930867.0,1168348,CC BY-SA 4.0,https://stackoverflow.com/questions/1168348/java-serialization-readobject-vs-readresolve,Java serialization: readObject() vs. readResolve(),1465927064.0,1168375.0,,,,
47,"['java', 'data-structures', 'minmax-heap']","{'account_id': 12462, 'reputation': 158456, 'user_id': 24545, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://i.stack.imgur.com/omB1R.jpg?s=256&g=1', 'display_name': 'Yuval Adam', 'link': 'https://stackoverflow.com/users/24545/yuval-adam'}",True,98111,7,46,1651783283,1247061726,1501253628.0,1098277,CC BY-SA 3.0,https://stackoverflow.com/questions/1098277/java-implementation-for-min-max-heap,Java implementation for Min-Max Heap?,1618755860.0,9119753.0,,,,
