,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,accepted_answer_id,closed_date,closed_reason,locked_date
10,"['java', 'arraylist']","{'account_id': 12948872, 'reputation': 192, 'user_id': 9860054, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-5sJ9X3gj0AQ/AAAAAAAAAAI/AAAAAAAAABk/3p8G0ahaltE/photo.jpg?sz=256', 'display_name': 'scd', 'link': 'https://stackoverflow.com/users/9860054/scd'}",True,6545,4,2,1667765090,1551263367,,54903326,CC BY-SA 4.0,https://stackoverflow.com/questions/54903326/initialize-arraylist-with-a-range-of-integer-values-avoiding-loops,Initialize ArrayList with a range of integer values avoiding loops,,,,,
11,"['java', 'spring-boot', 'spring-data-jpa']","{'account_id': 11458077, 'reputation': 55, 'user_id': 8398493, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9b7134a3780f181606218164857c7523?s=256&d=identicon&r=PG&f=1', 'display_name': 'QYC', 'link': 'https://stackoverflow.com/users/8398493/qyc'}",False,7531,2,2,1667761625,1551066123,1579351418.0,54859201,CC BY-SA 4.0,https://stackoverflow.com/questions/54859201/springdata-jpa-repository-findallbyxxx-return-null-instead-of-an-empty-list,Springdata JPA repository findAllByXXX() return null instead of an empty list,,,,,
12,"['java', 'selenium', 'firefox', 'geckodriver', 'selenium-firefoxdriver']","{'account_id': 12147471, 'reputation': 35, 'user_id': 9174847, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0b43b7c8c8265882e63b20995d309811?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tatiana', 'link': 'https://stackoverflow.com/users/9174847/tatiana'}",False,1512,2,0,1667642532,1550323976,1550328684.0,54723598,CC BY-SA 4.0,https://stackoverflow.com/questions/54723598/component-returned-failure-code-0x80520012-ns-error-file-not-found-amiaddonm,Component returned failure code: 0x80520012 (NS_ERROR_FILE_NOT_FOUND) [amIAddonManagerStartup.readStartupData] with GeckoDriver Mozilla Selenium Java,,,,,
13,"['java', 'android', 'firebase', 'firebase-storage']","{'account_id': 12786516, 'reputation': 149, 'user_id': 9252607, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1f46781a09c2d707d6acd3249e7d9f30?s=256&d=identicon&r=PG&f=1', 'display_name': 'divine_rythm', 'link': 'https://stackoverflow.com/users/9252607/divine-rythm'}",True,5663,7,3,1667481243,1549304376,,54522083,CC BY-SA 4.0,https://stackoverflow.com/questions/54522083/an-unknown-error-occured-please-check-http-result-code-and-inner-exception-for-s,An unknown error occured please check HTTP result code and inner exception for server response,,54635255.0,,,
14,"['java', 'android', 'kotlin', 'localization', 'google-play']","{'account_id': 7541067, 'reputation': 693, 'user_id': 5725622, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-YIPg-1szqVM/AAAAAAAAAAI/AAAAAAAAAB0/L8aPQVUEf50/photo.jpg?sz=256', 'display_name': 'Parth Lotia', 'link': 'https://stackoverflow.com/users/5725622/parth-lotia'}",True,7195,3,33,1667379508,1550914315,1633583937.0,54840188,CC BY-SA 4.0,https://stackoverflow.com/questions/54840188/language-change-is-working-before-uploading-to-google-play-store-but-not-after-u,Language change is working before uploading to Google Play Store but not after uploading to play store . Why?,,54862243.0,,,
15,"['java', 'spring-boot', 'spring-data-jpa', 'mockito']","{'account_id': 13719720, 'reputation': 51, 'user_id': 9899984, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ccb443af7d463156627110ecab06143b?s=256&d=identicon&r=PG&f=1', 'display_name': 'sokoler', 'link': 'https://stackoverflow.com/users/9899984/sokoler'}",True,1823,4,3,1667316487,1550150584,1550151193.0,54691476,CC BY-SA 4.0,https://stackoverflow.com/questions/54691476/wrongtypeofreturnvalue-object-cannot-be-returned-by-findbyid,WrongTypeOfReturnValue: &quot;Object&quot; cannot be returned by findById(),,,,,
16,"['java', 'swift', 'firebase', 'firebase-realtime-database', 'closures']","{'account_id': 13368203, 'reputation': 15, 'user_id': 9647627, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2120643994833724/picture?type=large', 'display_name': 'Benjamin VanCleave', 'link': 'https://stackoverflow.com/users/9647627/benjamin-vancleave'}",True,407,1,1,1667204942,1549516794,1549528555.0,54566753,CC BY-SA 4.0,https://stackoverflow.com/questions/54566753/escaping-closure-in-swift-and-how-to-perform-it-in-java,Escaping closure in swift and how to perform it in Java,,54567556.0,,,
17,"['java', 'android', 'android-layout', 'android-constraintlayout']","{'account_id': 10601710, 'reputation': 957, 'user_id': 7808468, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c924a8fbf9f80bccb176fe9a60788bd0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mark Denom', 'link': 'https://stackoverflow.com/users/7808468/mark-denom'}",False,136,4,-1,1666966970,1549335559,1549353451.0,54527197,CC BY-SA 4.0,https://stackoverflow.com/questions/54527197/how-do-i-set-my-imageview-to-the-top-of-the-screen-no-matter-what-resolution,How do I set my ImageView to the top of the screen no matter what resolution?,,,,,
18,"['java', 'geometry', 'geojson', 'geojsonio']","{'account_id': 1062801, 'reputation': 6072, 'user_id': 1064076, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/83239dad3799a61bed81c885e957abe5?s=256&d=identicon&r=PG&f=1', 'display_name': 'Arun Kumar', 'link': 'https://stackoverflow.com/users/1064076/arun-kumar'}",False,7987,1,1,1666861445,1549671504,1549671927.0,54601953,CC BY-SA 4.0,https://stackoverflow.com/questions/54601953/parsing-geojson-data-to-polygon-using-java,Parsing GeoJSON Data to Polygon using Java,,,,,
19,"['java', 'multithreading', 'concurrency']","{'account_id': 11207923, 'reputation': 537, 'user_id': 8222921, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/F4vhZ.jpg?s=256&g=1', 'display_name': 'Artyom Karnov', 'link': 'https://stackoverflow.com/users/8222921/artyom-karnov'}",True,166,2,1,1666773192,1550330087,1550330814.0,54724508,CC BY-SA 4.0,https://stackoverflow.com/questions/54724508/why-runnable-task-cant-be-interrupted-with-atomicboolean-flag,Why runnable task can&#39;t be interrupted with AtomicBoolean flag?,,54724839.0,,,
20,"['java', 'arrays']","{'account_id': 15420316, 'reputation': 3, 'user_id': 11124541, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-dveFBmOIYbI/AAAAAAAAAAI/AAAAAAAAAAA/PImT_GKimjk/photo.jpg?sz=256', 'display_name': 'Dominik Fuček', 'link': 'https://stackoverflow.com/users/11124541/dominik-fu%c4%8dek'}",False,10282,1,0,1666723763,1551264402,1641465690.0,54903672,CC BY-SA 4.0,https://stackoverflow.com/questions/54903672/battleship-game-in-java-language,Battleship game in Java language,,,,,
21,"['java', 'inputstream', 'reactive-programming']","{'account_id': 4094046, 'reputation': 1760, 'user_id': 3361335, 'user_type': 'registered', 'accept_rate': 15, 'profile_image': 'https://www.gravatar.com/avatar/52beaaa0b4c2e49ea752e12fd656c111?s=256&d=identicon&r=PG&f=1', 'display_name': 'fresko', 'link': 'https://stackoverflow.com/users/3361335/fresko'}",True,746,2,2,1666404479,1549375574,1666404479.0,54536217,CC BY-SA 4.0,https://stackoverflow.com/questions/54536217/how-to-create-a-line-based-observable-from-inputstream,How to create a line-based observable from InputStream?,,54536282.0,,,
22,"['java', 'json', 'csv', 'gson']","{'account_id': 2844536, 'reputation': 275, 'user_id': 2443312, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/s9yXr.png?s=256&g=1', 'display_name': 'kai-dj', 'link': 'https://stackoverflow.com/users/2443312/kai-dj'}",True,407,1,1,1666306856,1549466904,1666306856.0,54557093,CC BY-SA 4.0,https://stackoverflow.com/questions/54557093/simple-way-to-map-csv-table-to-json-with-different-property-names-than-csv-heade,Simple way to map csv-table to json with different property-names than csv-headers with gson?,,54557399.0,,,
23,"['java', 'jackson', 'pojo', 'jackson-databind', 'jackson-dataformat-xml']","{'account_id': 8622016, 'reputation': 3923, 'user_id': 6456586, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/c724fc34702dfb2236efdf01f5b19f2d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Denis Stephanov', 'link': 'https://stackoverflow.com/users/6456586/denis-stephanov'}",True,7589,2,10,1666197517,1551119258,1666197269.0,54872538,CC BY-SA 4.0,https://stackoverflow.com/questions/54872538/deserialize-flat-array-in-xml-by-jackson-to-list-of-pojo,Deserialize flat array in XML by Jackson to List of Pojo,,54875379.0,,,
24,"['java', 'selenium', 'instagram']","{'account_id': 11017205, 'reputation': 565, 'user_id': 8935199, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/uyUGx.jpg?s=256&g=1', 'display_name': 'Alex', 'link': 'https://stackoverflow.com/users/8935199/alex'}",True,183,1,-2,1666194083,1549715775,1666194083.0,54606272,CC BY-SA 4.0,https://stackoverflow.com/questions/54606272/how-to-make-a-program-which-loops-over-all-saved-photos-on-instagram,How to make a program which loops over all saved photos on Instagram,,54631885.0,,,
25,"['java', 'spring-boot', 'postman']","{'account_id': 8491796, 'reputation': 129, 'user_id': 6367865, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/91ff54fb549e09cb5d3a9803ab89396d?s=256&d=identicon&r=PG&f=1', 'display_name': 'alonso05', 'link': 'https://stackoverflow.com/users/6367865/alonso05'}",True,8037,3,0,1666163836,1549466241,,54556868,CC BY-SA 4.0,https://stackoverflow.com/questions/54556868/why-does-post-request-cause-forbidden-error,Why does post request cause forbidden error?,,,,,
26,"['java', 'android', 'sqlite']","{'account_id': 4469780, 'reputation': 1, 'user_id': 3636404, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user3636404', 'link': 'https://stackoverflow.com/users/3636404/user3636404'}",False,80,1,-3,1666144945,1549982192,1666144945.0,54652483,CC BY-SA 4.0,https://stackoverflow.com/questions/54652483/i-have-a-problem-with-the-sorting-result-of-the-database-sqlite-of-my-android-ap,I have a problem with the sorting result of the database SQLite of my Android app,,,,,
27,"['java', 'spring', 'spring-boot', 'spring-mvc', 'restful-url']","{'account_id': 8381673, 'reputation': 431, 'user_id': 6293374, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/0063d490f6bab7c599237a7f0ea90ab4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Omar B.', 'link': 'https://stackoverflow.com/users/6293374/omar-b'}",True,1025,2,-1,1666110749,1550176520,1666110749.0,54698664,CC BY-SA 4.0,https://stackoverflow.com/questions/54698664/no-converter-found-for-return-value-of-type-class-java-util-arraylist,No converter found for return value of type: class java.util.ArrayList,,54771504.0,,,
28,"['java', 'xml', 'jaxb']","{'account_id': 11841417, 'reputation': 87, 'user_id': 11089084, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c26428887341fca4feed4dfa6250a4e6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Zhaled Asufian', 'link': 'https://stackoverflow.com/users/11089084/zhaled-asufian'}",False,1247,1,-1,1665851851,1550657031,1665851851.0,54783619,CC BY-SA 4.0,https://stackoverflow.com/questions/54783619/nested-xml-schema-how-to-use-jaxb,"Nested XML schema, how to use JAXB?",,,,,
29,"['java', 'selenium', 'selenium-webdriver', 'cucumber']","{'account_id': 13383143, 'reputation': 411, 'user_id': 9658618, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/497828ba9a86416b2a64f3a1be7c0f4a?s=256&d=identicon&r=PG&f=1', 'display_name': 'SeekanDestroy', 'link': 'https://stackoverflow.com/users/9658618/seekandestroy'}",False,167,0,3,1665851798,1550662313,1665851798.0,54785322,CC BY-SA 4.0,https://stackoverflow.com/questions/54785322/selenium-open-jstree-nodes-using-node-name-as-string,Selenium: Open jstree Nodes using Node name as String,,,,,
30,"['java', 'spring-boot', 'java-9', 'java-module']","{'account_id': 2767223, 'reputation': 18756, 'user_id': 2382650, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/c7d1f30701e93afd6b330bb1f7479a6c?s=256&d=identicon&r=PG', 'display_name': 'Cisco', 'link': 'https://stackoverflow.com/users/2382650/cisco'}",True,238369,4,106,1665771798,1549377821,,54536895,CC BY-SA 4.0,https://stackoverflow.com/questions/54536895/cannot-be-cast-to-class-because-they-are-in-unnamed-module-of-loader-app,Cannot be cast to class because they are in unnamed module of loader &#39;app&#39;,,57753612.0,,,
31,"['java', 'javac', 'type-inference', 'java-11', 'compiler-bug']","{'account_id': 4312932, 'reputation': 22064, 'user_id': 3523579, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/d2eea8d5e3d38eb31f625e69cb6aad49?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mikhail Kholodkov', 'link': 'https://stackoverflow.com/users/3523579/mikhail-kholodkov'}",True,32039,6,68,1665740485,1550612018,1550612361.0,54775253,CC BY-SA 4.0,https://stackoverflow.com/questions/54775253/jdk-11-0-2-compilation-fails-with-javac-npe-on-anonymous-parameterized-class-typ,JDK 11.0.2 compilation fails with javac NPE on anonymous parameterized class type inference,,54776592.0,,,
32,"['java', 'tomcat', 'spark-java']","{'account_id': 7800807, 'reputation': 177, 'user_id': 5900323, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/69d8a0fb0ed12f4ecc236051227df75d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Preethi Jha', 'link': 'https://stackoverflow.com/users/5900323/preethi-jha'}",False,384,1,2,1665723354,1549667389,1549942778.0,54601467,CC BY-SA 4.0,https://stackoverflow.com/questions/54601467/tomcat-fails-to-load-java-spark-application,Tomcat fails to load Java Spark application,,,,,
33,"['java', 'linux', 'localhost']","{'account_id': 15233757, 'reputation': 45, 'user_id': 10992123, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9b4976bfe54858b6c7dacc03243f6cb9?s=256&d=identicon&r=PG&f=1', 'display_name': 'ZeSampaio', 'link': 'https://stackoverflow.com/users/10992123/zesampaio'}",True,213,2,0,1665681951,1550684127,1665681951.0,54792244,CC BY-SA 4.0,https://stackoverflow.com/questions/54792244/connection-refused-how-to-solve,"Connection Refused, how to solve?",,,,,
34,"['java', 'mysql', 'jpa', 'web']","{'account_id': 11909460, 'reputation': 339, 'user_id': 8715131, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/89711881226009b46adc4f594f38ad91?s=256&d=identicon&r=PG&f=1', 'display_name': 'Alina', 'link': 'https://stackoverflow.com/users/8715131/alina'}",True,9452,3,1,1665633704,1549984188,1549984760.0,54653132,CC BY-SA 4.0,https://stackoverflow.com/questions/54653132/view-contents-of-mysql-database,View contents of MySQL database,,54653307.0,,,
35,"['java', 'html', 'sax', 'saxon']","{'account_id': 3577622, 'reputation': 143, 'user_id': 2986491, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2f1c120e8990ebd6898f93cc98228cdb?s=256&d=identicon&r=PG&f=1', 'display_name': 'ArunBharath', 'link': 'https://stackoverflow.com/users/2986491/arunbharath'}",True,151,2,0,1665578255,1549652338,,54598683,CC BY-SA 4.0,https://stackoverflow.com/questions/54598683/getting-null-pointer-exception-net-sf-saxon-event-receivingcontenthandler-starte,Getting NULL pointer exception net.sf.saxon.event.ReceivingContentHandler.startElement in DaisyDiff,,54634401.0,,,
36,"['java', 'android', 'audio', 'signal-processing', 'audiotrack']","{'account_id': 4037842, 'reputation': 1654, 'user_id': 3321579, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/8507b1ffc84187a23597ae23ad773458?s=256&d=identicon&r=PG&f=1', 'display_name': 'Scorb', 'link': 'https://stackoverflow.com/users/3321579/scorb'}",True,1082,1,0,1665570367,1550849584,1550849708.0,54830378,CC BY-SA 4.0,https://stackoverflow.com/questions/54830378/audiotrack-write-blocking-vs-write-non-blocking,AudioTrack WRITE_BLOCKING vs WRITE_NON_BLOCKING,,54834603.0,,,
37,"['java', 'php', 'algorithm', 'bit-manipulation']","{'account_id': 1587261, 'reputation': 9283, 'user_id': 1471314, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://i.stack.imgur.com/D8Djq.jpg?s=256&g=1', 'display_name': 'roger_that', 'link': 'https://stackoverflow.com/users/1471314/roger-that'}",True,23433,7,18,1665536825,1550770158,1587295719.0,54812971,CC BY-SA 4.0,https://stackoverflow.com/questions/54812971/programming-minimum-steps-required-to-convert-a-binary-number-to-zero,Programming: Minimum steps required to convert a binary number to zero,,,,,
38,"['java', 'spring', 'spring-boot', 'tomcat']","{'account_id': 7881499, 'reputation': 125, 'user_id': 5955305, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10153943683204049/picture?type=large', 'display_name': 'Nishant Singh', 'link': 'https://stackoverflow.com/users/5955305/nishant-singh'}",True,23595,5,5,1665482214,1549443454,,54549785,CC BY-SA 4.0,https://stackoverflow.com/questions/54549785/spring-boot-application-not-starting-error-stopping-service-tomcat,Spring Boot Application not starting. Error: Stopping Service [Tomcat],,54549909.0,,,
39,"['java', 'spring', 'amazon-web-services', 'spring-boot', 'amazon-elastic-beanstalk']","{'account_id': 15289845, 'reputation': 539, 'user_id': 11031684, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/104c3a5efd163609ef78938ce08ccdda?s=256&d=identicon&r=PG&f=1', 'display_name': 'A.Dev', 'link': 'https://stackoverflow.com/users/11031684/a-dev'}",True,13370,3,11,1665346271,1549767863,1549811033.0,54612962,CC BY-SA 4.0,https://stackoverflow.com/questions/54612962/502-bad-gateway-elastic-beanstalk-spring-boot,502 bad gateway Elastic Beanstalk Spring Boot,,54618030.0,,,
40,"['java', 'kotlin', 'lombok']","{'account_id': 1427397, 'reputation': 1248, 'user_id': 1350552, 'user_type': 'registered', 'accept_rate': 24, 'profile_image': 'https://www.gravatar.com/avatar/52e045ba689753ed1814f0d62310a21c?s=256&d=identicon&r=PG', 'display_name': 'Viktor', 'link': 'https://stackoverflow.com/users/1350552/viktor'}",True,372,3,1,1665118690,1549447149,,54550811,CC BY-SA 4.0,https://stackoverflow.com/questions/54550811/is-it-possible-to-alter-the-behavior-of-tostring-methods-generated-for-kotlin,Is it possible to alter the behavior of toString() methods generated for Kotlin data classes?,,,,,
41,"['java', 'websocket', 'dns', 'vert.x']","{'account_id': 1819392, 'reputation': 1403, 'user_id': 1653759, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://i.stack.imgur.com/8hQMe.jpg?s=256&g=1', 'display_name': 'Rajesh Narravula', 'link': 'https://stackoverflow.com/users/1653759/rajesh-narravula'}",False,8035,1,2,1665075785,1550345123,,54726822,CC BY-SA 4.0,https://stackoverflow.com/questions/54726822/java-net-unknownhostexception-failed-to-resolve-in-vertx,java.net.UnknownHostException: failed to resolve in Vertx,,,,,
42,"['java', 'spring', 'jhipster']","{'account_id': 7855216, 'reputation': 2584, 'user_id': 5937321, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/YcYaB.png?s=256&g=1', 'display_name': 'Developer Thing', 'link': 'https://stackoverflow.com/users/5937321/developer-thing'}",False,10460,3,1,1665032750,1550102602,1550103521.0,54681312,CC BY-SA 4.0,https://stackoverflow.com/questions/54681312/could-not-resolve-placeholder-server-port-in-value-server-port,Could not resolve placeholder &#39;server.port&#39; in value &quot;${server.port}&quot;,,,,,
43,"['java', 'http', 'logging', 'java-11', 'java-http-client']","{'account_id': 296387, 'reputation': 2561, 'user_id': 601311, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/d24ae40c15f3f2d4897433e68d4075d4?s=256&d=identicon&r=PG', 'display_name': 'Maxim Kirilov', 'link': 'https://stackoverflow.com/users/601311/maxim-kirilov'}",True,2440,1,2,1664989619,1550390226,1550413703.0,54731243,CC BY-SA 4.0,https://stackoverflow.com/questions/54731243/logging-in-jdk11-httpclient,Logging in JDK11 HttpClient,,,,,
44,"['java', 'elasticsearch', 'elasticsearch-java-api']","{'account_id': 11764939, 'reputation': 3154, 'user_id': 8609847, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-7IH4AEsnWOM/AAAAAAAAAAI/AAAAAAAAABY/-FVpiEzpZJE/photo.jpg?sz=256', 'display_name': 'Satish Patro', 'link': 'https://stackoverflow.com/users/8609847/satish-patro'}",True,1233,3,1,1664964196,1550061568,,54670422,CC BY-SA 4.0,https://stackoverflow.com/questions/54670422/creating-type-inside-index-in-elastic-search-through-rest-high-level-client,Creating type inside index in elastic search through rest high level client,,,,,
45,"['java', 'gradle', 'grpc', 'gradlew', 'grpc-java']","{'account_id': 3895591, 'reputation': 103, 'user_id': 3224720, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Arajit', 'link': 'https://stackoverflow.com/users/3224720/arajit'}",True,6428,2,0,1664554750,1549061089,,54488100,CC BY-SA 4.0,https://stackoverflow.com/questions/54488100/gradle-failed-to-clean-output-directory,Gradle failed to clean output directory,,,,,
46,"['java', 'database-migration', 'flyway', 'baseline']","{'account_id': 453152, 'reputation': 1468, 'user_id': 849981, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://i.stack.imgur.com/oczcE.jpg?s=256&g=1', 'display_name': 'X-HuMan', 'link': 'https://stackoverflow.com/users/849981/x-human'}",False,199,1,0,1664490049,1550449720,1550466548.0,54739000,CC BY-SA 4.0,https://stackoverflow.com/questions/54739000/flyway-log-show-successfully-table-created-but-failed-to-create-table,FlyWay : log show successfully table created but failed to create Table?,,,,,
