,tags,owner,is_answered,view_count,protected_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,community_owned_date,migrated_from,locked_date
10,"['java', 'apple-push-notifications']","{'account_id': 878349, 'reputation': 687, 'user_id': 144173, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/80808dab54ec15e186403ac5c03c154f?s=256&d=identicon&r=PG', 'display_name': 'mw_javaguy', 'link': 'https://stackoverflow.com/users/144173/mw-javaguy'}",True,38617,,7,8,1666022900,1251694136,1390323806.0,1355837,CC BY-SA 3.0,https://stackoverflow.com/questions/1355837/use-apple-push-notification-service-through-java,Use Apple Push Notification Service through Java,1544075.0,,,,,
11,"['version', 'java']","{'account_id': 28750, 'reputation': 13454, 'user_id': 77087, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/ebef5d4de7f904f18b1ce576518359d8?s=256&d=identicon&r=PG', 'display_name': 'Prabhu R', 'link': 'https://stackoverflow.com/users/77087/prabhu-r'}",True,33253,,9,38,1665407371,1250595148,1495542870.0,1293308,CC BY-SA 3.0,https://stackoverflow.com/questions/1293308/java-api-to-find-out-the-jdk-version-a-class-file-is-compiled-for,Java API to find out the JDK version a class file is compiled for?,1293372.0,,,,,
12,['java'],"{'user_type': 'does_not_exist', 'display_name': 'herb'}",True,227943,1499786618.0,8,29,1664543079,1250626683,1608328521.0,1296249,CC BY-SA 4.0,https://stackoverflow.com/questions/1296249/how-to-convert-java-file-to-a-class-file,how to convert .java file to a .class file,,,,,,
13,"['java', 'swing', 'mouseevent', 'multiple-monitors']","{'account_id': 2146, 'reputation': 51140, 'user_id': 2959, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/1bf77682e06e19438854c1ea3ec5f5fa?s=256&d=identicon&r=PG', 'display_name': 'Steve McLeod', 'link': 'https://stackoverflow.com/users/2959/steve-mcleod'}",True,4767,,5,10,1664292397,1249721759,1249722110.0,1248386,CC BY-SA 2.5,https://stackoverflow.com/questions/1248386/how-do-i-determine-which-monitor-a-swing-mouse-event-occurs-in,How do I determine which monitor a Swing mouse event occurs in?,1248477.0,,,,,
14,['java'],"{'account_id': 47827, 'reputation': 4680, 'user_id': 141810, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://www.gravatar.com/avatar/3b519c8a2e203fd1d5990d957f84e301?s=256&d=identicon&r=PG', 'display_name': 'hello_world_infinity', 'link': 'https://stackoverflow.com/users/141810/hello-world-infinity'}",True,170514,,13,177,1663654791,1250570409,1663654791.0,1291836,CC BY-SA 4.0,https://stackoverflow.com/questions/1291836/concurrenthashmap-vs-synchronized-hashmap,ConcurrentHashMap vs Synchronized HashMap,20417527.0,,,,,
15,"['java', 'swing', 'jtextfield']","{'account_id': 42657, 'reputation': 26478, 'user_id': 124339, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/e6d1d662f2b3873887e61dafbed6d2c1?s=256&d=identicon&r=PG', 'display_name': 'Johanna', 'link': 'https://stackoverflow.com/users/124339/johanna'}",True,101451,,20,50,1663150005,1250877666,1450112537.0,1313390,CC BY-SA 3.0,https://stackoverflow.com/questions/1313390/is-there-any-way-to-accept-only-numeric-values-in-a-jtextfield,Is there any way to accept only numeric values in a JTextField?,,,,,,
16,"['java', 'utf-8']","{'account_id': 52149, 'reputation': 1422, 'user_id': 155796, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://i.stack.imgur.com/uWUUB.png?s=256&g=1', 'display_name': 'Eric Nicolas', 'link': 'https://stackoverflow.com/users/155796/eric-nicolas'}",True,10543,,4,6,1661129600,1250170908,1250172968.0,1272032,CC BY-SA 2.5,https://stackoverflow.com/questions/1272032/java-utf-8-strange-behaviour,Java UTF-8 strange behaviour,1272041.0,,,,,
17,"['java', 'xslt', 'dom', 'sax', 'pipeline']","{'account_id': 43129, 'reputation': 1701, 'user_id': 125901, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/xjDWr.png?s=256&g=1', 'display_name': 'Chris Scott', 'link': 'https://stackoverflow.com/users/125901/chris-scott'}",True,7941,,3,20,1660809271,1250866063,,1312406,CC BY-SA 2.5,https://stackoverflow.com/questions/1312406/efficient-xslt-pipeline-in-java-or-redirecting-results-to-sources,Efficient XSLT pipeline in Java (or redirecting Results to Sources),1319774.0,,,,,
18,"['java', 'configuration', 'properties', 'maps']","{'account_id': 10893, 'reputation': 47747, 'user_id': 20774, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/3e32e31d4c24c1558abd6567f2ab60ba?s=256&d=identicon&r=PG', 'display_name': 'James McMahon', 'link': 'https://stackoverflow.com/users/20774/james-mcmahon'}",True,48490,,16,36,1660692327,1250865797,1523350246.0,1312383,CC BY-SA 3.0,https://stackoverflow.com/questions/1312383/pulling-values-from-a-java-properties-file-in-order,Pulling values from a Java Properties file in order?,1312484.0,,,,,
19,"['java', 'php', 'energy']","{'account_id': 10523, 'reputation': 17618, 'user_id': 19929, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/079809e9c2f9a2092b5c6f4788e3a3cb?s=256&d=identicon&r=PG', 'display_name': 'Thomaschaaf', 'link': 'https://stackoverflow.com/users/19929/thomaschaaf'}",True,3286,,13,46,1660596025,1251042580,1379082440.0,1318851,CC BY-SA 3.0,https://stackoverflow.com/questions/1318851/php-vs-java-are-there-energy-consumption-differences,PHP vs. Java are there energy consumption differences?,,,,,,
20,"['java', 'jar']","{'user_type': 'does_not_exist', 'display_name': 'moon'}",True,805273,,12,256,1660408580,1249555381,1512557448.0,1238145,CC BY-SA 3.0,https://stackoverflow.com/questions/1238145/how-to-run-a-jar-file,How to run a JAR file,,,,,,
21,"['java', 'hprof']","{'account_id': 52261, 'reputation': 2607, 'user_id': 156116, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/096c0574e38e8ba8ed7bb0400d4fc6df?s=256&d=identicon&r=PG', 'display_name': 'Marian', 'link': 'https://stackoverflow.com/users/156116/marian'}",True,6025,,2,10,1659690624,1251216450,,1329280,CC BY-SA 2.5,https://stackoverflow.com/questions/1329280/hprof-file-format,hprof file format,1329359.0,,,,,
22,"['java', 'web-services', 'https']","{'user_type': 'does_not_exist', 'display_name': 'Stranger'}",False,17315,,2,0,1659668680,1249913000,1249913063.0,1255083,CC BY-SA 2.5,https://stackoverflow.com/questions/1255083/consuming-https-web-services,Consuming HTTPS web services,,,,,,
23,"['java', 'swing']","{'account_id': 47763, 'reputation': 1080, 'user_id': 141589, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://i.stack.imgur.com/s7AFv.jpg?s=256&g=1', 'display_name': 'Leandro Lima', 'link': 'https://stackoverflow.com/users/141589/leandro-lima'}",True,488,,2,1,1658929141,1249917162,,1255453,CC BY-SA 2.5,https://stackoverflow.com/questions/1255453/scrollable-flow-panel,Scrollable flow panel,1256044.0,,,,,
24,"['java', 'sql', 'locking', 'db2', 'cluster-computing']","{'account_id': 3006, 'reputation': 35407, 'user_id': 4257, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/e326ede439e929b12e36d8508de54040?s=256&d=identicon&r=PG', 'display_name': 'pkaeding', 'link': 'https://stackoverflow.com/users/4257/pkaeding'}",True,19693,1658317085.0,5,17,1658316971,1249406717,1341212572.0,1228833,CC BY-SA 3.0,https://stackoverflow.com/questions/1228833/sharing-a-java-synchronized-block-across-a-cluster-or-using-a-global-lock,"Sharing a Java synchronized block across a cluster, or using a global lock?",1228929.0,,,,,
25,"['java', 'maven-2', 'ant', 'upgrade']","{'account_id': 877055, 'reputation': 515, 'user_id': 149971, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bbd9ec1a36f9c0621dc0c6bb6a7f761f?s=256&d=identicon&r=PG', 'display_name': 'Ryan', 'link': 'https://stackoverflow.com/users/149971/ryan'}",True,75231,,6,50,1657916161,1249330301,1249490216.0,1224359,CC BY-SA 2.5,https://stackoverflow.com/questions/1224359/how-do-i-add-time-stamp-information-to-maven-artifacts,How do I add time-stamp information to Maven artifacts?,1224390.0,,,,,
26,"['java', 'class', 'jar', 'project-structure', 'text-search']","{'account_id': 19488, 'reputation': 19731, 'user_id': 45730, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/96869aed4de4cb65c3690b66c783dad0?s=256&d=identicon&r=PG', 'display_name': 'Kapsh', 'link': 'https://stackoverflow.com/users/45730/kapsh'}",True,270319,1584468641.0,35,291,1657735379,1251397426,1502444955.0,1342894,CC BY-SA 3.0,https://stackoverflow.com/questions/1342894/find-a-class-somewhere-inside-dozens-of-jar-files,Find a class somewhere inside dozens of JAR files?,1342959.0,,,,,
27,"['java', 'package', 'file-structure']","{'account_id': 50331, 'reputation': 900, 'user_id': 150110, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://www.gravatar.com/avatar/53bd32c428fcf9d8c6272b505397d98a?s=256&d=identicon&r=PG', 'display_name': 'asb', 'link': 'https://stackoverflow.com/users/150110/asb'}",True,68328,,8,23,1657696963,1249580576,1249580695.0,1240387,CC BY-SA 2.5,https://stackoverflow.com/questions/1240387/where-are-the-java-system-packages-stored,Where are the Java System Packages stored?,,,,,,
28,"['java', 'easymock']","{'account_id': 36938, 'reputation': 17113, 'user_id': 105486, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/fa1c1e52ae06d674866952cbdb199c64?s=256&d=identicon&r=PG', 'display_name': 'Samuel Carrijo', 'link': 'https://stackoverflow.com/users/105486/samuel-carrijo'}",True,16389,,6,7,1657610767,1249750057,1582808132.0,1249317,CC BY-SA 4.0,https://stackoverflow.com/questions/1249317/mocking-a-concrete-class-using-easymock,Mocking a concrete class using EasyMock,1249328.0,,,,,
29,"['java', 'jpa', 'distinct']","{'account_id': 24830, 'reputation': 10232, 'user_id': 63379, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/8a4d23aaaeb58350c848b93df1ed0ada?s=256&d=identicon&r=PG', 'display_name': 'Steve Claridge', 'link': 'https://stackoverflow.com/users/63379/steve-claridge'}",True,209790,,7,68,1656408235,1251455516,1548238877.0,1346181,CC BY-SA 4.0,https://stackoverflow.com/questions/1346181/how-does-distinct-work-when-using-jpa-and-hibernate,How does DISTINCT work when using JPA and Hibernate,1347814.0,,,,,
30,['java'],"{'account_id': 3865, 'reputation': 16548, 'user_id': 5653, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/aa22bf0ceed78fdc4f3753d5d24c80de?s=256&d=identicon&r=PG', 'display_name': 'joe', 'link': 'https://stackoverflow.com/users/5653/joe'}",True,444274,,7,130,1655526428,1250275949,1493289483.0,1279542,CC BY-SA 3.0,https://stackoverflow.com/questions/1279542/how-to-execute-a-java-class-from-the-command-line,How to execute a java .class from the command line,1279556.0,,,,,
31,"['java', 'histogram']","{'account_id': 879500, 'reputation': 373, 'user_id': 156957, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/fbb89b7efbbdad403b4f75e4f0aa84b3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Benzle', 'link': 'https://stackoverflow.com/users/156957/benzle'}",True,10896,1438295365.0,7,2,1655266220,1250352167,1354635656.0,1282204,CC BY-SA 3.0,https://stackoverflow.com/questions/1282204/beginning-java-histogram,Beginning Java (Histogram),,,,,,
32,"['java', 'hibernate', 'jpa']","{'account_id': 16900, 'reputation': 23429, 'user_id': 37298, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/1c81239ef2dbd47eaaa8e8e44e9ebb93?s=256&d=identicon&r=PG', 'display_name': 'Shervin Asgari', 'link': 'https://stackoverflow.com/users/37298/shervin-asgari'}",True,44316,,6,78,1654928694,1250667269,1576183141.0,1298322,CC BY-SA 4.0,https://stackoverflow.com/questions/1298322/wrong-ordering-in-generated-table-in-jpa,Wrong ordering in generated table in jpa,1298327.0,,,,,
33,"['c#', 'java', 'xml', 'xpath']","{'account_id': 47661, 'reputation': 3262, 'user_id': 141282, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/5e32dec3fe1bf945916f106f360557af?s=256&d=identicon&r=PG', 'display_name': 'Prabhu', 'link': 'https://stackoverflow.com/users/141282/prabhu'}",True,44428,,11,42,1654752677,1251387072,1633873364.0,1341847,CC BY-SA 4.0,https://stackoverflow.com/questions/1341847/apostrophe-in-xpath-query,Apostrophe (&#39;) in XPath query,1352556.0,,,,,
34,"['java', 'email', 'gmail', 'imap', 'message']","{'account_id': 49131, 'reputation': 4057, 'user_id': 146182, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/b732c13c9d7b82bfab07b3c460377ddd?s=256&d=identicon&r=PG', 'display_name': 'Salvin Francis', 'link': 'https://stackoverflow.com/users/146182/salvin-francis'}",True,9671,,1,8,1654515778,1250583283,,1292488,CC BY-SA 2.5,https://stackoverflow.com/questions/1292488/creating-folders-in-imap-does-not-work,creating folders in IMAP does not work,1293576.0,,,,,
35,"['java', 'user-interface', 'swing', 'matisse']","{'account_id': 32049, 'reputation': 3123, 'user_id': 88448, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/55418aa78bb0f3c9fdf16080b1b548aa?s=256&d=identicon&r=PG', 'display_name': 'ante.sabo', 'link': 'https://stackoverflow.com/users/88448/ante-sabo'}",True,6169,,8,9,1654205770,1251705066,1437075313.0,1356311,CC BY-SA 3.0,https://stackoverflow.com/questions/1356311/matisse-or-jigloo,Matisse or Jigloo?,1400556.0,,,,,
36,"['java', 'hibernate', 'hql', 'hibernate3']","{'account_id': 40332, 'reputation': 8816, 'user_id': 116880, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/4efc4315f79b214b5ef6aa398068fbd4?s=256&d=identicon&r=PG', 'display_name': 'stevedbrown', 'link': 'https://stackoverflow.com/users/116880/stevedbrown'}",True,365606,,14,264,1653999128,1249572802,1585056917.0,1239723,CC BY-SA 4.0,https://stackoverflow.com/questions/1239723/how-do-you-do-a-limit-query-in-jpql-or-hql,How do you do a limit query in JPQL or HQL?,1239745.0,,,,,
37,"['java', 'ffmpeg', 'runtime.exec']","{'account_id': 52270, 'reputation': 3077, 'user_id': 156153, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/38cadf0b56ff47d511ac012e14d7f31a?s=256&d=identicon&r=PG', 'display_name': 'Beier', 'link': 'https://stackoverflow.com/users/156153/beier'}",True,90477,,8,53,1653028856,1250319563,1653028820.0,1281353,CC BY-SA 4.0,https://stackoverflow.com/questions/1281353/use-java-ffmpeg-wrapper-or-simply-use-java-runtime-to-execute-ffmpeg,"Use Java FFmpeg wrapper, or simply use Java runtime to execute FFmpeg?",1281454.0,,,,,
38,"['c#', 'java', 'hashmap']","{'account_id': 563983, 'reputation': 4457, 'user_id': 119697, 'user_type': 'unregistered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/d31075d1a7e79e7cf3e2825899ece470?s=256&d=identicon&r=PG', 'display_name': 'John', 'link': 'https://stackoverflow.com/users/119697/john'}",True,542927,,7,416,1652717214,1250181358,1250182732.0,1273139,CC BY-SA 2.5,https://stackoverflow.com/questions/1273139/c-java-hashmap-equivalent,C# Java HashMap equivalent,1273149.0,,,,,
39,"['java', 'eclipse', 'junit']","{'account_id': 6090, 'reputation': 31543, 'user_id': 10098, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/a290b46ab2752aeaa235c66d429ba9ae?s=256&d=identicon&r=PG&f=1', 'display_name': 'wds', 'link': 'https://stackoverflow.com/users/10098/wds'}",True,43207,,5,15,1652464687,1250860637,1251281585.0,1311889,CC BY-SA 2.5,https://stackoverflow.com/questions/1311889/how-do-i-configure-eclipse-classpath-used-for-junit-tests,How do I configure eclipse classpath used for junit tests?,,,,,,
40,"['java', 'sockets', 'stream']","{'account_id': 17315, 'reputation': 15479, 'user_id': 38663, 'user_type': 'registered', 'accept_rate': 27, 'profile_image': 'https://www.gravatar.com/avatar/861ea6ce72bc3d44204d40cb896512d5?s=256&d=identicon&r=PG', 'display_name': 'jbu', 'link': 'https://stackoverflow.com/users/38663/jbu'}",True,32279,,2,41,1652278206,1251348256,1429311515.0,1338885,CC BY-SA 3.0,https://stackoverflow.com/questions/1338885/java-socket-output-stream-writes-do-they-block,java socket / output stream writes : do they block?,,,,,,
41,"['java', 'glob']","{'account_id': 2397, 'reputation': 175846, 'user_id': 3333, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/99660662e89949a4b53cd97bc199ead1?s=256&d=identicon&r=PG', 'display_name': 'Paul Tomblin', 'link': 'https://stackoverflow.com/users/3333/paul-tomblin'}",True,43096,,13,101,1649916467,1249697638,1495540987.0,1247772,CC BY-SA 3.0,https://stackoverflow.com/questions/1247772/is-there-an-equivalent-of-java-util-regex-for-glob-type-patterns,Is there an equivalent of java.util.regex for &quot;glob&quot; type patterns?,1248627.0,,,,,
42,"['java', 'database', 'spring', 'jpa', 'schema']","{'account_id': 46886, 'reputation': 722, 'user_id': 138699, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/3ee57556fd1befd1d7823fe987ac1e7c?s=256&d=identicon&r=PG', 'display_name': 'javacoder', 'link': 'https://stackoverflow.com/users/138699/javacoder'}",True,64997,,7,28,1647987464,1250702329,,1301399,CC BY-SA 2.5,https://stackoverflow.com/questions/1301399/jpa-using-multiple-database-schemas,JPA using multiple database schemas,5066829.0,,,,,
43,"['java', 'stream', 'audio']","{'account_id': 51914, 'reputation': 66439, 'user_id': 155137, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/00f9d78517e7e17837e0e7ac227305ca?s=256&d=identicon&r=PG', 'display_name': 'Martijn Courteaux', 'link': 'https://stackoverflow.com/users/155137/martijn-courteaux'}",True,7338,,3,23,1647928866,1250097257,1297367754.0,1267488,CC BY-SA 2.5,https://stackoverflow.com/questions/1267488/play-wav-file-backward,Play WAV file backward,1417396.0,,,,,
44,"['java', 'jdbc', 'prepared-statement']","{'account_id': 28626, 'reputation': 18110, 'user_id': 76661, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/5c1717837f3e4e2dd7c72f542e066f24?s=256&d=identicon&r=PG', 'display_name': 'paweloque', 'link': 'https://stackoverflow.com/users/76661/paweloque'}",True,174654,,5,99,1647546835,1251724708,1523636711.0,1357429,CC BY-SA 3.0,https://stackoverflow.com/questions/1357429/preparedstatement-setnull,PreparedStatement setNull(..),1357449.0,,,,,
45,['java'],"{'account_id': 43546, 'reputation': 32849, 'user_id': 127359, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/7796d462afdccb2101bfad386c731088?s=256&d=identicon&r=PG', 'display_name': 'Arthur Ronald', 'link': 'https://stackoverflow.com/users/127359/arthur-ronald'}",True,51727,,9,58,1646831913,1250705589,1603615070.0,1301697,CC BY-SA 4.0,https://stackoverflow.com/questions/1301697/helper-in-order-to-copy-non-null-properties-from-object-to-another,Helper in order to copy non null properties from object to another,3521314.0,,,,,
46,"['java', 'hibernate', 'configuration']","{'account_id': 30665, 'reputation': 1918, 'user_id': 83721, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/d42e8a34dce0f0f798b715688a19d1f9?s=256&d=identicon&r=PG', 'display_name': 'BZ.', 'link': 'https://stackoverflow.com/users/83721/bz'}",True,24050,,5,10,1646141887,1250184093,,1273403,CC BY-SA 2.5,https://stackoverflow.com/questions/1273403/how-can-i-configure-hibernate-to-use-ssl-to-talk-to-the-db-server,How can I configure Hibernate to use SSL to talk to the DB server?,1273470.0,,,,,
47,"['java', 'regex', 'string', 'rawstring']","{'account_id': 20344, 'reputation': 45520, 'user_id': 2288585, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/10227e415d1c4e4e1cc719c6ccd70934?s=256&d=identicon&r=PG', 'display_name': 'Debajit', 'link': 'https://stackoverflow.com/users/2288585/debajit'}",True,46904,1609255301.0,13,86,1645369673,1249931546,1601251363.0,1256667,CC BY-SA 4.0,https://stackoverflow.com/questions/1256667/raw-strings-in-java-for-regex-in-particular-multiline-strings,Raw Strings in Java - for regex in particular. Multiline strings,60678948.0,,,,,
48,"['java', 'mysql', 'hibernate']","{'user_type': 'does_not_exist', 'display_name': 'lutz'}",True,2167,,5,3,1645225949,1251291838,,1334529,CC BY-SA 2.5,https://stackoverflow.com/questions/1334529/what-could-cause-procedure-schema-identity-does-not-exist-using-mysql-and-hibe,What could cause &quot;PROCEDURE schema.identity does not exist&quot; using MySQL and Hibernate?,,,,,,
49,['java'],"{'account_id': 53227, 'reputation': 4003, 'user_id': 159136, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/129f22d617831225e202a15ff4fa2286?s=256&d=identicon&r=PG', 'display_name': 'Sunil ', 'link': 'https://stackoverflow.com/users/159136/sunil'}",True,3228,,5,4,1645132758,1250784197,1250784419.0,1307202,CC BY-SA 2.5,https://stackoverflow.com/questions/1307202/how-can-i-run-cygwin-from-java,How can I run cygwin from Java?,1637847.0,,,,,
