,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,accepted_answer_id,protected_date
11,"['css', 'blending']","{'account_id': 6310032, 'reputation': 1305, 'user_id': 9583480, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/42db0755ee6290ea91ccc9fcea3d327e?s=256&d=identicon&r=PG', 'display_name': 's3c', 'link': 'https://stackoverflow.com/users/9583480/s3c'}",False,151,1,0,1667459661,1631863521,1667459661.0,69219347,CC BY-SA 4.0,https://stackoverflow.com/questions/69219347/how-to-animate-with-background-blend-mode-like-with-overlays,How to animate with background-blend-mode like with overlays?,,,,
12,"['html', 'css', 'tailwind-css']","{'account_id': 514731, 'reputation': 1828, 'user_id': 9008233, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ef5cc13a925cecce76050e570ce66407?s=256&d=identicon&r=PG', 'display_name': 'Martin Zeltin', 'link': 'https://stackoverflow.com/users/9008233/martin-zeltin'}",True,6999,3,11,1667423582,1631445555,,69150928,CC BY-SA 4.0,https://stackoverflow.com/questions/69150928/how-to-create-multiple-themes-using-tailwind-css,How to create multiple themes using Tailwind CSS?,,,,
13,"['html', 'css', 'letter-spacing']","{'account_id': 22792793, 'reputation': 23, 'user_id': 16946851, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fb49e4dc355faf1bcec1128f9fe0aee2?s=256&d=identicon&r=PG&f=1', 'display_name': 'quintus', 'link': 'https://stackoverflow.com/users/16946851/quintus'}",True,215,2,2,1666906392,1632001960,1666906392.0,69238723,CC BY-SA 4.0,https://stackoverflow.com/questions/69238723/letter-spacing-moving-other-divs-when-hovering,Letter-Spacing moving other divs when hovering,,,69241094.0,
14,"['javascript', 'css', 'reactjs', 'next.js', 'framer-motion']","{'account_id': 8156052, 'reputation': 6446, 'user_id': 6141587, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/GAMZ3.jpg?s=256&g=1', 'display_name': 'deadcoder0904', 'link': 'https://stackoverflow.com/users/6141587/deadcoder0904'}",True,861,2,2,1666865805,1630568087,,69025969,CC BY-SA 4.0,https://stackoverflow.com/questions/69025969/stagger-siblings-in-framer-motion-to-perform-share-buttons-animation,Stagger Siblings in Framer Motion to perform Share Buttons Animation?,,,69038161.0,
15,"['javascript', 'css', 'google-chrome', 'access-violation']","{'account_id': 8378714, 'reputation': 21, 'user_id': 6291424, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10201666999833061/picture?type=large', 'display_name': 'Rodrigo Bedin Pereira', 'link': 'https://stackoverflow.com/users/6291424/rodrigo-bedin-pereira'}",False,989,1,0,1666621913,1631530589,,69161461,CC BY-SA 4.0,https://stackoverflow.com/questions/69161461/google-chrome-status-access-violation-error,Google Chrome STATUS_ACCESS_VIOLATION Error,,,,
16,"['css', 'tailwind-css']","{'account_id': 14812273, 'reputation': 1053, 'user_id': 10697521, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/2mx44.png?s=256&g=1', 'display_name': 'Fayakon', 'link': 'https://stackoverflow.com/users/10697521/fayakon'}",True,5685,2,4,1666458578,1632263650,,69276276,CC BY-SA 4.0,https://stackoverflow.com/questions/69276276/why-tailwind-list-style-type-is-not-working,Why Tailwind List Style type is not working,,,69519605.0,
17,"['javascript', 'css', 'local-storage', 'thread-local-storage']","{'account_id': 20026495, 'reputation': 31, 'user_id': 14680196, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f2f68e00bab1fba699c3a9911cf45477?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sayed Newaz', 'link': 'https://stackoverflow.com/users/14680196/sayed-newaz'}",False,81,4,0,1666345962,1631054855,,69095237,CC BY-SA 4.0,https://stackoverflow.com/questions/69095237/how-to-use-local-storage-in-style-backgroundcolor-in-js,How to use local storage in style.backgroundColor in JS?,,,,
18,"['javascript', 'html', 'css']","{'account_id': 22892309, 'reputation': 11, 'user_id': 17032272, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/311d999f64ff2ca44691f4b42397b06b?s=256&d=identicon&r=PG', 'display_name': 'ToseSenpai', 'link': 'https://stackoverflow.com/users/17032272/tosesenpai'}",True,697,2,0,1666101328,1632994179,1666101328.0,69389734,CC BY-SA 4.0,https://stackoverflow.com/questions/69389734/confetti-falling-animation-problem-transparencies,Confetti falling animation problem transparencies,,,69389848.0,
19,"['javascript', 'css', 'reactjs', 'css-animations']","{'account_id': 22355595, 'reputation': 425, 'user_id': 16572951, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d4ef1c2e29af4453d98eb0335dcbb3b8?s=256&d=identicon&r=PG&f=1', 'display_name': 'JJM50', 'link': 'https://stackoverflow.com/users/16572951/jjm50'}",True,709,3,0,1665858198,1630480831,1630494489.0,69009355,CC BY-SA 4.0,https://stackoverflow.com/questions/69009355/getting-width-of-screen-using-window-innerwidth-not-working,Getting width of screen using window.innerwidth not working,,,69224726.0,
20,"['css', 'reactjs', 'typescript']","{'account_id': 17464910, 'reputation': 13, 'user_id': 12661856, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6ec7cb76b8d40c393b6bcecc6cc01c51?s=256&d=identicon&r=PG&f=1', 'display_name': 'Yongjun Park', 'link': 'https://stackoverflow.com/users/12661856/yongjun-park'}",True,1827,2,1,1665610194,1631529521,,69161276,CC BY-SA 4.0,https://stackoverflow.com/questions/69161276/type-string-is-not-assignable-to-type-position,Type &#39;string&#39; is not assignable to type &#39;Position&#39;,,,69161332.0,
21,"['html', 'css']","{'account_id': 4732342, 'reputation': 27, 'user_id': 3827604, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'tahoma', 'link': 'https://stackoverflow.com/users/3827604/tahoma'}",False,583,0,0,1665289110,1632167450,1632167668.0,69260085,CC BY-SA 4.0,https://stackoverflow.com/questions/69260085/table-column-width-fit-to-content-and-truncate-cell-text-when-not-enough-width,Table column width fit-to-content and truncate cell text when not enough width,,,,
22,"['javascript', 'css', 'reactjs']","{'account_id': 20258760, 'reputation': 495, 'user_id': 14857732, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/98cf5e58a4303303c4d784f6e628ccab?s=256&d=identicon&r=PG&f=1', 'display_name': 'yongchang', 'link': 'https://stackoverflow.com/users/14857732/yongchang'}",False,508,2,-1,1665031274,1632129508,1632186342.0,69251916,CC BY-SA 4.0,https://stackoverflow.com/questions/69251916/react-grid-layout-render-grid-line-in-grid-unit-instead-of-pixels,react-grid-layout : render grid line in grid unit instead of pixels,,,,
23,"['javascript', 'html', 'css', 'echarts']","{'account_id': 21533976, 'reputation': 65, 'user_id': 15872949, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiGnoj6vxrCFyNdnx4Fp3Hdm1JOR5cQO-O9gmnJlw=k-s256', 'display_name': 'GUERU', 'link': 'https://stackoverflow.com/users/15872949/gueru'}",True,1333,2,1,1664752713,1632155374,,69257907,CC BY-SA 4.0,https://stackoverflow.com/questions/69257907/echarts-is-there-any-way-to-add-images-to-charts,Echarts: Is there any way to add images to charts?,,,,
24,"['css', 'wordpress', 'woocommerce', 'orders', 'woocommerce-theming']","{'account_id': 10480903, 'reputation': 21, 'user_id': 7725930, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5c29194aed4375cf253678470e24833b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Giuseppe V', 'link': 'https://stackoverflow.com/users/7725930/giuseppe-v'}",True,322,1,1,1664703363,1630882680,1630928835.0,69067766,CC BY-SA 4.0,https://stackoverflow.com/questions/69067766/remove-payment-details-woocommerce-orders-page-in-backend,Remove payment details Woocommerce order&#39;s page in backend,,,69069310.0,
25,"['css', 'reactjs', 'react-bootstrap']","{'account_id': 19827333, 'reputation': 65, 'user_id': 14522685, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7f2cd923c760dfda88b51e966c670ad1?s=256&d=identicon&r=PG&f=1', 'display_name': 'tdmayk', 'link': 'https://stackoverflow.com/users/14522685/tdmayk'}",True,461,2,2,1664553710,1632325287,1633011030.0,69287395,CC BY-SA 4.0,https://stackoverflow.com/questions/69287395/how-to-remove-the-gray-part-backdrop-using-css-in-offcanvass,How to remove the gray part (backdrop) using css in offcanvass?,,,,
26,"['html', 'css', 'typescript', 'vue.js', 'sass']","{'account_id': 17985480, 'reputation': 58, 'user_id': 13070844, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhyUoeYGneccn2ckXkY6WJDgWu7ZutYfyJ4_bYp=k-s256', 'display_name': 'Ramazan Arslan', 'link': 'https://stackoverflow.com/users/13070844/ramazan-arslan'}",False,1393,2,-1,1664540666,1633011012,1633011195.0,69393706,CC BY-SA 4.0,https://stackoverflow.com/questions/69393706/how-can-%c4%b1-change-scrollbar-color-according-to-the-users-choice,how can ı change scrollbar color according to the user&#39;s choice?,,,,
27,"['javascript', 'html', 'jquery', 'css']","{'account_id': 22684278, 'reputation': 39, 'user_id': 16854192, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5e33af0497b9c43813dbca90d050b454?s=256&d=identicon&r=PG', 'display_name': 'Luke Batema', 'link': 'https://stackoverflow.com/users/16854192/luke-batema'}",True,77,2,1,1663853883,1631292030,1663853883.0,69135404,CC BY-SA 4.0,https://stackoverflow.com/questions/69135404/adding-a-semi-transparent-solid-bg-color-over-a-jpeg,"Adding a semi-transparent, solid bg color over a jpeg",,,69135484.0,
28,"['css', 'reactjs', 'material-ui', 'emotion', 'css-in-js']","{'account_id': 14971841, 'reputation': 1168, 'user_id': 10808467, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/w7wie.jpg?s=256&g=1', 'display_name': 'Tom', 'link': 'https://stackoverflow.com/users/10808467/tom'}",True,11928,5,15,1663788157,1632127858,,69251569,CC BY-SA 4.0,https://stackoverflow.com/questions/69251569/material-ui-5-class-name-styles,Material UI 5 class name styles,,,,
29,"['html', 'css']","{'account_id': 6598702, 'reputation': 97, 'user_id': 5097646, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cfb293db34079a4c3bd38580a6c10cb1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Arkadi w', 'link': 'https://stackoverflow.com/users/5097646/arkadi-w'}",True,1076,2,0,1663772456,1631690850,,69188750,CC BY-SA 4.0,https://stackoverflow.com/questions/69188750/css-button-is-changing-color-on-click-or-clickhold,Css button is changing color on click or click+hold,,,,
30,"['html', 'css', 'bootstrap-4']","{'account_id': 19430485, 'reputation': 39, 'user_id': 14211055, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gh8-rLQMV9Bof6_1rZDdIF7gU3TrQbmtcFw9EJ5=k-s256', 'display_name': 'martin jones', 'link': 'https://stackoverflow.com/users/14211055/martin-jones'}",True,1133,5,2,1663427011,1631284757,,69133911,CC BY-SA 4.0,https://stackoverflow.com/questions/69133911/can-the-absolute-position-cause-an-image-to-get-bigger-than-it-originally-was,Can the absolute position cause an image to get bigger than it originally was?,,,,
31,"['html', 'css', 'web', 'frontend', 'web-frontend']","{'account_id': 21211128, 'reputation': 21, 'user_id': 15599701, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/73221113bcfbe3097830dc6010f30a68?s=256&d=identicon&r=PG&f=1', 'display_name': 'saud', 'link': 'https://stackoverflow.com/users/15599701/saud'}",True,56,3,0,1663244569,1632386538,1632480176.0,69296738,CC BY-SA 4.0,https://stackoverflow.com/questions/69296738/how-to-center-a-button-that-is-positioned-relatively,How to center a button that is positioned relatively,,,69296855.0,
32,"['php', 'css', 'wordpress', 'wordpress-theming', 'custom-wordpress-pages']","{'account_id': 14068327, 'reputation': 79, 'user_id': 10162535, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f460e267cf9117e18837e69c1f0c857a?s=256&d=identicon&r=PG&f=1', 'display_name': 'curiousSloth', 'link': 'https://stackoverflow.com/users/10162535/curioussloth'}",True,688,1,0,1663158861,1631900185,1631905784.0,69227524,CC BY-SA 4.0,https://stackoverflow.com/questions/69227524/only-display-woo-commerce-sub-categories-based-on-selected-parent-category-in-a,Only display Woo Commerce sub-categories based on selected Parent Category in a wordpress widget sidebar,,,69227682.0,1663318877.0
33,"['javascript', 'css', 'reactjs', 'twitter-bootstrap', 'react-props']","{'account_id': 15727457, 'reputation': 321, 'user_id': 11348652, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2370ed68f0c15e72a5643fedfc4b7d17?s=256&d=identicon&r=PG&f=1', 'display_name': 'Abubakar Oluyinka', 'link': 'https://stackoverflow.com/users/11348652/abubakar-oluyinka'}",False,17837,1,0,1663157080,1632059153,,69243842,CC BY-SA 4.0,https://stackoverflow.com/questions/69243842/typeerror-cannot-read-properties-of-undefined-reading-name,TypeError: Cannot read properties of undefined (reading &#39;name&#39;),,,,
34,"['css', 'image', 'svg', 'next.js', 'next-images']","{'account_id': 22340405, 'reputation': 11, 'user_id': 16560262, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d6802b80c38f059c2bce7a35158753cc?s=256&d=identicon&r=PG&f=1', 'display_name': 'jahnavi', 'link': 'https://stackoverflow.com/users/16560262/jahnavi'}",True,2744,4,-1,1662948548,1632226317,1632733620.0,69268680,CC BY-SA 4.0,https://stackoverflow.com/questions/69268680/how-to-remove-white-space-in-mobile-view-in-next-js-while-using-image-tag,How to remove white space in mobile view in Next.js while using &lt;Image /&gt; tag?,,,,
35,"['html', 'css', 'layout', 'flexbox']","{'account_id': 1284827, 'reputation': 659, 'user_id': 1238127, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/f45c92880baef3593e58fb0b241212cc?s=256&d=identicon&r=PG', 'display_name': 'Maur&#237;cio Szabo', 'link': 'https://stackoverflow.com/users/1238127/maur%c3%adcio-szabo'}",True,234,2,0,1662670773,1631717863,1662670773.0,69195481,CC BY-SA 4.0,https://stackoverflow.com/questions/69195481/is-it-possible-to-wrap-only-when-space-available-is-below-some-value,Is it possible to wrap only when space available is below some value?,,,69196050.0,
36,"['css', 'w3.css']","{'account_id': 19329423, 'reputation': 1, 'user_id': 14131363, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/476c3bd2471c6f55d080025c1d5168df?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ahmad M', 'link': 'https://stackoverflow.com/users/14131363/ahmad-m'}",True,488,3,0,1662392641,1630747841,1662392641.0,69054059,CC BY-SA 4.0,https://stackoverflow.com/questions/69054059/how-to-make-full-width-and-responsive-table-using-w3-css,How to make full-width and Responsive table using w3.css,,,69054468.0,
37,"['css', 'laravel', 'visual-studio-code', 'tailwind-css']","{'account_id': 21844033, 'reputation': 1, 'user_id': 16137176, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/4742341165779170/picture?type=large', 'display_name': 'Joshua Chen', 'link': 'https://stackoverflow.com/users/16137176/joshua-chen'}",True,2045,3,0,1662369555,1632582112,,69327331,CC BY-SA 4.0,https://stackoverflow.com/questions/69327331/vscode-tailwind-css-intellisense-not-working,vscode tailwind css intellisense not working,,,,
38,"['javascript', 'html', 'css']","{'account_id': 2896729, 'reputation': 3023, 'user_id': 5711656, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/537a297585757409a7db9a6532ee8f43?s=256&d=identicon&r=PG&f=1', 'display_name': 'user5711656', 'link': 'https://stackoverflow.com/users/5711656/user5711656'}",True,264,3,0,1662320646,1630701488,1630705488.0,69050335,CC BY-SA 4.0,https://stackoverflow.com/questions/69050335/how-to-increase-height-of-div-from-top-not-from-bottom,How to increase height of div from top not from bottom?,,,,
39,"['javascript', 'html', 'css']","{'account_id': 22721280, 'reputation': 21, 'user_id': 16885757, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJy0a8DcQ6bLlKquOSj5SyHSMKvOvww_qkkCy1rQ=k-s256', 'display_name': 'eng malek', 'link': 'https://stackoverflow.com/users/16885757/eng-malek'}",False,63,1,1,1661327222,1631359043,,69142463,CC BY-SA 4.0,https://stackoverflow.com/questions/69142463/how-to-limit-text-width-arabic-paragraph,How to limit text width arabic paragraph,,,,
40,"['css', 'reactjs', 'animation', 'transition', 'tailwind-css']","{'account_id': 19785675, 'reputation': 377, 'user_id': 14489691, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/8roMi.jpg?s=256&g=1', 'display_name': 'Chandler Bing', 'link': 'https://stackoverflow.com/users/14489691/chandler-bing'}",True,3420,1,0,1661321422,1630577087,1661321422.0,69028159,CC BY-SA 4.0,https://stackoverflow.com/questions/69028159/how-can-i-make-page-transitions-using-tailwindcss-react,How can I make page transitions using tailwindcss &amp; react?,,,69028499.0,
41,"['javascript', 'html', 'css']","{'user_type': 'does_not_exist', 'display_name': 'user16860321'}",True,652,1,2,1661199585,1631568402,1631570971.0,69169281,CC BY-SA 4.0,https://stackoverflow.com/questions/69169281/getboundingclientrect-is-returning-0s-what-am-i-doing-wrong,"getBoundingClientRect() is returning 0&#39;s, what am i doing wrong?",,,,
42,"['html', 'css']","{'account_id': 22860354, 'reputation': 21, 'user_id': 17004541, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gi-2CAs6FiHvk7OrjqhHeBx8GRps9zMtZFH9A2v=k-s256', 'display_name': 'Owl Light', 'link': 'https://stackoverflow.com/users/17004541/owl-light'}",False,1440,2,2,1660832137,1632612670,,69330769,CC BY-SA 4.0,https://stackoverflow.com/questions/69330769/how-to-show-hamburger-menu-only-on-mobile,How to show hamburger menu only on mobile?,,,,
43,"['html', 'css']","{'account_id': 20778374, 'reputation': 61, 'user_id': 15259381, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/pX7EQ.jpg?s=256&g=1', 'display_name': 'مصطفى اوريك', 'link': 'https://stackoverflow.com/users/15259381/%d9%85%d8%b5%d8%b7%d9%81%d9%89-%d8%a7%d9%88%d8%b1%d9%8a%d9%83'}",True,39,2,0,1660733107,1631796651,1660733107.0,69208776,CC BY-SA 4.0,https://stackoverflow.com/questions/69208776/how-do-i-set-different-content-to-a-group-of-elements-without-repeating-the-p,"How do I set different &quot;content&quot; to a group of elements, without repeating the properties I gave to before &amp; after those elements?",,,69212652.0,
44,"['html', 'css']","{'account_id': 20778374, 'reputation': 61, 'user_id': 15259381, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/pX7EQ.jpg?s=256&g=1', 'display_name': 'مصطفى اوريك', 'link': 'https://stackoverflow.com/users/15259381/%d9%85%d8%b5%d8%b7%d9%81%d9%89-%d8%a7%d9%88%d8%b1%d9%8a%d9%83'}",False,25,1,0,1660732104,1631117430,1660732104.0,69106456,CC BY-SA 4.0,https://stackoverflow.com/questions/69106456/in-mediaquery-is-it-normal-for-an-element-to-have-a-certain-property-that-we-se,"In MediaQuery, is it normal for an element to have a certain property that we set for it in a certain width before it reaches that width?",,,,
45,"['html', 'css', 'bootstrap-5']","{'account_id': 22636883, 'reputation': 33, 'user_id': 16813580, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/46cc338c8a126fef8651ecf9c141b0b8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Swauters', 'link': 'https://stackoverflow.com/users/16813580/swauters'}",True,2694,2,0,1660425932,1631696535,,69190070,CC BY-SA 4.0,https://stackoverflow.com/questions/69190070/how-to-wrap-text-around-image-in-bootstrap-5,How to wrap text around image in Bootstrap 5,,,69197411.0,
46,"['css', 'cumulative-layout-shift']","{'account_id': 22313892, 'reputation': 23, 'user_id': 16537521, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwshQK_y6-B-7TH7SxGnsycoYIHTSsTiWDQ6KcN=k-s256', 'display_name': 'Texture Heaven', 'link': 'https://stackoverflow.com/users/16537521/texture-heaven'}",False,349,1,1,1659934909,1632180529,,69261833,CC BY-SA 4.0,https://stackoverflow.com/questions/69261833/cumulative-layout-shift-cls-in-header,Cumulative Layout Shift (CLS) in Header,,,,
47,"['html', 'css']","{'account_id': 21752009, 'reputation': 23, 'user_id': 16057800, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiHSj0655vINpOTqnpun5h3DMbMy-F1UmLnpgNK=k-s256', 'display_name': 'Navid Pourghanbari', 'link': 'https://stackoverflow.com/users/16057800/navid-pourghanbari'}",True,143,2,0,1659528351,1631201153,,69120913,CC BY-SA 4.0,https://stackoverflow.com/questions/69120913/how-to-remove-this-blue-background-from-my-links,how to remove this blue background from my links,,,69120964.0,
