,tags,owner,is_answered,view_count,closed_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,accepted_answer_id,content_license,migrated_from,protected_date
10,"['html', 'css', 'drop-down-menu']","{'user_type': 'does_not_exist', 'display_name': 'user12714160'}",True,1351,,1,0,1667828578,1588345309,1667828578.0,61545007,https://stackoverflow.com/questions/61545007/dropdown-menu-is-hidden-behind-my-hero-image,,Dropdown menu is hidden behind my hero image,61548294.0,CC BY-SA 4.0,,
11,"['html', 'css', 'angular']","{'account_id': 925057, 'reputation': 789, 'user_id': 5557043, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/7260f64fa53d381899eb7ed44651b3bf?s=256&d=identicon&r=PG&f=1', 'display_name': 'CodeMan03', 'link': 'https://stackoverflow.com/users/5557043/codeman03'}",True,57,,2,0,1667816823,1589057348,,61703544,https://stackoverflow.com/questions/61703544/place-second-mat-toolbar-under-main-mat-toolbar,,Place second mat toolbar under main mat toolbar?,61704251.0,CC BY-SA 4.0,,
12,"['css', 'sass']","{'account_id': 6905579, 'reputation': 13, 'user_id': 12944841, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/s1Iac.png?s=256&g=1', 'display_name': 'Ben', 'link': 'https://stackoverflow.com/users/12944841/ben'}",False,483,,1,1,1667782539,1588274511,,61531157,https://stackoverflow.com/questions/61531157/correct-syntax-for-nested-use-statements-in-sass-scss,,Correct syntax for &quot;nested&quot; @use statements in Sass/SCSS?,,CC BY-SA 4.0,,
13,"['jquery', 'css', 'slick.js']","{'account_id': 2565134, 'reputation': 33, 'user_id': 2225427, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/aee5bc8b3e9875fa4c5678bbdf2b68e2?s=256&d=identicon&r=PG&f=1', 'display_name': 'rahul', 'link': 'https://stackoverflow.com/users/2225427/rahul'}",True,3428,,3,1,1667492213,1590407236,1590414311.0,62001806,https://stackoverflow.com/questions/62001806/slick-slider-change-opacity-of-first-and-last-items,,Slick slider change opacity of first and last items,,CC BY-SA 4.0,,
14,"['javascript', 'html', 'css', 'wordpress']","{'account_id': 5556218, 'reputation': 111, 'user_id': 4407481, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/f39ef246e92f5a6d4c3681cd774c4b7c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Affan', 'link': 'https://stackoverflow.com/users/4407481/affan'}",False,12762,,5,5,1666782375,1589513369,1589514088.0,61811254,https://stackoverflow.com/questions/61811254/hide-youtube-video-controls-title-watch-later-share-using-html-css-javas,,"Hide YouTube video controls (Title, Watch later, Share) using HTML / CSS / JavaScript",,CC BY-SA 4.0,,
15,"['javascript', 'html', 'css', 'ios']","{'account_id': 16200210, 'reputation': 73, 'user_id': 11696781, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/268ced5915a7ca0d74ac83b3236cfdb2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jordan', 'link': 'https://stackoverflow.com/users/11696781/jordan'}",True,927,,3,2,1666457396,1589212161,1589231729.0,61733809,https://stackoverflow.com/questions/61733809/full-page-fixed-background-jumps-when-scrolling-because-of-the-bottom-bar-on-mob,,Full page fixed background jumps when scrolling because of the bottom bar on mobile,61806019.0,CC BY-SA 4.0,,
16,"['html', 'css', 'forms', 'flexbox', 'accessibility']","{'account_id': 708924, 'reputation': 3481, 'user_id': 608042, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/43170c54502dcfebd4c8fb32fb4748d3?s=256&d=identicon&r=PG', 'display_name': 'Andy', 'link': 'https://stackoverflow.com/users/608042/andy'}",True,317,,2,-1,1666290581,1589494142,1666290581.0,61808282,https://stackoverflow.com/questions/61808282/is-a-primary-button-on-the-right-which-receives-focus-first-irritating,,Is a primary button on the right which receives focus first irritating?,,CC BY-SA 4.0,,
17,"['javascript', 'css', 'vue.js', 'vuejs2', 'swiper.js']","{'account_id': 5905152, 'reputation': 676, 'user_id': 4647221, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/10437ba12aac703859a9dd6b1cc57184?s=256&d=identicon&r=PG&f=1', 'display_name': 'AlyssaAlex', 'link': 'https://stackoverflow.com/users/4647221/alyssaalex'}",True,9749,,4,4,1666100910,1588859006,1588861077.0,61659324,https://stackoverflow.com/questions/61659324/how-can-i-initially-set-a-slide-container-to-be-10-away-from-left-margin-and-wh,,"How can I initially set a slide container to be 10% away from left margin and when reached the end, 10% away from right margin? (vue-awesome-swiper)",,CC BY-SA 4.0,,
18,"['html', 'css', 'accessibility', 'focus', 'wai-aria']","{'account_id': 16229566, 'reputation': 53, 'user_id': 11718780, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-i_m-oH6MCYg/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3reJvcH-BCD3oj4lzJ0dn2JEBL3gfw/photo.jpg?sz=256', 'display_name': 'Anthony Aguello', 'link': 'https://stackoverflow.com/users/11718780/anthony-aguello'}",True,123,,1,-1,1666024061,1590681952,1666024061.0,62069292,https://stackoverflow.com/questions/62069292/web-accessibility-focus-items,,Web accessibility - focus items,62071348.0,CC BY-SA 4.0,,
19,"['css', 'reactjs', 'next.js']","{'account_id': 9718624, 'reputation': 246, 'user_id': 7208058, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/jBYec.jpg?s=256&g=1', 'display_name': 'LeCoda', 'link': 'https://stackoverflow.com/users/7208058/lecoda'}",True,9520,,5,2,1665826529,1589422794,,61788180,https://stackoverflow.com/questions/61788180/next-js-styling-footer-component-for-some-reason-is-not-at-the-bottom-of-the-s,,Next.js Styling - Footer component for some reason is not at the bottom of the screen?,61788402.0,CC BY-SA 4.0,,
20,"['html', 'css', 'pdf', 'bootstrap-4', 'dompdf']","{'account_id': 16221278, 'reputation': 472, 'user_id': 11712766, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/47be08285f4bc221f32e93e94bcbe082?s=256&d=identicon&r=PG', 'display_name': 'LucileDT', 'link': 'https://stackoverflow.com/users/11712766/luciledt'}",False,9208,,2,6,1665792120,1588690780,1588693421.0,61616199,https://stackoverflow.com/questions/61616199/bootstrap-4-grid-layout-not-working-with-dompdf,,Bootstrap 4 grid layout not working with dompdf,,CC BY-SA 4.0,,
21,"['html', 'css']","{'account_id': 18620411, 'reputation': 1, 'user_id': 13570748, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/nllhy.jpg?s=256&g=1', 'display_name': 'BrightLightning', 'link': 'https://stackoverflow.com/users/13570748/brightlightning'}",True,617,1665505736.0,2,-1,1665505715,1589842646,1665505715.0,61880396,https://stackoverflow.com/questions/61880396/why-does-my-mobile-website-show-my-desktop-site-but-when-i-request-desktop-site,Not suitable for this site,"Why does my mobile website show my desktop site, but when I request desktop site on my phone it shows the mobile site?",61888143.0,,,
22,"['css', 'dynamic', 'tabs', 'angular7']","{'account_id': 17194886, 'reputation': 735, 'user_id': 12447888, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ToluL.png?s=256&g=1', 'display_name': 'homerThinking', 'link': 'https://stackoverflow.com/users/12447888/homerthinking'}",True,1421,,2,0,1665403701,1590061500,1590062726.0,61933762,https://stackoverflow.com/questions/61933762/how-to-create-a-dynamic-underline-in-a-tab-system,,How to create a dynamic underline in a tab system?,74014718.0,CC BY-SA 4.0,,
23,"['html', 'css', 'wordpress', 'input', 'contact-form-7']","{'account_id': 6546435, 'reputation': 81, 'user_id': 5062298, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ymKOa.jpg?s=256&g=1', 'display_name': 'Anne', 'link': 'https://stackoverflow.com/users/5062298/anne'}",True,1628,,1,1,1664874971,1589195386,,61728273,https://stackoverflow.com/questions/61728273/move-label-up-when-input-is-selected-css-trick-for-contact-form-7,,Move label up when input is selected - css trick for contact form 7,,CC BY-SA 4.0,,
24,"['css', 'angularjs', 'html-table']","{'account_id': 1775797, 'reputation': 1250, 'user_id': 1619615, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://i.stack.imgur.com/66X9j.png?s=256&g=1', 'display_name': 'Janey', 'link': 'https://stackoverflow.com/users/1619615/janey'}",True,1023,,1,0,1664636315,1590566444,,62038177,https://stackoverflow.com/questions/62038177/responsive-table-design-breaks-in-safari-iphone-mac,,"Responsive table design breaks in Safari iPhone, Mac",,CC BY-SA 4.0,,
25,"['php', 'css', 'wordpress', 'woocommerce']","{'account_id': 2023399, 'reputation': 17, 'user_id': 1809059, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9c7c9ffee65b99a91f46b08f9d8b3f1f?s=256&d=identicon&r=PG', 'display_name': 'mfan007', 'link': 'https://stackoverflow.com/users/1809059/mfan007'}",True,728,,1,1,1664519008,1588741481,1595370819.0,61627769,https://stackoverflow.com/questions/61627769/woocommerce-hide-pay-button-on-my-account-page-for-failed-onhold-orders,,WooCommerce hide pay button on my account page for failed/onhold orders,61628726.0,CC BY-SA 4.0,,
26,"['css', 'progressive-web-apps']","{'account_id': 5336863, 'reputation': 255, 'user_id': 4255525, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/88dc194b7811701edbcf8c6a28022d25?s=256&d=identicon&r=PG&f=1', 'display_name': 'Glidarn', 'link': 'https://stackoverflow.com/users/4255525/glidarn'}",True,503,,2,4,1664330426,1589219055,,61735881,https://stackoverflow.com/questions/61735881/content-showing-in-statusbar-when-scrolling-in-pwa,,Content showing in statusbar when scrolling in PWA,,CC BY-SA 4.0,,
27,"['html', 'css']","{'account_id': 6266737, 'reputation': 4187, 'user_id': 4873295, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/GTi0A.jpg?s=256&g=1', 'display_name': 'ShellZero', 'link': 'https://stackoverflow.com/users/4873295/shellzero'}",False,80,,2,0,1664292236,1590084201,,61940911,https://stackoverflow.com/questions/61940911/is-there-a-way-to-match-the-color-of-two-stacked-elements-when-transparency-is-a,,Is there a way to match the color of two stacked elements when transparency is applied?,,CC BY-SA 4.0,,
28,"['css', 'reactjs', 'emotion']","{'account_id': 6582361, 'reputation': 493, 'user_id': 5086257, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://i.stack.imgur.com/ELXVa.jpg?s=256&g=1', 'display_name': 'Tom Hanks', 'link': 'https://stackoverflow.com/users/5086257/tom-hanks'}",True,19645,,6,17,1664158698,1589239098,1635493182.0,61741076,https://stackoverflow.com/questions/61741076/css-emotion-library-getting-css-props-error-when-using-css-prop,,CSS Emotion Library - Getting css props error when using css prop,,CC BY-SA 4.0,,
29,"['php', 'css', 'wordpress', 'woocommerce', 'cart']","{'account_id': 18087175, 'reputation': 31, 'user_id': 13147791, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/438bbd81f585171bf9f8bfb0ecd05d9a?s=256&d=identicon&r=PG&f=1', 'display_name': 'darkcaldera', 'link': 'https://stackoverflow.com/users/13147791/darkcaldera'}",False,5171,,3,2,1663821571,1590063252,1590066786.0,61934292,https://stackoverflow.com/questions/61934292/removing-or-hiding-woocommerce-return-to-shop-button-from-empty-cart-page,,Removing or hiding WooCommerce &quot;Return to Shop&quot; button from &#39;empty cart&#39; page?,,CC BY-SA 4.0,,
30,"['javascript', 'html', 'css', 'django', 'web-deployment']","{'account_id': 17427854, 'reputation': 563, 'user_id': 12632424, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-JOgtdjFdGV4/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcAIpHnDx-iXLNOsCXq4f4iLYP1ug/photo.jpg?sz=256', 'display_name': 'Abhishek Pratap Singh', 'link': 'https://stackoverflow.com/users/12632424/abhishek-pratap-singh'}",True,15373,,3,3,1663772046,1589200414,1589203426.0,61729822,https://stackoverflow.com/questions/61729822/strict-mime-type-checking-is-enabled-refused-to-execute-script-from-url-its,,"strict mime type checking is enabled, refused to execute script from &#39;&lt;url&gt;&#39; its mime type (&#39;text/plain&#39;) is not executable, and",,CC BY-SA 4.0,,
31,"['html', 'css', 'adobe', 'adobe-xd']","{'account_id': 17718325, 'reputation': 55, 'user_id': 12864089, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f7e6130e8f2c98dfaa136b2bf10f5559?s=256&d=identicon&r=PG&f=1', 'display_name': 'fnm65404', 'link': 'https://stackoverflow.com/users/12864089/fnm65404'}",False,665,,2,3,1663670720,1588747918,,61629058,https://stackoverflow.com/questions/61629058/why-are-100-px-in-adobe-xd-smaller-than-on-a-website-safari-google-chrome-etc,,"Why are 100 px in Adobe XD smaller than on a website (Safari, Google Chrome etc.)?",,CC BY-SA 4.0,,
32,"['css', 'select', 'colors', 'hover']","{'account_id': 3516894, 'reputation': 123, 'user_id': 2940085, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8e530f9f90dca63504be8df1056c2100?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ameer', 'link': 'https://stackoverflow.com/users/2940085/ameer'}",False,1447,,1,0,1662988342,1589267963,1662988342.0,61745935,https://stackoverflow.com/questions/61745935/how-to-remove-blue-background-on-hover-and-on-focus-for-select-option,,How to remove blue background on hover and on focus for select option,,CC BY-SA 4.0,,
33,"['html', 'css', 'angular', 'angular-material', 'angular9']","{'account_id': 16607139, 'reputation': 167, 'user_id': 12001283, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mCkwG3Um_YeN6OJnZnozyDfByBXoLx0Z3YQzEcA=k-s256', 'display_name': 'Ashen Jayawardena', 'link': 'https://stackoverflow.com/users/12001283/ashen-jayawardena'}",False,504,,0,0,1662887415,1590073579,,61937547,https://stackoverflow.com/questions/61937547/angular-material-autocomplete-component-displays-options-on-the-footer-instead-o,,Angular material autocomplete component displays options on the footer instead of the header,,CC BY-SA 4.0,,
34,"['javascript', 'html', 'css', 'vue.js', 'sass']","{'account_id': 17048834, 'reputation': 175, 'user_id': 12334985, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/8W2az.jpg?s=256&g=1', 'display_name': 'Cj Oyales', 'link': 'https://stackoverflow.com/users/12334985/cj-oyales'}",True,842,,4,1,1662378991,1590430042,,62008177,https://stackoverflow.com/questions/62008177/how-to-style-a-child-component-of-a-tag-inside-a-v-html,,How to style a child component of a tag inside a v-html,62311763.0,CC BY-SA 4.0,,
35,"['javascript', 'html', 'css', 'html-select']","{'account_id': 18397509, 'reputation': 65, 'user_id': 13401529, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhY8WVDVSrVSmspbZ6UJrIXg9ZxOiacWRefNp8mKQ=k-s256', 'display_name': 'Benjamin Sloutsky', 'link': 'https://stackoverflow.com/users/13401529/benjamin-sloutsky'}",True,98,,1,0,1661970984,1588539497,1661970984.0,61581524,https://stackoverflow.com/questions/61581524/how-can-i-change-the-width-of-a-select-bar-based-on-the-amount-of-text-in-the-op,,How can I change the width of a select bar based on the amount of text in the option without hardcoding?,61581626.0,CC BY-SA 4.0,,
36,"['css', 'react-native', 'svg', 'aspect-ratio']","{'account_id': 3098172, 'reputation': 1014, 'user_id': 2622958, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/zK5jy.jpg?s=256&g=1', 'display_name': 'Luis Serrano', 'link': 'https://stackoverflow.com/users/2622958/luis-serrano'}",True,11924,,3,13,1661605313,1588854484,1588860147.0,61657859,https://stackoverflow.com/questions/61657859/how-to-find-correct-values-for-width-height-and-viewbox-with-react-native-svg,,"How to find correct values for width, height and viewBox with react-native-svg",61792447.0,CC BY-SA 4.0,,
37,"['css', 'reactjs']","{'account_id': 13819811, 'reputation': 304, 'user_id': 9975547, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/XPmvr.jpg?s=256&g=1', 'display_name': 'Umut Arpat', 'link': 'https://stackoverflow.com/users/9975547/umut-arpat'}",True,1007,,1,3,1661445559,1588524313,1661445559.0,61578168,https://stackoverflow.com/questions/61578168/how-can-i-move-a-text-right-of-the-screen-and-back-to-left-of-screen,,How can i move a text right of the screen and back to left of screen,61578333.0,CC BY-SA 4.0,,
38,"['javascript', 'css', 'reactjs', 'sass', 'next.js']","{'account_id': 12341954, 'reputation': 374, 'user_id': 9004739, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f636014de9144c7b598a972f293d040b?s=256&d=identicon&r=PG&f=1', 'display_name': 'atman_lens', 'link': 'https://stackoverflow.com/users/9004739/atman-lens'}",True,7186,,4,7,1661227123,1589451636,1589452925.0,61794899,https://stackoverflow.com/questions/61794899/using-kebab-case-css-classnames-in-css-sass-modules-when-using-next-js,,Using kebab-case CSS classnames in CSS/SASS modules when using Next js,,CC BY-SA 4.0,,
39,"['html', 'css', 'angular', 'typescript', 'styling']","{'account_id': 6411567, 'reputation': 189, 'user_id': 4971171, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/992302404123429/picture?type=large', 'display_name': 'Kyle Van Raay', 'link': 'https://stackoverflow.com/users/4971171/kyle-van-raay'}",True,632,,2,2,1661111670,1588875409,,61664899,https://stackoverflow.com/questions/61664899/a-term-expected-error-when-trying-to-insert-typescript-element-in-the-styling,,a term expected error when trying to insert typescript element in the styling,61664954.0,CC BY-SA 4.0,,
40,"['html', 'css', 'bootstrap-4']","{'account_id': 12987353, 'reputation': 871, 'user_id': 9387790, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/18785079d01dba68f60960fdd2132a4f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Franchise', 'link': 'https://stackoverflow.com/users/9387790/franchise'}",True,5472,,2,5,1660986962,1590587803,,62044881,https://stackoverflow.com/questions/62044881/circle-image-appearing-as-oval-in-bootstrap-4,,Circle image appearing as oval in Bootstrap 4,62045005.0,CC BY-SA 4.0,,
41,"['html', 'css']","{'account_id': 18487053, 'reputation': 29, 'user_id': 13467740, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/56e4bab0eb8f6aa931a19c520f2e3382?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sunil', 'link': 'https://stackoverflow.com/users/13467740/sunil'}",True,132,,3,0,1660818606,1590668550,1660818606.0,62064604,https://stackoverflow.com/questions/62064604/why-is-my-menu-not-showing-an-inside-list-brand,,why is my menu not showing an inside list brand?,62080772.0,CC BY-SA 4.0,,
42,"['css', 'svg', 'media-queries']","{'account_id': 17232310, 'reputation': 27, 'user_id': 12476586, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-q5LzJYWHd7w/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rca4H54ANg_wFr3Ipe4HRFOtoIUOg/photo.jpg?sz=256', 'display_name': 'Carlos Guedes', 'link': 'https://stackoverflow.com/users/12476586/carlos-guedes'}",True,383,,1,1,1660663262,1590175048,,61962351,https://stackoverflow.com/questions/61962351/svg-stroke-not-working-properly-with-css-variables,,SVG stroke not working properly with CSS Variables,61962497.0,CC BY-SA 4.0,,
43,"['javascript', 'css', 'angular', 'angular-cdk', 'angular-cdk-drag-drop']","{'account_id': 5715425, 'reputation': 452, 'user_id': 4515832, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-8VbzZ6vj9Gk/AAAAAAAAAAI/AAAAAAAAADE/DEoguT_TnkY/photo.jpg?sz=256', 'display_name': 'Yezan Rafed', 'link': 'https://stackoverflow.com/users/4515832/yezan-rafed'}",True,2595,,3,9,1660616346,1588424653,1606806974.0,61559834,https://stackoverflow.com/questions/61559834/element-style-doesnt-apply-when-using-cdkdroplist-angluar-cdk-drag-and-drop,,Element style doesn&#39;t apply when using cdkDropList (Angluar cdk drag and drop),,CC BY-SA 4.0,,
44,"['html', 'css']","{'account_id': 2370022, 'reputation': 3456, 'user_id': 2074831, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/af7c1ba1e9eec6e0bb628d8b96f4f525?s=256&d=identicon&r=PG', 'display_name': 'qouify', 'link': 'https://stackoverflow.com/users/2074831/qouify'}",True,5189,1649676433.0,2,5,1660393430,1590520808,,62029757,https://stackoverflow.com/questions/62029757/nicely-formatted-python-code-in-html-files,Duplicate,nicely formatted python code in html files,62032824.0,,,
45,"['html', 'css']","{'account_id': 18633973, 'reputation': 19, 'user_id': 13581300, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5d061cdd6e3bfcdc553c7c7a46bc98f2?s=256&d=identicon&r=PG&f=1', 'display_name': 'burningknight', 'link': 'https://stackoverflow.com/users/13581300/burningknight'}",True,565,,3,1,1660267206,1590151318,1590221789.0,61955309,https://stackoverflow.com/questions/61955309/container-fluid-padding-is-not-working-in-css-and-navbar-brand-css-not-working,,Container-fluid padding is not working in css and navbar brand css not working,,CC BY-SA 4.0,,
46,"['html', 'css', 'tailwind-css']","{'account_id': 3108124, 'reputation': 4449, 'user_id': 2630509, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://graph.facebook.com/550271062/picture?type=large', 'display_name': 'Martyn Ball', 'link': 'https://stackoverflow.com/users/2630509/martyn-ball'}",False,8547,,2,1,1660194330,1588273864,1647193644.0,61531007,https://stackoverflow.com/questions/61531007/tailwind-background-opacity,,Tailwind background-opacity,,CC BY-SA 4.0,,
47,"['javascript', 'css', 'reactjs', 'button']","{'account_id': 10014253, 'reputation': 87, 'user_id': 7406135, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b7c913c04566676f9d82ed88789b1859?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sal', 'link': 'https://stackoverflow.com/users/7406135/sal'}",False,316,,2,2,1660049553,1588888313,1588891401.0,61668351,https://stackoverflow.com/questions/61668351/why-the-button-changing-position-onclick,,why the Button changing position onClick?,,CC BY-SA 4.0,,
