,tags,owner,is_answered,view_count,closed_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,content_license,protected_date,migrated_from
10,"['css', 'gradient', 'linear-gradients']","{'account_id': 1678155, 'reputation': 649, 'user_id': 1543179, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/6f5c30b4aedaeb4d338102228f50e826?s=256&d=identicon&r=PG', 'display_name': 'John Doe', 'link': 'https://stackoverflow.com/users/1543179/john-doe'}",True,50492,,11667205.0,9,48,1664190708,1343295140,,11666395,https://stackoverflow.com/questions/11666395/how-can-i-prevent-css-gradient-banding,,How can I prevent CSS gradient banding?,CC BY-SA 3.0,,
11,"['css', 'html', 'text-decorations']","{'account_id': 1185111, 'reputation': 2669, 'user_id': 1159248, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/a6d9cec0e941926418d552bb15d6874d?s=256&d=identicon&r=PG', 'display_name': 'Olly F', 'link': 'https://stackoverflow.com/users/1159248/olly-f'}",True,169241,,11420078.0,12,50,1663614777,1341946550,1457484884.0,11419998,https://stackoverflow.com/questions/11419998/text-decoration-none-not-working,,Text-decoration: none not working,CC BY-SA 3.0,1660326336.0,
12,"['html', 'css', 'button']","{'account_id': 1574482, 'reputation': 1733, 'user_id': 1461331, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/89459ec2f5acde03aa8388137ff124f5?s=256&d=identicon&r=PG', 'display_name': 'JamesonW', 'link': 'https://stackoverflow.com/users/1461331/jamesonw'}",True,494484,,,13,170,1663429149,1342401785,1482843865.0,11497094,https://stackoverflow.com/questions/11497094/remove-border-from-buttons,,Remove border from buttons,CC BY-SA 3.0,,
13,"['html', 'css', 'tabs']","{'account_id': 1669067, 'reputation': 121, 'user_id': 1535882, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/9e483fc9ba5710c72ce6725b7268f389?s=256&d=identicon&r=PG', 'display_name': 'user1535882', 'link': 'https://stackoverflow.com/users/1535882/user1535882'}",True,1642,,,2,1,1663295059,1343281998,,11663203,https://stackoverflow.com/questions/11663203/stay-in-the-right-tab-after-reload-page,,Stay in the right tab after reload page,CC BY-SA 3.0,,
14,"['html', 'css', 'html-table']","{'account_id': 377805, 'reputation': 1631, 'user_id': 730160, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/3af27bfd8d66dc6b8e5ade8e167c8b27?s=256&d=identicon&r=PG', 'display_name': 'Dee2000', 'link': 'https://stackoverflow.com/users/730160/dee2000'}",True,3017,,11281557.0,5,1,1662987419,1341141300,1545937594.0,11281477,https://stackoverflow.com/questions/11281477/css-issue-table-not-filling-up-screen,,"CSS issue, table not filling up screen",CC BY-SA 4.0,,
15,"['html', 'css']","{'account_id': 191387, 'reputation': 5183, 'user_id': 431937, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/78f8e135a779a6e96bbb98dd52f23c45?s=256&d=identicon&r=PG', 'display_name': 'Dimskiy', 'link': 'https://stackoverflow.com/users/431937/dimskiy'}",True,8536,,11730840.0,1,3,1662461536,1343687798,,11730720,https://stackoverflow.com/questions/11730720/anyway-to-get-div-with-positionabsolute-outside-of-div-with-positionrelative,,Anyway to get div with position:absolute outside of div with position:relative?,CC BY-SA 3.0,,
16,"['css', 'image', 'layout', 'slider', 'flexslider']","{'account_id': 931887, 'reputation': 12119, 'user_id': 961627, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/f601d2a7c6970812b52069aa19c478af?s=256&d=identicon&r=PG', 'display_name': 'user961627', 'link': 'https://stackoverflow.com/users/961627/user961627'}",False,8343,,,1,0,1662062695,1343503274,1343503828.0,11703948,https://stackoverflow.com/questions/11703948/flexslider-image-size-automatic-adjust-to-fluid-width,,Flexslider image size - automatic adjust to fluid width?,CC BY-SA 3.0,,
17,['css'],"{'account_id': 1649840, 'reputation': 869, 'user_id': 1520646, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/9a0bc80851511c2387f7cd28b2ecc397?s=256&d=identicon&r=PG', 'display_name': 'FishBowlGuy', 'link': 'https://stackoverflow.com/users/1520646/fishbowlguy'}",True,283763,,11516371.0,10,80,1661804678,1342501468,1571664070.0,11516291,https://stackoverflow.com/questions/11516291/css-get-height-of-screen-resolution,,CSS get height of screen resolution,CC BY-SA 4.0,,
18,"['css', 'css-transitions', 'opacity']","{'account_id': 1694610, 'reputation': 5253, 'user_id': 1556266, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e4ed65ca836bfe929d767975ec45e365?s=256&d=identicon&r=PG', 'display_name': 'user1556266', 'link': 'https://stackoverflow.com/users/1556266/user1556266'}",True,1493100,,11681331.0,4,525,1661531528,1343345809,1569432042.0,11679567,https://stackoverflow.com/questions/11679567/using-css-for-a-fade-in-effect-on-page-load,,Using CSS for a fade-in effect on page load,CC BY-SA 4.0,1458562829.0,
19,"['javascript', 'html', 'css', 'layout']","{'account_id': 94317, 'reputation': 18094, 'user_id': 257583, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/23defa5e5246750c8d419ee101a257e9?s=256&d=identicon&r=PG', 'display_name': 'wrongusername', 'link': 'https://stackoverflow.com/users/257583/wrongusername'}",True,24912,,11517491.0,4,14,1661357137,1342508221,1615826358.0,11517415,https://stackoverflow.com/questions/11517415/how-can-i-wrap-divs,,How can I wrap divs?,CC BY-SA 4.0,,
20,"['html', 'css']","{'account_id': 552932, 'reputation': 1459, 'user_id': 918216, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/KtA9k.jpg?s=256&g=1', 'display_name': 'JeanSibelius', 'link': 'https://stackoverflow.com/users/918216/jeansibelius'}",True,770,,11384957.0,4,1,1660226907,1341765371,1660226907.0,11384787,https://stackoverflow.com/questions/11384787/adjusting-line-height-for-different-ems-in-stacked-text,,Adjusting line-height for different ems in stacked text?,CC BY-SA 4.0,,
21,"['css', 'firefox']","{'account_id': 1119769, 'reputation': 1067, 'user_id': 1108368, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/035655f498c63852897303772376cec7?s=256&d=identicon&r=PG', 'display_name': 'ProdoElmit', 'link': 'https://stackoverflow.com/users/1108368/prodoelmit'}",False,968,,,1,-1,1660226802,1342483584,1660226802.0,11514362,https://stackoverflow.com/questions/11514362/firefox-has-wrong-interpretation-of-em-values,,Firefox has wrong interpretation of em values,CC BY-SA 4.0,,
22,"['javascript', 'html', 'css']","{'account_id': 432497, 'reputation': 3209, 'user_id': 817296, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/02f2ef385624097d0fa61b64be24b17f?s=256&d=identicon&r=PG', 'display_name': 'Sean Bone', 'link': 'https://stackoverflow.com/users/817296/sean-bone'}",True,55131,,11373834.0,2,44,1660121107,1341652420,1466575125.0,11373741,https://stackoverflow.com/questions/11373741/detecting-by-how-much-user-has-scrolled,,Detecting by how much user has scrolled,CC BY-SA 3.0,,
23,"['android', 'css', 'ios', 'mobile']","{'account_id': 1646769, 'reputation': 715, 'user_id': 1518176, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/1c151a1e145ea72fa9c6eac2a1411076?s=256&d=identicon&r=PG', 'display_name': 'IrfanM', 'link': 'https://stackoverflow.com/users/1518176/irfanm'}",True,16011,,11441728.0,4,7,1659702020,1342040181,1342043801.0,11441357,https://stackoverflow.com/questions/11441357/linear-gradients-not-working-in-mobile-web-browsers,,linear-gradients not working in mobile web browsers,CC BY-SA 3.0,,
24,"['html', 'css', 'position']","{'account_id': 49561, 'reputation': 24147, 'user_id': 147586, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/e4f5d494ebdc9e7cce1aecf3ce3e8bc1?s=256&d=identicon&r=PG', 'display_name': 'Shpigford', 'link': 'https://stackoverflow.com/users/147586/shpigford'}",True,43541,,11723567.0,8,31,1659689438,1343657996,1343658352.0,11723417,https://stackoverflow.com/questions/11723417/break-element-out-of-container,,Break element out of container,CC BY-SA 3.0,,
25,"['html', 'css', 'css-tables']","{'account_id': 1433432, 'reputation': 4787, 'user_id': 1355300, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/f5d8e06a28aa454e585fee26bf16dcc2?s=256&d=identicon&r=PG', 'display_name': 'user1355300', 'link': 'https://stackoverflow.com/users/1355300/user1355300'}",True,55428,,11586344.0,2,14,1659039510,1342814790,1659039510.0,11586277,https://stackoverflow.com/questions/11586277/css-making-two-divs-equal-height-with-display-table,,CSS making two divs equal height with display table,CC BY-SA 4.0,,
26,"['jquery', 'css']","{'account_id': 1348582, 'reputation': 27, 'user_id': 1288839, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/09909be0a928c5ca95a5585494adeb08?s=256&d=identicon&r=PG', 'display_name': 'Schito', 'link': 'https://stackoverflow.com/users/1288839/schito'}",True,1185,,11670789.0,2,1,1658570029,1343309713,1343309913.0,11670488,https://stackoverflow.com/questions/11670488/if-i-set-float-left-the-height-is-not-working,,If I set float left the height is not working,CC BY-SA 3.0,,
27,"['html', 'css']","{'account_id': 556779, 'reputation': 4115, 'user_id': 918978, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/9577affe8bfed0ddda24a132f574e151?s=256&d=identicon&r=PG', 'display_name': 'OpenGG', 'link': 'https://stackoverflow.com/users/918978/opengg'}",True,1732,1433865769.0,11287512.0,1,1,1658323405,1341198431,1592644375.0,11287387,https://stackoverflow.com/questions/11287387/white-space-and-newline-between-inline-block-elements-taking-up-space,Duplicate,White-space and newline between inline-block elements taking up space,,,
28,"['html', 'image', 'css']","{'account_id': 1408645, 'reputation': 5621, 'user_id': 1335711, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/26fbb3a9874d54d04cf7cb2d253d0a3d?s=256&d=identicon&r=PG', 'display_name': 'pat', 'link': 'https://stackoverflow.com/users/1335711/pat'}",True,263741,,26967278.0,14,321,1657709454,1343310920,1530554887.0,11670874,https://stackoverflow.com/questions/11670874/is-there-an-equivalent-to-background-size-cover-and-contain-for-image-elements,,Is there an equivalent to background-size: cover and contain for image elements?,CC BY-SA 4.0,1504770286.0,
29,"['css', 'border']","{'account_id': 204294, 'reputation': 7715, 'user_id': 452421, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/d120cc87d2521e7a1669cbfbe7d2e84e?s=256&d=identicon&r=PG', 'display_name': 'Michiel', 'link': 'https://stackoverflow.com/users/452421/michiel'}",True,41672,,11659308.0,3,6,1656923170,1343253621,1343254172.0,11659290,https://stackoverflow.com/questions/11659290/underline-h1-within-a-div,,Underline &lt;h1&gt; within a div,CC BY-SA 3.0,,
30,"['javascript', 'html', 'css', 'dhtml']","{'account_id': 1541781, 'reputation': 3407, 'user_id': 1436247, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/uGDkL.jpg?s=256&g=1', 'display_name': 'zdebruine', 'link': 'https://stackoverflow.com/users/1436247/zdebruine'}",True,302205,,11371599.0,18,145,1656084784,1341624420,1611667966.0,11371550,https://stackoverflow.com/questions/11371550/change-hover-css-properties-with-javascript,,Change :hover CSS properties with JavaScript,CC BY-SA 4.0,,
31,"['javascript', 'jquery', 'html', 'css', 'tooltip']","{'account_id': 1403128, 'reputation': 573, 'user_id': 1331538, 'user_type': 'registered', 'accept_rate': 38, 'profile_image': 'https://www.gravatar.com/avatar/7bda6d2cc787c774a98979aad7b18d37?s=256&d=identicon&r=PG', 'display_name': 'surajR', 'link': 'https://stackoverflow.com/users/1331538/surajr'}",True,82503,,,5,16,1656059238,1343375426,1343376430.0,11683620,https://stackoverflow.com/questions/11683620/how-to-display-pop-up-text-on-mouse-hover,,How to display pop up text on mouse hover?,CC BY-SA 3.0,,
32,"['html', 'css']","{'account_id': 1265571, 'reputation': 139, 'user_id': 1222942, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0500e0270a48e775e5e81f132b29bc2b?s=256&d=identicon&r=PG', 'display_name': 'asif', 'link': 'https://stackoverflow.com/users/1222942/asif'}",True,23373,,,6,13,1655918812,1341392067,1341393112.0,11325669,https://stackoverflow.com/questions/11325669/hide-only-text-in-html-paragraph,,Hide only text in html paragraph,CC BY-SA 3.0,,
33,"['javascript', 'jquery', 'css', 'jquery-events']","{'account_id': 409458, 'reputation': 23, 'user_id': 1280263, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/c8ce317e180af7f6e399ea6f8e475f94?s=256&d=identicon&r=PG', 'display_name': 'SANSCLAW', 'link': 'https://stackoverflow.com/users/1280263/sansclaw'}",True,1541,,11334628.0,2,0,1655312017,1341429794,1655312017.0,11334474,https://stackoverflow.com/questions/11334474/how-to-set-image-for-buttons-and-hover-effect-for-images,,how to set image for buttons and hover effect for images,CC BY-SA 4.0,,
34,"['javascript', 'css', 'dom-events']","{'account_id': 1660755, 'reputation': 11, 'user_id': 1529103, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6d24eadb13f8a38876e5cee11e127c0c?s=256&d=identicon&r=PG', 'display_name': 'Timothy', 'link': 'https://stackoverflow.com/users/1529103/timothy'}",True,2112,,,2,1,1655311962,1342451678,1655311962.0,11507248,https://stackoverflow.com/questions/11507248/setting-styles-with-javascript-before-rendering,,Setting styles with JavaScript before rendering,CC BY-SA 4.0,,
35,"['javascript', 'jquery', 'css', 'jquery-events']","{'account_id': 1625663, 'reputation': 61, 'user_id': 1501278, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/935ee4023ed57bb9597d0b5b19a4a431?s=256&d=identicon&r=PG', 'display_name': 'user1501278', 'link': 'https://stackoverflow.com/users/1501278/user1501278'}",True,12188,,,2,6,1655305322,1341399472,1655305322.0,11327708,https://stackoverflow.com/questions/11327708/how-to-stop-hover-effect-for-button-in-disable-mode,,How to stop hover effect for button in disable mode,CC BY-SA 4.0,,
36,"['javascript', 'html', 'css', 'dom-events']","{'account_id': 1462752, 'reputation': 33, 'user_id': 1376569, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/28c86879eaea9edb4099c6f74f43d93f?s=256&d=identicon&r=PG', 'display_name': 'Maddy', 'link': 'https://stackoverflow.com/users/1376569/maddy'}",False,3045,,,1,-1,1655154257,1341913298,1655154257.0,11410556,https://stackoverflow.com/questions/11410556/how-to-apply-different-format-or-style-to-popup-window,,How to apply different format or style to popup window,CC BY-SA 4.0,,
37,"['javascript', 'html', 'css', 'dom-events']","{'account_id': 1701491, 'reputation': 1, 'user_id': 1561426, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9b8771378d0a5028e4b89fd2d95d3db5?s=256&d=identicon&r=PG', 'display_name': 'Philip Smith', 'link': 'https://stackoverflow.com/users/1561426/philip-smith'}",True,658,,,1,0,1655154182,1343590539,1655154182.0,11712311,https://stackoverflow.com/questions/11712311/javascript-class-change-onclick-relocates-image,,JavaScript class change onClick relocates image,CC BY-SA 4.0,,
38,"['html', 'css']","{'account_id': 1632358, 'reputation': 1, 'user_id': 1506661, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6c52d52aa56be8950564ec5a7815b0c3?s=256&d=identicon&r=PG', 'display_name': 'Tamsin', 'link': 'https://stackoverflow.com/users/1506661/tamsin'}",True,270,,,1,-1,1654704933,1341586615,1654704933.0,11364656,https://stackoverflow.com/questions/11364656/two-columns-dont-fit-in-container-with-vertical-scrollbar,,Two columns don&#39;t fit in container with vertical scrollbar,CC BY-SA 4.0,,
39,"['css', 'touch', 'media-queries']","{'account_id': 229219, 'reputation': 5695, 'user_id': 492025, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/01153bfb2ff1d19bc453a0b054fd57fd?s=256&d=identicon&r=PG', 'display_name': 'JJJollyjim', 'link': 'https://stackoverflow.com/users/492025/jjjollyjim'}",True,124924,,11387852.0,13,155,1654604933,1341793253,1416320874.0,11387805,https://stackoverflow.com/questions/11387805/media-query-to-detect-if-device-is-touchscreen,,Media query to detect if device is touchscreen,CC BY-SA 3.0,,
40,"['css', 'image', 'html', 'alignment']","{'account_id': 1701672, 'reputation': 3313, 'user_id': 1561559, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://i.stack.imgur.com/ms0tu.jpg?s=256&g=1', 'display_name': 'Maria', 'link': 'https://stackoverflow.com/users/1561559/maria'}",True,218651,,,12,30,1654086874,1343597931,1343598419.0,11713176,https://stackoverflow.com/questions/11713176/align-an-image-and-some-text-on-the-same-line-without-using-div-width,,align an image and some text on the same line without using div width?,CC BY-SA 3.0,,
41,"['css', 'background', 'border']","{'account_id': 1527789, 'reputation': 3554, 'user_id': 1425785, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://i.stack.imgur.com/0i4i4.png?s=256&g=1', 'display_name': 'SaurabhLP', 'link': 'https://stackoverflow.com/users/1425785/saurabhlp'}",True,50885,,11392170.0,9,19,1652717339,1341825214,1341825993.0,11392089,https://stackoverflow.com/questions/11392089/horizontal-line-in-background-using-css3,,Horizontal Line in Background using Css3,CC BY-SA 3.0,,
42,"['javascript', 'css', 'uiwebview']","{'account_id': 208458, 'reputation': 30955, 'user_id': 458960, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/4e8084512c5b9d92359d2abecc7294fc?s=256&d=identicon&r=PG', 'display_name': 'Snowman', 'link': 'https://stackoverflow.com/users/458960/snowman'}",True,3391,,11387124.0,2,2,1652292790,1341784248,,11387000,https://stackoverflow.com/questions/11387000/how-to-call-css-animation-manually-with-javascript,,How to call CSS animation manually with Javascript?,CC BY-SA 3.0,,
43,"['html', 'css', 'transform', 'scale']","{'account_id': 238966, 'reputation': 14445, 'user_id': 508236, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/ed5fddfe62755fc04d12cf9306c70c62?s=256&d=identicon&r=PG', 'display_name': 'hh54188', 'link': 'https://stackoverflow.com/users/508236/hh54188'}",True,7442,,13505718.0,1,17,1651193773,1341327791,,11313783,https://stackoverflow.com/questions/11313783/i-think-css3-transform-translatez-is-equal-to-scale-by-some-means,,I think CSS3 transform translateZ is equal to scale by some means,CC BY-SA 3.0,,
44,"['html', 'css', 'margin']","{'account_id': 244061, 'reputation': 17039, 'user_id': 516629, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://i.stack.imgur.com/c9bkC.jpg?s=256&g=1', 'display_name': 'wilsonpage', 'link': 'https://stackoverflow.com/users/516629/wilsonpage'}",True,7349,1651162370.0,11669239.0,3,33,1651153959,1343302361,1651153959.0,11668360,https://stackoverflow.com/questions/11668360/why-dont-a-childs-vertical-margins-expand-their-parent-container,Duplicate,Why don&#39;t a child&#39;s vertical margins expand their parent container?,,,
45,"['html', 'css']","{'account_id': 559222, 'reputation': 14584, 'user_id': 921563, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://graph.facebook.com/527002381/picture?type=large', 'display_name': 'OptimusCrime', 'link': 'https://stackoverflow.com/users/921563/optimuscrime'}",True,157856,,11556597.0,4,90,1650165309,1342685254,1598814401.0,11556493,https://stackoverflow.com/questions/11556493/second-line-in-li-starts-under-the-bullet-after-css-reset,,Second line in li starts under the bullet after CSS-reset,CC BY-SA 4.0,,
46,"['javascript', 'html', 'jquery', 'css', 'css-selectors']","{'account_id': 1022713, 'reputation': 7547, 'user_id': 1032663, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://i.stack.imgur.com/nQ6Rw.jpg?s=256&g=1', 'display_name': 'Joel Blum', 'link': 'https://stackoverflow.com/users/1032663/joel-blum'}",True,203453,,11503576.0,12,175,1649714567,1342438893,1649714567.0,11503534,https://stackoverflow.com/questions/11503534/jquery-vs-document-queryselectorall,,jQuery vs document.querySelectorAll,CC BY-SA 4.0,,
47,"['javascript', 'css', 'accessibility', 'text-to-speech']","{'account_id': 1616863, 'reputation': 617, 'user_id': 1494314, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ff9d64a35daa4691f8ca8ac4506dd168?s=256&d=identicon&r=PG', 'display_name': 'Kastor', 'link': 'https://stackoverflow.com/users/1494314/kastor'}",True,664,,,3,8,1647459300,1341153961,1647459253.0,11282884,https://stackoverflow.com/questions/11282884/specify-different-voices-for-specific-content-in-web-page,,Specify different voices for specific content in web page,CC BY-SA 4.0,,
48,"['javascript', 'css', 'browser', 'accessibility']","{'account_id': 921987, 'reputation': 11748, 'user_id': 2612112, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/740f939ca469e9cf4443c60ffbafce52?s=256&d=identicon&r=PG&f=1', 'display_name': 'federico-t', 'link': 'https://stackoverflow.com/users/2612112/federico-t'}",True,262,,11381116.0,5,6,1647459199,1341704673,1647459199.0,11379571,https://stackoverflow.com/questions/11379571/do-browsers-with-accessibility-support-css-or-javascript,,Do browsers with accessibility support CSS or JavaScript?,CC BY-SA 4.0,,
