,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,migrated_from,closed_date,closed_reason,protected_date
10,"['javascript', 'css', 'reactjs', 'material-ui']","{'account_id': 4513780, 'reputation': 2215, 'user_id': 3669204, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/xDT8A.jpg?s=256&g=1', 'display_name': 'adamcantcook', 'link': 'https://stackoverflow.com/users/3669204/adamcantcook'}",True,15593,56703651.0,3,8,1665636980,1561119414,1561122738.0,56703306,CC BY-SA 4.0,https://stackoverflow.com/questions/56703306/how-to-overwrite-material-ui-tooltip-inline-styles,How to overwrite Material UI tooltip inline styles?,,,,
11,"['css', 'linear-gradients']","{'account_id': 6392995, 'reputation': 2107, 'user_id': 4958427, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://i.stack.imgur.com/udkQm.png?s=256&g=1', 'display_name': 'snazzybouche', 'link': 'https://stackoverflow.com/users/4958427/snazzybouche'}",True,24229,,5,18,1665575319,1559507664,,56418763,CC BY-SA 4.0,https://stackoverflow.com/questions/56418763/creating-the-perfect-rainbow-gradient-in-css,Creating the perfect rainbow gradient in CSS,,,,
12,"['html', 'css', 'github-pages']","{'account_id': 14075306, 'reputation': 164, 'user_id': 10167763, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-TNeoWo8q8_k/AAAAAAAAAAI/AAAAAAAAAAA/AAnnY7os8KSsLbsUbnOP3hKQhQxXwIt5wg/mo/photo.jpg?sz=256', 'display_name': 'Roshan Prabhakar', 'link': 'https://stackoverflow.com/users/10167763/roshan-prabhakar'}",True,2164,56471140.0,1,5,1665471630,1559790102,,56470398,CC BY-SA 4.0,https://stackoverflow.com/questions/56470398/mp4-file-stored-with-git-lfs-not-playing-in-github-pages,MP4 file stored with git lfs not playing in Github Pages,,,,
13,"['css', 'font-family']","{'account_id': 89420, 'reputation': 4587, 'user_id': 246724, 'user_type': 'registered', 'accept_rate': 38, 'profile_image': 'https://www.gravatar.com/avatar/443a6c676ef203fcd7c9bd1e529603a9?s=256&d=identicon&r=PG', 'display_name': 'donquixote', 'link': 'https://stackoverflow.com/users/246724/donquixote'}",True,3897,65883010.0,3,11,1664785565,1559779229,,56469460,CC BY-SA 4.0,https://stackoverflow.com/questions/56469460/css-font-family-fallback-for-icon-font,CSS font-family fallback for icon font?,,,,
14,"['css', 'touch']","{'account_id': 12679325, 'reputation': 45, 'user_id': 9213706, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ae3ae5a427f72f9cca27ff8f5470da2b?s=256&d=identicon&r=PG&f=1', 'display_name': 'luckidtk', 'link': 'https://stackoverflow.com/users/9213706/luckidtk'}",True,922,56760135.0,3,0,1664651954,1561486463,,56759860,CC BY-SA 4.0,https://stackoverflow.com/questions/56759860/overflow-x-auto-cause-extra-space-below,overflow-x: auto cause extra space below?,,,,
15,"['javascript', 'html', 'css', 'angular']","{'account_id': 3412375, 'reputation': 976, 'user_id': 2862028, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Niek Jonkman', 'link': 'https://stackoverflow.com/users/2862028/niek-jonkman'}",True,9817,56683903.0,5,11,1663770576,1561025086,,56683591,CC BY-SA 4.0,https://stackoverflow.com/questions/56683591/how-to-apply-style-to-custom-component-content-in-angular,How to apply Style to custom component content in Angular?,,,,
16,"['html', 'css', 'zurb-foundation']","{'account_id': 12521281, 'reputation': 35, 'user_id': 9112544, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5892dae8bae8f6e7388453510f7ba353?s=256&d=identicon&r=PG&f=1', 'display_name': 'Petter', 'link': 'https://stackoverflow.com/users/9112544/petter'}",True,4075,56589819.0,1,1,1662749831,1560452409,1662749831.0,56587009,CC BY-SA 4.0,https://stackoverflow.com/questions/56587009/vertically-align-content-inside-xy-grid-cell,Vertically align content inside XY-Grid Cell,,,,
17,"['html', 'css', 'flexbox', 'zurb-foundation']","{'account_id': 12521281, 'reputation': 35, 'user_id': 9112544, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5892dae8bae8f6e7388453510f7ba353?s=256&d=identicon&r=PG&f=1', 'display_name': 'Petter', 'link': 'https://stackoverflow.com/users/9112544/petter'}",False,1604,,1,1,1662749815,1560547359,1662749815.0,56605277,CC BY-SA 4.0,https://stackoverflow.com/questions/56605277/how-to-evenly-distribute-cell-height-in-foundation-xy-grid-flexbox,How to evenly distribute cell height in Foundation XY-grid (flexbox),,,,
18,"['css', 'reactjs', 'material-ui']","{'account_id': 15750572, 'reputation': 179, 'user_id': 11365256, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b44df637234fae7d41c1c7a7f7d5a7b3?s=256&d=identicon&r=PG&f=1', 'display_name': 'learnerforlife', 'link': 'https://stackoverflow.com/users/11365256/learnerforlife'}",False,10091,,1,3,1661472480,1560283555,1560284848.0,56551026,CC BY-SA 4.0,https://stackoverflow.com/questions/56551026/how-to-make-background-image-responsive-in-material-ui,How to make background-image responsive in Material UI,,,,
19,"['jquery', 'html', 'css', 'angular', 'typescript']","{'account_id': 15821794, 'reputation': 43, 'user_id': 11415955, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c64e5909a23a4aecde45c3517d3017f9?s=256&d=identicon&r=PG&f=1', 'display_name': 'w.braham', 'link': 'https://stackoverflow.com/users/11415955/w-braham'}",True,7914,,3,3,1660948617,1560339696,1560347914.0,56561400,CC BY-SA 4.0,https://stackoverflow.com/questions/56561400/is-there-a-way-to-scroll-to-the-bottom-of-the-page-in-angular-when-clicking-a-bu,Is there a way to scroll to the bottom of the page in angular when clicking a button?,,,,
20,"['google-chrome', 'multiple-monitors', 'performance', 'css']","{'account_id': 7607034, 'reputation': 811, 'user_id': 5769350, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10153914998278987/picture?type=large', 'display_name': 'Andy', 'link': 'https://stackoverflow.com/users/5769350/andy'}",True,1976,,2,18,1659724740,1559933506,1659724740.0,56500742,,https://stackoverflow.com/questions/56500742/why-is-my-google-chrome-extensions-popup-ui-laggy-on-external-monitors-but-not,Why is my Google Chrome extension&#39;s popup UI laggy on external monitors but not on my laptop&#39;s native screen?,"{'other_site': {'styling': {'tag_background_color': '#FFFFFF', 'tag_foreground_color': '#1087A4', 'link_color': '#1086A4'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'meta.superuser', 'site_url': 'https://meta.superuser.com', 'name': 'Meta Super User'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=superuser.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['Prettify'], 'launch_date': 1250553600, 'open_beta_date': 1247529600, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/superuser/Img/apple-touch-icon@2.png', 'twitter_account': 'super_user', 'favicon_url': 'https://cdn.sstatic.net/Sites/superuser/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/superuser/Img/apple-touch-icon.png', 'audience': 'computer enthusiasts and power users', 'site_url': 'https://superuser.com', 'api_site_parameter': 'superuser', 'logo_url': 'https://cdn.sstatic.net/Sites/superuser/Img/logo.png', 'name': 'Super User', 'site_type': 'main_site'}, 'on_date': 1559938554, 'question_id': 1446194}",,,
21,"['python', 'css', 'jupyter-notebook', 'pydoc']","{'account_id': 1801412, 'reputation': 2261, 'user_id': 1639671, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/5ceb641b4780723faf54488b277ca1ce?s=256&d=identicon&r=PG', 'display_name': 'flutefreak7', 'link': 'https://stackoverflow.com/users/1639671/flutefreak7'}",True,637,,2,0,1659651283,1561128021,1636905853.0,56705591,CC BY-SA 4.0,https://stackoverflow.com/questions/56705591/integrate-pydoc-html-into-jupyter-ignoring-styling,Integrate pydoc HTML into Jupyter ignoring styling,,,,
22,"['javascript', 'html', 'css', 'vue.js']","{'account_id': 11541716, 'reputation': 437, 'user_id': 8457144, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1c71729e192574099dc18c6cb92ed1cb?s=256&d=identicon&r=PG&f=1', 'display_name': 'hrishikeshpaul', 'link': 'https://stackoverflow.com/users/8457144/hrishikeshpaul'}",True,6419,56458472.0,1,2,1659528503,1559727803,1560116094.0,56458006,CC BY-SA 4.0,https://stackoverflow.com/questions/56458006/using-vue-variables-in-styles,Using Vue variables in styles,,,,
23,"['css', 'reactjs', 'bootstrap-4', 'font-awesome']","{'account_id': 14821908, 'reputation': 783, 'user_id': 10703921, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-Zx1Lc_w9vb8/AAAAAAAAAAI/AAAAAAAAAVs/D9mJPm9oMdw/photo.jpg?sz=256', 'display_name': 'soufiane yakoubi', 'link': 'https://stackoverflow.com/users/10703921/soufiane-yakoubi'}",True,1822,,3,0,1659372046,1560005895,1659372046.0,56507487,CC BY-SA 4.0,https://stackoverflow.com/questions/56507487/centering-fontawesome-component-with-faplay-icon-inside-a-square-and-round-butto,centering fontawesome component with faPlay icon inside a square and round button in react,,,,
24,"['css', 'twitter-bootstrap', 'adsense', 'adsense-anchor-ads']","{'account_id': 5862446, 'reputation': 2151, 'user_id': 4870273, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://lh5.googleusercontent.com/-XhPnCG93Opw/AAAAAAAAAAI/AAAAAAAAAco/1mGQN4mJIQk/photo.jpg?sz=256', 'display_name': 'luky', 'link': 'https://stackoverflow.com/users/4870273/luky'}",False,149,,1,1,1659092108,1561223089,,56717457,CC BY-SA 4.0,https://stackoverflow.com/questions/56717457/adsense-top-anchor-ad-vs-fixed-navbar,Adsense top anchor ad vs fixed Navbar,,,,
25,"['javascript', 'html', 'css']","{'account_id': 16058668, 'reputation': 35, 'user_id': 11590246, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5ad71c775ddb525d66959d4008b029f7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Natalie', 'link': 'https://stackoverflow.com/users/11590246/natalie'}",True,81,56416853.0,3,1,1659091482,1559489673,1559491178.0,56416473,CC BY-SA 4.0,https://stackoverflow.com/questions/56416473/how-to-fix-a-hidden-nav-that-spill-out-under-the-main-section,How to fix a hidden nav that spill out under the main section?,,,,
26,"['javascript', 'jquery', 'html', 'css', 'bootstrap-4']","{'account_id': 13676779, 'reputation': 1025, 'user_id': 9868018, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/1MZWb.png?s=256&g=1', 'display_name': 'Alex Hawking', 'link': 'https://stackoverflow.com/users/9868018/alex-hawking'}",True,50963,56504100.0,3,15,1658706473,1559974178,1559979344.0,56503954,CC BY-SA 4.0,https://stackoverflow.com/questions/56503954/bootstrap-toast-does-not-show-up,Bootstrap toast does not show up,,,,
27,"['css', 'svg', 'shadow-dom']","{'account_id': 1027418, 'reputation': 911, 'user_id': 1204415, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/178aadca23a6c229c39b7a67577ae96a?s=256&d=identicon&r=PG&f=1', 'display_name': 'dmoz', 'link': 'https://stackoverflow.com/users/1204415/dmoz'}",True,5689,,2,12,1658296938,1559847074,1559911297.0,56483476,CC BY-SA 4.0,https://stackoverflow.com/questions/56483476/svg-fill-with-use-tag,SVG fill with use tag,,,,
28,"['css', 'ruby-on-rails', 'nginx', 'production-environment', 'precompile']","{'account_id': 15378563, 'reputation': 125, 'user_id': 11094591, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a0f6c991e9b8e435ab19eca6b159360a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Artur', 'link': 'https://stackoverflow.com/users/11094591/artur'}",True,3687,56754736.0,2,7,1657943314,1561463987,,56753564,CC BY-SA 4.0,https://stackoverflow.com/questions/56753564/ror-app-the-asset-application-css-is-not-present-in-the-asset-pipeline-afte,RoR App: &quot;The asset &#39;application.css&#39; is not present in the asset pipeline&quot; after moving to production server,,,,
29,"['css', 'vue.js']","{'account_id': 14696397, 'reputation': 137, 'user_id': 10613683, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-nd9QN1QQNQE/AAAAAAAAAAI/AAAAAAAAAq4/KbVNOdGWpI0/photo.jpg?sz=256', 'display_name': 'Pok3r Princ3', 'link': 'https://stackoverflow.com/users/10613683/pok3r-princ3'}",True,1554,56820494.0,2,1,1657941391,1561837730,1561838940.0,56820453,CC BY-SA 4.0,https://stackoverflow.com/questions/56820453/dynamically-adding-classes-in-vue-based-on-value,Dynamically adding classes in Vue based on value,,,,
30,"['java', 'html', 'css', 'textarea', 'itext7']","{'account_id': 12890715, 'reputation': 1286, 'user_id': 9322814, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/62320b8992b50a4da59f1c69337244ad?s=256&d=identicon&r=PG&f=1', 'display_name': 'Juke', 'link': 'https://stackoverflow.com/users/9322814/juke'}",True,2531,57839863.0,4,11,1657927837,1559316148,1567628313.0,56397796,CC BY-SA 4.0,https://stackoverflow.com/questions/56397796/continuous-text-in-text-area-cuts-the-pdf-overflowing-the-text-when-using-itext,Continuous text in text-area cuts the PDF overflowing the text when using Itext 7.1.7,,,,
31,"['javascript', 'css', 'vue.js', 'grid-layout', 'bootstrap-vue']","{'account_id': 9574725, 'reputation': 1264, 'user_id': 7111274, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-cb9Nr8e0_aw/AAAAAAAAAAI/AAAAAAAAABQ/AcS-CiTcWsY/photo.jpg?sz=256', 'display_name': 'abhigyan nayak', 'link': 'https://stackoverflow.com/users/7111274/abhigyan-nayak'}",True,2853,56494124.0,1,0,1657860728,1559907154,,56493529,CC BY-SA 4.0,https://stackoverflow.com/questions/56493529/how-to-dynamically-render-elements-in-a-grid,How to dynamically render elements in a grid,,,,
32,"['css', 'vue.js']","{'account_id': 16157893, 'reputation': 25, 'user_id': 11664736, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/9r1oR.jpg?s=256&g=1', 'display_name': 'noxford1', 'link': 'https://stackoverflow.com/users/11664736/noxford1'}",True,12014,56795667.0,1,0,1657848565,1561654432,,56795619,CC BY-SA 4.0,https://stackoverflow.com/questions/56795619/is-there-a-way-to-change-text-color-based-on-value-in-vue-js,Is there a way to change text color based on value in vue.js?,,,,
33,"['html', 'css', 'svg', 'vue-material']","{'account_id': 785136, 'reputation': 561, 'user_id': 856355, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/2d935d00fa0cb11b903d4ef5c5b55b37?s=256&d=identicon&r=PG', 'display_name': 'lgm42', 'link': 'https://stackoverflow.com/users/856355/lgm42'}",False,1172,,2,2,1656443664,1561192131,1561473436.0,56713880,CC BY-SA 4.0,https://stackoverflow.com/questions/56713880/how-to-insert-material-icon-directly-into-svg-element-in-vue,How to insert material icon directly into svg element in vue,,,,
34,"['html', 'css']","{'account_id': 6644813, 'reputation': 21, 'user_id': 5129355, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-qqWXr_UB2RY/AAAAAAAAAAI/AAAAAAAAAiw/UbPNw6M1-pc/photo.jpg?sz=256', 'display_name': 'andrew blake', 'link': 'https://stackoverflow.com/users/5129355/andrew-blake'}",True,445,57176882.0,3,1,1655979126,1561594078,1563951192.0,56782369,CC BY-SA 4.0,https://stackoverflow.com/questions/56782369/only-one-backdrop-filter-working-at-a-time,only one backdrop-filter working at a time,,,,
35,"['html', 'css', 'svg', 'gradient']","{'account_id': 12896651, 'reputation': 801, 'user_id': 9326803, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-XMw7rYwNLqQ/AAAAAAAAAAI/AAAAAAAAABE/xZIvhHdmJSw/photo.jpg?sz=256', 'display_name': 'Gareth Jones', 'link': 'https://stackoverflow.com/users/9326803/gareth-jones'}",True,2146,56714500.0,3,3,1655848180,1561112390,,56701484,CC BY-SA 4.0,https://stackoverflow.com/questions/56701484/how-to-create-svg-gradient-with-3-points-set-out-in-a-triangle-that-blend-togeth,How to create svg gradient with 3 points set out in a triangle that blend together,,,,
36,"['html', 'css', 'angular', 'typescript', 'angular6']","{'account_id': 16124222, 'reputation': 53, 'user_id': 11639418, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-gs0yWLT7Bak/AAAAAAAAAAI/AAAAAAAAAB0/ddNoKcURvDo/photo.jpg?sz=256', 'display_name': 'Juan', 'link': 'https://stackoverflow.com/users/11639418/juan'}",True,4985,56672559.0,4,5,1655678948,1560958442,1561003337.0,56671354,CC BY-SA 4.0,https://stackoverflow.com/questions/56671354/hiding-horizontal-scrolling-bar-doesn%c2%b4t-work-using-simplebar-library,Hiding horizontal scrolling bar doesn&#180;t work using simplebar library,,,,
37,"['css', 'responsive-design', 'media-queries', 'shopify']","{'account_id': 13291958, 'reputation': 71, 'user_id': 11674798, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8a9da9539de56949c9d3e42a366ab30a?s=256&d=identicon&r=PG&f=1', 'display_name': 'icm', 'link': 'https://stackoverflow.com/users/11674798/icm'}",True,1944,56802867.0,3,0,1655454760,1561703280,1655454760.0,56801915,CC BY-SA 4.0,https://stackoverflow.com/questions/56801915/media-query-isnt-displaying-correctly-on-shopify,Media query isn&#39;t displaying correctly on Shopify,,,,
38,"['python', 'css', 'bokeh', 'pyviz']","{'account_id': 7769120, 'reputation': 61, 'user_id': 9293275, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/721f6a887b38fe1f51555932a9d625e8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tormod Landet', 'link': 'https://stackoverflow.com/users/9293275/tormod-landet'}",True,881,,2,3,1655359309,1559902463,,56492372,CC BY-SA 4.0,https://stackoverflow.com/questions/56492372/can-i-control-the-inline-css-created-by-bokeh-or-remove-it-completely,Can I control the inline css created by Bokeh (or remove it completely)?,,,,
39,"['css', 'image', 'background-image', 'inline', 'webp']","{'account_id': 15377922, 'reputation': 81, 'user_id': 11708812, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-GL5pVhcyTYA/AAAAAAAAAAI/AAAAAAAAAAA/ACevoQMHnosGmFLiwV8QXwO0cr-sldZtIQ/mo/photo.jpg?sz=256', 'display_name': 'manoj v', 'link': 'https://stackoverflow.com/users/11708812/manoj-v'}",True,4016,,4,8,1654930441,1561642270,,56792199,CC BY-SA 4.0,https://stackoverflow.com/questions/56792199/how-to-set-the-different-background-image-format-png-and-webp-of-the-same-imag,how to set the different background image format (png and webp) of the same image in section tag,,,,
40,"['css', 'tailwind-css']","{'account_id': 6310548, 'reputation': 2033, 'user_id': 4902217, 'user_type': 'registered', 'accept_rate': 12, 'profile_image': 'https://graph.facebook.com/10153300548398850/picture?type=large', 'display_name': 'Kelvin Zhao', 'link': 'https://stackoverflow.com/users/4902217/kelvin-zhao'}",True,9625,60478751.0,5,17,1654868213,1561470031,,56755439,CC BY-SA 4.0,https://stackoverflow.com/questions/56755439/modifying-hover-in-tailwindcss,Modifying hover in Tailwindcss,,,,
41,"['css', 'reactjs', 'material-ui', 'themes']","{'account_id': 238278, 'reputation': 681, 'user_id': 507058, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/f278eda9381e964eb0afed3cd3fc5ff0?s=256&d=identicon&r=PG', 'display_name': 'imyjimmy', 'link': 'https://stackoverflow.com/users/507058/imyjimmy'}",True,3710,56450285.0,2,3,1654547496,1559668457,1654547496.0,56448538,CC BY-SA 4.0,https://stackoverflow.com/questions/56448538/using-createmuitheme-to-override-default-styles-on-divs-ps-body,"Using createMuiTheme to override default styles on div&#39;s, p&#39;s, body",,,,
42,"['jquery', 'css', 'jquery-ui', 'spinner', 'readonly-attribute']","{'account_id': 8925513, 'reputation': 980, 'user_id': 6660213, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/tgrQz.jpg?s=256&g=1', 'display_name': 'Radu', 'link': 'https://stackoverflow.com/users/6660213/radu'}",True,428,56517047.0,1,0,1654063221,1560047091,1560072794.0,56511512,CC BY-SA 4.0,https://stackoverflow.com/questions/56511512/hiding-spinner-buttons-for-a-specific-jquery-ui-spinner,Hiding spinner buttons for a specific Jquery UI spinner,,,,
43,"['css', 'twitter-bootstrap', 'bootstrap-4']","{'account_id': 15388081, 'reputation': 55, 'user_id': 11101651, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4cce3166abacdb98304d4463c4161ba4?s=256&d=identicon&r=PG&f=1', 'display_name': 'Blaze Mathew', 'link': 'https://stackoverflow.com/users/11101651/blaze-mathew'}",True,44,56721169.0,2,0,1653926381,1561265140,1653926381.0,56721085,CC BY-SA 4.0,https://stackoverflow.com/questions/56721085/how-to-achieve-fixed-full-height-divs-with-scrollbar-in-bootstrap,How to achieve fixed full height divs with scrollbar in bootstrap,,,,
44,"['css', 'reactjs', 'webpack', 'netlify']","{'account_id': 6769484, 'reputation': 21, 'user_id': 5213282, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5b411e95b074601ec7e365917c5b4b93?s=256&d=identicon&r=PG&f=1', 'display_name': 'jgarb202', 'link': 'https://stackoverflow.com/users/5213282/jgarb202'}",True,2703,57641059.0,2,0,1653427716,1560854765,,56647377,CC BY-SA 4.0,https://stackoverflow.com/questions/56647377/css-style-not-being-picked-up-when-deployed-in-netlify,CSS Style not being picked up when deployed in netlify,,,,
