,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,closed_date,accepted_answer_id,last_edit_date,closed_reason,migrated_from
10,"['c#', 'html', 'css', 'blazor', 'radzen']","{'account_id': 23356324, 'reputation': 1, 'user_id': 17429246, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwKjx2bS7yjdgPJRbT4THEM0rqy9R0k2oUDV9VI=k-s256', 'display_name': 'HenryKan123', 'link': 'https://stackoverflow.com/users/17429246/henrykan123'}",False,830,1,0,1666961403,1638879351,70259983,CC BY-SA 4.0,https://stackoverflow.com/questions/70259983/how-to-remember-radzengrid-width-after-change-the-page,How to remember RadzenGrid width after change the page?,,,,,
11,"['javascript', 'html', 'css', 'reactjs']","{'account_id': 16988178, 'reputation': 75, 'user_id': 12288416, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mAjXRXSaraumFwb0FNUkwBF_A6hty2tqu_TcNU8NA=k-s256', 'display_name': 'Rupali Doke', 'link': 'https://stackoverflow.com/users/12288416/rupali-doke'}",False,130,1,0,1666886665,1638939326,70270139,CC BY-SA 4.0,https://stackoverflow.com/questions/70270139/scroll-the-textarea-content-and-a-child-div-with-parent-div-only-in-react,scroll the textarea content and a child div with parent div only in react,,,,,
12,"['css', 'testing', 'jestjs', 'testcafe']","{'account_id': 6576591, 'reputation': 793, 'user_id': 5082396, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://www.gravatar.com/avatar/ecb90aafcaa063edf9fe1161289be637?s=256&d=identicon&r=PG&f=1', 'display_name': 'pro', 'link': 'https://stackoverflow.com/users/5082396/pro'}",True,44,1,0,1666858121,1638986474,70279674,CC BY-SA 4.0,https://stackoverflow.com/questions/70279674/testcafe-deeply-equality-fails-when-a-css-formatted-string-is-compared-with-a-no,Testcafe deeply equality fails when a css formatted string is compared with a normally constructed string,,,1666858121.0,,
13,"['javascript', 'css', 'sweetalert2']","{'account_id': 17598370, 'reputation': 45, 'user_id': 12768865, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mAiwwghS18wCcmEzG0T6-I0EEWAUBqA9-pX9bM9Tg=k-s256', 'display_name': 'Donald Ya&#241;ez', 'link': 'https://stackoverflow.com/users/12768865/donald-ya%c3%b1ez'}",True,287,2,1,1666777211,1638989034,70280194,CC BY-SA 4.0,https://stackoverflow.com/questions/70280194/set-sweetalert2-width-auto-according-to-text-message,set sweetalert2 width auto according to text message,,70340595.0,,,
14,"['javascript', 'html', 'css', 'swiper.js', 'animejs']","{'account_id': 12005290, 'reputation': 295, 'user_id': 8783818, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5779f6db2588ee9b4e6ed611ea517fcc?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nicola Spadari', 'link': 'https://stackoverflow.com/users/8783818/nicola-spadari'}",False,104,1,0,1666623132,1640168392,70447483,CC BY-SA 4.0,https://stackoverflow.com/questions/70447483/diagonal-slices-staggered-effect-using-swiperjs-and-animejs,Diagonal slices staggered effect using swiperjs and animejs,,,,,
15,"['javascript', 'html', 'css']","{'account_id': 23619969, 'reputation': 1, 'user_id': 17653444, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiCKRWi6ctTGyjMLYn48z5xrzq7qWibKmMES2qTwy4=k-s256', 'display_name': 'Vaibhav Navlani', 'link': 'https://stackoverflow.com/users/17653444/vaibhav-navlani'}",False,74,2,-4,1666538724,1639245045,70317597,CC BY-SA 4.0,https://stackoverflow.com/questions/70317597/my-bmr-calculator-is-not-showing-a-result,My BMR calculator is not showing a result,,,1639247545.0,,
16,"['javascript', 'html', 'css']","{'account_id': 23317379, 'reputation': 1, 'user_id': 17395811, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/x0vgg.jpg?s=256&g=1', 'display_name': 'Chaitanya Vishwakarma', 'link': 'https://stackoverflow.com/users/17395811/chaitanya-vishwakarma'}",True,50,1,-1,1666523393,1639320228,70324571,CC BY-SA 4.0,https://stackoverflow.com/questions/70324571/display-different-pop-up-windows-for-different-image-buttons,Display different pop up windows for different image buttons,,,,,
17,"['html', 'css', 'bootstrap-4', 'icons']","{'account_id': 21168366, 'reputation': 3, 'user_id': 17700040, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0d31a380451a6e6996b871fbf77da802?s=256&d=identicon&r=PG&f=1', 'display_name': 'saul-ps', 'link': 'https://stackoverflow.com/users/17700040/saul-ps'}",True,976,4,0,1666514293,1640002764,70421690,CC BY-SA 4.0,https://stackoverflow.com/questions/70421690/how-can-i-add-a-bootstrap-icon-in-a-placeholder,How can I add a Bootstrap Icon in a placeholder?,,70421863.0,,,
18,"['css', 'reactjs', 'next.js']","{'account_id': 22222353, 'reputation': 83, 'user_id': 16459781, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b42c916aa7a291c442be8248855d946d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mpimenta', 'link': 'https://stackoverflow.com/users/16459781/mpimenta'}",False,2044,1,1,1666420576,1638844562,70254274,CC BY-SA 4.0,https://stackoverflow.com/questions/70254274/problem-with-node-modules-and-global-css-nextjs,Problem with node modules and Global CSS - nextjs,,,1638888546.0,,
19,"['javascript', 'html', 'css', 'url']","{'account_id': 23459685, 'reputation': 39, 'user_id': 17549002, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwCe5W37yMJKezFFIzHdqoxz-DqNRV85jnNcEBK=k-s256', 'display_name': 'Blue Moon', 'link': 'https://stackoverflow.com/users/17549002/blue-moon'}",False,177,1,0,1666322895,1638822777,70251599,CC BY-SA 4.0,https://stackoverflow.com/questions/70251599/how-to-use-cssstylesheet-insertrule-to-change-a-root-property,How to use CSSStyleSheet.insertRule() to change a :root property,,,1666322895.0,,
20,"['javascript', 'css', 'npm', 'sass', 'esbuild']","{'account_id': 4052717, 'reputation': 1056, 'user_id': 3331700, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8299a3d70f160d0a0e1274212e44d367?s=256&d=identicon&r=PG', 'display_name': 'Arslan Akram', 'link': 'https://stackoverflow.com/users/3331700/arslan-akram'}",True,4661,2,10,1666107548,1639328911,70325815,CC BY-SA 4.0,https://stackoverflow.com/questions/70325815/how-to-setup-custom-esbuild-with-scss-purgecss-liveserver,"How To Setup Custom ESBuild with SCSS, PurgeCSS &amp; LiveServer?",,70325816.0,1658481531.0,,
21,"['javascript', 'html', 'css', 'tabs']","{'account_id': 21367522, 'reputation': 5, 'user_id': 15735480, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gh2IjAo2rMcL6DUEJ3b6O92a_GSh_fpicRr5Khm=k-s256', 'display_name': 'Vladislav', 'link': 'https://stackoverflow.com/users/15735480/vladislav'}",True,46,1,0,1666098357,1638712227,70234965,CC BY-SA 4.0,https://stackoverflow.com/questions/70234965/tabs-buttons-problems-would-like-to-introduce-new-tab-that-will-show-all-banner,Tabs buttons problems. Would like to introduce new tab that will show all banners,,70235644.0,1666098357.0,,
22,"['html', 'css', 'bootstrap-4', 'card']","{'account_id': 23672492, 'reputation': 33, 'user_id': 17699068, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/zGkwm.jpg?s=256&g=1', 'display_name': 'Han', 'link': 'https://stackoverflow.com/users/17699068/han'}",True,234,2,0,1665926559,1640834782,70527148,CC BY-SA 4.0,https://stackoverflow.com/questions/70527148/parallelogram-card-with-css-and-bootsrap,parallelogram card with css and bootsrap,,70527308.0,1640834918.0,,
23,"['css', 'markdown', 'marp', 'marpit']","{'account_id': 21520267, 'reputation': 21, 'user_id': 16078490, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e46f3827a9caf04ccc0ff81bb69548c4?s=256&d=identicon&r=PG&f=1', 'display_name': 'shnnnms', 'link': 'https://stackoverflow.com/users/16078490/shnnnms'}",False,129,1,0,1665560730,1638819062,70250929,CC BY-SA 4.0,https://stackoverflow.com/questions/70250929/add-a-css-theorem-class-in-marpit,Add a .css theorem class in marp(it),,,,,
24,"['javascript', 'html', 'css', 'reactjs', 'ecmascript-6']","{'account_id': 23533029, 'reputation': 1, 'user_id': 17578362, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a82b912ef1debd15fcdf0d81642c4537?s=256&d=identicon&r=PG', 'display_name': 'vibewe', 'link': 'https://stackoverflow.com/users/17578362/vibewe'}",False,56,1,0,1665514769,1638520478,70211477,CC BY-SA 4.0,https://stackoverflow.com/questions/70211477/how-to-apply-the-same-row-color-when-the-row-is-expanded-for-a-table,How to apply the same row color when the row is expanded for a table,,,1665514769.0,,
25,"['css', 'angular', 'slickgrid']","{'account_id': 23587737, 'reputation': 11, 'user_id': 17625958, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/231cba7385ad6f6a5511130cd240ab01?s=256&d=identicon&r=PG', 'display_name': 'Andreas771', 'link': 'https://stackoverflow.com/users/17625958/andreas771'}",False,248,2,1,1665513616,1638968930,70275543,CC BY-SA 4.0,https://stackoverflow.com/questions/70275543/angular-slickgrid-align-header-text,Angular SlickGrid align header text,,,1639578023.0,,
26,"['javascript', 'html', 'css']","{'account_id': 23258463, 'reputation': 5, 'user_id': 17345139, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1b4d6c554c71558ac9285374108f6eab?s=256&d=identicon&r=PG', 'display_name': 'OwerFlowingDev', 'link': 'https://stackoverflow.com/users/17345139/owerflowingdev'}",True,42,1,-4,1665511750,1639219498,70314465,,https://stackoverflow.com/questions/70314465/uncaught-syntaxerror-unexpected-end-of-input-false-error,Uncaught SyntaxError: Unexpected end of input false error,1639219982.0,70314495.0,1665511750.0,Not suitable for this site,
27,"['css', 'r', 'shiny', 'flexdashboard']","{'account_id': 16329869, 'reputation': 1872, 'user_id': 11793491, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1873c8a0c0248e59ed24411ee51ceb7e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Alexis', 'link': 'https://stackoverflow.com/users/11793491/alexis'}",True,359,2,1,1665360237,1638895609,70263915,CC BY-SA 4.0,https://stackoverflow.com/questions/70263915/scrolling-for-a-gt-table-chunk-in-flexdashboard-or-shiny,Scrolling for a gt table chunk in Flexdashboard or Shiny,,70294526.0,,,
28,"['css', 'twitter-bootstrap', 'sass', 'responsive', 'bootstrap-5']","{'account_id': 7084736, 'reputation': 21, 'user_id': 5421871, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-gTpOlNP-gC8/AAAAAAAAAAI/AAAAAAAAAJo/T2qIuymph8Q/photo.jpg?sz=256', 'display_name': 'deadmanIsARabbit', 'link': 'https://stackoverflow.com/users/5421871/deadmanisarabbit'}",True,421,1,2,1665352283,1639646431,70376546,CC BY-SA 4.0,https://stackoverflow.com/questions/70376546/enable-bootstraps-5-responsive-font-size-rfs-for-base-font-tags,Enable Bootstraps 5 responsive font size (rfs) for base font tags,,,,,
29,"['html', 'css', 'twitter-bootstrap', 'bootstrap-5']","{'account_id': 10880176, 'reputation': 171, 'user_id': 7999380, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d4f7fdb947bded00150b5ed8dbaed4cb?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sergio Palmeiras', 'link': 'https://stackoverflow.com/users/7999380/sergio-palmeiras'}",True,2073,2,6,1665332617,1640898614,70536735,CC BY-SA 4.0,https://stackoverflow.com/questions/70536735/override-bootstrap-5-fieldset-style,Override Bootstrap 5 fieldset style,,70536817.0,,,
30,"['css', 'webpack', 'tailwind-css', 'dart-sass']","{'account_id': 16352735, 'reputation': 139, 'user_id': 11810782, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-eVviOdRD0Po/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcBwQIZWlJmaAQna6UWzuFP4K0r1Q/photo.jpg?sz=256', 'display_name': 'William Zink', 'link': 'https://stackoverflow.com/users/11810782/william-zink'}",True,1031,3,2,1665240055,1639710303,70387965,CC BY-SA 4.0,https://stackoverflow.com/questions/70387965/tailwindcss-3-0-upgrade-overriding-button-styles,TailwindCSS 3.0 Upgrade overriding button styles,,71276779.0,1639750645.0,,
31,"['javascript', 'css', 'svg']","{'account_id': 23514556, 'reputation': 17, 'user_id': 17562686, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/184824f4baa09197c0dfe125f80ed42b?s=256&d=identicon&r=PG', 'display_name': 'Croquix', 'link': 'https://stackoverflow.com/users/17562686/croquix'}",True,713,1,0,1665084809,1638369172,70186067,CC BY-SA 4.0,https://stackoverflow.com/questions/70186067/change-a-svg-path-when-another-element-is-hover,Change a svg path when another element is hover,,70197131.0,1638372567.0,,
32,"['css', 'tailwind-css']","{'account_id': 4612382, 'reputation': 2365, 'user_id': 9222818, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-SExci7OaLms/AAAAAAAAAAI/AAAAAAAAASU/1ItGkCUZCI8/photo.jpg?sz=256', 'display_name': 'Sai Krishnadas', 'link': 'https://stackoverflow.com/users/9222818/sai-krishnadas'}",True,5766,3,1,1664882873,1640677143,70504047,CC BY-SA 4.0,https://stackoverflow.com/questions/70504047/how-to-have-a-bordered-text-in-tailwind,How to have a bordered text in tailwind,,,1640687049.0,,
33,"['css', 'z-index']","{'account_id': 9852800, 'reputation': 178, 'user_id': 9363857, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0bfb2299482947855b26a63894d4e799?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nobody-Knows-I-am-a-Dog', 'link': 'https://stackoverflow.com/users/9363857/nobody-knows-i-am-a-dog'}",False,481,1,-2,1664547856,1639698445,70386917,CC BY-SA 4.0,https://stackoverflow.com/questions/70386917/how-to-force-an-element-in-front-of-others,How to force an element in front of others?,,,1639747568.0,,
34,"['html', 'css', 'scroll-margin-top']","{'account_id': 16961849, 'reputation': 727, 'user_id': 12268797, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5e1405ce72ca351d6bdc6eed108239a9?s=256&d=identicon&r=PG&f=1', 'display_name': 'skalta', 'link': 'https://stackoverflow.com/users/12268797/skalta'}",True,4716,1,1,1664541999,1638526117,70212566,,https://stackoverflow.com/questions/70212566/the-scroll-margin-top-property-doesnt-work-when-using-a-container-with-overflo,The scroll-margin-top property doesn&#39;t work when using a container with `overflow: hidden`,1653915931.0,,1664541999.0,Needs details or clarity,
35,"['jquery', 'css', 'wordpress', 'elementor']","{'account_id': 2876348, 'reputation': 361, 'user_id': 2468312, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/24f59295caeb2f27bbe0536ffc613820?s=256&d=identicon&r=PG', 'display_name': 'user2468312', 'link': 'https://stackoverflow.com/users/2468312/user2468312'}",False,174,1,1,1664480509,1639054735,70290330,CC BY-SA 4.0,https://stackoverflow.com/questions/70290330/how-to-change-the-wordpress-elementor-dropdown-ul-display-value-from-block-to-gr,How to change the Wordpress Elementor dropdown ul display value from block to grid,,,,,
36,"['css', 'browser', 'fonts', 'cross-browser']","{'account_id': 10569190, 'reputation': 55, 'user_id': 7786549, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/06f7aa18f5574ebadd4c028707bab5f0?s=256&d=identicon&r=PG&f=1', 'display_name': 'T. Maxx', 'link': 'https://stackoverflow.com/users/7786549/t-maxx'}",True,1342,2,2,1664470052,1638457731,70201880,CC BY-SA 4.0,https://stackoverflow.com/questions/70201880/google-fonts-variable-fonts-not-working-in-windows-browsers,Google Fonts - variable fonts not working in Windows browsers,,70277406.0,,,
37,"['css', 'reactjs', 'jsx', 'tailwind-css']","{'account_id': 8141553, 'reputation': 804, 'user_id': 6131554, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/636ac8962f75cf221dc38efd2c658f47?s=256&d=identicon&r=PG&f=1', 'display_name': 'JSON_Derulo', 'link': 'https://stackoverflow.com/users/6131554/json-derulo'}",True,5829,3,1,1664438716,1640948841,70541651,CC BY-SA 4.0,https://stackoverflow.com/questions/70541651/tailwindcss-box-shadow-not-showing,Tailwindcss box shadow not showing,,,1641034983.0,,
38,"['html', 'css']","{'account_id': 22865538, 'reputation': 69, 'user_id': 17008989, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3cf882e8bcacc68db15fae277f84aad3?s=256&d=identicon&r=PG', 'display_name': 'Agent47', 'link': 'https://stackoverflow.com/users/17008989/agent47'}",True,141,3,-2,1664218360,1638419640,70194236,CC BY-SA 4.0,https://stackoverflow.com/questions/70194236/aligning-elements-to-the-extreme-ends,Aligning elements to the extreme ends,,70194300.0,,,
39,"['html', 'css', 'flexbox']","{'account_id': 18080363, 'reputation': 1, 'user_id': 13142664, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-Q6kMj7iXDqo/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJON_2pFSbKI_GIfN8afzKXhAIXvSg/photo.jpg?sz=256', 'display_name': 'Gine2g', 'link': 'https://stackoverflow.com/users/13142664/gine2g'}",False,43,2,0,1664218256,1639104236,70299155,CC BY-SA 4.0,https://stackoverflow.com/questions/70299155/add-centered-text-above-centered-flexbox,Add centered Text above centered flexbox,,,1664218256.0,,
40,"['javascript', 'html', 'css']","{'user_type': 'does_not_exist', 'display_name': 'user17144244'}",True,307,2,3,1664210563,1638760843,70240526,CC BY-SA 4.0,https://stackoverflow.com/questions/70240526/how-to-prevent-scroll-to-top-button-from-going-over-the-footer,How to prevent &quot;scroll to top button&quot; from going over the footer,,,1638761145.0,,
41,"['css', 'material-ui']","{'account_id': 19938812, 'reputation': 31, 'user_id': 14610929, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0ec8d8070562113370f9811b8c7f1a85?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ian MacRae', 'link': 'https://stackoverflow.com/users/14610929/ian-macrae'}",True,2267,2,0,1663859179,1638945212,70270860,CC BY-SA 4.0,https://stackoverflow.com/questions/70270860/override-typography-varient-styles-in-mui-v5,Override Typography varient styles in MUI v5,,,,,
42,"['javascript', 'html', 'css', 'google-chrome', 'copy-paste']","{'account_id': 2705349, 'reputation': 2227, 'user_id': 2335065, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/34194ce9cae7705d0afef9cbbed97020?s=256&d=identicon&r=PG', 'display_name': 'user2335065', 'link': 'https://stackoverflow.com/users/2335065/user2335065'}",False,185,1,-3,1663579180,1638516491,70210836,CC BY-SA 4.0,https://stackoverflow.com/questions/70210836/reader-mode-on-chrome-allow-users-to-copy-text-on-my-site-how-to-disable-it,Reader mode on Chrome allow users to copy text on my site. How to disable it?,,,,,
43,"['css', 'reactjs', 'material-ui']","{'account_id': 14985294, 'reputation': 259, 'user_id': 10818030, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/307a74842f8bc804bc4d9a8f1c549194?s=256&d=identicon&r=PG&f=1', 'display_name': 'Casey Cling', 'link': 'https://stackoverflow.com/users/10818030/casey-cling'}",True,30324,5,5,1663271864,1638740660,70238818,CC BY-SA 4.0,https://stackoverflow.com/questions/70238818/how-do-i-make-material-ui-container-have-full-width-and-height,How do I make material ui container have full width and height?,,,,,
44,"['html', 'css', 'printing', 'frontend', 'html-heading']","{'account_id': 16871039, 'reputation': 161, 'user_id': 12199528, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5d3b9e8a6d1262dd749ea753f36a9d76?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sagar Agarwal', 'link': 'https://stackoverflow.com/users/12199528/sagar-agarwal'}",False,589,1,0,1663160160,1638380786,70188907,CC BY-SA 4.0,https://stackoverflow.com/questions/70188907/css-set-height-of-header-with-header-image-for-print,CSS: Set height of header with header image for print,,,,,
45,"['javascript', 'html', 'css', 'datepicker', 'jquery-ui-datepicker']","{'account_id': 18695603, 'reputation': 39, 'user_id': 13628993, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GihYU5i2LLb17tQ1Tyk88NxgUx2GkW9IUyKX53H=k-s256', 'display_name': 'priyank patadiya', 'link': 'https://stackoverflow.com/users/13628993/priyank-patadiya'}",False,313,1,0,1663007373,1640718308,70511433,CC BY-SA 4.0,https://stackoverflow.com/questions/70511433/jquery-datepicker-calendar-position-is-showing-off-screen,jquery datepicker calendar position is showing off screen,,,,,
46,"['css', 'angular']","{'account_id': 3761179, 'reputation': 840, 'user_id': 3126121, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://i.stack.imgur.com/VXGT3.jpg?s=256&g=1', 'display_name': 'zaggi', 'link': 'https://stackoverflow.com/users/3126121/zaggi'}",False,135,1,2,1662728546,1638311338,70176925,CC BY-SA 4.0,https://stackoverflow.com/questions/70176925/negating-the-selection-of-host-context-locally,Negating the selection of :host-context() locally,,,1638452496.0,,
47,"['php', 'html', 'css', 'laravel', 'vue.js']","{'account_id': 23695564, 'reputation': 1, 'user_id': 17719323, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/455b31a13c140231bb2ed2403b604262?s=256&d=identicon&r=PG', 'display_name': 'CoffeeCoder', 'link': 'https://stackoverflow.com/users/17719323/coffeecoder'}",False,318,1,0,1662541857,1639957819,70416183,CC BY-SA 4.0,https://stackoverflow.com/questions/70416183/dynamically-generate-a-pdf-using-existing-data-and-design-using-vuejs,Dynamically generate a PDF using existing data and design using Vuejs,,,1639960789.0,,
