,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from,locked_date,community_owned_date
10,"['html', 'css', 'width', 'inline']","{'account_id': 1554401, 'reputation': 145, 'user_id': 1445975, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/2e59eefe9461189cbf805711dae8877c?s=256&d=identicon&r=PG', 'display_name': 'user1445975', 'link': 'https://stackoverflow.com/users/1445975/user1445975'}",True,2236,1,4,1664896990,1339487364,10992500,CC BY-SA 4.0,https://stackoverflow.com/questions/10992500/div-at-100-of-page-width-minus-the-width-of-a-fixed-div-on-the-right-but-with,"Div at 100% of page width, minus the width of a fixed div on the right (but without setting a margin-right)",1664896990.0,10992753.0,,,,,,
11,"['css', 'css-selectors', 'pseudo-class']","{'account_id': 272282, 'reputation': 7619, 'user_id': 563282, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/8lg7t.jpg?s=256&g=1', 'display_name': 'technopeasant', 'link': 'https://stackoverflow.com/users/563282/technopeasant'}",True,88767,2,82,1664794293,1339014815,10921809,,https://stackoverflow.com/questions/10921809/css-3-nth-of-type-restricted-to-class,CSS 3 nth of type restricted to class,1664746225.0,10931957.0,,1461769810.0,Duplicate,,,
12,"['html', 'css', 'stylesheet']","{'account_id': 1434422, 'reputation': 18394, 'user_id': 1356127, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/CgOP3.jpg?s=256&g=1', 'display_name': 'veer7', 'link': 'https://stackoverflow.com/users/1356127/veer7'}",True,2995,5,0,1664671707,1339683458,11035053,CC BY-SA 4.0,https://stackoverflow.com/questions/11035053/how-to-restrict-style-to-only-part-of-html,How to restrict style to only part of HTML,1664664790.0,11035080.0,,,,,,
13,"['javascript', 'css']","{'account_id': 1339478, 'reputation': 3985, 'user_id': 1281472, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/9612528473f46e88a7fa5a675c65e87c?s=256&d=identicon&r=PG', 'display_name': 'imhere', 'link': 'https://stackoverflow.com/users/1281472/imhere'}",True,182859,15,194,1664631303,1339701536,11039885,CC BY-SA 4.0,https://stackoverflow.com/questions/11039885/scrollintoview-causing-the-whole-page-to-move,ScrollIntoView() causing the whole page to move,1664631194.0,11041376.0,1576062722.0,,,,,
14,"['css', 'css-selectors']","{'account_id': 258534, 'reputation': 1919, 'user_id': 540772, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/730d11e5f8115945c4ffc9bbd2df4c03?s=256&d=identicon&r=PG', 'display_name': 'Lionel', 'link': 'https://stackoverflow.com/users/540772/lionel'}",True,10563,3,7,1664294106,1340353021,11152526,CC BY-SA 3.0,https://stackoverflow.com/questions/11152526/with-css-only-select-first-occurrence-of-class-throughout-whole-document,With CSS only: Select first occurrence of class throughout whole document,1495541302.0,,,,,,,
15,"['html', 'css', 'tablerow']","{'account_id': 1498708, 'reputation': 1651, 'user_id': 1404044, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/7d9ee526f7e9047552b6d5fa2188935d?s=256&d=identicon&r=PG', 'display_name': 'Shady', 'link': 'https://stackoverflow.com/users/1404044/shady'}",True,354787,14,152,1663931761,1339091899,10937218,CC BY-SA 3.0,https://stackoverflow.com/questions/10937218/how-to-show-multiline-text-in-a-table-cell,How to show multiline text in a table cell,1501359528.0,10937254.0,,,,,,
16,"['html', 'css', 'border-radius']","{'account_id': 420460, 'reputation': 1168, 'user_id': 798173, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/46b09aebb4b07f6642c25c0f194872c0?s=256&d=identicon&r=PG', 'display_name': 'diracdeltafunk', 'link': 'https://stackoverflow.com/users/798173/diracdeltafunk'}",True,19100,5,37,1663876663,1339564818,11008614,CC BY-SA 4.0,https://stackoverflow.com/questions/11008614/border-radius-doesnt-affect-inner-elements,Border-radius doesn&#39;t affect inner elements,1663876663.0,11008670.0,,,,,,
17,"['css', 'sass', 'background-color', 'mixins', 'rgba']","{'account_id': 1186979, 'reputation': 6841, 'user_id': 1160747, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://i.stack.imgur.com/AxSzR.jpg?s=256&g=1', 'display_name': 'Rick Donohoe', 'link': 'https://stackoverflow.com/users/1160747/rick-donohoe'}",True,204327,6,266,1663642654,1339062584,10929458,CC BY-SA 3.0,https://stackoverflow.com/questions/10929458/sass-converting-hex-to-rgba-for-background-opacity,Sass - Converting Hex to RGBa for background opacity,1409156367.0,10939797.0,,,,,,
18,"['css', 'twitter-bootstrap']","{'account_id': 147494, 'reputation': 5875, 'user_id': 358649, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/a04456df899360d29f8520cfce616c31?s=256&d=identicon&r=PG', 'display_name': 'Fixer', 'link': 'https://stackoverflow.com/users/358649/fixer'}",True,510273,18,226,1663483847,1338806433,10879955,CC BY-SA 3.0,https://stackoverflow.com/questions/10879955/how-to-align-an-image-dead-center-with-bootstrap,How to align an image dead center with bootstrap,1399327889.0,20561635.0,1465905052.0,,,,,
19,['css'],"{'account_id': 1551797, 'reputation': 4803, 'user_id': 1444027, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/0aaf33fc4d6ac3e1f903284d8ebf65b6?s=256&d=identicon&r=PG', 'display_name': 'user1444027', 'link': 'https://stackoverflow.com/users/1444027/user1444027'}",True,565608,11,332,1663075804,1340551686,11178673,CC BY-SA 3.0,https://stackoverflow.com/questions/11178673/how-to-override-important,How to override !important?,1397647100.0,11178731.0,1657554251.0,,,,,
20,"['css', 'html', 'wrapper']","{'account_id': 1547196, 'reputation': 349, 'user_id': 1440480, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/f6308945469760bd1b2a67fed290d949?s=256&d=identicon&r=PG', 'display_name': 'user1440480', 'link': 'https://stackoverflow.com/users/1440480/user1440480'}",True,57243,2,34,1663054807,1340219584,11126557,CC BY-SA 3.0,https://stackoverflow.com/questions/11126557/parent-div-is-smaller-than-child-div,Parent div is smaller than child div?,1454301898.0,11126604.0,,,,,,
21,"['html', 'css']","{'account_id': 1521103, 'reputation': 6600, 'user_id': 1420724, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/xcCGK.jpg?s=256&g=1', 'display_name': 'Jacob Windsor', 'link': 'https://stackoverflow.com/users/1420724/jacob-windsor'}",True,982504,23,475,1662815188,1339461657,10989238,CC BY-SA 4.0,https://stackoverflow.com/questions/10989238/how-to-center-image-horizontally-within-a-div-element,How to center image horizontally within a div element?,1662815188.0,10989261.0,1613142218.0,,,,,
22,"['javascript', 'css', 'performance', 'parsing', 'colors']","{'account_id': 47197, 'reputation': 18080, 'user_id': 139667, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://www.gravatar.com/avatar/e083e1865879535bb75306472b4ba5d0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Trident D&#39;Gao', 'link': 'https://stackoverflow.com/users/139667/trident-dgao'}",True,26342,12,30,1662282606,1339896105,11068240,CC BY-SA 3.0,https://stackoverflow.com/questions/11068240/what-is-the-most-efficient-way-to-parse-a-css-color-in-javascript,What is the most efficient way to parse a CSS color in JavaScript?,1359167164.0,11068286.0,,,,,,
23,"['css', 'responsive-design', 'background-image']","{'account_id': 1548139, 'reputation': 1, 'user_id': 1441165, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bc662cbfc4c87746ed0e7b55b1b00439?s=256&d=identicon&r=PG', 'display_name': 'user1441165', 'link': 'https://stackoverflow.com/users/1441165/user1441165'}",False,658,1,-1,1661876352,1339036339,10924902,CC BY-SA 4.0,https://stackoverflow.com/questions/10924902/css-menu-with-background-image-how-to-make-it-scale-up-and-down-correctly-with,CSS Menu with background-image. How to make it scale up and down correctly with % and EM,1661876352.0,,,,,,,
24,"['css', 'mobile']","{'account_id': 1345448, 'reputation': 41, 'user_id': 1286306, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a5efef932ec66da84191ac60ba1c0cdb?s=256&d=identicon&r=PG', 'display_name': 'tambourine', 'link': 'https://stackoverflow.com/users/1286306/tambourine'}",True,1127,2,3,1661876336,1339695228,11038366,CC BY-SA 4.0,https://stackoverflow.com/questions/11038366/px-or-em-when-creating-a-website-for-mobile-devices,px or em when creating a website for mobile devices?,1661876336.0,11038528.0,,,,,,
25,"['css', 'font-size']","{'account_id': 1508255, 'reputation': 4872, 'user_id': 1418853, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/01b9f99dfc3c66702b35f0f5ad4898ce?s=256&d=identicon&r=PG', 'display_name': 'batman', 'link': 'https://stackoverflow.com/users/1418853/batman'}",True,419,1,1,1661807741,1339757265,11049229,CC BY-SA 4.0,https://stackoverflow.com/questions/11049229/css-text-shadow-differences-in-chrome-and-mozilla,css text-shadow differences in chrome and mozilla,1661807741.0,11076008.0,,,,,,
26,"['css', 'font-size']","{'account_id': 50886, 'reputation': 2882, 'user_id': 151894, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/0046585e1022fcd3b503c63f2956dfc4?s=256&d=identicon&r=PG', 'display_name': 'Elisabeth', 'link': 'https://stackoverflow.com/users/151894/elisabeth'}",True,2926,3,5,1661807713,1340066064,11092927,CC BY-SA 4.0,https://stackoverflow.com/questions/11092927/how-is-css-em-measurement-used-for-height-or-border-radius-measured,How is CSS em measurement used for height or border-radius measured?,1661807713.0,11093711.0,,,,,,
27,"['css', 'textarea', 'font-size']","{'account_id': 1088354, 'reputation': 2137, 'user_id': 1083552, 'user_type': 'registered', 'accept_rate': 43, 'profile_image': 'https://www.gravatar.com/avatar/fa1da8ea46204b46fe976585274c3bfb?s=256&d=identicon&r=PG', 'display_name': 'Abhinav Kulshreshtha', 'link': 'https://stackoverflow.com/users/1083552/abhinav-kulshreshtha'}",True,2786,2,2,1661807702,1340476376,11171977,CC BY-SA 4.0,https://stackoverflow.com/questions/11171977/text-area-with-em-not-working-in-ie-and-opera,Text-area with em not working in IE and Opera,1661807702.0,11172593.0,,,,,,
28,"['html', 'css']","{'account_id': 1023392, 'reputation': 26286, 'user_id': 1033200, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://i.stack.imgur.com/tfakI.jpg?s=256&g=1', 'display_name': 'Sowmya', 'link': 'https://stackoverflow.com/users/1033200/sowmya'}",True,216652,12,58,1661604028,1339768291,11051951,CC BY-SA 4.0,https://stackoverflow.com/questions/11051951/how-do-i-vertically-align-text-in-a-paragraph,How do I vertically align text in a paragraph?,1598869589.0,11052011.0,,,,,,
29,"['html', 'css', 'html-table']","{'account_id': 1130675, 'reputation': 8420, 'user_id': 1116831, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/131df9fbe08dba6649cc5de70ddf1c73?s=256&d=identicon&r=PG', 'display_name': 'Wilson', 'link': 'https://stackoverflow.com/users/1116831/wilson'}",True,35144,6,18,1661333352,1339687665,11036395,CC BY-SA 3.0,https://stackoverflow.com/questions/11036395/easy-styling-of-all-tds-in-a-table-or-in-a-div,Easy styling of all Td&#39;s in a table or in a div,1477434237.0,11036445.0,,,,,,
30,"['css', 'internet-explorer']","{'account_id': 1080556, 'reputation': 8690, 'user_id': 1077670, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/261438780ef25a4db1d5b6ca26341dac?s=256&d=identicon&r=PG', 'display_name': 'FastTrack', 'link': 'https://stackoverflow.com/users/1077670/fasttrack'}",True,405734,13,202,1660516048,1340486676,11173106,CC BY-SA 3.0,https://stackoverflow.com/questions/11173106/apply-style-only-on-ie,Apply style ONLY on IE,1340492753.0,11173118.0,,,,,,
31,"['css', 'css-expressions']","{'account_id': 456731, 'reputation': 1606, 'user_id': 855640, 'user_type': 'registered', 'accept_rate': 32, 'profile_image': 'https://www.gravatar.com/avatar/70affd4ef36a584ae7bcc4103fb326c7?s=256&d=identicon&r=PG', 'display_name': 'Pavan Kumar', 'link': 'https://stackoverflow.com/users/855640/pavan-kumar'}",True,804,2,1,1659801803,1338967408,10909846,CC BY-SA 3.0,https://stackoverflow.com/questions/10909846/using-css-expressions-are-good-or-bad,Using CSS Expressions are good or bad?,,,,,,,,
32,"['css', 'ruby-on-rails', 'radio-button']","{'account_id': 1261998, 'reputation': 413, 'user_id': 1220018, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/6bf8914a972e6bf5184e2aa60c42d943?s=256&d=identicon&r=PG', 'display_name': 'vesselll', 'link': 'https://stackoverflow.com/users/1220018/vesselll'}",True,1601,1,1,1656779654,1340997447,11267694,CC BY-SA 4.0,https://stackoverflow.com/questions/11267694/ruby-on-rails-adding-several-radio-buttons-to-the-same-line-in-a-form,Ruby on rails - adding several radio buttons to the same line in a form,1656779654.0,11267998.0,,,,,,
33,"['html', 'css', 'html-table']","{'account_id': 1393816, 'reputation': 13895, 'user_id': 1324019, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/c3d0466ace0d2e8bfb8a5b089188e725?s=256&d=identicon&r=PG', 'display_name': 'Mansfield', 'link': 'https://stackoverflow.com/users/1324019/mansfield'}",True,624118,6,369,1656428766,1340994829,11267154,CC BY-SA 4.0,https://stackoverflow.com/questions/11267154/fit-cell-width-to-content,Fit cell width to content,1656428148.0,11267268.0,1645609681.0,,,,,
34,"['html', 'css']","{'account_id': 422791, 'reputation': 3795, 'user_id': 801773, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/9408b366aebee3a8bc4410b6a859b53c?s=256&d=identicon&r=PG', 'display_name': 'Joshc', 'link': 'https://stackoverflow.com/users/801773/joshc'}",False,7200,3,6,1655218835,1339155014,10947989,CC BY-SA 3.0,https://stackoverflow.com/questions/10947989/center-horizontally-block-element-which-has-dynamic-width-css-only-cross-brows,Center horizontally block element which has dynamic width - CSS only cross browser,1339405236.0,,,,,,,
35,"['javascript', 'html', 'css', 'dom-events']","{'account_id': 1388961, 'reputation': 21, 'user_id': 1320272, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ab0ec3f96bba2f36086c13b6219ee639?s=256&d=identicon&r=PG', 'display_name': 'Manish Kumar', 'link': 'https://stackoverflow.com/users/1320272/manish-kumar'}",False,360,2,0,1655194284,1338908075,10899631,CC BY-SA 4.0,https://stackoverflow.com/questions/10899631/displaying-a-div-on-click-of-select-menu-without-showing-the-drop-down-javascrip,Displaying a div on click of select menu without showing the drop down JavaScript,1655194284.0,,,,,,,
36,"['javascript', 'html', 'css', 'dom', 'dom-events']","{'account_id': 1541781, 'reputation': 3407, 'user_id': 1436247, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/uGDkL.jpg?s=256&g=1', 'display_name': 'zdebruine', 'link': 'https://stackoverflow.com/users/1436247/zdebruine'}",True,2631,3,0,1655194235,1339118255,10941950,CC BY-SA 4.0,https://stackoverflow.com/questions/10941950/change-element-id-onmouseover-onmouseout-any-element-in-a-class,Change element ID onmouseover/onmouseout any element in a class,1655194235.0,10942533.0,,,,,,
37,"['css', 'css-tables']","{'account_id': 1215367, 'reputation': 740, 'user_id': 1183075, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/f04561775eac47768c87ee31a78c1a61?s=256&d=identicon&r=PG', 'display_name': 'George', 'link': 'https://stackoverflow.com/users/1183075/george'}",True,79311,11,42,1655143926,1338768447,10874985,CC BY-SA 3.0,https://stackoverflow.com/questions/10874985/box-shadow-on-table-row-not-appearing-on-certain-browsers,Box Shadow on table row not appearing on certain browsers,1457970549.0,17610047.0,,,,,,
38,"['css', 'html', 'google-chrome', 'webkit', 'color-picker']","{'account_id': 1187383, 'reputation': 6664, 'user_id': 1161076, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/965dd88de2bf006d0d3571e794de956b?s=256&d=identicon&r=PG', 'display_name': 'BrianFreud', 'link': 'https://stackoverflow.com/users/1161076/brianfreud'}",True,100967,12,69,1655141361,1340431139,11167281,CC BY-SA 4.0,https://stackoverflow.com/questions/11167281/webkit-css-to-control-the-box-around-the-color-in-an-inputtype-color,Webkit CSS to control the box around the color in an input[type=color]?,1602756865.0,11471224.0,,,,,,
39,"['html', 'css', 'image']","{'account_id': 1241225, 'reputation': 31, 'user_id': 1203782, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b36c669f8796f713e7a3532625048496?s=256&d=identicon&r=PG', 'display_name': 'Setu Shah', 'link': 'https://stackoverflow.com/users/1203782/setu-shah'}",True,2050,1,-2,1654704977,1339505747,10997113,CC BY-SA 4.0,https://stackoverflow.com/questions/10997113/two-column-blocks-with-image-and-text,Two column blocks with image and text,1654704977.0,10997634.0,,,,,,
40,"['javascript', 'jquery', 'css', 'jquery-events']","{'account_id': 378066, 'reputation': 3920, 'user_id': 730569, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/fba56dc30f7787a51b395342210e4181?s=256&d=identicon&r=PG', 'display_name': 'user730569', 'link': 'https://stackoverflow.com/users/730569/user730569'}",True,14818,6,29,1654456143,1338701017,10868104,CC BY-SA 4.0,https://stackoverflow.com/questions/10868104/can-you-have-a-javascript-hook-trigger-after-a-dom-elements-style-object-change,Can you have a JavaScript hook trigger after a DOM element&#39;s style object changes?,1654456143.0,11004907.0,,,,,,
41,"['html', 'css', 'height', 'parent']","{'account_id': 1206959, 'reputation': 8773, 'user_id': 1176359, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://i.stack.imgur.com/57uXe.jpg?s=256&g=1', 'display_name': 'Alvaro', 'link': 'https://stackoverflow.com/users/1176359/alvaro'}",True,188645,9,147,1654447141,1340799194,11225912,CC BY-SA 4.0,https://stackoverflow.com/questions/11225912/make-div-height-occupy-parent-remaining-height,Make div (height) occupy parent remaining height,1648239943.0,11226029.0,1522855435.0,,,,,
42,"['html', 'web-applications', 'css', 'webkit-animation']","{'account_id': 470135, 'reputation': 1873, 'user_id': 877165, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/8e2d304f58bd2c24f8adf447f2086c88?s=256&d=identicon&r=PG', 'display_name': 'TERMtm', 'link': 'https://stackoverflow.com/users/877165/termtm'}",True,19544,2,12,1654361835,1340108296,11100747,CC BY-SA 3.0,https://stackoverflow.com/questions/11100747/css-translation-vs-changing-absolute-positioning-values,CSS translation vs changing absolute positioning values,,11101512.0,,,,,,
43,"['html', 'css', 'background-image', 'responsive', 'responsive-images']","{'account_id': 1284068, 'reputation': 2075, 'user_id': 1237513, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/f9773e9cedd5cdae8a7f5d73ac6502c0?s=256&d=identicon&r=PG', 'display_name': 'Darryl Young', 'link': 'https://stackoverflow.com/users/1237513/darryl-young'}",True,533881,9,98,1654228655,1340105087,11099930,CC BY-SA 4.0,https://stackoverflow.com/questions/11099930/100-width-background-image-with-an-auto-height,100% width background image with an &#39;auto&#39; height,1654228590.0,11100103.0,,,,,,
44,"['html', 'css', 'space']","{'account_id': 1508839, 'reputation': 1461, 'user_id': 1411473, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/ltWC8.jpg?s=256&g=1', 'display_name': 'Fewfre', 'link': 'https://stackoverflow.com/users/1411473/fewfre'}",True,132504,5,22,1654189604,1339590122,11014724,CC BY-SA 3.0,https://stackoverflow.com/questions/11014724/space-between-two-divs,Space between two divs,1371149925.0,11014778.0,,,,,,
45,"['css', 'html', 'overriding', 'font-size']","{'account_id': 1371099, 'reputation': 105, 'user_id': 1306278, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/620d62eb6c3e6613fe24250e418674eb?s=256&d=identicon&r=PG', 'display_name': 'Sascha C', 'link': 'https://stackoverflow.com/users/1306278/sascha-c'}",True,66045,5,8,1654027733,1339788002,11056902,CC BY-SA 3.0,https://stackoverflow.com/questions/11056902/override-font-size-in-a-div-using-css,Override font size in a DIV using CSS,,11056963.0,,,,,,
46,"['html', 'css', 'vertical-alignment']","{'account_id': 102794, 'reputation': 1040, 'user_id': 275712, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://www.gravatar.com/avatar/e474bf34ede6eb79e14fcfc79adc0375?s=256&d=identicon&r=PG', 'display_name': 'balanza', 'link': 'https://stackoverflow.com/users/275712/balanza'}",False,531,1,0,1653314576,1340612556,11185735,CC BY-SA 4.0,https://stackoverflow.com/questions/11185735/align-content-at-bottom-of-columns,align content at bottom of columns,1653314576.0,,,,,,,
47,"['css', 'webkit', 'position']","{'account_id': 390492, 'reputation': 4798, 'user_id': 750593, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/ec62acaba7d7a1225af9afd08fc1b91f?s=256&d=identicon&r=PG', 'display_name': 'cchana', 'link': 'https://stackoverflow.com/users/750593/cchana'}",True,86952,13,77,1652365482,1340960375,11258877,CC BY-SA 4.0,https://stackoverflow.com/questions/11258877/fixed-element-disappears-in-chrome,Fixed element disappears in Chrome,1643703181.0,11365462.0,,,,,,
