,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,protected_date,closed_date,closed_reason,locked_date,migrated_from,community_owned_date
10,"['javascript', 'css', 'html', 'forms']","{'account_id': 62035, 'reputation': 5468, 'user_id': 184532, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/77ca0de93e53929d332c4690294672e5?s=256&d=identicon&r=PG', 'display_name': 'kjs3', 'link': 'https://stackoverflow.com/users/184532/kjs3'}",True,166426,20838527.0,21,191,1667068826,1331770648,9712295,CC BY-SA 3.0,https://stackoverflow.com/questions/9712295/disable-scrolling-on-input-type-number,Disable scrolling on `&lt;input type=number&gt;`,1517333179.0,1398952039.0,,,,,
11,"['html', 'css', 'border']","{'account_id': 360116, 'reputation': 8232, 'user_id': 701928, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/ed38f9f4c82eb50464bfe758a086002a?s=256&d=identicon&r=PG', 'display_name': 'TheMonkeyMan', 'link': 'https://stackoverflow.com/users/701928/themonkeyman'}",True,1325747,9601431.0,15,651,1666782845,1331122584,9601357,CC BY-SA 3.0,https://stackoverflow.com/questions/9601357/placing-border-inside-of-div-and-not-on-its-edge,Placing border inside of div and not on its edge,1422290318.0,,,,,,
12,"['html', 'twitter-bootstrap', 'css']","{'account_id': 1185111, 'reputation': 2669, 'user_id': 1159248, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/a6d9cec0e941926418d552bb15d6874d?s=256&d=identicon&r=PG', 'display_name': 'Olly F', 'link': 'https://stackoverflow.com/users/1159248/olly-f'}",True,193644,10905698.0,5,79,1665917842,1331858202,9730263,CC BY-SA 4.0,https://stackoverflow.com/questions/9730263/setting-max-width-for-body-using-bootstrap,Setting max width for body using Bootstrap,1573011271.0,1428892743.0,,,,,
13,"['html', 'css', 'layout', 'frontend']","{'account_id': 348402, 'reputation': 6807, 'user_id': 683068, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/ee844481d12ccb25c5d399e56120358f?s=256&d=identicon&r=PG', 'display_name': 'Wordpressor', 'link': 'https://stackoverflow.com/users/683068/wordpressor'}",True,6172,,6,9,1665847460,1333115499,9944317,CC BY-SA 3.0,https://stackoverflow.com/questions/9944317/what-to-do-when-websites-too-short-and-theres-an-empty-space-below-footer,What to do when website&#39;s &quot;too short&quot; and there&#39;s an empty space below footer?,,,,,,,
14,['css'],"{'account_id': 1239095, 'reputation': 10094, 'user_id': 1202123, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://i.stack.imgur.com/aqOyn.gif?s=256&g=1', 'display_name': 'Joey', 'link': 'https://stackoverflow.com/users/1202123/joey'}",True,21052,,3,17,1665781272,1330717325,9539378,CC BY-SA 3.0,https://stackoverflow.com/questions/9539378/stretching-a-div-to-fit-absolutely-positioned-content,Stretching a div to fit absolutely positioned content,,,,,,,
15,['css'],"{'account_id': 1343615, 'reputation': 125, 'user_id': 1284766, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/1820d7c1cf0e2262cabc212d45439842?s=256&d=identicon&r=PG', 'display_name': 'Robson Silveira', 'link': 'https://stackoverflow.com/users/1284766/robson-silveira'}",True,436,9955338.0,2,1,1665774432,1333167419,9952977,CC BY-SA 3.0,https://stackoverflow.com/questions/9952977/many-classes-using-same-css-property-is-there-some-issue-with-css-performance,Many classes using same css property is there some issue with css performance?,,,,,,,
16,"['css', 'w3c-validation']","{'account_id': 419920, 'reputation': 587, 'user_id': 797336, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/b455c05ef4637d1be5cac359aa3179a9?s=256&d=identicon&r=PG', 'display_name': 'Karine', 'link': 'https://stackoverflow.com/users/797336/karine'}",True,946,9745436.0,3,2,1665773581,1331936872,9745284,CC BY-SA 4.0,https://stackoverflow.com/questions/9745284/css2-1-validation-fails-for-font-weight,CSS2.1 validation fails for font-weight,1665773581.0,,,,,,
17,"['html', 'css']","{'account_id': 48179, 'reputation': 47424, 'user_id': 143030, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/7ab1baf18a91ab4055923c5fd01d68a2?s=256&d=identicon&r=PG', 'display_name': 'JasonDavis', 'link': 'https://stackoverflow.com/users/143030/jasondavis'}",True,18023,9955992.0,3,14,1664887985,1333197867,9955967,CC BY-SA 3.0,https://stackoverflow.com/questions/9955967/how-to-use-a-css-sprite-for-a-repeating-background-image,How to use a CSS sprite for a Repeating background image?,,,,,,,
18,"['php', 'html', 'css']","{'account_id': 1336523, 'reputation': 41, 'user_id': 1279140, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0d3305b9b6bf63e5dbb07d377d97cf3e?s=256&d=identicon&r=PG', 'display_name': 'Bench Penshopp', 'link': 'https://stackoverflow.com/users/1279140/bench-penshopp'}",True,3582,,4,4,1664743201,1332177446,9774729,,https://stackoverflow.com/questions/9774729/a-forward-slash-at-end-of-url-breaks-css,A forward slash at end of URL breaks CSS,1664740979.0,,1664741596.0,Duplicate,,,
19,"['php', 'mysql', 'html', 'css']","{'account_id': 83324, 'reputation': 15428, 'user_id': 233679, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/d3d5963e03d6556ce76ff1799c43939e?s=256&d=identicon&r=PG', 'display_name': 'PHP Ferrari', 'link': 'https://stackoverflow.com/users/233679/php-ferrari'}",True,50373,,4,6,1664469796,1332448197,9830009,CC BY-SA 4.0,https://stackoverflow.com/questions/9830009/change-background-color-of-html-area-element,Change background color of HTML &lt;area&gt; element,1664469796.0,,,,,,
20,"['css', 'css-selectors']","{'account_id': 123499, 'reputation': 5791, 'user_id': 317979, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/bccd8c9d2f5a4e0db4d5a1f9bb8349d1?s=256&d=identicon&r=PG', 'display_name': 'jon', 'link': 'https://stackoverflow.com/users/317979/jon'}",True,274755,9836182.0,5,216,1664416071,1332492095,9836151,CC BY-SA 3.0,https://stackoverflow.com/questions/9836151/what-is-this-css-selector-class-span,What is this CSS selector? [class*=&quot;span&quot;],1360523904.0,,,,,,
21,"['css', 'jsf', 'primefaces', 'facelets']","{'account_id': 1093871, 'reputation': 219, 'user_id': 1087904, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/69d7031e6e28dad8ab10430f170d6f58?s=256&d=identicon&r=PG', 'display_name': 'ogok', 'link': 'https://stackoverflow.com/users/1087904/ogok'}",True,31747,9917603.0,4,5,1664355791,1332949702,9911172,CC BY-SA 3.0,https://stackoverflow.com/questions/9911172/changing-the-primefaces-header-style-of-panel-component,changing the primefaces header style of panel component,1332981303.0,,,,,,
22,"['user-interface', 'css', 'frontend']","{'account_id': 1153552, 'reputation': 45, 'user_id': 1134756, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/543c1c8a5a3f6a4e1a847bd21e2c595f?s=256&d=identicon&r=PG', 'display_name': 'Julio Salvat', 'link': 'https://stackoverflow.com/users/1134756/julio-salvat'}",True,6540,,4,0,1664063047,1331328836,9641306,CC BY-SA 3.0,https://stackoverflow.com/questions/9641306/i-need-to-be-able-to-change-the-background-color-of-li-when-selected-with-the-mo,I need to be able to change the background color of li when selected with the mouse. using css only,1331329056.0,,,,,,
23,"['html', 'css', 'cross-browser']","{'account_id': 212616, 'reputation': 33164, 'user_id': 465546, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/d67cc0a6798555fd468d2d5a00ae9927?s=256&d=identicon&r=PG', 'display_name': 'qwertymk', 'link': 'https://stackoverflow.com/users/465546/qwertymk'}",True,25534,9600439.0,9,14,1663448960,1331118650,9600357,CC BY-SA 3.0,https://stackoverflow.com/questions/9600357/should-i-be-using-nav-or-ul,Should I be using nav or ul,1331127302.0,,,,,,
24,"['html', 'css', 'css-position', 'absolute']","{'account_id': 39580, 'reputation': 380502, 'user_id': 114251, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://i.stack.imgur.com/sNLiB.jpg?s=256&g=1', 'display_name': 'Arun P Johny', 'link': 'https://stackoverflow.com/users/114251/arun-p-johny'}",True,220826,9735567.0,8,57,1663320812,1331893370,9735513,CC BY-SA 3.0,https://stackoverflow.com/questions/9735513/how-to-place-a-div-on-the-right-side-with-absolute-position,How to place a div on the right side with absolute position,1435135093.0,,,,,,
25,"['javascript', 'html', 'css']","{'account_id': 251261, 'reputation': 6070, 'user_id': 528507, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/dfbbd590c6f04ed2e5722ee1210e78c8?s=256&d=identicon&r=PG', 'display_name': 'Hemlock', 'link': 'https://stackoverflow.com/users/528507/hemlock'}",True,42219,9948869.0,10,79,1663250999,1332271250,9793473,CC BY-SA 3.0,https://stackoverflow.com/questions/9793473/text-overflow-ellipsis-on-left-side,Text-overflow ellipsis on left side,1412885933.0,,,,,,
26,"['html', 'css']","{'account_id': 380142, 'reputation': 542, 'user_id': 733967, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/6eaf95d55b85a4fff994da44ab53ee16?s=256&d=identicon&r=PG', 'display_name': 'swenflea', 'link': 'https://stackoverflow.com/users/733967/swenflea'}",True,99914,,7,33,1663239544,1332134707,9765402,CC BY-SA 3.0,https://stackoverflow.com/questions/9765402/why-is-is-top50-in-css-not-working,Why is is top:50% in css not working?,1332134905.0,,,,,,
27,"['html', 'css', 'html-select', 'prototypejs']","{'account_id': 337495, 'reputation': 15370, 'user_id': 665800, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/8be01531e6ea5798571bf1eb5826627f?s=256&d=identicon&r=PG', 'display_name': 'shanethehat', 'link': 'https://stackoverflow.com/users/665800/shanethehat'}",True,586,9626705.0,1,0,1662492370,1331248540,9626574,CC BY-SA 4.0,https://stackoverflow.com/questions/9626574/highlight-part-of-the-text-within-an-option-tag,Highlight part of the text within an option tag,1662492370.0,,,,,,
28,"['javascript', 'css', 'html']","{'account_id': 373105, 'reputation': 10567, 'user_id': 722531, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/49711b2fca804d2a97355e7334c007a6?s=256&d=identicon&r=PG', 'display_name': 'sumit', 'link': 'https://stackoverflow.com/users/722531/sumit'}",True,591500,9862275.0,14,175,1662069099,1332695233,9862167,CC BY-SA 3.0,https://stackoverflow.com/questions/9862167/positioning-div-element-at-center-of-screen,Positioning &lt;div&gt; element at center of screen,1408582678.0,1432202535.0,,,,,
29,"['css', 'font-size']","{'account_id': 6104, 'reputation': 3106, 'user_id': 10135, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/eea12bb48fbb9cc2512e6cf89e257dc6?s=256&d=identicon&r=PG', 'display_name': 'daveywc', 'link': 'https://stackoverflow.com/users/10135/daveywc'}",True,13280,9507611.0,1,8,1661973719,1330552188,9507223,,https://stackoverflow.com/questions/9507223/max-width-using-em,max-width using em,1661973719.0,,1661973769.0,Duplicate,,,
30,"['css', 'internet-explorer']","{'account_id': 256204, 'reputation': 26953, 'user_id': 536768, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/430991b22a96d87c7880046590f22dbe?s=256&d=identicon&r=PG', 'display_name': 'frequent', 'link': 'https://stackoverflow.com/users/536768/frequent'}",True,18185,9548329.0,2,7,1661973691,1330796583,9548289,CC BY-SA 4.0,https://stackoverflow.com/questions/9548289/how-many-pixels-is-1em-in-ie8,How many pixels is 1em in IE8?,1661973691.0,,,,,,
31,"['html', 'css', 'internet-explorer-7', 'internet-explorer-6']","{'account_id': 484538, 'reputation': 6153, 'user_id': 900271, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/c1beb55646e7b7b2829a7f903a2dc809?s=256&d=identicon&r=PG', 'display_name': 'Ole Henrik Skogstr&#248;m', 'link': 'https://stackoverflow.com/users/900271/ole-henrik-skogstr%c3%b8m'}",True,439,12544889.0,1,1,1661876507,1332810997,9882107,CC BY-SA 4.0,https://stackoverflow.com/questions/9882107/layout-problems-using-base-font-size-in-ie6-7-the-em-px-bug,Layout problems using base font size in IE6/7 - the em/px bug,1661876507.0,,,,,,
32,"['css', 'menu']","{'account_id': 1137327, 'reputation': 297, 'user_id': 1122111, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://www.gravatar.com/avatar/82295b2df8c99c2ebd352f26f2afdfa1?s=256&d=identicon&r=PG', 'display_name': 'Saimon Avazian', 'link': 'https://stackoverflow.com/users/1122111/saimon-avazian'}",False,12824,,3,2,1661655920,1331114571,9599315,CC BY-SA 3.0,https://stackoverflow.com/questions/9599315/ul-li-selected-in-horizontal-css-menu,UL LI selected in horizontal CSS menu,1434487301.0,,,,,,
33,['css'],"{'account_id': 1258423, 'reputation': 559, 'user_id': 1217380, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/22ca4f8c0f1e0a399fa47cb5e769ce13?s=256&d=identicon&r=PG', 'display_name': 'user1217380', 'link': 'https://stackoverflow.com/users/1217380/user1217380'}",True,168233,9897383.0,13,41,1661599671,1332880583,9897306,CC BY-SA 3.0,https://stackoverflow.com/questions/9897306/font-face-not-working,@font-face not working,1332914240.0,,,,,,
34,"['javascript', 'jquery', 'css', 'scroll']","{'account_id': 1011934, 'reputation': 5871, 'user_id': 1024322, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/pm2Uh.jpg?s=256&g=1', 'display_name': 'xorinzor', 'link': 'https://stackoverflow.com/users/1024322/xorinzor'}",True,647878,11013994.0,50,413,1661250396,1330714808,9538868,CC BY-SA 4.0,https://stackoverflow.com/questions/9538868/prevent-body-from-scrolling-when-a-modal-is-opened,Prevent BODY from scrolling when a modal is opened,1582381007.0,1501292118.0,,,,,
35,"['html', 'css', 'html-table']","{'account_id': 342182, 'reputation': 6634, 'user_id': 673206, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/nKJut.jpg?s=256&g=1', 'display_name': 'Maarten', 'link': 'https://stackoverflow.com/users/673206/maarten'}",True,106788,13075273.0,7,41,1660808831,1330635305,9523927,CC BY-SA 4.0,https://stackoverflow.com/questions/9523927/how-to-stop-table-from-resizing-when-contents-grow,How to stop table from resizing when contents grow?,1546445515.0,,,,,,
36,"['html', 'css', 'margin', 'css-reset']","{'account_id': 1019939, 'reputation': 1682, 'user_id': 1030576, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/3056c5185987f1265aca9235680a0bcd?s=256&d=identicon&r=PG', 'display_name': 'Anthony', 'link': 'https://stackoverflow.com/users/1030576/anthony'}",True,134460,9547315.0,7,50,1660636543,1330788723,9547291,CC BY-SA 3.0,https://stackoverflow.com/questions/9547291/how-to-remove-margin-space-around-body-or-clear-default-css-styles,How to remove margin space around body or clear default css styles,1408421898.0,,,,,,
37,"['css', 'html', 'alignment']","{'user_type': 'does_not_exist', 'display_name': 'user1245135'}",True,40561,,8,3,1659831652,1330696696,9534501,CC BY-SA 4.0,https://stackoverflow.com/questions/9534501/html-css-div-not-aligning-at-top-of-page,HTML/CSS div not aligning at top of page,1659831652.0,,,,,,
38,"['css', 'html', 'html-table']","{'account_id': 1118075, 'reputation': 1547, 'user_id': 1106952, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4ed6106200291c9e2611f4f7b63438cd?s=256&d=identicon&r=PG', 'display_name': 'TheDavidFactor', 'link': 'https://stackoverflow.com/users/1106952/thedavidfactor'}",True,27099,,4,6,1659431341,1332730647,9866074,CC BY-SA 3.0,https://stackoverflow.com/questions/9866074/getting-a-table-to-fill-100-height-in-a-td,Getting a table to fill 100% height in a td,1519757134.0,,,,,,
39,"['css', 'svg']","{'account_id': 948983, 'reputation': 29832, 'user_id': 975566, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/75f945ecacb75c315681710b709fb207?s=256&d=identicon&r=PG', 'display_name': 'Samantha J T Star', 'link': 'https://stackoverflow.com/users/975566/samantha-j-t-star'}",True,509077,,12,284,1659278881,1330671575,9529300,CC BY-SA 4.0,https://stackoverflow.com/questions/9529300/can-i-change-the-fill-color-of-an-svg-path-with-css,Can I change the fill color of an svg path with CSS?,1659278776.0,,,,,,
40,"['html', 'css', 'xhtml', 'newsletter']","{'account_id': 475250, 'reputation': 8245, 'user_id': 885457, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/qsoP6.jpg?s=256&g=1', 'display_name': 'themhz', 'link': 'https://stackoverflow.com/users/885457/themhz'}",True,33232,9761500.0,3,19,1659002701,1332098050,9761412,,https://stackoverflow.com/questions/9761412/convert-web-html-to-e-mail-html,Convert web html to e-mail Html,,,1434142589.0,Not suitable for this site,,,
41,"['html', 'css']","{'account_id': 1090131, 'reputation': 953, 'user_id': 1084933, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/1170dc46e8f17e72ec361d34790ca206?s=256&d=identicon&r=PG', 'display_name': 'FreshBits', 'link': 'https://stackoverflow.com/users/1084933/freshbits'}",True,69797,9808340.0,11,12,1658717563,1332345427,9808253,CC BY-SA 3.0,https://stackoverflow.com/questions/9808253/how-to-set-shadow-for-round-imagecss,how to set shadow for round image(css),,,,,,,
42,"['javascript', 'jquery', 'css', 'overflow']","{'account_id': 241064, 'reputation': 10837, 'user_id': 511659, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/9805e5882640d474087a3f56d9ac76f1?s=256&d=identicon&r=PG', 'display_name': 'catandmouse', 'link': 'https://stackoverflow.com/users/511659/catandmouse'}",True,56480,9866868.0,8,11,1658344389,1332732004,9866220,CC BY-SA 3.0,https://stackoverflow.com/questions/9866220/why-are-two-vertical-scrollbars-showing,Why are two vertical scrollbars showing?,1409253102.0,,,,,,
43,"['javascript', 'html', 'css', 'scrollbar']","{'account_id': 1212387, 'reputation': 6794, 'user_id': 1180686, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/83d2eb9deb6a6afc0f1d58339012dcee?s=256&d=identicon&r=PG', 'display_name': 'Jerome Ansia', 'link': 'https://stackoverflow.com/users/1180686/jerome-ansia'}",True,172313,9945713.0,4,42,1658175220,1333119800,9945547,CC BY-SA 3.0,https://stackoverflow.com/questions/9945547/how-to-create-a-custom-scrollbar-on-a-div-facebook-style,How to create a custom scrollbar on a div (Facebook style),1432129278.0,1658188713.0,,,,,
44,"['html', 'margin', 'css']","{'account_id': 98533, 'reputation': 17851, 'user_id': 266642, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/4d45a9b79038183fde12b4f660789d42?s=256&d=identicon&r=PG', 'display_name': 'jamietelin', 'link': 'https://stackoverflow.com/users/266642/jamietelin'}",True,330782,9519933.0,14,412,1657876304,1330618654,9519841,CC BY-SA 4.0,https://stackoverflow.com/questions/9519841/why-does-this-css-margin-top-style-not-work,Why does this CSS margin-top style not work?,1657875494.0,1450755717.0,,,,,
45,"['ellipsis', 'css']","{'account_id': 105499, 'reputation': 38828, 'user_id': 281488, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/4c25e10a1e79423af0b998a4498ab3cc?s=256&d=identicon&r=PG', 'display_name': 'sadmicrowave', 'link': 'https://stackoverflow.com/users/281488/sadmicrowave'}",True,36161,9931634.0,5,19,1657470451,1333046900,9931542,CC BY-SA 3.0,https://stackoverflow.com/questions/9931542/css-text-overflow-ellipsis-not-displaying,CSS Text-overflow Ellipsis Not Displaying,1333056024.0,,,,,,
46,"['css', 'css-animations']","{'account_id': 336885, 'reputation': 12953, 'user_id': 664806, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/4bdb5f653f22a09fa7dab2c7d81573a9?s=256&d=identicon&r=PG', 'display_name': 'SparrwHawk', 'link': 'https://stackoverflow.com/users/664806/sparrwhawk'}",True,115290,9774884.0,5,123,1657205731,1332177818,9774829,CC BY-SA 3.0,https://stackoverflow.com/questions/9774829/css-animation-property-stays-after-animating,CSS Animation property stays after animating,1332178018.0,,,,,,
47,"['html', 'css', 'tags', 'bold']","{'account_id': 246686, 'reputation': 56224, 'user_id': 520957, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://i.stack.imgur.com/bLCif.jpg?s=256&g=1', 'display_name': 'J&#233;r&#244;me Verstrynge', 'link': 'https://stackoverflow.com/users/520957/j%c3%a9r%c3%b4me-verstrynge'}",True,8566,9751683.0,4,4,1656886174,1332001750,9751679,CC BY-SA 3.0,https://stackoverflow.com/questions/9751679/what-could-cause-a-bold-tag-b-to-be-ignored,What could cause a bold tag &lt;b&gt; to be ignored?,1332003054.0,,,,,,
48,"['css', 'forms', 'radio-button']","{'account_id': 918706, 'reputation': 515, 'user_id': 950897, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/02944cc273c995895fbf389c428c3022?s=256&d=identicon&r=PG', 'display_name': 'Kristi Simonson', 'link': 'https://stackoverflow.com/users/950897/kristi-simonson'}",True,1273,9913104.0,2,0,1656781895,1332955758,9912686,CC BY-SA 4.0,https://stackoverflow.com/questions/9912686/radio-button-list-and-label-not-lining-up,Radio button list and label not lining up,1656781895.0,,,,,,
