,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,migrated_from,closed_date,closed_reason,locked_date,community_owned_date
13,"['javascript', 'css', 'validation']","{'account_id': 336024, 'reputation': 50974, 'user_id': 663447, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/3c5a518c8611ad19f80640cc80fe4383?s=256&d=identicon&r=PG', 'display_name': 'Harry', 'link': 'https://stackoverflow.com/users/663447/harry'}",True,6021,,9014854.0,4,5,1662766899,1327560857,1495535645.0,9014804,CC BY-SA 3.0,https://stackoverflow.com/questions/9014804/javascript-validate-css,javascript validate css,,,,,
14,"['html', 'css', 'html-table']","{'account_id': 1130175, 'reputation': 7711, 'user_id': 1116467, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/4179283cf6ac21e80b6e99f1afc9d968?s=256&d=identicon&r=PG', 'display_name': 'Rajagopal 웃', 'link': 'https://stackoverflow.com/users/1116467/rajagopal-%ec%9b%83'}",True,1055595,,8986325.0,9,321,1662637857,1327405423,1622215324.0,8986260,CC BY-SA 4.0,https://stackoverflow.com/questions/8986260/how-to-center-the-contents-of-an-html-table,How to center the contents of an HTML table?,,,,,
15,"['css', 'forms', 'select']","{'account_id': 968894, 'reputation': 854, 'user_id': 991830, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/355ca03808b78246168d04e12d7e99e3?s=256&d=identicon&r=PG', 'display_name': 'user991830', 'link': 'https://stackoverflow.com/users/991830/user991830'}",True,64833,,9079021.0,5,18,1662591075,1328010094,1662591075.0,9078927,CC BY-SA 4.0,https://stackoverflow.com/questions/9078927/css-select-dropdown-bold-on-some-options,css select dropdown bold on some &lt;option&gt;&#39;s,,,,,
16,['css'],"{'account_id': 388228, 'reputation': 35290, 'user_id': 747024, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://i.stack.imgur.com/9wB4E.jpg?s=256&g=1', 'display_name': 'ilyo', 'link': 'https://stackoverflow.com/users/747024/ilyo'}",True,169283,,8785677.0,5,201,1661961007,1326098072,,8785643,CC BY-SA 3.0,https://stackoverflow.com/questions/8785643/what-exactly-is-device-pixel-ratio,what exactly is device pixel ratio?,,,,,
17,"['html', 'css', 'href']","{'account_id': 1182911, 'reputation': 2774, 'user_id': 1157442, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/621df3a625d37737779be2dc907b7a11?s=256&d=identicon&r=PG', 'display_name': 'Rbijker.com', 'link': 'https://stackoverflow.com/users/1157442/rbijker-com'}",True,460547,1469920593.0,8919740.0,5,236,1661787869,1326934065,1391981265.0,8919682,CC BY-SA 3.0,https://stackoverflow.com/questions/8919682/remove-all-styling-formatting-from-hyperlinks,Remove ALL styling/formatting from hyperlinks,,,,,
18,['css'],"{'account_id': 92097, 'reputation': 719, 'user_id': 252563, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/91d9783ec167165791984a463f074af4?s=256&d=identicon&r=PG', 'display_name': 'Hutch', 'link': 'https://stackoverflow.com/users/252563/hutch'}",True,102,,,1,0,1660843768,1326816708,1660843768.0,8904257,,https://stackoverflow.com/questions/8904257/web-browser-support-for-the-point-unit,Web browser support for the point unit,"{'other_site': {'aliases': ['https://webmaster.stackexchange.com'], 'styling': {'tag_background_color': '#FFF', 'tag_foreground_color': '#1B8FBB', 'link_color': '#1C69A4'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'webmasters.meta', 'site_url': 'https://webmasters.meta.stackexchange.com', 'name': 'Webmasters Meta Stack Exchange'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=webmasters.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['Prettify'], 'launch_date': 1286997420, 'open_beta_date': 1279220400, 'closed_beta_date': 1278615600, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/webmasters/Img/apple-touch-icon@2.png', 'twitter_account': 'StackWebmasters', 'favicon_url': 'https://cdn.sstatic.net/Sites/webmasters/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/webmasters/Img/apple-touch-icon.png', 'audience': 'webmasters', 'site_url': 'https://webmasters.stackexchange.com', 'api_site_parameter': 'webmasters', 'logo_url': 'https://cdn.sstatic.net/Sites/webmasters/Img/logo.png', 'name': 'Webmasters', 'site_type': 'main_site'}, 'on_date': 1326852332, 'question_id': 24697}",,,,
19,"['javascript', 'css', 'macos', 'dom', 'google-chrome']","{'account_id': 13514, 'reputation': 5871, 'user_id': 27214, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/9363bf4644ea57ecf2b6b7ea7c4e3b8b?s=256&d=identicon&r=PG', 'display_name': 'Jason Kester', 'link': 'https://stackoverflow.com/users/27214/jason-kester'}",True,361772,,,25,250,1658284369,1326394050,1326394825.0,8840580,CC BY-SA 3.0,https://stackoverflow.com/questions/8840580/force-dom-redraw-refresh-on-chrome-mac,Force DOM redraw/refresh on Chrome/Mac,,,,,
20,['css'],"{'account_id': 283840, 'reputation': 1753, 'user_id': 581581, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/2cd6e8dd5168c043cd3c696b0b23bc5f?s=256&d=identicon&r=PG', 'display_name': 'CsharpBeginner', 'link': 'https://stackoverflow.com/users/581581/csharpbeginner'}",True,75462,,,4,11,1658254582,1326991150,1584114267.0,8929781,CC BY-SA 4.0,https://stackoverflow.com/questions/8929781/css-align-to-bottom-of-page,Css align to bottom of page,,,,,
21,"['html', 'css']","{'account_id': 936538, 'reputation': 5233, 'user_id': 965369, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/2102fb5e03428fb53fd9725ac5797359?s=256&d=identicon&r=PG', 'display_name': 'user965369', 'link': 'https://stackoverflow.com/users/965369/user965369'}",True,116431,,,12,97,1656352268,1326380000,,8837050,CC BY-SA 3.0,https://stackoverflow.com/questions/8837050/allow-specific-tag-to-override-overflowhidden,Allow specific tag to override overflow:hidden,,,,,
22,['css'],"{'account_id': 946895, 'reputation': 4207, 'user_id': 973964, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/58b2d1fb1b26919389cabcced0834a3d?s=256&d=identicon&r=PG', 'display_name': 'BalaKrishnan웃', 'link': 'https://stackoverflow.com/users/973964/balakrishnan%ec%9b%83'}",True,32500,,8971805.0,6,39,1655884391,1327318670,1610124299.0,8971004,CC BY-SA 4.0,https://stackoverflow.com/questions/8971004/how-to-render-a-border-to-a-div-without-occupying-any-extra-space,How to render a border to a div without occupying any extra space?,,,,,
23,"['css', 'google-chrome', 'printing', 'header', 'footer']","{'account_id': 1104722, 'reputation': 2280, 'user_id': 1096376, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'FURKAN ILGIN', 'link': 'https://stackoverflow.com/users/1096376/furkan-ilgin'}",False,7360,,,2,7,1655762835,1326892817,1495542213.0,8910807,CC BY-SA 3.0,https://stackoverflow.com/questions/8910807/custom-header-and-footer-in-html-page,Custom header and footer in html page,,,,,
24,"['html', 'css']","{'account_id': 389277, 'reputation': 9668, 'user_id': 748656, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/df22748331683adcd1b4b6175514e2c4?s=256&d=identicon&r=PG', 'display_name': 'Doc Holiday', 'link': 'https://stackoverflow.com/users/748656/doc-holiday'}",True,85317,,8917280.0,10,20,1655460893,1326920028,1546591704.0,8917235,CC BY-SA 4.0,https://stackoverflow.com/questions/8917235/html-two-tables-horizontally-side-by-side,HTML — Two Tables Horizontally Side by Side,,,,,
25,"['html', 'css', 'ipad']","{'account_id': 66902, 'reputation': 7981, 'user_id': 196038, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://i.stack.imgur.com/vaJ8i.jpg?s=256&g=1', 'display_name': 'ncubica', 'link': 'https://stackoverflow.com/users/196038/ncubica'}",True,28996,,9060446.0,4,31,1655443592,1327906886,1327907225.0,9060421,CC BY-SA 3.0,https://stackoverflow.com/questions/9060421/css3-how-to-restore-webkit-scrollbar-property-to-the-default-scroll-bar,CSS3 - How to &quot;restore&quot; ::-webkit-scrollbar property to the default scroll bar,,,,,
26,"['html', 'css', 'css-float', 'margin']","{'account_id': 1076309, 'reputation': 1355, 'user_id': 1074378, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/4b57d3cae7e0033819c3ed85d1b1c865?s=256&d=identicon&r=PG', 'display_name': 'user1074378', 'link': 'https://stackoverflow.com/users/1074378/user1074378'}",True,567079,,9068085.0,8,113,1655146014,1327943836,1615976665.0,9067892,CC BY-SA 4.0,https://stackoverflow.com/questions/9067892/how-to-align-two-elements-on-the-same-line-without-changing-html,How to align two elements on the same line without changing HTML,,,,,
27,"['html', 'css']","{'account_id': 12337, 'reputation': 3279, 'user_id': 24218, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/b4c729b4a32c7498dc800a29f6e4c74a?s=256&d=identicon&r=PG', 'display_name': 'timkl', 'link': 'https://stackoverflow.com/users/24218/timkl'}",True,5607,,8879891.0,3,6,1655143239,1326715981,,8879866,CC BY-SA 3.0,https://stackoverflow.com/questions/8879866/delay-when-loading-css-background-images,Delay when loading CSS background images,,,,,
28,"['html', 'css']","{'account_id': 931907, 'reputation': 736, 'user_id': 961646, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://i.stack.imgur.com/i8vsU.jpg?s=256&g=1', 'display_name': 'Monkeybrain', 'link': 'https://stackoverflow.com/users/961646/monkeybrain'}",True,539,,8782128.0,3,2,1655002642,1326062438,,8782025,CC BY-SA 3.0,https://stackoverflow.com/questions/8782025/i-cant-understand-what-this-malicious-html-css-is-doing,I can&#39;t understand what this malicious HTML/CSS is doing,,,,,
29,"['javascript', 'html', 'jquery', 'css', 'jquery-events']","{'account_id': 18234, 'reputation': 46124, 'user_id': 41613, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/ilGek.jpg?s=256&g=1', 'display_name': 'ʞɔıu', 'link': 'https://stackoverflow.com/users/41613/%ca%9e%c9%94%c4%b1u'}",True,9103,,9090890.0,4,12,1654468774,1327125552,1654468774.0,8951051,CC BY-SA 4.0,https://stackoverflow.com/questions/8951051/event-propagation-overlay-and-drag-and-drop-events,"Event propagation, overlay and drag-and-drop events",,,,,
30,"['jquery', 'css', 'html', 'footer']","{'account_id': 1163620, 'reputation': 259, 'user_id': 1142649, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/51393f759de4b781757d58f1ba6f32ee?s=256&d=identicon&r=PG', 'display_name': 'Rafael Fonseca', 'link': 'https://stackoverflow.com/users/1142649/rafael-fonseca'}",True,101836,,8815810.0,10,23,1653593539,1326267721,1485425990.0,8815784,CC BY-SA 3.0,https://stackoverflow.com/questions/8815784/how-to-keep-footer-at-the-bottom-even-with-dynamic-height-website,How to keep footer at the bottom even with dynamic height website,,,,,
31,"['css', 'sass', 'minify']","{'account_id': 24203, 'reputation': 21715, 'user_id': 61410, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/f6dec0a61dbb283bf3e2a658d6710180?s=256&d=identicon&r=PG', 'display_name': 'tester', 'link': 'https://stackoverflow.com/users/61410/tester'}",True,169304,1458577472.0,8980421.0,5,286,1653423970,1327363469,,8980398,CC BY-SA 3.0,https://stackoverflow.com/questions/8980398/sass-watch-with-automatic-minify,sass --watch with automatic minify?,,,,,
32,"['css', 'regex']","{'account_id': 391958, 'reputation': 6540, 'user_id': 752920, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/Oi9pN.jpg?s=256&g=1', 'display_name': 'Ankit', 'link': 'https://stackoverflow.com/users/752920/ankit'}",True,204976,,8903451.0,6,171,1653049383,1326844119,,8903313,CC BY-SA 3.0,https://stackoverflow.com/questions/8903313/using-regular-expression-in-css,Using regular expression in css?,,,,,
33,['css'],"{'account_id': 1209222, 'reputation': 1, 'user_id': 1178107, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fa8515effebee1dfefc88909c5ac0fd5?s=256&d=identicon&r=PG', 'display_name': 'user1178107', 'link': 'https://stackoverflow.com/users/1178107/user1178107'}",False,88,,,1,-1,1652795599,1327929084,1652795599.0,9064392,CC BY-SA 4.0,https://stackoverflow.com/questions/9064392/style-16px-font-without-calling-p,Style 16px font without calling &lt;p&gt;,,,,,
34,"['javascript', 'css']","{'account_id': 729347, 'reputation': 3717, 'user_id': 673108, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/f8d15887113618a42e3dfa9b5a068c93?s=256&d=identicon&r=PG', 'display_name': 'Hakan', 'link': 'https://stackoverflow.com/users/673108/hakan'}",True,82282,,8742302.0,6,36,1652127163,1325765296,1652127163.0,8742249,CC BY-SA 4.0,https://stackoverflow.com/questions/8742249/how-to-set-prefixed-css3-transitions-using-javascript,How to set prefixed CSS3 transitions using JavaScript?,,,,,
35,"['css', 'css-selectors', 'pseudo-class']","{'account_id': 265236, 'reputation': 70356, 'user_id': 552067, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/12ce9b9ec9f98fdbe2b3c47eedfbfcc9?s=256&d=identicon&r=PG', 'display_name': 'Web_Designer', 'link': 'https://stackoverflow.com/users/552067/web-designer'}",True,177391,,,4,141,1652126799,1326430098,1592644375.0,8846075,CC BY-SA 4.0,https://stackoverflow.com/questions/8846075/css3-unchecked-pseudo-class,CSS3 :unchecked pseudo-class,,,,,
36,"['html', 'css']","{'account_id': 1153728, 'reputation': 379, 'user_id': 1134898, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/92b1202303cf87a697d5d06039379df6?s=256&d=identicon&r=PG', 'display_name': 'carinlynchin', 'link': 'https://stackoverflow.com/users/1134898/carinlynchin'}",True,11311,,8762442.0,7,3,1651805558,1325873328,1325885741.0,8762383,CC BY-SA 3.0,https://stackoverflow.com/questions/8762383/cant-center-a-ul-inside-a-div,Can&#39;t center a ul inside a div,,,,,
37,"['html', 'css', 'css-position', 'z-index']","{'account_id': 1194907, 'reputation': 477, 'user_id': 1166844, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c95f37d590a09cb2e9f40cd9bad91c76?s=256&d=identicon&r=PG', 'display_name': 'Chris Vaarhorst', 'link': 'https://stackoverflow.com/users/1166844/chris-vaarhorst'}",True,99465,,,4,46,1651647711,1327404625,1651647711.0,8986071,CC BY-SA 4.0,https://stackoverflow.com/questions/8986071/how-to-use-z-index-with-relative-positioning,how to use z-index with relative positioning?,,,,,
38,['css'],"{'account_id': 429080, 'reputation': 34801, 'user_id': 811785, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/mftvN.jpg?s=256&g=1', 'display_name': 'Saeed Neamati', 'link': 'https://stackoverflow.com/users/811785/saeed-neamati'}",True,110343,,9063069.0,2,146,1650542033,1327922181,1428961722.0,9062988,,https://stackoverflow.com/questions/9062988/newline-character-sequence-in-css-content-property,Newline character sequence in CSS &#39;content&#39; property?,,1428961382.0,Duplicate,,
39,"['javascript', 'html', 'css', 'dom-events']","{'account_id': 486103, 'reputation': 4497, 'user_id': 902817, 'user_type': 'registered', 'accept_rate': 66, 'profile_image': 'https://www.gravatar.com/avatar/c2253310183ad6e9efda175b7c7fc00e?s=256&d=identicon&r=PG', 'display_name': 'monk', 'link': 'https://stackoverflow.com/users/902817/monk'}",True,190295,,8960307.0,13,99,1650429062,1327225061,1566413688.0,8960193,CC BY-SA 4.0,https://stackoverflow.com/questions/8960193/how-to-make-html-element-resizable-using-pure-javascript,How to make HTML element resizable using pure Javascript?,,,,,
40,"['css', 'css-selectors']","{'account_id': 1077702, 'reputation': 351, 'user_id': 1168709, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b93c690a3cf225ac9e7a8bac8666d6f9?s=256&d=identicon&r=PG', 'display_name': 'Jake', 'link': 'https://stackoverflow.com/users/1168709/jake'}",True,8709,,71891846.0,3,10,1650093043,1327479284,1327724537.0,8999568,CC BY-SA 3.0,https://stackoverflow.com/questions/8999568/css-is-it-possible-to-select-multiple-different-child-elements-within-a-parent,CSS - Is it possible to select multiple different child elements within a parent without repeating the parent?,,,,,
41,"['css', 'node.js', 'compression']","{'user_type': 'does_not_exist', 'display_name': 'user578895'}",True,2004,,8918385.0,5,13,1649851057,1326920372,1649851057.0,8917322,CC BY-SA 4.0,https://stackoverflow.com/questions/8917322/are-there-any-agressive-css-minification-tools,Are there any agressive CSS Minification tools?,,,,,
42,"['html', 'css']","{'user_type': 'does_not_exist', 'display_name': 'user1096269'}",True,101341,,,5,44,1649413573,1326203947,1326210809.0,8804417,CC BY-SA 3.0,https://stackoverflow.com/questions/8804417/css-border-where-only-half-of-a-border-is-visible,CSS - Border where only half of a border is visible,,,,,
43,"['css', 'operators', 'less']","{'account_id': 396732, 'reputation': 333, 'user_id': 760465, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/LMmi0.jpg?s=256&g=1', 'display_name': 'HappyElephant', 'link': 'https://stackoverflow.com/users/760465/happyelephant'}",True,32755,,8762434.0,3,33,1648532101,1325872596,,8762225,CC BY-SA 3.0,https://stackoverflow.com/questions/8762225/how-to-calculate-percentages-in-less-css,How to calculate percentages in LESS CSS?,,,,,
44,"['css', 'css-selectors']","{'account_id': 406214, 'reputation': 1701, 'user_id': 775600, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/0c9d02c2a995ed56034ed3f1de379a69?s=256&d=identicon&r=PG&f=1', 'display_name': 'SkinnyG33k', 'link': 'https://stackoverflow.com/users/775600/skinnyg33k'}",True,21403,,8945881.0,2,16,1647609937,1327082359,1647609937.0,8945787,CC BY-SA 4.0,https://stackoverflow.com/questions/8945787/trouble-finding-selector-to-use-for-first-span-in-a-div,Trouble finding selector to use for first span in a div,,,,,
45,"['jquery', 'css', 'post', 'mouse-cursor']","{'account_id': 1059375, 'reputation': 453, 'user_id': 1061317, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/bc764fe757551efdfd6971f53275d985?s=256&d=identicon&r=PG', 'display_name': 'Rowan', 'link': 'https://stackoverflow.com/users/1061317/rowan'}",False,329,,,2,0,1647443232,1325358919,1647443232.0,8690038,CC BY-SA 4.0,https://stackoverflow.com/questions/8690038/why-does-changing-the-css-cursor-property-stop-my-ajax-post-from-working,why does changing the css cursor property stop my ajax post from working?,,,,,
