,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,accepted_answer_id,closed_date,closed_reason,migrated_from,community_owned_date
11,"['css', 'html']","{'account_id': 905578, 'reputation': 6010, 'user_id': 940569, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/b56ce4bbdaf3e023e4b0abebca03cdea?s=256&d=identicon&r=PG', 'display_name': 'Przemek', 'link': 'https://stackoverflow.com/users/940569/przemek'}",True,20073,4,24,1666969953,1329744783,,9361990,CC BY-SA 3.0,https://stackoverflow.com/questions/9361990/making-html-content-unbreakable-in-one-line,Making html content unbreakable (in one line),,9362033.0,,,,
12,"['html', 'css']","{'account_id': 134714, 'reputation': 833, 'user_id': 337047, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/b47281d72efc8d8a6ecae0e0801e1427?s=256&d=identicon&r=PG', 'display_name': 'Che Kofif', 'link': 'https://stackoverflow.com/users/337047/che-kofif'}",True,10926,5,11,1666301456,1328277967,1423159323.0,9129862,CC BY-SA 3.0,https://stackoverflow.com/questions/9129862/how-can-i-wrap-text-around-a-non-rectangular-image,How can I wrap text around a non rectangular image?,,9129970.0,,,,
13,"['css', 'django']","{'account_id': 1059510, 'reputation': 15725, 'user_id': 1061426, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/25168a6bb2e34ea3c822ab2fdfa33b5b?s=256&d=identicon&r=PG', 'display_name': 'bharal', 'link': 'https://stackoverflow.com/users/1061426/bharal'}",True,75708,7,35,1665996615,1328403049,1495540455.0,9145994,CC BY-SA 3.0,https://stackoverflow.com/questions/9145994/a-simple-example-of-django-and-css,A simple example of Django and CSS,,9147294.0,,,,
14,"['html', 'css']","{'account_id': 85186, 'reputation': 20965, 'user_id': 237681, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/3LFl6.png?s=256&g=1', 'display_name': 'good_evening', 'link': 'https://stackoverflow.com/users/237681/good-evening'}",True,37667,14,88,1665989114,1330272594,1632019094.0,9454645,CC BY-SA 4.0,https://stackoverflow.com/questions/9454645/does-id-have-to-be-unique-in-the-whole-page,Does ID have to be unique in the whole page?,,9454716.0,,,,
15,"['html', 'css']","{'account_id': 208333, 'reputation': 31576, 'user_id': 458742, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/ee0a7599f30c29076a3c9a2c022e473b?s=256&d=identicon&r=PG', 'display_name': 'spraff', 'link': 'https://stackoverflow.com/users/458742/spraff'}",True,5034,4,0,1665961248,1329141242,1329141677.0,9261720,CC BY-SA 3.0,https://stackoverflow.com/questions/9261720/css-displaying-displayblock-elements-inside-displayinline-elements,CSS: displaying display:block elements inside display:inline elements,,9261826.0,,,,
16,"['html', 'css', 'w3c-validation']","{'account_id': 1235745, 'reputation': 59, 'user_id': 1199354, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/c51e6a4a336d52336e3d2cb8b192eaef?s=256&d=identicon&r=PG', 'display_name': 'Tapas Chandra', 'link': 'https://stackoverflow.com/users/1199354/tapas-chandra'}",True,5123,2,0,1665691857,1329390693,1665691842.0,9310256,CC BY-SA 4.0,https://stackoverflow.com/questions/9310256/how-to-solve-this-character-not-allowed-in-prolog-error-in-my-css-file,How to solve this &#39;character not allowed in prolog&#39; error in my CSS file,,,,,,
17,"['css', 'position', 'margin']","{'account_id': 423152, 'reputation': 3941, 'user_id': 802370, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/48c9e32a225680b3859d3ed379018ee1?s=256&d=identicon&r=PG', 'display_name': 'kirby', 'link': 'https://stackoverflow.com/users/802370/kirby'}",True,120612,10,50,1665630317,1329667733,1445425146.0,9350775,CC BY-SA 3.0,https://stackoverflow.com/questions/9350775/set-position-absolute-and-margin,Set position absolute and margin,,9350796.0,,,,
18,"['javascript', 'css', 'html']","{'account_id': 1128908, 'reputation': 1434, 'user_id': 1115454, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://graph.facebook.com/100001867519270/picture?type=large', 'display_name': 'Danish Iqbal', 'link': 'https://stackoverflow.com/users/1115454/danish-iqbal'}",True,167647,5,55,1665427294,1330147849,,9441557,CC BY-SA 3.0,https://stackoverflow.com/questions/9441557/how-to-increase-browser-zoom-level-on-page-load,How to Increase browser zoom level on page load?,1457228303.0,9441618.0,,,,
19,"['css', 'overlay', 'lightbox']","{'account_id': 1132795, 'reputation': 6168, 'user_id': 1118481, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/9f897641d0fda1ccdc883ad25902ce17?s=256&d=identicon&r=PG', 'display_name': 'PotatoFro', 'link': 'https://stackoverflow.com/users/1118481/potatofro'}",True,1030648,23,565,1665085765,1329236027,1477418172.0,9280258,CC BY-SA 3.0,https://stackoverflow.com/questions/9280258/prevent-body-scrolling-but-allow-overlay-scrolling,Prevent body scrolling but allow overlay scrolling,1466515814.0,9280412.0,,,,
20,"['html', 'css']","{'account_id': 121224, 'reputation': 162975, 'user_id': 314166, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/zL1re.jpg?s=256&g=1', 'display_name': 'sawa', 'link': 'https://stackoverflow.com/users/314166/sawa'}",True,84918,1,77,1664958744,1329814039,1523688393.0,9374509,CC BY-SA 3.0,https://stackoverflow.com/questions/9374509/width100-vs-widthinherit,width:100% vs. width:inherit,,9374612.0,,,,
21,"['html', 'css', 'positioning', 'css-position']","{'account_id': 184113, 'reputation': 58436, 'user_id': 419956, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/ab00b6c461dcf852df10c077a0a2b4eb?s=256&d=identicon&r=PG', 'display_name': 'Jeroen', 'link': 'https://stackoverflow.com/users/419956/jeroen'}",True,32490,3,19,1664796023,1329951668,1664796023.0,9404603,CC BY-SA 4.0,https://stackoverflow.com/questions/9404603/absolute-positioning-with-percentages-giving-unexpected-results,Absolute positioning with percentages giving unexpected results,,9404641.0,,,,
22,"['html', 'css', 'whitespace']","{'account_id': 350536, 'reputation': 9494, 'user_id': 686481, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/d5e8817011bf40f20c518af3c0dc7187?s=256&d=identicon&r=PG', 'display_name': 'DQdlM', 'link': 'https://stackoverflow.com/users/686481/dqdlm'}",True,194401,4,55,1664640246,1328359751,1664639765.0,9140999,CC BY-SA 4.0,https://stackoverflow.com/questions/9140999/how-can-i-insert-vertical-blank-space-into-an-html-document,How can I insert vertical blank space into an HTML document?,,9141084.0,,,,
23,"['javascript', 'jquery', 'internet-explorer-8', 'css']","{'account_id': 1227369, 'reputation': 5949, 'user_id': 1192687, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/gjjbb.jpg?s=256&g=1', 'display_name': 'BurebistaRuler', 'link': 'https://stackoverflow.com/users/1192687/burebistaruler'}",True,78680,16,36,1664534817,1330068630,1393443965.0,9426979,CC BY-SA 3.0,https://stackoverflow.com/questions/9426979/border-radius-for-ie8,Border Radius for IE8,,,,,,
24,"['html', 'css', 'z-index']","{'account_id': 1070924, 'reputation': 3243, 'user_id': 1070236, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/b89ccb565344a283894de76b03ef7bea?s=256&d=identicon&r=PG', 'display_name': 'Linkjuice57', 'link': 'https://stackoverflow.com/users/1070236/linkjuice57'}",True,443447,10,284,1664463756,1328698053,1463606264.0,9191803,CC BY-SA 3.0,https://stackoverflow.com/questions/9191803/why-does-z-index-not-work,Why does z-index not work?,,9191845.0,,,,
25,"['html', 'css', 'html-table']","{'account_id': 916519, 'reputation': 151, 'user_id': 949208, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e38544404afe202f082eee4909211042?s=256&d=identicon&r=PG', 'display_name': 'bioJim', 'link': 'https://stackoverflow.com/users/949208/biojim'}",False,9359,1,0,1664305365,1330294501,1546466286.0,9457718,CC BY-SA 4.0,https://stackoverflow.com/questions/9457718/table-like-layout-with-offset-multiple-row-span-cells-browser-collapses-a-row,"Table-like layout, with offset multiple-row-span cells - browser collapses a row",,,,,,
26,"['html', 'css', 'colors']","{'account_id': 1246444, 'reputation': 483, 'user_id': 1207793, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9661c7cbb43fe4e11fa38cee93f99f8d?s=256&d=identicon&r=PG', 'display_name': 'Alexei', 'link': 'https://stackoverflow.com/users/1207793/alexei'}",True,103342,12,30,1663977923,1329168859,1372362856.0,9268386,CC BY-SA 3.0,https://stackoverflow.com/questions/9268386/css-for-changing-color-of-last-word-in-h1,CSS for changing color of last word in h1,,9268874.0,,,,
27,"['javascript', 'css']","{'account_id': 890985, 'reputation': 3005, 'user_id': 929265, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/10162156862bfb52e921052edfdfff52?s=256&d=identicon&r=PG', 'display_name': 'www.amitpatil.me', 'link': 'https://stackoverflow.com/users/929265/www-amitpatil-me'}",True,624,5,0,1663833668,1329983837,1329984186.0,9409099,CC BY-SA 3.0,https://stackoverflow.com/questions/9409099/how-to-align-text-and-image-verticle-middle-in-div,how to align text and image verticle middle in div,,9409156.0,,,,
28,['css'],"{'account_id': 296248, 'reputation': 9911, 'user_id': 601095, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/35473ae65b00c9c10ab6be83e6f4c2d5?s=256&d=identicon&r=PG', 'display_name': 'Doboy', 'link': 'https://stackoverflow.com/users/601095/doboy'}",True,4773,7,3,1663681172,1329292108,,9289632,,https://stackoverflow.com/questions/9289632/where-is-a-good-place-to-learn-css,where is a good place to learn css?,,9289668.0,1329402308.0,not constructive,,
29,"['css', 'wordpress', 'wordpress-theming', 'twitter-bootstrap']","{'account_id': 979913, 'reputation': 724, 'user_id': 999908, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/807994f676d036e76b710165e044ff3c?s=256&d=identicon&r=PG', 'display_name': 'gerobk', 'link': 'https://stackoverflow.com/users/999908/gerobk'}",True,2149,2,1,1663574619,1329748637,1663574619.0,9362858,CC BY-SA 4.0,https://stackoverflow.com/questions/9362858/filtering-current-menu-item-class-to-use-active-instead,Filtering &#39;current-menu-item&#39; class to use &#39;active&#39; instead,,12444304.0,,,,
30,"['ipad', 'css', 'webkit', 'media-queries']","{'account_id': 1107812, 'reputation': 117916, 'user_id': 1098851, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/ZGpKJ.jpg?s=256&g=1', 'display_name': 'Fabrizio Calderan', 'link': 'https://stackoverflow.com/users/1098851/fabrizio-calderan'}",True,6554,2,6,1663574553,1328779748,1663574553.0,9208245,CC BY-SA 4.0,https://stackoverflow.com/questions/9208245/a-reliable-media-query-to-detect-only-ipad-or-at-best-1024x768-mobile-devices,A reliable media query to detect only iPad (or at best 1024x768 mobile devices),,,,,,
31,"['javascript', 'jquery', 'css', 'dom']","{'account_id': 398291, 'reputation': 9936, 'user_id': 762889, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/62990be9191527cf0695a5838e832c11?s=256&d=identicon&r=PG', 'display_name': 'Jesse Atkinson', 'link': 'https://stackoverflow.com/users/762889/jesse-atkinson'}",True,284002,17,128,1663337874,1328908162,1663337874.0,9234830,CC BY-SA 4.0,https://stackoverflow.com/questions/9234830/how-to-hide-a-option-in-a-select-menu-with-css,How to hide a &lt;option&gt; in a &lt;select&gt; menu with CSS?,,9234883.0,,,,
32,"['css', 'google-chrome']","{'account_id': 1253830, 'reputation': 1771, 'user_id': 1213707, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9cced725e50f26d7a1acfa7887ee7eab?s=256&d=identicon&r=PG', 'display_name': 'user1213707', 'link': 'https://stackoverflow.com/users/1213707/user1213707'}",True,284422,13,112,1663169239,1329484214,1663169239.0,9328832,CC BY-SA 4.0,https://stackoverflow.com/questions/9328832/how-to-apply-specific-css-rules-to-chrome-only,How to apply specific CSS rules to Chrome only?,,,,,,
33,"['css', 'python-sphinx', 'directive', 'restructuredtext']","{'account_id': 341212, 'reputation': 1574, 'user_id': 671672, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/5746941ace59cab13863190212845433?s=256&d=identicon&r=PG', 'display_name': 'equaeghe', 'link': 'https://stackoverflow.com/users/671672/equaeghe'}",True,4708,3,21,1662939436,1328543574,1662939436.0,9162891,CC BY-SA 4.0,https://stackoverflow.com/questions/9162891/define-mark-up-for-generic-sphinx-admonitions-with-a-specific-title,define mark up for generic sphinx admonitions with a specific title,,9738992.0,,,,
34,"['jquery', 'css', 'google-chrome', 'select']","{'account_id': 44853, 'reputation': 113424, 'user_id': 131874, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/b3600796ab1d9e78c7545c91468c2e51?s=256&d=identicon&r=PG', 'display_name': 'Clodoaldo Neto', 'link': 'https://stackoverflow.com/users/131874/clodoaldo-neto'}",True,2314,1,3,1662651281,1329613616,1662651281.0,9345722,CC BY-SA 4.0,https://stackoverflow.com/questions/9345722/text-alignment-in-select-options,Text alignment in select options,,9362474.0,,,,
35,"['html', 'css']","{'account_id': 5313, 'reputation': 25176, 'user_id': 8482, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/248a3c4ba8f2972427222d46954f9c1c?s=256&d=identicon&r=PG', 'display_name': 'interstar', 'link': 'https://stackoverflow.com/users/8482/interstar'}",True,53247,7,20,1662635928,1330381514,,9473328,CC BY-SA 3.0,https://stackoverflow.com/questions/9473328/indents-in-nested-lists-in-html-css,Indents in nested lists in HTML / CSS,,,,,,
36,"['html', 'css']","{'account_id': 1222272, 'reputation': 33, 'user_id': 1188678, 'user_type': 'registered', 'accept_rate': 14, 'profile_image': 'https://www.gravatar.com/avatar/c78a9c7a70ed1326f68a97d3c74b1ac2?s=256&d=identicon&r=PG', 'display_name': 'Nigel', 'link': 'https://stackoverflow.com/users/1188678/nigel'}",True,111541,6,3,1662470746,1329231091,1329236871.0,9278990,CC BY-SA 3.0,https://stackoverflow.com/questions/9278990/adding-space-between-images,adding space between images,,,,,,
37,"['javascript', 'css', 'performance']","{'account_id': 9321, 'reputation': 126234, 'user_id': 17174, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/3dcae8378d46c244172a115c28ca49ce?s=256&d=identicon&r=PG', 'display_name': 'Sam Saffron', 'link': 'https://stackoverflow.com/users/17174/sam-saffron'}",True,118457,14,966,1662233517,1329189894,1662225830.0,9271276,CC BY-SA 4.0,https://stackoverflow.com/questions/9271276/should-css-always-precede-javascript,Should CSS always precede JavaScript?,1413067845.0,9272730.0,,,,
38,"['css', 'font-size']","{'account_id': 94735, 'reputation': 14619, 'user_id': 258482, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/1e5078a857acb4ce01a9ae3923890285?s=256&d=identicon&r=PG', 'display_name': 'Arlen Beiler', 'link': 'https://stackoverflow.com/users/258482/arlen-beiler'}",True,251,2,-3,1662040517,1328031684,1662040517.0,9084270,CC BY-SA 4.0,https://stackoverflow.com/questions/9084270/what-is-the-difference-between-em-and-en-in-css,What is the difference between em and en in CSS,,9084371.0,,,,
39,"['html', 'css', 'internet-explorer-9', 'margin', 'font-size']","{'account_id': 1061284, 'reputation': 491, 'user_id': 1062856, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/82a01ed37e595e58706bfae12f10aff1?s=256&d=identicon&r=PG', 'display_name': 'Raskolnik', 'link': 'https://stackoverflow.com/users/1062856/raskolnik'}",True,529,1,2,1662040464,1328390308,1662040464.0,9144630,CC BY-SA 4.0,https://stackoverflow.com/questions/9144630/css-drop-caps-wrongly-positioned-in-ie9-with-em-padding,CSS drop caps wrongly positioned in IE9 with em padding,,9268926.0,,,,
40,"['css', 'grid', 'font-size', 'typography', 'baseline']","{'account_id': 123499, 'reputation': 5791, 'user_id': 317979, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/bccd8c9d2f5a4e0db4d5a1f9bb8349d1?s=256&d=identicon&r=PG', 'display_name': 'jon', 'link': 'https://stackoverflow.com/users/317979/jon'}",True,1962,1,2,1662040403,1329061174,1662040382.0,9250047,CC BY-SA 4.0,https://stackoverflow.com/questions/9250047/css-baseline-grid-why-do-line-heights-get-smaller-while-font-sizes-get-larger,CSS Baseline Grid - why do line-heights get smaller while font-sizes get larger?,,9251475.0,,,,
41,"['html', 'css']","{'account_id': 208333, 'reputation': 31576, 'user_id': 458742, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/ee0a7599f30c29076a3c9a2c022e473b?s=256&d=identicon&r=PG', 'display_name': 'spraff', 'link': 'https://stackoverflow.com/users/458742/spraff'}",True,1013571,12,438,1662022564,1329146073,,9262861,CC BY-SA 3.0,https://stackoverflow.com/questions/9262861/css-background-image-to-fit-width-height-should-auto-scale-in-proportion,"CSS background image to fit width, height should auto-scale in proportion",,9265035.0,,,,
42,"['android', 'css', 'jquery-mobile', 'font-size']","{'account_id': 122733, 'reputation': 7782, 'user_id': 316727, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/4b7c45147964d32a137e7a83c82f8c6b?s=256&d=identicon&r=PG', 'display_name': 'Wytze', 'link': 'https://stackoverflow.com/users/316727/wytze'}",False,983,1,3,1660843751,1329292645,1660843751.0,9289714,CC BY-SA 4.0,https://stackoverflow.com/questions/9289714/why-not-use-pt-as-the-unit-for-fonts-and-element-size,Why not use PT as the unit for fonts and element size?,,,,,,
43,"['javascript', 'jquery', 'css', 'image', 'png']","{'account_id': 410344, 'reputation': 1212, 'user_id': 782125, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://www.gravatar.com/avatar/97799bab41a0c30e7e7c13c939e0e77f?s=256&d=identicon&r=PG', 'display_name': 'haifacarina', 'link': 'https://stackoverflow.com/users/782125/haifacarina'}",True,34622,7,21,1660235004,1328544985,1328550030.0,9163283,CC BY-SA 3.0,https://stackoverflow.com/questions/9163283/change-png-color-using-javascript-jquery-and-css,Change PNG Color using Javascript/jQuery and CSS,,,,,,
44,"['html', 'css']","{'account_id': 1281352, 'reputation': 223, 'user_id': 1235392, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/830372d6aab6250c3a996a723be8460e?s=256&d=identicon&r=PG', 'display_name': 'Dylan', 'link': 'https://stackoverflow.com/users/1235392/dylan'}",True,44134,4,22,1659309913,1330341021,,9463986,CC BY-SA 3.0,https://stackoverflow.com/questions/9463986/specifying-percentage-width-for-css-table-cells,Specifying percentage width for CSS table cells,,9464053.0,,,,
45,"['css', 'html', 'resize']","{'account_id': 1148547, 'reputation': 417, 'user_id': 1130772, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/7dccd1dca9b57700f062e97217c62b35?s=256&d=identicon&r=PG', 'display_name': 'user1130772', 'link': 'https://stackoverflow.com/users/1130772/user1130772'}",True,6187,3,0,1658810060,1329706975,1329707566.0,9355699,CC BY-SA 3.0,https://stackoverflow.com/questions/9355699/div-resizing-not-working-correctly,Div resizing not working correctly,,9355881.0,,,,
46,"['html', 'css', 'twitter-bootstrap']","{'account_id': 995848, 'reputation': 19354, 'user_id': 1011816, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/5138b8dca30c0665f7f3140c79ea90bf?s=256&d=identicon&r=PG', 'display_name': 'Hoa', 'link': 'https://stackoverflow.com/users/1011816/hoa'}",True,955262,24,585,1658678252,1328649715,1509185394.0,9184141,CC BY-SA 3.0,https://stackoverflow.com/questions/9184141/how-do-you-get-centered-content-using-twitter-bootstrap,How do you get centered content using Twitter Bootstrap?,1398019055.0,9184443.0,,,,
47,"['html', 'css', 'html-table', 'center']","{'account_id': 1236369, 'reputation': 14381, 'user_id': 1199882, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/92ecc246b38282ae1ba7ba6802d88423?s=256&d=identicon&r=PG', 'display_name': 'CodeBlue', 'link': 'https://stackoverflow.com/users/1199882/codeblue'}",True,207755,7,82,1658656708,1329944244,1604311092.0,9402856,CC BY-SA 4.0,https://stackoverflow.com/questions/9402856/how-to-put-table-in-the-center-of-the-page-using-css,How to put table in the center of the page using CSS?,,,,,,
48,"['javascript', 'php', 'jquery', 'html', 'css']","{'account_id': 1249755, 'reputation': 1019, 'user_id': 1210399, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/fc1f81ef7022402d531e17ddb543a733?s=256&d=identicon&r=PG', 'display_name': 'Bert', 'link': 'https://stackoverflow.com/users/1210399/bert'}",True,36996,7,9,1658435934,1329374974,1542100353.0,9306774,CC BY-SA 4.0,https://stackoverflow.com/questions/9306774/how-to-use-useragent-to-detect-mobile-device,How to Use userAgent to detect mobile device,,9306819.0,,,,
