,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date,migrated_from,locked_date
13,"['css', 'reactjs', 'next.js']","{'account_id': 17597887, 'reputation': 4551, 'user_id': 12768467, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/M9vwD.jpg?s=256&g=1', 'display_name': 'DoneDeal0', 'link': 'https://stackoverflow.com/users/12768467/donedeal0'}",True,779,3,0,1667642339,1653120915,72327804,CC BY-SA 4.0,https://stackoverflow.com/questions/72327804/how-to-display-a-fixed-navbar-in-nextjs,How to display a fixed navbar in Nextjs?,72331774.0,,,,,,
14,"['css', 'reactjs']","{'account_id': 25352011, 'reputation': 1, 'user_id': 19168726, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/79cda6ad696d64c05b28e35239536053?s=256&d=identicon&r=PG', 'display_name': 'Ryan1477', 'link': 'https://stackoverflow.com/users/19168726/ryan1477'}",True,54,2,0,1667625998,1653147606,72331017,CC BY-SA 4.0,https://stackoverflow.com/questions/72331017/react-buttons-not-working-only-using-fallback-styles,"React Buttons not working, only using fallback styles",,1653147873.0,,,,,
15,"['css', 'reactjs', 'styling', 'zoom-sdk']","{'account_id': 8779617, 'reputation': 107, 'user_id': 6563632, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4d156898fa7afdabfe14639c4161ced6?s=256&d=identicon&r=PG&f=1', 'display_name': 'Akash Chavda', 'link': 'https://stackoverflow.com/users/6563632/akash-chavda'}",False,157,2,0,1667549905,1652529677,72239991,CC BY-SA 4.0,https://stackoverflow.com/questions/72239991/zoommtg-is-overwriting-all-css-in-my-entire-reactjs-website,ZoomMtg is overwriting all css in my entire ReactJS website,,,,,,,
16,"['html', 'css', 'python-3.x', 'plotly']","{'account_id': 16683690, 'reputation': 155, 'user_id': 12058154, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4c3824bd6479a1123d4268721f67c2b3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ormetrom2354', 'link': 'https://stackoverflow.com/users/12058154/ormetrom2354'}",False,376,1,2,1667467610,1651398077,72075604,CC BY-SA 4.0,https://stackoverflow.com/questions/72075604/how-to-set-the-line-height-of-the-html-br-tag-in-plotly-dash-python,How to set the line height of the html.Br tag in Plotly Dash Python?,,1656785973.0,,,,,
17,"['css', 'sass', 'next.js', 'css-modules', 'react-css-modules']","{'account_id': 11455798, 'reputation': 383, 'user_id': 8396834, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1793da13b5bca2a8a6b475ea531ad237?s=256&d=identicon&r=PG&f=1', 'display_name': 'yoyo', 'link': 'https://stackoverflow.com/users/8396834/yoyo'}",True,3385,2,2,1667465989,1652894547,72293500,CC BY-SA 4.0,https://stackoverflow.com/questions/72293500/selector-root-is-not-pure-pure-selectors-must-contain-at-least-one-local-cla,Selector &quot;:root&quot; is not pure (pure selectors must contain at least one local class or id) - NextJS with SASS modules,72308312.0,,,,,,
18,"['css', 'react-native', 'math']","{'account_id': 15813692, 'reputation': 99, 'user_id': 11410031, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-Km2AadJLwik/AAAAAAAAAAI/AAAAAAAAAAs/NEAhtSdF3D0/photo.jpg?sz=256', 'display_name': 'Huan Huynh', 'link': 'https://stackoverflow.com/users/11410031/huan-huynh'}",True,173,1,0,1667297001,1652774598,72270247,CC BY-SA 4.0,https://stackoverflow.com/questions/72270247/react-calculate-dots-position-in-a-circle,React - calculate dots position in a circle,72270451.0,,,,,,
19,"['javascript', 'html', 'css']","{'account_id': 24724442, 'reputation': 9, 'user_id': 18613114, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxeBJCm2qcL2yUMCwy7fXKJwiM4e_zPR9EPyZhB=k-s256', 'display_name': 'Dimitri Mentus', 'link': 'https://stackoverflow.com/users/18613114/dimitri-mentus'}",True,51,1,-1,1666882245,1653576946,72393826,CC BY-SA 4.0,https://stackoverflow.com/questions/72393826/why-does-this-question-still-exist-i-want-to-delete-it,why does this question still exist i want to delete it,,1666882245.0,,,,,
20,"['css', 'fonts', 'webfonts']","{'account_id': 4653493, 'reputation': 602, 'user_id': 3769649, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://graph.facebook.com/100001703155182/picture?type=large', 'display_name': 'Thammarith', 'link': 'https://stackoverflow.com/users/3769649/thammarith'}",True,93,3,0,1666832980,1651856873,72145141,CC BY-SA 4.0,https://stackoverflow.com/questions/72145141/what-are-xtra-yopq-ytlc-etc-in-css,"What are XTRA, YOPQ, YTLC, etc. in CSS?",,1651857395.0,,,,,
21,"['css', 'flexdashboard']","{'account_id': 25282234, 'reputation': 115, 'user_id': 19109915, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e563849ae77457abf9f49f6106d00a61?s=256&d=identicon&r=PG', 'display_name': 'bbroxler', 'link': 'https://stackoverflow.com/users/19109915/bbroxler'}",False,32,1,1,1666795302,1652535313,72240720,CC BY-SA 4.0,https://stackoverflow.com/questions/72240720/how-to-hide-border-of-a-specific-chart,How to hide border of a specific chart?,,1652535390.0,,,,,
22,"['css', 'animation', 'safari', 'keyframe']","{'account_id': 24234244, 'reputation': 23, 'user_id': 18187596, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/43d3c42c0870a4fec4cbcf044a7d243c?s=256&d=identicon&r=PG', 'display_name': 'nastasiatornbo', 'link': 'https://stackoverflow.com/users/18187596/nastasiatornbo'}",True,154,1,1,1666788016,1652430096,72226483,CC BY-SA 4.0,https://stackoverflow.com/questions/72226483/css-animation-keyframes-not-working-on-iphone-ipad,CSS Animation Keyframes not working on Iphone/Ipad,72226734.0,,,,,,
23,"['css', 'vue.js', 'nuxt.js']","{'account_id': 22720533, 'reputation': 35, 'user_id': 16885114, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjMiIsGTpa48Bu9vb9_gs_aVuxce5SBJRqYe3hPnQ=k-s256', 'display_name': 'David Fox', 'link': 'https://stackoverflow.com/users/16885114/david-fox'}",True,171,2,-2,1666783508,1652347481,72213090,CC BY-SA 4.0,https://stackoverflow.com/questions/72213090/how-to-load-a-placeholder-image-then-toggle-to-the-real-one-once-http-calls-are,How to load a placeholder image then toggle to the real one once HTTP calls are done?,72214412.0,1666783508.0,,,,,
24,"['css', 'css-selectors', 'cell']","{'account_id': 7600532, 'reputation': 235, 'user_id': 5765312, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/PmcYU.png?s=256&g=1', 'display_name': 'Danielillo', 'link': 'https://stackoverflow.com/users/5765312/danielillo'}",True,30,3,0,1666620073,1653299660,72346573,CC BY-SA 4.0,https://stackoverflow.com/questions/72346573/hide-all-cells-content-except-the-first-one,Hide all cells content except the first one,72477130.0,1666620073.0,,,,,
25,"['javascript', 'java', 'html', 'css', 'strapi']","{'account_id': 15191819, 'reputation': 2500, 'user_id': 10962364, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/5rz7O.jpg?s=256&g=1', 'display_name': 'MagnusEffect', 'link': 'https://stackoverflow.com/users/10962364/magnuseffect'}",True,587,3,2,1666606374,1652183247,72185760,CC BY-SA 4.0,https://stackoverflow.com/questions/72185760/not-able-to-create-a-new-collection-type-in-strapi-dashboard,Not able to create a new collection-type in Strapi Dashboard,,1652183560.0,,,,,
26,"['html', 'css', 'reactjs', 'firefox']","{'account_id': 23895443, 'reputation': 1, 'user_id': 17894495, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJy5RuLWj71Dq8UFALAtQFvjNSKZJfkFlh4SqS_V=k-s256', 'display_name': 'Shograti', 'link': 'https://stackoverflow.com/users/17894495/shograti'}",False,171,0,0,1666456436,1652086395,72169312,CC BY-SA 4.0,https://stackoverflow.com/questions/72169312/display-issue-with-a-positionfixed-bottom-tab-bar-on-firefox-mobile-browser,Display issue with a position:fixed bottom tab bar on Firefox mobile browser,,1652087185.0,,,,,
27,"['html', 'css', 'svg']","{'account_id': 12078424, 'reputation': 306, 'user_id': 8831048, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/1OPim.jpg?s=256&g=1', 'display_name': 'Mathew Dony', 'link': 'https://stackoverflow.com/users/8831048/mathew-dony'}",True,378,2,1,1666439159,1651733581,72123042,CC BY-SA 4.0,https://stackoverflow.com/questions/72123042/prevent-border-radius-from-clipping-svg-icon-in-css,Prevent border-radius from clipping SVG icon in CSS,72123344.0,1666439159.0,,,,,
28,"['css', 'sass', 'tailwind-css']","{'account_id': 13534960, 'reputation': 3151, 'user_id': 9764412, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/wK67e.jpg?s=256&g=1', 'display_name': 'Axel', 'link': 'https://stackoverflow.com/users/9764412/axel'}",True,3187,1,7,1666337854,1652017740,72161637,CC BY-SA 4.0,https://stackoverflow.com/questions/72161637/unexpected-unknown-at-rule-tailwind-scss-at-rule-no-unknown,Unexpected unknown at-rule &quot;@tailwind&quot; scss/at-rule-no-unknown,72161880.0,,,,,,
29,"['html', 'css', 'email', 'templates', 'mjml']","{'account_id': 130393, 'reputation': 489, 'user_id': 1142974, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://i.stack.imgur.com/YNSlB.png?s=256&g=1', 'display_name': 'Helmi', 'link': 'https://stackoverflow.com/users/1142974/helmi'}",False,138,1,0,1666278317,1651732403,72122852,CC BY-SA 4.0,https://stackoverflow.com/questions/72122852/how-to-set-font-features-stylistics-sets-in-mjml,How to set font features (stylistics sets) in MJML,,,,,,,
30,"['css', 'tailwind-css', 'tailwind-3']","{'account_id': 1848567, 'reputation': 116, 'user_id': 1675675, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/038567b16cd1bf074d0796e05a8b1b2f?s=256&d=identicon&r=PG', 'display_name': 'hirani89', 'link': 'https://stackoverflow.com/users/1675675/hirani89'}",True,4654,2,3,1666207458,1652785077,72272821,CC BY-SA 4.0,https://stackoverflow.com/questions/72272821/tailwind-css-table-with-fixed-header-and-scrolling-tbody-vertically,Tailwind css table with fixed header and scrolling tbody vertically,72294780.0,,,,,,
31,"['javascript', 'html', 'css', 'drop-down-menu']","{'account_id': 25158121, 'reputation': 87, 'user_id': 19002676, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyvIT3BUtCNwPr_F7wDTLNju3VtrRCywpOj_uHTSg=k-s256', 'display_name': 'Brian', 'link': 'https://stackoverflow.com/users/19002676/brian'}",True,106,3,1,1665921494,1653576298,72393681,CC BY-SA 4.0,https://stackoverflow.com/questions/72393681/closing-dropdown-button-in-vanilla-js,Closing dropdown button in Vanilla JS,,,,,,,
32,"['css', 'tailwind-css']","{'account_id': 25399819, 'reputation': 45, 'user_id': 19209507, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJz_NsnNM4Y-N9kikdDQY9-kMXtbxfDnoE7zyVlp=k-s256', 'display_name': 'Ralph Bear', 'link': 'https://stackoverflow.com/users/19209507/ralph-bear'}",True,1511,2,2,1665682813,1653595217,72397407,CC BY-SA 4.0,https://stackoverflow.com/questions/72397407/tailwindcss-forms-plugin-styling-checkboxes,tailwindcss Forms PlugIn: Styling Checkboxes,72407300.0,1653595286.0,,,,,
33,"['css', 'reactjs', 'stitches']","{'account_id': 227423, 'reputation': 5171, 'user_id': 489088, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/feaeea6d2939022c49dc8b3a0510df43?s=256&d=identicon&r=PG', 'display_name': 'Edy Bourne', 'link': 'https://stackoverflow.com/users/489088/edy-bourne'}",True,1906,2,1,1665554980,1653771807,72419247,CC BY-SA 4.0,https://stackoverflow.com/questions/72419247/how-can-a-prop-value-be-used-in-an-stitches-js-component,How can a prop value be used in an Stitches js component?,72438184.0,,,,,,
34,"['javascript', 'html', 'css', 'node.js', 'reactjs']","{'account_id': 25222874, 'reputation': 127, 'user_id': 19059099, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/YzWIx.jpg?s=256&g=1', 'display_name': 'Arjunsingh thakur', 'link': 'https://stackoverflow.com/users/19059099/arjunsingh-thakur'}",True,183,2,1,1665478097,1652200605,72190039,CC BY-SA 4.0,https://stackoverflow.com/questions/72190039/there-is-lag-in-my-react-app-on-a-add-to-card-button,there is lag in my react app on a add to card button,72190197.0,,,,,,
35,"['css', 'youtube', 'vimeo']","{'account_id': 3423953, 'reputation': 1322, 'user_id': 2870416, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'al404IT', 'link': 'https://stackoverflow.com/users/2870416/al404it'}",True,773,1,-2,1665431188,1653495535,72381167,CC BY-SA 4.0,https://stackoverflow.com/questions/72381167/responsive-youtube-video-without-specific-aspect-ratio,Responsive YouTube Video without specific aspect ratio,,,,,,,
36,"['css', 'django', 'django-templates', 'weasyprint']","{'account_id': 13798330, 'reputation': 612, 'user_id': 9958954, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-Ion4UAiT0-Y/AAAAAAAAAAI/AAAAAAAAAAA/2aSWNmC1R7I/photo.jpg?sz=256', 'display_name': 'LearningNoob', 'link': 'https://stackoverflow.com/users/9958954/learningnoob'}",False,357,1,1,1665406311,1652447616,72230179,CC BY-SA 4.0,https://stackoverflow.com/questions/72230179/how-to-force-a-page-break-on-weasyprint,How to force a page-break on weasyprint?,,,,,,,
37,"['javascript', 'html', 'jquery', 'css', 'frontend']","{'account_id': 7290655, 'reputation': 182, 'user_id': 9301938, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0b79fc86394c5640cd157d6fadf9ce1d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dave', 'link': 'https://stackoverflow.com/users/9301938/dave'}",True,1251,3,2,1665391789,1653060828,72321466,CC BY-SA 4.0,https://stackoverflow.com/questions/72321466/scrollable-content-on-left-sticky-image-on-right-with-active-item-on-scroll,Scrollable content on left - sticky image on right - with active item on scroll,,1653137651.0,,,,,
38,"['html', 'css', 'flexbox', 'width']","{'account_id': 25323694, 'reputation': 1, 'user_id': 19144657, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxP6YrXRTECAEuZAUrAhx5sq8CBVgXh7ZlRVFKJ=k-s256', 'display_name': 'Web Knowledge', 'link': 'https://stackoverflow.com/users/19144657/web-knowledge'}",True,38,1,0,1665235315,1653132727,72329154,,https://stackoverflow.com/questions/72329154/why-is-the-width-property-not-being-respected-in-the-flexbox,Why is the width property not being respected in the flexbox?,72329493.0,1665235315.0,1653137991.0,Duplicate,,,
39,"['css', 'reactjs', 'webpack', 'sass', 'bootstrap-5']","{'account_id': 15889848, 'reputation': 1, 'user_id': 11465298, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/h2cyX.jpg?s=256&g=1', 'display_name': 'Tom', 'link': 'https://stackoverflow.com/users/11465298/tom'}",False,177,0,0,1665056537,1652021359,72162163,CC BY-SA 4.0,https://stackoverflow.com/questions/72162163/how-can-i-get-bootstrap-to-work-in-my-build-too-not-only-in-dev-version,"How can I get Bootstrap to work in my build too, not only in dev version?",,1665056537.0,,,,,
40,"['javascript', 'css', 'r', 'datatables']","{'account_id': 14809066, 'reputation': 81, 'user_id': 10695259, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/86ded812894ae95f1b0a590b06d0f18c?s=256&d=identicon&r=PG&f=1', 'display_name': 'yaennu.s', 'link': 'https://stackoverflow.com/users/10695259/yaennu-s'}",True,142,2,0,1665045866,1653385912,72360788,CC BY-SA 4.0,https://stackoverflow.com/questions/72360788/round-borders-with-dt-datatables-in-r,Round borders with DT datatables in R,73970933.0,1653397226.0,,,,,
41,"['html', 'css']","{'account_id': 19109448, 'reputation': 19, 'user_id': 14238368, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-eLfJ6bipODY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmN2hNbI50UtdU44XLVkOo54O1x2A/photo.jpg?sz=256', 'display_name': 'user1199568', 'link': 'https://stackoverflow.com/users/14238368/user1199568'}",False,268,1,0,1664929290,1651464890,72082258,CC BY-SA 4.0,https://stackoverflow.com/questions/72082258/how-can-i-override-styles-of-a-local-html-page-using-firefox-usercontent-css,How can I override styles of a local html page using Firefox userContent.css?,,1651878632.0,,,,,
42,"['html', 'css', 'image', 'spacing']","{'account_id': 25083254, 'reputation': 1, 'user_id': 18935763, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0ae0d462be460bde10bae904531c7cae?s=256&d=identicon&r=PG', 'display_name': 'Greta', 'link': 'https://stackoverflow.com/users/18935763/greta'}",False,39,2,0,1664903593,1651602911,72103959,CC BY-SA 4.0,https://stackoverflow.com/questions/72103959/im-trying-to-fit-an-image-in-between-my-horizontal-nav-bar-and-the-body-of-text,"I&#39;m trying to fit an image in between my horizontal nav bar and the body of text, but the body of text overlaps the image. How to add space below?",,1664903593.0,,,,,
43,"['html', 'css']","{'account_id': 19729687, 'reputation': 3, 'user_id': 14445444, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-xs79UUMuWTA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclrVbALbL2Xkhs6I2cRn-GtdI5iIw/s96-c/photo.jpg?sz=256', 'display_name': 'Saya Raghava', 'link': 'https://stackoverflow.com/users/14445444/saya-raghava'}",True,43,1,0,1664875032,1651585029,72100261,CC BY-SA 4.0,https://stackoverflow.com/questions/72100261/css-issue-in-sencha-extjs-2-3,CSS issue in Sencha/extjs 2.3,72435007.0,,,,,,
44,"['javascript', 'css', 'asp.net-core', 'web-frontend']","{'account_id': 3165485, 'reputation': 441, 'user_id': 2675618, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/929ce34993b5be60600c2f6a2b33e8f3?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nick Fleetwood', 'link': 'https://stackoverflow.com/users/2675618/nick-fleetwood'}",True,241,1,0,1664572221,1653083186,72325063,CC BY-SA 4.0,https://stackoverflow.com/questions/72325063/random-background-images,Random Background Images,72325167.0,,,,,,
45,"['html', 'css', 'vimeo-player']","{'account_id': 9337109, 'reputation': 13, 'user_id': 6930982, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ylgQs.jpg?s=256&g=1', 'display_name': 'lingofant', 'link': 'https://stackoverflow.com/users/6930982/lingofant'}",False,194,1,0,1664515882,1652453560,72231548,CC BY-SA 4.0,https://stackoverflow.com/questions/72231548/vimeo-video-iframe-on-mobile-fill-screen-hide-sides-with-pan-over-video,Vimeo Video iFrame - On Mobile fill Screen (Hide Sides with Pan over Video),,,,,,,
46,"['javascript', 'html', 'css', 'reactjs', 'dom']","{'account_id': 25222874, 'reputation': 127, 'user_id': 19059099, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/YzWIx.jpg?s=256&g=1', 'display_name': 'Arjunsingh thakur', 'link': 'https://stackoverflow.com/users/19059099/arjunsingh-thakur'}",True,54,1,-1,1664450237,1653469701,72374798,CC BY-SA 4.0,https://stackoverflow.com/questions/72374798/why-my-content-is-not-displaying-properly-on-other-pages,why my content is not displaying properly on other pages,72374855.0,1664450237.0,,,,,
47,"['css', 'reactjs', 'tailwind-css']","{'account_id': 24136077, 'reputation': 91, 'user_id': 18102969, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1bcd5194182ecaa17b117f51c7ba2ec5?s=256&d=identicon&r=PG', 'display_name': 'CsongorCzezar', 'link': 'https://stackoverflow.com/users/18102969/csongorczezar'}",True,2922,4,9,1664369614,1651882764,72148525,CC BY-SA 4.0,https://stackoverflow.com/questions/72148525/tailwindcss-3-classes-doesnt-override-previous-classes,TailwindCSS 3 classes doesn&#39;t override previous classes,,,,,,,
