,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,migrated_from,protected_date,community_owned_date,locked_date
15,"['css', 'pseudo-element']","{'account_id': 880700, 'reputation': 1989, 'user_id': 215920, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/Vdkg7.png?s=256&g=1', 'display_name': 'JPM', 'link': 'https://stackoverflow.com/users/215920/jpm'}",True,45454,7,46,1664923069,1356583116,14049423,CC BY-SA 4.0,https://stackoverflow.com/questions/14049423/in-css-use-displaynone-on-the-element-but-keep-its-after,"In CSS use &quot;display:none&quot; on the element, but keep its &quot;:after&quot;",14049442.0,1664923069.0,,,,,,
16,"['css', 'background-image', 'antialiasing']","{'account_id': 294786, 'reputation': 8806, 'user_id': 598857, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/BTDMW.jpg?s=256&g=1', 'display_name': 'Nils Munch', 'link': 'https://stackoverflow.com/users/598857/nils-munch'}",True,64697,2,65,1664569058,1356690386,14068103,,https://stackoverflow.com/questions/14068103/disable-antialising-when-scaling-images,Disable antialising when scaling images,14068216.0,1612270025.0,1356697268.0,exact duplicate,,,,
17,"['css', 'wordpress', 'footer']","{'account_id': 2075264, 'reputation': 103, 'user_id': 1869187, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/1895834a97935705e9815604d9936ff0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Richard Pascal', 'link': 'https://stackoverflow.com/users/1869187/richard-pascal'}",False,8313,1,1,1664218935,1354381719,13662021,,https://stackoverflow.com/questions/13662021/full-width-background-image-in-footer,Full width background image in footer,,1429297878.0,,,"{'other_site': {'styling': {'tag_background_color': '#F5F5F5', 'tag_foreground_color': '#666', 'link_color': '#0077CC'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'wordpress.meta', 'site_url': 'https://wordpress.meta.stackexchange.com', 'name': 'WordPress Development Meta Stack Exchange'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=wordpress.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['Prettify'], 'launch_date': 1297718441, 'open_beta_date': 1282158000, 'closed_beta_date': 1281553200, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/wordpress/Img/apple-touch-icon@2.png', 'twitter_account': 'StackWordPress', 'favicon_url': 'https://cdn.sstatic.net/Sites/wordpress/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/wordpress/Img/apple-touch-icon.png', 'audience': 'WordPress developers and administrators', 'site_url': 'https://wordpress.stackexchange.com', 'api_site_parameter': 'wordpress', 'logo_url': 'https://cdn.sstatic.net/Sites/wordpress/Img/logo.png', 'name': 'WordPress Development', 'site_type': 'main_site'}, 'on_date': 1354384190, 'question_id': 74589}",,,
18,"['html', 'css']","{'account_id': 1254878, 'reputation': 6675, 'user_id': 1214563, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/b3c421c3b583291e1bec53780bea8748?s=256&d=identicon&r=PG', 'display_name': 'skyisred', 'link': 'https://stackoverflow.com/users/1214563/skyisred'}",True,123864,11,80,1663928064,1354440124,13667941,CC BY-SA 3.0,https://stackoverflow.com/questions/13667941/how-to-set-maximum-height-for-table-cell,How to set maximum height for table-cell?,13668087.0,1354442108.0,,,,,,
19,"['javascript', 'html', 'css']","{'user_type': 'does_not_exist', 'display_name': 'user479870'}",True,41352,5,12,1663861383,1355093719,13792755,CC BY-SA 3.0,https://stackoverflow.com/questions/13792755/show-border-grid-lines-only-between-elements,show border grid lines only between elements,13832144.0,,,,,,,
20,"['javascript', 'jquery', 'html', 'css']","{'account_id': 1990233, 'reputation': 12289, 'user_id': 1784412, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://i.stack.imgur.com/eQsub.jpg?s=256&g=1', 'display_name': 'Akhil Sekharan', 'link': 'https://stackoverflow.com/users/1784412/akhil-sekharan'}",True,10276,4,1,1663437877,1354544064,13685070,CC BY-SA 3.0,https://stackoverflow.com/questions/13685070/alter-input-type-file-label-content,Alter input type=&quot;file&quot; label content,13685194.0,1354544367.0,,,,,,
21,"['php', 'css', 'themes', 'html-select']","{'account_id': 2084643, 'reputation': 181, 'user_id': 1858817, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/ORmX6.jpg?s=256&g=1', 'display_name': 'surisava', 'link': 'https://stackoverflow.com/users/1858817/surisava'}",True,550,2,0,1663347658,1356145712,13999735,CC BY-SA 4.0,https://stackoverflow.com/questions/13999735/user-chose-css-file-as-theme-for-webpage-using-session,user chose css file as theme for webpage using SESSION,13999770.0,1663347658.0,,,,,,
22,"['python', 'css', 'flask']","{'account_id': 1990320, 'reputation': 3495, 'user_id': 1784481, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/b2d2e84878790bbcb46b13ac2daad4cb?s=256&d=identicon&r=PG', 'display_name': 'Rohit Rayudu', 'link': 'https://stackoverflow.com/users/1784481/rohit-rayudu'}",True,126859,12,62,1663077041,1354924518,13772884,CC BY-SA 3.0,https://stackoverflow.com/questions/13772884/css-problems-with-flask-web-app,CSS Problems with Flask Web App,13773304.0,,,,,1611483938.0,,
23,"['jquery', 'html', 'css']","{'account_id': 2051239, 'reputation': 31, 'user_id': 1830210, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/797c49cad5a3c382ae58d5c959554031?s=256&d=identicon&r=PG', 'display_name': 'user1830210', 'link': 'https://stackoverflow.com/users/1830210/user1830210'}",False,9526,1,0,1662988150,1354387912,13662601,CC BY-SA 3.0,https://stackoverflow.com/questions/13662601/jquery-css-set-visibility-on-button-click,jquery css set visibility on button click,,1354388293.0,,,,,,
24,"['html', 'css', 'html-lists']","{'account_id': 128497, 'reputation': 49518, 'user_id': 326389, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/d2c037ce48d12bd88ec6529f9bb39f0a?s=256&d=identicon&r=PG', 'display_name': 'at.', 'link': 'https://stackoverflow.com/users/326389/at'}",True,26965,4,19,1662901907,1356480350,14034861,CC BY-SA 3.0,https://stackoverflow.com/questions/14034861/hierarchy-display-in-css,Hierarchy display in CSS,14034962.0,1356601699.0,,,,,,
25,"['css', 'ruby-on-rails-3', 'heroku', 'html-email', 'sendgrid']","{'account_id': 170156, 'reputation': 22695, 'user_id': 396681, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/nACwy.jpg?s=256&g=1', 'display_name': 'simo', 'link': 'https://stackoverflow.com/users/396681/simo'}",True,27720,6,10,1662799553,1356812712,14085630,CC BY-SA 3.0,https://stackoverflow.com/questions/14085630/why-css-is-not-working-when-sending-html-email,Why CSS is not working when sending HTML email?,14085650.0,,,,,,,
26,"['html', 'css']","{'account_id': 1050987, 'reputation': 7703, 'user_id': 1054937, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/6b85a31d8e69d0ce9fe80df2ed567969?s=256&d=identicon&r=PG', 'display_name': 'Jon', 'link': 'https://stackoverflow.com/users/1054937/jon'}",True,105213,5,54,1662680148,1354581282,13694271,CC BY-SA 3.0,https://stackoverflow.com/questions/13694271/modify-select-so-only-the-first-one-is-gray,Modify Select So Only The First One Is Gray,41941056.0,,,,,,,
27,"['jquery', 'html', 'css', 'jquery-ui', 'tooltip']","{'account_id': 2168082, 'reputation': 151, 'user_id': 1920718, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/aeff3561d51c2661cebc105f8971312d?s=256&d=identicon&r=PG', 'display_name': 'Robinson', 'link': 'https://stackoverflow.com/users/1920718/robinson'}",False,10650,3,3,1662293275,1356069788,13985045,CC BY-SA 3.0,https://stackoverflow.com/questions/13985045/using-jquery-ui-tooltip-with-custom-arrow-causes-tooltip-issue,Using jQuery UI Tooltip with custom arrow causes tooltip issue,,1356078303.0,,,,,,
28,"['css', 'html-datalist']","{'account_id': 1776277, 'reputation': 1670, 'user_id': 1620021, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/4a9ba2c4cf46659c5c88e33db2035edb?s=256&d=identicon&r=PG', 'display_name': 'n0n0bstan', 'link': 'https://stackoverflow.com/users/1620021/n0n0bstan'}",True,125311,5,120,1661901071,1354576348,13693482,CC BY-SA 4.0,https://stackoverflow.com/questions/13693482/is-there-a-way-to-apply-a-css-style-on-html5-datalist-options,Is there a way to apply a CSS style on HTML5 datalist options?,13693859.0,1661901071.0,,,,,,
29,"['css', 'google-chrome', 'google-chrome-devtools']","{'account_id': 85288, 'reputation': 3318, 'user_id': 237885, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/0655b3e2fc6a8db20bc4e59bcfdad2a2?s=256&d=identicon&r=PG', 'display_name': 'Dan', 'link': 'https://stackoverflow.com/users/237885/dan'}",True,1873,1,4,1661807667,1355872317,13943055,CC BY-SA 4.0,https://stackoverflow.com/questions/13943055/is-it-possible-to-change-the-units-from-px-to-em-in-chrome-developer-tools,Is it possible to change the units from px to em in Chrome Developer Tools,13946853.0,1661807667.0,,,,,,
30,"['html', 'css', 'google-chrome', 'font-size']","{'account_id': 773362, 'reputation': 17567, 'user_id': 812303, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/b4013ff34cfafc4d651d49291b4da352?s=256&d=identicon&r=PG', 'display_name': 'Tomer', 'link': 'https://stackoverflow.com/users/812303/tomer'}",True,95,1,0,1661784835,1356267772,14011165,CC BY-SA 4.0,https://stackoverflow.com/questions/14011165/weird-behaviour-when-using-em-and-percentage,weird behaviour when using &#39;em&#39; and percentage,14011549.0,1661784835.0,,,,,,
31,"['html', 'css', 'css-tables']","{'account_id': 1247974, 'reputation': 10525, 'user_id': 1209030, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/579f83216a3c08f3a2b30f9617993f69?s=256&d=identicon&r=PG', 'display_name': 'thelolcat', 'link': 'https://stackoverflow.com/users/1209030/thelolcat'}",True,39726,2,20,1661265623,1356802529,14084221,CC BY-SA 4.0,https://stackoverflow.com/questions/14084221/how-to-make-a-table-cell-shrink-width-to-fit-only-its-contents,How to make a table cell shrink width to fit only its contents?,14084773.0,1545065705.0,,,,,,
32,"['html', 'css', 'path', 'background-image']","{'account_id': 346742, 'reputation': 19792, 'user_id': 680441, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/f80ea51467691d66dfc369a21c04a060?s=256&d=identicon&r=PG', 'display_name': 'darksky', 'link': 'https://stackoverflow.com/users/680441/darksky'}",True,357999,20,47,1661246391,1356426792,14029277,CC BY-SA 3.0,https://stackoverflow.com/questions/14029277/css-background-image-not-displaying,CSS Background Image Not Displaying,14029319.0,1488943260.0,,,,,,
33,"['css', 'font-face']","{'account_id': 1316927, 'reputation': 1585, 'user_id': 1263571, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://i.stack.imgur.com/8qOLH.jpg?s=256&g=1', 'display_name': 'AspiringCanadian', 'link': 'https://stackoverflow.com/users/1263571/aspiringcanadian'}",True,3029,4,0,1661181174,1354883304,13763109,CC BY-SA 3.0,https://stackoverflow.com/questions/13763109/iphone-wont-show-lucida-sans,Iphone wont show Lucida Sans,13763347.0,1355124319.0,,,,,,
34,"['jquery', 'css', 'html', 'animation', 'webkit']","{'account_id': 2118352, 'reputation': 997, 'user_id': 1882156, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://i.stack.imgur.com/n0YHi.png?s=256&g=1', 'display_name': 'jk jk', 'link': 'https://stackoverflow.com/users/1882156/jk-jk'}",True,34278,7,13,1660966177,1355510837,13884563,CC BY-SA 3.0,https://stackoverflow.com/questions/13884563/jquery-remove-class-after-css-animation-played,jquery remove class after css animation played?,13884635.0,,,,,,,
35,"['android', 'css', 'textview', 'android-webview', 'font-size']","{'account_id': 1661660, 'reputation': 1785, 'user_id': 1529832, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/04a3edd31af4b555751d9f902fa70c6d?s=256&d=identicon&r=PG', 'display_name': 'Jon', 'link': 'https://stackoverflow.com/users/1529832/jon'}",False,234,0,1,1660759810,1355768479,13919795,CC BY-SA 4.0,https://stackoverflow.com/questions/13919795/pt-displays-larger-in-textview-than-webview,Pt displays larger in TextView than WebView,,1660759810.0,,,,,,
36,"['html', 'css', 'twitter-bootstrap']","{'account_id': 1420160, 'reputation': 8549, 'user_id': 1344955, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/ebbac7b82d21d98c2638233797a323c2?s=256&d=identicon&r=PG', 'display_name': 'SeinopSys', 'link': 'https://stackoverflow.com/users/1344955/seinopsys'}",True,220,1,1,1659885287,1356120739,13996612,CC BY-SA 4.0,https://stackoverflow.com/questions/13996612/twitter-bootstrap-forms-collapse-when-using-custom-font,Twitter bootstrap forms &quot;collapse&quot; when using custom font,13996691.0,1659885287.0,,,,,,
37,"['html', 'css', 'zurb-foundation']","{'account_id': 980311, 'reputation': 175, 'user_id': 1000201, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/fYtCH.png?s=256&g=1', 'display_name': 'trogdor33', 'link': 'https://stackoverflow.com/users/1000201/trogdor33'}",False,9726,3,4,1659607280,1354395224,13663653,CC BY-SA 3.0,https://stackoverflow.com/questions/13663653/login-form-on-top-nav-with-zurb-foundation,Login form on top nav with zurb foundation,,,,,,,,
38,"['html', 'css', 'repeat', 'css-animations', 'continuous']","{'account_id': 109802, 'reputation': 5024, 'user_id': 290790, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/443a581d83198730f1c0af65ecc0d595?s=256&d=identicon&r=PG&f=1', 'display_name': 'qwerty', 'link': 'https://stackoverflow.com/users/290790/qwerty'}",True,38729,3,9,1659505357,1355922206,13953053,CC BY-SA 3.0,https://stackoverflow.com/questions/13953053/animate-bubbles-upwards-continuously-with-css3,Animate bubbles upwards continuously with CSS3?,13953712.0,,,,,,,
39,['css'],"{'account_id': 2186451, 'reputation': 89, 'user_id': 1934763, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a3950ec64636259812fe119e68adbc68?s=256&d=identicon&r=PG', 'display_name': 'Ovee', 'link': 'https://stackoverflow.com/users/1934763/ovee'}",True,16072,4,8,1658837563,1356711673,14072479,CC BY-SA 3.0,https://stackoverflow.com/questions/14072479/how-to-disable-keyboard-key-with-css,How to Disable Keyboard Key with CSS?,,,,,,,,
40,"['html', 'jquery', 'css']","{'account_id': 1410444, 'reputation': 669, 'user_id': 1337160, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/1cbed9574bc22cb269eccba97872e2e7?s=256&d=identicon&r=PG', 'display_name': 'Valentin Vrinceanu', 'link': 'https://stackoverflow.com/users/1337160/valentin-vrinceanu'}",True,194,1,1,1658231389,1356855527,14089309,CC BY-SA 4.0,https://stackoverflow.com/questions/14089309/html-page-options-using-jquery,HTML Page Options using jquery,14089568.0,1658231389.0,,,,,,
41,"['html', 'css']","{'account_id': 2183697, 'reputation': 75, 'user_id': 1932607, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f8ddccfad20503932150adbf5e9c71a6?s=256&d=identicon&r=PG', 'display_name': 'user1932607', 'link': 'https://stackoverflow.com/users/1932607/user1932607'}",True,31111,4,5,1657347033,1356850142,14088890,CC BY-SA 3.0,https://stackoverflow.com/questions/14088890/why-the-margin-padding-doesnt-work-in-table-td-and-tr,why the margin padding doesn&#39;t work in table td and tr?,,,,,,,,
42,"['html', 'css', 'forms', 'radio-button', 'label']","{'account_id': 1330714, 'reputation': 705, 'user_id': 1274699, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/85e5357fbeca1ac80cefbbfa14c7d8af?s=256&d=identicon&r=PG', 'display_name': 'CBuzatu', 'link': 'https://stackoverflow.com/users/1274699/cbuzatu'}",True,5383,2,1,1656706921,1355845457,13936492,CC BY-SA 4.0,https://stackoverflow.com/questions/13936492/align-a-label-to-top-of-radio-button-in-css,Align a label to top of radio button in CSS,13988169.0,1656706921.0,,,,,,
43,"['html', 'jquery', 'css', 'radio-button']","{'account_id': 2011976, 'reputation': 39, 'user_id': 1800204, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/883cfa5ee1bd679e37cd4f20ae1dfdb7?s=256&d=identicon&r=PG', 'display_name': 'PowerGuitarist', 'link': 'https://stackoverflow.com/users/1800204/powerguitarist'}",True,71,2,0,1656702948,1355173781,13809304,CC BY-SA 4.0,https://stackoverflow.com/questions/13809304/removeclass-of-other-childeren-in-same-parent-div,RemoveClass of other childeren in same parent div,13809319.0,1656702948.0,,,,,,
44,"['css', 'css-animations']","{'account_id': 238644, 'reputation': 315241, 'user_id': 507674, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/6801bf30e40c9f7972987d67e2d5e4f2?s=256&d=identicon&r=PG', 'display_name': 'Niet the Dark Absol', 'link': 'https://stackoverflow.com/users/507674/niet-the-dark-absol'}",True,153324,12,97,1656558867,1355529213,13887889,CC BY-SA 3.0,https://stackoverflow.com/questions/13887889/css-animation-delay-in-repeating,CSS animation delay in repeating,,,,,,,,
45,"['javascript', 'html', 'css']","{'account_id': 2048767, 'reputation': 83, 'user_id': 1828231, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/8cc10c7747fb1ae9ecd9932c8297dda5?s=256&d=identicon&r=PG', 'display_name': 'Mikey', 'link': 'https://stackoverflow.com/users/1828231/mikey'}",True,16743,2,3,1655669475,1354755287,13735247,CC BY-SA 4.0,https://stackoverflow.com/questions/13735247/changing-the-href-of-a-link-tag-using-javascript,Changing the href of a link tag using JavaScript,13735267.0,1651608478.0,,,,,,
46,"['html', 'css']","{'account_id': 1926260, 'reputation': 2339, 'user_id': 1736621, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/ef5262e739a57404b1baf761f35c6ed8?s=256&d=identicon&r=PG', 'display_name': 'TheFooProgrammer', 'link': 'https://stackoverflow.com/users/1736621/thefooprogrammer'}",True,5618,5,5,1655634068,1356607764,14053952,CC BY-SA 3.0,https://stackoverflow.com/questions/14053952/why-is-there-padding-at-the-bottom-of-my-image,Why is there padding at the bottom of my image?,14054008.0,,,,,,,
47,"['html', 'css', 'webshop']","{'account_id': 2131215, 'reputation': 53, 'user_id': 1892002, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/17ba157ebdba352073fd54d1e55d1339?s=256&d=identicon&r=PG', 'display_name': 'RabbitDK', 'link': 'https://stackoverflow.com/users/1892002/rabbitdk'}",True,9665,4,5,1655572659,1356720664,14074279,CC BY-SA 4.0,https://stackoverflow.com/questions/14074279/insert-text-above-input-type-image,Insert text above &lt;input type=&quot;image&quot;&gt;,,1621392149.0,,,,,,
48,"['javascript', 'html', 'css', 'dom-events']","{'account_id': 1465902, 'reputation': 5882, 'user_id': 1443324, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/9mdB5.jpg?s=256&g=1', 'display_name': 'sbrbot', 'link': 'https://stackoverflow.com/users/1443324/sbrbot'}",False,105,1,0,1655152124,1354531483,13681602,CC BY-SA 4.0,https://stackoverflow.com/questions/13681602/how-to-divide-td-cell-logically,How to divide TD cell logically,,1655152124.0,,,,,,
