,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,community_owned_date,migrated_from,locked_date
10,"['sql', 'ruby-on-rails', 'activerecord']","{'user_type': 'does_not_exist', 'display_name': 'user308096'}",True,28573,11623103.0,2,11,1666082992,1343094067,1343095258.0,11622959,CC BY-SA 3.0,https://stackoverflow.com/questions/11622959/rails-scope-and-joins,rails scope and joins,,,,,,
11,"['c#', 'sql', 'ado.net', 'dataset', 'datareader']","{'account_id': 1185416, 'reputation': 1573, 'user_id': 1159500, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/q2IVf.jpg?s=256&g=1', 'display_name': 'Andriy Zakharko', 'link': 'https://stackoverflow.com/users/1159500/andriy-zakharko'}",True,127051,11345818.0,9,22,1665659103,1341496236,1483462028.0,11345761,CC BY-SA 3.0,https://stackoverflow.com/questions/11345761/how-to-fill-dataset-with-multiple-tables,How to fill Dataset with multiple tables?,,,,,,
12,"['java', 'sql', 'jpa', 'persistence', 'limit']","{'account_id': 1409397, 'reputation': 11745, 'user_id': 1336310, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/b76d0d885b3861c65ec6e30bf4d4b53b?s=256&d=identicon&r=PG', 'display_name': 'Menno', 'link': 'https://stackoverflow.com/users/1336310/menno'}",True,104118,11655956.0,3,77,1665284856,1343239540,1528900947.0,11655870,CC BY-SA 4.0,https://stackoverflow.com/questions/11655870/jpa-2-criteriaquery-using-a-limit,"JPA 2 CriteriaQuery, using a limit",,,,,,
13,"['sql', 'foxpro', 'visual-foxpro']","{'account_id': 1176749, 'reputation': 164, 'user_id': 1152568, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/9075c7a57945d0bb93b52d03043806fb?s=256&d=identicon&r=PG', 'display_name': 'Ganapathy', 'link': 'https://stackoverflow.com/users/1152568/ganapathy'}",False,16280,,3,6,1664467275,1341643412,1341659896.0,11372901,CC BY-SA 3.0,https://stackoverflow.com/questions/11372901/sql-query-to-select-a-column-with-expression-of-non-aggregate-value-and-aggregat,SQL query to select a column with expression of non-aggregate value and aggregate function,,,,,,
14,"['mysql', 'sql', 'database']","{'account_id': 992067, 'reputation': 7417, 'user_id': 1009061, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/8225d44334799fda73cc5f2e307729b1?s=256&d=identicon&r=PG', 'display_name': 'David B&#233;langer', 'link': 'https://stackoverflow.com/users/1009061/david-b%c3%a9langer'}",True,8072,11368893.0,2,6,1664320068,1341604631,,11368871,CC BY-SA 3.0,https://stackoverflow.com/questions/11368871/mysql-can-we-order-by-column-position-instead-of-name,MySQL - Can we order by column position instead of name?,,,,,,
15,"['sql', 'oracle', 'auto-increment']","{'account_id': 1165267, 'reputation': 7085, 'user_id': 1143828, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/B7Ofw.jpg?s=256&g=1', 'display_name': 'Sushan Ghimire', 'link': 'https://stackoverflow.com/users/1143828/sushan-ghimire'}",True,1231832,11296469.0,18,496,1664165993,1341241788,1494229274.0,11296361,CC BY-SA 3.0,https://stackoverflow.com/questions/11296361/how-to-create-id-with-auto-increment-on-oracle,How to create id with AUTO_INCREMENT on Oracle?,1458763897.0,,,,,
16,"['mysql', 'sql']","{'account_id': 449847, 'reputation': 15837, 'user_id': 844872, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/15cf8e9490ec58e8449f3f05d1c87667?s=256&d=identicon&r=PG', 'display_name': 'Illep', 'link': 'https://stackoverflow.com/users/844872/illep'}",True,162277,11641203.0,9,31,1663947025,1343175637,1493629973.0,11641096,CC BY-SA 3.0,https://stackoverflow.com/questions/11641096/error-while-inserting-date-incorrect-date-value,Error while inserting date - Incorrect date value:,,,,,,
17,"['mysql', 'sql', 'join']","{'account_id': 1638049, 'reputation': 1026, 'user_id': 1511015, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/123bd30b7ec9f168fe39e235ea113df0?s=256&d=identicon&r=PG', 'display_name': 'TaeL', 'link': 'https://stackoverflow.com/users/1511015/tael'}",True,5325,11410564.0,3,4,1662286317,1341912380,1662286317.0,11410312,CC BY-SA 4.0,https://stackoverflow.com/questions/11410312/mysql-full-join-with-three-tables-and-calculation,MySQL full join with three tables and calculation,,,,,,
18,"['sql', 'sql-server', 'unit-testing', 'deadlock', 'raiserror']","{'account_id': 13829, 'reputation': 16245, 'user_id': 27968, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/4706003a8f571f612606affcb2e9417e?s=256&d=identicon&r=PG', 'display_name': 'Paul Williams', 'link': 'https://stackoverflow.com/users/27968/paul-williams'}",True,28875,11849943.0,7,29,1661346272,1342735180,1342736275.0,11569964,CC BY-SA 3.0,https://stackoverflow.com/questions/11569964/how-to-simulate-a-deadlock-in-sql-server-in-a-single-process,How to simulate a deadlock in SQL Server in a single process?,,,,,,
19,"['sql', 'sql-server', 'join', 'data-visualization', 'venn-diagram']","{'account_id': 1038240, 'reputation': 6644, 'user_id': 1044866, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/4ce6378063b76a9b0f91630f2784ba01?s=256&d=identicon&r=PG', 'display_name': 'CptSupermrkt', 'link': 'https://stackoverflow.com/users/1044866/cptsupermrkt'}",True,8680,11717591.0,2,3,1660899227,1343630875,1660899227.0,11716541,CC BY-SA 4.0,https://stackoverflow.com/questions/11716541/joins-explained-by-venn-diagram-with-more-than-one-join,Joins explained by Venn Diagram with more than one join,,,,,,
20,"['sql', 'sql-server', 'sql-server-2008']","{'account_id': 189007, 'reputation': 14949, 'user_id': 428073, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/fca34fb2d6224dd1e55bd61491fcb9cb?s=256&d=identicon&r=PG&f=1', 'display_name': 'Neo', 'link': 'https://stackoverflow.com/users/428073/neo'}",True,10735,11498797.0,4,1,1660330218,1342416633,1423297898.0,11498555,CC BY-SA 3.0,https://stackoverflow.com/questions/11498555/how-to-handle-drop-table-if-there-is-a-view-on-a-table,How to handle DROP TABLE if there is a view on a table?,,,,,,
21,"['mysql', 'sql', 'union', 'aggregate-functions']","{'account_id': 328297, 'reputation': 105018, 'user_id': 651174, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/2e2d79b9350ef4ebf04ac0ad5816a5c3?s=256&d=identicon&r=PG', 'display_name': 'David542', 'link': 'https://stackoverflow.com/users/651174/david542'}",True,75392,11731660.0,6,49,1658232803,1343695515,1343695923.0,11731655,CC BY-SA 3.0,https://stackoverflow.com/questions/11731655/how-to-do-a-count-on-a-union-query,How to do a count on a union query,,,,,,
22,"['sql', 'sqlite', 'function', 'simulation']","{'account_id': 247217, 'reputation': 202563, 'user_id': 521799, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/eb96efa7a5664ba1c4ebf586abd4121f?s=256&d=identicon&r=PG', 'display_name': 'Lukas Eder', 'link': 'https://stackoverflow.com/users/521799/lukas-eder'}",True,5069,61559304.0,4,10,1658186644,1342728577,1525172168.0,11568496,CC BY-SA 3.0,https://stackoverflow.com/questions/11568496/how-to-emulate-repeat-in-sqlite,How to emulate REPEAT() in SQLite,,,,,,
23,"['sql', 'codeigniter', 'activerecord', 'sql-update']","{'account_id': 334989, 'reputation': 1400, 'user_id': 661801, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/1d70fd5c76f0e98059f617da5dbdf26d?s=256&d=identicon&r=PG', 'display_name': 'avinashse', 'link': 'https://stackoverflow.com/users/661801/avinashse'}",True,18157,,6,1,1657888230,1342621914,1342629137.0,11543780,CC BY-SA 3.0,https://stackoverflow.com/questions/11543780/sql-update-codeigniter,sql update codeigniter,,,,,,
24,"['sql', 'sql-server']","{'account_id': 1072156, 'reputation': 815, 'user_id': 1071168, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/33d3c571a0eb10ece8c3f4361a1f3b40?s=256&d=identicon&r=PG', 'display_name': 'John W. Mnisi', 'link': 'https://stackoverflow.com/users/1071168/john-w-mnisi'}",True,210309,,7,60,1657638417,1342697148,1342699925.0,11559846,CC BY-SA 3.0,https://stackoverflow.com/questions/11559846/how-to-list-files-inside-a-folder-with-sql-server,How to list files inside a folder with SQL Server,,,,,,
25,"['php', 'mysql', 'sql', 'postgresql', 'postgis']","{'account_id': 330365, 'reputation': 2969, 'user_id': 654440, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/2410571fda891ba0a8b610c85c546e1d?s=256&d=identicon&r=PG', 'display_name': 'preyz', 'link': 'https://stackoverflow.com/users/654440/preyz'}",True,8469,11593677.0,3,9,1656579714,1342885771,1342890263.0,11593602,CC BY-SA 3.0,https://stackoverflow.com/questions/11593602/differences-between-postgresql-and-mysql-for-php-developers,Differences between PostgreSQL and MySQL for PHP developers,,,,,,
26,"['sql', 'join']","{'account_id': 1298780, 'reputation': 8133, 'user_id': 1249117, 'user_type': 'registered', 'accept_rate': 22, 'profile_image': 'https://i.stack.imgur.com/gg5tf.jpg?s=256&g=1', 'display_name': 'Vivek Kumar Ray', 'link': 'https://stackoverflow.com/users/1249117/vivek-kumar-ray'}",True,255353,,2,134,1656350383,1341988659,1580548153.0,11426929,CC BY-SA 4.0,https://stackoverflow.com/questions/11426929/can-we-use-join-for-two-different-database-tables,Can we use join for two different database tables?,,,,,,
27,"['sql', 'delphi', 'floating-point', 'format']","{'account_id': 1249751, 'reputation': 199, 'user_id': 1210396, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/dd3663c8f32777a18db182de8c5001da?s=256&d=identicon&r=PG', 'display_name': 'user1210396', 'link': 'https://stackoverflow.com/users/1210396/user1210396'}",True,2982,11482905.0,3,3,1655044399,1342260329,1655044399.0,11482850,CC BY-SA 4.0,https://stackoverflow.com/questions/11482850/different-regional-setting-different-format-float-in-delphi,Different Regional Setting Different Format Float in Delphi,,,,,,
28,"['sql', 'tsql', 'sql-server-2008-r2']","{'account_id': 57588, 'reputation': 6262, 'user_id': 172543, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/IuwXO.jpg?s=256&g=1', 'display_name': 'Vaibhav', 'link': 'https://stackoverflow.com/users/172543/vaibhav'}",True,4722,11666655.0,4,5,1654407633,1343295790,,11666593,CC BY-SA 3.0,https://stackoverflow.com/questions/11666593/why-do-people-use-raiseerror-instead-of-print-in-t-sql,Why do people use RaiseError instead of Print in T-SQL,,,,,,
29,"['sql', 'sql-server', 'sql-server-2008-r2']","{'account_id': 155993, 'reputation': 9314, 'user_id': 373021, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/a773240d2c4f8fb794c957087ce3adde?s=256&d=identicon&r=PG', 'display_name': 'Marek Kwiendacz', 'link': 'https://stackoverflow.com/users/373021/marek-kwiendacz'}",True,107159,11503656.0,8,50,1653636079,1342438656,1342438742.0,11503463,CC BY-SA 3.0,https://stackoverflow.com/questions/11503463/how-to-return-default-value-from-sql-query,How to return default value from SQL query,,,,,,
30,"['sql', 'insert', 'dbnull', 'varbinarymax']","{'account_id': 173144, 'reputation': 11819, 'user_id': 401643, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/89503845649598e0ea21e8e9d5b5f9ca?s=256&d=identicon&r=PG', 'display_name': 'Pascal', 'link': 'https://stackoverflow.com/users/401643/pascal'}",True,67429,11412306.0,2,17,1652808104,1341917935,1628881086.0,11411854,CC BY-SA 4.0,https://stackoverflow.com/questions/11411854/implicit-conversion-from-data-type-nvarchar-to-varbinarymax-is-not-allowed,Implicit conversion from data type nvarchar to varbinary(max) is not allowed,,,,,,
31,"['sql', 'sql-server', 'database', 'delete-row']","{'account_id': 190285, 'reputation': 2741, 'user_id': 430154, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/7d620bf92502bf845afa685d89cdea6c?s=256&d=identicon&r=PG', 'display_name': 'Nick', 'link': 'https://stackoverflow.com/users/430154/nick'}",True,13837,11319099.0,4,4,1652560388,1341348935,1341349369.0,11319029,CC BY-SA 3.0,https://stackoverflow.com/questions/11319029/deleting-rows-in-a-table-a-chunk-at-a-time,Deleting rows in a table a chunk at a time,,,,,,
32,"['sql', 'oracle', 'plsql']","{'account_id': 1302809, 'reputation': 1049, 'user_id': 1252398, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/0a1daf3df50713768abe7058da27b529?s=256&d=identicon&r=PG', 'display_name': 'user1252398', 'link': 'https://stackoverflow.com/users/1252398/user1252398'}",True,204155,,6,30,1652336725,1341408077,1439864704.0,11329953,CC BY-SA 3.0,https://stackoverflow.com/questions/11329953/how-do-i-print-output-in-new-line-in-pl-sql,How do I print output in new line in PL/SQL?,,,,,,
33,"['mysql', 'sql']","{'account_id': 1657365, 'reputation': 91, 'user_id': 1526520, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-NLAgpkyHqlQ/AAAAAAAAAAI/AAAAAAAACPw/T-4GfICf8x8/photo.jpg?sz=256', 'display_name': 'Rajib Sarker', 'link': 'https://stackoverflow.com/users/1526520/rajib-sarker'}",True,339,,2,0,1652177604,1342331675,1652177604.0,11489770,CC BY-SA 4.0,https://stackoverflow.com/questions/11489770/mysql-where-condition-on-alpha-numeric-column,MySQL where condition on alpha-numeric column,,,,,,
34,"['sql', 'postgresql', 'plpgsql', 'postgresql-9.1']","{'account_id': 57964, 'reputation': 4639, 'user_id': 173630, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/N1fXR.jpg?s=256&g=1', 'display_name': 'nnyby', 'link': 'https://stackoverflow.com/users/173630/nnyby'}",True,22804,11732249.0,3,14,1650079152,1343693951,,11731481,CC BY-SA 3.0,https://stackoverflow.com/questions/11731481/pl-pgsql-select-into-an-array,PL/pgSQL SELECT into an array,,,,,,
35,"['sql', 'sql-server', 'sql-server-2005', 'join', 'null']","{'account_id': 1684233, 'reputation': 108, 'user_id': 1547826, 'user_type': 'registered', 'accept_rate': 22, 'profile_image': 'https://www.gravatar.com/avatar/1e53ac1d81c046d02ca9d38302b759a2?s=256&d=identicon&r=PG', 'display_name': 'ashi', 'link': 'https://stackoverflow.com/users/1547826/ashi'}",False,443,,2,-1,1649912615,1343206277,1343209216.0,11645981,CC BY-SA 3.0,https://stackoverflow.com/questions/11645981/sql-find-the-date-on-have-not-recived-any-order,SQL find the date on have not recived any order,,,,,,
36,"['sql', 'sql-server', 'sql-server-2008']","{'account_id': 123375, 'reputation': 9181, 'user_id': 317785, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/4d525cf2f444ad7c94e82cc3b2225653?s=256&d=identicon&r=PG', 'display_name': 'Cocoa Dev', 'link': 'https://stackoverflow.com/users/317785/cocoa-dev'}",True,62248,11402538.0,4,7,1649697090,1341865232,1341865340.0,11402497,CC BY-SA 3.0,https://stackoverflow.com/questions/11402497/sql-server-2012-how-do-i-view-data,SQL Server 2012 how do I view data?,,,,,,
37,"['sql', 'sql-server', 'sql-server-2008', 'ssis']","{'account_id': 1676309, 'reputation': 71, 'user_id': 1541795, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/14d1dfcbb8d896d85062660fd677f785?s=256&d=identicon&r=PG', 'display_name': 'BloodBall', 'link': 'https://stackoverflow.com/users/1541795/bloodball'}",True,17927,,3,7,1649069029,1343073450,1361904979.0,11619564,CC BY-SA 3.0,https://stackoverflow.com/questions/11619564/weird-ssis-error-process-exit-code-255,Weird SSIS Error (Process Exit Code 255),,,,,,
38,"['sql', 'postgresql', 'count', 'aggregate-functions']","{'account_id': 1564761, 'reputation': 81, 'user_id': 1453804, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/a36a558c119ccf54836bda4cb2e6fd3b?s=256&d=identicon&r=PG', 'display_name': 'Julie', 'link': 'https://stackoverflow.com/users/1453804/julie'}",True,251,,1,0,1649024009,1342026925,1342038295.0,11437923,CC BY-SA 3.0,https://stackoverflow.com/questions/11437923/coalesce-not-evaluating-second-argument,Coalesce not evaluating second argument?,,,,,,
39,"['mysql', 'sql', 'foreign-keys', 'primary-key']","{'account_id': 445028, 'reputation': 2447, 'user_id': 837208, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/772d2ea49bd4e797030b82386246e1b3?s=256&d=identicon&r=PG', 'display_name': 'user837208', 'link': 'https://stackoverflow.com/users/837208/user837208'}",True,28576,11278397.0,4,7,1648628144,1341097679,1552334886.0,11278343,CC BY-SA 4.0,https://stackoverflow.com/questions/11278343/unable-to-create-foreign-key-error-1072,Unable to create Foreign Key (ERROR 1072),,,,,,
40,"['mysql', 'sql']","{'account_id': 528456, 'reputation': 24518, 'user_id': 1150778, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/8b45707a25dcc7567005b6358d2aae41?s=256&d=identicon&r=PG&f=1', 'display_name': 'qazwsx', 'link': 'https://stackoverflow.com/users/1150778/qazwsx'}",True,410882,11312469.0,8,251,1648551293,1341323503,1341323617.0,11312433,CC BY-SA 3.0,https://stackoverflow.com/questions/11312433/how-to-alter-a-column-and-change-the-default-value,How to alter a column and change the default value?,,,,,,
41,"['sql', 'sql-server', 'sql-server-2008']","{'account_id': 1578027, 'reputation': 2947, 'user_id': 1464026, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/4b5777e2f53645a075942c406f772ef3?s=256&d=identicon&r=PG', 'display_name': 'Sam', 'link': 'https://stackoverflow.com/users/1464026/sam'}",True,27584,11491884.0,5,25,1648081941,1342354806,1428829361.0,11491831,CC BY-SA 3.0,https://stackoverflow.com/questions/11491831/null-values-are-excluded-why,NULL values are excluded. Why?,,,,,,
42,"['sql', 'entity-framework', 'linq-to-entities', 'count', 'group-by']","{'account_id': 1191207, 'reputation': 1435, 'user_id': 1163952, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/b0277fb88c86d4ae75dfcfbd582b0d2e?s=256&d=identicon&r=PG', 'display_name': 'fefwfefefwfwe', 'link': 'https://stackoverflow.com/users/1163952/fefwfefefwfwe'}",True,167054,11564436.0,5,117,1647637453,1342712227,1342712847.0,11564311,CC BY-SA 3.0,https://stackoverflow.com/questions/11564311/sql-to-entity-framework-count-group-by,SQL to Entity Framework Count Group-By,,,,,,
43,"['sql', 'sql-server', 'dynamic', 'conditional-statements']","{'account_id': 285690, 'reputation': 1965, 'user_id': 584508, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/282335b9a5945b89698f592ca3acbfcc?s=256&d=identicon&r=PG', 'display_name': 'E-A', 'link': 'https://stackoverflow.com/users/584508/e-a'}",True,6363,11395815.0,4,2,1647267733,1341838949,1341839039.0,11395580,CC BY-SA 3.0,https://stackoverflow.com/questions/11395580/sql-how-to-use-dynamic-condition-logics,"SQL, how to use Dynamic Condition logics?",,,,,,
44,"['sql', 'ms-access']","{'account_id': 1065515, 'reputation': 5616, 'user_id': 1066197, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/AotiU.png?s=256&g=1', 'display_name': 'Suffii', 'link': 'https://stackoverflow.com/users/1066197/suffii'}",True,109004,,15,18,1646589665,1342638973,1557514210.0,11548697,CC BY-SA 4.0,https://stackoverflow.com/questions/11548697/how-to-list-fields-name-in-table-in-access-using-sql,How to List Field&#39;s Name in table in Access Using SQL,,,,,,
45,"['sql', 'oracle', 'oracle10g']","{'account_id': 1664102, 'reputation': 1, 'user_id': 1531865, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/242f893288366ef7d29e7bb14294fa91?s=256&d=identicon&r=PG', 'display_name': 'over', 'link': 'https://stackoverflow.com/users/1531865/over'}",False,1751,,1,0,1646424543,1342530829,1646424543.0,11523295,CC BY-SA 4.0,https://stackoverflow.com/questions/11523295/oracle-10g-alias-column-from-query,Oracle 10g - Alias column from query,,,,,,
46,"['sql', 'string', 'excel', 'connection']","{'account_id': 1705345, 'reputation': 91, 'user_id': 1564499, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b2b45228bba67f769eb301e85f962801?s=256&d=identicon&r=PG', 'display_name': 'Nick Ower', 'link': 'https://stackoverflow.com/users/1564499/nick-ower'}",True,2206,,4,9,1646203809,1343699219,,11732033,CC BY-SA 3.0,https://stackoverflow.com/questions/11732033/mass-update-excel-file-connection-string,Mass update Excel file connection string,,,,,,
47,"['sql', 'sql-server']","{'account_id': 1427130, 'reputation': 1553, 'user_id': 1350341, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/9898047864d9806e66533bea0bc861a3?s=256&d=identicon&r=PG', 'display_name': 'Shmewnix', 'link': 'https://stackoverflow.com/users/1350341/shmewnix'}",True,187316,11418541.0,10,17,1645513280,1341940622,1341940760.0,11418496,CC BY-SA 3.0,https://stackoverflow.com/questions/11418496/how-to-find-the-number-of-days-between-two-dates,How to find the number of days between two dates,,,,,,
