,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_to,locked_date
10,"['c#', 'sql', 'vb.net', 'visual-studio', 'visual-studio-code']","{'account_id': 25610594, 'reputation': 1, 'user_id': 19384100, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b451ed68aebe0e46b9717633433f640f?s=256&d=identicon&r=PG', 'display_name': 'Imad', 'link': 'https://stackoverflow.com/users/19384100/imad'}",True,71,,1,0,1668583696,1667080067,1667080129.0,74249092,CC BY-SA 4.0,https://stackoverflow.com/questions/74249092/tableadapter-update-and-identity-column,TableAdapter.update() and Identity Column,,,,
11,"['sql', 'google-bigquery', 'datetime-format']","{'account_id': 21219640, 'reputation': 71, 'user_id': 15606528, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1e984792ba63a4940e31a06d2f3ef23e?s=256&d=identicon&r=PG&f=1', 'display_name': 'getunstuck', 'link': 'https://stackoverflow.com/users/15606528/getunstuck'}",True,42,74144303.0,1,0,1668577724,1666287862,,74144197,CC BY-SA 4.0,https://stackoverflow.com/questions/74144197/how-to-format-a-timestamp-to-string-with-fractional-seconds-in-bigquery,How to format a timestamp to string with fractional seconds in BigQuery?,,,,
12,"['sql', 'reporting-services', 'report', 'percentage', 'backslash']","{'account_id': 26620003, 'reputation': 1, 'user_id': 20238884, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ef0040f343ce71f9dc8d34a639d1ca70?s=256&d=identicon&r=PG', 'display_name': 'Gryfon', 'link': 'https://stackoverflow.com/users/20238884/gryfon'}",False,40,,1,0,1668572722,1665737390,,74066696,CC BY-SA 4.0,https://stackoverflow.com/questions/74066696/ssrs-how-can-i-prevent-my-report-adding-backslashes-in-front-of-a-percentage,SSRS How can I prevent my report adding backslashes \ in front of a percentage % sign when my report is run?,,,,
13,"['sql', 'r', 'database', 'import']","{'account_id': 22369014, 'reputation': 61, 'user_id': 16584356, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/4156354784447371/picture?type=large', 'display_name': 'Marcus Willems', 'link': 'https://stackoverflow.com/users/16584356/marcus-willems'}",True,30,74446873.0,1,0,1668520728,1666872431,1666873546.0,74221768,CC BY-SA 4.0,https://stackoverflow.com/questions/74221768/directly-get-data-table-from-sql-server-r,Directly get data.table from SQL Server R,,,,
14,"['sql', 'oracle', 'gaps-and-islands']","{'account_id': 92325, 'reputation': 33, 'user_id': 253075, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1e746315236de9a0542ec549e335e2e0?s=256&d=identicon&r=PG', 'display_name': 'Seb', 'link': 'https://stackoverflow.com/users/253075/seb'}",True,33,,1,0,1668471249,1665584064,1668471249.0,74043383,CC BY-SA 4.0,https://stackoverflow.com/questions/74043383/oracle-sql-sum-over-columns-with-partition-by-but-keep-same-order-and-exclude-s,Oracle SQL: Sum over columns with PARTITION BY but keep same order and exclude sorting column,,,,
15,"['python', 'sql', 'coalesce']","{'account_id': 21771301, 'reputation': 15, 'user_id': 16074369, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiyWIm13LEkk92WTBgoqeyhrpqAquy6ZlB6KP6mzA=k-s256', 'display_name': 'Zafar Imam', 'link': 'https://stackoverflow.com/users/16074369/zafar-imam'}",True,165,73943033.0,1,1,1668447195,1664623465,1664624231.0,73917905,CC BY-SA 4.0,https://stackoverflow.com/questions/73917905/joining-multiple-columns-and-coalesce-and-when-then-cases-pace-yrmn-simpl,"Joining multiple columns and coalesce and when, then cases (&#39;pace_&amp;YrMn.&#39;- simple variable )",,,,
16,"['sql', 'db2', 'subquery', 'query-optimization', 'inner-join']","{'account_id': 4571972, 'reputation': 846, 'user_id': 3711445, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/4eef9151fe9d6aa3407fe57f8fac15b9?s=256&d=identicon&r=PG', 'display_name': 'kaizokun', 'link': 'https://stackoverflow.com/users/3711445/kaizokun'}",True,129,74431171.0,1,-2,1668426625,1665934603,1668370912.0,74088418,CC BY-SA 4.0,https://stackoverflow.com/questions/74088418/which-query-is-the-fastest-the-one-using-inner-join-or-the-one-using-a-subquery,Which query is the fastest--the one using inner join or the one using a subquery?,,,,
17,"['php', 'sql', 'laravel', 'eloquent']","{'account_id': 3619563, 'reputation': 2293, 'user_id': 3018671, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/w0vV4.jpg?s=256&g=1', 'display_name': 'NicuVlad', 'link': 'https://stackoverflow.com/users/3018671/nicuvlad'}",False,25,,0,0,1668419854,1665325082,1668419854.0,74005534,,https://stackoverflow.com/questions/74005534/laravel-ignore-case-when-using-string-primary-key-in-relationship,Laravel: ignore case when using string primary key in relationship,1665325801.0,Duplicate,,
18,"['sql', 'postgresql']","{'account_id': 26147428, 'reputation': 11, 'user_id': 20164278, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0fff90e33cfbfa1b6ac05a4753f02916?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sam24', 'link': 'https://stackoverflow.com/users/20164278/sam24'}",True,124,,1,0,1668278853,1664949744,1665006506.0,73956415,CC BY-SA 4.0,https://stackoverflow.com/questions/73956415/i-accidentally-deleted-the-default-postgres-database,I accidentally deleted the default postgres database,,,,
19,"['sql', 'sql-server']","{'account_id': 19646352, 'reputation': 17, 'user_id': 14381274, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a808759d0db1a76b335a82d620563b3d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Deepak Ananth', 'link': 'https://stackoverflow.com/users/14381274/deepak-ananth'}",True,65,73973874.0,1,0,1668273441,1665058030,1668273441.0,73973509,CC BY-SA 4.0,https://stackoverflow.com/questions/73973509/how-to-merge-the-list-of-records-based-on-common-field-in-sql,How to merge the list of records based on common field in SQL,,,,
20,"['sql', 'postgresql', 'count', 'materialized-views', 'postgresql-performance']","{'account_id': 8853109, 'reputation': 4757, 'user_id': 6611672, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/fa3f99cc3070ae57d877e08f9564ed22?s=256&d=identicon&r=PG&f=1', 'display_name': 'Johnny Metz', 'link': 'https://stackoverflow.com/users/6611672/johnny-metz'}",True,330,,5,0,1668194240,1666131462,1667843951.0,74118023,CC BY-SA 4.0,https://stackoverflow.com/questions/74118023/optimize-aggregate-query-on-massive-table-to-refresh-materialized-view,Optimize aggregate query on massive table to refresh materialized view,,,,
21,"['sql', 'apache-spark', 'join', 'pyspark', 'sql-update']","{'account_id': 26593597, 'reputation': 101, 'user_id': 20216373, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu3E9_5FdRnH6bylvZK8pcZVL0d0JF9oZajg6JJB=k-s256', 'display_name': 'BigData Lover', 'link': 'https://stackoverflow.com/users/20216373/bigdata-lover'}",True,94,74145713.0,1,0,1668152009,1666289751,1668152009.0,74144537,CC BY-SA 4.0,https://stackoverflow.com/questions/74144537/how-to-do-joins-and-update-together-in-a-same-query-in-pyspark,How to do joins and update together in a same query in PySpark?,,,,
22,"['sql', 'sqlite']","{'account_id': 20188089, 'reputation': 1255, 'user_id': 17472988, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cb225aba4067f2ddeed99631986af179?s=256&d=identicon&r=PG&f=1', 'display_name': 'PChemGuy', 'link': 'https://stackoverflow.com/users/17472988/pchemguy'}",True,50,74248931.0,1,1,1668114067,1667051901,1668114067.0,74245930,CC BY-SA 4.0,https://stackoverflow.com/questions/74245930/indexing-mixed-type-columns,Indexing mixed-type columns,,,,
23,"['c#', 'sql', 'azure', 'message-queue', 'queuetrigger']","{'account_id': 26443804, 'reputation': 3, 'user_id': 20087901, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e897ce1dac13a283de0e7669ccc8c60a?s=256&d=identicon&r=PG', 'display_name': 'OMO', 'link': 'https://stackoverflow.com/users/20087901/omo'}",False,135,,0,0,1668106655,1665121165,1668106655.0,73982813,CC BY-SA 4.0,https://stackoverflow.com/questions/73982813/how-would-i-put-the-message-from-a-queue-trigger-into-a-database-after-it-has-be,how would i put the message from a queue trigger into a database after it has been triggered?,,,,
24,"['sql', 'postgresql', 'bash']","{'account_id': 26399953, 'reputation': 11, 'user_id': 20050567, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/ACNPEu9d1nErI77s2-0GoqNM09bpK-FGAUBD0MBM5971Gg=k-s256', 'display_name': 'Anukrati Mehta', 'link': 'https://stackoverflow.com/users/20050567/anukrati-mehta'}",False,94,,1,0,1668073257,1665041919,,73970133,CC BY-SA 4.0,https://stackoverflow.com/questions/73970133/bash-script-why-am-i-getting-a-syntax-error,BASH script - Why am I getting a syntax error?,,,,
25,"['sql', 'merge', 'azure-synapse']","{'account_id': 23947693, 'reputation': 1, 'user_id': 17939802, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9315207e42e0a8dea33adfd1f473cf9c?s=256&d=identicon&r=PG', 'display_name': 'niko', 'link': 'https://stackoverflow.com/users/17939802/niko'}",False,59,,1,-1,1668062424,1666859211,,74218974,CC BY-SA 4.0,https://stackoverflow.com/questions/74218974/performance-problem-of-merge-statement-in-azure-synapse,Performance problem of MERGE statement in Azure Synapse,,,,
26,"['sql', 'sapb1']","{'account_id': 1646516, 'reputation': 121, 'user_id': 1534855, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/1VKE0.jpg?s=256&g=1', 'display_name': 'chloe', 'link': 'https://stackoverflow.com/users/1534855/chloe'}",False,28,,0,0,1668048759,1667194798,1668048759.0,74259144,CC BY-SA 4.0,https://stackoverflow.com/questions/74259144/how-to-link-purchase-order-and-ap-invoice,How to link Purchase Order and AP Invoice?,,,,
27,"['sql', 'hana']","{'account_id': 26757844, 'reputation': 1, 'user_id': 20356214, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu1MN934zNAzyRyW-hFn7zNRX0Kr8l_fXTNJMVmW=k-s256', 'display_name': 'Looping Harry', 'link': 'https://stackoverflow.com/users/20356214/looping-harry'}",False,50,,0,-1,1668048722,1666948259,1668048722.0,74233060,CC BY-SA 4.0,https://stackoverflow.com/questions/74233060/split-datetime-data-by-hour,Split DateTime Data by Hour?,,,,
28,"['mysql', 'sql', 'mysql-workbench']","{'account_id': 26680775, 'reputation': 1, 'user_id': 20290762, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu0gahwERMGKtxFmpzH_R4YGrk8j0L06AS0HYY3ItA=k-s256', 'display_name': 'Manish', 'link': 'https://stackoverflow.com/users/20290762/manish'}",True,52,74141551.0,1,-2,1668025308,1666262572,1668025308.0,74138535,CC BY-SA 4.0,https://stackoverflow.com/questions/74138535/sql-query-optimization-for-speed,SQL query optimization for speed,,,,
29,"['sql', 'sql-server', 'tsql']","{'account_id': 25327060, 'reputation': 23, 'user_id': 19147535, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0d9faab6431f68fade6c190ccb110373?s=256&d=identicon&r=PG', 'display_name': 'mtaa_hl7', 'link': 'https://stackoverflow.com/users/19147535/mtaa-hl7'}",True,68,74081628.0,1,1,1668016752,1665843959,1668016752.0,74080283,CC BY-SA 4.0,https://stackoverflow.com/questions/74080283/extracting-numbers-from-varchar-column-for-calculations,Extracting numbers from varchar column for calculations,,,,
30,"['sql', 'sql-server', 'tsql', 'pivot']","{'account_id': 8884938, 'reputation': 1814, 'user_id': 6633488, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/5a028e0abce4fd2e123935845d0f17db?s=256&d=identicon&r=PG&f=1', 'display_name': 'BlackCat', 'link': 'https://stackoverflow.com/users/6633488/blackcat'}",True,31,74070935.0,2,2,1668016697,1665758224,1668016697.0,74070860,CC BY-SA 4.0,https://stackoverflow.com/questions/74070860/why-pivot-in-sql-server-output-one-row-only,Why PIVOT in Sql server output one row only?,,,,
31,"['sql', 'sql-server', 'tsql']","{'account_id': 26329668, 'reputation': 25, 'user_id': 19990364, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1ee1b2ddeea7cfdd97a23194885aef5c?s=256&d=identicon&r=PG', 'display_name': 'intransigent_rocker', 'link': 'https://stackoverflow.com/users/19990364/intransigent-rocker'}",True,34,74062056.0,1,1,1668016678,1665695703,1668016678.0,74061876,,https://stackoverflow.com/questions/74061876/referencing-multiple-aliases-in-a-new-field,Referencing multiple aliases in a new field,1665697914.0,Duplicate,,
32,"['sql', 'sql-server', 'tsql']","{'account_id': 14843137, 'reputation': 23, 'user_id': 10719252, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-WGG1XLtiKNc/AAAAAAAAAAI/AAAAAAAAAyA/Nmpt0PXl8dQ/photo.jpg?sz=256', 'display_name': 'Andrew Fry', 'link': 'https://stackoverflow.com/users/10719252/andrew-fry'}",True,53,74084153.0,1,0,1668016647,1665881086,1668016647.0,74083929,CC BY-SA 4.0,https://stackoverflow.com/questions/74083929/how-do-i-take-the-values-of-one-record-in-a-table-and-split-it-into-multiple-col,How do I take the values of one record in a table and split it into multiple columns?,,,,
33,"['sql', 'sql-server', 'tsql', 'sql-server-2016']","{'account_id': 5090880, 'reputation': 1092, 'user_id': 4083998, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/a342180636ab2ef90f08e1c2ae9f0527?s=256&d=identicon&r=PG&f=1', 'display_name': 'Chad Portman', 'link': 'https://stackoverflow.com/users/4083998/chad-portman'}",True,71,74132947.0,2,1,1668016619,1666215495,1668016619.0,74132182,CC BY-SA 4.0,https://stackoverflow.com/questions/74132182/sql-challenge-names,SQL Challenge &quot;Names&quot;,,,,
34,"['sql', 'sql-server', 'tsql']","{'account_id': 5228264, 'reputation': 187, 'user_id': 4179582, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d37a763d817787f16a973fa99c06105c?s=256&d=identicon&r=PG&f=1', 'display_name': 'slashbrackets', 'link': 'https://stackoverflow.com/users/4179582/slashbrackets'}",True,54,74216344.0,2,-1,1668016563,1666839438,1668016563.0,74216285,CC BY-SA 4.0,https://stackoverflow.com/questions/74216285/write-a-sql-statement-as-a-pivot-table,Write a SQL statement as a pivot table?,,,,
35,"['sql', 'sql-server', 'azure-synapse', 'dataiku']","{'account_id': 26524077, 'reputation': 11, 'user_id': 20157323, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/ACNPEu9SZo8VG5JWojlWqSd2b88wi9ZKkm4BPZrmtK3l=k-s256', 'display_name': 'Pierre-Yves Mimpontel', 'link': 'https://stackoverflow.com/users/20157323/pierre-yves-mimpontel'}",False,122,,1,1,1667974929,1664881278,,73946902,CC BY-SA 4.0,https://stackoverflow.com/questions/73946902/select-the-greatest-occurence-from-a-column-based-on-date-is-frequencies-are-th,"Select the greatest occurence from a column, based on date is frequencies are the same",,,,
36,"['sql', 'azure', 'reporting-services', 'azure-active-directory']","{'account_id': 15176622, 'reputation': 13, 'user_id': 11396082, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3b43177950f3b549a940fcfd472976ad?s=256&d=identicon&r=PG', 'display_name': 'user506427', 'link': 'https://stackoverflow.com/users/11396082/user506427'}",False,58,,1,1,1667940427,1666194010,,74128188,CC BY-SA 4.0,https://stackoverflow.com/questions/74128188/how-to-deploy-ssrs-through-app-proxy-or-website,How to deploy SSRS through App Proxy or Website,,,,
37,"['sql', 'database', 'postgresql', 'performance']","{'account_id': 24510024, 'reputation': 45, 'user_id': 18424466, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyViJEB8VA7I9nydbJuCzp-HxtLTpdIHW0pyssM=k-s256', 'display_name': 'Ari Baranian', 'link': 'https://stackoverflow.com/users/18424466/ari-baranian'}",False,53,,1,0,1667930710,1664600292,1664603066.0,73915910,CC BY-SA 4.0,https://stackoverflow.com/questions/73915910/efficient-query-for-updating-element-tags,Efficient query for updating element tags,,,,
38,"['sql', 'oracle', 'triggers', 'sql-delete']","{'account_id': 23997008, 'reputation': 37, 'user_id': 17982417, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/998e914ebb6531508a73856a18820ffd?s=256&d=identicon&r=PG', 'display_name': 'DarkBlade', 'link': 'https://stackoverflow.com/users/17982417/darkblade'}",True,29,74362286.0,1,0,1667917150,1666602003,,74178747,CC BY-SA 4.0,https://stackoverflow.com/questions/74178747/sql-trigger-on-delete-does-not-return-data-when-a-combination-factor-exists,SQL Trigger on DELETE does not return data when a combination factor exists,,,,
39,"['sql', 'database', 'delphi', 'syntax-error']","{'account_id': 26778317, 'reputation': 1, 'user_id': 20373588, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu2LdjC3Q_wuTtZ5GwrQcae4N6fHg6hiS1n2jj6M-g=k-s256', 'display_name': 'Catherine Kies', 'link': 'https://stackoverflow.com/users/20373588/catherine-kies'}",False,86,,2,-3,1667914167,1667154308,1667156883.0,74255668,CC BY-SA 4.0,https://stackoverflow.com/questions/74255668/delphi-syntax-error-in-from-clause-but-no-from-clause,"Delphi Syntax error in FROM clause, but no from clause",,,,
40,"['sql', 'django', 'django-models', 'django-rest-framework', 'django-views']","{'account_id': 24306324, 'reputation': 43, 'user_id': 18249027, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ddbbf9b04d92664fe7ba61b9e6085423?s=256&d=identicon&r=PG', 'display_name': 'akhil', 'link': 'https://stackoverflow.com/users/18249027/akhil'}",True,41,,3,0,1667911143,1667036130,1667257247.0,74244211,CC BY-SA 4.0,https://stackoverflow.com/questions/74244211/django-filter-queryset-union,django filter querySet union?,,,,
41,"['sql', 'oracle', 'if-statement', 'triggers']","{'account_id': 13113905, 'reputation': 15, 'user_id': 9473856, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'Sergio ', 'link': 'https://stackoverflow.com/users/9473856/sergio'}",True,39,74244453.0,1,0,1667768613,1667012170,1667768613.0,74242518,CC BY-SA 4.0,https://stackoverflow.com/questions/74242518/livesql-trigger-if-statement,Livesql Trigger IF statement,,,,
42,"['python', 'mysql', 'sql', 'list', 'metadata']","{'account_id': 6927721, 'reputation': 361, 'user_id': 5318258, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/7fd7b345eaed364cc360ca1e20f24517?s=256&d=identicon&r=PG&f=1', 'display_name': 'akash sharma', 'link': 'https://stackoverflow.com/users/5318258/akash-sharma'}",False,42,,0,0,1667767613,1665054455,1667767613.0,73972781,CC BY-SA 4.0,https://stackoverflow.com/questions/73972781/facing-issue-while-updating-metadata-constraint-issue,Facing issue while updating metadata (constraint issue),,,,
43,['sql'],"{'account_id': 26783768, 'reputation': 15, 'user_id': 20378251, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu3Fw8PgiGuusqnGI9hxNHK9vq0p8MJHLktpCePy=k-s256', 'display_name': 'Samantha', 'link': 'https://stackoverflow.com/users/20378251/samantha'}",True,51,74262188.0,3,0,1667755552,1667211506,1667755552.0,74261797,CC BY-SA 4.0,https://stackoverflow.com/questions/74261797/sql-how-to-select-data-countries-that-only-has-code-with-3-characters,SQL How to select data (countries) that only has code with 3 characters?,,,,
44,"['sql', 'postgresql']","{'account_id': 26725069, 'reputation': 1, 'user_id': 20328298, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ALm5wu0p-qyV6cb5-6kQOBuUBFEPTnopXMSW55Cgu4b9=k-s256', 'display_name': 'Ary Apriansyah', 'link': 'https://stackoverflow.com/users/20328298/ary-apriansyah'}",False,35,,0,0,1667751378,1666686565,1667751378.0,74191156,CC BY-SA 4.0,https://stackoverflow.com/questions/74191156/how-to-count-row-with-spesific-conditions-in-postgresql-count-daily-check-in,How to count row with spesific conditions in postgresql - count daily check-in,,,,
45,"['sql', 'mariadb', 'substring', 'varchar']","{'account_id': 19646455, 'reputation': 7, 'user_id': 14381358, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2f8d7286fc5c6d6e4d29e49c9c532ebf?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tom Pit', 'link': 'https://stackoverflow.com/users/14381358/tom-pit'}",False,44,,0,0,1667747929,1666718715,1667747929.0,74197982,CC BY-SA 4.0,https://stackoverflow.com/questions/74197982/mariadb-how-to-get-a-part-of-string,MariaDB: How to get a part of string,,,,
46,"['mysql', 'sql', 'phpmyadmin', 'laravel-8']","{'account_id': 5210129, 'reputation': 51, 'user_id': 4166841, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/EiTjg.jpg?s=256&g=1', 'display_name': 'stanhook', 'link': 'https://stackoverflow.com/users/4166841/stanhook'}",False,28,,0,-1,1667679378,1667094467,1667679378.0,74250000,CC BY-SA 4.0,https://stackoverflow.com/questions/74250000/how-to-convert-sql-statement-used-in-asp-to-mysql,How to Convert SQL statement used in ASP to MySQL,,,,
