,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date,locked_date
10,"['sql', 'database', 'postgresql', 'recursive-query']","{'account_id': 7951442, 'reputation': 322, 'user_id': 6002154, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/083fe94269c1469d4476a31fe9c67753?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rahul', 'link': 'https://stackoverflow.com/users/6002154/rahul'}",False,138,1,0,1662973765,1622712624,,67818916,CC BY-SA 4.0,https://stackoverflow.com/questions/67818916/postgresql-split-single-row-into-multiple-rows-based-on-date,Postgresql split single row into multiple rows based on date,,,,,
11,"['sql', 'google-bigquery', 'common-table-expression']","{'account_id': 21791093, 'reputation': 19, 'user_id': 16091276, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiOuUFckUuFXgGo7S_IBucDDFeT1BF1ZBqt2kuhYxE=k-s256', 'display_name': 'Lara G', 'link': 'https://stackoverflow.com/users/16091276/lara-g'}",True,12646,7,0,1662805960,1623058607,1623194709.0,67869254,CC BY-SA 4.0,https://stackoverflow.com/questions/67869254/syntax-error-expected-or-or-keyword-select-but-got-end-of-script,"Syntax error: Expected &quot;(&quot; or &quot;,&quot; or keyword SELECT but got end of script",,,,,
12,"['sql', 'sql-update', 'firebird', 'firebird-3.0']","{'account_id': 21774354, 'reputation': 3, 'user_id': 16077012, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjyX10XTxWk9XjhF7h32yWM8Sg8FhToDzqLPIO1=k-s256', 'display_name': 'Brian Milburn', 'link': 'https://stackoverflow.com/users/16077012/brian-milburn'}",False,180,1,0,1662670056,1624032942,1624035145.0,68038439,CC BY-SA 4.0,https://stackoverflow.com/questions/68038439/updating-null-fields-with-values,Updating NULL fields with values,,,,,
13,"['php', 'mysql', 'sql', 'html-select']","{'account_id': 21388041, 'reputation': 19, 'user_id': 16015540, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiBzdBUISIOLbr408_hLiWTD8lGr0Lkpc5yiFR4=k-s256', 'display_name': 'it&#39;s my world', 'link': 'https://stackoverflow.com/users/16015540/its-my-world'}",False,34,1,0,1662554321,1623260968,1662554321.0,67909354,CC BY-SA 4.0,https://stackoverflow.com/questions/67909354/issue-with-option-tag-in-html-while-storing-in-database-by-php,Issue With option Tag In HTML While Storing in Database By PHP,,,,,
14,"['python', 'sql', 'flask', 'sqlalchemy', 'querying']","{'account_id': 21863203, 'reputation': 31, 'user_id': 16153758, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/268f2292e1906611268936130e1632bf?s=256&d=identicon&r=PG&f=1', 'display_name': 'Uladzimir Treihis', 'link': 'https://stackoverflow.com/users/16153758/uladzimir-treihis'}",True,1023,2,1,1661664529,1623080292,1623131768.0,67874630,CC BY-SA 4.0,https://stackoverflow.com/questions/67874630/how-to-filter-an-sqlalchemy-query-to-all-parents-w-o-children-and-all-parents,"How to filter an sqlalchemy query to all Parents w/o Children, and all Parents, who fall under conditions in a Flask Form",67876125.0,,,,
15,"['sql', 'postgresql']","{'account_id': 6689339, 'reputation': 2509, 'user_id': 5159284, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://lh5.googleusercontent.com/-OOFekBZ5XGI/AAAAAAAAAAI/AAAAAAAAAAs/LQvc5fKbXGI/photo.jpg?sz=256', 'display_name': 'psr', 'link': 'https://stackoverflow.com/users/5159284/psr'}",True,822,2,0,1660855799,1623677930,,67971305,CC BY-SA 4.0,https://stackoverflow.com/questions/67971305/how-to-select-column-1-value-if-exists-else-column-2-value-in-postgresql,How to select column 1 value if exists else column 2 value in PostgresQL?,67971354.0,,,,
16,"['sql', 'date', 'amazon-redshift', 'filenames', 'unload']","{'account_id': 21967381, 'reputation': 80, 'user_id': 16244401, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5bac1d589d9761295ddab853799896d2?s=256&d=identicon&r=PG&f=1', 'display_name': 'ItayKirgner', 'link': 'https://stackoverflow.com/users/16244401/itaykirgner'}",True,1141,2,1,1660847658,1623855222,1623855478.0,68005150,CC BY-SA 4.0,https://stackoverflow.com/questions/68005150/how-to-add-date-to-a-files-name-using-unload-in-redshift,How to add date to a file&#39;s name using UNLOAD in Redshift,68005525.0,,,,
17,"['mysql', 'sql', 'recursive-query', 'mysql-8.0']","{'account_id': 8133842, 'reputation': 613, 'user_id': 6126162, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a1502ae78e3f47fcb0f80fedeb16cc45?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nelumbo', 'link': 'https://stackoverflow.com/users/6126162/nelumbo'}",True,115,1,1,1660120667,1624442514,1660120667.0,68097675,CC BY-SA 4.0,https://stackoverflow.com/questions/68097675/understanding-recursive-cte-with-floats,Understanding recursive cte with floats,68098035.0,,,,
18,"['python', 'sql', 'stored-procedures']","{'account_id': 7464890, 'reputation': 301, 'user_id': 8586856, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5ccd11dc7882fa2c267fd53022d4c25b?s=256&d=identicon&r=PG&f=1', 'display_name': 'akriti', 'link': 'https://stackoverflow.com/users/8586856/akriti'}",False,800,3,1,1659707680,1623224351,1623225864.0,67899651,CC BY-SA 4.0,https://stackoverflow.com/questions/67899651/how-to-insert-values-in-a-column-name-with-space-in-sql-using-python,How to insert values in a column name with space in sql using python,,,,,
19,"['java', 'sql', 'tls1.2']","{'account_id': 22047418, 'reputation': 51, 'user_id': 16312206, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0ced0a97e4731c81d1fed98980ab3d3b?s=256&d=identicon&r=PG&f=1', 'display_name': 'meilyusuf', 'link': 'https://stackoverflow.com/users/16312206/meilyusuf'}",False,17130,1,5,1659229225,1624604554,1624654282.0,68126780,CC BY-SA 4.0,https://stackoverflow.com/questions/68126780/how-to-fix-the-server-selected-protocol-version-tls10-is-not-accepted-by-client,how to fix The server selected protocol version TLS10 is not accepted by client preferences [TLS12],,,,,
20,"['mysql', 'sql', 'mariadb', 'dateadd']","{'account_id': 13984142, 'reputation': 66, 'user_id': 10099654, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-NuDvq7DmfxA/AAAAAAAAAAI/AAAAAAAAABw/0WVmjter5iQ/photo.jpg?sz=256', 'display_name': 'mwxgaf', 'link': 'https://stackoverflow.com/users/10099654/mwxgaf'}",True,127,1,0,1658571309,1624645571,1658571122.0,68135625,CC BY-SA 4.0,https://stackoverflow.com/questions/68135625/mysql-date-add-function-how-to-use-another-value-of-another-column-as-date-argu,MySQL DATE_ADD function; how to use another value of another column as date argument on table creation,,,,,
21,"['mysql', 'sql', 'pandas', 'mysql-connector']","{'account_id': 19815084, 'reputation': 41, 'user_id': 16345624, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/24c1b0974b284c0e83213cb3fa0e5e94?s=256&d=identicon&r=PG&f=1', 'display_name': 'GCB', 'link': 'https://stackoverflow.com/users/16345624/gcb'}",True,76,1,1,1658406109,1625014588,,68187267,CC BY-SA 4.0,https://stackoverflow.com/questions/68187267/why-cant-i-replace-an-existing-table-in-my-mysql-database-using-the-following-c,Why can&#39;t I replace an existing table in my MySQL database using the following code?,,,,,
22,"['php', 'html', 'sql', 'post', 'get']","{'account_id': 19972668, 'reputation': 11, 'user_id': 14637773, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6510df20216481ac69ee3b220cb2cb97?s=256&d=identicon&r=PG&f=1', 'display_name': 'ImagineX_Development', 'link': 'https://stackoverflow.com/users/14637773/imaginex-development'}",False,224,2,-1,1658315107,1623967006,,68026966,CC BY-SA 4.0,https://stackoverflow.com/questions/68026966/use-a-anchor-tag-as-a-post-method,Use a anchor tag as a post method?,,,,,
23,"['sql', 'sqlite', 'group-by', 'count']","{'account_id': 16446632, 'reputation': 142, 'user_id': 11881261, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/062463be1bad7739fae11f332831445b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Aman Savaria', 'link': 'https://stackoverflow.com/users/11881261/aman-savaria'}",True,558,3,-1,1656706056,1624645596,1624649812.0,68135631,CC BY-SA 4.0,https://stackoverflow.com/questions/68135631/sql-query-for-getting-the-movie-id-and-number-of-people-of-each-gender-for-that,SQL Query for getting the movie id and number of people of each gender for that movie ID,,,,,
24,"['sql', 'sql-server', 'tsql']","{'account_id': 3084660, 'reputation': 304, 'user_id': 2612083, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/EUhKy.png?s=256&g=1', 'display_name': 'jellz77', 'link': 'https://stackoverflow.com/users/2612083/jellz77'}",True,319,2,-1,1656489617,1622838199,1623095516.0,67843551,CC BY-SA 4.0,https://stackoverflow.com/questions/67843551/group-by-with-gap-in-date-sequence-gaps-and-islands,Group by with gap in date sequence (&quot;gaps and islands&quot;),67843565.0,,,,
25,"['sql', 'sql-server', 'tsql', 'aggregate-functions', 'cross-apply']","{'account_id': 21036091, 'reputation': 59, 'user_id': 15459514, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/27343bce44aff71a941c57adaa0a279a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tony', 'link': 'https://stackoverflow.com/users/15459514/tony'}",True,1090,3,1,1656321522,1623682520,1656321522.0,67972587,CC BY-SA 4.0,https://stackoverflow.com/questions/67972587/why-does-a-t-sql-cross-apply-sometimes-behave-like-a-left-join,Why does a T-SQL CROSS APPLY sometimes behave like a LEFT JOIN,,,,,
26,"['sql', 'sas', 'teradata', 'number-formatting']","{'account_id': 19897876, 'reputation': 15, 'user_id': 14578597, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-v_-sRtrvfE4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck3pICcFSIH3txrEahWWXBvGn1e0Q/s96-c/photo.jpg?sz=256', 'display_name': 'Bob Unknown', 'link': 'https://stackoverflow.com/users/14578597/bob-unknown'}",True,173,1,0,1655140798,1623174690,1655140798.0,67892182,CC BY-SA 4.0,https://stackoverflow.com/questions/67892182/commas-using-sas-and-td-sql,Commas using SAS and TD SQL,,,,,
27,"['c#', 'sql', 'asp.net-mvc', 'entity-framework']","{'account_id': 16166248, 'reputation': 11, 'user_id': 11671159, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-ypAxhjPwMU8/AAAAAAAAAAI/AAAAAAAAAFk/s8sEwIU5F-s/photo.jpg?sz=256', 'display_name': 'Jeff Craft', 'link': 'https://stackoverflow.com/users/11671159/jeff-craft'}",True,545,3,1,1654722941,1624028885,1624043724.0,68037535,CC BY-SA 4.0,https://stackoverflow.com/questions/68037535/why-am-i-getting-the-error-create-table-permission-denied-in-database-elitepro,Why am I getting the error &quot;CREATE TABLE permission denied in database &#39;ELITEPROD&#39;&quot; when I&#39;m trying to query a view in ASP.NET MVC5 using EF?,,,,,
28,"['java', 'mysql', 'sql', 'jpa']","{'account_id': 14130692, 'reputation': 123, 'user_id': 10319132, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-0IttBZTPLoM/AAAAAAAAAAI/AAAAAAAAAAA/AAnnY7ob4Vdxd5MGZDrem1gkrnjbTvxw7w/mo/photo.jpg?sz=256', 'display_name': 'Ryan', 'link': 'https://stackoverflow.com/users/10319132/ryan'}",False,396,1,0,1654526305,1624630427,,68132471,CC BY-SA 4.0,https://stackoverflow.com/questions/68132471/how-to-use-columntransformer-encryption-and-decryption-with-native-query,How to use @ColumnTransformer encryption and decryption with native query?,,,,,
29,"['sql', 'amazon-web-services', 'amazon-timestream']","{'account_id': 22012855, 'reputation': 94, 'user_id': 16282845, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/gt238.png?s=256&g=1', 'display_name': 'Sebastian Grunow', 'link': 'https://stackoverflow.com/users/16282845/sebastian-grunow'}",False,436,1,4,1654379955,1624294970,,68071961,CC BY-SA 4.0,https://stackoverflow.com/questions/68071961/aws-timestream-how-to-select-ohlc-values,AWS Timestream: How to select OHLC values?,,,,,
30,['sql'],"{'account_id': 21154351, 'reputation': 13, 'user_id': 15613896, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/055c013093ddd997b4ea48a6dd03e8ef?s=256&d=identicon&r=PG&f=1', 'display_name': 'Martin', 'link': 'https://stackoverflow.com/users/15613896/martin'}",True,1634,2,0,1654184578,1623355496,,67927831,CC BY-SA 4.0,https://stackoverflow.com/questions/67927831/marketing-cloud-query-studio-field-name-cannot-contain-the-character,Marketing Cloud - Query Studio: Field name cannot contain the character,,,,,
31,"['sql', 'fiware', 'fiware-orion', 'fiware-cygnus', 'cratedb']","{'account_id': 19517247, 'reputation': 59, 'user_id': 14279844, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fb39bad27a7d7622fa11b101c013cf23?s=256&d=identicon&r=PG&f=1', 'display_name': 'Yannick', 'link': 'https://stackoverflow.com/users/14279844/yannick'}",True,127,1,0,1653309332,1623395588,,67932711,CC BY-SA 4.0,https://stackoverflow.com/questions/67932711/fiware-quantum-leap-date-query,Fiware Quantum Leap Date Query,72348612.0,,,,
32,"['mysql', 'sql', 'error-handling', 'dbforge']","{'account_id': 20178448, 'reputation': 51, 'user_id': 14799523, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gg_KGv8haaQgiBKlGjoTMliG34f5v-W-4dwrjVP=k-s256', 'display_name': 'q1werty', 'link': 'https://stackoverflow.com/users/14799523/q1werty'}",True,704,2,2,1652889257,1622812273,1652889257.0,67837835,CC BY-SA 4.0,https://stackoverflow.com/questions/67837835/mysql-continue-error-handler-for-missing-table-when-calling-prepare,MySQL Continue Error Handler for missing table when calling PREPARE,67885545.0,,,,
33,"['sql', 'postgresql']","{'account_id': 19370993, 'reputation': 63, 'user_id': 14164296, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gg_KcMVhW5SxhE2fobhFMjMqpXsmSgQwZm-nmhntA=k-s256', 'display_name': 'Elizama Melo', 'link': 'https://stackoverflow.com/users/14164296/elizama-melo'}",True,982,2,2,1652861727,1622640886,1652861727.0,67806209,CC BY-SA 4.0,https://stackoverflow.com/questions/67806209/extract-first-word-to-first-space-postgres,Extract first word to first space - POSTGRES,,,,,
34,"['sql', 'google-bigquery', 'drop']","{'account_id': 20128184, 'reputation': 149, 'user_id': 14761117, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1d0b7152231a1f404df6993c134b0694?s=256&d=identicon&r=PG&f=1', 'display_name': 'dan', 'link': 'https://stackoverflow.com/users/14761117/dan'}",True,285,2,1,1652724724,1624940689,1652707199.0,68172610,CC BY-SA 4.0,https://stackoverflow.com/questions/68172610/drop-a-few-tables-that-have-similar-names-by-using-wildcard,Drop a few tables that have similar names by using wildcard,,,,,
35,"['mysql', 'sql']","{'account_id': 11154486, 'reputation': 319, 'user_id': 12935694, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-0WQPqnbYaJI/AAAAAAAAAAI/AAAAAAAAAFg/7nLYfEMsXIw/photo.jpg?sz=256', 'display_name': 'martian_rover', 'link': 'https://stackoverflow.com/users/12935694/martian-rover'}",True,152,1,-1,1652570785,1622638947,1652570785.0,67805646,CC BY-SA 4.0,https://stackoverflow.com/questions/67805646/calculate-the-number-of-users-based-on-the-below-conditions-by-writing-a-single,Calculate the number of users based on the below conditions by writing a single query SQL,67805692.0,,,,
36,"['mysql', 'sql']","{'account_id': 11154486, 'reputation': 319, 'user_id': 12935694, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-0WQPqnbYaJI/AAAAAAAAAAI/AAAAAAAAAFg/7nLYfEMsXIw/photo.jpg?sz=256', 'display_name': 'martian_rover', 'link': 'https://stackoverflow.com/users/12935694/martian-rover'}",True,85,2,-1,1652570728,1622631947,1652570728.0,67803923,CC BY-SA 4.0,https://stackoverflow.com/questions/67803923/how-to-find-the-overall-top-played-game-name-by-each-player-along-with-number-of,How to find the overall top played game name by each player along with number of times played SQL,67803983.0,,,,
37,"['mysql', 'sql', 'informix', 'weekday']","{'account_id': 1099760, 'reputation': 6848, 'user_id': 1092450, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'itro', 'link': 'https://stackoverflow.com/users/1092450/itro'}",True,600,1,1,1652570212,1622792490,,67833311,CC BY-SA 4.0,https://stackoverflow.com/questions/67833311/how-to-get-weekday-name-from-a-date-in-informix-sql,How to get weekday name from a date in informix sql?,67835146.0,,,,
38,"['mysql', 'sql', 'join', 'pivot']","{'account_id': 21867200, 'reputation': 1, 'user_id': 16157206, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/689513900529f9ec7bd44f927f10a953?s=256&d=identicon&r=PG&f=1', 'display_name': 'SynthAura', 'link': 'https://stackoverflow.com/users/16157206/synthaura'}",True,708,4,-1,1652569670,1623093400,1623094325.0,67877516,CC BY-SA 4.0,https://stackoverflow.com/questions/67877516/mysql-combine-duplicate-rows-in-left-join-into-one-row-with-all-data,MYSQL combine duplicate rows in left join into one row with all data,67877904.0,,,,
39,"['mysql', 'sql']","{'account_id': 21722974, 'reputation': 13, 'user_id': 16032796, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyCt-M3Sakdxc3tTHjdfafVbdWYq8xeA7UreJib=k-s256', 'display_name': 'Leonardo Quatrocchi', 'link': 'https://stackoverflow.com/users/16032796/leonardo-quatrocchi'}",True,43,1,0,1652569413,1623173314,1623178492.0,67891856,CC BY-SA 4.0,https://stackoverflow.com/questions/67891856/how-to-load-data-infile-in-mysql-avoiding-records-with-5-minutes-of-difference-o,How to Load data infile in MySQL avoiding records with 5 minutes of difference of the same client? (I can do it on excel easily),67895728.0,,,,
40,"['php', 'mysql', 'sql', 'database', 'codeigniter']","{'user_type': 'does_not_exist', 'display_name': 'user16124793'}",True,59,1,-2,1652569084,1623216822,1623218001.0,67898135,CC BY-SA 4.0,https://stackoverflow.com/questions/67898135/query-to-search-for-a-specific-value-in-a-db-column,Query to search for a specific value in a db column,67898373.0,,,,
41,"['mysql', 'sql', 'database', 'select', 'where-clause']","{'account_id': 21788763, 'reputation': 179, 'user_id': 16089345, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/63838693c28e8ab5ae216ed06c32d3ee?s=256&d=identicon&r=PG&f=1', 'display_name': 'DozezQuest', 'link': 'https://stackoverflow.com/users/16089345/dozezquest'}",True,35,1,0,1652569001,1623255672,1623257186.0,67908063,CC BY-SA 4.0,https://stackoverflow.com/questions/67908063/why-i-get-wrong-result-set-mysql,Why i get wrong result set mysql?,67908121.0,,,,
42,"['mysql', 'sql', 'wordpress', 'mariadb']","{'account_id': 7123979, 'reputation': 746, 'user_id': 5853892, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/58833f306558485d523ab39483d674d6?s=256&d=identicon&r=PG&f=1', 'display_name': 'BlueDogRanch', 'link': 'https://stackoverflow.com/users/5853892/bluedogranch'}",True,92,1,0,1652568357,1623355421,1623543889.0,67927820,CC BY-SA 4.0,https://stackoverflow.com/questions/67927820/if-a-meta-key-has-a-meta-value-update-the-meta-key-name,"If a meta_key has a meta_value, update the meta_key name",67953929.0,,,,
43,"['mysql', 'sql']","{'account_id': 19190384, 'reputation': 37, 'user_id': 14020224, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b8c570d403f71ed04cf6c5ad50d25c5c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ramadhani Baharzah', 'link': 'https://stackoverflow.com/users/14020224/ramadhani-baharzah'}",True,1735,2,-1,1652568249,1623379372,,67930639,CC BY-SA 4.0,https://stackoverflow.com/questions/67930639/how-to-show-months-if-it-has-no-record-and-force-it-to-zero-if-null-on-mysql,How to show months if it has no record and force it to zero if null on MySQL,67932311.0,,,,
44,"['php', 'mysql', 'sql', 'laravel', 'laravel-5']","{'account_id': 16186810, 'reputation': 155, 'user_id': 11686680, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-VgO3nQAGimc/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rf8hVaUsnbGluRAAhav-wftqVyABA/mo/photo.jpg?sz=256', 'display_name': 'Dapp Future', 'link': 'https://stackoverflow.com/users/11686680/dapp-future'}",True,43,1,1,1652568008,1623383315,,67931036,CC BY-SA 4.0,https://stackoverflow.com/questions/67931036/how-to-simplify-a-sql-in-loop-query-from-1-to-multiple-in-checks-in-the-same-q,How to simplify a SQL &quot;IN&quot; loop query from 1 to multiple IN checks in the same query?,67931139.0,,,,
