,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,protected_date,closed_date,closed_reason,migrated_from
10,"['mysql', 'sql', 'insert', 'auto-increment']","{'account_id': 1255572, 'reputation': 41297, 'user_id': 1215106, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/615ff12525dbd5868b7c78d9754aed72?s=256&d=identicon&r=PG', 'display_name': 'Ωmega', 'link': 'https://stackoverflow.com/users/1215106/%e2%84%a6mega'}",True,5378,1,4,1660812121,1335368411,10319003,CC BY-SA 3.0,https://stackoverflow.com/questions/10319003/insert-ignore-increases-auto-increment-counter-even-no-record-is-added,INSERT IGNORE increases auto increment counter even no record is added?,10319714.0,1373916810.0,,,,
11,"['sql', 'sql-server', 'database', 'sql-server-2008']","{'account_id': 973281, 'reputation': 2256, 'user_id': 995337, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/aac3f6bdb6ea40dcc7e6afef06d0b3fa?s=256&d=identicon&r=PG', 'display_name': 'alimac83', 'link': 'https://stackoverflow.com/users/995337/alimac83'}",True,83137,5,16,1659448218,1333457906,9993761,CC BY-SA 4.0,https://stackoverflow.com/questions/9993761/how-long-should-a-query-that-returns-5-million-records-take,How long should a query that returns 5 million records take?,,1659447788.0,,,,
12,"['sql', 'sql-server-2008', 'insert', 'timestamp']","{'account_id': 279943, 'reputation': 198051, 'user_id': 575376, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/LnDUq.gif?s=256&g=1', 'display_name': 'juergen d', 'link': 'https://stackoverflow.com/users/575376/juergen-d'}",True,216253,7,74,1658934419,1335037744,10262426,CC BY-SA 3.0,https://stackoverflow.com/questions/10262426/sql-server-cannot-insert-an-explicit-value-into-a-timestamp-column,SQL Server: Cannot insert an explicit value into a timestamp column,10262454.0,1396617792.0,1495106638.0,,,
13,"['sql', 'sql-server']","{'account_id': 67541, 'reputation': 59130, 'user_id': 197606, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/14da0a77145571d61cee03ac6bb0fb35?s=256&d=identicon&r=PG', 'display_name': 'Ben', 'link': 'https://stackoverflow.com/users/197606/ben'}",True,344370,10,90,1658847267,1333550026,10013313,CC BY-SA 3.0,https://stackoverflow.com/questions/10013313/why-is-sql-server-throwing-this-error-cannot-insert-the-value-null-into-column,Why is SQL server throwing this error: Cannot insert the value NULL into column &#39;id&#39;?,10013372.0,1368575386.0,1599829520.0,,,
14,"['sql', 'database', 'ms-access']","{'account_id': 1103698, 'reputation': 1289, 'user_id': 1095549, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/b117e5ca3a61808199b59381dbbf16c7?s=256&d=identicon&r=PG', 'display_name': 'user1095549', 'link': 'https://stackoverflow.com/users/1095549/user1095549'}",True,12884,1,5,1658299265,1335438993,10332303,CC BY-SA 3.0,https://stackoverflow.com/questions/10332303/double-inner-join-in-access-db,double inner join in access db,10332963.0,1335441443.0,,,,
15,"['sql', 'sql-injection']","{'account_id': 1386797, 'reputation': 577, 'user_id': 1318634, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/110009a3f82707f54b04f7ef73b9d32b?s=256&d=identicon&r=PG', 'display_name': 'Developer Android', 'link': 'https://stackoverflow.com/users/1318634/developer-android'}",True,192699,6,21,1656941791,1335187241,10281349,CC BY-SA 4.0,https://stackoverflow.com/questions/10281349/testing-if-a-site-is-vulnerable-to-sql-injection,Testing if a site is vulnerable to Sql Injection,10281623.0,1656941791.0,1515085177.0,,,
16,"['sql', 'sql-server', 'entity-framework', 'one-to-one']","{'account_id': 1095746, 'reputation': 2560, 'user_id': 1089374, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://i.stack.imgur.com/HsXye.jpg?s=256&g=1', 'display_name': 'James', 'link': 'https://stackoverflow.com/users/1089374/james'}",True,207437,8,77,1656532568,1335246393,10292355,CC BY-SA 4.0,https://stackoverflow.com/questions/10292355/how-to-create-a-real-one-to-one-relationship-in-sql-server,How to Create a real one-to-one relationship in SQL Server,10292449.0,1623267682.0,1557490305.0,,,
17,"['mysql', 'sql', 'group-by', 'greatest-n-per-group']","{'account_id': 178232, 'reputation': 3199, 'user_id': 410065, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/8a7202b6dfb6d26fbb3810b4681a95a7?s=256&d=identicon&r=PG', 'display_name': 'Luis', 'link': 'https://stackoverflow.com/users/410065/luis'}",True,287566,8,61,1656515939,1333637038,10030787,CC BY-SA 4.0,https://stackoverflow.com/questions/10030787/using-order-by-and-group-by-together,Using ORDER BY and GROUP BY together,10030851.0,1636096386.0,,,,
18,"['mysql', 'sql']","{'account_id': 455586, 'reputation': 30971, 'user_id': 853836, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/fc609f2f90e5d5d6802b0201c15db5b6?s=256&d=identicon&r=PG', 'display_name': 'Addev', 'link': 'https://stackoverflow.com/users/853836/addev'}",True,513298,6,416,1656155143,1334590597,10177208,CC BY-SA 4.0,https://stackoverflow.com/questions/10177208/update-a-column-value-replacing-part-of-a-string,"Update a column value, replacing part of a string",10177250.0,1656155085.0,1647434260.0,,,
19,"['sql', 'postgresql', 'casting', 'timestamp', 'rounding']","{'account_id': 1279595, 'reputation': 4120, 'user_id': 1234019, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/58c05dc3e8f94f790899aa878a7bcedd?s=256&d=identicon&r=PG', 'display_name': 'Dipro Sen', 'link': 'https://stackoverflow.com/users/1234019/dipro-sen'}",True,88767,4,94,1656057151,1334764349,10213190,CC BY-SA 3.0,https://stackoverflow.com/questions/10213190/discard-millisecond-part-from-timestamp,Discard millisecond part from timestamp,10213289.0,1384936291.0,,,,
20,"['sql', 'sql-server', 'sql-server-2008', 'type-conversion']","{'account_id': 1402509, 'reputation': 522, 'user_id': 1331005, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/27b4071059877e9f7090a9ff692af046?s=256&d=identicon&r=PG', 'display_name': 'NiceYellowEgg', 'link': 'https://stackoverflow.com/users/1331005/niceyellowegg'}",True,18470,2,10,1654801971,1334746428,10207900,CC BY-SA 3.0,https://stackoverflow.com/questions/10207900/convert-nvarchar-iso-8601-date-to-datetime-in-sql-server,Convert nvarchar ISO-8601 date to datetime in SQL Server,10207986.0,,,,,
21,"['mysql', 'sql', 'timestamp']","{'account_id': 1399161, 'reputation': 125, 'user_id': 1328259, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ac16326e4033217a6cceeb1a7d0359e7?s=256&d=identicon&r=PG', 'display_name': 'NULL_USER', 'link': 'https://stackoverflow.com/users/1328259/null-user'}",True,11572,2,5,1654793299,1335374598,10320667,CC BY-SA 3.0,https://stackoverflow.com/questions/10320667/can-i-get-a-unique-timestamp-for-every-record-in-mysql,Can I get a unique TIMESTAMP for every record in MySQL,10321407.0,,,,,
22,"['mysql', 'sql']","{'account_id': 1440057, 'reputation': 1179, 'user_id': 1360463, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://i.stack.imgur.com/ZhpIZ.jpg?s=256&g=1', 'display_name': 'Chandra Sekhar Biswal', 'link': 'https://stackoverflow.com/users/1360463/chandra-sekhar-biswal'}",True,256185,6,114,1653978260,1335510753,10346302,CC BY-SA 4.0,https://stackoverflow.com/questions/10346302/mysql-concatenate-two-columns,"MySQL, Concatenate two columns",,1653978260.0,,,,
23,"['sql', 'oracle', 'date-comparison']","{'account_id': 1410034, 'reputation': 1741, 'user_id': 1336830, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9c1a2f7c451a124478dbda5227384fe1?s=256&d=identicon&r=PG', 'display_name': 'user1336830', 'link': 'https://stackoverflow.com/users/1336830/user1336830'}",True,809548,5,174,1652245849,1334595051,10178292,CC BY-SA 4.0,https://stackoverflow.com/questions/10178292/comparing-dates-in-oracle-sql,Comparing Dates in Oracle SQL,,1605211428.0,1454059058.0,,,
24,"['c#', '.net', 'sql', 'sqlite']","{'account_id': 244367, 'reputation': 2643, 'user_id': 517123, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/1645bcef01f949f5384466350a2122d8?s=256&d=identicon&r=PG', 'display_name': 'masterchris_99', 'link': 'https://stackoverflow.com/users/517123/masterchris-99'}",True,27085,3,18,1651582246,1335211620,10287487,CC BY-SA 3.0,https://stackoverflow.com/questions/10287487/sqlite-executereader-datatable-load-formatexception-datetime,SQLite ExecuteReader --&gt; DataTable.Load --&gt; FormatException (DateTime),11692024.0,1343428961.0,,,,
25,"['sql', 'sql-server', 'database', 'tsql', 'transactions']","{'account_id': 545438, 'reputation': 13034, 'user_id': 1020476, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/b0d26f8cfa5443da308d08ce6169e351?s=256&d=identicon&r=PG', 'display_name': 'Saeid', 'link': 'https://stackoverflow.com/users/1020476/saeid'}",True,344444,3,285,1650314723,1334406789,10153648,CC BY-SA 4.0,https://stackoverflow.com/questions/10153648/correct-use-of-transactions-in-sql-server,Correct use of transactions in SQL Server,10153706.0,1563196562.0,1394797019.0,,,
26,"['sql', 'rounding']","{'account_id': 331685, 'reputation': 3111, 'user_id': 656523, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/7876a987858b9dddb5b5843355789af4?s=256&d=identicon&r=PG', 'display_name': 'user656523', 'link': 'https://stackoverflow.com/users/656523/user656523'}",True,1096410,16,270,1650193257,1335772088,10380197,CC BY-SA 4.0,https://stackoverflow.com/questions/10380197/rounding-off-to-two-decimal-places-in-sql,Rounding off to two decimal places in SQL,10380227.0,1627595492.0,,,,
27,"['php', 'sql']","{'account_id': 974043, 'reputation': 180, 'user_id': 995907, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/590b8c59f26a4b713df207aaa84dd013?s=256&d=identicon&r=PG', 'display_name': 'Delta_Cmdr', 'link': 'https://stackoverflow.com/users/995907/delta-cmdr'}",True,4508,1,0,1650061224,1335191262,10282514,CC BY-SA 4.0,https://stackoverflow.com/questions/10282514/sqlsrv-num-rows-expects-parameter-1-to-be-resource-boolean-given,"sqlsrv_num_rows() expects parameter 1 to be resource, boolean given",,1650061224.0,,,,
28,"['sql', 'ms-access', 'where', 'sql-like']","{'account_id': 116415, 'reputation': 15207, 'user_id': 305270, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/013705d8688c112fcb47aad089b66ba3?s=256&d=identicon&r=PG', 'display_name': 'Totty.js', 'link': 'https://stackoverflow.com/users/305270/totty-js'}",True,117622,6,4,1649869462,1334152901,10107484,,https://stackoverflow.com/questions/10107484/how-to-use-like-and-not-like-in-sql-msaccess-for-the-same-field,How to use &quot;like&quot; and &quot;not like&quot; in SQL MSAccess for the same field?,10107508.0,1520865117.0,,1487024738.0,Not suitable for this site,
29,"['sql', 'sql-server-2008-r2']","{'account_id': 481737, 'reputation': 14865, 'user_id': 895724, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://www.gravatar.com/avatar/5955c683278cbb3d452db47a46b0aa16?s=256&d=identicon&r=PG', 'display_name': 'Mandeep Janjua', 'link': 'https://stackoverflow.com/users/895724/mandeep-janjua'}",True,14351,4,8,1649663192,1335544358,10354506,CC BY-SA 3.0,https://stackoverflow.com/questions/10354506/finding-rows-with-consecutive-increase-in-the-values-of-a-column,Finding rows with consecutive increase in the values of a column,10356338.0,1487021837.0,,,,
30,"['sql', 'postgresql', 'date', 'overlap']","{'account_id': 53968, 'reputation': 8143, 'user_id': 161397, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/e6b08f16d50146175a82329bf46780f7?s=256&d=identicon&r=PG', 'display_name': 'Psyche', 'link': 'https://stackoverflow.com/users/161397/psyche'}",True,126823,9,43,1649473437,1334563389,10170544,CC BY-SA 3.0,https://stackoverflow.com/questions/10170544/getting-results-between-two-dates-in-postgresql,Getting results between two dates in PostgreSQL,10171439.0,1412064494.0,,,,
31,"['mysql', 'sql', 'integer']","{'account_id': 254159, 'reputation': 339, 'user_id': 533356, 'user_type': 'registered', 'accept_rate': 18, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'speedmancs', 'link': 'https://stackoverflow.com/users/533356/speedmancs'}",True,31048,2,14,1647209138,1334803288,10220942,CC BY-SA 3.0,https://stackoverflow.com/questions/10220942/how-can-i-define-a-column-as-64bit-integer-using-sql,How can I define a column as 64bit integer using SQL,,1424249596.0,,,,
32,"['sql', 'sql-server-2008']","{'account_id': 1075787, 'reputation': 1361, 'user_id': 1073975, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/23999a040505da68bc8c55d282b660b1?s=256&d=identicon&r=PG', 'display_name': 'Hiren', 'link': 'https://stackoverflow.com/users/1073975/hiren'}",True,97477,11,32,1645610381,1335389452,10324107,CC BY-SA 4.0,https://stackoverflow.com/questions/10324107/show-all-rows-that-have-certain-columns-duplicated,Show all rows that have certain columns duplicated,10324140.0,1645610381.0,,,,
33,"['sql', 'entity-framework-4', 'ef-code-first']","{'account_id': 63095, 'reputation': 1759, 'user_id': 186991, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/7fc7880ab36d88e811a41bba2b537236?s=256&d=identicon&r=PG', 'display_name': 'NER1808', 'link': 'https://stackoverflow.com/users/186991/ner1808'}",True,4134,2,2,1645318156,1334235685,10124101,CC BY-SA 3.0,https://stackoverflow.com/questions/10124101/code-first-entity-framework-not-picking-up-web-config-connection-string-when-ini,Code-first Entity Framework not picking up web.config connection string when initializing,,1339879412.0,,,,
34,"['sql', 'database', 'oracle']","{'account_id': 40707, 'reputation': 19886, 'user_id': 118027, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/us7GK.jpg?s=256&g=1', 'display_name': 'opHASnoNAME', 'link': 'https://stackoverflow.com/users/118027/ophasnoname'}",True,22651,3,4,1644057837,1335261594,10295689,CC BY-SA 3.0,https://stackoverflow.com/questions/10295689/single-row-subquery-returns-more-than-one-row-how-to-find-the-duplicate,single-row subquery returns more than one row - how to find the duplicate?,10296065.0,,,,,
35,"['sql', 'sql-server', 'sql-server-2008-r2']","{'account_id': 984307, 'reputation': 453, 'user_id': 1003221, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/8f22ba5aebd98daf475b9e533fac3978?s=256&d=identicon&r=PG', 'display_name': 'user1003221', 'link': 'https://stackoverflow.com/users/1003221/user1003221'}",True,2264,1,2,1643586041,1334614856,10182533,CC BY-SA 4.0,https://stackoverflow.com/questions/10182533/efficient-query-to-split-a-delimited-column-into-separate-rows-in-another-table,Efficient query to split a delimited column into separate rows in another table,10182629.0,1643586041.0,,,,
36,"['sql', 'sql-server']","{'account_id': 1097859, 'reputation': 5717, 'user_id': 1091061, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/bcd32ba059716a660e8527114fbddba5?s=256&d=identicon&r=PG', 'display_name': 'Lee Tickett', 'link': 'https://stackoverflow.com/users/1091061/lee-tickett'}",True,3981,1,2,1643028674,1333559072,10015945,CC BY-SA 3.0,https://stackoverflow.com/questions/10015945/how-to-serialize-to-comma-separated-list-sql-rows,How to serialize (to comma separated list) SQL rows,10016019.0,,,,,
37,"['asp.net', 'sql', 'dataview']","{'account_id': 1400118, 'reputation': 1, 'user_id': 1329053, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/927wj.jpg?s=256&g=1', 'display_name': 'John Aghadiuno', 'link': 'https://stackoverflow.com/users/1329053/john-aghadiuno'}",True,549,2,0,1642185079,1334270434,10132896,CC BY-SA 4.0,https://stackoverflow.com/questions/10132896/nested-select-statements-taking-too-long-to-load-on-sql-server,nested select statements taking too long to load on SQL server,,1642185079.0,,,,
38,"['python', 'sql', 'sqlalchemy']","{'account_id': 54083, 'reputation': 1733, 'user_id': 161775, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/8aa71bbce44d1fe9a26bacc7721f142d?s=256&d=identicon&r=PG', 'display_name': 'svenstaro', 'link': 'https://stackoverflow.com/users/161775/svenstaro'}",True,4138,1,7,1642084751,1333479188,9999540,CC BY-SA 3.0,https://stackoverflow.com/questions/9999540/how-to-improve-sqlalchemy-performance,How to improve SQLAlchemy performance?,70698429.0,,,,,
39,"['sql', 'sql-server', 'sql-server-2008']","{'account_id': 551325, 'reputation': 12791, 'user_id': 916535, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/AbdtK.jpg?s=256&g=1', 'display_name': 'Control Freak', 'link': 'https://stackoverflow.com/users/916535/control-freak'}",True,44609,13,19,1641408034,1335107996,10269172,CC BY-SA 3.0,https://stackoverflow.com/questions/10269172/quickest-easiest-way-to-use-search-replace-through-all-stored-procedures,Quickest/Easiest way to use Search/Replace through all stored procedures,10269578.0,1335110866.0,,,,
40,"['android', 'sql', 'android-cursor']","{'account_id': 466196, 'reputation': 2579, 'user_id': 870798, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/5aa3243e5d0ffd164009be33b9ea2fa1?s=256&d=identicon&r=PG', 'display_name': 'Rayne', 'link': 'https://stackoverflow.com/users/870798/rayne'}",True,1745,1,1,1641313359,1335220862,10289302,CC BY-SA 4.0,https://stackoverflow.com/questions/10289302/android-stock-calendar-or-android-content-contentresolver-query-ignores-select,Android Stock Calendar or android.content.ContentResolver.query() ignores selectionArgs,10302876.0,1641313359.0,,,,
41,"['sql', 'sql-server', 'sql-server-2008', 'tsql', 'sql-server-2005']","{'account_id': 33700, 'reputation': 7069, 'user_id': 94541, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/30ce19d343bf3ab8e4012e6953d90315?s=256&d=identicon&r=PG', 'display_name': 'kingrichard2005', 'link': 'https://stackoverflow.com/users/94541/kingrichard2005'}",True,91312,1,81,1640869259,1335462231,10338609,CC BY-SA 3.0,https://stackoverflow.com/questions/10338609/sql-server-invalid-column-name-after-adding-new-column,SQL Server Invalid Column name after adding new column,,1522237173.0,,,,
42,"['sql', 'oracle', 'stored-procedures', 'database-cursor']","{'account_id': 926975, 'reputation': 599, 'user_id': 957564, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/65ed8f63a7a1bbe59c6ba1868e267755?s=256&d=identicon&r=PG', 'display_name': 'dee', 'link': 'https://stackoverflow.com/users/957564/dee'}",True,32910,1,9,1640704158,1333651813,10034266,CC BY-SA 4.0,https://stackoverflow.com/questions/10034266/how-can-i-fetch-the-data-from-the-sys-refcursor-from-one-stored-proc-and-use-it,How can I fetch the data from the SYS_REFCURSOR from one stored proc and use it in another?,10037224.0,1640704158.0,,,,
43,"['android', 'sql', 'database', 'android-cursor']","{'account_id': 186806, 'reputation': 952, 'user_id': 424421, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/efcb1b5a37856e84fbcb401ca1d76c75?s=256&d=identicon&r=PG', 'display_name': 'Christian', 'link': 'https://stackoverflow.com/users/424421/christian'}",True,50473,5,10,1640700915,1334018302,10081631,CC BY-SA 4.0,https://stackoverflow.com/questions/10081631/android-cursor-movetonext,android cursor.moveToNext()?,12728360.0,1640700915.0,,,,
44,"['sql', 'sql-server', 'parsing', 'stored-procedures', 'sp-msforeachtable']","{'account_id': 149392, 'reputation': 21470, 'user_id': 361842, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/86a19e4ceb02445eadc25d935472a77f?s=256&d=identicon&r=PG', 'display_name': 'JohnLBevan', 'link': 'https://stackoverflow.com/users/361842/johnlbevan'}",True,4257,3,0,1640659688,1335188633,10281765,CC BY-SA 4.0,https://stackoverflow.com/questions/10281765/sp-msforeachtable-parsing-of-dynamic-sql,sp_MSforeachtable - parsing of dynamic sql,10281905.0,1592644375.0,,,,
45,"['sql', 'sql-server']","{'account_id': 10750, 'reputation': 19531, 'user_id': 20446, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/1b0e72f6efc6573bf7e130a757797b84?s=256&d=identicon&r=PG', 'display_name': 'aherrick', 'link': 'https://stackoverflow.com/users/20446/aherrick'}",True,632,2,0,1640659652,1335189048,10281880,CC BY-SA 3.0,https://stackoverflow.com/questions/10281880/most-recent-datetime-column-and-count-for-each-table,Most recent datetime column and count for each table,10282543.0,1335193271.0,,,,
46,"['mysql', 'sql', 'auto-increment']","{'account_id': 406461, 'reputation': 5752, 'user_id': 775988, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/e819426dc79de9b0935561362bc4cd0d?s=256&d=identicon&r=PG', 'display_name': 'Dyin', 'link': 'https://stackoverflow.com/users/775988/dyin'}",True,5437,3,4,1639828292,1334156376,10108593,CC BY-SA 3.0,https://stackoverflow.com/questions/10108593/mysql-autoincrement-value-increases-even-when-insertion-fails-due-to-error,MySQL autoincrement value increases even when insertion fails due to error,10109064.0,,,,,
