,tags,migrated_from,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,title,accepted_answer_id,content_license,closed_date,closed_reason,protected_date,community_owned_date
10,"['sql', 'oracle10g']",,"{'account_id': 1730870, 'reputation': 143, 'user_id': 1584515, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/ad60b3e4257533fe5e51814669244a0b?s=256&d=identicon&r=PG', 'display_name': 'jeeperscreepers', 'link': 'https://stackoverflow.com/users/1584515/jeeperscreepers'}",True,1663,1,0,1666384868,1352293031,1666384810.0,13270261,https://stackoverflow.com/questions/13270261/how-to-add-2-column-values-together-and-format-output,How to add 2 column values together and format output,13271396.0,CC BY-SA 4.0,,,,
11,"['sql', 'database', 'oracle', 'join', 'oracle11g']",,"{'account_id': 101813, 'reputation': 15459, 'user_id': 273657, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/aa26bf8da3902d580924966ac810a075?s=256&d=identicon&r=PG', 'display_name': 'ziggy', 'link': 'https://stackoverflow.com/users/273657/ziggy'}",True,14681,1,6,1666031780,1352753267,1495540295.0,13351318,https://stackoverflow.com/questions/13351318/table-rownum-returns-0-records-if-rownum-is-tested-for-value-greater-than-100,Table rownum returns 0 records if rownum is tested for value greater than 100,13351572.0,,1352770859.0,exact duplicate,,
12,"['c#', '.net', 'sql', 'entity-framework', 'mvvm']",,"{'account_id': 168426, 'reputation': 8888, 'user_id': 393879, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://www.gravatar.com/avatar/7a9f2a8490d8576f763b8e6f56a014ae?s=256&d=identicon&r=PG', 'display_name': 'Willem', 'link': 'https://stackoverflow.com/users/393879/willem'}",True,2273,3,4,1665993733,1352963859,,13393009,https://stackoverflow.com/questions/13393009/how-would-i-reconnect-entity-frameworks-connection-to-the-db-when-the-connection,How would i reconnect Entity Frameworks connection to the DB when the connection is lost,13393080.0,CC BY-SA 3.0,,,,
13,"['sql', 'sql-server', 'sql-server-2008']",,"{'account_id': 429855, 'reputation': 19935, 'user_id': 812970, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/Y5RQs.jpg?s=256&g=1', 'display_name': 'Sunil', 'link': 'https://stackoverflow.com/users/812970/sunil'}",True,106564,6,13,1665162244,1351928291,1351929097.0,13207075,https://stackoverflow.com/questions/13207075/format-a-number-with-commas-but-without-decimals-in-sql-server-2008-r2,Format a number with commas but without decimals in SQL Server 2008 R2?,13207166.0,CC BY-SA 3.0,,,,
14,"['sql', 'sql-server', 'sql-server-2008-r2']",,"{'account_id': 7281, 'reputation': 239642, 'user_id': 12597, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/4b534325156758d6592fb624d7b60e22?s=256&d=identicon&r=PG', 'display_name': 'Ian Boyd', 'link': 'https://stackoverflow.com/users/12597/ian-boyd'}",True,67989,4,98,1665088111,1351870719,1621546933.0,13198476,https://stackoverflow.com/questions/13198476/cannot-use-update-with-output-clause-when-a-trigger-is-on-the-table,Cannot use UPDATE with OUTPUT clause when a trigger is on the table,13198916.0,CC BY-SA 4.0,,,,
15,"['sql', 'sql-server', 'sql-server-2005']",,"{'account_id': 930623, 'reputation': 31412, 'user_id': 960567, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/d95e231d783a218eba22a6bd04652255?s=256&d=identicon&r=PG', 'display_name': 'Imran Qadir Baksh - Baloch', 'link': 'https://stackoverflow.com/users/960567/imran-qadir-baksh-baloch'}",True,42634,5,23,1664909539,1353572190,1495535401.0,13508378,https://stackoverflow.com/questions/13508378/get-extension-of-a-file-using-sql,Get extension of a file using SQL?,13508412.0,,1353641975.0,exact duplicate,,
16,"['sql', 'schema']",,"{'account_id': 1306781, 'reputation': 6793, 'user_id': 1255620, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/9fb6b27b3da169cd281f75162f3fbed6?s=256&d=identicon&r=PG', 'display_name': 'daniely', 'link': 'https://stackoverflow.com/users/1255620/daniely'}",True,977090,28,417,1664457480,1353011067,,13405572,https://stackoverflow.com/questions/13405572/sql-statement-to-get-column-type,SQL statement to get column type,13405667.0,CC BY-SA 3.0,,,,
17,"['sql', 'sql-server', 'database', 'insert', 'rdbms']",,"{'account_id': 254565, 'reputation': 4063, 'user_id': 534062, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://i.stack.imgur.com/tUb3U.jpg?s=256&g=1', 'display_name': 'n00b', 'link': 'https://stackoverflow.com/users/534062/n00b'}",True,108680,4,38,1664434323,1352925451,1663290829.0,13386894,https://stackoverflow.com/questions/13386894/sql-server-insert-example,SQL Server Insert Example,13386896.0,CC BY-SA 4.0,,,1574353567.0,
18,"['sql', 'symfony1', 'doctrine', 'symfony-1.4']",,"{'account_id': 1689305, 'reputation': 133, 'user_id': 1551994, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2244ba18c4526b4ac82f523fca6dc201?s=256&d=identicon&r=PG', 'display_name': 'Hyperkubus', 'link': 'https://stackoverflow.com/users/1551994/hyperkubus'}",True,3438,5,13,1663335879,1353664544,1353668506.0,13526622,https://stackoverflow.com/questions/13526622/is-it-possible-to-call-a-sql-file-in-a-doctrine-migration,Is it possible to call a .sql file in a doctrine migration?,,CC BY-SA 3.0,,,,
19,"['sql', 'django', 'oracle', 'unit-testing', 'django-testing']",,"{'account_id': 602981, 'reputation': 16210, 'user_id': 940208, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/f915e5849f63f612de2832bad2348ab4?s=256&d=identicon&r=PG', 'display_name': 'mnowotka', 'link': 'https://stackoverflow.com/users/940208/mnowotka'}",True,14628,10,22,1661850611,1351701747,,13162771,https://stackoverflow.com/questions/13162771/django-how-to-see-sql-query-when-running-tests,django how to see sql query when running tests?,13564331.0,CC BY-SA 3.0,,,,
20,"['sql', 'join']",,"{'account_id': 1761249, 'reputation': 849, 'user_id': 1608306, 'user_type': 'registered', 'accept_rate': 28, 'profile_image': 'https://www.gravatar.com/avatar/cdf10a766c47cc72d22606a54453ff21?s=256&d=identicon&r=PG', 'display_name': 'FrankD', 'link': 'https://stackoverflow.com/users/1608306/frankd'}",True,1124,3,0,1661566458,1354035809,1495535084.0,13589296,https://stackoverflow.com/questions/13589296/inner-join-vs-normal-query,inner join vs normal query,,,1354075807.0,exact duplicate,,
21,"['sql', 'sql-server-2008', 'tsql']",,"{'account_id': 717180, 'reputation': 8200, 'user_id': 645070, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/89440da1d1a5bb44321ad5eecf537a5a?s=256&d=identicon&r=PG', 'display_name': 'wootscootinboogie', 'link': 'https://stackoverflow.com/users/645070/wootscootinboogie'}",True,67160,5,25,1660814031,1353440676,1434451333.0,13480880,https://stackoverflow.com/questions/13480880/window-functions-to-count-distinct-records,Window functions to count distinct records,13481415.0,CC BY-SA 3.0,,,,
22,"['sql', 'sql-server-2008', 'tsql', 'comparison']",,"{'account_id': 1132442, 'reputation': 3500, 'user_id': 1118218, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://i.stack.imgur.com/QGVz4.jpg?s=256&g=1', 'display_name': 'ledgeJumper', 'link': 'https://stackoverflow.com/users/1118218/ledgejumper'}",True,59748,4,17,1659529164,1353083155,1353083627.0,13420508,https://stackoverflow.com/questions/13420508/check-if-field-is-numeric-then-execute-comparison-on-only-those-field-in-one-st,"Check if field is numeric, then execute comparison on only those field in one statement?",13420846.0,CC BY-SA 3.0,,,,
23,"['sql', 'sqlite', 'inner-join', 'natural-join']",,"{'account_id': 157980, 'reputation': 2218, 'user_id': 376284, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/ca20c4ffcbebc8f123f7c42a3e968872?s=256&d=identicon&r=PG', 'display_name': 'Panayiotis Karabassis', 'link': 'https://stackoverflow.com/users/376284/panayiotis-karabassis'}",True,2768,1,4,1658319702,1353790333,,13545476,https://stackoverflow.com/questions/13545476/sqlite-natural-join-broken,SQLite natural join broken?,13545773.0,CC BY-SA 3.0,,,,
24,"['sql', 'sql-server', 'sql-server-2008']",,"{'account_id': 370015, 'reputation': 4783, 'user_id': 717702, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/e02340841b1f8ade333dc4d95d6e4d59?s=256&d=identicon&r=PG', 'display_name': 'Malcolm O&#39;Hare', 'link': 'https://stackoverflow.com/users/717702/malcolm-ohare'}",True,133950,9,66,1657907333,1354203886,1354205374.0,13629382,https://stackoverflow.com/questions/13629382/update-int-column-in-table-with-unique-incrementing-values,Update int column in table with unique incrementing values,13629639.0,CC BY-SA 3.0,,,,
25,"['sql', 'asp.net-mvc', 'vb.net', 'linq', 'entity-framework']",,"{'account_id': 1589094, 'reputation': 381, 'user_id': 1472835, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/19c0cfb3a4daf1ab8572828f3130319e?s=256&d=identicon&r=PG', 'display_name': 'Charlie', 'link': 'https://stackoverflow.com/users/1472835/charlie'}",True,10950,3,18,1657893980,1352409117,1657893925.0,13297880,https://stackoverflow.com/questions/13297880/sequence-contains-no-elements-linq-mvc-average,"Sequence contains no elements - LINQ, MVC, Average",13297961.0,CC BY-SA 4.0,,,,
26,"['sql', 'postgresql', 'window-functions']",,"{'account_id': 511162, 'reputation': 703, 'user_id': 1516064, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/3af51f2dfff6c5215ab08bf4a88ee610?s=256&d=identicon&r=PG', 'display_name': 'user7980', 'link': 'https://stackoverflow.com/users/1516064/user7980'}",True,8088,3,3,1656667130,1352840870,1352853738.0,13368809,https://stackoverflow.com/questions/13368809/window-function-trailing-dates-in-postgresql,Window function trailing dates in PostgreSQL,13371334.0,CC BY-SA 3.0,,,,
27,"['php', 'mysql', 'sql']",,"{'account_id': 1684785, 'reputation': 11, 'user_id': 1548289, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/7e5e5b1dbfb992cbfaed918afd082139?s=256&d=identicon&r=PG', 'display_name': 'minute acc', 'link': 'https://stackoverflow.com/users/1548289/minute-acc'}",True,180,6,0,1656397651,1353359021,1386338213.0,13462194,https://stackoverflow.com/questions/13462194/php-sql-connect,PHP SQL Connect,,CC BY-SA 3.0,,,,
28,"['sql', 'db2', 'ibm-midrange']",,"{'account_id': 2094905, 'reputation': 123, 'user_id': 1863909, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9b9115fda9e7591f538899729162ee42?s=256&d=identicon&r=PG', 'display_name': 'Jakub Konop', 'link': 'https://stackoverflow.com/users/1863909/jakub-konop'}",True,20031,3,11,1656329568,1354208438,1354208935.0,13630855,https://stackoverflow.com/questions/13630855/how-to-join-table-to-itself-and-select-max-values-in-sql,How to join table to itself and select max values in SQL,13630917.0,CC BY-SA 3.0,,,,
29,"['mysql', 'sql']",,"{'user_type': 'does_not_exist', 'display_name': 'user1377664'}",True,7414,3,3,1656267824,1353884975,1353885425.0,13556557,https://stackoverflow.com/questions/13556557/how-to-return-in-mysql-group-by-the-first-record-by-date,How to return in MySQL GROUP BY the first record by DATE?,13556581.0,CC BY-SA 3.0,,,,
30,"['sql', 'sql-server', 'sql-server-2012']",,"{'account_id': 1758813, 'reputation': 7205, 'user_id': 1606432, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/vHeRE.png?s=256&g=1', 'display_name': 'Pogrindis', 'link': 'https://stackoverflow.com/users/1606432/pogrindis'}",True,56192,12,33,1655634434,1352370796,1636380369.0,13287252,https://stackoverflow.com/questions/13287252/cannot-start-localdb,Cannot start LocalDB,20978407.0,CC BY-SA 4.0,,,,
31,"['sql', 'optimization', 'count']",,"{'account_id': 420439, 'reputation': 67, 'user_id': 798147, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/efe921e3dd74820b5763f3f44e710d7f?s=256&d=identicon&r=PG', 'display_name': 'saghar', 'link': 'https://stackoverflow.com/users/798147/saghar'}",True,786,2,0,1655530769,1352223605,1352223899.0,13256383,https://stackoverflow.com/questions/13256383/sql-query-how-to-distinct-count-of-a-column-group-by-another-column,SQL query: how to distinct count of a column group by another column,13256427.0,CC BY-SA 3.0,,,,
32,"['sql', 'sql-server', 'sql-server-2008']",,"{'account_id': 1495199, 'reputation': 5344, 'user_id': 1401320, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://www.gravatar.com/avatar/73f367779138687aa9fe843bc2833655?s=256&d=identicon&r=PG', 'display_name': 'CR41G14', 'link': 'https://stackoverflow.com/users/1401320/cr41g14'}",True,142857,10,33,1654953210,1352149237,1579104085.0,13240298,https://stackoverflow.com/questions/13240298/remove-numbers-from-string-sql-server,Remove numbers from string sql server,,CC BY-SA 4.0,,,,
33,"['sql', 'postgresql', 'sql-update', 'sql-order-by', 'sql-limit']",,"{'account_id': 94867, 'reputation': 14402, 'user_id': 258755, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/WDOo4.jpg?s=256&g=1', 'display_name': 'djq', 'link': 'https://stackoverflow.com/users/258755/djq'}",True,25193,2,17,1654867227,1351815078,1426868221.0,13187419,https://stackoverflow.com/questions/13187419/update-top-n-values-using-postgresql,Update top N values using PostgreSQL,13187601.0,CC BY-SA 3.0,,,,
34,"['sql', 'activerecord', 'yii']",,"{'account_id': 1703517, 'reputation': 125, 'user_id': 1563064, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/36e1d224768b098b36fde136f68c8104?s=256&d=identicon&r=PG', 'display_name': 'Djeux', 'link': 'https://stackoverflow.com/users/1563064/djeux'}",False,7360,1,3,1653717855,1352368643,,13286619,https://stackoverflow.com/questions/13286619/yii-sql-query-from-cdbcriteria,Yii SQL query from CDbCriteria,,CC BY-SA 3.0,,,,
35,"['sql', 'sql-server']",,"{'user_type': 'does_not_exist', 'display_name': 'user1727533'}",False,2313,2,0,1653269965,1354139378,1354139949.0,13615020,https://stackoverflow.com/questions/13615020/sql-database-collation-mismatch,sql database collation mismatch,,CC BY-SA 3.0,,,,
36,"['mysql', 'sql']",,"{'account_id': 301071, 'reputation': 9423, 'user_id': 608576, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/0063cb6121183aef7d8ccc64a3a52f0c?s=256&d=identicon&r=PG', 'display_name': 'Pit Digger', 'link': 'https://stackoverflow.com/users/608576/pit-digger'}",True,78246,7,37,1652879292,1352303814,,13273343,https://stackoverflow.com/questions/13273343/replace-new-line-character-in-mysql-not-working,REPLACE new line character in MYSql not working,13273420.0,CC BY-SA 3.0,,,,
37,"['mysql', 'sql']",,"{'account_id': 2061221, 'reputation': 1, 'user_id': 1837699, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d68f2036938913ec0323bd26a2f6163c?s=256&d=identicon&r=PG', 'display_name': 'Sunil Kumar', 'link': 'https://stackoverflow.com/users/1837699/sunil-kumar'}",True,134,4,0,1652463111,1353388222,1652463111.0,13466950,https://stackoverflow.com/questions/13466950/sum-of-mysql-table-record,Sum Of mysql table record,,CC BY-SA 4.0,,,,
38,"['sql', 'postgresql']",,"{'account_id': 503176, 'reputation': 43220, 'user_id': 1157054, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/5c9d0ecbe3045579b72f96744c62735c?s=256&d=identicon&r=PG', 'display_name': 'Ajedi32', 'link': 'https://stackoverflow.com/users/1157054/ajedi32'}",True,64145,6,69,1652433892,1352499034,,13316773,https://stackoverflow.com/questions/13316773/is-there-a-way-to-define-a-named-constant-in-a-postgresql-query,Is there a way to define a named constant in a PostgreSQL query?,13317274.0,CC BY-SA 3.0,,,,
39,"['python', 'sql', 'regex', 'linux', 'oracle']",,"{'account_id': 444337, 'reputation': 2121, 'user_id': 836087, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'user836087', 'link': 'https://stackoverflow.com/users/836087/user836087'}",True,3295,1,-2,1651639637,1352829572,1352831069.0,13366096,https://stackoverflow.com/questions/13366096/parse-table-names-from-a-bunch-sql-statements,Parse table names from a bunch SQL statements,,CC BY-SA 3.0,,,,
40,"['sql', 'ms-access', 'ms-access-2007', 'criteria']",,"{'account_id': 364843, 'reputation': 3491, 'user_id': 709443, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/4ThOv.jpg?s=256&g=1', 'display_name': 'Sinister Beard', 'link': 'https://stackoverflow.com/users/709443/sinister-beard'}",True,1996,1,1,1650302800,1354264833,1354266330.0,13641610,https://stackoverflow.com/questions/13641610/entire-union-query-returns-no-results-if-part-of-it-returns-no-results,Entire Union query returns no results if part of it returns no results,13641691.0,CC BY-SA 3.0,,,,
41,"['sql', 'sql-server', 'azure', 'aggregate-functions', 'azure-sql-database']",,"{'account_id': 1097916, 'reputation': 2777, 'user_id': 1091105, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/9fe40beca80fac163503b66563e59cc4?s=256&d=identicon&r=PG', 'display_name': 'matt', 'link': 'https://stackoverflow.com/users/1091105/matt'}",True,192980,8,121,1649781225,1354251469,1389899685.0,13639262,https://stackoverflow.com/questions/13639262/optimal-way-to-concatenate-aggregate-strings,Optimal way to concatenate/aggregate strings,13681687.0,CC BY-SA 3.0,,,,
42,"['sql', 'oracle', 'sql-order-by']",,"{'account_id': 322007, 'reputation': 6838, 'user_id': 641170, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/mc98F.jpg?s=256&g=1', 'display_name': 'Rudy', 'link': 'https://stackoverflow.com/users/641170/rudy'}",True,85770,8,65,1648974754,1352704255,1548312210.0,13339589,https://stackoverflow.com/questions/13339589/custom-order-in-oracle-sql,Custom Order in Oracle SQL,13339625.0,CC BY-SA 4.0,,,,
43,"['sql', 'tsql', 'sql-server-2012']",,"{'account_id': 2046904, 'reputation': 17, 'user_id': 1826800, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/210403564f9ac26a282fa5aad660734c?s=256&d=identicon&r=PG', 'display_name': 'cee4', 'link': 'https://stackoverflow.com/users/1826800/cee4'}",False,3248,4,0,1648512357,1352992538,,13400452,https://stackoverflow.com/questions/13400452/calculating-the-total-number-of-invoices,Calculating the total number of invoices,,CC BY-SA 3.0,,,,
44,"['mysql', 'sql', 'mysql-5.5']",,"{'account_id': 14369, 'reputation': 6274, 'user_id': 29502, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/1418ba3d9ca124ff55e11f8050682aa6?s=256&d=identicon&r=PG', 'display_name': 'Newtang', 'link': 'https://stackoverflow.com/users/29502/newtang'}",True,23204,3,17,1648069712,1353110579,1648069712.0,13426203,https://stackoverflow.com/questions/13426203/how-to-bulk-select-rows-with-multiple-pairs-in-where-clause,How to bulk SELECT rows with multiple pairs in WHERE clause,13426240.0,CC BY-SA 4.0,,,,
45,"['sql', 'postgresql', 'sql-update', 'self-join']",,"{'account_id': 2064119, 'reputation': 115, 'user_id': 1840022, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/0825120c970f866346c406484f1d8f01?s=256&d=identicon&r=PG', 'display_name': 'Farhad Irani', 'link': 'https://stackoverflow.com/users/1840022/farhad-irani'}",True,23638,3,3,1647404062,1353545459,1353548544.0,13504406,https://stackoverflow.com/questions/13504406/update-rows-with-values-from-the-same-table,UPDATE rows with values from the same table,13504654.0,CC BY-SA 3.0,,,,
46,"['mysql', 'sql', 'aggregate-functions', 'greatest-n-per-group']",,"{'account_id': 1699099, 'reputation': 951, 'user_id': 1559716, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/754e27e6844b6c5f7a7457c87b1c8f16?s=256&d=identicon&r=PG', 'display_name': 'Sami El Hilali', 'link': 'https://stackoverflow.com/users/1559716/sami-el-hilali'}",True,156993,8,53,1646497217,1352793040,1583243175.0,13357144,https://stackoverflow.com/questions/13357144/how-to-select-data-where-a-field-has-a-min-value-in-mysql,How to select data where a field has a min value in MySQL?,13357162.0,CC BY-SA 4.0,,,,
