,tags,owner,is_answered,view_count,protected_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,community_owned_date
21,"['mysql', 'sql', 'group-by', 'sql-order-by']","{'account_id': 956695, 'reputation': 433, 'user_id': 981865, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://www.gravatar.com/avatar/8dbf0db7919f2fd386663034ec3eecc7?s=256&d=identicon&r=PG', 'display_name': 'A.B. User', 'link': 'https://stackoverflow.com/users/981865/a-b-user'}",True,31900,,5,30,1655804987,1336119431,1336122453.0,10445162,CC BY-SA 3.0,https://stackoverflow.com/questions/10445162/sql-show-most-recent-record-in-group-by,SQL Show most recent record in GROUP BY?,,,,
22,"['sql', 'oracle']","{'account_id': 1155264, 'reputation': 669, 'user_id': 1136054, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/ea3acccdd0d35fa9ad805babb71df348?s=256&d=identicon&r=PG&f=1', 'display_name': 'nibeck', 'link': 'https://stackoverflow.com/users/1136054/nibeck'}",True,4946,,3,5,1655104550,1336137089,1336417029.0,10449521,CC BY-SA 3.0,https://stackoverflow.com/questions/10449521/complex-sql-query-collapsing-date-ranges,Complex SQL query - collapsing date ranges,10450616.0,,,
23,"['sql', 'oracle', 'csv']","{'account_id': 1393220, 'reputation': 143, 'user_id': 1323540, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/1cb2e223a547b0c952c14b8c426a11bb?s=256&d=identicon&r=PG', 'display_name': 'Priyanka Kaushik', 'link': 'https://stackoverflow.com/users/1323540/priyanka-kaushik'}",True,3582,,1,1,1654891935,1337161809,1654891935.0,10616048,CC BY-SA 4.0,https://stackoverflow.com/questions/10616048/oracle-query-output-to-be-comma-separated,Oracle query output to be comma-separated,10616079.0,,,
24,"['php', 'sql', 'mysqli', 'xss']","{'account_id': 26716, 'reputation': 1064, 'user_id': 69785, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/aaa7bb2d45811c934d3723278836dac3?s=256&d=identicon&r=PG&f=1', 'display_name': '에이바', 'link': 'https://stackoverflow.com/users/69785/%ec%97%90%ec%9d%b4%eb%b0%94'}",True,26643,,3,7,1654888663,1337188430,1463194086.0,10623405,CC BY-SA 3.0,https://stackoverflow.com/questions/10623405/mysqli-prepared-update-statement-in-php,MySQLi prepared update statement in PHP,10623429.0,,,
25,"['php', 'sql', 'database']","{'account_id': 1334754, 'reputation': 606, 'user_id': 1277764, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/832a781bdb6961305d5a8d2e696ac614?s=256&d=identicon&r=PG', 'display_name': 'Vidarious', 'link': 'https://stackoverflow.com/users/1277764/vidarious'}",True,861,,1,3,1654008155,1336252545,,10466057,CC BY-SA 3.0,https://stackoverflow.com/questions/10466057/database-design-loaner-system-customer-loaning-multiple-items,Database Design - Loaner System - Customer loaning multiple items,10466107.0,,,
26,"['sql', 'postgresql', 'join', 'random', 'cartesian-product']","{'account_id': 216950, 'reputation': 19704, 'user_id': 472495, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/4rtxd.png?s=256&g=1', 'display_name': 'halfer', 'link': 'https://stackoverflow.com/users/472495/halfer'}",True,3684,,6,12,1653958193,1337093916,1337107693.0,10603479,CC BY-SA 3.0,https://stackoverflow.com/questions/10603479/how-can-i-get-a-random-cartesian-product-in-postgresql,How can I get a random cartesian product in PostgreSQL?,10607880.0,,,
27,"['sql', 'postgresql', 'grouping', 'window-functions']","{'account_id': 94867, 'reputation': 14402, 'user_id': 258755, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/WDOo4.jpg?s=256&g=1', 'display_name': 'djq', 'link': 'https://stackoverflow.com/users/258755/djq'}",True,7921,,2,7,1653344987,1336260893,1373387673.0,10466852,CC BY-SA 3.0,https://stackoverflow.com/questions/10466852/identifying-results-by-group-and-rank-using-sql,Identifying results by group and rank using SQL,10466872.0,,,
28,"['sql', 'sql-server-2008', 'excel', 'ssms', 'export-to-excel']","{'account_id': 443706, 'reputation': 16175, 'user_id': 835083, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/0563b1d945e5697d5b42a5fa683fe282?s=256&d=identicon&r=PG', 'display_name': 'dublintech', 'link': 'https://stackoverflow.com/users/835083/dublintech'}",True,228075,1598331995.0,10,209,1652936698,1337547258,1650631292.0,10677133,CC BY-SA 4.0,https://stackoverflow.com/questions/10677133/saving-results-with-headers-in-sql-server-management-studio,Saving results with headers in SQL Server Management Studio,10677148.0,,,
29,"['sql', 'db2']","{'account_id': 210540, 'reputation': 1060, 'user_id': 462203, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/6211817939165f84d5bdd6bd9b5bdc50?s=256&d=identicon&r=PG', 'display_name': 'Andy', 'link': 'https://stackoverflow.com/users/462203/andy'}",True,87347,,7,18,1652889273,1336427648,,10489703,CC BY-SA 3.0,https://stackoverflow.com/questions/10489703/db2-how-to-check-if-varchar-field-value-has-integers,DB2- How to check if varchar field value has integers,10489738.0,,,
30,"['mysql', 'sql', 'date']","{'account_id': 953645, 'reputation': 9887, 'user_id': 979331, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/2e4108d28226846070db4eabf0c5d882?s=256&d=identicon&r=PG', 'display_name': 'user979331', 'link': 'https://stackoverflow.com/users/979331/user979331'}",True,15117,,7,3,1652036249,1337031453,1357923521.0,10591454,CC BY-SA 3.0,https://stackoverflow.com/questions/10591454/sql-select-now,SQL SELECT NOW(),10591476.0,,,
31,"['sql', 'vb.net', 'sql-server-2008']","{'account_id': 1250725, 'reputation': 3085, 'user_id': 1211189, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/b0772c4cdd49ff7e402ff3b959d734a2?s=256&d=identicon&r=PG', 'display_name': 'Virus', 'link': 'https://stackoverflow.com/users/1211189/virus'}",False,1049,,2,0,1651749368,1337597742,,10683914,CC BY-SA 3.0,https://stackoverflow.com/questions/10683914/sql-server-connection-using-named-pipes,SQL Server connection using named pipes,,,,
32,"['mysql', 'sql', 'xml', 'marc']","{'account_id': 247111, 'reputation': 221, 'user_id': 521628, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/7e41fdcbf64406c5dfba1a6a7c5b1f3b?s=256&d=identicon&r=PG', 'display_name': 'Ashimema', 'link': 'https://stackoverflow.com/users/521628/ashimema'}",True,9256,,3,2,1650619179,1337771602,1396339657.0,10718776,CC BY-SA 3.0,https://stackoverflow.com/questions/10718776/mysql-to-update-an-xml-attribute,MySQL to update an XML attribute,10719240.0,,,
33,"['sql', 'sql-server', 'database', 'tsql']","{'account_id': 211639, 'reputation': 1007, 'user_id': 1074569, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/9fc5382dea2d034e1af38ba881cd66aa?s=256&d=identicon&r=PG', 'display_name': 'Mohammed Ali', 'link': 'https://stackoverflow.com/users/1074569/mohammed-ali'}",True,120476,,4,55,1650577275,1338153383,1520551527.0,10777353,CC BY-SA 3.0,https://stackoverflow.com/questions/10777353/drop-default-constraint-on-a-column-in-tsql,Drop default constraint on a column in TSQL,10777372.0,,,
34,"['c#', 'sql', 'linq', 'join', 'datatable']","{'account_id': 1519187, 'reputation': 142, 'user_id': 1419381, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/1551207dbfe80634af63b97bc10d28fe?s=256&d=identicon&r=PG&f=1', 'display_name': 'MD. Saffan Alvy', 'link': 'https://stackoverflow.com/users/1419381/md-saffan-alvy'}",True,781,,1,2,1649704172,1338303114,1649704172.0,10801558,CC BY-SA 4.0,https://stackoverflow.com/questions/10801558/join-columns-of-two-csv-files-using-linq-in-c-net,Join columns of two CSV files using LINQ in C#.net,,,,
35,['sql'],"{'account_id': 1024952, 'reputation': 3548, 'user_id': 1034475, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/b4f42440d7d25b791ee18da4b539b718?s=256&d=identicon&r=PG', 'display_name': 'General Grey', 'link': 'https://stackoverflow.com/users/1034475/general-grey'}",True,121431,,5,51,1649653566,1336150091,1620756443.0,10452940,CC BY-SA 4.0,https://stackoverflow.com/questions/10452940/select-newest-records-that-have-distinct-name-column,Select newest records that have distinct Name column,10453083.0,,,
36,"['sql', 'sql-server', 'sql-server-2008', 'sql-server-2008-r2']","{'account_id': 1516522, 'reputation': 243, 'user_id': 1417408, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9ed865b355ec2d67ffbb0f25b0d95ddd?s=256&d=identicon&r=PG', 'display_name': 'user1417408', 'link': 'https://stackoverflow.com/users/1417408/user1417408'}",True,29825,,3,24,1649229334,1337949827,,10754665,CC BY-SA 3.0,https://stackoverflow.com/questions/10754665/change-column-types-in-a-huge-table,Change column types in a huge table,10754753.0,,,
37,"['java', 'sql', 'postgresql', 'jpa']","{'account_id': 1510742, 'reputation': 469, 'user_id': 1412944, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/06aa7fcc767879136322535b37f67970?s=256&d=identicon&r=PG', 'display_name': 'user1412944', 'link': 'https://stackoverflow.com/users/1412944/user1412944'}",True,65235,,7,34,1649073212,1338329777,1338348000.0,10807496,CC BY-SA 3.0,https://stackoverflow.com/questions/10807496/error-cannot-create-typedquery-for-query-with-more-than-one-return,Error: Cannot create TypedQuery for query with more than one return,10811717.0,,,
38,"['sql', 'oracle']","{'account_id': 1467838, 'reputation': 593, 'user_id': 1380200, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/20dcaf602105a6f458192f61a4404478?s=256&d=identicon&r=PG', 'display_name': 'Munna89', 'link': 'https://stackoverflow.com/users/1380200/munna89'}",True,64370,,2,16,1648997635,1336485249,,10500020,CC BY-SA 3.0,https://stackoverflow.com/questions/10500020/how-to-perform-full-outer-join-in-oracle-using-operator,How to perform FULL OUTER JOIN in ORACLE using &#39;+&#39; operator?,10500115.0,,,
39,"['sql', 'sql-server-2008']","{'account_id': 1461957, 'reputation': 143, 'user_id': 1376026, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/0da349b43ceda57ce3c85b77a4f8045e?s=256&d=identicon&r=PG', 'display_name': 'Burzum619', 'link': 'https://stackoverflow.com/users/1376026/burzum619'}",True,3581,,3,3,1648474443,1336171307,1648474443.0,10457038,CC BY-SA 4.0,https://stackoverflow.com/questions/10457038/counting-number-of-occurrences-in-subquery,Counting number of occurrences in subquery,,,,
40,"['sql', 'oracle', 'sqlite']","{'account_id': 31729, 'reputation': 1419, 'user_id': 87370, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/DpN6f.jpg?s=256&g=1', 'display_name': 'Paulb', 'link': 'https://stackoverflow.com/users/87370/paulb'}",True,13137,,1,5,1647348855,1336431468,,10490254,CC BY-SA 3.0,https://stackoverflow.com/questions/10490254/sqlite-something-like-oracle-decode-or-ms-if,SQLite: Something like Oracle Decode or MS &quot;If&quot;,10490322.0,,,
41,"['sql', 'import', 'ssh', 'tunnel']","{'account_id': 1510238, 'reputation': 381, 'user_id': 1412558, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1d8f7384b0d388de7eed580ac0f48ddf?s=256&d=identicon&r=PG', 'display_name': 'Jkk', 'link': 'https://stackoverflow.com/users/1412558/jkk'}",True,66613,,6,38,1647024887,1337775180,,10719662,CC BY-SA 3.0,https://stackoverflow.com/questions/10719662/import-a-local-sql-file-to-mysql-on-a-remote-server-using-ssh-tunnel,Import a local SQL File To MySQL on a Remote Server Using SSH Tunnel,,,,
42,"['sql', 'database', 'db2', 'in-clause']","{'account_id': 1510751, 'reputation': 371, 'user_id': 1412952, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a9b519a6138e709f2f60756d84966fe7?s=256&d=identicon&r=PG', 'display_name': 'user1412952', 'link': 'https://stackoverflow.com/users/1412952/user1412952'}",True,45900,,7,37,1646690487,1337798331,1509463933.0,10725901,CC BY-SA 3.0,https://stackoverflow.com/questions/10725901/select-query-by-pair-of-fields-using-an-in-clause,Select Query by Pair of fields using an in clause,,,,
43,"['sql', 'sql-server-2005', 'where-clause']","{'account_id': 453641, 'reputation': 12996, 'user_id': 850749, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://i.stack.imgur.com/gZ0iu.jpg?s=256&g=1', 'display_name': 'Yatrix', 'link': 'https://stackoverflow.com/users/850749/yatrix'}",True,58985,,5,27,1646574143,1336586832,,10521677,CC BY-SA 3.0,https://stackoverflow.com/questions/10521677/how-do-i-create-a-conditional-where-clause,How do I create a conditional WHERE clause?,10521718.0,,,
44,"['sql', 'postgresql', 'aggregate-functions', 'postgresql-8.4']","{'account_id': 1464810, 'reputation': 143, 'user_id': 1378002, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b85b0abf00c2a1bfa0062fad8465e8d4?s=256&d=identicon&r=PG', 'display_name': 'David', 'link': 'https://stackoverflow.com/users/1378002/david'}",True,8031,,1,14,1646265518,1336308192,1495541850.0,10470585,CC BY-SA 3.0,https://stackoverflow.com/questions/10470585/aggregate-strings-in-descending-order-in-a-postgresql-query,Aggregate strings in descending order in a PostgreSQL query,10470738.0,,,
45,"['sql', 'ruby']","{'account_id': 162319, 'reputation': 1357, 'user_id': 383695, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/2e9fc99906ea2370e75b38a095a09089?s=256&d=identicon&r=PG', 'display_name': 'tabaluga', 'link': 'https://stackoverflow.com/users/383695/tabaluga'}",False,336,,1,0,1646261273,1336933074,1646261273.0,10574093,CC BY-SA 4.0,https://stackoverflow.com/questions/10574093/how-to-open-sql-file-with-ruby,How to open .sql file with ruby?,,,,
46,"['sql', 'sqlite']","{'account_id': 1428559, 'reputation': 303, 'user_id': 1351498, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bfac2d23af6c7cc7a5cf5c96bcc70fa4?s=256&d=identicon&r=PG', 'display_name': 'Rodolfo Matos', 'link': 'https://stackoverflow.com/users/1351498/rodolfo-matos'}",True,69430,,3,13,1645088950,1338452318,1338455469.0,10829812,CC BY-SA 3.0,https://stackoverflow.com/questions/10829812/sql-query-where-value-of-another-table,"SQL query, where = value of another table",10829851.0,,,
47,"['sql', 'sybase']","{'account_id': 2706, 'reputation': 4977, 'user_id': 3800, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/646f9bc3ae8effa7fa1a1a1c528ff522?s=256&d=identicon&r=PG', 'display_name': 'Jack B Nimble', 'link': 'https://stackoverflow.com/users/3800/jack-b-nimble'}",True,20953,,3,5,1644464762,1336064655,1336165241.0,10436084,CC BY-SA 3.0,https://stackoverflow.com/questions/10436084/how-do-i-update-multiple-columns-with-a-subquery-in-a-single-statement,How do I update multiple columns with a subquery in a single statement?,10453974.0,,,
