,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,bounty_amount,bounty_closes_date,closed_date,closed_reason,migrated_from
11,"['python', 'django']","{'account_id': 13040442, 'reputation': 1331, 'user_id': 9424000, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'taks', 'link': 'https://stackoverflow.com/users/9424000/taks'}",True,613,,2,2,1668913143,1575009177,1575012030.0,59099801,CC BY-SA 4.0,https://stackoverflow.com/questions/59099801/getting-error-modulenotfounderror-no-module-named-trialrisk-urls-in-python,getting error : ModuleNotFoundError: No module named &#39;trialrisk.urls&#39; in python,,,,,,
12,"['python', 'tensorflow']","{'account_id': 9971649, 'reputation': 751, 'user_id': 7377486, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://graph.facebook.com/1924497324448845/picture?type=large', 'display_name': 'Danial Ahmed', 'link': 'https://stackoverflow.com/users/7377486/danial-ahmed'}",True,7994,,5,4,1668885261,1574505223,1574684517.0,59006696,CC BY-SA 4.0,https://stackoverflow.com/questions/59006696/cannot-add-tensor-to-the-batch-number-of-elements-does-not-match-shapes-are,"Cannot add tensor to the batch: number of elements does not match. Shapes are: [tensor]: [585,1024,3], [batch]: [600,799,3]",,,,,,
13,"['python', 'abstract-syntax-tree']","{'account_id': 104708, 'reputation': 33461, 'user_id': 279776, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/9c368b605cfa34be3390a983b6bce441?s=256&d=identicon&r=PG', 'display_name': 'Alex', 'link': 'https://stackoverflow.com/users/279776/alex'}",True,4229,58958653.0,2,7,1668802561,1574117127,,58924031,CC BY-SA 4.0,https://stackoverflow.com/questions/58924031/generating-a-text-representation-of-pythons-ast,Generating a text representation of Python&#39;s AST,,,,,,
14,"['python', 'conda', 'snakemake']","{'account_id': 17173360, 'reputation': 613, 'user_id': 12430026, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/27defea762447fa85d3e084fef1e8e24?s=256&d=identicon&r=PG&f=1', 'display_name': 'Lamma', 'link': 'https://stackoverflow.com/users/12430026/lamma'}",True,3719,,4,4,1668765777,1575040833,1613029268.0,59107413,CC BY-SA 4.0,https://stackoverflow.com/questions/59107413/activating-existing-conda-enviornments-in-snakemake,Activating existing conda enviornments in snakemake,,,,,,
15,"['python', 'opencv', '3d-reconstruction', 'fundamental-matrix']","{'account_id': 170035, 'reputation': 5806, 'user_id': 396483, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/H9TkA.jpg?s=256&g=1', 'display_name': 'john ktejik', 'link': 'https://stackoverflow.com/users/396483/john-ktejik'}",False,1003,,0,8,1668718012,1574914444,,59081675,CC BY-SA 4.0,https://stackoverflow.com/questions/59081675/is-there-a-minimal-complete-working-example-of-structure-from-motion-3d-recons,"Is there a minimal, complete, working example of structure from motion/3d reconstruction?",,50.0,1669322812.0,,,
16,"['python', 'pyautogui']","{'account_id': 3401522, 'reputation': 535, 'user_id': 2853557, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sarwan', 'link': 'https://stackoverflow.com/users/2853557/sarwan'}",True,1594,,2,1,1668687499,1573650602,,58837883,CC BY-SA 4.0,https://stackoverflow.com/questions/58837883/image-search-does-not-work-across-different-systems-using-pyautogui-python,Image search does not work across different systems using pyautogui python?,,,,,,
17,['python'],"{'account_id': 261978, 'reputation': 560, 'user_id': 546526, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d05252e0f47506c36ccdef1fd5a4bed1?s=256&d=identicon&r=PG', 'display_name': 'megges', 'link': 'https://stackoverflow.com/users/546526/megges'}",True,922,58855678.0,6,3,1668648289,1573726748,1573732225.0,58854370,CC BY-SA 4.0,https://stackoverflow.com/questions/58854370/is-it-possible-to-be-better-than-onm-for-codility-lesson-maxcounters-using-py,Is it possible to be better than O(N+M) for Codility lesson MaxCounters using python?,,,,,,
18,"['python', 'reactjs', 'image', 'flask']","{'account_id': 17198011, 'reputation': 61, 'user_id': 12450319, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-OXvEbKljAvU/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfYCNezvN8ysC9DJeMmD9OSc90ZSQ/photo.jpg?sz=256', 'display_name': 'Husam Salhab', 'link': 'https://stackoverflow.com/users/12450319/husam-salhab'}",False,1546,,1,6,1668617247,1574927417,,59084001,CC BY-SA 4.0,https://stackoverflow.com/questions/59084001/send-image-from-flask-to-react,Send image from Flask to React,,,,,,
19,"['python', 'tornado']","{'account_id': 201896, 'reputation': 55426, 'user_id': 448625, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/60f290f6de71b6b69030583169d3fdaf?s=256&d=identicon&r=PG', 'display_name': 'Caner', 'link': 'https://stackoverflow.com/users/448625/caner'}",True,1117,58775110.0,2,3,1668610536,1573050014,,58732225,CC BY-SA 4.0,https://stackoverflow.com/questions/58732225/can-one-handler-handle-both-post-and-get-with-different-urls-in-tornado,Can one handler handle both post and get with different URLs in tornado,,,,,,
20,"['python', 'google-analytics', 'google-reporting-api']","{'account_id': 8413287, 'reputation': 41, 'user_id': 6314490, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2c8eb3f8698d1aa89108b3a603da7e55?s=256&d=identicon&r=PG&f=1', 'display_name': 'YOGESH', 'link': 'https://stackoverflow.com/users/6314490/yogesh'}",True,1895,,2,2,1668585318,1573658995,1573727800.0,58840416,CC BY-SA 4.0,https://stackoverflow.com/questions/58840416/google-analytics-fetch-user-id-in-reporting-api,Google analytics fetch user id in reporting API,,,,,,
21,"['python', 'pycharm']","{'account_id': 10421043, 'reputation': 53, 'user_id': 7683702, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f7bb2975b319a62ecd6095bdea7e4caa?s=256&d=identicon&r=PG&f=1', 'display_name': 'mona', 'link': 'https://stackoverflow.com/users/7683702/mona'}",False,131,,1,0,1668485553,1573152655,,58755230,CC BY-SA 4.0,https://stackoverflow.com/questions/58755230/pycharm-importing-error-chatterbot-flask,PyCharm Importing Error (chatterbot / Flask),,,,,,
22,"['python', 'pandas', 'pandasql']","{'account_id': 13622077, 'reputation': 89, 'user_id': 9826232, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0f17c8211084c9501b2fe36ba67d2a27?s=256&d=identicon&r=PG&f=1', 'display_name': 'charles', 'link': 'https://stackoverflow.com/users/9826232/charles'}",True,8894,,3,0,1668451219,1574207685,,58944642,CC BY-SA 4.0,https://stackoverflow.com/questions/58944642/modulenotfounderror-no-module-name-pandasql,ModuleNotFoundError: No Module name &#39;pandasql&#39;,,,,,,
23,"['python', 'django', 'pythonanywhere']","{'account_id': 17185032, 'reputation': 1, 'user_id': 12439796, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e59f028dde1707d4cedea4c154845afc?s=256&d=identicon&r=PG&f=1', 'display_name': 'chsons', 'link': 'https://stackoverflow.com/users/12439796/chsons'}",False,393,,2,0,1668245984,1574790788,,59056792,CC BY-SA 4.0,https://stackoverflow.com/questions/59056792/migration-of-local-django-project-to-pythonanywhere-throws-incorrect-timezone-er,Migration of local Django project to pythonanywhere throws incorrect timezone error when running manage.py,,,,,,
24,"['javascript', 'python', 'ssl', 'websocket', 'wss']","{'account_id': 9911775, 'reputation': 4489, 'user_id': 8353711, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-QCK5wOmepy8/AAAAAAAAAAI/AAAAAAAAABk/bN55efAFaFY/photo.jpg?sz=256', 'display_name': 'shaik moeed', 'link': 'https://stackoverflow.com/users/8353711/shaik-moeed'}",True,6459,59207734.0,1,14,1668206329,1573193889,1575357858.0,58761399,CC BY-SA 4.0,https://stackoverflow.com/questions/58761399/django-channels-using-secured-websocket-connection-wss,Django channels using secured WebSocket connection - WSS://,,,,,,
25,['python'],"{'account_id': 8163237, 'reputation': 15, 'user_id': 6146538, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/79c7550255a91d25c0c133ff4484e4a8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Joshua Lankamp', 'link': 'https://stackoverflow.com/users/6146538/joshua-lankamp'}",True,1872,58859449.0,5,0,1668169489,1573742173,1668169489.0,58859259,CC BY-SA 4.0,https://stackoverflow.com/questions/58859259/indentation-error-when-running-python-code-in-vs-code,Indentation error when running python code in VS Code,,,,,,
26,"['python', 'python-3.x', 'tweepy']","{'account_id': 17093131, 'reputation': 21, 'user_id': 12368776, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1275550209320456/picture?type=large', 'display_name': 'Grayson Harding', 'link': 'https://stackoverflow.com/users/12368776/grayson-harding'}",True,2706,,2,1,1668113306,1573676043,1573676197.0,58844898,CC BY-SA 4.0,https://stackoverflow.com/questions/58844898/how-to-follow-someone-on-twitter-using-tweepy-python,How to follow someone on Twitter using tweepy/Python?,,,,,,
27,"['python', 'pointers', 'linked-list']","{'account_id': 8592422, 'reputation': 155, 'user_id': 10553096, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5a68d40566bd529517bbd4ae1202d737?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jess', 'link': 'https://stackoverflow.com/users/10553096/jess'}",True,5399,58716014.0,1,5,1668103393,1572972370,,58715870,CC BY-SA 4.0,https://stackoverflow.com/questions/58715870/explanation-about-dummy-nodes-and-pointers-in-linked-lists,Explanation about dummy nodes and pointers in linked lists,,,,,,
28,"['python', 'optimization', 'global-variables', 'local-variables', 'traveling-salesman']","{'account_id': 13656087, 'reputation': 327, 'user_id': 10108320, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/4Z7nO.jpg?s=256&g=1', 'display_name': 'Hctor Alonso Hormazbal Vildsol', 'link': 'https://stackoverflow.com/users/10108320/hctor-alonso-hormazbal-vildsol'}",True,2692,58760562.0,3,0,1668092956,1573184949,,58760085,CC BY-SA 4.0,https://stackoverflow.com/questions/58760085/how-to-solve-unboundlocalerror-local-variable-t-referenced-before-assignment,How to solve: UnboundLocalError: local variable &#39;t&#39; referenced before assignment? in python?,,,,,,
29,['python'],"{'account_id': 16400801, 'reputation': 33, 'user_id': 11846836, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-D89C4Uoffy0/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdqUNLksjHVwqmfIpRq0_zU7demOA/photo.jpg?sz=256', 'display_name': 'Abhishek Mengi', 'link': 'https://stackoverflow.com/users/11846836/abhishek-mengi'}",True,7060,59036281.0,7,3,1668054709,1574698759,1574699393.0,59036027,CC BY-SA 4.0,https://stackoverflow.com/questions/59036027/the-number-stream-detection,The Number Stream detection,,,,,,
30,"['python', 'conda', 'rdkit']","{'account_id': 12627202, 'reputation': 289, 'user_id': 9180236, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f564cb07c66bd0cb7d993bc4b921615f?s=256&d=identicon&r=PG&f=1', 'display_name': 'djordje', 'link': 'https://stackoverflow.com/users/9180236/djordje'}",True,48776,,12,15,1668003870,1573461585,1573461925.0,58797984,CC BY-SA 4.0,https://stackoverflow.com/questions/58797984/how-to-solve-an-error-that-appears-in-conda-proxy-configuration,How to solve an error that appears in conda proxy configuration?,,,,,,
31,"['python', 'google-oauth', 'google-api-python-client', 'google-photos-api']","{'account_id': 1888422, 'reputation': 2669, 'user_id': 1707152, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/c2b713e1768bad21524727c4e3accbe4?s=256&d=identicon&r=PG', 'display_name': 'KFunk', 'link': 'https://stackoverflow.com/users/1707152/kfunk'}",True,899,58929429.0,1,1,1667980608,1574148483,1667980608.0,58928685,CC BY-SA 4.0,https://stackoverflow.com/questions/58928685/google-photos-api-python-working-non-deprecated-example,Google Photos API + python: Working non-deprecated example,,,,,,
32,"['python', 'python-3.x', 'type-hinting']","{'account_id': 16535478, 'reputation': 1484, 'user_id': 12119282, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/BvAPB.jpg?s=256&g=1', 'display_name': 'Samuel Muldoon', 'link': 'https://stackoverflow.com/users/12119282/samuel-muldoon'}",True,919,,2,2,1667929710,1573175070,,58758994,CC BY-SA 4.0,https://stackoverflow.com/questions/58758994/can-an-object-have-a-callable-type-hint-without-specifying-input-arguments-and,Can an object have a `Callable` type hint without specifying input arguments and return value?,,,,,,
33,"['python', 'numpy', 'memory', 'hdf5', 'h5py']","{'account_id': 17127056, 'reputation': 57, 'user_id': 12394003, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/3268125256538152/picture?type=large', 'display_name': 'Debottam Bakshi Gupta', 'link': 'https://stackoverflow.com/users/12394003/debottam-bakshi-gupta'}",True,1065,59020140.0,1,1,1667831714,1574606827,,59018887,CC BY-SA 4.0,https://stackoverflow.com/questions/59018887/memory-error-while-reading-a-large-h5-file,Memory error while reading a large .h5 file,,,,,,
34,"['python', 'python-3.x', 'pyqt5', 'embed', 'pptk']","{'account_id': 16968478, 'reputation': 257, 'user_id': 12273727, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/DMVx0.png?s=256&g=1', 'display_name': 'Foussy', 'link': 'https://stackoverflow.com/users/12273727/foussy'}",True,2219,58937338.0,3,2,1667806791,1573554685,1574946661.0,58816766,CC BY-SA 4.0,https://stackoverflow.com/questions/58816766/how-to-embed-a-pptk-viewer-in-a-pyqt5-window,How to embed a pptk viewer in a PyQt5 window,,,,,,
35,"['python', 'vscode-settings', 'flake8']","{'account_id': 4170488, 'reputation': 151, 'user_id': 3458207, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a9cbfb034338db7523eb488b6d1946b6?s=256&d=identicon&r=PG&f=1', 'display_name': 'user258081', 'link': 'https://stackoverflow.com/users/3458207/user258081'}",True,5918,,4,4,1667771904,1574348830,1574349251.0,58977983,CC BY-SA 4.0,https://stackoverflow.com/questions/58977983/vs-code-preferences-user-settings-extensions-python-linting-flake8-a,VS Code &gt; Preferences &gt; User Settings &gt; Extensions &gt; Python &gt; Linting &gt; Flake8 Args Added Item stopped working,,,,,,
36,"['python', 'django', 'python-datetime']","{'account_id': 11240964, 'reputation': 119, 'user_id': 8245275, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-VADM9tV7wD4/AAAAAAAAAAI/AAAAAAAAABU/Ez97V7k1QIc/photo.jpg?sz=256', 'display_name': 'Silent Beast', 'link': 'https://stackoverflow.com/users/8245275/silent-beast'}",False,1168,,1,0,1667729390,1574967207,,59094850,CC BY-SA 4.0,https://stackoverflow.com/questions/59094850/django-overriding-datetimefield,Django Overriding DateTimeField,,,,,,
37,"['python', 'python-3.x', 'pycharm']","{'account_id': 16293350, 'reputation': 51, 'user_id': 11766292, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/31a3f0927e9d961beef9c7e2dae2e54b?s=256&d=identicon&r=PG&f=1', 'display_name': 'daniel', 'link': 'https://stackoverflow.com/users/11766292/daniel'}",True,711,,1,0,1667653580,1574947482,,59089910,CC BY-SA 4.0,https://stackoverflow.com/questions/59089910/cannot-open-local-terminal-failed-to-start-cmd-exe-in-c-users-home-pycharmpro,Cannot open Local Terminal Failed to start [cmd.exe] in C:/Users/Home/PycharmProjects/untitled in PyCharm,,,,,,
38,"['python', 'command-line', 'import', 'operating-system']","{'account_id': 17138653, 'reputation': 11, 'user_id': 12403158, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7544472de1fc6cf03396f3b920fd5ce0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rick', 'link': 'https://stackoverflow.com/users/12403158/rick'}",True,11321,,2,1,1667515225,1574254935,,58954993,CC BY-SA 4.0,https://stackoverflow.com/questions/58954993/zsh-command-not-found-import,zsh: command not found: import,1667522460.0,,,,,
39,"['python', 'windows-10', 'sublimetext3']","{'account_id': 14212619, 'reputation': 2787, 'user_id': 10267497, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-8dWe8O7lQ2U/AAAAAAAAAAI/AAAAAAAAAAA/APUIFaNWjfCr9XqRPNiR_sEQHwHpm91-RQ/mo/photo.jpg?sz=256', 'display_name': 'Jo&#227;o Vitor Degrandi', 'link': 'https://stackoverflow.com/users/10267497/jo%c3%a3o-vitor-degrandi'}",True,218668,58773979.0,12,262,1667481541,1573150926,1655506542.0,58754860,CC BY-SA 4.0,https://stackoverflow.com/questions/58754860/cmd-opens-windows-store-when-i-type-python,CMD opens Windows Store when I type &#39;python&#39;,1610611700.0,,,,,
40,"['python', 'matplotlib']","{'account_id': 216762, 'reputation': 932, 'user_id': 4045783, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://lh3.googleusercontent.com/-cNM_S89apfw/AAAAAAAAAAI/AAAAAAAAAUE/3ggCuqq_BKk/photo.jpg?sz=256', 'display_name': 'Hallgeir Wilhelmsen', 'link': 'https://stackoverflow.com/users/4045783/hallgeir-wilhelmsen'}",True,630,58792810.0,3,2,1667382655,1573391209,,58788958,CC BY-SA 4.0,https://stackoverflow.com/questions/58788958/the-smallest-valid-alpha-value-in-matplotlib,The smallest valid alpha value in matplotlib?,,,,,,
41,"['python', 'google-api', 'google-api-python-client']","{'account_id': 1294157, 'reputation': 216, 'user_id': 1245659, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://www.gravatar.com/avatar/9116cc9a250e0990ae2b0395b28aa875?s=256&d=identicon&r=PG', 'display_name': 'arcee123', 'link': 'https://stackoverflow.com/users/1245659/arcee123'}",False,843,,1,2,1667377692,1574803696,1667377692.0,59059591,CC BY-SA 4.0,https://stackoverflow.com/questions/59059591/execute-oauth2-headless-in-python-going-against-google-apis,execute oauth2 headless in python going against google apis,,,,,,
42,"['python', 'ssh', 'visual-studio-code']","{'account_id': 15907953, 'reputation': 134, 'user_id': 11478623, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-ohUo_8Oa_OM/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdhkzgZ5suAuk_SYpWpfrb66v9m9A/mo/photo.jpg?sz=256', 'display_name': 'dl wu', 'link': 'https://stackoverflow.com/users/11478623/dl-wu'}",True,3670,,3,2,1667377069,1574834211,,59063892,CC BY-SA 4.0,https://stackoverflow.com/questions/59063892/is-there-any-way-to-show-figures-in-vscode-remote-ssh-windows,Is there any way to show figures in VScode remote ssh (windows),,,,,,
43,"['python', 'conda']","{'account_id': 10466391, 'reputation': 31, 'user_id': 11852814, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/xweoZ.jpg?s=256&g=1', 'display_name': 'MrGlazedDonuts', 'link': 'https://stackoverflow.com/users/11852814/mrglazeddonuts'}",True,654,58937692.0,1,1,1667071512,1574177678,1667071512.0,58937650,CC BY-SA 4.0,https://stackoverflow.com/questions/58937650/getting-syntaxerror-invalid-syntax,Getting &quot;SyntaxError: invalid syntax&quot;,,,,,,
44,"['python', 'python-3.x', 'type-conversion', 'ride']","{'account_id': 12020875, 'reputation': 11, 'user_id': 8794336, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-5wSdfymd15k/AAAAAAAAAAI/AAAAAAAANGA/BXu7j1H-oSE/photo.jpg?sz=256', 'display_name': 'Enstein Sugumar', 'link': 'https://stackoverflow.com/users/8794336/enstein-sugumar'}",False,10573,,2,1,1667038080,1574439307,1640008699.0,58998004,CC BY-SA 4.0,https://stackoverflow.com/questions/58998004/typeerror-descriptor-encode-for-str-objects-doesnt-apply-to-a-tuple-obje,TypeError: descriptor &#39;encode&#39; for &#39;str&#39; objects doesn&#39;t apply to a &#39;tuple&#39; object,,,,,,
45,"['python', 'pandas', 'matplotlib', 'seaborn', 'scatter-plot']","{'account_id': 16954052, 'reputation': 3, 'user_id': 12262910, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-oC_joVme5Qk/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdP4JxcsIXILi6cxyFC3t0-ayUQxg/photo.jpg?sz=256', 'display_name': 'jay Kim', 'link': 'https://stackoverflow.com/users/12262910/jay-kim'}",False,99,,0,0,1666976900,1573221843,1666976900.0,58768069,CC BY-SA 4.0,https://stackoverflow.com/questions/58768069/how-can-i-change-colors-in-a-scatter-plot,How can I change colors in a scatter plot?,,,,,,
46,['python'],"{'account_id': 2426429, 'reputation': 943, 'user_id': 2118245, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3c613a2245dc503903ef1695d4fea763?s=256&d=identicon&r=PG', 'display_name': 'user2118245', 'link': 'https://stackoverflow.com/users/2118245/user2118245'}",True,147300,59042106.0,4,32,1666960382,1574727722,1574730707.0,59041955,CC BY-SA 4.0,https://stackoverflow.com/questions/59041955/python-typeerror-set-object-is-not-subscriptable,Python TypeError: &#39;set&#39; object is not subscriptable,,,,,,
