,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,migrated_from,closed_date,closed_reason,bounty_amount,bounty_closes_date,protected_date
10,"['python', 'pytorch', 'pytorch-dataloader']","{'account_id': 15594137, 'reputation': 13, 'user_id': 11250187, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2327857013913342/picture?type=large', 'display_name': 'Vincent Kounkou', 'link': 'https://stackoverflow.com/users/11250187/vincent-kounkou'}",True,3845,3,1,1669127952,1648109245,1649217692.0,71713719,,https://stackoverflow.com/questions/71713719/runtimeerror-dataloader-worker-pids-15876-2756-exited-unexpectedly,"RuntimeError: DataLoader worker (pid(s) 15876, 2756) exited unexpectedly",71730509.0,"{'other_site': {'aliases': ['https://signals.stackexchange.com'], 'styling': {'tag_background_color': '#FFF', 'tag_foreground_color': '#000', 'link_color': '#0077CC'}, 'related_sites': [{'relation': 'meta', 'api_site_parameter': 'dsp.meta', 'site_url': 'https://dsp.meta.stackexchange.com', 'name': 'Signal Processing Meta Stack Exchange'}, {'relation': 'chat', 'site_url': 'https://chat.stackexchange.com?tab=site&host=dsp.stackexchange.com', 'name': 'Chat Stack Exchange'}], 'markdown_extensions': ['MathJax', 'Prettify'], 'launch_date': 1447708127, 'open_beta_date': 1315343961, 'closed_beta_date': 1313521200, 'site_state': 'normal', 'high_resolution_icon_url': 'https://cdn.sstatic.net/Sites/dsp/Img/apple-touch-icon@2.png', 'twitter_account': 'StackSignals', 'favicon_url': 'https://cdn.sstatic.net/Sites/dsp/Img/favicon.ico', 'icon_url': 'https://cdn.sstatic.net/Sites/dsp/Img/apple-touch-icon.png', 'audience': 'practitioners of the art and science of signal, image and video processing', 'site_url': 'https://dsp.stackexchange.com', 'api_site_parameter': 'dsp', 'logo_url': 'https://cdn.sstatic.net/Sites/dsp/Img/logo.png', 'name': 'Signal Processing', 'site_type': 'main_site'}, 'on_date': 1648856372, 'question_id': 82178}",,,,,
11,"['python', 'pycharm', 'remote-server']","{'account_id': 14521735, 'reputation': 41, 'user_id': 10489227, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-WyMX2ex6mKo/AAAAAAAAAAI/AAAAAAAAAAA/AAN31DWEbFrZ5uXm2mFjGBmMxt_6d3zC6Q/mo/photo.jpg?sz=256', 'display_name': 'Wenjie Ai', 'link': 'https://stackoverflow.com/users/10489227/wenjie-ai'}",True,397,2,1,1669118022,1647423820,,71494752,CC BY-SA 4.0,https://stackoverflow.com/questions/71494752/pycharm-error-running-test-cant-run-remote-python-interpreter-0,Pycharm Error running &#39;test&#39;: can&#39;t run remote python interpreter: {0},,,,,,,
12,"['python', 'opencv', 'webcam']","{'account_id': 24617613, 'reputation': 1, 'user_id': 18518393, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxb2f8Qrd4f23zcQvwdUa_k8VN-Ho8nrQpoBlwq=k-s256', 'display_name': 'Bogdan Madzhuga', 'link': 'https://stackoverflow.com/users/18518393/bogdan-madzhuga'}",True,145,1,0,1669105236,1648372440,,71635041,CC BY-SA 4.0,https://stackoverflow.com/questions/71635041/how-to-change-the-resolution-of-ps5-camera-in-opencv,How to change the resolution of PS5 camera in OpenCV?,71635250.0,,,,,,
13,"['python', 'postman', 'fastapi']","{'account_id': 24569764, 'reputation': 85, 'user_id': 18476381, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/18cec6a83a91bcdb9deca62c01cb8e08?s=256&d=identicon&r=PG', 'display_name': 'Masterstack8080', 'link': 'https://stackoverflow.com/users/18476381/masterstack8080'}",True,2549,1,1,1669101509,1647375638,1665834853.0,71488533,CC BY-SA 4.0,https://stackoverflow.com/questions/71488533/fastapi-postman-error-422-unprocessable-entity,FastAPI - Postman error 422 Unprocessable Entity,,,,,,,
14,"['python', 'data-structures', 'tree']","{'account_id': 5171758, 'reputation': 4452, 'user_id': 4140027, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://i.stack.imgur.com/N9jwH.jpg?s=256&g=1', 'display_name': 'tumbleweed', 'link': 'https://stackoverflow.com/users/4140027/tumbleweed'}",False,18,1,0,1669099453,1648721671,1648723091.0,71690744,CC BY-SA 4.0,https://stackoverflow.com/questions/71690744/what-is-the-correct-way-of-traversing-the-following-tree-pre-oder,What is the correct way of traversing the following tree pre-oder?,,,,,,,
15,"['python', 'conda']","{'account_id': 6759139, 'reputation': 111, 'user_id': 6684209, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/82e27c9e860df1a8a863333a1e696330?s=256&d=identicon&r=PG&f=1', 'display_name': 'JasonK', 'link': 'https://stackoverflow.com/users/6684209/jasonk'}",False,111,1,0,1669093036,1646265596,1646302188.0,71330613,CC BY-SA 4.0,https://stackoverflow.com/questions/71330613/conda-uninstall-quits-without-removing-anything,conda uninstall quits without removing anything,,,,,,,
16,"['python', 'flutter', 'text-to-speech', 'speech-to-text']","{'account_id': 24541415, 'reputation': 1, 'user_id': 18451722, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJz5gY4euCJCbRi4IZpo252KqG4971Kga2nIW9QF=k-s256', 'display_name': 'Ayesha Muqeem', 'link': 'https://stackoverflow.com/users/18451722/ayesha-muqeem'}",False,88,0,0,1669066103,1647163041,,71455363,CC BY-SA 4.0,https://stackoverflow.com/questions/71455363/python-speech-to-text-model-integration-with-flutter,Python Speech to text model integration with flutter,,,,,,,
17,"['python', 'visual-studio-code', 'jupyter']","{'account_id': 43051, 'reputation': 9627, 'user_id': 125673, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/82a60bb38342f8f84da434535183e21b?s=256&d=identicon&r=PG', 'display_name': 'arame3333', 'link': 'https://stackoverflow.com/users/125673/arame3333'}",True,1789,5,1,1669054693,1647509710,,71509993,CC BY-SA 4.0,https://stackoverflow.com/questions/71509993/vs-code-using-jupyter-connecting-to-kernel-python-3-6-9-waiting-for-jupyter-s,VS Code using Jupyter: Connecting to kernel: Python 3.6.9: Waiting for Jupyter Session to be idle,71555439.0,,,,,,
18,"['python', 'audio', 'deep-learning', 'multiclass-classification', 'tensorflow-hub']","{'account_id': 22073529, 'reputation': 9, 'user_id': 16334198, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0436cc14244f256371e3440b4506f2b2?s=256&d=identicon&r=PG&f=1', 'display_name': 'khaoula benali', 'link': 'https://stackoverflow.com/users/16334198/khaoula-benali'}",False,186,1,0,1669050441,1648478142,,71649169,CC BY-SA 4.0,https://stackoverflow.com/questions/71649169/yamnet-audio-classification-for-feature-extraction,Yamnet audio classification for feature extraction,,,,,,,
19,"['python', 'django', 'django-admin']","{'account_id': 24099197, 'reputation': 11, 'user_id': 18641567, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/06222cbcebadf3e143c1c6d2d9762b3e?s=256&d=identicon&r=PG', 'display_name': 'emildzy', 'link': 'https://stackoverflow.com/users/18641567/emildzy'}",False,92,0,1,1669049238,1648719132,1669049238.0,71690160,CC BY-SA 4.0,https://stackoverflow.com/questions/71690160/the-admin-login-form-does-not-allow-the-superuser-to-log-in,The admin login form does not allow the superuser to log in,,,,,,,
20,"['python', 'machine-learning', 'pytorch', 'computer-vision']","{'account_id': 21434871, 'reputation': 161, 'user_id': 15790497, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-km7PTbNpzF4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmMNRhN9sKYLRtRrDl2UtmqRch3nA/s96-c/photo.jpg?sz=256', 'display_name': 'Dmitrii Troshin', 'link': 'https://stackoverflow.com/users/15790497/dmitrii-troshin'}",True,38623,4,16,1669040173,1647438825,1647453195.0,71498324,CC BY-SA 4.0,https://stackoverflow.com/questions/71498324/pytorch-runtimeerror-cuda-out-of-memory-with-a-huge-amount-of-free-memory,Pytorch RuntimeError: CUDA out of memory with a huge amount of free memory,,,,,,,
21,"['python', 'matplotlib']","{'account_id': 22956696, 'reputation': 145, 'user_id': 17087165, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJznakHR0A4L5duwKZwToc4nMOEuWZko_fQtmmdN=k-s256', 'display_name': 'Alex ', 'link': 'https://stackoverflow.com/users/17087165/alex'}",True,113,1,0,1669033669,1647954173,,71572533,CC BY-SA 4.0,https://stackoverflow.com/questions/71572533/how-to-draw-axis-with-arrows-the-same-in-python,How to draw axis with arrows the same in Python,74518926.0,,,,,,
22,"['python', 'amazon-web-services', 'aws-lambda', 'aws-event-bridge']","{'account_id': 8240403, 'reputation': 383, 'user_id': 6198207, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/2FhAY.png?s=256&g=1', 'display_name': 'Ludi', 'link': 'https://stackoverflow.com/users/6198207/ludi'}",True,751,1,1,1669020369,1647260749,1647262812.0,71467768,CC BY-SA 4.0,https://stackoverflow.com/questions/71467768/programmatically-schedule-an-aws-lambda-for-one-time-execution,Programmatically schedule an AWS Lambda for one time execution,71469039.0,,,,,,
23,"['python', 'pandas']","{'account_id': 22407480, 'reputation': 47, 'user_id': 16616783, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/4895409020474919/picture?type=large', 'display_name': 'Putthita Nuphasant', 'link': 'https://stackoverflow.com/users/16616783/putthita-nuphasant'}",True,136,3,2,1669019831,1646733003,,71392956,CC BY-SA 4.0,https://stackoverflow.com/questions/71392956/iloc-by-value-columns,iloc[] by value columns,71392980.0,,,,,,
24,"['python', 'amazon-web-services', 'machine-learning', 'amazon-sagemaker']","{'account_id': 18547444, 'reputation': 1, 'user_id': 18302384, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/27e49c7b287132fe599d862d3866827e?s=256&d=identicon&r=PG', 'display_name': 'user18302384', 'link': 'https://stackoverflow.com/users/18302384/user18302384'}",False,117,1,0,1669004961,1646835413,,71410791,CC BY-SA 4.0,https://stackoverflow.com/questions/71410791/how-can-i-build-a-multi-model-endpoint-for-ensemble-modeling-with-using-my-own-m,How can I build a multi model endpoint for ensemble modeling with using my own model containers?,,,,,,,
25,"['python', 'merge', 'spacy', 'entities', 'matcher']","{'account_id': 9436024, 'reputation': 135, 'user_id': 7017999, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://graph.facebook.com/1203611669706301/picture?type=large', 'display_name': 'roelmetgevoel', 'link': 'https://stackoverflow.com/users/7017999/roelmetgevoel'}",False,211,0,0,1668907537,1646666108,,71383230,CC BY-SA 4.0,https://stackoverflow.com/questions/71383230/merging-named-entities-with-spacys-matcher-module,Merging named entities with spaCy&#39;s Matcher module,,,,,,,
26,"['python', 'rabbitmq', 'flask-sqlalchemy']","{'account_id': 12929006, 'reputation': 634, 'user_id': 9348637, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/CmUQK.png?s=256&g=1', 'display_name': 'Iynga Iyngaran Iyathurai', 'link': 'https://stackoverflow.com/users/9348637/iynga-iyngaran-iyathurai'}",False,87,0,1,1668882872,1647273306,,71470636,CC BY-SA 4.0,https://stackoverflow.com/questions/71470636/how-to-use-sqlalchemy-model-in-rabbitmq-consumer-file-in-flask,How to use SQLAlchemy model in RabbitMQ consumer file in Flask?,,,,,,,
27,"['javascript', 'python']","{'account_id': 20375743, 'reputation': 39, 'user_id': 14946977, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/828654377680399/picture?type=large', 'display_name': 'Trung Ki&#234;n', 'link': 'https://stackoverflow.com/users/14946977/trung-ki%c3%aan'}",True,1710,2,1,1668879075,1648650377,,71679094,CC BY-SA 4.0,https://stackoverflow.com/questions/71679094/python-vs-javascript-execution-time,Python vs Javascript execution time,,,,,,,
28,"['python', 'python-3.x', 'websocket', 'async-await', 'python-asyncio']","{'account_id': 15026917, 'reputation': 103, 'user_id': 10846428, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-JZUyo5rhi4g/AAAAAAAAAAI/AAAAAAAAAAA/AKxrwcYcgb-tUpGqx0MsbePvW0RQK0LQng/mo/photo.jpg?sz=256', 'display_name': 'jguy', 'link': 'https://stackoverflow.com/users/10846428/jguy'}",False,70,1,0,1668856060,1646910600,,71423118,CC BY-SA 4.0,https://stackoverflow.com/questions/71423118/never-awaited-callback-error-when-using-async-and-websocket-when-i-try-to-fetc,&quot;Never awaited callback&quot; Error when using async and websocket when I try to fetch websocket price data from crypto exchange,,,,,,,
29,"['python', 'visual-studio-code', 'pylance']","{'account_id': 19574091, 'reputation': 85, 'user_id': 14324558, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-tMPRkPmZ4IQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm62grE2B2sAYJLDu5jM_j2WXMmTQ/photo.jpg?sz=256', 'display_name': 'Connor', 'link': 'https://stackoverflow.com/users/14324558/connor'}",True,623,2,1,1668813047,1647381745,1647390708.0,71489531,CC BY-SA 4.0,https://stackoverflow.com/questions/71489531/import-flask-sqlalchemy-could-not-be-resolved-from-source-pylance,Import &quot;flask_sqlalchemy&quot; could not be resolved from source: Pylance,,,,,,,
30,"['python', 'opencv', 'image-processing', 'image-segmentation']","{'account_id': 10506806, 'reputation': 55, 'user_id': 7743711, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f2d44fcfcc5f6d7615157f2c6c857fa2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bingo Man', 'link': 'https://stackoverflow.com/users/7743711/bingo-man'}",False,72,2,0,1668810833,1647462630,,71503894,CC BY-SA 4.0,https://stackoverflow.com/questions/71503894/how-to-identify-the-unfinished-rectangle-by-image-processing,How to identify the unfinished rectangle by image processing?,,,,,,,
31,"['python', 'openstreetmap', 'overpass-api']","{'account_id': 24522704, 'reputation': 1, 'user_id': 18435510, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjuJ4bFpZ88XYBKleoGWtzRl4fgiL4Wt4N6ctT1=k-s256', 'display_name': 'OKappa', 'link': 'https://stackoverflow.com/users/18435510/okappa'}",False,188,1,0,1668802960,1646973284,,71433686,CC BY-SA 4.0,https://stackoverflow.com/questions/71433686/limit-overpy-query-to-specific-area-e-g-country,Limit overpy query to specific area (e.g. country),,,,,,,
32,"['python', 'password-generator']","{'account_id': 20662809, 'reputation': 1, 'user_id': 15170407, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gij8kD9CuIlXDaORJBo9Pi_sXxt5fIAI63cq4WIkQ=k-s256', 'display_name': 'VII', 'link': 'https://stackoverflow.com/users/15170407/vii'}",True,127,2,0,1668802451,1647009345,,71440121,CC BY-SA 4.0,https://stackoverflow.com/questions/71440121/how-do-i-make-a-password-generator-that-actually-makes-a-good-password-with-pyth,How do I make a password generator that actually makes a good password with python?,,,,,,,
33,['python'],"{'account_id': 22230543, 'reputation': 15, 'user_id': 16466798, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhR3wPyyVJaHrBYb1sVPT_HzFV2RTvy8IQ-I95lew=k-s256', 'display_name': 'Shubham-Misal', 'link': 'https://stackoverflow.com/users/16466798/shubham-misal'}",True,978,1,-5,1668793863,1647962722,1668793863.0,71574665,,https://stackoverflow.com/questions/71574665/in-python-if-the-user-enters-a-string-instead-of-number-integer-value-then-ho,"In python, if the user enters a string instead of number (integer value) then how can we show message to user that input is invalid?",71574721.0,,1647963083.0,Duplicate,,,
34,"['python', 'rust', 'python-polars', 'rust-polars']","{'account_id': 24376323, 'reputation': 129, 'user_id': 18308621, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3978fc91d508b070914ca2bfe96059c9?s=256&d=identicon&r=PG', 'display_name': 'Hakase', 'link': 'https://stackoverflow.com/users/18308621/hakase'}",False,576,1,2,1668766625,1647495700,,71507549,CC BY-SA 4.0,https://stackoverflow.com/questions/71507549/how-to-loc-value-in-rust-polars,How to loc value in Rust Polars?,,,,,,,
35,"['python', 'html']","{'account_id': 9882476, 'reputation': 3184, 'user_id': 7318120, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/sWhra.jpg?s=256&g=1', 'display_name': 'D.L', 'link': 'https://stackoverflow.com/users/7318120/d-l'}",False,282,3,0,1668756481,1648385938,,71636540,CC BY-SA 4.0,https://stackoverflow.com/questions/71636540/run-python-script-from-within-html-in-the-browser,run python script from within html in the browser,,,,,,,
36,"['python', 'matplotlib', 'visualization']","{'account_id': 2164620, 'reputation': 1622, 'user_id': 1918127, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://i.stack.imgur.com/P0mp4.jpg?s=256&g=1', 'display_name': 'mathandy', 'link': 'https://stackoverflow.com/users/1918127/mathandy'}",True,135,2,1,1668729581,1647481779,1668729581.0,71506186,CC BY-SA 4.0,https://stackoverflow.com/questions/71506186/how-to-get-create-a-histogram-over-time,How to get create a histogram over time?,,,,,,,
37,"['python', 'selenium', 'web-scraping', 'xpath']","{'account_id': 22913057, 'reputation': 797, 'user_id': 17050039, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJw8SlXcAZsu0AdXjSMT05gPK-UB-x_6ZE6A57V-=k-s256', 'display_name': 'Amen Aziz', 'link': 'https://stackoverflow.com/users/17050039/amen-aziz'}",True,160,2,2,1668722728,1646585071,1668722264.0,71372239,CC BY-SA 4.0,https://stackoverflow.com/questions/71372239/xpath-issue-using-selenium,XPath issue using Selenium,71373381.0,,,,,,
38,"['python', 'python-3.x', 'visual-studio-code', 'jupyter-notebook']","{'account_id': 9429600, 'reputation': 2778, 'user_id': 7013576, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0437af4dcb67ecdd180c7ed754188357?s=256&d=identicon&r=PG&f=1', 'display_name': 'Sruthi', 'link': 'https://stackoverflow.com/users/7013576/sruthi'}",True,856,3,2,1668722182,1646191798,1646197168.0,71317132,CC BY-SA 4.0,https://stackoverflow.com/questions/71317132/is-there-a-way-to-be-notified-when-a-cell-finishes-execution-in-vscode-jupyter-n,Is there a way to be notified when a cell finishes execution in VSCode Jupyter Notebook?,,,,,,,
39,"['python', 'image', 'replace', 'docx']","{'account_id': 23115426, 'reputation': 67, 'user_id': 17222767, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzXRAoGDaDfwscyHeYOVRI5gecWqhd7YcH1R7zJ=k-s256', 'display_name': 'Brandon Moore', 'link': 'https://stackoverflow.com/users/17222767/brandon-moore'}",False,1263,1,2,1668711690,1647888125,1647890452.0,71562597,CC BY-SA 4.0,https://stackoverflow.com/questions/71562597/replace-image-in-word-docx-format,Replace image in Word docx format,,,,,,,
40,"['python', 'tensorflow', 'keras']","{'account_id': 8928937, 'reputation': 89, 'user_id': 6662192, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d2323ff1abe7a1f6734d1e138ad25539?s=256&d=identicon&r=PG&f=1', 'display_name': 'Calla', 'link': 'https://stackoverflow.com/users/6662192/calla'}",False,412,1,0,1668707411,1648708575,1648710375.0,71687926,CC BY-SA 4.0,https://stackoverflow.com/questions/71687926/meet-an-error-valueerror-shapes-none-5-and-none-4-are-incompatible,"Meet an error &quot; ValueError: Shapes (None, 5) and (None, 4) are incompatible&quot;",,,,,,,
41,"['python', 'python-3.x', 'web-scraping', 'python-requests']","{'account_id': 9677061, 'reputation': 140, 'user_id': 7180194, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/tnExZ.jpg?s=256&g=1', 'display_name': 'MITHU', 'link': 'https://stackoverflow.com/users/7180194/mithu'}",True,357,3,-3,1668697925,1647353305,1668697771.0,71483672,CC BY-SA 4.0,https://stackoverflow.com/questions/71483672/unable-to-grab-some-fields-from-a-webpage-having-unconventional-content,Unable to grab some fields from a webpage having unconventional content,,,,,150.0,1669302725.0,
42,"['python', 'python-asyncio']","{'account_id': 13865604, 'reputation': 162, 'user_id': 10010173, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-cD6PhMinAHM/AAAAAAAAAAI/AAAAAAAAACA/I_yvP4sBAJo/photo.jpg?sz=256', 'display_name': 'MMM', 'link': 'https://stackoverflow.com/users/10010173/mmm'}",True,936,2,0,1668687783,1646233406,,71324885,CC BY-SA 4.0,https://stackoverflow.com/questions/71324885/how-to-find-the-cause-of-cancellederror-in-asyncio,How to find the cause of CancelledError in asyncio?,71356489.0,,,,,,
43,"['python', 'pdb', 'ipdb']","{'account_id': 127391, 'reputation': 4312, 'user_id': 324506, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/1b6429aafe9e31ea3e3586e2edf80211?s=256&d=identicon&r=PG', 'display_name': 'maraujop', 'link': 'https://stackoverflow.com/users/324506/maraujop'}",True,314,1,12,1668670034,1648028246,1648742263.0,71584885,CC BY-SA 4.0,https://stackoverflow.com/questions/71584885/ipdb-stops-showing-prompt-text-after-carriage-return,ipdb stops showing prompt text after carriage return,,,,,,,
44,"['python', 'tkinter']","{'account_id': 21637088, 'reputation': 130, 'user_id': 15959848, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/36d5a6c9ff47677e7022c1cd8f227dc1?s=256&d=identicon&r=PG&f=1', 'display_name': 'lu3si', 'link': 'https://stackoverflow.com/users/15959848/lu3si'}",True,454,4,0,1668669904,1648473622,1648640913.0,71648197,CC BY-SA 4.0,https://stackoverflow.com/questions/71648197/how-can-i-prevent-a-tkinter-gui-from-freezing-while-an-async-task-is-running,How can I prevent a tkinter Gui from freezing while an async task is running?,72700190.0,,,,,,
