,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,bounty_amount,bounty_closes_date,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from
12,"['python', 'regex', 'pandas', 'dataframe']","{'account_id': 19096327, 'reputation': 23, 'user_id': 13945510, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d6a22b6a71c41693d65454dbe7a3560b?s=256&d=identicon&r=PG&f=1', 'display_name': 'Vinicius Collaco', 'link': 'https://stackoverflow.com/users/13945510/vinicius-collaco'}",True,652,1,1,1668636008,1595031866,1668636008.0,62963350,CC BY-SA 4.0,https://stackoverflow.com/questions/62963350/how-to-categorize-a-column-with-regex-patterns,How to categorize a column with regex patterns,,,62973950.0,,,,
13,"['python', 'selenium', 'selenium-webdriver', 'selenium-chromedriver']","{'account_id': 17885313, 'reputation': 511, 'user_id': 12993150, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Ghlmg5jvRmr27NdUYwWKwQ4348OdMuDc9PJdQY2=k-s256', 'display_name': 'codewithawais', 'link': 'https://stackoverflow.com/users/12993150/codewithawais'}",True,983,2,0,1668622654,1594965414,1594966058.0,62947965,CC BY-SA 4.0,https://stackoverflow.com/questions/62947965/failed-download-error-while-download-a-file-using-selenium-python,&quot;Failed - Download error&quot; while download a file using Selenium Python,,,62948130.0,,,,
14,"['python', 'tensorflow']","{'account_id': 16934725, 'reputation': 190, 'user_id': 12248034, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/x6LwD.jpg?s=256&g=1', 'display_name': 'TheExplodingGradient', 'link': 'https://stackoverflow.com/users/12248034/theexplodinggradient'}",True,11444,6,14,1668589298,1595525637,,63059979,CC BY-SA 4.0,https://stackoverflow.com/questions/63059979/cannot-install-tensorflow-1-x,Cannot install TensorFlow 1.x,,,63924057.0,,,,
15,"['python', 'python-3.x', 'pandas', 'numpy', 'matplotlib']","{'account_id': 15180363, 'reputation': 517, 'user_id': 10953785, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/tnsI3.jpg?s=256&g=1', 'display_name': 'user5635636', 'link': 'https://stackoverflow.com/users/10953785/user5635636'}",True,52011,4,23,1668570497,1594987905,1648922349.0,62953704,CC BY-SA 4.0,https://stackoverflow.com/questions/62953704/valueerror-the-number-of-fixedlocator-locations-5-usually-from-a-call-to-set,"ValueError: The number of FixedLocator locations (5), usually from a call to set_ticks, does not match the number of ticklabels (12)",,,65735433.0,,,,
16,"['python', 'selenium', 'selenium-webdriver', 'text', 'getattribute']","{'account_id': 18134700, 'reputation': 15, 'user_id': 13189393, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b99c34a86283c2c59eccfdef6dd8d87a?s=256&d=identicon&r=PG&f=1', 'display_name': 'eyadali05', 'link': 'https://stackoverflow.com/users/13189393/eyadali05'}",True,140,2,1,1668566815,1595659790,1668566720.0,63085285,CC BY-SA 4.0,https://stackoverflow.com/questions/63085285/how-can-i-get-text-from-an-a-tag-with-selenium,How can I get text from an A tag with Selenium?,,,63085729.0,,,,
17,"['python', 'pandas']","{'account_id': 2215952, 'reputation': 1040, 'user_id': 1956546, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/yCbkT.jpg?s=256&g=1', 'display_name': 'john taylor', 'link': 'https://stackoverflow.com/users/1956546/john-taylor'}",True,1296,1,3,1668518577,1595173954,1595185448.0,62982500,CC BY-SA 4.0,https://stackoverflow.com/questions/62982500/when-i-read-a-csv-with-squeeze-is-set-to-true-in-pandas-it-makes-dataframe-not-s,When I read a csv with squeeze is set to True in Pandas it makes dataframe not series,,,73265711.0,,,,
18,"['python', 'csv', 'twitter']","{'account_id': 13083743, 'reputation': 21, 'user_id': 9453429, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d3e3971fa0d961853eeb8fa456d8f7aa?s=256&d=identicon&r=PG&f=1', 'display_name': 'M.Mafaa', 'link': 'https://stackoverflow.com/users/9453429/m-mafaa'}",True,787,3,2,1668514512,1594566673,1594588616.0,62862779,CC BY-SA 4.0,https://stackoverflow.com/questions/62862779/how-to-write-arabic-to-a-csv-file,How to write Arabic to a CSV file,,,,,,,
19,"['python', 'tensorflow', 'keras', 'distilbert']","{'account_id': 8483435, 'reputation': 21, 'user_id': 6362460, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7c62c48178050121f81c862dd2ee9039?s=256&d=identicon&r=PG&f=1', 'display_name': 'bmt', 'link': 'https://stackoverflow.com/users/6362460/bmt'}",False,298,1,2,1668504534,1596171875,1596181645.0,63186066,CC BY-SA 4.0,https://stackoverflow.com/questions/63186066/input-to-reshape-doesnt-match-requested-shape,Input to reshape doesn&#39;t match requested shape,,,,,,,
20,"['python', 'api-design', 'type-hinting']","{'account_id': 1148359, 'reputation': 408, 'user_id': 1130623, 'user_type': 'registered', 'accept_rate': 20, 'profile_image': 'https://www.gravatar.com/avatar/b43314ea29a8415eaa5f03374a87c99d?s=256&d=identicon&r=PG', 'display_name': 'Carsten', 'link': 'https://stackoverflow.com/users/1130623/carsten'}",True,755,2,11,1668471793,1595791494,,63104689,CC BY-SA 4.0,https://stackoverflow.com/questions/63104689/what-is-the-pythonic-way-to-represent-an-iterable-that-can-be-iterated-over-mult,What is the pythonic way to represent an Iterable that can be iterated over multiple times,,,,,,,
21,"['python', 'matplotlib', 'networkx']","{'account_id': 2974514, 'reputation': 792, 'user_id': 2525863, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/716cb91ce45c94a01d76d6556b6178c1?s=256&d=identicon&r=PG', 'display_name': 'Matthew David Jankowski', 'link': 'https://stackoverflow.com/users/2525863/matthew-david-jankowski'}",True,6343,3,7,1668448945,1595433514,1595434110.0,63038379,CC BY-SA 4.0,https://stackoverflow.com/questions/63038379/add-title-to-networkx-plot,Add title to Networkx plot?,,,63038557.0,,,,
22,"['python', 'django', 'python-unittest', 'django-testing', 'python-mock']","{'account_id': 2827721, 'reputation': 7729, 'user_id': 2429989, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/ad6e6bdbe09efccb343b96ce4d703dbc?s=256&d=identicon&r=PG', 'display_name': 'alias51', 'link': 'https://stackoverflow.com/users/2429989/alias51'}",True,859,1,2,1668443826,1595593449,1595595145.0,63073501,CC BY-SA 4.0,https://stackoverflow.com/questions/63073501/how-to-debug-patched-method-with-unittest-mock,How to debug patched method with unittest.mock,,,,,,,
23,"['python', 'tkinter', 'tkinter-entry']","{'account_id': 18052046, 'reputation': 69, 'user_id': 13121466, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/460ab8f018d706d9a5af75b5f82b5d4b?s=256&d=identicon&r=PG&f=1', 'display_name': 'SchwarzbrotMitHummus', 'link': 'https://stackoverflow.com/users/13121466/schwarzbrotmithummus'}",True,2222,1,2,1668437185,1594802797,,62910991,CC BY-SA 4.0,https://stackoverflow.com/questions/62910991/tkinter-entry-justify-text-right-when-text-is-larger-than-the-box,Tkinter Entry justify text right when text is larger than the box,,,62911139.0,,,,
24,"['python', 'file-upload', 'fastapi', 'starlette']","{'account_id': 19140693, 'reputation': 321, 'user_id': 13980706, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgbHc2fDJ2itF-97jbwAE4XL_AqHHg1Z30gS6fC=k-s256', 'display_name': 'Aric', 'link': 'https://stackoverflow.com/users/13980706/aric'}",True,59136,2,32,1668421959,1595488499,1668421959.0,63048825,CC BY-SA 4.0,https://stackoverflow.com/questions/63048825/how-to-upload-file-using-fastapi,How to Upload File using FastAPI?,,,,,,,
25,"['python', 'flask', 'wsgi', 'fastapi', 'asgi']","{'account_id': 19110232, 'reputation': 597, 'user_id': 13956389, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ab5a93967bb07d33034632f85fd1b828?s=256&d=identicon&r=PG&f=1', 'display_name': 'Justin Yeoh', 'link': 'https://stackoverflow.com/users/13956389/justin-yeoh'}",True,14051,5,45,1668376676,1595136597,1625815199.0,62976648,CC BY-SA 4.0,https://stackoverflow.com/questions/62976648/architecture-flask-vs-fastapi,Architecture Flask vs FastAPI,,,62977786.0,,,,
26,"['python', 'streamlit']","{'account_id': 16156128, 'reputation': 171, 'user_id': 11663315, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-1N5cfUZnx3I/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdlaOLSDI1ZmPbqddMebKubmf-OyA/mo/photo.jpg?sz=256', 'display_name': 'Ijegwa Acheme', 'link': 'https://stackoverflow.com/users/11663315/ijegwa-acheme'}",True,26392,4,17,1668183267,1595246588,1595257731.0,62994971,CC BY-SA 4.0,https://stackoverflow.com/questions/62994971/error-installing-streamlit-it-says-error-could-not-build-wheels-for-pyarrow-wh,Error Installing streamlit It says &quot;ERROR: Could not build wheels for pyarrow which use PEP 517 and cannot be installed directly&quot;,,,,,,,
27,"['python', 'matplotlib']","{'account_id': 11791875, 'reputation': 73, 'user_id': 8627756, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b5b5b0caf19d34bc2ec44efef0846a1a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Alec Petersen', 'link': 'https://stackoverflow.com/users/8627756/alec-petersen'}",True,367,2,3,1668170538,1593827955,1668170538.0,62724562,CC BY-SA 4.0,https://stackoverflow.com/questions/62724562/how-do-i-use-matplotlib-to-create-a-bar-chart-of-a-very-large-dataset,How do I use matplotlib to create a bar chart of a very large dataset?,,,73557647.0,,,,
28,"['python', 'matplotlib', 'plot', 'seaborn', 'heatmap']","{'account_id': 12931386, 'reputation': 345, 'user_id': 9353795, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/d40e2500495ff5816bedad17cb950f3a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Anja', 'link': 'https://stackoverflow.com/users/9353795/anja'}",True,1811,1,2,1668159307,1594120192,1668159307.0,62773944,CC BY-SA 4.0,https://stackoverflow.com/questions/62773944/insert-line-in-heatmap-after-every-7th-column,Insert line in heatmap after every 7th column,,,62774860.0,,,,
29,"['python', 'html', 'flask']","{'account_id': 19177782, 'reputation': 23, 'user_id': 14010167, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/M8pcW.jpg?s=256&g=1', 'display_name': 'Mega_Head', 'link': 'https://stackoverflow.com/users/14010167/mega-head'}",False,1675,2,-1,1668142169,1595946041,,63136308,CC BY-SA 4.0,https://stackoverflow.com/questions/63136308/traceback-most-recent-call-last-file-stdin-line-1-in-module-nameerror,"Traceback (most recent call last): File &quot;&lt;stdin&gt;&quot;, line 1, in &lt;module&gt; NameError: name &#39;db&#39; is not defined",,,,,,,
30,"['python', 'plot', 'legend', 'pyvista']","{'account_id': 212929, 'reputation': 9531, 'user_id': 466056, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/101889513654ccabf2cff98d3352e74c?s=256&d=identicon&r=PG', 'display_name': 'YAKOVM', 'link': 'https://stackoverflow.com/users/466056/yakovm'}",True,1169,1,0,1668017583,1594650288,1668017583.0,62877969,CC BY-SA 4.0,https://stackoverflow.com/questions/62877969/plotting-several-grids-with-labels-in-a-legend,Plotting several grids with labels in a legend,,,,,,,
31,"['python', 'pandas', 'swifter']","{'account_id': 18419135, 'reputation': 347, 'user_id': 13417238, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f184bafce849795a2d84a3553fd572f7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dumb ML', 'link': 'https://stackoverflow.com/users/13417238/dumb-ml'}",False,1663,1,2,1668001343,1594422358,1594424056.0,62843445,CC BY-SA 4.0,https://stackoverflow.com/questions/62843445/how-can-i-fix-the-error-attributeerror-series-object-has-no-attribute-swifte,How can I fix the error AttributeError: &#39;Series&#39; object has no attribute &#39;swifter&#39;?,,,,,,,
32,"['python', 'python-3.x', 'keyboard']","{'account_id': 16526005, 'reputation': 11, 'user_id': 11940756, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/657633cce532c41883f4e545a6134694?s=256&d=identicon&r=PG&f=1', 'display_name': 'lakshay', 'link': 'https://stackoverflow.com/users/11940756/lakshay'}",True,1759,3,1,1667976095,1595875734,,63121670,CC BY-SA 4.0,https://stackoverflow.com/questions/63121670/how-to-get-count-of-keys-pressed-on-the-keyboard-in-an-minute-using-python,How to get count of keys pressed on the keyboard in an minute? ( using python ),,,,,,,
33,['python'],"{'account_id': 14531277, 'reputation': 283, 'user_id': 10496115, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-UKX7uAABxVI/AAAAAAAAAAI/AAAAAAAAAAc/XP6elo9icWY/photo.jpg?sz=256', 'display_name': 'Hazan', 'link': 'https://stackoverflow.com/users/10496115/hazan'}",True,3567,4,13,1667900232,1593536546,,62662564,CC BY-SA 4.0,https://stackoverflow.com/questions/62662564/how-do-i-clear-the-cache-from-cached-property-decorator,How do I clear the cache from @cached_property decorator?,,,62662941.0,,,,
34,"['python', 'numpy']","{'account_id': 8204226, 'reputation': 71, 'user_id': 13037060, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-CRq7vT0bZTs/AAAAAAAAAAI/AAAAAAABLEI/COgQa9GrdeE/photo.jpg?sz=256', 'display_name': 'Noah Jackowitz', 'link': 'https://stackoverflow.com/users/13037060/noah-jackowitz'}",True,1142,3,4,1667887715,1595447836,,63042223,CC BY-SA 4.0,https://stackoverflow.com/questions/63042223/numpy-int-bit-length,Numpy int Bit Length,,,63042454.0,,,,
35,"['python', 'python-3.x', 'pandas', 'machine-learning', 'scikit-learn']","{'account_id': 19031998, 'reputation': 21, 'user_id': 13893900, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-CY5vbeMkKy8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm1R11ciwBhHThnfvDMtJV-tWe-DQ/photo.jpg?sz=256', 'display_name': 'Guglielmo Torre', 'link': 'https://stackoverflow.com/users/13893900/guglielmo-torre'}",False,1208,1,2,1667832892,1594234035,1594235634.0,62801653,CC BY-SA 4.0,https://stackoverflow.com/questions/62801653/the-target-is-binary-but-i-get-valueerror-supported-target-types-are-binar,"The target is binary, but I get &quot;ValueError: Supported target types are: (&#39;binary&#39;, &#39;multiclass&#39;). Got &#39;unknown&#39; instead.&quot;",,,,,,,
36,"['python', 'macos', 'python-venv', 'pyenv']","{'account_id': 2412182, 'reputation': 1709, 'user_id': 2107030, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Py-ser', 'link': 'https://stackoverflow.com/users/2107030/py-ser'}",True,35082,4,9,1667747141,1594410217,,62841295,CC BY-SA 4.0,https://stackoverflow.com/questions/62841295/activate-venv-with-pyenv,activate venv with pyenv,,,,,,,
37,"['python', 'selenium', 'google-chrome', 'selenium-chromedriver', 'typeerror']","{'account_id': 17084348, 'reputation': 37, 'user_id': 12362046, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/WUSL0.jpg?s=256&g=1', 'display_name': 'Alain Seys', 'link': 'https://stackoverflow.com/users/12362046/alain-seys'}",True,393,3,0,1667711310,1594996388,1595003401.0,62956179,CC BY-SA 4.0,https://stackoverflow.com/questions/62956179/typeerror-module-object-is-not-callable-error-with-chromedriver-and-chrome-us,TypeError: &#39;module&#39; object is not callable error with ChromeDriver and Chrome using Selenium on macos,,,62956580.0,,,,
38,"['python', 'apache-spark', 'pyspark', 'jupyter-notebook']","{'account_id': 12244937, 'reputation': 91, 'user_id': 8936854, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ca52c184f0b3e7f04d5c7ed467fa3109?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ankita', 'link': 'https://stackoverflow.com/users/8936854/ankita'}",True,2042,2,5,1667608259,1595506218,1595508059.0,63053945,CC BY-SA 4.0,https://stackoverflow.com/questions/63053945/problem-while-creating-sparksession-using-pyspark,Problem while creating SparkSession using pyspark,,,,,,,
39,"['python', 'api', 'minecraft']","{'account_id': 19160375, 'reputation': 21, 'user_id': 13996262, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgbEXflNA0COA4Y1QVZZULTISBMTeJW0zMfDtPxOA=k-s256', 'display_name': 'Cloud', 'link': 'https://stackoverflow.com/users/13996262/cloud'}",True,4001,3,2,1667604225,1595741507,,63096451,CC BY-SA 4.0,https://stackoverflow.com/questions/63096451/how-to-use-mojang-api-to-get-uuids-in-python,How to use mojang api to get uuids in python?,,,,,,,
40,"['python', 'flask', 'jinja2']","{'account_id': 1426308, 'reputation': 1546, 'user_id': 1349726, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/q7hLi.jpg?s=256&g=1', 'display_name': 'Houy Narun', 'link': 'https://stackoverflow.com/users/1349726/houy-narun'}",True,844,2,2,1667570577,1594194800,,62790012,CC BY-SA 4.0,https://stackoverflow.com/questions/62790012/how-can-i-check-if-static-file-exists-or-not-from-url-for-in-flask,How can I check if static file exists or not from url_for() in Flask?,,,62790186.0,,,,
41,"['python', 'makefile', 'directory', 'symlink', 'snakemake']","{'account_id': 2854763, 'reputation': 1876, 'user_id': 2451238, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/8c17cfb9070088bce4ea622c00a10ee7?s=256&d=identicon&r=PG', 'display_name': 'mschilli', 'link': 'https://stackoverflow.com/users/2451238/mschilli'}",True,601,2,7,1667550686,1594310024,1667550686.0,62818855,CC BY-SA 4.0,https://stackoverflow.com/questions/62818855/symlink-auto-generated-directories-via-snakemake,Symlink (auto-generated) directories via Snakemake,,,63189901.0,,,,
42,"['python', 'discord.py', 'restart', 'shutdown']","{'account_id': 19195063, 'reputation': 59, 'user_id': 14023954, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/790c34ab1cb4757542b5767977fe4371?s=256&d=identicon&r=PG&f=1', 'display_name': 'MysteriousK', 'link': 'https://stackoverflow.com/users/14023954/mysteriousk'}",True,8448,3,3,1667504651,1596137369,,63180082,CC BY-SA 4.0,https://stackoverflow.com/questions/63180082/discord-py-restart-command,Discord.py Restart Command,,,,,,,
43,"['python', 'python-3.x', 'tensorflow', 'conv-neural-network', 'tensorflow2.0']","{'account_id': 18077962, 'reputation': 187, 'user_id': 13140685, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgUaFQERpsW0eQT8nCbB5fixS5ND7mYZYvRcltS=k-s256', 'display_name': 'jigar', 'link': 'https://stackoverflow.com/users/13140685/jigar'}",True,24232,5,7,1667492783,1594931596,,62943048,CC BY-SA 4.0,https://stackoverflow.com/questions/62943048/unable-to-solve-error-occurred-when-finalizing-generatordataset-iterator-faile,"Unable to solve, Error occurred when finalizing GeneratorDataset iterator: Failed precondition: Python interpreter state is not initialized",,,,,,,
44,"['python', 'bioinformatics', 'biopython']","{'account_id': 9813518, 'reputation': 308, 'user_id': 7270783, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/XJOFS.jpg?s=256&g=1', 'display_name': 'thposs', 'link': 'https://stackoverflow.com/users/7270783/thposs'}",True,464,2,0,1667491437,1594310965,1594311821.0,62819121,CC BY-SA 4.0,https://stackoverflow.com/questions/62819121/desired-structure-doesnt-exist-for-pdb-retrieve-pdb-file-method,&quot;Desired structure doesn&#39;t exist&quot; for PDB retrieve_pdb_file method,,,62987765.0,,,,
45,"['python', 'sparql', 'rdflib']","{'account_id': 19019010, 'reputation': 1, 'user_id': 13883436, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/051106b6bc58aac510e81250d003e77c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Max_BZH', 'link': 'https://stackoverflow.com/users/13883436/max-bzh'}",False,637,1,0,1667464183,1594113576,1667455027.0,62771960,CC BY-SA 4.0,https://stackoverflow.com/questions/62771960/rdflib-parseexception-expected-selectquery-constructquery-describequery,"rdflib : ParseException: Expected {SelectQuery | ConstructQuery | DescribeQuery | AskQuery}, found &#39;s&#39; (at char 17), (line:2, col:17)",,,,,,,
