,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,locked_date
10,"['c++', 'move-semantics', 'stdmove']","{'account_id': 15521242, 'reputation': 75, 'user_id': 11197369, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-PbnaMKY3IXU/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcK3QVr1eWcLGbuBzWXCCtG0meJwg/mo/photo.jpg?sz=256', 'display_name': 'Chris', 'link': 'https://stackoverflow.com/users/11197369/chris'}",True,145,3,2,1668512367,1662020349,1662027320.0,73566210,CC BY-SA 4.0,https://stackoverflow.com/questions/73566210/move-semantics-and-stdmove,Move semantics and std::move,73566251.0,,,
11,"['c++', 'arduino', 'bluetooth-lowenergy']","{'account_id': 25625451, 'reputation': 75, 'user_id': 19396598, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1bfa73421861bd29227b9a06b9a1b037?s=256&d=identicon&r=PG', 'display_name': 'universe123', 'link': 'https://stackoverflow.com/users/19396598/universe123'}",False,45,1,-1,1668457179,1663015548,1668457027.0,73695079,CC BY-SA 4.0,https://stackoverflow.com/questions/73695079/noise-in-arduino-ble-data-reading,Noise in Arduino BLE Data Reading,,,,
12,"['c++', 'protocol-buffers', 'bazel', 'bazel-rules']","{'account_id': 15596451, 'reputation': 75, 'user_id': 11251840, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/788ad6710c6d3e0143d7b0d08d03b18c?s=256&d=identicon&r=PG&f=1', 'display_name': 'stephen', 'link': 'https://stackoverflow.com/users/11251840/stephen'}",True,122,1,0,1668423590,1664360524,1664457806.0,73879834,CC BY-SA 4.0,https://stackoverflow.com/questions/73879834/how-can-i-implement-a-command-line-option-in-bazel-to-switch-between-which-depen,How can I implement a command line option in Bazel to switch between which dependency version is used for building?,73897171.0,,,
13,"['python', 'c++', 'macos', 'grpcio']","{'account_id': 3509903, 'reputation': 6845, 'user_id': 3253896, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://i.stack.imgur.com/SypwC.jpg?s=256&g=1', 'display_name': 'Denis Sologub', 'link': 'https://stackoverflow.com/users/3253896/denis-sologub'}",True,231,1,1,1668370674,1663312270,,73741171,CC BY-SA 4.0,https://stackoverflow.com/questions/73741171/how-to-install-grpcio-on-macos-13-with-m1,How to install grpcio on MacOS 13 with M1?,,,,
14,"['c++', 'multithreading', 'zephyr-rtos']","{'account_id': 2850389, 'reputation': 461, 'user_id': 2447728, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/GF78J.jpg?s=256&g=1', 'display_name': 'f.b.', 'link': 'https://stackoverflow.com/users/2447728/f-b'}",False,85,1,1,1668186332,1663142587,,73713442,CC BY-SA 4.0,https://stackoverflow.com/questions/73713442/how-to-check-if-a-zephyr-thread-crashed,How to check if a zephyr thread crashed?,,,,
15,"['c++', 'mfc', 'mapwingis']","{'account_id': 1812595, 'reputation': 100, 'user_id': 1648342, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/e56491bad2091b0d21e9075016e7922b?s=256&d=identicon&r=PG', 'display_name': 'xuqiang', 'link': 'https://stackoverflow.com/users/1648342/xuqiang'}",False,30,1,0,1667936814,1662035710,,73569430,CC BY-SA 4.0,https://stackoverflow.com/questions/73569430/do-not-hide-point-when-zoom-out-mapwingis,"Do not hide Point when zoom out, MapWinGis",,,,
16,"['c++', 'gcc', 'riscv']","{'account_id': 330103, 'reputation': 16418, 'user_id': 654019, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/438148c9a2ac0c1bb66f92a3adbafac2?s=256&d=identicon&r=PG', 'display_name': 'mans', 'link': 'https://stackoverflow.com/users/654019/mans'}",False,132,0,0,1667911208,1664045746,,73839825,CC BY-SA 4.0,https://stackoverflow.com/questions/73839825/cross-compilation-for-risc-v-with-gcc,Cross compilation for RISC-V with GCC,,,,
17,"['c++', 'controller', 'pid', 'robotics']","{'account_id': 352211, 'reputation': 2073, 'user_id': 689154, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/14cac0f033cdf90b496e8653dc760fb0?s=256&d=identicon&r=PG', 'display_name': 'Marcus Barnet', 'link': 'https://stackoverflow.com/users/689154/marcus-barnet'}",True,129,2,1,1667785539,1663781279,1663784736.0,73804801,CC BY-SA 4.0,https://stackoverflow.com/questions/73804801/implement-a-pid-control-in-c-for-a-motor-with-absolute-encoder,Implement a PID control in C++ for a motor with absolute encoder,73805487.0,,,
18,['c++'],"{'account_id': 26048283, 'reputation': 25, 'user_id': 19751987, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmljhWnz9M1GCyV0N-uBDs7v4NuRW0nvitp9sTUS=k-s256', 'display_name': 'Asim Malik', 'link': 'https://stackoverflow.com/users/19751987/asim-malik'}",False,38,0,0,1667777361,1663836536,1667777361.0,73811780,CC BY-SA 4.0,https://stackoverflow.com/questions/73811780/how-to-input-iterations-in-monte-carlo-c-code,How to input iterations in Monte Carlo C++ code,,,,
19,"['c++', 'tic-tac-toe', 'minimax', 'alpha-beta-pruning', 'game-theory']","{'account_id': 249066, 'reputation': 14651, 'user_id': 524861, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/9591879c1ef74486cf104a930edaa8d3?s=256&d=identicon&r=PG', 'display_name': 'Ivan-Mark Debono', 'link': 'https://stackoverflow.com/users/524861/ivan-mark-debono'}",True,98,1,0,1667719115,1664293815,1667719115.0,73870402,CC BY-SA 4.0,https://stackoverflow.com/questions/73870402/minimax-algorithm-still-does-play-optimal-moves-in-a-tic-tac-toe-game,Minimax algorithm still does play optimal moves in a tic-tac-toe game,73871597.0,,,
20,"['c++', 'string', 'recursion', 'function-definition']","{'account_id': 25752006, 'reputation': 1, 'user_id': 19504409, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a4ed8030e42b148358dce0d0044fb0ba?s=256&d=identicon&r=PG', 'display_name': 'hafsa', 'link': 'https://stackoverflow.com/users/19504409/hafsa'}",True,84,3,0,1667678982,1663104496,1663105793.0,73709331,CC BY-SA 4.0,https://stackoverflow.com/questions/73709331/my-recursive-function-to-reverse-the-chars-of-a-string-does-not-work,My recursive function to reverse the chars of a string does not work,,,,
21,"['c++', 'unicode-string']","{'account_id': 26293805, 'reputation': 9, 'user_id': 19960406, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucotWnV2E2vvNqcFYtuJvLWX9yrAV7rhJsyesigq=k-s256', 'display_name': 'Carter Marshall', 'link': 'https://stackoverflow.com/users/19960406/carter-marshall'}",True,121,2,0,1667591546,1662752297,1667591546.0,73666794,CC BY-SA 4.0,https://stackoverflow.com/questions/73666794/how-would-i-print-a-multi-line-non-standard-unicode-string-of-text-in-c-upd,How would I print a multi-line (non-standard) unicode string of text in C++? Updated for Clarity! (hopefully),,,,
22,"['c++', 'standards']","{'account_id': 6975655, 'reputation': 20573, 'user_id': 5825294, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://graph.facebook.com/10207587812237236/picture?type=large', 'display_name': 'Enlico', 'link': 'https://stackoverflow.com/users/5825294/enlico'}",True,3748,1,57,1667589492,1661959918,1667589492.0,73558355,CC BY-SA 4.0,https://stackoverflow.com/questions/73558355/why-is-james-bond-in-the-working-draft-of-the-c-standard,Why is James Bond in the working draft of the C++ standard?,,,,
23,"['c++', 'windows', 'algorithmic-trading', 'quickfix', 'fix-protocol']","{'account_id': 14225601, 'reputation': 553, 'user_id': 10276412, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-jFxYnlVjEXI/AAAAAAAAAAI/AAAAAAAAATg/VJq1bvOj34o/photo.jpg?sz=256', 'display_name': 'Karthik Sivasubramaniam', 'link': 'https://stackoverflow.com/users/10276412/karthik-sivasubramaniam'}",True,93,2,0,1667585229,1663963109,1664116882.0,73832432,CC BY-SA 4.0,https://stackoverflow.com/questions/73832432/quickfix-c-no-response-for-marketdatarequest-from-the-server,QuickFIX C++ - No response for MarketDataRequest from the server,74321284.0,,,
24,"['c++', 'c', 'compiler-errors', 'string-literals', 'function-declaration']","{'account_id': 23021562, 'reputation': 33, 'user_id': 17142531, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d720c1b1c61745408b29a93263ae9d6e?s=256&d=identicon&r=PG&f=1', 'display_name': 'onix012', 'link': 'https://stackoverflow.com/users/17142531/onix012'}",True,106,1,1,1667581444,1662577875,1667581444.0,73640444,,https://stackoverflow.com/questions/73640444/iso-c-forbids-converting-a-string-constant-to-char-wwrite-strings-error,ISO C++ forbids converting a string constant to &#39;char*&#39; [-Wwrite-strings] error shown in Visual Studio code while trying to run C code,,1667581710.0,Duplicate,
25,"['c++', 'pointers', 'variables', 'memory-efficient']","{'account_id': 14369530, 'reputation': 29, 'user_id': 13505002, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/CeNO5.jpg?s=256&g=1', 'display_name': 'Monetillo', 'link': 'https://stackoverflow.com/users/13505002/monetillo'}",True,150,3,2,1667575160,1662622943,1662633713.0,73645368,CC BY-SA 4.0,https://stackoverflow.com/questions/73645368/is-it-advised-to-declare-variables-inside-loops,Is it advised to declare variables inside loops?,,,,
26,"['c++', 'sockets', 'debugging', 'simulation', 'handle']","{'account_id': 13013231, 'reputation': 1, 'user_id': 9405463, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/26e411928d1cd566195be7dc2212f22a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Muhsen', 'link': 'https://stackoverflow.com/users/9405463/muhsen'}",False,59,0,0,1667538472,1664056495,,73840817,CC BY-SA 4.0,https://stackoverflow.com/questions/73840817/socket-handle-read-is-never-read-in-ns3,Socket Handle Read Is never read In Ns3,,,,
27,"['c++', 'json', 'poco']","{'account_id': 20105266, 'reputation': 163, 'user_id': 14742948, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6b974a9fd6daa7b9a82a100a3a3567d7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Fran&#231;ois Colas', 'link': 'https://stackoverflow.com/users/14742948/fran%c3%a7ois-colas'}",False,35,1,0,1667510695,1663961951,,73832269,CC BY-SA 4.0,https://stackoverflow.com/questions/73832269/how-to-store-chinese-characters-in-pocojsonobject,How to store chinese characters in Poco::JSON::Object?,,,,
28,"['javascript', 'python', 'java', 'c++', 'algorithm']","{'account_id': 15412888, 'reputation': 1, 'user_id': 11119176, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/u9DWD.jpg?s=256&g=1', 'display_name': 'Mat Pat', 'link': 'https://stackoverflow.com/users/11119176/mat-pat'}",True,63,2,-4,1667397061,1662057199,1667397061.0,73574035,,https://stackoverflow.com/questions/73574035/use-minimum-number-of-n-1-squares-pieces-in-total-to-build-a-n-x-n-square,Use minimum number of N-1 squares pieces in total to build a n x n square,,1662057724.0,Needs more focus,
29,"['c++', 'linked-list', 'radix-sort']","{'account_id': 25186975, 'reputation': 89, 'user_id': 19027719, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8e10e5a8a7714ab914b0775bc497e419?s=256&d=identicon&r=PG', 'display_name': 'theJohnLewis', 'link': 'https://stackoverflow.com/users/19027719/thejohnlewis'}",True,156,3,0,1667341985,1663989613,1664040256.0,73834531,CC BY-SA 4.0,https://stackoverflow.com/questions/73834531/make-radixsort-with-linked-lists-on-c,Make RadixSort with linked lists on C++,73836820.0,,,
30,"['c++', 'qt', 'ubuntu-22.04', 'foxglove-studio']","{'account_id': 7871053, 'reputation': 63, 'user_id': 5948343, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/17190eccb075b37e75550c3b6aa500a3?s=256&d=identicon&r=PG&f=1', 'display_name': 'JDGross', 'link': 'https://stackoverflow.com/users/5948343/jdgross'}",False,51,0,0,1667338814,1663091506,1667338814.0,73707335,CC BY-SA 4.0,https://stackoverflow.com/questions/73707335/qt-camera-freezes-after-one-photo-taken-on-ubuntu-22-04,QT Camera freezes after one photo taken on Ubuntu 22.04,,,,
31,"['c++', 'soap', 'soap-client', 'ip-camera', 'onvif']","{'account_id': 1930289, 'reputation': 4034, 'user_id': 1739821, 'user_type': 'registered', 'accept_rate': 26, 'profile_image': 'https://www.gravatar.com/avatar/b235de88b66806243ae1d57065491bea?s=256&d=identicon&r=PG', 'display_name': 'O Connor', 'link': 'https://stackoverflow.com/users/1739821/o-connor'}",False,32,1,0,1667316824,1662034185,1667227533.0,73569124,CC BY-SA 4.0,https://stackoverflow.com/questions/73569124/how-to-send-soap-request-to-onvif-ip-camera-using-c-and-libcurl,How to send SOAP request to ONVIF IP Camera using C++ and libcurl?,,,,
32,"['c++', 'serial-port', 'pipe', 'virtualbox']","{'account_id': 8722524, 'reputation': 1, 'user_id': 6525210, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f7a300706702cf1b256613af2bfb205b?s=256&d=identicon&r=PG&f=1', 'display_name': 'grizlyk', 'link': 'https://stackoverflow.com/users/6525210/grizlyk'}",True,67,2,-2,1667297115,1663384629,,73751905,,https://stackoverflow.com/questions/73751905/exchange-data-between-virtualbox-guest-os-com-port-and-windows-host-pipe,Exchange data between &quot;Virtualbox guest OS COM port&quot; and &quot;Windows host pipe&quot;,74269679.0,1667292906.0,Needs details or clarity,
33,"['c++', 'pdf-parsing', 'podofo']","{'account_id': 26356435, 'reputation': 1, 'user_id': 20013344, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3681e4e9d4e73a2304803bd76406a47e?s=256&d=identicon&r=PG', 'display_name': 'Peter', 'link': 'https://stackoverflow.com/users/20013344/peter'}",False,40,0,0,1667243219,1663340670,1667243219.0,73746836,CC BY-SA 4.0,https://stackoverflow.com/questions/73746836/extract-geometric-objects-lines-circles-from-a-pdf-using-pdfmm,"Extract geometric objects (lines, circles,...) from a pdf using PDFMM",,,,
34,"['c++', 'cmake']","{'account_id': 25872062, 'reputation': 1, 'user_id': 19602765, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d7b77636eb6971007197b5d68002f680?s=256&d=identicon&r=PG', 'display_name': 'hello CPP', 'link': 'https://stackoverflow.com/users/19602765/hello-cpp'}",True,38,1,0,1667051810,1663929010,,73826380,CC BY-SA 4.0,https://stackoverflow.com/questions/73826380/when-using-vscode-with-cmake-a-cmake-error-occurs,"When using vscode with cmake, a cmake error occurs",,,,
35,"['c++', 'algorithm', 'templates', 'refactoring', 'c++-standard-library']","{'account_id': 214930, 'reputation': 1193, 'user_id': 469203, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/b05eb3cabc3775c971ca05d3da9990e9?s=256&d=identicon&r=PG', 'display_name': 'tadpole', 'link': 'https://stackoverflow.com/users/469203/tadpole'}",True,106,2,1,1666998028,1664122763,1666998028.0,73846064,CC BY-SA 4.0,https://stackoverflow.com/questions/73846064/is-there-a-simple-way-of-refactoring-this-code,Is there a simple way of refactoring this code?,73846244.0,,,
36,"['c++', 'verilog', 'systemc', 'verilator', 'vpi']","{'account_id': 1559571, 'reputation': 20426, 'user_id': 1880339, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/0PkGx.png?s=256&g=1', 'display_name': 'artless noise', 'link': 'https://stackoverflow.com/users/1880339/artless-noise'}",False,101,0,2,1666970740,1664317356,1666970740.0,73874332,CC BY-SA 4.0,https://stackoverflow.com/questions/73874332/what-api-to-use-for-a-verilator-test-harness,What API to use for a Verilator test harness?,,,,
37,"['c++', 'deep-learning', 'tensorrt', 'inference-engine']","{'account_id': 25889030, 'reputation': 5, 'user_id': 19973221, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ae8307986704b21ecde00d95f60a60f3?s=256&d=identicon&r=PG', 'display_name': 'huanidz', 'link': 'https://stackoverflow.com/users/19973221/huanidz'}",True,79,1,0,1666956047,1663520345,,73764752,CC BY-SA 4.0,https://stackoverflow.com/questions/73764752/how-to-correctly-format-input-and-resize-output-data-whille-using-tensorrt-engin,How to correctly format input and resize output data whille using TensorRT engine?,74234608.0,,,
38,"['c++', 'qt']","{'account_id': 3275863, 'reputation': 6621, 'user_id': 2757925, 'user_type': 'registered', 'accept_rate': 55, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'HiFile.app - best file manager', 'link': 'https://stackoverflow.com/users/2757925/hifile-app-best-file-manager'}",False,63,1,0,1666785124,1663769998,,73802374,CC BY-SA 4.0,https://stackoverflow.com/questions/73802374/how-to-make-a-completely-general-tooltip-in-qt,how to make a completely general tooltip in Qt,,,,
39,"['c++', 'linux', 'x11', 'sdl-2', 'wayland']","{'account_id': 6839040, 'reputation': 134, 'user_id': 9969666, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/3NcBQ.jpg?s=256&g=1', 'display_name': 'Aaron H', 'link': 'https://stackoverflow.com/users/9969666/aaron-h'}",True,73,1,2,1666530469,1663417913,1663519262.0,73754872,CC BY-SA 4.0,https://stackoverflow.com/questions/73754872/sdl-drawrect-does-not-draw-a-proper-rect,SDL_DrawRect() does not draw a proper rect,74079195.0,,,
40,"['c++', 'linux', 'arm', 'fedora', 'libstdc++']","{'account_id': 19687461, 'reputation': 61, 'user_id': 14413133, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c433c56ff1fc7785c59e94a3021cbf31?s=256&d=identicon&r=PG&f=1', 'display_name': 'arminveres', 'link': 'https://stackoverflow.com/users/14413133/arminveres'}",True,65,1,1,1666524932,1664371766,,73882312,CC BY-SA 4.0,https://stackoverflow.com/questions/73882312/missing-libstdc-headers-for-arm-none-eabi-on-fedora-linux,Missing libstdc++ headers for arm-none-eabi on Fedora Linux,74170820.0,,,
41,"['c++', 'opengl', 'glfw', 'imgui']","{'account_id': 23721099, 'reputation': 37, 'user_id': 17741643, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhRFh7pDoqMZsO55L_N83XlpnLgMQHD191eihzAPQ=k-s256', 'display_name': 'Subham Swostik Pradhan', 'link': 'https://stackoverflow.com/users/17741643/subham-swostik-pradhan'}",True,77,1,-2,1666410080,1664379375,1664392899.0,73884196,CC BY-SA 4.0,https://stackoverflow.com/questions/73884196/depth-testing-isnt-working-when-rendering-into-an-fbo,Depth Testing isn&#39;t working when rendering into an FBO,,,,
42,"['c++', 'vector', 'memory-management', 'stdvector']","{'account_id': 16781164, 'reputation': 181, 'user_id': 15869059, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mCDdOiPpiXY3t2HA8gUD8USZFJgZHJLHG0pGnkZ=k-s256', 'display_name': 'glibg10b', 'link': 'https://stackoverflow.com/users/15869059/glibg10b'}",False,110,1,5,1666356685,1664441825,,73892853,CC BY-SA 4.0,https://stackoverflow.com/questions/73892853/when-does-stdvectors-storage-automatically-contract,When does std::vector&#39;s storage automatically contract?,,,,
43,"['c++', 'linux', 'sdl', 'undefined-reference']","{'account_id': 22907482, 'reputation': 81, 'user_id': 17045315, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/6eWBX.png?s=256&g=1', 'display_name': 'BlayUng', 'link': 'https://stackoverflow.com/users/17045315/blayung'}",True,86,1,0,1666268773,1662403496,1666202742.0,73613579,CC BY-SA 4.0,https://stackoverflow.com/questions/73613579/error-while-trying-to-compile-an-c-sdl2-program-with-mingw,Error while trying to compile an c++ sdl2 program with mingw,73614247.0,,,
44,"['c++', 'ios', 'dynamic-library', 'missing-symbols']","{'account_id': 4475843, 'reputation': 633, 'user_id': 3640988, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/XarOb.jpg?s=256&g=1', 'display_name': 'Andrey Lyubimov', 'link': 'https://stackoverflow.com/users/3640988/andrey-lyubimov'}",False,94,1,0,1666245033,1663666002,,73784431,CC BY-SA 4.0,https://stackoverflow.com/questions/73784431/ios-app-backed-with-cpp-dyld-crashes-with-error-missing-symbol-called,iOS App backed with cpp dyld crashes with error &quot;missing symbol called&quot;,,,,
45,"['c++', 'inheritance']","{'account_id': 10255765, 'reputation': 383, 'user_id': 8477952, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/6c9d09efc971badd32f1f88fbae26ca9?s=256&d=identicon&r=PG&f=1', 'display_name': 'bask185', 'link': 'https://stackoverflow.com/users/8477952/bask185'}",False,47,1,1,1666200850,1664183723,1665832298.0,73851954,CC BY-SA 4.0,https://stackoverflow.com/questions/73851954/acces-variable-of-subclass-using-a-pointer-array-of-base-class,"Acces variable of subclass, using a pointer array of base class",,,,
46,['c++'],"{'account_id': 17955399, 'reputation': 9, 'user_id': 17904314, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gi-SYW63750Wr1DKv1i2GI34_NDdDHZcuFw43RQ=k-s256', 'display_name': 'jacky chong', 'link': 'https://stackoverflow.com/users/17904314/jacky-chong'}",True,112,4,0,1666199989,1663668024,1663669933.0,73784920,CC BY-SA 4.0,https://stackoverflow.com/questions/73784920/dereferencing-iterator,Dereferencing Iterator,,,,
