,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,protected_date,last_edit_date,closed_date,closed_reason,migrated_from,community_owned_date
13,"['python', 'string-parsing']","{'account_id': 256108, 'reputation': 18536, 'user_id': 536607, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/6c85d3a45108e6e92da9e68fa9d441ae?s=256&d=identicon&r=PG', 'display_name': 'MxLDevs', 'link': 'https://stackoverflow.com/users/536607/mxldevs'}",True,6239,9644814.0,5,6,1667309045,1331365065,9644784,CC BY-SA 4.0,https://stackoverflow.com/questions/9644784/splitting-on-spaces-except-between-certain-characters,"Splitting on spaces, except between certain characters",,1547830069.0,,,,
14,"['python', 'django', 'django-registration']","{'account_id': 252452, 'reputation': 816, 'user_id': 602526, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1518159310/picture?type=large', 'display_name': 'Frantz Romain', 'link': 'https://stackoverflow.com/users/602526/frantz-romain'}",True,14448,9538739.0,2,23,1667126032,1330713363,9538588,CC BY-SA 3.0,https://stackoverflow.com/questions/9538588/templatesyntaxerror-humanize-is-not-a-valid-tag-library-in-django,&quot;TemplateSyntaxError: &#39;humanize&#39; is not a valid tag library:&quot; in DJango,,,,,,
15,"['python', 'macos', 'pip', 'python-2.6']","{'account_id': 65889, 'reputation': 16479, 'user_id': 193601, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/aa88857d5e76ef065ba2de16a578723a?s=256&d=identicon&r=PG', 'display_name': 'Trindaz', 'link': 'https://stackoverflow.com/users/193601/trindaz'}",True,1857406,,38,605,1666992505,1332211387,9780717,CC BY-SA 4.0,https://stackoverflow.com/questions/9780717/bash-pip-command-not-found,bash: pip: command not found,1529606698.0,1645782045.0,,,,
16,"['python', 'orm', 'sqlalchemy']","{'account_id': 208539, 'reputation': 6502, 'user_id': 459082, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/9565ebfb11dc958c166a322c73479ee4?s=256&d=identicon&r=PG', 'display_name': 'John Carter', 'link': 'https://stackoverflow.com/users/459082/john-carter'}",True,111902,9882897.0,2,55,1666975102,1332813120,9882358,CC BY-SA 3.0,https://stackoverflow.com/questions/9882358/how-to-delete-rows-from-a-table-using-an-sqlalchemy-query-without-orm,How to delete rows from a table using an SQLAlchemy query without ORM?,,1332814671.0,,,,
17,['python'],"{'account_id': 943383, 'reputation': 5940, 'user_id': 971083, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/f43cdb0d5742eeb3017b617612d9a290?s=256&d=identicon&r=PG', 'display_name': 'RonnyKnoxville', 'link': 'https://stackoverflow.com/users/971083/ronnyknoxville'}",True,10783,9928433.0,3,3,1666858508,1333034236,9928360,CC BY-SA 4.0,https://stackoverflow.com/questions/9928360/why-is-defaultdict-creating-an-array-for-my-values,Why is defaultdict creating an array for my values?,,1666858508.0,,,,
18,"['python', 'class', 'merge']","{'account_id': 1060869, 'reputation': 287, 'user_id': 1062526, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fe0172cbfb287fbf1a8ff8cc5c542145?s=256&d=identicon&r=PG', 'display_name': 'user1062526', 'link': 'https://stackoverflow.com/users/1062526/user1062526'}",True,31390,9703256.0,8,11,1666796638,1331558498,9667818,CC BY-SA 4.0,https://stackoverflow.com/questions/9667818/python-how-to-merge-two-class,Python : How to &quot;merge&quot; two class,,1584389360.0,,,,
19,"['python', 'string', 'comparison-operators']","{'account_id': 21350, 'reputation': 303174, 'user_id': 51816, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/0e54bb28182bcd9df39704751306df27?s=256&d=identicon&r=PG', 'display_name': 'Joan Venge', 'link': 'https://stackoverflow.com/users/51816/joan-venge'}",True,2743622,9573259.0,25,1976,1666668464,1330978163,9573244,CC BY-SA 4.0,https://stackoverflow.com/questions/9573244/how-to-check-if-the-string-is-empty,How to check if the string is empty?,1548353518.0,1572613312.0,,,,
20,"['python', 'celery', 'django-celery']","{'account_id': 39297, 'reputation': 15574, 'user_id': 113247, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/c4c5511fb3afa09f6dd0e63119f4e98f?s=256&d=identicon&r=PG', 'display_name': 'Quintin Par', 'link': 'https://stackoverflow.com/users/113247/quintin-par'}",True,39299,9752811.0,3,86,1666528545,1331868528,9731435,CC BY-SA 3.0,https://stackoverflow.com/questions/9731435/retry-celery-tasks-with-exponential-back-off,Retry Celery tasks with exponential back off,,1402742864.0,,,,
21,"['php', 'python', 'windows', 'path', 'sublimetext']","{'account_id': 447820, 'reputation': 425, 'user_id': 841676, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5b879ea097326951d5dae6df8c59478c?s=256&d=identicon&r=PG', 'display_name': 'Matt', 'link': 'https://stackoverflow.com/users/841676/matt'}",True,68885,9645756.0,6,29,1666445888,1331373599,9645545,CC BY-SA 4.0,https://stackoverflow.com/questions/9645545/how-to-determine-path-to-php-exe-on-windows-search-default-paths,How to determine path to php.exe on Windows - search default paths,,1602009025.0,,,,
22,"['python', 'exception', 'stack-trace']","{'account_id': 375398, 'reputation': 14817, 'user_id': 726212, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/36bdb50c126d027ca26b5de3149b95c3?s=256&d=identicon&r=PG', 'display_name': 'koool', 'link': 'https://stackoverflow.com/users/726212/koool'}",True,151857,9555145.0,4,250,1666359934,1330866802,9555133,CC BY-SA 4.0,https://stackoverflow.com/questions/9555133/e-printstacktrace-equivalent-in-python,e.printStackTrace equivalent in python,,1666359934.0,,,,
23,"['python', 'pip']","{'account_id': 1287510, 'reputation': 2129, 'user_id': 1240305, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/b64b8bf9d52afb18214925eba8dadc79?s=256&d=identicon&r=PG', 'display_name': 'F.D.F.', 'link': 'https://stackoverflow.com/users/1240305/f-d-f'}",True,67149,12921216.0,6,61,1666352394,1332350062,9809557,CC BY-SA 3.0,https://stackoverflow.com/questions/9809557/use-a-relative-path-in-requirements-txt-to-install-a-tar-gz-file-with-pip,use a relative path in requirements.txt to install a tar.gz file with pip,,,,,,
24,"['python', 'scrapy']","{'account_id': 68336, 'reputation': 1770, 'user_id': 199421, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/94cebc66b837cec0b5c2ca51642cc669?s=256&d=identicon&r=PG', 'display_name': 'user199421', 'link': 'https://stackoverflow.com/users/199421/user199421'}",True,53322,9885282.0,23,43,1666127915,1332782848,9876793,CC BY-SA 3.0,https://stackoverflow.com/questions/9876793/scrapy-spider-not-found-error,Scrapy spider not found error,,,,,,
25,"['arguments', 'python', 'idioms']","{'account_id': 1433, 'reputation': 26801, 'user_id': 1912, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/b5315e9d0420a5546727a9f4f04010b6?s=256&d=identicon&r=PG', 'display_name': 'robintw', 'link': 'https://stackoverflow.com/users/1912/robintw'}",True,34955,,8,30,1666000392,1330631119,9522877,CC BY-SA 3.0,https://stackoverflow.com/questions/9522877/pythonic-way-to-have-a-choice-of-2-3-options-as-an-argument-to-a-function,Pythonic way to have a choice of 2-3 options as an argument to a function,,,,,,
26,"['python', 'traversal', 'directory-structure']","{'account_id': 231051, 'reputation': 2114, 'user_id': 495051, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/49ab85f4572ff9d198f580c1f4a014aa?s=256&d=identicon&r=PG', 'display_name': 'cinny', 'link': 'https://stackoverflow.com/users/495051/cinny'}",True,209757,9728478.0,17,163,1665556110,1331843370,9727673,CC BY-SA 4.0,https://stackoverflow.com/questions/9727673/list-directory-tree-structure-in-python,List directory tree structure in python?,1522718862.0,1562028902.0,,,,
27,"['python', 'nlp', 'nltk', 'ordinals']","{'account_id': 1099386, 'reputation': 2971, 'user_id': 1092167, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/67d7ef52319a56efd08654b258787c3d?s=256&d=identicon&r=PG', 'display_name': 'skornos', 'link': 'https://stackoverflow.com/users/1092167/skornos'}",True,79990,20007730.0,18,82,1665506012,1331389669,9647202,CC BY-SA 3.0,https://stackoverflow.com/questions/9647202/ordinal-numbers-replacement,Ordinal numbers replacement,1538495874.0,,,,,
28,"['python', 'iterator', 'iteration', 'terminology', 'iterable']","{'account_id': 1319412, 'reputation': 6315, 'user_id': 1265535, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://lh6.googleusercontent.com/-dyVEc2DNdaQ/AAAAAAAAAAI/AAAAAAAAAtA/a30jrz2xNB8/photo.jpg?sz=256', 'display_name': 'thechrishaddad', 'link': 'https://stackoverflow.com/users/1265535/thechrishaddad'}",True,384435,9884259.0,16,540,1665341784,1332828217,9884132,CC BY-SA 4.0,https://stackoverflow.com/questions/9884132/what-are-iterator-iterable-and-iteration,"What are iterator, iterable, and iteration?",1527534468.0,1654458004.0,,,,
29,"['python', 'django']","{'account_id': 900992, 'reputation': 686, 'user_id': 937147, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/b4a151b73a56455bfe5cae681135d9ce?s=256&d=identicon&r=PG', 'display_name': 'jdickson', 'link': 'https://stackoverflow.com/users/937147/jdickson'}",True,4654,,3,9,1665240266,1332345211,9808202,CC BY-SA 3.0,https://stackoverflow.com/questions/9808202/django-unique-true-except-for-blank-values,Django unique=True except for blank values,,1495542155.0,,,,
30,"['python', 'binary', 'counting']","{'account_id': 356601, 'reputation': 2968, 'user_id': 696208, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/19f6b2af4535cc916ff17bd3385139f2?s=256&d=identicon&r=PG', 'display_name': 'zidarsk8', 'link': 'https://stackoverflow.com/users/696208/zidarsk8'}",True,134544,9831671.0,13,159,1665185656,1332446339,9829578,CC BY-SA 4.0,https://stackoverflow.com/questions/9829578/fast-way-of-counting-non-zero-bits-in-positive-integer,Fast way of counting non-zero bits in positive integer,,1570466911.0,,,,
31,['python'],"{'account_id': 1276402, 'reputation': 211, 'user_id': 1231565, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d82164292073935b4f6404bcc0b26d55?s=256&d=identicon&r=PG', 'display_name': 'Franco Hh', 'link': 'https://stackoverflow.com/users/1231565/franco-hh'}",True,132362,,4,20,1665089195,1330689437,9532903,CC BY-SA 3.0,https://stackoverflow.com/questions/9532903/plot-is-not-defined,plot is not defined,,1330694945.0,,,,
32,"['python', 'pdf', 'pypdf']","{'account_id': 197296, 'reputation': 911, 'user_id': 441294, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/a8c1a83144346ecc213f789466b0cfb8?s=256&d=identicon&r=PG', 'display_name': 'meadhikari', 'link': 'https://stackoverflow.com/users/441294/meadhikari'}",True,27449,9751490.0,4,11,1665060419,1331998008,9751197,CC BY-SA 3.0,https://stackoverflow.com/questions/9751197/opening-pdf-urls-with-pypdf,Opening pdf urls with pyPdf,,1332000333.0,,,,
33,"['python', 'database', 'sqlite', 'indexing', 'bigdata']","{'account_id': 96501, 'reputation': 8425, 'user_id': 262271, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/c7e9a25741952f65d158aa3a096d17d0?s=256&d=identicon&r=PG', 'display_name': 'Coquelicot', 'link': 'https://stackoverflow.com/users/262271/coquelicot'}",True,618,9695095.0,3,2,1664933475,1331690702,9694967,CC BY-SA 4.0,https://stackoverflow.com/questions/9694967/querying-relational-data-in-a-reasonable-amount-of-time,Querying relational data in a reasonable amount of time,,1664933475.0,,,,
34,"['python', 'web-services', 'http', 'windows-7']","{'account_id': 257868, 'reputation': 1153, 'user_id': 539643, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/1c04fbdb0bae5019466b6751d4646010?s=256&d=identicon&r=PG', 'display_name': 'lodkkx', 'link': 'https://stackoverflow.com/users/539643/lodkkx'}",True,635,,1,0,1664858146,1333182204,9954288,CC BY-SA 3.0,https://stackoverflow.com/questions/9954288/logging-into-an-intranet-externally-with-python,Logging into an intranet externally with Python,,,,,,
35,"['java', 'python', 'google-app-engine', 'google-cloud-sql']","{'account_id': 223139, 'reputation': 6157, 'user_id': 482169, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/5bc4178afdb6745063547b26ceac5742?s=256&d=identicon&r=PG', 'display_name': 'lucemia', 'link': 'https://stackoverflow.com/users/482169/lucemia'}",True,2547,9814778.0,3,1,1664849173,1330564078,9509232,CC BY-SA 4.0,https://stackoverflow.com/questions/9509232/access-google-cloud-sql-from-python-in-local-machine,Access Google Cloud SQL from python in local machine?,,1664849173.0,,,,
36,"['python', 'bcrypt']","{'account_id': 347910, 'reputation': 18183, 'user_id': 682308, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/bbe3dad6ff4846853b1b09c1bdd67bb0?s=256&d=identicon&r=PG', 'display_name': 'MFB', 'link': 'https://stackoverflow.com/users/682308/mfb'}",True,42070,13001189.0,6,40,1664605635,1330901102,9559549,CC BY-SA 3.0,https://stackoverflow.com/questions/9559549/how-to-compare-plain-text-password-to-hashed-password-using-bcrypt,How to compare plain text password to hashed password using bcrypt?,,1507075578.0,,,,
37,"['python', 'unit-testing', 'testing', 'mocking', 'python-requests']","{'account_id': 11959, 'reputation': 17209, 'user_id': 23309, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/8cf13bc42e1a9062a0a5d11218a25934?s=256&d=identicon&r=PG', 'display_name': 'Chris R', 'link': 'https://stackoverflow.com/users/23309/chris-r'}",True,60378,27077674.0,6,84,1664513353,1330904418,9559963,CC BY-SA 4.0,https://stackoverflow.com/questions/9559963/unit-testing-a-python-app-that-uses-the-requests-library,Unit testing a python app that uses the requests library,,1664513353.0,,,,
38,"['python', 'time']","{'account_id': 169770, 'reputation': 1947, 'user_id': 396038, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://i.stack.imgur.com/7fpvh.jpg?s=256&g=1', 'display_name': 'Reid', 'link': 'https://stackoverflow.com/users/396038/reid'}",True,6311,9775804.0,3,13,1664502225,1332181558,9775743,CC BY-SA 3.0,https://stackoverflow.com/questions/9775743/how-can-i-parse-free-text-time-intervals-in-python-ranging-from-years-to-second,"How can I parse free-text time intervals in Python, ranging from years to seconds?",,,,,,
39,"['python', 'python-2.x']","{'account_id': 381545, 'reputation': 305, 'user_id': 736260, 'user_type': 'registered', 'accept_rate': 22, 'profile_image': 'https://www.gravatar.com/avatar/e6aaf00d9787c8be4952f4337099986e?s=256&d=identicon&r=PG', 'display_name': 'Rubia', 'link': 'https://stackoverflow.com/users/736260/rubia'}",True,11060,,3,-1,1664142986,1331710684,9697667,CC BY-SA 4.0,https://stackoverflow.com/questions/9697667/compare-strings-in-python,Compare strings in python,,1664142986.0,,,,
40,"['python', 'datetime', 'matplotlib']","{'account_id': 30587, 'reputation': 3667, 'user_id': 83452, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/bf9a6a41c6922c70f5e750c2c371edb8?s=256&d=identicon&r=PG', 'display_name': 'irl_irl', 'link': 'https://stackoverflow.com/users/83452/irl-irl'}",True,320010,9627942.0,4,109,1663880333,1331256234,9627686,CC BY-SA 4.0,https://stackoverflow.com/questions/9627686/plotting-dates-on-the-x-axis,Plotting dates on the x-axis,,1663880333.0,,,,
41,"['python', 'openssl', 'private', 'public']","{'account_id': 993020, 'reputation': 830, 'user_id': 1009731, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://i.stack.imgur.com/KP98R.png?s=256&g=1', 'display_name': 'DustBunny', 'link': 'https://stackoverflow.com/users/1009731/dustbunny'}",True,19265,9795584.0,2,3,1663569920,1332279738,9795444,CC BY-SA 3.0,https://stackoverflow.com/questions/9795444/python-openssl-generating-public-and-private-key-pair,Python OpenSSL generating public and private key pair,,1336069368.0,,,,
42,['python'],"{'account_id': 1145830, 'reputation': 10554, 'user_id': 1128618, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/c38dbe15d311570f54dccef9cb506c68?s=256&d=identicon&r=PG', 'display_name': 'Jack_of_All_Trades', 'link': 'https://stackoverflow.com/users/1128618/jack-of-all-trades'}",True,99,9829125.0,3,0,1663163703,1332444026,9829069,,https://stackoverflow.com/questions/9829069/unexpected-output-from-list-append,Unexpected output from list.append(),,1332444549.0,1395306143.0,Duplicate,,
43,['python'],"{'account_id': 459556, 'reputation': 37793, 'user_id': 860103, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/vVrqo.jpg?s=256&g=1', 'display_name': 'Aamir Rind', 'link': 'https://stackoverflow.com/users/860103/aamir-rind'}",True,104925,9591397.0,3,92,1663129072,1331065798,9591350,CC BY-SA 3.0,https://stackoverflow.com/questions/9591350/what-is-difference-between-sys-exit0-and-os-exit0,What is difference between sys.exit(0) and os._exit(0),,1371664981.0,,,,
44,"['python', 'list', 'append', 'tuples', 'iterable-unpacking']","{'account_id': 207423, 'reputation': 3615, 'user_id': 457269, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/c1b56bf82378c89764e7488c12a9f1bd?s=256&d=identicon&r=PG', 'display_name': 'Bryan Hunt', 'link': 'https://stackoverflow.com/users/457269/bryan-hunt'}",True,1187,9617931.0,4,-2,1663100107,1331210929,9617906,,https://stackoverflow.com/questions/9617906/python-is-this-a-bug-append-to-a-list-within-a-tuple-results-in-none,"Python, is this a bug, append to a list within a tuple results in None?",,,1425581045.0,Duplicate,,
45,"['python', 'python-3.x']","{'account_id': 381545, 'reputation': 305, 'user_id': 736260, 'user_type': 'registered', 'accept_rate': 22, 'profile_image': 'https://www.gravatar.com/avatar/e6aaf00d9787c8be4952f4337099986e?s=256&d=identicon&r=PG', 'display_name': 'Rubia', 'link': 'https://stackoverflow.com/users/736260/rubia'}",True,492,,5,0,1663099957,1331706937,9697020,,https://stackoverflow.com/questions/9697020/python-list-concepts,Python List concepts,,1331707111.0,1425581205.0,Duplicate,,
46,"['python', 'argparse']","{'account_id': 16862, 'reputation': 13963, 'user_id': 37181, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/edcdfd5affb524e0f88ec1a00ed3fe5d?s=256&d=identicon&r=PG', 'display_name': 'Alex Gaynor', 'link': 'https://stackoverflow.com/users/37181/alex-gaynor'}",True,31345,9506255.0,5,42,1663095279,1330546395,9505898,CC BY-SA 3.0,https://stackoverflow.com/questions/9505898/conditional-command-line-arguments-in-python-using-argparse,Conditional command line arguments in Python using argparse,,,,,,
47,"['python', 'numpy']","{'account_id': 398568, 'reputation': 19910, 'user_id': 763305, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/4483780c8f47da569cb58ce6de78e794?s=256&d=identicon&r=PG', 'display_name': 'Johan R&#229;de', 'link': 'https://stackoverflow.com/users/763305/johan-r%c3%a5de'}",True,32941,9614627.0,1,24,1662828143,1331193835,9614516,CC BY-SA 3.0,https://stackoverflow.com/questions/9614516/how-to-create-0x0-numpy-array,How to create 0x0 Numpy array?,,1331194240.0,,,,
48,"['python', 'list', 'duplicates']","{'account_id': 347910, 'reputation': 18183, 'user_id': 682308, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/bbe3dad6ff4846853b1b09c1bdd67bb0?s=256&d=identicon&r=PG', 'display_name': 'MFB', 'link': 'https://stackoverflow.com/users/682308/mfb'}",True,1214807,9835819.0,42,643,1662812238,1332489599,9835762,CC BY-SA 4.0,https://stackoverflow.com/questions/9835762/how-do-i-find-the-duplicates-in-a-list-and-create-another-list-with-them,How do I find the duplicates in a list and create another list with them?,1455711023.0,1658050114.0,,,,
