,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,protected_date,closed_date,closed_reason,migrated_from,locked_date
19,"['python', 'automation']","{'account_id': 18397887, 'reputation': 1, 'user_id': 13401800, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7311fd4100d1964f000daba3ad06f980?s=256&d=identicon&r=PG&f=1', 'display_name': 'mental_tax', 'link': 'https://stackoverflow.com/users/13401800/mental-tax'}",False,1107,2,0,1668625193,1587768256,61418522,CC BY-SA 4.0,https://stackoverflow.com/questions/61418522/how-to-click-relative-to-a-window-application-in-python-and-how-to-handle-multip,How to click relative to a window/application in python and how to handle multiple scripts that click?,,,,,,,
20,"['python', 'scikit-learn', 'cross-validation']","{'account_id': 10871873, 'reputation': 268, 'user_id': 7993510, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-P3Ibpjz4CIU/AAAAAAAAAAI/AAAAAAAATsc/AzgkkGWuWvg/photo.jpg?sz=256', 'display_name': 'S&#246;ren Etler', 'link': 'https://stackoverflow.com/users/7993510/s%c3%b6ren-etler'}",True,4699,8,4,1668609663,1585846765,60996995,CC BY-SA 4.0,https://stackoverflow.com/questions/60996995/use-groupkfold-in-nested-cross-validation-using-sklearn,Use GroupKFold in nested cross-validation using sklearn,1626778406.0,,,,,,
21,"['python', 'pyaudio']","{'account_id': 17723503, 'reputation': 1, 'user_id': 12867944, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/VPE32.jpg?s=256&g=1', 'display_name': 'Rohit Sharma', 'link': 'https://stackoverflow.com/users/12867944/rohit-sharma'}",True,6027,1,0,1668564111,1587225390,61292063,CC BY-SA 4.0,https://stackoverflow.com/questions/61292063/pyaudio-alternative-in-python-for-speech-to-text-translation,Pyaudio alternative in Python for speech to text translation,,,,,,,
22,"['python', 'pytorch']","{'account_id': 14532638, 'reputation': 1068, 'user_id': 11512643, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-QLqtCgiyRJ8/AAAAAAAAAAI/AAAAAAAAABM/6rBtTFMFWSk/photo.jpg?sz=256', 'display_name': 'Amine Chadi', 'link': 'https://stackoverflow.com/users/11512643/amine-chadi'}",True,144179,7,51,1668543446,1585818739,60987997,CC BY-SA 4.0,https://stackoverflow.com/questions/60987997/why-torch-cuda-is-available-returns-false-even-after-installing-pytorch-with,Why `torch.cuda.is_available()` returns False even after installing pytorch with cuda?,1648534078.0,61034368.0,,,,,
23,"['python', 'deep-learning', 'computer-vision']","{'account_id': 13608042, 'reputation': 51, 'user_id': 9816539, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9b283d0b16214e3f8a6a2348c3649548?s=256&d=identicon&r=PG&f=1', 'display_name': 'sahra', 'link': 'https://stackoverflow.com/users/9816539/sahra'}",True,3337,2,3,1668493692,1587728257,61407465,CC BY-SA 4.0,https://stackoverflow.com/questions/61407465/input-depth-must-be-evenly-divisible-by-filter-depth-1-vs-3-node-model-conv,input depth must be evenly divisible by filter depth: 1 vs 3 [[{{node model/conv1_conv/Conv2D}}]],,,,,,,
24,"['python', 'deep-learning', 'pytorch', 'torch', 'torchvision']","{'account_id': 13902379, 'reputation': 1918, 'user_id': 10037689, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ec098aa27886e45810a3eeda2e3ef7c8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jitesh Malipeddi', 'link': 'https://stackoverflow.com/users/10037689/jitesh-malipeddi'}",True,14872,2,15,1668491747,1586313784,61092523,CC BY-SA 4.0,https://stackoverflow.com/questions/61092523/what-is-running-loss-in-pytorch-and-how-is-it-calculated,What is running loss in PyTorch and how is it calculated,,61094330.0,,,,,
25,"['python', 'pandas', 'matplotlib', 'seaborn']","{'account_id': 14690721, 'reputation': 53, 'user_id': 13382622, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/8213Z.jpg?s=256&g=1', 'display_name': 'Fernando Cavalcante', 'link': 'https://stackoverflow.com/users/13382622/fernando-cavalcante'}",True,9185,2,5,1668460252,1587569075,61368851,CC BY-SA 4.0,https://stackoverflow.com/questions/61368851/how-to-rotate-seaborn-barplot-x-axis-tick-labels,How to rotate seaborn barplot x-axis tick labels,1615351117.0,61371487.0,,,,,
26,"['python', 'django']","{'account_id': 18076458, 'reputation': 151, 'user_id': 13139576, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2570128296573304/picture?type=large', 'display_name': 'Oghomwen Oguns', 'link': 'https://stackoverflow.com/users/13139576/oghomwen-oguns'}",True,1310,2,0,1668459199,1585856800,60999872,CC BY-SA 4.0,https://stackoverflow.com/questions/60999872/django-how-do-i-edit-a-comment,Django How do I edit a comment,1668459199.0,61006752.0,,,,,
27,"['python', 'django', 'email', 'authentication', 'django-models']","{'account_id': 18153855, 'reputation': 1, 'user_id': 13206159, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/48fb1490d393f64edb346633da0979c8?s=256&d=identicon&r=PG&f=1', 'display_name': 'rmgo', 'link': 'https://stackoverflow.com/users/13206159/rmgo'}",False,1253,2,0,1668458662,1585895875,61006311,CC BY-SA 4.0,https://stackoverflow.com/questions/61006311/python-django-email-login-authenticate-user-is-none-with-modelbackend-customu,"Python Django email login/authenticate &#39;user is None&#39; with ModelBackend, CustomUserModel",,,,,,,
28,"['python', 'matplotlib', 'animation', 'plot', 'psutil']","{'account_id': 18163826, 'reputation': 51, 'user_id': 13214786, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4ec0a0f83a10aca62350f411955e42dd?s=256&d=identicon&r=PG&f=1', 'display_name': 'anirvan', 'link': 'https://stackoverflow.com/users/13214786/anirvan'}",False,783,1,0,1668443524,1585941165,61018924,CC BY-SA 4.0,https://stackoverflow.com/questions/61018924/how-to-keep-shifting-the-x-axis-and-show-the-more-recent-data-using-matplotlib-a,How to keep shifting the X axis and show the more recent data using matplotlib.animation in Python?,,,,,,,
29,"['python', 'function', 'for-loop']","{'account_id': 17927683, 'reputation': 93, 'user_id': 13025866, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/E7k9A.jpg?s=256&g=1', 'display_name': 'inkblot', 'link': 'https://stackoverflow.com/users/13025866/inkblot'}",True,30183,22,2,1668434458,1585787294,60982439,CC BY-SA 4.0,https://stackoverflow.com/questions/60982439/pig-latin-string-conversion-in-python,Pig latin string conversion in python,1618637658.0,60982569.0,1656363732.0,,,,
30,"['python', 'data-science', 'one-hot-encoding', 'kaggle']","{'account_id': 13764241, 'reputation': 45, 'user_id': 9933185, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10212978370677276/picture?type=large', 'display_name': 'Peter', 'link': 'https://stackoverflow.com/users/9933185/peter'}",True,104,2,0,1668398764,1585778154,60980972,CC BY-SA 4.0,https://stackoverflow.com/questions/60980972/one-hot-encoding-question-concept-and-solution-to-my-problem-kaggle-dataset,One-Hot Encoding Question - Concept and Solution to My Problem (Kaggle Dataset),,60982261.0,,,,,
31,"['python', 'ffmpeg', 'subprocess']","{'account_id': 13795975, 'reputation': 74, 'user_id': 10001217, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9aa70b45f4282bfb130d25f6e5883ec3?s=256&d=identicon&r=PG', 'display_name': 'GotCubes', 'link': 'https://stackoverflow.com/users/10001217/gotcubes'}",True,420,1,0,1668395353,1586457977,61128138,CC BY-SA 4.0,https://stackoverflow.com/questions/61128138/ffmpeg-concat-leaves-audio-gapes-between-clips,FFMPEG concat leaves audio gapes between clips,,61128643.0,,,,,
32,"['python', 'selenium']","{'account_id': 18337186, 'reputation': 53, 'user_id': 13354326, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c8d01aa5b8077eb77526662bf1e73fd0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Amaan001', 'link': 'https://stackoverflow.com/users/13354326/amaan001'}",True,29550,7,5,1668367326,1587317703,61308799,CC BY-SA 4.0,https://stackoverflow.com/questions/61308799/unable-to-locate-elements-in-selenium-python,Unable to locate elements in Selenium (Python),1668366225.0,61308907.0,,,,,
33,"['python', 'pytorch', 'conv-neural-network']","{'user_type': 'does_not_exist', 'display_name': 'user13226710'}",True,3584,2,3,1668292107,1586073907,61039700,CC BY-SA 4.0,https://stackoverflow.com/questions/61039700/using-flatten-in-pytorch-v1-0-sequential-module,Using flatten in pytorch v1.0 Sequential module,,61039752.0,,,,,
34,"['python', 'jupyter-notebook', 'gzip', 'jupyter', 'binary-data']","{'account_id': 453932, 'reputation': 2451, 'user_id': 851200, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/0182a595dd3380e38fa0a8db4a1d9ead?s=256&d=identicon&r=PG', 'display_name': 'blissweb', 'link': 'https://stackoverflow.com/users/851200/blissweb'}",True,45338,2,19,1668282254,1586408868,61114350,CC BY-SA 4.0,https://stackoverflow.com/questions/61114350/error-blahfile-is-not-utf-8-encoded-saving-disabled,Error! blahfile is not UTF-8 encoded. Saving disabled,,61114351.0,,,,,
35,"['python', 'speech-recognition', 'speech-to-text', 'google-cloud-speech']","{'account_id': 13866479, 'reputation': 486, 'user_id': 10010875, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/p3i0N.jpg?s=256&g=1', 'display_name': 'Naazneen Jatu', 'link': 'https://stackoverflow.com/users/10010875/naazneen-jatu'}",False,2352,0,4,1668267098,1586010935,61029675,CC BY-SA 4.0,https://stackoverflow.com/questions/61029675/long-audio-files-to-text-real-quick-in-python,Long audio files to text real quick in Python,,,,,,,
36,"['python', 'multithreading', 'pyqt5']","{'account_id': 18248096, 'reputation': 1, 'user_id': 13283735, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/91fc52efdf663bb2acc26a40a8ccf10a?s=256&d=identicon&r=PG&f=1', 'display_name': 'pyD', 'link': 'https://stackoverflow.com/users/13283735/pyd'}",False,1405,3,0,1668180193,1586571514,61151313,CC BY-SA 4.0,https://stackoverflow.com/questions/61151313/how-to-get-a-child-thread-to-close-when-main-gui-window-is-closed-in-pyqt5-pyt,How to get a child thread to close when main GUI window is closed in pyqt5 / python 3?,,,,,,,
37,"['python', 'python-3.x', 'selenium', 'selenium-chromedriver']","{'account_id': 15180292, 'reputation': 591, 'user_id': 10953743, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/64d6eda239a0d5d4a0dc836b24320106?s=256&d=identicon&r=PG&f=1', 'display_name': 'Anonymous', 'link': 'https://stackoverflow.com/users/10953743/anonymous'}",False,375,1,0,1668117103,1587467600,61342193,CC BY-SA 4.0,https://stackoverflow.com/questions/61342193/how-to-get-full-x-path-of-element-instance-using-selenium-python,How to get full X-path of element instance using selenium python,1668117103.0,,,,,,
38,"['python', 'selenium-webdriver']","{'account_id': 10383148, 'reputation': 8066, 'user_id': 7657180, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6c0ee64d62bb9980080e6881a20a15fc?s=256&d=identicon&r=PG', 'display_name': 'YasserKhalil', 'link': 'https://stackoverflow.com/users/7657180/yasserkhalil'}",True,655,1,0,1668104160,1588117082,61491772,CC BY-SA 4.0,https://stackoverflow.com/questions/61491772/get-text-from-a-tag-name-using-python-and-selenium,Get text from a tag name using Python and Selenium,1668104160.0,61491882.0,,,,,
39,"['python', 'json']","{'account_id': 14849861, 'reputation': 23, 'user_id': 11324142, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-vv5iCtSuZC0/AAAAAAAAAAI/AAAAAAAAAAA/AGDgw-hU_Zr8f4J5L21gsh2tz5UIH-M_qw/mo/photo.jpg?sz=256', 'display_name': 'Alex Kalaidjiev', 'link': 'https://stackoverflow.com/users/11324142/alex-kalaidjiev'}",True,229,1,0,1668075105,1585769307,60978856,CC BY-SA 4.0,https://stackoverflow.com/questions/60978856/getting-readable-text-in-a-large-json-file-in-python,Getting readable text in a large JSON file in python,1668075105.0,,,,,,
40,"['python', 'python-typing', 'pyright']","{'account_id': 1940652, 'reputation': 12044, 'user_id': 1835727, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/oTOuc.jpg?s=256&g=1', 'display_name': 'Ben', 'link': 'https://stackoverflow.com/users/1835727/ben'}",True,112145,6,23,1668053471,1586146680,61052890,CC BY-SA 4.0,https://stackoverflow.com/questions/61052890/import-could-not-be-resolved-reported-by-pyright,&quot;Import could not be resolved&quot; reported by Pyright,,61076528.0,,,,,
41,"['python', 'pandas', 'dataframe']","{'account_id': 2150700, 'reputation': 795, 'user_id': 1912104, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/342abcc6cd5ab765d7bc040fb72c0cd5?s=256&d=identicon&r=PG', 'display_name': 'NonSleeper', 'link': 'https://stackoverflow.com/users/1912104/nonsleeper'}",True,49,3,2,1667950279,1586547775,61147568,CC BY-SA 4.0,https://stackoverflow.com/questions/61147568/how-to-stack-a-paired-data-structure-like-this,How to stack a paired data structure like this?,,61147818.0,,,,,
42,"['python', 'modulenotfounderror']","{'account_id': 15352484, 'reputation': 313, 'user_id': 11075788, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ba9f01fe26be460dae6369b93f535d6c?s=256&d=identicon&r=PG&f=1', 'display_name': 'sbhhdp', 'link': 'https://stackoverflow.com/users/11075788/sbhhdp'}",True,2409,1,2,1667918653,1585922112,61013491,CC BY-SA 4.0,https://stackoverflow.com/questions/61013491/modulenotfounderror-path-attribute-not-found-on-guessing-game-while-tryin,ModuleNotFoundError: __path__ attribute not found on &#39;guessing_game&#39; while trying to find &#39;guessing_game.py&#39;,1642609720.0,,,,,,
43,"['python', 'string', 'combinations']","{'account_id': 4612437, 'reputation': 305, 'user_id': 3740094, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/33fd177ec426d0fd1a2182934e6b0d3c?s=256&d=identicon&r=PG&f=1', 'display_name': 'MMM', 'link': 'https://stackoverflow.com/users/3740094/mmm'}",True,156,2,1,1667776610,1587759708,61416839,CC BY-SA 4.0,https://stackoverflow.com/questions/61416839/create-all-possible-variations-for-a-string-with-hyphens,Create all possible variations for a string with hyphens,1667776610.0,61417031.0,,,,,
44,"['python', 'python-3.x', 'pip', 'blender', 'dlib']","{'account_id': 17664810, 'reputation': 11, 'user_id': 12822452, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-ewGAHGcMOag/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcgEL3MxSysI-IXx0zErgd55KWPdQ/photo.jpg?sz=256', 'display_name': 'David Brock', 'link': 'https://stackoverflow.com/users/12822452/david-brock'}",False,776,2,0,1667762585,1586032167,61034366,CC BY-SA 4.0,https://stackoverflow.com/questions/61034366/error-installing-dlib-in-blenders-python,Error Installing Dlib in Blender&#39;s Python,,,,,,,
45,"['python', 'error-handling', 'pip', 'pycharm', 'package']","{'user_type': 'does_not_exist', 'display_name': 'user8833922'}",False,8059,2,1,1667757635,1586216164,61070574,CC BY-SA 4.0,https://stackoverflow.com/questions/61070574/pip-install-generates-error-command-errored-out-with-exit-status-1,pip install generates ERROR: Command errored out with exit status 1,,,,,,,
46,"['python', 'amazon-s3', 'file-upload', 'boto3', 'pre-signed-url']","{'account_id': 13739224, 'reputation': 209, 'user_id': 9914788, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-6HExdwWf1RA/AAAAAAAAAAI/AAAAAAAAAAA/5eq3VTtf6O8/photo.jpg?sz=256', 'display_name': 'Bridge Dudley', 'link': 'https://stackoverflow.com/users/9914788/bridge-dudley'}",True,12431,3,4,1667647908,1588102728,61488583,CC BY-SA 4.0,https://stackoverflow.com/questions/61488583/python-aws-boto3-create-presigned-url-for-file-upload,python AWS boto3 create presigned url for file upload,,66437197.0,,,,,
47,"['python', 'coinbase-api']","{'account_id': 18370827, 'reputation': 19, 'user_id': 13380951, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/7rWxx.jpg?s=256&g=1', 'display_name': 'StrangerPythoon', 'link': 'https://stackoverflow.com/users/13380951/strangerpythoon'}",False,439,1,1,1667636428,1587558031,61364978,CC BY-SA 4.0,https://stackoverflow.com/questions/61364978/coinbase-trouble-error-401-authenticationerror,Coinbase trouble| Error 401 AuthenticationError,1667282919.0,,,,,,
