,tags,owner,is_answered,view_count,closed_date,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,content_license,accepted_answer_id,protected_date,migrated_from
10,"['python', 'python-3.x', 'default-value', 'python-dataclasses']","{'account_id': 4494212, 'reputation': 818, 'user_id': 4203480, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/2EBAC.jpg?s=256&g=1', 'display_name': 'YeO', 'link': 'https://stackoverflow.com/users/4203480/yeo'}",True,67804,,9,41,1668802665,1560939289,1649269807.0,56665298,https://stackoverflow.com/questions/56665298/how-to-apply-default-value-to-python-dataclass-field-when-none-was-passed,,How to apply default value to Python dataclass field when None was passed?,CC BY-SA 4.0,69944614.0,,
11,"['python', 'jupyter-notebook', 'jupyter', 'jupyter-lab']","{'account_id': 4196502, 'reputation': 48707, 'user_id': 3437787, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/W8tmU.jpg?s=256&g=1', 'display_name': 'vestland', 'link': 'https://stackoverflow.com/users/3437787/vestland'}",True,39326,,2,39,1668793416,1559739017,1601931642.0,56460834,https://stackoverflow.com/questions/56460834/how-to-run-a-single-line-or-selected-code-in-a-jupyter-notebook-or-jupyterlab-ce,,How to run a single line or selected code in a Jupyter Notebook or JupyterLab cell?,CC BY-SA 4.0,56460871.0,,
12,"['python', 'tensorflow', 'deep-learning', 'lstm', 'tflearn']","{'account_id': 16126049, 'reputation': 63, 'user_id': 11640774, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3f96363c6412c740bbd9ff51b36cdb86?s=256&d=identicon&r=PG&f=1', 'display_name': 's0x', 'link': 'https://stackoverflow.com/users/11640774/s0x'}",True,3131,,1,6,1668761656,1560410566,1668761656.0,56575293,https://stackoverflow.com/questions/56575293/validation-loss-is-lower-than-training-loss-training-lstm,,Validation loss is lower than training loss training LSTM,CC BY-SA 4.0,56575745.0,,
13,"['python', 'lightgbm']","{'account_id': 12060365, 'reputation': 319, 'user_id': 8819603, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0efd63ea6f2fddb864272477a0cfedee?s=256&d=identicon&r=PG&f=1', 'display_name': 'Nicolai Iversen', 'link': 'https://stackoverflow.com/users/8819603/nicolai-iversen'}",True,12780,,1,1,1668720009,1561707106,1668720009.0,56802708,https://stackoverflow.com/questions/56802708/lightgbm-early-stopping-not-working-properly,,Lightgbm early stopping not working properly,CC BY-SA 4.0,56808525.0,,
14,"['python', 'sql-server', 'django', 'odbc']","{'account_id': 9811650, 'reputation': 179, 'user_id': 7269600, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/43703f30a5b2e60a1e2324556d8bcd81?s=256&d=identicon&r=PG&f=1', 'display_name': 'MateoSkyline', 'link': 'https://stackoverflow.com/users/7269600/mateoskyline'}",True,1529,,2,1,1668681917,1560771397,1560773287.0,56630509,https://stackoverflow.com/questions/56630509/invalid-object-name-django-migrations-when-trying-to-runserver,,Invalid object name &quot;django_migrations&quot; when trying to runserver,CC BY-SA 4.0,,,
15,"['python', 'logging']","{'user_type': 'does_not_exist', 'display_name': 'user9753902'}",True,3936,,1,3,1668676327,1559833483,,56480343,https://stackoverflow.com/questions/56480343/parsing-nginx-logs,,Parsing Nginx logs,CC BY-SA 4.0,56483463.0,,
16,"['python', 'mysql', 'django']","{'account_id': 9462219, 'reputation': 3180, 'user_id': 7035646, 'user_type': 'registered', 'accept_rate': 15, 'profile_image': 'https://i.stack.imgur.com/gLZT1.jpg?s=256&g=1', 'display_name': 'lwin', 'link': 'https://stackoverflow.com/users/7035646/lwin'}",True,5553,,6,1,1668629905,1560841600,,56643488,https://stackoverflow.com/questions/56643488/install-mysql-client-in-django-show-error,,Install MySQL Client in Django Show Error,CC BY-SA 4.0,56647040.0,,
17,"['python', 'bokeh']","{'account_id': 15703352, 'reputation': 44, 'user_id': 11330838, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3ab6f5fdb62671e35e1b878d604ce460?s=256&d=identicon&r=PG', 'display_name': 'Akxst', 'link': 'https://stackoverflow.com/users/11330838/akxst'}",True,707,,1,2,1668623895,1560969281,,56673902,https://stackoverflow.com/questions/56673902/how-to-fill-a-stacked-bar-diagram-with-patterns-by-using-hatchpattern,,How to fill a stacked bar diagram with patterns by using HatchPattern,CC BY-SA 4.0,56674836.0,,
18,"['python', 'pandas', 'dataframe', 'pandas-profiling']","{'account_id': 4163020, 'reputation': 2202, 'user_id': 3412660, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b9006acce12b3b2e15183fc2c0010e2c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rich Lysakowski PhD', 'link': 'https://stackoverflow.com/users/3412660/rich-lysakowski-phd'}",False,7698,,3,2,1668558665,1561797207,1668558665.0,56816161,https://stackoverflow.com/questions/56816161/pandas-profiling-main-method-not-working-correctly-on-windows-10-constructor,,pandas_profiling main method not working correctly on Windows 10... Constructor works but not method,CC BY-SA 4.0,,,
19,"['python', 'python-3.x', 'audio', 'encoding', 'python-requests']","{'account_id': 16138422, 'reputation': 33, 'user_id': 11650279, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-ErXbDQVJVxU/AAAAAAAAAAI/AAAAAAAAABU/yF3PBEQHlCI/photo.jpg?sz=256', 'display_name': 'Path- Or', 'link': 'https://stackoverflow.com/users/11650279/path-or'}",True,1284,,1,1,1668530914,1561718513,1561721397.0,56805474,https://stackoverflow.com/questions/56805474/how-to-pass-encoded-audio-string-to-bytes-with-json,,How to pass Encoded Audio String to bytes with json?,CC BY-SA 4.0,56805720.0,,
20,"['python', 'python-3.x', 'tree', 'treeview', 'anytree']","{'account_id': 12950704, 'reputation': 1888, 'user_id': 9900084, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/97739535a689b72a0ff9a37db1a1e8df?s=256&d=identicon&r=PG&f=1', 'display_name': 'steven', 'link': 'https://stackoverflow.com/users/9900084/steven'}",True,2368,,1,1,1668526152,1560795301,1560864485.0,56636774,https://stackoverflow.com/questions/56636774/constructing-a-tree-view-from-a-nested-list-with-duplicate-subtrees-using-anytr,,constructing a tree view from a nested list with duplicate subtrees (using anytree/treelib),CC BY-SA 4.0,56642198.0,,
21,"['python', 'magic-square']","{'account_id': 16121032, 'reputation': 1, 'user_id': 11637008, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-tTUhsFFkpuk/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rf_dpNd6sEEIQwGhTC3MgONSQaX9A/mo/photo.jpg?sz=256', 'display_name': 'Duspy777', 'link': 'https://stackoverflow.com/users/11637008/duspy777'}",True,1061,,2,-7,1668499406,1560345753,1668499406.0,56563313,https://stackoverflow.com/questions/56563313/find-all-possible-magic-squares-3x3-python,,Find all possible magic squares (3x3) python,CC BY-SA 4.0,56563619.0,,
22,"['python', 'python-decorators']","{'account_id': 2619315, 'reputation': 562, 'user_id': 2267720, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/01Eyu.jpg?s=256&g=1', 'display_name': 'Josh', 'link': 'https://stackoverflow.com/users/2267720/josh'}",True,753,,2,2,1668456733,1559679530,1559744055.0,56450798,https://stackoverflow.com/questions/56450798/python-inner-functions-decorators-when-should-i-use-parentheses-when-returning,,Python inner functions/decorators: When should I use parentheses when returning an inner function?,CC BY-SA 4.0,56451777.0,,
23,"['python', 'python-3.x', 'http', 'ssl', 'server']","{'account_id': 15097046, 'reputation': 123, 'user_id': 10895216, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4435dc058aa9fe39fafe13b22fcf978e?s=256&d=identicon&r=PG&f=1', 'display_name': 'vskbdvds', 'link': 'https://stackoverflow.com/users/10895216/vskbdvds'}",True,12570,,3,6,1668456538,1559965421,,56503241,https://stackoverflow.com/questions/56503241/python-m-http-server-443-with-ssl,,Python -m http.server 443 -- with SSL?,CC BY-SA 4.0,,,
24,"['python', 'speech-recognition']","{'account_id': 10322347, 'reputation': 1, 'user_id': 7614804, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-bqcxA2fwSWI/AAAAAAAAAAI/AAAAAAAAARY/ebHOJ5MCEN4/photo.jpg?sz=256', 'display_name': 'Dharma', 'link': 'https://stackoverflow.com/users/7614804/dharma'}",True,358,,2,0,1668456304,1561478876,,56758116,https://stackoverflow.com/questions/56758116/notimplementederror-this-is-an-abstract-class-in-speech-recognition,,NotImplementedError: this is an abstract class in speech recognition,CC BY-SA 4.0,,,
25,"['python', 'django', 'docker', 'docker-compose', 'django-admin']","{'account_id': 4308940, 'reputation': 1552, 'user_id': 3520597, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/EhMki.jpg?s=256&g=1', 'display_name': 'Anubrij Chandra', 'link': 'https://stackoverflow.com/users/3520597/anubrij-chandra'}",True,70070,,9,35,1668419597,1561613429,1637945740.0,56784492,https://stackoverflow.com/questions/56784492/permissionerror-errno-13-permission-denied-manage-py,,PermissionError: [Errno 13] Permission denied: &#39;/manage.py&#39;,CC BY-SA 4.0,56784562.0,,
26,"['python', 'scikit-learn']","{'account_id': 1614042, 'reputation': 6646, 'user_id': 1492229, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/JpJrO.jpg?s=256&g=1', 'display_name': 'asmgx', 'link': 'https://stackoverflow.com/users/1492229/asmgx'}",True,40773,,3,15,1668234695,1559959572,1618227719.0,56502864,https://stackoverflow.com/questions/56502864/using-ordinalencoder-to-transform-categorical-values,,Using OrdinalEncoder to transform categorical values,CC BY-SA 4.0,56502961.0,,
27,"['python', 'module', 'visual-studio-code']","{'account_id': 11363896, 'reputation': 934, 'user_id': 10796158, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/79cee47c04aa6e1d99d827e0dc638ad4?s=256&d=identicon&r=PG&f=1', 'display_name': 'An Ignorant Wanderer', 'link': 'https://stackoverflow.com/users/10796158/an-ignorant-wanderer'}",True,177880,,15,39,1668234373,1560903359,,56658553,https://stackoverflow.com/questions/56658553/module-not-found-error-in-vs-code-despite-the-fact-that-i-installed-it,,Module not found error in VS code despite the fact that I installed it,CC BY-SA 4.0,56675396.0,1640171476.0,
28,['python'],"{'account_id': 4679370, 'reputation': 5783, 'user_id': 3788557, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/eae41f7bfe2ad0a49a43fb7efe41c1d4?s=256&d=identicon&r=PG&f=1', 'display_name': 'runningbirds', 'link': 'https://stackoverflow.com/users/3788557/runningbirds'}",True,938,,4,3,1668184647,1559343841,,56402571,https://stackoverflow.com/questions/56402571/get-list-of-all-loaded-python-packages-versions-and-variables,,"Get list of all loaded python packages &amp; versions, and variables",CC BY-SA 4.0,,,
29,"['python', 'ethereum', 'web3py']","{'account_id': 7109609, 'reputation': 685, 'user_id': 5438045, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/fb60547b3150b54bf3b0210bf1e31314?s=256&d=identicon&r=PG&f=1', 'display_name': 'Pear', 'link': 'https://stackoverflow.com/users/5438045/pear'}",True,687,,1,0,1668112012,1560188238,1668112012.0,56531038,https://stackoverflow.com/questions/56531038/how-to-call-token-functions-without-source-code,,How to call token functions without source code,CC BY-SA 4.0,56531785.0,,
30,"['python', 'python-3.x', 'pycharm', 'python-3.7']","{'account_id': 11020237, 'reputation': 91, 'user_id': 8094753, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fbc2b9ae9c4fd37916d57b87f03135c4?s=256&d=identicon&r=PG', 'display_name': 'indynt', 'link': 'https://stackoverflow.com/users/8094753/indynt'}",True,13717,,6,9,1667902559,1561782832,1601438430.0,56815082,https://stackoverflow.com/questions/56815082/how-to-resolve-invalid-python-interpreter-name-python-exe-error-in-pycharm,,How to resolve &quot;Invalid Python interpreter name &#39;python.exe&#39;!&quot; error in PyCharm,CC BY-SA 4.0,,,
31,"['python', 'pytest']","{'account_id': 54090, 'reputation': 82768, 'user_id': 161801, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/0383e4cae325f65a1bbd906be4be2276?s=256&d=identicon&r=PG', 'display_name': 'asmeurer', 'link': 'https://stackoverflow.com/users/161801/asmeurer'}",True,1197,,2,1,1667876221,1559617206,1559711852.0,56436817,https://stackoverflow.com/questions/56436817/disable-pytest-warnings-capture-in-a-single-test,,Disable pytest warnings capture in a single test,CC BY-SA 4.0,,,
32,"['python', 'python-3.x', 'pandas', 'syntax-error']","{'account_id': 15009099, 'reputation': 71, 'user_id': 10834132, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1fb1dbed1b429ec153237654ccbe7733?s=256&d=identicon&r=PG&f=1', 'display_name': 'sam', 'link': 'https://stackoverflow.com/users/10834132/sam'}",False,422,,1,0,1667867516,1560102059,1667867516.0,56516949,https://stackoverflow.com/questions/56516949/syntax-error-typeerror-dataframe-object-is-not-callable,,Syntax error (TypeError: &#39;DataFrame&#39; object is not callable),CC BY-SA 4.0,,,
33,"['python', 'ssh', 'paramiko', 'openssh']","{'account_id': 7968024, 'reputation': 1263, 'user_id': 6013700, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/f54b71d2584ef41bff5a8cae310c7a78?s=256&d=identicon&r=PG&f=1', 'display_name': 'Marses', 'link': 'https://stackoverflow.com/users/6013700/marses'}",True,6650,,2,5,1667861651,1559643724,1560234788.0,56441961,https://stackoverflow.com/questions/56441961/using-ssh-config-file-with-paramiko,,Using ssh_config file with Paramiko,CC BY-SA 4.0,,,
34,"['python', 'selenium', 'google-chrome', 'webdriver', 'selenium-chromedriver']","{'account_id': 16071186, 'reputation': 449, 'user_id': 11599603, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/478768333c23c86e2e84c7d684e7dfa7?s=256&d=identicon&r=PG&f=1', 'display_name': 'are_end', 'link': 'https://stackoverflow.com/users/11599603/are-end'}",True,60553,,6,31,1667834107,1559846750,1559901341.0,56483403,https://stackoverflow.com/questions/56483403/selenium-common-exceptions-webdriverexception-message-invalid-session-id-using,,selenium.common.exceptions.WebDriverException: Message: invalid session id using Selenium with ChromeDriver and Chrome through Python,CC BY-SA 4.0,,,
35,"['python', 'time']","{'account_id': 11585397, 'reputation': 41, 'user_id': 8487751, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4491902208c3798e9a81a0ccadae9d24?s=256&d=identicon&r=PG&f=1', 'display_name': 'Glenn_ford7 ', 'link': 'https://stackoverflow.com/users/8487751/glenn-ford7'}",False,88,,3,0,1667729534,1560522034,1667729534.0,56600062,https://stackoverflow.com/questions/56600062/how-to-add-datetime-in-python,,How to add datetime in python,CC BY-SA 4.0,,,
36,"['python', 'heroku', 'flask']","{'account_id': 15612407, 'reputation': 33, 'user_id': 11263416, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/488a018cc8c41fb36a9ac1df65b1d781?s=256&d=identicon&r=PG&f=1', 'display_name': 'Chiron', 'link': 'https://stackoverflow.com/users/11263416/chiron'}",False,8102,,1,0,1667707721,1560738845,1574471134.0,56624104,https://stackoverflow.com/questions/56624104/flask-app-hosted-on-heroku-shows-bokeh-plot-on-my-computer-but-not-on-any-other,,Flask app hosted on Heroku shows Bokeh plot on my computer but not on any other computer,CC BY-SA 4.0,,,
37,"['python', 'pytest', 'fixtures', 'parametrized-testing']","{'account_id': 1419690, 'reputation': 3007, 'user_id': 1344579, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/87738f0d76cd96e179917eae86f2659d?s=256&d=identicon&r=PG', 'display_name': 'NewGuy', 'link': 'https://stackoverflow.com/users/1344579/newguy'}",True,3137,,3,12,1667676808,1560961686,1560965288.0,56672179,https://stackoverflow.com/questions/56672179/how-to-properly-return-a-list-from-a-pytest-fixture-for-use-in-parametrize,,How to properly return a list from a pytest fixture for use in parametrize?,CC BY-SA 4.0,,,
38,"['javascript', 'python', 'django', 'vue.js']","{'account_id': 168751, 'reputation': 117, 'user_id': 394410, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/54ce741ffaedaf07efb9cc340ab1a3d2?s=256&d=identicon&r=PG', 'display_name': 'ArmoredSandwich', 'link': 'https://stackoverflow.com/users/394410/armoredsandwich'}",True,2018,,2,1,1667602453,1559656142,1657763337.0,56445311,https://stackoverflow.com/questions/56445311/how-to-pass-django-variable-to-vue-prop,,How to pass Django variable to Vue prop,CC BY-SA 4.0,,,
39,"['python', 'multithreading', 'asynchronous', 'gevent', 'eel']","{'account_id': 13179252, 'reputation': 406, 'user_id': 9519200, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10214151024381885/picture?type=large', 'display_name': 'Clay Records', 'link': 'https://stackoverflow.com/users/9519200/clay-records'}",True,657,,2,0,1667559330,1559841965,,56482407,https://stackoverflow.com/questions/56482407/gevent-functions-arent-running-asynchronously,,Gevent functions aren&#39;t running asynchronously,CC BY-SA 4.0,,,
40,"['python', 'outlook', 'win32com']","{'account_id': 9040794, 'reputation': 103, 'user_id': 6735134, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/6cd74cf840baf9410599dd4ae5037cf8?s=256&d=identicon&r=PG&f=1', 'display_name': 'DeltaKilo', 'link': 'https://stackoverflow.com/users/6735134/deltakilo'}",False,1510,,2,3,1667541182,1559902569,1559903240.0,56492400,https://stackoverflow.com/questions/56492400/listing-available-message-attributes-with-win32com-client,,Listing Available Message Attributes with win32com.client,CC BY-SA 4.0,,,
41,"['python', 'django', 'cmd']","{'account_id': 14008605, 'reputation': 1, 'user_id': 10117954, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-Er74xUtjZGw/AAAAAAAAAAI/AAAAAAAAzaM/m1ML5dubXQM/photo.jpg?sz=256', 'display_name': 'Bateman', 'link': 'https://stackoverflow.com/users/10117954/bateman'}",True,2645,,4,-2,1667426391,1561657723,1561706249.0,56796303,https://stackoverflow.com/questions/56796303/django-admin-is-is-not-recognized,,Django-admin is is not recognized,CC BY-SA 4.0,,,
42,"['python', 'format']","{'account_id': 16019584, 'reputation': 151, 'user_id': 11561386, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b79cc2b86d7c7733b66e6283267d12be?s=256&d=identicon&r=PG&f=1', 'display_name': 'zaydar', 'link': 'https://stackoverflow.com/users/11561386/zaydar'}",True,11561,,4,3,1667353263,1559425740,1559426129.0,56410671,https://stackoverflow.com/questions/56410671/converting-from-float-to-percentage,,Converting from float to percentage,CC BY-SA 4.0,56410905.0,,
43,"['python', 'multithreading', 'input', 'multiprocessing']","{'account_id': 1158247, 'reputation': 1038, 'user_id': 1164909, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/8e5d0d88810f42628167aecb2bfa4767?s=256&d=identicon&r=PG', 'display_name': 'Canol G&#246;kel', 'link': 'https://stackoverflow.com/users/1164909/canol-g%c3%b6kel'}",False,85,,2,1,1667335905,1559722890,1559724166.0,56456695,https://stackoverflow.com/questions/56456695/input-function-prevents-new-multiprocessing-process-to-start-when-run-through,,input() function prevents new multiprocessing process to start when run through PyCharm,CC BY-SA 4.0,,,
44,"['python', 'regex', 'python-re']","{'account_id': 5269257, 'reputation': 125, 'user_id': 4208085, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-T2IX_PwoOZc/AAAAAAAAAAI/AAAAAAAAAAA/qPUV7brrvIU/photo.jpg?sz=256', 'display_name': 'shady mccoy', 'link': 'https://stackoverflow.com/users/4208085/shady-mccoy'}",True,66,,2,-1,1667279620,1560199386,1667279620.0,56533269,https://stackoverflow.com/questions/56533269/parsing-a-file-containing-filenames-and-ignoring-entries-with-multiple-dot-chara,,Parsing a file containing filenames and ignoring entries with multiple dot characters?,CC BY-SA 4.0,,,
45,"['python', 'apache-superset']","{'account_id': 11574156, 'reputation': 1, 'user_id': 11644086, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-Uv0zH4GVP_s/AAAAAAAAAAI/AAAAAAAAALs/tvjz1b0XI0I/photo.jpg?sz=256', 'display_name': 'CandyZack', 'link': 'https://stackoverflow.com/users/11644086/candyzack'}",False,706,,2,0,1667251346,1560859470,1667251346.0,56648723,https://stackoverflow.com/questions/56648723/how-to-install-superset-on-a-windows-machine-without-using-python-virtual-enviro,,How to install Superset on a Windows machine without using Python Virtual Environment?,CC BY-SA 4.0,,,
46,"['python', 'python-3.x', 'signals', 'signal-processing', 'spyder']","{'account_id': 14482231, 'reputation': 15, 'user_id': 10461171, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-dp-Ypp_6Fb8/AAAAAAAAAAI/AAAAAAAAAAA/AAN31DUbKI0GSbx-HK0RZKckKntUfuazlA/mo/photo.jpg?sz=256', 'display_name': 'Vlad Matei', 'link': 'https://stackoverflow.com/users/10461171/vlad-matei'}",False,155,,3,0,1666963979,1560859316,,56648676,https://stackoverflow.com/questions/56648676/trouble-reading-data-from-dat-file-obtained-from-an-sdr,,Trouble reading data from .dat file obtained from an SDR,CC BY-SA 4.0,,,
