,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date,migrated_from,locked_date
10,"['python', 'sap']","{'account_id': 18167587, 'reputation': 23, 'user_id': 13217856, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-e-CEZbl9kNU/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJObk65xGlBvQvUanrJzwzFvHWfc6Q/photo.jpg?sz=256', 'display_name': 'Suhan Dev', 'link': 'https://stackoverflow.com/users/13217856/suhan-dev'}",False,18145,1,2,1668664910,1589526104,1589559520.0,61813559,CC BY-SA 4.0,https://stackoverflow.com/questions/61813559/closing-an-excel-file-using-python-if-file-is-already-open,closing an excel file using python if file is already open,,,,,,
11,['python'],"{'account_id': 18648573, 'reputation': 1, 'user_id': 13592593, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/35b2cb7cb672ca2983395a4c41c67231?s=256&d=identicon&r=PG&f=1', 'display_name': 'user13592593', 'link': 'https://stackoverflow.com/users/13592593/user13592593'}",False,1135,2,0,1668661613,1590610938,1590611713.0,62052212,CC BY-SA 4.0,https://stackoverflow.com/questions/62052212/deprecationwarning-how-could-i-fix-this,DeprecationWarning: How could I fix this?,,,,,,
12,"['python', 'airflow']","{'account_id': 7528275, 'reputation': 697, 'user_id': 5717546, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/5ba44c7601d3ccc152b20356933b68d0?s=256&d=identicon&r=PG&f=1', 'display_name': 'itsMe', 'link': 'https://stackoverflow.com/users/5717546/itsme'}",True,1232,2,0,1668635613,1590350910,1668635613.0,61991835,CC BY-SA 4.0,https://stackoverflow.com/questions/61991835/using-pythonoperators-output-to-another-pythonoperator-from-airflow,Using PythonOperator&#39;s output to another PythonOperator from airflow,,,,,,
13,"['python', 'sql', 'sql-server', 'pandas']","{'account_id': 1322482, 'reputation': 83, 'user_id': 1267983, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/9d1bad4e99e8b0e11c0773b1a276e348?s=256&d=identicon&r=PG', 'display_name': 'user1267983', 'link': 'https://stackoverflow.com/users/1267983/user1267983'}",True,2662,1,2,1668618390,1589655187,1589662512.0,61842006,CC BY-SA 4.0,https://stackoverflow.com/questions/61842006/sql-server-merge-using-pandas-dataframe,SQL Server Merge using Pandas Dataframe?,,,,,,
14,"['python', 'properties', 'colorama']","{'account_id': 14137804, 'reputation': 821, 'user_id': 10213635, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/U0f7T.jpg?s=256&g=1', 'display_name': 'Gerrit Geeraerts', 'link': 'https://stackoverflow.com/users/10213635/gerrit-geeraerts'}",True,15837,2,6,1668616422,1588966550,1637219045.0,61686780,CC BY-SA 4.0,https://stackoverflow.com/questions/61686780/python-colorama-print-all-colors,python colorama print all colors,61687509.0,,,,,
15,"['python', 'pandas']","{'user_type': 'does_not_exist', 'display_name': 'user6882757'}",True,17966,3,5,1668491251,1588829123,1588829386.0,61650474,CC BY-SA 4.0,https://stackoverflow.com/questions/61650474/valueerror-columns-must-be-same-length-as-key-in-pandas,ValueError: Columns must be same length as key in pandas,61650536.0,,,,,
16,"['python', 'python-3.x']","{'account_id': 17490164, 'reputation': 1, 'user_id': 13467279, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/93fc735d251cc12fe8dfcd13f244b364?s=256&d=identicon&r=PG&f=1', 'display_name': 'Seekrit', 'link': 'https://stackoverflow.com/users/13467279/seekrit'}",False,1443,2,0,1668488560,1588602514,,61594593,CC BY-SA 4.0,https://stackoverflow.com/questions/61594593/python3-toggle-script-on-key-press-stuck,Python3 toggle script on key press stuck,,,,,,
17,"['python', 'animation', 'networkx', 'simulation', 'markov-chains']","{'account_id': 14532638, 'reputation': 1068, 'user_id': 11512643, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-QLqtCgiyRJ8/AAAAAAAAAAI/AAAAAAAAABM/6rBtTFMFWSk/photo.jpg?sz=256', 'display_name': 'Amine Chadi', 'link': 'https://stackoverflow.com/users/11512643/amine-chadi'}",False,1021,1,6,1668483577,1590585516,1596285120.0,62044102,CC BY-SA 4.0,https://stackoverflow.com/questions/62044102/how-to-visually-animate-markov-chains-in-python,How to visually animate Markov chains in Python?,,,,,,
18,"['python', 'artifacts', 'mlflow']","{'account_id': 11367215, 'reputation': 742, 'user_id': 8333806, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/RbIJB.jpg?s=256&g=1', 'display_name': 'abdoulsn', 'link': 'https://stackoverflow.com/users/8333806/abdoulsn'}",True,8939,5,2,1668455760,1590280271,1656334439.0,61980244,CC BY-SA 4.0,https://stackoverflow.com/questions/61980244/how-to-fix-artifacts-not-showing-in-mlflow-ui,How to fix Artifacts not showing in MLflow UI,62697848.0,,,,,
19,"['python', 'tkinter']","{'account_id': 16021010, 'reputation': 652, 'user_id': 11562537, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/998ea0d4b76dc15378bb55fe5309d270?s=256&d=identicon&r=PG&f=1', 'display_name': 'TurboC', 'link': 'https://stackoverflow.com/users/11562537/turboc'}",True,755,1,4,1668448545,1590537723,,62033360,CC BY-SA 4.0,https://stackoverflow.com/questions/62033360/tkinter-and-python3-how-can-i-justify-a-multiple-lines-text-in-a-label-widget,Tkinter and Python3 - How Can I justify a multiple lines text in a label widget?,,,,,,
20,"['python', 'bash', 'anaconda', 'conda', 'google-colaboratory']","{'account_id': 10641168, 'reputation': 723, 'user_id': 13582578, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b23831bf166950a52f0e07db9d982d48?s=256&d=identicon&r=PG&f=1', 'display_name': 'Leo.H', 'link': 'https://stackoverflow.com/users/13582578/leo-h'}",True,75713,4,57,1668412492,1589984756,1660074666.0,61915607,CC BY-SA 4.0,https://stackoverflow.com/questions/61915607/commandnotfounderror-your-shell-has-not-been-properly-configured-to-use-conda,CommandNotFoundError: Your shell has not been properly configured to use &#39;conda activate&#39;,,,,,,
21,"['python', 'colors', 'colormap', 'word-cloud']","{'account_id': 18499971, 'reputation': 271, 'user_id': 13477535, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ElF2j.jpg?s=256&g=1', 'display_name': 'Digital Moniker', 'link': 'https://stackoverflow.com/users/13477535/digital-moniker'}",True,888,1,2,1668337714,1589997893,1589998268.0,61919884,CC BY-SA 4.0,https://stackoverflow.com/questions/61919884/mapping-wordcloud-color-to-a-value-for-sentiment-analysis,Mapping wordcloud color to a value for sentiment analysis,74420370.0,,,,,
22,"['python', 'tensorflow', 'tensorflow2.0', 'batch-normalization']","{'account_id': 7373076, 'reputation': 976, 'user_id': 5612691, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/b2dd995db9c43a77c0c52beb88fd8fbf?s=256&d=identicon&r=PG&f=1', 'display_name': 'Gertjan Brouwer', 'link': 'https://stackoverflow.com/users/5612691/gertjan-brouwer'}",False,473,1,2,1668317369,1589899059,1590087338.0,61893750,CC BY-SA 4.0,https://stackoverflow.com/questions/61893750/tensorflow-tf-math-tanh-properly-scale-network-output-without-requiring-large-ba,Tensorflow tf.math.tanh properly scale network output without requiring large batches,,,,,,
23,"['python', 'python-3.x', 'ubuntu', 'windows-subsystem-for-linux', 'python-venv']","{'account_id': 10823809, 'reputation': 403, 'user_id': 10574305, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/eeb83f357260f17085d4150ef46f2507?s=256&d=identicon&r=PG', 'display_name': 'vicubso', 'link': 'https://stackoverflow.com/users/10574305/vicubso'}",True,35170,6,30,1668300001,1588264919,,61528500,CC BY-SA 4.0,https://stackoverflow.com/questions/61528500/installing-venv-for-python3-in-wsl-ubuntu,Installing venv for python3 in WSL (Ubuntu),61528738.0,,,,,
24,"['python', 'deep-learning', 'torch', 'mnist', 'torchvision']","{'account_id': 18533588, 'reputation': 11, 'user_id': 13503765, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-_u_WuY1WIpI/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJNAfcskUeV-mleTgIsqIX84_IBPjw/photo.jpg?sz=256', 'display_name': 'pierrot839', 'link': 'https://stackoverflow.com/users/13503765/pierrot839'}",False,326,1,1,1668220775,1589185437,,61725300,CC BY-SA 4.0,https://stackoverflow.com/questions/61725300/torchvision-mnist-remotedisconnected-remote-end-closed-connection-without-respo,torchvision mnist RemoteDisconnected: Remote end closed connection without response,,,,,,
25,"['python', 'graph', 'seaborn', 'line-plot']","{'account_id': 11675641, 'reputation': 327, 'user_id': 8549300, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/ec4abe231418b565d45b09d16192cf5e?s=256&d=identicon&r=PG&f=1', 'display_name': 'firefly', 'link': 'https://stackoverflow.com/users/8549300/firefly'}",True,5312,3,7,1668156726,1589883679,,61888674,CC BY-SA 4.0,https://stackoverflow.com/questions/61888674/can-you-plot-interquartile-range-as-the-error-band-on-a-seaborn-lineplot,Can you plot interquartile range as the error band on a seaborn lineplot?,61889952.0,,,,,
26,"['python', 'opencv', 'computer-vision', 'pycharm', 'opencv-python']","{'account_id': 18662684, 'reputation': 51, 'user_id': 13603491, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7bb4046ba64b9cdc701abb43f333a23e?s=256&d=identicon&r=PG&f=1', 'display_name': 'hasanthecoder', 'link': 'https://stackoverflow.com/users/13603491/hasanthecoder'}",True,8351,4,5,1668105590,1590272793,,61979361,CC BY-SA 4.0,https://stackoverflow.com/questions/61979361/cannot-turn-on-mac-webcam-through-opencv-python,Cannot turn on Mac Webcam through OpenCV python,,,,,,
27,"['python', 'regex', 'string', 'findandmodify']","{'account_id': 10249817, 'reputation': 424, 'user_id': 7564449, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/386db8a1a43daecef94d0ba9f7f3f39d?s=256&d=identicon&r=PG&f=1', 'display_name': 'Prab', 'link': 'https://stackoverflow.com/users/7564449/prab'}",True,1799,4,3,1668100040,1590720904,,62077928,CC BY-SA 4.0,https://stackoverflow.com/questions/62077928/find-words-that-matches-the-3-consecutive-vowels-regex,find words that matches the 3 consecutive vowels Regex,62077961.0,,,,,
28,"['python', 'mqtt', 'at-command', 'sim800', 'sim800l']","{'account_id': 18684986, 'reputation': 1, 'user_id': 13620713, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-f6Hlza3wrs4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck80aE1BM3vStdR-PcuXhx_pBzcMw/photo.jpg?sz=256', 'display_name': 'Panji Setiawan', 'link': 'https://stackoverflow.com/users/13620713/panji-setiawan'}",False,1527,1,0,1668084482,1590505151,1590546352.0,62025124,CC BY-SA 4.0,https://stackoverflow.com/questions/62025124/sim808-with-mqtt-atcipsend,Sim808 with Mqtt (AT+CIPSEND),,,,,,
29,"['python', 'html', 'django', 'python-3.x']","{'account_id': 18278323, 'reputation': 23, 'user_id': 13307616, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-fLw7fm4_4D0/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJM83UP12H1EPek2TIJ4JTG3Mk5xrg/photo.jpg?sz=256', 'display_name': 'Khabbab Zakaria', 'link': 'https://stackoverflow.com/users/13307616/khabbab-zakaria'}",True,51,4,-1,1668074741,1589189229,,61726389,CC BY-SA 4.0,https://stackoverflow.com/questions/61726389/running-output-of-python-in-html-in-djngo,Running output of Python in html in Djngo,,,,,,
30,"['python', 'numpy', 'optimization', 'vector', 'linear-algebra']","{'account_id': 15467291, 'reputation': 13, 'user_id': 13617782, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-LQfvMkEWDpg/AAAAAAAAAAI/AAAAAAAAxHc/c0I-BUw6avM/photo.jpg?sz=256', 'display_name': 'dschori', 'link': 'https://stackoverflow.com/users/13617782/dschori'}",True,1539,1,1,1668074121,1590476731,1590479701.0,62016425,CC BY-SA 4.0,https://stackoverflow.com/questions/62016425/how-to-calculate-the-rotation-angles-needed-on-x-and-z-to-align-two-vectors,How to calculate the rotation angles needed on X and Z to align two vectors,62031396.0,,,,,
31,"['python', 'pip', 'nltk', 'corpus', 'requirements.txt']","{'account_id': 169656, 'reputation': 72542, 'user_id': 395857, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/Z99mk.jpg?s=256&g=1', 'display_name': 'Franck Dernoncourt', 'link': 'https://stackoverflow.com/users/395857/franck-dernoncourt'}",True,4987,3,5,1668038631,1588802468,,61646185,CC BY-SA 4.0,https://stackoverflow.com/questions/61646185/how-can-i-download-nltk-corpora-via-requirements-txt-using-pip-install-r-req,How can I download NLTK corpora via `requirements.txt` using `pip install -r requirements.txt`?,,,,,,
32,"['python', 'formatting', 'python-black']","{'account_id': 2098162, 'reputation': 1457, 'user_id': 1866480, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/6568eb1ab2ac8054511dedd643e09643?s=256&d=identicon&r=PG', 'display_name': 'Nitzan', 'link': 'https://stackoverflow.com/users/1866480/nitzan'}",True,3545,2,12,1668027716,1588527271,,61578899,CC BY-SA 4.0,https://stackoverflow.com/questions/61578899/disable-black-formatting-of-dict-expression-within-mapping-comprehensions,Disable Black formatting of dict expression within mapping comprehensions,66731738.0,,,,,
33,"['python', 'matplotlib', 'seaborn', 'linechart']","{'account_id': 7102840, 'reputation': 1504, 'user_id': 5433663, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/85ef3edfaa90ffcf851a76927561e7b2?s=256&d=identicon&r=PG&f=1', 'display_name': 'TYL', 'link': 'https://stackoverflow.com/users/5433663/tyl'}",True,6107,3,2,1668017436,1590490640,1590497992.0,62020588,CC BY-SA 4.0,https://stackoverflow.com/questions/62020588/seaborn-multi-line-plot-with-only-one-line-colored,Seaborn multi line plot with only one line colored,62021088.0,,,,,
34,"['python', 'django']","{'account_id': 12209352, 'reputation': 1, 'user_id': 8911542, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1a258d005c6dbe77531d770f44160bdd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Grill', 'link': 'https://stackoverflow.com/users/8911542/grill'}",False,10327,4,0,1668015338,1588340893,,61543737,CC BY-SA 4.0,https://stackoverflow.com/questions/61543737/django-admin-is-not-recognized-as-an-internal-or-external-command-operable-pr,"&#39;django-admin&#39; is not recognized as an internal or external command, operable program or batch file. Windows10",,,,,,
35,"['python', 'pandas', 'jupyter-notebook']","{'account_id': 18632136, 'reputation': 1, 'user_id': 13579851, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cbbbb2503ee808526c1f0cfa85c6b3b2?s=256&d=identicon&r=PG&f=1', 'display_name': 'TYmax54', 'link': 'https://stackoverflow.com/users/13579851/tymax54'}",False,17137,4,0,1668013280,1589956083,1589956931.0,61906491,CC BY-SA 4.0,https://stackoverflow.com/questions/61906491/how-to-remove-the-nameerror-name-dataset-is-not-defined,How to remove the NameError: name &#39;Dataset&#39; is not defined,,,,,,
36,"['python', 'pytorch', 'lstm', 'reinforcement-learning', 'dqn']","{'account_id': 3625986, 'reputation': 5531, 'user_id': 3023615, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'Athena Wisdom', 'link': 'https://stackoverflow.com/users/3023615/athena-wisdom'}",True,33842,5,12,1667919559,1590677841,1590706372.0,62067849,CC BY-SA 4.0,https://stackoverflow.com/questions/62067849/pytorch-model-training-runtimeerror-cudnn-error-cudnn-status-internal-error,PyTorch Model Training: RuntimeError: cuDNN error: CUDNN_STATUS_INTERNAL_ERROR,,,,,,
37,"['python', 'grib', 'pygrib']","{'account_id': 9959798, 'reputation': 1201, 'user_id': 9035707, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/XfxWU.png?s=256&g=1', 'display_name': 'FlippingBinary', 'link': 'https://stackoverflow.com/users/9035707/flippingbinary'}",True,1577,2,3,1667900904,1589224004,1602861117.0,61737401,CC BY-SA 4.0,https://stackoverflow.com/questions/61737401/how-can-a-grib-file-be-opened-with-pygrib-without-first-downloading-the-file,How can a GRIB file be opened with pygrib without first downloading the file?,,,,,,
38,"['python', 'scipy', 'time-series', 'statsmodels', 'arima']","{'account_id': 13260586, 'reputation': 512, 'user_id': 9575303, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/hS3s9.png?s=256&g=1', 'display_name': 'Sean.H', 'link': 'https://stackoverflow.com/users/9575303/sean-h'}",True,515,1,-1,1667877546,1589988481,,61916936,CC BY-SA 4.0,https://stackoverflow.com/questions/61916936/is-there-an-equivalent-function-of-rs-eacf-in-python,Is there an equivalent function of R&#39;s eacf in python?,62264377.0,,,,,
39,"['python', 'image-processing', 'computer-vision', 'feature-extraction']","{'account_id': 18476559, 'reputation': 83, 'user_id': 13459941, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gh_Sn5Ycuqu0wpfbuAbIs9AnSGbZI8dIC1pe1c3=k-s256', 'display_name': 'Geart van der Ploeg', 'link': 'https://stackoverflow.com/users/13459941/geart-van-der-ploeg'}",False,423,1,1,1667858635,1589138122,1664023585.0,61717458,CC BY-SA 4.0,https://stackoverflow.com/questions/61717458/how-to-extract-the-pixels-of-a-shadow-in-an-image-in-order-to-calculate-the-leng,How to extract the pixels of a shadow in an image in order to calculate the length?,,,,,,
40,"['python', 'selenium', 'selenium-webdriver', 'selenium-chromedriver', 'emulation']","{'account_id': 16061089, 'reputation': 906, 'user_id': 11591931, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-_bwex08hZkM/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rf3YCdJxr49lBvfUaNMzAjQFu_30g/mo/photo.jpg?sz=256', 'display_name': 'Alex Dana', 'link': 'https://stackoverflow.com/users/11591931/alex-dana'}",True,12316,3,11,1667850378,1588947061,1588951040.0,61681097,CC BY-SA 4.0,https://stackoverflow.com/questions/61681097/python-and-selenium-mobile-emulation,Python and Selenium mobile emulation,63378120.0,,,,,
41,"['python', 'visual-studio-code', 'visual-studio-liveshare', 'vscode-liveshare']","{'account_id': 18596082, 'reputation': 9, 'user_id': 13552065, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/455ff4bed7017467aca34fd3ed8f0cf2?s=256&d=identicon&r=PG&f=1', 'display_name': 'Vanderpool', 'link': 'https://stackoverflow.com/users/13552065/vanderpool'}",False,302,1,0,1667844794,1589626117,,61835563,CC BY-SA 4.0,https://stackoverflow.com/questions/61835563/vs-code-live-share-errno-2-no-such-file-or-directory,VS Code Live Share - errno 2 No such file or directory,,,,,,
42,"['python', 'python-3.x', 'pip']","{'account_id': 15953756, 'reputation': 1271, 'user_id': 11796910, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/KIHla.png?s=256&g=1', 'display_name': 'Mark', 'link': 'https://stackoverflow.com/users/11796910/mark'}",True,122809,5,40,1667829971,1589135962,1644520202.0,61717006,CC BY-SA 4.0,https://stackoverflow.com/questions/61717006/pip-for-python-3-8,Pip for Python 3.8,61717037.0,,,,,
43,"['python', 'opencv', 'yolo']","{'account_id': 18623339, 'reputation': 23, 'user_id': 13572996, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ce0ce168a49f43299bc9c41b18be7036?s=256&d=identicon&r=PG&f=1', 'display_name': 'Dzeko', 'link': 'https://stackoverflow.com/users/13572996/dzeko'}",True,7937,6,0,1667814705,1590222117,,61969311,CC BY-SA 4.0,https://stackoverflow.com/questions/61969311/open-cv-dnn-error-for-python-while-using-yolov3-using-open-cv-ver4-2-0,Open-Cv dnn error for python while using Yolov3. Using open-cv ver(4.2.0),61971199.0,,,,,
44,"['python', 'scikit-learn']","{'account_id': 2106082, 'reputation': 2478, 'user_id': 1872383, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/93940641fbff46fca859c4c71e822fc3?s=256&d=identicon&r=PG', 'display_name': 'Benjamin W', 'link': 'https://stackoverflow.com/users/1872383/benjamin-w'}",True,74,1,-1,1667780840,1590215115,,61968291,CC BY-SA 4.0,https://stackoverflow.com/questions/61968291/train-test-split-affect-result-when-predict-value-the-same,train_test_split affect result when predict value the same,61968566.0,,,,,
45,"['python', 'tensorflow', 'serialization', 'tensorflow-datasets']","{'account_id': 186726, 'reputation': 1114, 'user_id': 424306, 'user_type': 'registered', 'accept_rate': 47, 'profile_image': 'https://www.gravatar.com/avatar/68cd128462faf8d8739eb37591cddd48?s=256&d=identicon&r=PG&f=1', 'display_name': 'Vivek Subramanian', 'link': 'https://stackoverflow.com/users/424306/vivek-subramanian'}",True,15621,6,11,1667665601,1589158829,,61720708,CC BY-SA 4.0,https://stackoverflow.com/questions/61720708/how-do-you-save-a-tensorflow-dataset-to-a-file,How do you save a Tensorflow dataset to a file?,61727034.0,,,,,
46,"['python', 'frida']","{'account_id': 13400806, 'reputation': 183, 'user_id': 9670412, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=256', 'display_name': 'nox', 'link': 'https://stackoverflow.com/users/9670412/nox'}",True,2631,2,2,1667599846,1590690747,,62072031,CC BY-SA 4.0,https://stackoverflow.com/questions/62072031/frida-python-redirect-outpout-to-file,Frida python redirect outpout to file,62103465.0,,,,,
