,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,migrated_from,protected_date
10,"['c++', 'visual-studio-code']","{'account_id': 22672248, 'reputation': 167, 'user_id': 16843823, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjjVKcF6MIuLekR6coLlvXTHqHFSq9mqMWVR1OVpA=k-s256', 'display_name': 'ktakehi', 'link': 'https://stackoverflow.com/users/16843823/ktakehi'}",False,1649,,1,3,1666720434,1644845276,71112682,CC BY-SA 4.0,https://stackoverflow.com/questions/71112682/ld-warning-dylib-was-built-for-newer-macos-version-11-3-than-being-linked-1,ld: warning: dylib was built for newer macOS version (11.3) than being linked (11.1),,,,,
11,"['c++', 'algorithm', 'c++20']","{'account_id': 19110651, 'reputation': 238, 'user_id': 13956730, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fa3a6fae2500b8e46dde385ffa3a70c1?s=256&d=identicon&r=PG&f=1', 'display_name': 'pwasoutside', 'link': 'https://stackoverflow.com/users/13956730/pwasoutside'}",True,262,71035870.0,2,5,1666355888,1644307624,71030397,CC BY-SA 4.0,https://stackoverflow.com/questions/71030397/stable-partition-in-c-why-is-it-on-lg-n,stable partition in c++ - why is it O(n lg n)?,,,,,
12,"['c++', 'qt', 'constexpr', 'compile-time']","{'account_id': 17244356, 'reputation': 229, 'user_id': 12485974, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/W9rHC.jpg?s=256&g=1', 'display_name': 'H.M', 'link': 'https://stackoverflow.com/users/12485974/h-m'}",True,228,71125988.0,2,1,1666122048,1644867736,71117428,CC BY-SA 4.0,https://stackoverflow.com/questions/71117428/is-possible-create-qstring-at-compile-time,Is possible create QString at compile time?,,,,,
13,"['c++', 'winapi']","{'account_id': 15397518, 'reputation': 1644, 'user_id': 11108133, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-LdFzwJHpZ6k/AAAAAAAAAAI/AAAAAAAACSg/Kamq51hR_iA/photo.jpg?sz=256', 'display_name': 'sz ppeter', 'link': 'https://stackoverflow.com/users/11108133/sz-ppeter'}",False,695,,1,2,1665597506,1643913440,70976583,CC BY-SA 4.0,https://stackoverflow.com/questions/70976583/get-real-screen-resolution-using-win32-api,Get real screen resolution using Win32 API,1643917972.0,,,,
14,"['c++', 'algorithm', 'disjoint-sets', 'union-find']","{'account_id': 2179944, 'reputation': 861, 'user_id': 1929678, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://i.stack.imgur.com/O6LDU.jpg?s=256&g=1', 'display_name': 'Bart Louwers', 'link': 'https://stackoverflow.com/users/1929678/bart-louwers'}",True,360,71027486.0,1,4,1665161605,1644279254,71027045,CC BY-SA 4.0,https://stackoverflow.com/questions/71027045/optimize-union-find-disjoint-set-union-implementation,Optimize Union Find (Disjoint Set Union) implementation,1665161605.0,,,,
15,"['c++', 'templates', 'language-lawyer', 'template-argument-deduction']","{'account_id': 2194877, 'reputation': 14475, 'user_id': 7325599, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8d601da836449a445b9f15756296061d?s=256&d=identicon&r=PG', 'display_name': 'Fedor', 'link': 'https://stackoverflow.com/users/7325599/fedor'}",True,145,73921590.0,1,2,1664656584,1645950664,71283266,CC BY-SA 4.0,https://stackoverflow.com/questions/71283266/auto-deduction-of-reference-template-argument-from-not-reference-type-in-c,Auto-deduction of reference template argument from not-reference type in C++,,,,,
16,"['c++', 'audio', 'playlist', 'juce']","{'account_id': 23094114, 'reputation': 3, 'user_id': 17204506, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gj6yGUEuXjWlMmdJ7FaJG6OOJvdJNNUWpf2CXwi=k-s256', 'display_name': 'Amr Ezzat', 'link': 'https://stackoverflow.com/users/17204506/amr-ezzat'}",True,480,71414421.0,2,0,1664158657,1645285697,71186547,CC BY-SA 4.0,https://stackoverflow.com/questions/71186547/how-to-read-the-length-of-audio-files-using-juce-c-without-playing-the-file,How to read the length of audio files using Juce &quot;C++.&quot; Without playing the file,,,,,
17,"['c++', 'bash', 'shell', 'stdout']","{'account_id': 23067526, 'reputation': 21, 'user_id': 17181775, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/15ad6bcf569556a8a6b7f89af9564d96?s=256&d=identicon&r=PG', 'display_name': 'r4sk01', 'link': 'https://stackoverflow.com/users/17181775/r4sk01'}",False,104,,1,0,1663886665,1645410260,71200572,CC BY-SA 4.0,https://stackoverflow.com/questions/71200572/how-to-sort-the-output-of-c-program-stdout-via-sort,How to sort the output of C++ program (stdout) via &quot;| sort&quot;,1663886665.0,,,,
18,"['c++', 'rendering', 'glm-math', 'raytracing']","{'account_id': 4997222, 'reputation': 139, 'user_id': 4017363, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cbfc8b5bceaf12c9ca925cdb534a4e04?s=256&d=identicon&r=PG&f=1', 'display_name': 'Naemesis', 'link': 'https://stackoverflow.com/users/4017363/naemesis'}",True,154,,1,0,1663879161,1645115512,71161952,CC BY-SA 4.0,https://stackoverflow.com/questions/71161952/how-random-is-glmsphericalrand-some-angles-seem-more-common-than-others,How random is glm::sphericalRand()? Some angles seem more common than others,1645117097.0,,,,
19,"['c++', 'loops', 'data-structures', 'linked-list', 'c++17']","{'user_type': 'does_not_exist', 'display_name': 'user16393473'}",True,127,71109571.0,4,0,1663865339,1644821111,71108064,CC BY-SA 4.0,https://stackoverflow.com/questions/71108064/implementing-linked-list,Implementing linked list,1663865339.0,,,,
20,"['c++', 'c++20', 'coroutine', 'c++-coroutine']","{'account_id': 17796836, 'reputation': 987, 'user_id': 12924498, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d1f6a54acbf2eca0cf86dc5d023a2c13?s=256&d=identicon&r=PG&f=1', 'display_name': 'K.R.Park', 'link': 'https://stackoverflow.com/users/12924498/k-r-park'}",True,6528,,4,8,1663862865,1645077965,71153205,,https://stackoverflow.com/questions/71153205/c-coroutine-when-how-to-use,"C++ Coroutine - When, How to use?",1646182403.0,1645720531.0,Opinion-based,,
21,"['c++', 'rust', 'githooks', 'pre-commit-hook', 'rustfmt']","{'account_id': 73950, 'reputation': 1241, 'user_id': 212730, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/8516f02746e05c094366dc1df8683e8c?s=256&d=identicon&r=PG', 'display_name': 'Kirill Lykov', 'link': 'https://stackoverflow.com/users/212730/kirill-lykov'}",True,212,71222423.0,1,0,1663813846,1645537605,71222422,CC BY-SA 4.0,https://stackoverflow.com/questions/71222422/how-can-i-auto-format-rust-and-c-code-on-commit-automatically,How can I auto-format Rust (and C++) code on commit automatically?,1663813846.0,,,,
22,"['c++', 'binary']","{'account_id': 23957290, 'reputation': 3, 'user_id': 17947971, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0d338a87acb494c3cc618289569ae151?s=256&d=identicon&r=PG', 'display_name': 'CreedCoding', 'link': 'https://stackoverflow.com/users/17947971/creedcoding'}",True,113,71072106.0,2,-2,1663776894,1644521715,71071231,CC BY-SA 4.0,https://stackoverflow.com/questions/71071231/binary-to-decimal-conversion-not-working-properly-c,Binary to Decimal conversion not working properly: C++,1644522643.0,,,,
23,"['c++', 'windows', 'winapi', 'accessibility', 'system-tray']","{'account_id': 3443161, 'reputation': 388, 'user_id': 2884575, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/4d204cdd7aa85c9c64bbc9305908dbe8?s=256&d=identicon&r=PG', 'display_name': 'Charles Milette', 'link': 'https://stackoverflow.com/users/2884575/charles-milette'}",True,218,73726711.0,1,5,1663224699,1644868860,71117618,CC BY-SA 4.0,https://stackoverflow.com/questions/71117618/detect-white-or-black-high-contrast-mode-in-windows-c,Detect white or black high contrast mode in Windows C++,,,,,
24,"['c++', 'opencv', 'camera-calibration', 'distortion', 'aruco']","{'account_id': 23439892, 'reputation': 1, 'user_id': 17497531, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgqNU6e6Mtu81Ioqil_ljpZekLe-AQ0ReGuOku6=k-s256', 'display_name': 'Aleksey Lomako', 'link': 'https://stackoverflow.com/users/17497531/aleksey-lomako'}",True,293,71217683.0,1,0,1663173712,1645097763,71157409,CC BY-SA 4.0,https://stackoverflow.com/questions/71157409/error-while-trying-to-make-camera-calibration-using-charuco-board-opencv-c,"Error while trying to make Camera Calibration using Charuco Board (OpenCV, C++)",1663173712.0,,,,
25,"['c++', 'input', 'output', 'iostream']","{'account_id': 24359169, 'reputation': 9, 'user_id': 18293794, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/648c02041508e5bc99fe586ae38471e2?s=256&d=identicon&r=PG', 'display_name': 'quaternary truth', 'link': 'https://stackoverflow.com/users/18293794/quaternary-truth'}",True,89,,1,-2,1663154715,1645657308,71245037,,https://stackoverflow.com/questions/71245037/what-is-the-difference-between-cin-and-cout-in-c,What is the difference between cin and cout in C++?,1663154715.0,1645657511.0,Needs more focus,,
26,['c++'],"{'account_id': 4462333, 'reputation': 379, 'user_id': 3630804, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/018fa934c3e754aeb503ef04a849162c?s=256&d=identicon&r=PG&f=1', 'display_name': 'TeenyTinySparkles', 'link': 'https://stackoverflow.com/users/3630804/teenytinysparkles'}",True,828,,2,1,1663050061,1644790112,71105283,CC BY-SA 4.0,https://stackoverflow.com/questions/71105283/what-does-0b1-mean-in-c,What does 0b1 mean in C++?,1644791153.0,,,,
27,"['c++', 'ros', 'poco']","{'account_id': 24275785, 'reputation': 1, 'user_id': 18223104, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2c6bb903cc3dc31f4bd26b5e0d3f64dc?s=256&d=identicon&r=PG', 'display_name': 'lxttian', 'link': 'https://stackoverflow.com/users/18223104/lxttian'}",False,98,,1,0,1662697557,1645013916,71141740,CC BY-SA 4.0,https://stackoverflow.com/questions/71141740/use-poco-library-to-display-usb-camera-image,Use poco library to display usb camera image,1645064605.0,,,,
28,"['java', 'c++', 'arduino', 'serial-port', 'processing']","{'account_id': 24217311, 'reputation': 11, 'user_id': 18172999, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjXTP6fOwenpk_fCNJ4xccHlbx0yJpJ8aeIj8RFIg=k-s256', 'display_name': 'Toran Mintamu', 'link': 'https://stackoverflow.com/users/18172999/toran-mintamu'}",False,141,,1,1,1662659012,1644510721,71068806,CC BY-SA 4.0,https://stackoverflow.com/questions/71068806/arduino-and-processing-code-error-disabling-serialevent,Arduino and Processing code error &quot;disabling serialEvent()&quot;,1662658515.0,,,,
29,"['c++', 'console-application']","{'account_id': 20955651, 'reputation': 5, 'user_id': 15396233, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GiOhe1U4oITVUjwFvYiPdFEN3gKIwqexa3mLyHE=k-s256', 'display_name': 'Markus Vaittinen', 'link': 'https://stackoverflow.com/users/15396233/markus-vaittinen'}",False,48,,0,0,1662493011,1643927364,70979194,CC BY-SA 4.0,https://stackoverflow.com/questions/70979194/saving-and-sorting-game-information-into-an-external-file,Saving and sorting game information into an external file,1662493011.0,,,,
30,"['c++', 'multithreading', 'c++20']","{'account_id': 5610611, 'reputation': 592, 'user_id': 4443495, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://i.stack.imgur.com/3fQpF.png?s=256&g=1', 'display_name': 'original.roland', 'link': 'https://stackoverflow.com/users/4443495/original-roland'}",True,325,70940457.0,2,1,1662303700,1643717513,70940366,CC BY-SA 4.0,https://stackoverflow.com/questions/70940366/how-to-start-a-new-jthread-on-a-class-member,How to start a new jthread on a class member,,,,,
31,"['c++', 'shader', 'directx', 'hlsl', 'compute-shader']","{'account_id': 9559898, 'reputation': 1143, 'user_id': 7101138, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/ad5346a63eaa462073c841f2ebfc824f?s=256&d=identicon&r=PG&f=1', 'display_name': 'michalt38', 'link': 'https://stackoverflow.com/users/7101138/michalt38'}",True,65,70953031.0,2,2,1662182708,1643759367,70949064,CC BY-SA 4.0,https://stackoverflow.com/questions/70949064/count-elements-in-texture,Count elements in texture,,,,,
32,"['c++', 'qt', 'qwebengineview']","{'account_id': 20263108, 'reputation': 9, 'user_id': 14861003, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/dY9gs.jpg?s=256&g=1', 'display_name': 'Gremeat', 'link': 'https://stackoverflow.com/users/14861003/gremeat'}",True,1419,71108180.0,2,0,1662123532,1644814241,71107282,CC BY-SA 4.0,https://stackoverflow.com/questions/71107282/unknown-modules-in-qt-webenginewidgets,Unknown module(s) in QT: webenginewidgets,1644821265.0,,,,
33,"['c++', 'opencv', 'go', 'memory-leaks', 'wrapper']","{'account_id': 18420897, 'reputation': 45, 'user_id': 15948114, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d039758586de9560ef0abbfb010604db?s=256&d=identicon&r=PG&f=1', 'display_name': 'TrailSurfer', 'link': 'https://stackoverflow.com/users/15948114/trailsurfer'}",False,130,,0,0,1662034006,1643989671,70989144,CC BY-SA 4.0,https://stackoverflow.com/questions/70989144/memory-leak-debugging-at-golang-code-using-c-wrapper-gocv,memory leak debugging at golang code using c-wrapper gocv,1662034006.0,,,,
34,"['c++', 'stl', 'stdvector', 'c++-standard-library', 'std-pair']","{'account_id': 16859072, 'reputation': 1459, 'user_id': 12190301, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/02d229e2351b155f7d50d7dffccce0e9?s=256&d=identicon&r=PG&f=1', 'display_name': 'Schottky', 'link': 'https://stackoverflow.com/users/12190301/schottky'}",True,1441,71113085.0,5,23,1661987964,1644845575,71112750,CC BY-SA 4.0,https://stackoverflow.com/questions/71112750/create-a-vector-of-pairs-from-a-single-vector-in-c,Create a vector of pairs from a single vector in C++,1646217884.0,,,,
35,"['c++', 'visual-studio', 'opencv', 'compiler-errors']","{'account_id': 20468047, 'reputation': 1, 'user_id': 15019115, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1b9ebd48790cd92891c16a41fc7d2e75?s=256&d=identicon&r=PG&f=1', 'display_name': 'ZNOW', 'link': 'https://stackoverflow.com/users/15019115/znow'}",False,453,,1,0,1661799236,1644839271,71111367,CC BY-SA 4.0,https://stackoverflow.com/questions/71111367/opencv-throwing-dll-error-when-trying-to-open-image-using-cvimshow-c,Opencv throwing dll error when trying to open image using cv::imshow c++,1661799236.0,,,,
36,"['c++', 'algorithm', 'data-structures']","{'account_id': 17548620, 'reputation': 5, 'user_id': 12729424, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-HtcdGnsdKDA/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rds25OqDVhVS1TX4ugUn2Qqenhrkg/photo.jpg?sz=256', 'display_name': 'Shivansh Mehrotra', 'link': 'https://stackoverflow.com/users/12729424/shivansh-mehrotra'}",False,1358,,1,-3,1661524175,1645306807,71189428,CC BY-SA 4.0,https://stackoverflow.com/questions/71189428/find-triplets-such-that-their-sum-is-divisible-by-3-can-this-be-solved-in-on2,Find triplets such that their sum is divisible by 3. Can this be solved in O(n^2) or any other optimization?,,,,,
37,"['c++', 'parameter-passing', 'pass-by-reference', 'template-classes']","{'account_id': 2694841, 'reputation': 75, 'user_id': 2327200, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b82b8af12de85722bcc340fc1eebd589?s=256&d=identicon&r=PG', 'display_name': 'Attila Fenyvesi', 'link': 'https://stackoverflow.com/users/2327200/attila-fenyvesi'}",True,307,,2,1,1661512313,1645640366,71242191,CC BY-SA 4.0,https://stackoverflow.com/questions/71242191/how-to-pass-a-template-class-as-a-function-argument-without-c7568-error,How to pass a template class as a function argument without C7568 error,1645641475.0,,,,
38,"['c++', 'debugging', 'visual-studio-code', 'cmake', 'vscode-debugger']","{'account_id': 13948462, 'reputation': 127, 'user_id': 10072623, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-3KHX5nJWiYI/AAAAAAAAAAI/AAAAAAAAAAA/AAnnY7pCEyG5qnS8MgvJ3SubL7a26AVMMg/mo/photo.jpg?sz=256', 'display_name': 'aks', 'link': 'https://stackoverflow.com/users/10072623/aks'}",False,965,,1,0,1661503292,1643924851,70978738,CC BY-SA 4.0,https://stackoverflow.com/questions/70978738/in-vscode-unable-to-use-args-in-launch-json-to-pass-command-line-arguments-to-c,"In VSCode, unable to use args in launch.json to pass command-line arguments to C++ project using cmake",1643925913.0,,,,
39,"['c++', 'build-system', 'premake']","{'account_id': 24330778, 'reputation': 1, 'user_id': 18269659, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/52a25bb1a6a0fe9667479549aa7d6090?s=256&d=identicon&r=PG', 'display_name': 'Tom Stevens', 'link': 'https://stackoverflow.com/users/18269659/tom-stevens'}",False,148,,0,0,1661376536,1645479253,71213282,CC BY-SA 4.0,https://stackoverflow.com/questions/71213282/premake-makes-wrong-configurations-that-wont-build,Premake makes wrong configurations that wont build,1661376536.0,,,,
40,"['c++', 'std', 'move', 'move-constructor', 'move-assignment-operator']","{'account_id': 965354, 'reputation': 4713, 'user_id': 988870, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://i.stack.imgur.com/C1RC8.jpg?s=256&g=1', 'display_name': 'Jarrod Smith', 'link': 'https://stackoverflow.com/users/988870/jarrod-smith'}",True,203,71248070.0,1,6,1661329987,1645682535,71247774,CC BY-SA 4.0,https://stackoverflow.com/questions/71247774/stdvector-move-assignment-vs-move-construction-why-is-the-state-of-other-no,std::vector move assignment vs move construction: why is the state of &#39;other&#39; not consistent?,1661329987.0,,,,
41,"['android', 'c++', 'opencv', 'ndk-build']","{'account_id': 13349049, 'reputation': 349, 'user_id': 9634786, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/wYe0d.jpg?s=256&g=1', 'display_name': 'ashwinjoseph', 'link': 'https://stackoverflow.com/users/9634786/ashwinjoseph'}",True,59,71158178.0,1,0,1661253915,1644935974,71128354,CC BY-SA 4.0,https://stackoverflow.com/questions/71128354/issue-using-functions-from-opencv-shared-libraries-cross-compiled-for-android,Issue using functions from opencv shared libraries cross compiled for android,1661253915.0,,,,
42,"['c++', 'visual-studio']","{'account_id': 6248182, 'reputation': 1270, 'user_id': 4859268, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/434108cc24f67b8f47c3032894e72423?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bob', 'link': 'https://stackoverflow.com/users/4859268/bob'}",True,250,71080896.0,1,0,1661225803,1644569308,71077289,CC BY-SA 4.0,https://stackoverflow.com/questions/71077289/microsoft-cppcommon-targets-the-specified-task-executable-cmd-exe-could-not-b,Microsoft.CppCommon.targets: The specified task executable &quot;cmd.exe&quot; could not be run. Because the file contains a virus,,,,,
43,"['c++', 'pointers']","{'account_id': 21135313, 'reputation': 1, 'user_id': 15538881, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/vS3KG.png?s=256&g=1', 'display_name': 'zain ul din', 'link': 'https://stackoverflow.com/users/15538881/zain-ul-din'}",True,888,72242742.0,6,-2,1661159297,1644059367,70997431,,https://stackoverflow.com/questions/70997431/how-to-check-c-pointer-pointing-to-invalid-memory-address,How to check c++ pointer pointing to invalid memory address?,1661159297.0,1661155517.0,Duplicate,,
44,"['c++', 'utf', 'icu', 'breakiterator', 'grapheme-cluster']","{'account_id': 7981574, 'reputation': 83, 'user_id': 6022697, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-AwhWbTIORYE/AAAAAAAAAAI/AAAAAAAAKRs/efrpAKUoBnA/photo.jpg?sz=256', 'display_name': 'Nick Deguillaume', 'link': 'https://stackoverflow.com/users/6022697/nick-deguillaume'}",True,205,71011579.0,2,2,1661067558,1644179086,71011343,CC BY-SA 4.0,https://stackoverflow.com/questions/71011343/maximum-number-of-codepoints-in-a-grapheme-cluster,Maximum number of codepoints in a grapheme cluster,1644179405.0,,,,
45,['c++'],"{'account_id': 24270643, 'reputation': 1, 'user_id': 18218765, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/536acc6d8377a99f5253da183344cb03?s=256&d=identicon&r=PG', 'display_name': 'OGanunobyfan1629', 'link': 'https://stackoverflow.com/users/18218765/oganunobyfan1629'}",True,224,71135518.0,2,-2,1661050882,1644975474,71135432,CC BY-SA 4.0,https://stackoverflow.com/questions/71135432/trying-to-validate-double-as-only-numbers,Trying to validate double as only numbers,1644978969.0,,,,
46,"['c++', 'qt', 'qt-creator', 'qtwebengine']","{'account_id': 250529, 'reputation': 11518, 'user_id': 527312, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://i.stack.imgur.com/q9l9m.jpg?s=256&g=1', 'display_name': 'ktm5124', 'link': 'https://stackoverflow.com/users/527312/ktm5124'}",True,497,,1,2,1660997019,1644621975,71087633,CC BY-SA 4.0,https://stackoverflow.com/questions/71087633/getting-the-error-unknown-module-in-qt-positioning-in-qt-creator-when-trying,"Getting the error &quot;Unknown module in QT: positioning&quot; in Qt Creator, when trying to run the SimpleBrowser example",1644622332.0,,,,
