,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date,community_owned_date,migrated_from,locked_date
10,"['c++', 'temporary-objects']","{'account_id': 382930, 'reputation': 819, 'user_id': 738471, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/3dd49a8b666213007bc367e7291f5469?s=256&d=identicon&r=PG', 'display_name': 'user738471', 'link': 'https://stackoverflow.com/users/738471/user738471'}",True,22751,,4,63,1666877592,1355253187,13826897,,https://stackoverflow.com/questions/13826897/why-not-non-const-reference-to-temporary-objects,Why not non-const reference to temporary objects?,1569241506.0,1606276762.0,Duplicate,,,,
11,"['c++', 'opencv', 'webcam', 'skype']","{'account_id': 1552685, 'reputation': 597, 'user_id': 1444717, 'user_type': 'registered', 'accept_rate': 33, 'profile_image': 'https://www.gravatar.com/avatar/449c91d2d17c5ff83124dc244913e22e?s=256&d=identicon&r=PG', 'display_name': 'Jackson Dean Goodwin', 'link': 'https://stackoverflow.com/users/1444717/jackson-dean-goodwin'}",False,8168,,1,3,1665576075,1354599401,13696742,CC BY-SA 4.0,https://stackoverflow.com/questions/13696742/in-opencv-setting-exposure-causes-my-webcam-software-to-not-automatically-adjus,"In OpenCV, setting exposure causes my webcam software to not automatically adjust exposure",1610327284.0,,,,,,
12,"['c++', 'math', 'angle']","{'account_id': 134440, 'reputation': 19864, 'user_id': 336578, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/02875c01303f56c0c9c72dfcd49aac05?s=256&d=identicon&r=PG', 'display_name': 'Mircea Ispas', 'link': 'https://stackoverflow.com/users/336578/mircea-ispas'}",True,98500,16544330.0,10,109,1665298292,1356684680,14066933,CC BY-SA 3.0,https://stackoverflow.com/questions/14066933/direct-way-of-computing-clockwise-angle-between-2-vectors,Direct way of computing clockwise angle between 2 vectors,,,,,,,
13,"['c++', 'windows', 'forms', 'dll', 'visual-studio-2012']","{'account_id': 1053760, 'reputation': 317, 'user_id': 1056949, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/bdbb517f3e4ee015b59b368595bc091c?s=256&d=identicon&r=PG', 'display_name': 'connorbp', 'link': 'https://stackoverflow.com/users/1056949/connorbp'}",False,9150,,1,1,1664939336,1356382867,14025655,CC BY-SA 3.0,https://stackoverflow.com/questions/14025655/c-error-name-followed-by-must-be-a-class-or-namespace-name-windowsform,C++ Error: name followed by &#39;::&#39; must be a class or namespace name. WindowsForm in DLL,,,,,,,
14,"['c++', 'matrix', 'point-clouds', 'point-cloud-library']","{'account_id': 79704, 'reputation': 15535, 'user_id': 225814, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://i.stack.imgur.com/UvqyR.png?s=256&g=1', 'display_name': 'Aly', 'link': 'https://stackoverflow.com/users/225814/aly'}",True,15492,13881422.0,3,1,1664912154,1355497240,13881100,CC BY-SA 3.0,https://stackoverflow.com/questions/13881100/how-to-rotate-point-cloud-about-an-axis,How to rotate point cloud about an axis?,1366285159.0,,,,,,
15,"['c++', 'stl', 'c++11']","{'account_id': 2100549, 'reputation': 1443, 'user_id': 1872993, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/41e9c2c0f9b961d684d3ddf42942281d?s=256&d=identicon&r=PG', 'display_name': 'Stijn Frishert', 'link': 'https://stackoverflow.com/users/1872993/stijn-frishert'}",True,60858,13686914.0,10,75,1664898419,1354548864,13686482,CC BY-SA 3.0,https://stackoverflow.com/questions/13686482/c11-stdto-stringdouble-no-trailing-zeros,C++11 std::to_string(double) - No trailing zeros,1354555592.0,,,,,,
16,"['c++', 'templates', 'sfinae']","{'account_id': 38717, 'reputation': 63109, 'user_id': 111307, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/Sdydt.png?s=256&g=1', 'display_name': 'bobobobo', 'link': 'https://stackoverflow.com/users/111307/bobobobo'}",True,32749,13787502.0,8,33,1664822148,1355051568,13786888,CC BY-SA 3.0,https://stackoverflow.com/questions/13786888/check-if-member-exists-using-enable-if,check if member exists using enable_if,1495540481.0,,,,,,
17,"['c++', 'c', 'linux', 'infinite-loop', 'daemon']","{'account_id': 196922, 'reputation': 15147, 'user_id': 440646, 'user_type': 'registered', 'accept_rate': 51, 'profile_image': 'https://www.gravatar.com/avatar/100a92bf127fb31cfd90962ac793baf5?s=256&d=identicon&r=PG', 'display_name': 'resting', 'link': 'https://stackoverflow.com/users/440646/resting'}",True,18549,13680552.0,3,27,1664615954,1354527551,13680512,CC BY-SA 4.0,https://stackoverflow.com/questions/13680512/does-endless-while-loop-take-up-cpu-resources,Does endless While loop take up CPU resources?,1664615954.0,,,,,,
18,"['c++', 'directory', 'ms-project']","{'account_id': 2167754, 'reputation': 9, 'user_id': 1920465, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-f448E3fL5t8/AAAAAAAAAAI/AAAAAAAAADM/_t_6K7q02pE/photo.jpg?sz=256', 'display_name': 'allc1865', 'link': 'https://stackoverflow.com/users/1920465/allc1865'}",False,7929,,2,0,1664535660,1356057571,13983569,CC BY-SA 3.0,https://stackoverflow.com/questions/13983569/where-is-the-project-directory-in-microsoft-visual-studio,Where is the Project Directory in Microsoft Visual Studio?,1395178401.0,,,,,,
19,"['c++', 'performance', 'getter-setter']","{'account_id': 1978904, 'reputation': 1487, 'user_id': 1775989, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://i.stack.imgur.com/jXJEc.jpg?s=256&g=1', 'display_name': 'sgtHale', 'link': 'https://stackoverflow.com/users/1775989/sgthale'}",True,13790,13853561.0,5,44,1663895789,1355375817,13853424,CC BY-SA 3.0,https://stackoverflow.com/questions/13853424/getters-and-setters-is-there-performance-overhead,Getters and Setters. Is there performance overhead?,1355377170.0,,,,,,
20,"['c++', 'c', 'ffmpeg', 'thread-safety', 'libav']","{'account_id': 1996279, 'reputation': 167, 'user_id': 1846448, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/515691d4e22249132e49947130a52959?s=256&d=identicon&r=PG', 'display_name': 'user71512', 'link': 'https://stackoverflow.com/users/1846448/user71512'}",True,6281,13896657.0,2,6,1663188506,1355540463,13888915,CC BY-SA 4.0,https://stackoverflow.com/questions/13888915/thread-safety-of-libav-ffmpeg,Thread Safety of LibAv/FFMpeg?,1663180001.0,,,,,,
21,"['c++', 'bytearray', 'wchar-t', 'lptstr']","{'account_id': 245596, 'reputation': 313, 'user_id': 519173, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/dbeefe17ba27b08387709b7fc593926c?s=256&d=identicon&r=PG', 'display_name': 'Christopher MacKinnon', 'link': 'https://stackoverflow.com/users/519173/christopher-mackinnon'}",True,12519,13887435.0,1,2,1662590652,1355525376,13887348,CC BY-SA 3.0,https://stackoverflow.com/questions/13887348/converting-contents-of-a-byte-array-to-wchar-t,Converting contents of a byte array to wchar_t*,,,,,,,
22,"['c++', 'boost-asio', 'protocol-buffers']","{'account_id': 989190, 'reputation': 103, 'user_id': 1006926, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/09cee2f249754c3000ba434bbfd52d29?s=256&d=identicon&r=PG', 'display_name': 'indiosmo', 'link': 'https://stackoverflow.com/users/1006926/indiosmo'}",True,12949,13934245.0,2,10,1662114229,1355835524,13933587,CC BY-SA 3.0,https://stackoverflow.com/questions/13933587/google-protocol-buffers-missing-required-fields-even-though-all-the-fields-are,Google Protocol Buffers - Missing required fields even though all the fields are apparently present,1355837765.0,,,,,,
23,"['c++', 'pointers']","{'account_id': 366731, 'reputation': 3871, 'user_id': 712452, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/ab5a5d9538603a393f64dadf11367295?s=256&d=identicon&r=PG&f=1', 'display_name': 'smttsp', 'link': 'https://stackoverflow.com/users/712452/smttsp'}",True,1868,13910437.0,4,1,1661987949,1355731702,13910408,CC BY-SA 3.0,https://stackoverflow.com/questions/13910408/what-is-the-meaning-of-void,what is the meaning of (void*)&amp;,1355731958.0,,,,,,
24,['c++'],"{'account_id': 1156140, 'reputation': 24038, 'user_id': 1136700, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/e484894210178f84679e4e35695ff8ac?s=256&d=identicon&r=PG', 'display_name': 'Adam Lee', 'link': 'https://stackoverflow.com/users/1136700/adam-lee'}",True,2459,13659825.0,1,10,1661929042,1354367767,13659798,CC BY-SA 3.0,https://stackoverflow.com/questions/13659798/does-stdendl-work-with-both-cout-and-wcout,Does std::endl work with both cout and wcout?,,,,,,,
25,"['c++', 'stl']","{'account_id': 127157, 'reputation': 1921, 'user_id': 324137, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/61decf2582f3c02548c886f0be35e738?s=256&d=identicon&r=PG', 'display_name': 'fogbit', 'link': 'https://stackoverflow.com/users/324137/fogbit'}",True,17612,13934144.0,5,18,1661818944,1355837341,13934085,CC BY-SA 3.0,https://stackoverflow.com/questions/13934085/stdfind-on-a-legacy-array,std::find on a legacy array,,,,,,,
26,"['c++', 'c', 'macros', 'c-preprocessor']","{'account_id': 1003777, 'reputation': 1995, 'user_id': 1038007, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/ea2290c08b1e545167a444c6634a3e19?s=256&d=identicon&r=PG', 'display_name': 'PoP', 'link': 'https://stackoverflow.com/users/1038007/pop'}",True,50944,13842784.0,8,125,1661466672,1355324422,13842468,CC BY-SA 3.0,https://stackoverflow.com/questions/13842468/comma-in-c-c-macro,Comma in C/C++ macro,1481848096.0,,,,,,
27,"['c++', 'dictionary', 'for-loop', 'printing', 'std-pair']","{'account_id': 1523992, 'reputation': 975, 'user_id': 1422866, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/a60f009f010ce737a6150ed3db79cfcf?s=256&d=identicon&r=PG', 'display_name': 'Zhi Rui', 'link': 'https://stackoverflow.com/users/1422866/zhi-rui'}",True,299491,14070977.0,5,82,1661448418,1356704692,14070940,CC BY-SA 4.0,https://stackoverflow.com/questions/14070940/how-can-i-print-out-c-map-values,How can I print out C++ map values?,1553165442.0,,,,,,
28,"['c++', 'c', 'endianness']","{'account_id': 1097930, 'reputation': 10467, 'user_id': 1091116, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/15098b2b940cacd8b4d07026e01e3102?s=256&d=identicon&r=PG', 'display_name': 'd33tah', 'link': 'https://stackoverflow.com/users/1091116/d33tah'}",True,22334,13995796.0,7,38,1660968020,1356111416,13994674,CC BY-SA 3.0,https://stackoverflow.com/questions/13994674/how-to-write-endian-agnostic-c-c-code,How to write endian agnostic C/C++ code?,,,,,,,
29,"['c++', 'multithreading', 'qt']","{'account_id': 268563, 'reputation': 673, 'user_id': 557384, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/0b14be55912d14aaeaff329cb8dca641?s=256&d=identicon&r=PG', 'display_name': 'Piotr Trochim', 'link': 'https://stackoverflow.com/users/557384/piotr-trochim'}",True,7612,17597308.0,2,3,1660379578,1355999348,13970070,CC BY-SA 3.0,https://stackoverflow.com/questions/13970070/moving-an-object-to-a-different-thread,moving an object to a different thread,1355999749.0,,,,,,
30,"['c++', 'algorithm', 'negative-number']","{'account_id': 917853, 'reputation': 4156, 'user_id': 950252, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/7f37c565b468e7ecd624b4a7a99bbbaa?s=256&d=identicon&r=PG', 'display_name': 'Justin', 'link': 'https://stackoverflow.com/users/950252/justin'}",True,27664,13767782.0,7,9,1659086889,1354900180,13767744,CC BY-SA 3.0,https://stackoverflow.com/questions/13767744/detecting-and-adjusting-for-negative-zero,Detecting and adjusting for negative zero,1354912000.0,,,,,,
31,"['c++', 'googletest', 'googlemock']","{'account_id': 1537891, 'reputation': 91, 'user_id': 1433354, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/94734f378174cc32ba46e3dc6cb4b18a?s=256&d=identicon&r=PG', 'display_name': 'udhai_coder', 'link': 'https://stackoverflow.com/users/1433354/udhai-coder'}",False,224,,0,0,1658805684,1354526798,13680320,CC BY-SA 4.0,https://stackoverflow.com/questions/13680320/memory-corruption-while-setting-value-inside-gmock-wrap-function,Memory corruption while setting value inside GMock Wrap function,1658805684.0,,,,,,
32,"['c++', 'googlemock']","{'account_id': 1298334, 'reputation': 5666, 'user_id': 1248779, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/8a7f90eda5da78d84bc374fdc5000d55?s=256&d=identicon&r=PG', 'display_name': 'Kam', 'link': 'https://stackoverflow.com/users/1248779/kam'}",True,1681,13805017.0,1,2,1658805679,1355156379,13804838,CC BY-SA 4.0,https://stackoverflow.com/questions/13804838/mocking-pthread-create-using-gmock,Mocking pthread_create using gmock,1658805679.0,,,,,,
33,"['c++', 'mocking', 'googlemock']","{'account_id': 124190, 'reputation': 4877, 'user_id': 319124, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/46900f12adc06cc0d80a8fc50d56e523?s=256&d=identicon&r=PG', 'display_name': 'Ralph Zhang', 'link': 'https://stackoverflow.com/users/319124/ralph-zhang'}",True,15109,13935915.0,1,4,1658805674,1355808074,13926769,CC BY-SA 4.0,https://stackoverflow.com/questions/13926769/use-google-mocks-expect-that-in-expect-call,Use google mock&#39;s EXPECT_THAT in EXPECT_CALL?,1658805674.0,,,,,,
34,"['c++', 'floating-point', 'language-lawyer', 'ieee-754']","{'account_id': 401732, 'reputation': 68898, 'user_id': 768469, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/383724e63ab04b146277912c16f27f54?s=256&d=identicon&r=PG', 'display_name': 'Nemo', 'link': 'https://stackoverflow.com/users/768469/nemo'}",True,5276,,4,26,1658584152,1355859825,13940316,CC BY-SA 3.0,https://stackoverflow.com/questions/13940316/floating-point-comparison-revisited,Floating point comparison revisited,1495539199.0,,,,,,
35,"['c++', 'stl']","{'account_id': 2067730, 'reputation': 37, 'user_id': 1842916, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ba2feb142d35681b900826a136777b46?s=256&d=identicon&r=PG', 'display_name': 'Vito Corleone', 'link': 'https://stackoverflow.com/users/1842916/vito-corleone'}",True,80,13775681.0,2,0,1658223913,1354953536,13775667,CC BY-SA 4.0,https://stackoverflow.com/questions/13775667/c-multimap-is-showing-unintended-output,C++: multimap is showing unintended output,1658223913.0,,,,,,
36,"['c++', 'python', 'boost', 'boost-python']","{'account_id': 2111551, 'reputation': 16792, 'user_id': 1876739, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://i.stack.imgur.com/QOK17.jpg?s=256&g=1', 'display_name': 'Ram&#243;n J Romero y Vigil', 'link': 'https://stackoverflow.com/users/1876739/ram%c3%b3n-j-romero-y-vigil'}",True,5032,13730573.0,3,6,1658168002,1354726687,13728412,CC BY-SA 4.0,https://stackoverflow.com/questions/13728412/boost-python-method-calls-with-reference-arguments,boost python method calls with reference arguments,1658168002.0,,,,,,
37,"['c++', 'linker', 'mingw', 'command-line-arguments', 'codeblocks']","{'account_id': 932526, 'reputation': 59146, 'user_id': 962089, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/b6SVs.jpg?s=256&g=1', 'display_name': 'chris', 'link': 'https://stackoverflow.com/users/962089/chris'}",True,3057,13974896.0,1,12,1658111714,1355889702,13945298,CC BY-SA 4.0,https://stackoverflow.com/questions/13945298/how-can-i-specify-the-subsystem-in-the-codeblocks-additional-linker-options,How can I specify the subsystem in the CodeBlocks additional linker options?,1658111714.0,,,,,,
38,"['c++', 'winapi', 'directory']","{'account_id': 167954, 'reputation': 27157, 'user_id': 393087, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/fe541f7ee2308f46a19230cb3a4b4d06?s=256&d=identicon&r=PG', 'display_name': 'rsk82', 'link': 'https://stackoverflow.com/users/393087/rsk82'}",True,964,13881418.0,2,1,1658074244,1355496159,13880824,CC BY-SA 3.0,https://stackoverflow.com/questions/13880824/how-to-count-number-of-items-in-given-directory-using-pure-c-or-winapi,how to count number of items in given directory using pure c++ or winapi?,,,,,,,
39,"['c++', 'c++11', 'code-duplication', 'iomanip']","{'account_id': 137639, 'reputation': 55456, 'user_id': 341970, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/5093adc2a413ad6b572ed13d158a0916?s=256&d=identicon&r=PG', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/341970/ali'}",True,441,14085008.0,6,4,1657696890,1356806271,14084762,CC BY-SA 3.0,https://stackoverflow.com/questions/14084762/how-to-print-a-bunch-of-integers-with-the-same-formatting,How to print a bunch of integers with the same formatting?,1356974644.0,,,,,,
40,"['c++', 'iteration', 'cout', 'pythagorean', 'triangle-count']","{'account_id': 391579, 'reputation': 830, 'user_id': 1650109, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/5NDH6.png?s=256&g=1', 'display_name': 'Petrus K.', 'link': 'https://stackoverflow.com/users/1650109/petrus-k'}",True,1060,13780241.0,1,0,1657696607,1354989154,13780170,CC BY-SA 4.0,https://stackoverflow.com/questions/13780170/finding-all-possible-pythagorean-triangles-within-a-set-of-triangles,Finding all possible pythagorean triangles within a set of triangles,1657696607.0,,,,,,
41,"['c++', 'mingw', 'static-linking']","{'account_id': 167954, 'reputation': 27157, 'user_id': 393087, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/fe541f7ee2308f46a19230cb3a4b4d06?s=256&d=identicon&r=PG', 'display_name': 'rsk82', 'link': 'https://stackoverflow.com/users/393087/rsk82'}",True,74161,14031444.0,10,59,1657257409,1354903252,13768515,CC BY-SA 3.0,https://stackoverflow.com/questions/13768515/how-to-do-static-linking-of-libwinpthread-1-dll-in-mingw,how to do static linking of libwinpthread-1.dll in mingw?,,,,,,,
42,"['c++', 'types', 'floating-point', 'double', 'decimal']","{'account_id': 2114725, 'reputation': 847, 'user_id': 1879279, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/3f2d908ad72932511d548d27023d0952?s=256&d=identicon&r=PG', 'display_name': 'fpiro07', 'link': 'https://stackoverflow.com/users/1879279/fpiro07'}",True,64917,14096071.0,6,42,1657176595,1356912337,14096026,CC BY-SA 3.0,https://stackoverflow.com/questions/14096026/c-decimal-data-types,C++ decimal data types,,,,,,,
43,"['c++', 'visual-studio', 'tiff', 'binaryfiles', 'gdal']","{'account_id': 2141535, 'reputation': 63, 'user_id': 1900040, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8279ece67c9753a1e1dce48af09c6dcb?s=256&d=identicon&r=PG', 'display_name': 'Hardik', 'link': 'https://stackoverflow.com/users/1900040/hardik'}",True,1797,,2,2,1657130454,1355380989,13854439,CC BY-SA 4.0,https://stackoverflow.com/questions/13854439/how-to-read-binary-imagetif-in-c,How to read Binary image(tif) in c++?,1657130454.0,,,,,,
44,"['c++', 'string', 'visual-c++', 'hex']","{'account_id': 220846, 'reputation': 10303, 'user_id': 834239, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://i.stack.imgur.com/smpej.jpg?s=256&g=1', 'display_name': 'Amit Pal', 'link': 'https://stackoverflow.com/users/834239/amit-pal'}",True,63200,,5,21,1657034757,1356589991,14050452,CC BY-SA 3.0,https://stackoverflow.com/questions/14050452/how-to-convert-byte-array-to-hex-string-in-visual-c,How to convert Byte Array to hex string in visual c++?,1356590544.0,,,,,,
45,"['c++', 'precompile']","{'account_id': 1106092, 'reputation': 12384, 'user_id': 1097451, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/1516b785b675ba751aacdc05ae31764b?s=256&d=identicon&r=PG', 'display_name': 'Martin Drozdik', 'link': 'https://stackoverflow.com/users/1097451/martin-drozdik'}",True,490,13677247.0,4,0,1656626071,1354508545,13677100,CC BY-SA 3.0,https://stackoverflow.com/questions/13677100/how-to-make-the-c-precompiler-do-a-loop,How to make the C++ precompiler do a &quot;loop&quot;,,,,,,,
46,"['c++', 'stl', 'deque']","{'account_id': 1367155, 'reputation': 872, 'user_id': 1303358, 'user_type': 'registered', 'accept_rate': 53, 'profile_image': 'https://www.gravatar.com/avatar/61f5a37164724d9a3da4c99747c85095?s=256&d=identicon&r=PG', 'display_name': 'MarkB', 'link': 'https://stackoverflow.com/users/1303358/markb'}",False,2364,,3,5,1656624456,1356091387,13989835,CC BY-SA 3.0,https://stackoverflow.com/questions/13989835/dealing-with-deque-block-size-causing-performance-issues,Dealing with deque block size causing performance issues,1495541553.0,,,,,,
47,['c++'],"{'account_id': 907666, 'reputation': 933, 'user_id': 942218, 'user_type': 'registered', 'accept_rate': 36, 'profile_image': 'https://www.gravatar.com/avatar/0abe51a9fcb000452afeb44794afa531?s=256&d=identicon&r=PG', 'display_name': 'ZAB', 'link': 'https://stackoverflow.com/users/942218/zab'}",True,2900,55319496.0,2,1,1655992398,1354377572,13661074,CC BY-SA 4.0,https://stackoverflow.com/questions/13661074/forcing-local-variables-to-be-default-initialized,Forcing local variables to be default-initialized,1553292412.0,,,,,,
