,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,protected_date,closed_date,closed_reason,community_owned_date,migrated_from,locked_date
17,['c++'],"{'account_id': 892036, 'reputation': 1557, 'user_id': 930095, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/e94150ebae3b0186d01040c1b7ad2391?s=256&d=identicon&r=PG', 'display_name': 'Danqi Wang', 'link': 'https://stackoverflow.com/users/930095/danqi-wang'}",True,9243,11044592.0,3,15,1661925956,1339733691,11044504,CC BY-SA 3.0,https://stackoverflow.com/questions/11044504/any-solution-to-unpack-a-vector-to-function-arguments-in-c,Any Solution to Unpack a Vector to Function Arguments in C++?,,,,,,,
18,"['c++', 'visual-studio-2010', 'user-interface', 'mfc']","{'account_id': 352211, 'reputation': 2073, 'user_id': 689154, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/14cac0f033cdf90b496e8653dc760fb0?s=256&d=identicon&r=PG', 'display_name': 'Marcus Barnet', 'link': 'https://stackoverflow.com/users/689154/marcus-barnet'}",True,43701,11066024.0,3,5,1661703754,1339870568,11065919,CC BY-SA 3.0,https://stackoverflow.com/questions/11065919/read-text-from-edit-control-in-mfc-and-vs2010,Read text from edit control in MFC and VS2010,1349901486.0,,,,,,
19,"['c++', 'bit-fields']","{'account_id': 1534318, 'reputation': 149, 'user_id': 1430759, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/6f3d0e4eeacbeae2fa0621c79cf1e469?s=256&d=identicon&r=PG', 'display_name': 'Irina', 'link': 'https://stackoverflow.com/users/1430759/irina'}",True,17384,10852122.0,5,10,1661442781,1338558017,10851396,CC BY-SA 3.0,https://stackoverflow.com/questions/10851396/how-to-assign-value-to-a-struct-with-bit-fields,How to assign value to a struct with bit-fields?,1338805247.0,,,,,,
20,"['c++', 'gcc']","{'account_id': 399106, 'reputation': 686, 'user_id': 764216, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/6977d438e94007c2340e59d0aada0c3c?s=256&d=identicon&r=PG', 'display_name': 'subodh1989', 'link': 'https://stackoverflow.com/users/764216/subodh1989'}",True,13426,11153255.0,3,1,1661240671,1340355749,11153152,CC BY-SA 3.0,https://stackoverflow.com/questions/11153152/error-strstream-h-no-such-file-or-directory,error: strstream.h: No such file or directory,1340355918.0,,,,,,
21,"['c++', 'time']","{'account_id': 1588685, 'reputation': 1821, 'user_id': 1472493, 'user_type': 'registered', 'accept_rate': 42, 'profile_image': 'https://www.gravatar.com/avatar/24e3362830e8f868dabbae5976ebd3cb?s=256&d=identicon&r=PG', 'display_name': 'R11G', 'link': 'https://stackoverflow.com/users/1472493/r11g'}",True,139296,11213640.0,5,49,1661232096,1340733887,11213326,CC BY-SA 3.0,https://stackoverflow.com/questions/11213326/how-to-convert-a-string-variable-containing-time-to-time-t-type-in-c,How to convert a string variable containing time to time_t type in c++?,,,,,,,
22,"['c++', 'quaternions', 'glm-math']","{'account_id': 1540022, 'reputation': 344, 'user_id': 1434909, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/532f9a12cebf046de77e4ad883b895c1?s=256&d=identicon&r=PG', 'display_name': 'minime', 'link': 'https://stackoverflow.com/users/1434909/minime'}",True,863,10906854.0,1,1,1660747658,1338806103,10879896,CC BY-SA 4.0,https://stackoverflow.com/questions/10879896/quaternion-inverts-vector,quaternion inverts vector,1660747658.0,,,,,,
23,"['c++', 'c++11', 'std']","{'account_id': 454585, 'reputation': 25297, 'user_id': 852254, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/HU9ak.jpg?s=256&g=1', 'display_name': 'David Stone', 'link': 'https://stackoverflow.com/users/852254/david-stone'}",True,78314,36919571.0,6,291,1660566009,1338861705,10890653,CC BY-SA 3.0,https://stackoverflow.com/questions/10890653/why-would-i-ever-use-push-back-instead-of-emplace-back,Why would I ever use push_back instead of emplace_back?,1338862165.0,,,,,,
24,"['c++', 'cmake']","{'account_id': 1269485, 'reputation': 2261, 'user_id': 1230497, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/4954ba595455c05874fcd5f99fdd896e?s=256&d=identicon&r=PG', 'display_name': 'Eric', 'link': 'https://stackoverflow.com/users/1230497/eric'}",True,17158,10973278.0,3,37,1660334787,1339364598,10972577,CC BY-SA 3.0,https://stackoverflow.com/questions/10972577/c-cmake-add-non-built-files,C++ CMake (add non-built files),,,,,,,
25,"['c++', 'c']","{'account_id': 945318, 'reputation': 7826, 'user_id': 972671, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/d60679aa1bf8f8400d3953e7dc78d2db?s=256&d=identicon&r=PG', 'display_name': 'Kingfisher Phuoc', 'link': 'https://stackoverflow.com/users/972671/kingfisher-phuoc'}",True,7532,11072297.0,6,3,1659948048,1339944652,11072202,,https://stackoverflow.com/questions/11072202/what-is-the-purpose-of-bit-shifting,What is the purpose of bit shifting?,1649147984.0,,1340038550.0,not a real question,,,
26,"['c++', 'windows', 'winapi', 'shutdown', 'system-administration']","{'account_id': 1076417, 'reputation': 508, 'user_id': 1074458, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/c8132fcbebfc90ae01804133ab3fd59a?s=256&d=identicon&r=PG', 'display_name': 'VisaToHell', 'link': 'https://stackoverflow.com/users/1074458/visatohell'}",True,1427,11004669.0,2,1,1659117858,1339526376,11002779,CC BY-SA 4.0,https://stackoverflow.com/questions/11002779/abortsystemshutdown-on-windows-7-not-working,AbortSystemShutdown on Windows 7 not working,1659117858.0,,,,,,
27,"['c++', 'sockets', 'unix']","{'account_id': 1542971, 'reputation': 3, 'user_id': 1437167, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f6f710815d747e0640a6143d45efc990?s=256&d=identicon&r=PG', 'display_name': 'user1437167', 'link': 'https://stackoverflow.com/users/1437167/user1437167'}",True,570,10897129.0,1,0,1657883146,1338893932,10896075,CC BY-SA 3.0,https://stackoverflow.com/questions/10896075/are-unix-multicast-sockets-thread-safe,Are Unix multicast sockets thread safe?,1338894360.0,,,,,,
28,"['c++', 'arrays', 'string', 'c++11', 'std']","{'account_id': 1138026, 'reputation': 924, 'user_id': 1122664, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/b45e5f524cf580d7b1c8262297aa51bc?s=256&d=identicon&r=PG', 'display_name': 'Jonathan Evans', 'link': 'https://stackoverflow.com/users/1122664/jonathan-evans'}",True,26755,10900381.0,2,28,1657868581,1338910567,10900345,CC BY-SA 3.0,https://stackoverflow.com/questions/10900345/stdarraychar-n-to-stdstring,"std::array&lt;char, N&gt; to std::string",1338916789.0,,,,,,
29,"['c++', 'scope', 'destructor']","{'account_id': 461975, 'reputation': 6405, 'user_id': 864027, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/0f66758df76ae7ce0f06aacd0cb3348b?s=256&d=identicon&r=PG', 'display_name': 'Daniel', 'link': 'https://stackoverflow.com/users/864027/daniel'}",True,2179,11163318.0,9,2,1656612138,1340394898,11163212,CC BY-SA 3.0,https://stackoverflow.com/questions/11163212/stack-allocated-objects-still-taking-memory-after-going-out-of-scope,Stack-allocated objects still taking memory after going out of scope?,,,,,,,
30,"['c++', 'random', 'language-agnostic', 'modulo']","{'account_id': 1511900, 'reputation': 8859, 'user_id': 1413793, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/8c593877e04020316731318e597c80e4?s=256&d=identicon&r=PG&f=1', 'display_name': 'user1413793', 'link': 'https://stackoverflow.com/users/1413793/user1413793'}",True,65441,10984975.0,10,323,1656325199,1339436643,10984974,CC BY-SA 3.0,https://stackoverflow.com/questions/10984974/why-do-people-say-there-is-modulo-bias-when-using-a-random-number-generator,Why do people say there is modulo bias when using a random number generator?,1459594241.0,,,,,,
31,"['c++', 'c++11', 'unique-ptr', 'boost-multi-array', 'boost-optional']","{'account_id': 73298, 'reputation': 32434, 'user_id': 211160, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://i.stack.imgur.com/Z2fk7.png?s=256&g=1', 'display_name': 'HostileFork says dont trust SE', 'link': 'https://stackoverflow.com/users/211160/hostilefork-says-dont-trust-se'}",False,803,,1,5,1655067842,1339965534,11074619,CC BY-SA 3.0,https://stackoverflow.com/questions/11074619/mixing-boosts-multi-array-and-optional-with-c11-unique-ptr-not-working,Mixing boost&#39;s multi_array and optional with C++11 unique_ptr not working,1495542127.0,,,,,,
32,"['c++', 'conditional-operator', 'comma-operator']","{'account_id': 1566302, 'reputation': 327, 'user_id': 1455037, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://i.stack.imgur.com/JoeYj.jpg?s=256&g=1', 'display_name': 'erasmus77', 'link': 'https://stackoverflow.com/users/1455037/erasmus77'}",True,164,11025251.0,4,3,1654964324,1339633576,11025231,CC BY-SA 4.0,https://stackoverflow.com/questions/11025231/cannot-understand-comma-expression,Cannot understand comma expression,1654964324.0,,,,,,
33,"['c++', 'winsock', 'recv', 'peek']","{'account_id': 134685, 'reputation': 13750, 'user_id': 510036, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://www.gravatar.com/avatar/b7c510641e6526d19abc93e866e75ac8?s=256&d=identicon&r=PG', 'display_name': 'Qix - MONICA WAS MISTREATED', 'link': 'https://stackoverflow.com/users/510036/qix-monica-was-mistreated'}",True,5434,11495754.0,4,1,1654804206,1340993106,11266783,CC BY-SA 3.0,https://stackoverflow.com/questions/11266783/recv-with-msg-peek-shows-full-message-but-returns-would-block-normally,recv() with MSG_PEEK shows full message but returns &#39;would block&#39; normally,1340994301.0,,,,,,
34,"['c++', 'mpi']","{'account_id': 950641, 'reputation': 1449, 'user_id': 976870, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/de0a5935202b416d66c0790eb73707ed?s=256&d=identicon&r=PG', 'display_name': 'peaceman', 'link': 'https://stackoverflow.com/users/976870/peaceman'}",True,4381,10853651.0,3,8,1654216475,1338555314,10850716,CC BY-SA 3.0,https://stackoverflow.com/questions/10850716/what-exactly-happens-when-we-use-mpi-send-receive-functions,What exactly happens when we use mpi_send/receive functions?,1338555851.0,,,,,,
35,"['c++', 'c', 'error-correction']","{'account_id': 1232228, 'reputation': 56394, 'user_id': 1196549, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/04014b30d40524c8316c5dce3d70164d?s=256&d=identicon&r=PG', 'display_name': 'Yves Daoust', 'link': 'https://stackoverflow.com/users/1196549/yves-daoust'}",True,13762,11243400.0,2,4,1653028957,1340881545,11243272,CC BY-SA 3.0,https://stackoverflow.com/questions/11243272/error-correcting-codes,Error correcting codes,1340881659.0,,,,,,
36,"['c++', 'c']","{'account_id': 1517048, 'reputation': 425, 'user_id': 1417815, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/334a7fb0e39cd41c241a7812e210ca71?s=256&d=identicon&r=PG', 'display_name': 'user1417815', 'link': 'https://stackoverflow.com/users/1417815/user1417815'}",True,55340,11151570.0,9,20,1651703310,1340348516,11151548,CC BY-SA 4.0,https://stackoverflow.com/questions/11151548/get-the-number-of-digits-in-an-int,Get the number of digits in an int,1566547467.0,,,,,,
37,"['c++', 'visual-c++', 'msbuild']","{'account_id': 412491, 'reputation': 946, 'user_id': 785581, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/2ae8804989a8987f96a391f57d3e27e5?s=256&d=identicon&r=PG', 'display_name': 'Andrey Epifantsev', 'link': 'https://stackoverflow.com/users/785581/andrey-epifantsev'}",True,18469,,2,23,1651565863,1340354942,11152961,CC BY-SA 3.0,https://stackoverflow.com/questions/11152961/msbuild-projectreference-item-documentation,MSBuild ProjectReference item documentation,1488217335.0,,,,,,
38,"['c++', 'stl', 'vector', 'unordered-map']","{'account_id': 1577281, 'reputation': 41, 'user_id': 1463416, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/91061c890f4b9369917cd5a3161b8323?s=256&d=identicon&r=PG', 'display_name': 'user1463416', 'link': 'https://stackoverflow.com/users/1463416/user1463416'}",True,40613,,3,4,1650656518,1340016682,11081308,CC BY-SA 4.0,https://stackoverflow.com/questions/11081308/how-do-i-insert-a-element-into-a-stdunordered-mapint-vectorobject,"How do I insert a element into a std::unordered_map&lt;int, vector&lt;Object*&gt;&gt;",1614199220.0,,,,,,
39,"['c++', 'global-variables', 'constants', 'configuration-files']","{'account_id': 1100050, 'reputation': 2944, 'user_id': 1092672, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/1e33e0f81d9a38e75c4d7e0b3f439579?s=256&d=identicon&r=PG', 'display_name': 'Cannoliopsida', 'link': 'https://stackoverflow.com/users/1092672/cannoliopsida'}",True,16574,10893759.0,4,20,1650187103,1338874898,10892167,CC BY-SA 3.0,https://stackoverflow.com/questions/10892167/proper-implementation-of-global-configuration,Proper implementation of global configuration,1338875213.0,,,,,,
40,"['c++', 'file', 'insert', 'cross-platform', 'insertion']","{'account_id': 297701, 'reputation': 2639, 'user_id': 603346, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/9fc6a6287e391c50af26ad5863431da8?s=256&d=identicon&r=PG', 'display_name': 'Thomas Ward', 'link': 'https://stackoverflow.com/users/603346/thomas-ward'}",True,8657,11108352.0,1,6,1650187077,1340135071,11108238,CC BY-SA 4.0,https://stackoverflow.com/questions/11108238/adding-text-and-lines-to-the-beginning-of-a-file,Adding text and lines to the beginning of a file,1650187077.0,,,,,,
41,"['c++', 'visual-studio-2010', 'opengl', 'openscenegraph']","{'account_id': 101309, 'reputation': 659, 'user_id': 272671, 'user_type': 'registered', 'accept_rate': 19, 'profile_image': 'https://www.gravatar.com/avatar/6c5523ea46606c193c21c75eaa589c12?s=256&d=identicon&r=PG', 'display_name': 'user272671', 'link': 'https://stackoverflow.com/users/272671/user272671'}",True,50088,,6,3,1649823850,1339104017,10940067,CC BY-SA 3.0,https://stackoverflow.com/questions/10940067/c-bad-alloc-at-memory-location-exception,C++ bad_alloc at memory location Exception,1339112504.0,,,,,,
42,"['c++', 'c', 'string', 'null-terminated']","{'account_id': 945318, 'reputation': 7826, 'user_id': 972671, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/d60679aa1bf8f8400d3953e7dc78d2db?s=256&d=identicon&r=PG', 'display_name': 'Kingfisher Phuoc', 'link': 'https://stackoverflow.com/users/972671/kingfisher-phuoc'}",True,63948,10943040.0,5,20,1649771965,1339129325,10943033,CC BY-SA 4.0,https://stackoverflow.com/questions/10943033/why-are-strings-in-c-usually-terminated-with-0,Why are strings in C++ usually terminated with &#39;\0&#39;?,1649771965.0,,,,,,
43,"['c++', 'python', 'include', 'cmake', 'kdevelop']","{'account_id': 473358, 'reputation': 1244, 'user_id': 882412, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://www.gravatar.com/avatar/b47e0ca7fb9b246927b5dc63a8e224e9?s=256&d=identicon&r=PG', 'display_name': 'Shubham Goyal', 'link': 'https://stackoverflow.com/users/882412/shubham-goyal'}",True,94072,11055816.0,6,45,1649719768,1339707757,11041299,CC BY-SA 3.0,https://stackoverflow.com/questions/11041299/python-h-no-such-file-or-directory,Python.h: No such file or directory,1339721507.0,,,,,,
44,"['c++', 'arrays', 'integer']","{'account_id': 364885, 'reputation': 4050, 'user_id': 709507, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/u5suM.jpg?s=256&g=1', 'display_name': 'Inside Man', 'link': 'https://stackoverflow.com/users/709507/inside-man'}",True,32567,11201049.0,6,8,1649493214,1340687105,11201015,CC BY-SA 4.0,https://stackoverflow.com/questions/11201015/converting-an-integer-array-into-a-number,Converting an Integer Array into a Number,1531958185.0,,,,,,
45,"['c++', 'variables', 'filenames', 'bgi']","{'account_id': 1377097, 'reputation': 89, 'user_id': 2072690, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/9d8a0614bd6ee0431f42d017c7a61ae5?s=256&d=identicon&r=PG', 'display_name': 'quasipsychotic', 'link': 'https://stackoverflow.com/users/2072690/quasipsychotic'}",True,4195,10854539.0,3,0,1649274799,1338570081,10854514,CC BY-SA 4.0,https://stackoverflow.com/questions/10854514/creating-a-partial-file-name-with-a-variable-in-c,Creating a partial file name with a variable in C++,1649274799.0,,,,,,
46,"['c++', 'templates', 'parameters', 'enums', 'detect']","{'account_id': 395616, 'reputation': 2243, 'user_id': 758666, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/0b5569fa6b83a4947549fbfd287409d6?s=256&d=identicon&r=PG', 'display_name': 'wip', 'link': 'https://stackoverflow.com/users/758666/wip'}",True,1411,,3,3,1648277550,1340949349,11256730,CC BY-SA 3.0,https://stackoverflow.com/questions/11256730/in-a-class-template-how-to-detect-if-the-template-parameter-is-an-enumeration-ty,In a class template how to detect if the template parameter is an enumeration type?,1340951567.0,,,,,,
