,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,closed_date,closed_reason,migrated_from,community_owned_date,locked_date
10,"['c++', 'python']","{'account_id': 92302, 'reputation': 5117, 'user_id': 253029, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/3902526bb30769897743efa9e842cea3?s=256&d=identicon&r=PG', 'display_name': 'M-V', 'link': 'https://stackoverflow.com/users/253029/m-v'}",True,43911,13152274.0,11,73,1666090747,1351664176,,13152252,CC BY-SA 3.0,https://stackoverflow.com/questions/13152252/is-there-a-compact-equivalent-to-python-range-in-c-stl,Is there a compact equivalent to Python range() in C++/STL,,,,,,
11,"['c++', 'cmake', 'shared-libraries']","{'account_id': 1271124, 'reputation': 369, 'user_id': 1227351, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a066fde0b3d5ef896237a9d4384df3ce?s=256&d=identicon&r=PG', 'display_name': 'rjmarques', 'link': 'https://stackoverflow.com/users/1227351/rjmarques'}",False,920,,1,1,1665871603,1349622909,,12770022,CC BY-SA 3.0,https://stackoverflow.com/questions/12770022/create-a-self-contained-c-shared-library-with-cmake,Create a self contained c++ shared library with CMake,,,,,,
12,"['c++', 'string', 'scanf', 'readline']","{'account_id': 1921234, 'reputation': 665, 'user_id': 1732694, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://i.stack.imgur.com/bQKtd.jpg?s=256&g=1', 'display_name': 'ESD', 'link': 'https://stackoverflow.com/users/1732694/esd'}",True,74866,12806484.0,3,18,1664862411,1349808411,1444333031.0,12806450,CC BY-SA 3.0,https://stackoverflow.com/questions/12806450/equivalent-of-console-readline-in-c,equivalent of Console.ReadLine() in c++,,,,,,
13,"['c++', 'c', 'eclipse', 'eclipse-cdt']","{'account_id': 1937706, 'reputation': 1544, 'user_id': 1744745, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/df16495c8c78982e3b7d4eec67f39708?s=256&d=identicon&r=PG', 'display_name': 'Praveen Kumar', 'link': 'https://stackoverflow.com/users/1744745/praveen-kumar'}",False,7463,,1,1,1664622255,1351022420,1351022809.0,13038283,CC BY-SA 3.0,https://stackoverflow.com/questions/13038283/error-running-c-program-eclipse-nothing-to-build,Error running C++ program eclipse (nothing to build),,,,,,
14,['c++'],"{'account_id': 1934389, 'reputation': 73, 'user_id': 1743025, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0da97ea33d16b0325855b2a040fd4d49?s=256&d=identicon&r=PG', 'display_name': 'Jsp1304', 'link': 'https://stackoverflow.com/users/1743025/jsp1304'}",True,52779,12871178.0,3,7,1664012318,1350114956,1350115136.0,12871157,CC BY-SA 3.0,https://stackoverflow.com/questions/12871157/multiple-definitions-of-main,Multiple definitions of &quot;Main&quot;,,,,,,
15,"['c++', 'c', 'memory-management', 'terminology']","{'account_id': 1858666, 'reputation': 9274, 'user_id': 1683718, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/ebfec43805061c95c0f9434b23346376?s=256&d=identicon&r=PG', 'display_name': 'Nocturno', 'link': 'https://stackoverflow.com/users/1683718/nocturno'}",True,42733,12825221.0,5,147,1663579916,1349890683,1590145110.0,12825148,CC BY-SA 4.0,https://stackoverflow.com/questions/12825148/what-is-the-meaning-of-the-term-arena-in-relation-to-memory,What is the meaning of the term arena in relation to memory?,,,,,,
16,"['c++', 'c++11', 'move-constructor']","{'account_id': 1242031, 'reputation': 489, 'user_id': 1204406, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/aa2252b7fb185fb2fd8e7284126c4057?s=256&d=identicon&r=PG', 'display_name': 'Lauer', 'link': 'https://stackoverflow.com/users/1204406/lauer'}",True,24733,13125851.0,4,34,1663304650,1351527772,1495541402.0,13125632,CC BY-SA 3.0,https://stackoverflow.com/questions/13125632/when-does-move-constructor-get-called,When Does Move Constructor get called?,,,,,,
17,"['c++', 'algorithm', 'math', 'combinations', 'combinatorics']","{'account_id': 427988, 'reputation': 1455, 'user_id': 810031, 'user_type': 'registered', 'accept_rate': 21, 'profile_image': 'https://www.gravatar.com/avatar/2ed87914d832ff5823615f4161b72f62?s=256&d=identicon&r=PG', 'display_name': 'Prannoy Mittal', 'link': 'https://stackoverflow.com/users/810031/prannoy-mittal'}",True,193017,,14,65,1663243161,1350760324,1539208096.0,12991758,CC BY-SA 4.0,https://stackoverflow.com/questions/12991758/creating-all-possible-k-combinations-of-n-items-in-c,Creating all possible k combinations of n items in C++,1618679169.0,,,,,
18,"['c++', 'arduino', 'codeblocks']","{'account_id': 559458, 'reputation': 119, 'user_id': 921761, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/41a08a8501bb278458dbe675730fd1c9?s=256&d=identicon&r=PG', 'display_name': 'Dai', 'link': 'https://stackoverflow.com/users/921761/dai'}",False,8301,,3,1,1663056185,1349436625,1349437510.0,12745358,CC BY-SA 3.0,https://stackoverflow.com/questions/12745358/codeblocks-for-arduino-no-such-file-or-directory,CodeBlocks for Arduino: No such file or directory,,,,,,
19,"['c++', 'stl']","{'account_id': 1978397, 'reputation': 2051, 'user_id': 1775629, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/aba1f0e150e2a3fc5c826f78e0e28cf7?s=256&d=identicon&r=PG', 'display_name': 'Caribou', 'link': 'https://stackoverflow.com/users/1775629/caribou'}",True,629,13112073.0,3,3,1662536099,1351450872,1351452524.0,13111992,CC BY-SA 3.0,https://stackoverflow.com/questions/13111992/implementation-of-back-in-stdvector,Implementation of back() in std::vector,,,,,,
20,"['c++', 'linux', 'g++', 'fedora', 'dnf']","{'account_id': 348145, 'reputation': 20249, 'user_id': 682662, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/da43c3310e4a621c3bec80bc801af90c?s=256&d=identicon&r=PG', 'display_name': 'saplingPro', 'link': 'https://stackoverflow.com/users/682662/saplingpro'}",True,198911,,11,207,1662497209,1350557303,1490476633.0,12952913,CC BY-SA 3.0,https://stackoverflow.com/questions/12952913/how-do-i-install-g-for-fedora,How do I install g++ for Fedora?,,,,,,
21,"['c++', 'visual-studio', 'cmake', 'devpartner']","{'account_id': 412102, 'reputation': 3561, 'user_id': 784988, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://www.gravatar.com/avatar/0fd5186b6b43633b893b903f6b2eb530?s=256&d=identicon&r=PG', 'display_name': 'JohnB', 'link': 'https://stackoverflow.com/users/784988/johnb'}",True,2604,,3,1,1662462725,1349817215,1662462725.0,12808517,CC BY-SA 4.0,https://stackoverflow.com/questions/12808517/how-do-i-change-the-compiler-and-cxx-flags-for-cmake-of-a-c-project,How do I change the compiler and CXX_FLAGS for CMAKE of a C++ project?,,,,,,
22,"['c++', 'c', 'visual-studio-2010', 'gcc']","{'account_id': 225869, 'reputation': 52827, 'user_id': 486578, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/51f25affd1ea28bd28e61422868f02d5?s=256&d=identicon&r=PG', 'display_name': 'Damir', 'link': 'https://stackoverflow.com/users/486578/damir'}",True,17888,,5,12,1662229690,1350299720,1395333490.0,12894454,CC BY-SA 3.0,https://stackoverflow.com/questions/12894454/how-to-remove-gcc-warning-on-pragma-region,How to remove GCC warning on #pragma region?,,,,,,
23,"['c++', 'eclipse', 'gdb']","{'account_id': 1976403, 'reputation': 51, 'user_id': 1774102, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/23bc822f84805e30fed9f4b4a257cb99?s=256&d=identicon&r=PG', 'display_name': 'Tim', 'link': 'https://stackoverflow.com/users/1774102/tim'}",False,9886,,2,5,1662073370,1351168799,1351172912.0,13068810,CC BY-SA 3.0,https://stackoverflow.com/questions/13068810/eclipse-debug-error-in-final-sequence-failed-to-execute-mi-command,Eclipse debug: &quot;Error in final sequence - Failed to execute MI command&quot;,,,,,,
24,['c++'],"{'account_id': 1138466, 'reputation': 16705, 'user_id': 1123020, 'user_type': 'registered', 'accept_rate': 60, 'profile_image': 'https://www.gravatar.com/avatar/78465afdabcd3781cf060e74fd28cfab?s=256&d=identicon&r=PG&f=1', 'display_name': 'Yoda', 'link': 'https://stackoverflow.com/users/1123020/yoda'}",False,62,,0,0,1661806314,1350341364,1661806314.0,12905101,,https://stackoverflow.com/questions/12905101/what-does-means-in-function-declaration-in-c,What does &amp; means in function declaration in C++,,1350341615.0,exact duplicate,,,
25,"['c++', 'arrays', 'reference']","{'account_id': 100124, 'reputation': 8860, 'user_id': 270060, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/ea8304f3085838dea85b2fbe2cea52a3?s=256&d=identicon&r=PG', 'display_name': 'Omkant', 'link': 'https://stackoverflow.com/users/270060/omkant'}",True,8509,13081873.0,4,3,1661778162,1351232737,1351233720.0,13081837,CC BY-SA 3.0,https://stackoverflow.com/questions/13081837/reference-to-an-array-in-c,reference to an array in c++,,,,,,
26,"['c++', 'linux', 'templates', 'gcc']","{'account_id': 967307, 'reputation': 22511, 'user_id': 990524, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/rJPoP.jpg?s=256&g=1', 'display_name': 'Adrian Cornish', 'link': 'https://stackoverflow.com/users/990524/adrian-cornish'}",True,254,12809727.0,1,0,1661403830,1349747361,1661403830.0,12791812,CC BY-SA 4.0,https://stackoverflow.com/questions/12791812/creating-a-type-based-identification-number-in-old-code-with-minimal-changes,Creating a type based identification number in old code with minimal changes,,,,,,
27,"['c++', 'cmake', 'thrift']","{'account_id': 1146336, 'reputation': 545, 'user_id': 1128993, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://www.gravatar.com/avatar/702633c460715efe7d510693a3bf2372?s=256&d=identicon&r=PG', 'display_name': 'yodafan86', 'link': 'https://stackoverflow.com/users/1128993/yodafan86'}",True,16704,,2,33,1661395972,1349542146,1382487388.0,12761748,CC BY-SA 3.0,https://stackoverflow.com/questions/12761748/cmake-difference-between-include-directories-and-add-subdirectory,CMake Difference between include_directories and add_subdirectory?,,,,,,
28,['c++'],"{'account_id': 921746, 'reputation': 999, 'user_id': 953329, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/8ff110f7f568f820fb559c71555c8322?s=256&d=identicon&r=PG', 'display_name': 'Guy Joel McLean', 'link': 'https://stackoverflow.com/users/953329/guy-joel-mclean'}",True,8604,12938960.0,5,17,1660989569,1350491132,1495542275.0,12938899,,https://stackoverflow.com/questions/12938899/how-do-the-and-operators-do-i-o,How do the &quot;&lt;&lt;&quot; and &quot;&gt;&gt;&quot; operators do I/O?,,1350523863.0,exact duplicate,,,
29,"['c++', 'testing', 'cmake', 'code-coverage', 'cdash']","{'account_id': 124190, 'reputation': 4877, 'user_id': 319124, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/46900f12adc06cc0d80a8fc50d56e523?s=256&d=identicon&r=PG', 'display_name': 'Ralph Zhang', 'link': 'https://stackoverflow.com/users/319124/ralph-zhang'}",True,48865,16536401.0,4,59,1660123094,1351489713,1660123094.0,13116488,CC BY-SA 4.0,https://stackoverflow.com/questions/13116488/detailed-guide-on-using-gcov-with-cmake-cdash,Detailed guide on using gcov with CMake/CDash?,,,,,,
30,"['c++', 'c', 'binary', 'binaryfiles']","{'account_id': 1896967, 'reputation': 207, 'user_id': 1713700, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/e76a8ad0766ae5b5975840edb3bd2d58?s=256&d=identicon&r=PG', 'display_name': 'user1713700', 'link': 'https://stackoverflow.com/users/1713700/user1713700'}",True,32008,13001446.0,5,17,1659281409,1350846621,1350853859.0,13001183,CC BY-SA 3.0,https://stackoverflow.com/questions/13001183/how-to-read-little-endian-integers-from-file-in-c,How to read little endian integers from file in C++?,,,,,,
31,"['c++', 'qt', 'qmessagebox']","{'account_id': 229394, 'reputation': 71769, 'user_id': 492336, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/439556c66d6ebde46de93dbf887c6b9c?s=256&d=identicon&r=PG&f=1', 'display_name': 'sashoalm', 'link': 'https://stackoverflow.com/users/492336/sashoalm'}",True,190407,13111762.0,8,130,1658844249,1351448660,1535036016.0,13111669,CC BY-SA 4.0,https://stackoverflow.com/questions/13111669/yes-no-message-box-using-qmessagebox,Yes/No message box using QMessageBox,,,,,,
32,"['c++', 'googletest', 'googlemock']","{'account_id': 1730080, 'reputation': 53, 'user_id': 1583854, 'user_type': 'registered', 'accept_rate': 25, 'profile_image': 'https://www.gravatar.com/avatar/812719cb1d1728131d23fb0c8c448d9c?s=256&d=identicon&r=PG', 'display_name': 'nirmitkansal', 'link': 'https://stackoverflow.com/users/1583854/nirmitkansal'}",True,2416,,1,2,1658805702,1349684770,1658805702.0,12777874,CC BY-SA 4.0,https://stackoverflow.com/questions/12777874/how-to-mock-a-function-which-is-without-class,How to mock a function which is without class?,,,,,,
33,"['c++', 'qt', 'icons', 'runtime', 'qtoolbar']","{'account_id': 1795525, 'reputation': 691, 'user_id': 1637277, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/bb8b90387354cba48f2f3ca5dbdb5135?s=256&d=identicon&r=PG', 'display_name': 'Marc SJ', 'link': 'https://stackoverflow.com/users/1637277/marc-sj'}",True,8785,12720724.0,2,1,1658561513,1349234497,,12701435,CC BY-SA 3.0,https://stackoverflow.com/questions/12701435/on-qt-how-to-change-the-icon-of-an-action-in-the-toolbar-at-runtime,"On Qt, how to change the icon of an action in the toolbar at runtime?",1658577322.0,,,,,
34,"['c++', 'gdal']","{'account_id': 1498828, 'reputation': 60, 'user_id': 1404128, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7baa63d964d5b76825073ea39c7fcbba?s=256&d=identicon&r=PG', 'display_name': 'bpass', 'link': 'https://stackoverflow.com/users/1404128/bpass'}",True,660,13446717.0,1,0,1658423301,1351622889,,13145730,CC BY-SA 3.0,https://stackoverflow.com/questions/13145730/how-to-set-classification-colors-in-gdal-output-files,How to set classification colors in GDAL output files,,,,,,
35,"['c++', 'vector', 'containers']","{'account_id': 1889217, 'reputation': 2415, 'user_id': 1707750, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/a55ecf39fe6d53a18fcdac0a04e8a97b?s=256&d=identicon&r=PG', 'display_name': 'Romaan', 'link': 'https://stackoverflow.com/users/1707750/romaan'}",True,40575,12785326.0,4,7,1658397552,1349712099,,12785287,CC BY-SA 3.0,https://stackoverflow.com/questions/12785287/c-access-an-element-of-pair-inside-vector,C++ Access an element of pair inside vector,,,,,,
36,"['c++', 'windows', 'winapi', 'active-directory']","{'account_id': 1440071, 'reputation': 597, 'user_id': 1360473, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/de5739437a103b4312314dc5ac5365d3?s=256&d=identicon&r=PG', 'display_name': 'Arjun babu', 'link': 'https://stackoverflow.com/users/1360473/arjun-babu'}",True,8289,13126461.0,2,1,1657892418,1351519140,,13123075,CC BY-SA 3.0,https://stackoverflow.com/questions/13123075/how-to-get-maxpwdage-attribute-value-in-activedirectory-using-c,How to get maxpwdAge attribute value in ActiveDirectory using C++?,,,,,,
37,"['c++', 'cin']","{'account_id': 1816922, 'reputation': 89, 'user_id': 1749737, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/390e78ca1a419e7bac2c83b74724e0ed?s=256&d=identicon&r=PG', 'display_name': 'user1749737', 'link': 'https://stackoverflow.com/users/1749737/user1749737'}",True,7161,13030298.0,4,4,1657294618,1350989091,1657294618.0,13028702,,https://stackoverflow.com/questions/13028702/directly-capturing-cin-to-a-function-as-parameter-without-a-temporary-variable,Directly capturing cin to a function as parameter without a temporary variable - C++,,1560950667.0,Needs details or clarity,,,
38,"['c++', 'c', 'linux', 'sockets', 'nonblocking']","{'account_id': 125053, 'reputation': 7873, 'user_id': 320570, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/da52e85c547b2cc28d891fdcb7858911?s=256&d=identicon&r=PG', 'display_name': 'Jimm', 'link': 'https://stackoverflow.com/users/320570/jimm'}",True,43191,13023849.0,3,48,1656518957,1350950790,,13021796,CC BY-SA 3.0,https://stackoverflow.com/questions/13021796/simultaneously-read-and-write-on-the-same-socket-in-c-or-c,simultaneously read and write on the same socket in C or C++,,,,,,
39,"['c++', 'c', 'data-structures', 'protocol-buffers', 'idl']","{'account_id': 47235, 'reputation': 21257, 'user_id': 139802, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://www.gravatar.com/avatar/33c5692f72d9da5663651d034c4588b6?s=256&d=identicon&r=PG', 'display_name': 'Andrew Wagner', 'link': 'https://stackoverflow.com/users/139802/andrew-wagner'}",False,4567,,4,9,1656165214,1351185824,,13073930,CC BY-SA 3.0,https://stackoverflow.com/questions/13073930/conversion-between-c-structs-c-pod-and-google-protobufs,Conversion between C structs (C++ POD) and google protobufs?,,,,,,
40,"['c++', 'embedded-resource', 'self-extracting']","{'account_id': 1829054, 'reputation': 957, 'user_id': 1661022, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/EcbNJ.jpg?s=256&g=1', 'display_name': 'Ryan', 'link': 'https://stackoverflow.com/users/1661022/ryan'}",True,2071,13101488.0,1,0,1655309259,1351349950,1655309259.0,13101278,CC BY-SA 4.0,https://stackoverflow.com/questions/13101278/how-can-i-self-extract-a-binary-resource-executable-using-c,How can I self-extract a binary resource (executable) using C++?,,,,,,
41,"['c++', 'qt', 'qt-creator', 'qdebug']","{'account_id': 130650, 'reputation': 12289, 'user_id': 330067, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/53af05294308a19e26d98dfec82fd0c9?s=256&d=identicon&r=PG', 'display_name': 'Lukasz Czerwinski', 'link': 'https://stackoverflow.com/users/330067/lukasz-czerwinski'}",True,22141,12799655.0,8,14,1654856338,1349784370,1450467136.0,12799653,CC BY-SA 3.0,https://stackoverflow.com/questions/12799653/qdebug-not-displaying-anything,qDebug not displaying anything,,,,,,
42,"['c++', 'opengl', 'fbo', 'render-to-texture', 'mipmaps']","{'account_id': 1027131, 'reputation': 3946, 'user_id': 1036205, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://www.gravatar.com/avatar/0a0a329edf5916b9e2e4d025b1875383?s=256&d=identicon&r=PG', 'display_name': 'Rookie', 'link': 'https://stackoverflow.com/users/1036205/rookie'}",True,2517,,2,4,1654681029,1350040067,1350050609.0,12857747,CC BY-SA 3.0,https://stackoverflow.com/questions/12857747/how-to-use-glreadpixels-to-return-resized-image-from-fbo,How to use glReadPixels() to return resized image from FBO?,,,,,,
43,['c++'],"{'account_id': 1942570, 'reputation': 543, 'user_id': 1748419, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/f235ea60b91ba9fceb0ab61d484c8d7f?s=256&d=identicon&r=PG', 'display_name': 'Jack F', 'link': 'https://stackoverflow.com/users/1748419/jack-f'}",True,9700,12905464.0,1,7,1654563815,1350342800,1608482819.0,12905292,CC BY-SA 4.0,https://stackoverflow.com/questions/12905292/template-build-error-undefined-symbols-for-architecture-x86-64,Template build error: Undefined symbols for architecture x86_64:,,,,,,
44,"['c++', 'floating-point', 'g++', 'decimal']","{'account_id': 1933161, 'reputation': 347, 'user_id': 1742133, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/30bfeab3b4ad1183eef1ad853d85973a?s=256&d=identicon&r=PG', 'display_name': 'Jess', 'link': 'https://stackoverflow.com/users/1742133/jess'}",True,6279,12865735.0,1,11,1654399405,1350069081,1654399405.0,12865585,CC BY-SA 4.0,https://stackoverflow.com/questions/12865585/stddecimaldecimal64-correct-usage-g-4-6-3,"std::decimal::decimal64 correct usage, g++ 4.6.3",,,,,,
45,['c++'],"{'account_id': 1924671, 'reputation': 92635, 'user_id': 1735406, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://i.stack.imgur.com/IF9uS.png?s=256&g=1', 'display_name': 'Maroun', 'link': 'https://stackoverflow.com/users/1735406/maroun'}",True,36497,13129445.0,10,10,1654027158,1351543432,1351543872.0,13129340,CC BY-SA 3.0,https://stackoverflow.com/questions/13129340/recursive-function-for-listing-all-files-in-sub-directories,Recursive function for listing all files in sub directories,,,,,,
46,"['c++', 'c', 'opencv', 'cuda']","{'account_id': 1916431, 'reputation': 158, 'user_id': 1728931, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/af752adafd8a2b4087c6def891517ed3?s=256&d=identicon&r=PG', 'display_name': 'Barkan Can Erdogdu', 'link': 'https://stackoverflow.com/users/1728931/barkan-can-erdogdu'}",True,23137,12923382.0,4,8,1653023320,1350377584,1350649778.0,12910902,CC BY-SA 3.0,https://stackoverflow.com/questions/12910902/opencv-error-no-gpu-support-library-is-compiled-without-cuda-support,Opencv Error: no GPU support (library is compiled without CUDA support),,,,,,
47,"['c++', 'stl', 'set']","{'account_id': 1188059, 'reputation': 809, 'user_id': 1161631, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://i.stack.imgur.com/KnBXR.png?s=256&g=1', 'display_name': 'yo&#39;', 'link': 'https://stackoverflow.com/users/1161631/yo'}",True,2953,12940576.0,1,9,1652641888,1350497072,,12940522,CC BY-SA 3.0,https://stackoverflow.com/questions/12940522/check-for-empty-intersection-in-stl,Check for empty intersection in STL,,,,,,
