,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date,migrated_from,locked_date,community_owned_date
14,"['c++', 'c++11', 'inheritance', 'final', 'virtual-functions']","{'account_id': 91845, 'reputation': 251058, 'user_id': 252000, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/082b8ee2b0aebb430b8d4d98e6a5c32f?s=256&d=identicon&r=PG', 'display_name': 'fredoverflow', 'link': 'https://stackoverflow.com/users/252000/fredoverflow'}",True,24875,11,68,1666083636,1343507244,1537065765.0,11704406,CC BY-SA 4.0,https://stackoverflow.com/questions/11704406/whats-the-point-of-a-final-virtual-function,What&#39;s the point of a final virtual function?,11704714.0,,,,,,
15,"['c++', 'gcc', 'printf', 'string-formatting']","{'account_id': 831, 'reputation': 119048, 'user_id': 1084, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/898c2217a5457bdef0a0ed58283010dc?s=256&d=identicon&r=PG', 'display_name': 'Nathan Fellman', 'link': 'https://stackoverflow.com/users/1084/nathan-fellman'}",True,28103,4,38,1665616595,1343080015,1665616595.0,11621043,CC BY-SA 4.0,https://stackoverflow.com/questions/11621043/how-should-i-properly-use-attribute-format-printf-x-y-inside-a-class,"How should I properly use __attribute__ ((format (printf, x, y))) inside a class method in C++?",11621112.0,,,,,,
16,"['c++', 'string', 'char']","{'account_id': 1614301, 'reputation': 1008, 'user_id': 1492425, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/81c25c0627c923220be1c2fc1f2ce101?s=256&d=identicon&r=PG', 'display_name': 'unwise guy', 'link': 'https://stackoverflow.com/users/1492425/unwise-guy'}",True,12712,5,0,1665346064,1341279323,1665341657.0,11303391,CC BY-SA 4.0,https://stackoverflow.com/questions/11303391/how-to-iterate-over-each-char-in-a-string,How to iterate over each char in a string?,11303400.0,,,,,,
17,"['c++', 'symbolic-computation']","{'account_id': 1335876, 'reputation': 2278, 'user_id': 1381340, 'user_type': 'registered', 'accept_rate': 52, 'profile_image': 'https://www.gravatar.com/avatar/825e9f8cae2fe603b57ec60ec164c5b2?s=256&d=identicon&r=PG', 'display_name': 'MOON', 'link': 'https://stackoverflow.com/users/1381340/moon'}",True,19197,3,16,1664963126,1341391432,1341456180.0,11325514,CC BY-SA 3.0,https://stackoverflow.com/questions/11325514/symbolic-computation-in-c,symbolic computation in C++,11337203.0,,,,,,
18,"['c++', 'switch-statement', 'average']","{'account_id': 1660657, 'reputation': 297, 'user_id': 1529020, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://graph.facebook.com/100002938596184/picture?type=large', 'display_name': 'Mustafa Muhammad Yousif', 'link': 'https://stackoverflow.com/users/1529020/mustafa-muhammad-yousif'}",True,57010,9,1,1664520382,1342445435,1342446588.0,11505438,CC BY-SA 3.0,https://stackoverflow.com/questions/11505438/how-to-use-if-in-switch-statement,How to use IF in Switch statement,11505696.0,,,1664520622.0,,,
19,"['c++', 'windows', 'memory', 'process', 'base-address']","{'account_id': 989343, 'reputation': 3251, 'user_id': 1007059, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/68d8a86857397187f8d308a0f738eae9?s=256&d=identicon&r=PG', 'display_name': 'ZimZim', 'link': 'https://stackoverflow.com/users/1007059/zimzim'}",True,40744,3,8,1662605744,1342711656,1371059051.0,11564148,CC BY-SA 3.0,https://stackoverflow.com/questions/11564148/how-to-get-the-starting-base-address-of-a-process-in-c,How to get the starting/base address of a process in C++?,,,,,,,
20,"['java', 'c++', 'opencv']","{'account_id': 1634813, 'reputation': 81, 'user_id': 1508591, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6a50a1364b30d933456d156e2a8c4545?s=256&d=identicon&r=PG', 'display_name': 'Jade_', 'link': 'https://stackoverflow.com/users/1508591/jade'}",True,3812,1,7,1662484151,1341658786,1662484151.0,11374400,CC BY-SA 4.0,https://stackoverflow.com/questions/11374400/what-are-the-parameters-passed-to-cvfindcontours-in-javacv,What are the parameters passed to cvFindContours() in JavaCV?,11374962.0,,,,,,
21,"['c++', 'windows', 'dev-c++']","{'account_id': 1558876, 'reputation': 469, 'user_id': 1449262, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/15ba47f995079e8d6372d3342b395082?s=256&d=identicon&r=PG', 'display_name': 'Andrew', 'link': 'https://stackoverflow.com/users/1449262/andrew'}",True,101332,8,23,1662186765,1342821276,,11587426,CC BY-SA 3.0,https://stackoverflow.com/questions/11587426/get-current-username-in-c-on-windows,Get current username in C++ on Windows,11587467.0,,,,,,
22,"['c++', 'windows', 'urlencode', 'sha1', 'bittorrent']","{'account_id': 1618854, 'reputation': 1383, 'user_id': 1495863, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/2cfcab1a606c1319c33eb9702fdf9246?s=256&d=identicon&r=PG', 'display_name': 'brnby', 'link': 'https://stackoverflow.com/users/1495863/brnby'}",True,974,3,0,1661361017,1342600682,,11537371,CC BY-SA 3.0,https://stackoverflow.com/questions/11537371/url-encoding-a-byte-string,URL-Encoding a Byte String?,11537482.0,,,,,,
23,"['c++', 'callback', 'scope']","{'account_id': 73125, 'reputation': 3353, 'user_id': 210758, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/d4b95822ccad99df98f12876a1349538?s=256&d=identicon&r=PG', 'display_name': 'dlchambers', 'link': 'https://stackoverflow.com/users/210758/dlchambers'}",True,1231,2,6,1660740583,1342800962,1433935784.0,11583205,CC BY-SA 3.0,https://stackoverflow.com/questions/11583205/c-how-to-obtain-context-when-callback-doesnt-provide-user-arg,c++: How to obtain context when callback doesn&#39;t provide user arg?,11583324.0,,,,,,
24,"['c++', 'io', 'std', 'member', 'cout']","{'account_id': 1635142, 'reputation': 2473, 'user_id': 1508848, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/68939882e31b2508dd706d4a161a5cc7?s=256&d=identicon&r=PG', 'display_name': 'Paul Hannon', 'link': 'https://stackoverflow.com/users/1508848/paul-hannon'}",True,384072,3,245,1660391750,1341672226,1522221488.0,11375949,CC BY-SA 3.0,https://stackoverflow.com/questions/11375949/cout-is-not-a-member-of-std,cout is not a member of std,11375960.0,,,,,,
25,"['c++', 'gcc', 'warnings', 'compiler-warnings', 'gcc-warning']","{'account_id': 259071, 'reputation': 200645, 'user_id': 541686, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://www.gravatar.com/avatar/f2d0d2c0f7a83e2f8797a5ae79a324b6?s=256&d=identicon&r=PG', 'display_name': 'user541686', 'link': 'https://stackoverflow.com/users/541686/user541686'}",True,90808,8,238,1659909426,1343615948,1659906794.0,11714827,CC BY-SA 4.0,https://stackoverflow.com/questions/11714827/how-can-i-turn-on-literally-all-of-gccs-warnings,How can I turn on (literally) ALL of GCC&#39;s warnings?,11720263.0,,,,,,
26,"['c++', 'xcode', 'visual-studio-2010', 'audio']","{'account_id': 1200915, 'reputation': 473, 'user_id': 1171602, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/5c875c40504f4ffabc4a1604c7d0fd61?s=256&d=identicon&r=PG', 'display_name': 'Adam', 'link': 'https://stackoverflow.com/users/1171602/adam'}",True,5965,3,8,1659641916,1343312612,,11671430,CC BY-SA 3.0,https://stackoverflow.com/questions/11671430/flushing-denormalised-numbers-to-zero,Flushing denormalised numbers to zero,11671713.0,,,,,,
27,"['c++', 'optimization', 'g++', 'compiler-flags']","{'account_id': 114874, 'reputation': 4959, 'user_id': 301894, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/Ynb98.jpg?s=256&g=1', 'display_name': 'Matt Dunn', 'link': 'https://stackoverflow.com/users/301894/matt-dunn'}",True,150973,5,281,1659588970,1342628998,1531878694.0,11546075,CC BY-SA 4.0,https://stackoverflow.com/questions/11546075/is-optimisation-level-o3-dangerous-in-g,Is optimisation level -O3 dangerous in g++?,11546263.0,,,,,,
28,"['c++', 'std', 'lambda']","{'account_id': 343414, 'reputation': 21364, 'user_id': 675100, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/jTqPB.png?s=256&g=1', 'display_name': 'Patryk', 'link': 'https://stackoverflow.com/users/675100/patryk'}",True,4316,3,1,1659265367,1341491350,1386179381.0,11344356,CC BY-SA 3.0,https://stackoverflow.com/questions/11344356/why-stdgenerate-will-work-with-lambda-generator-and-stdfill-will-not,Why std::generate will work with lambda generator and std::fill will not?,11344427.0,,,,,,
29,"['c++', 'mocking', 'tdd', 'googlemock']","{'account_id': 1621102, 'reputation': 51, 'user_id': 1497626, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5b3bbf01650e60f1cda6ab77caed40d1?s=256&d=identicon&r=PG', 'display_name': 'user1497626', 'link': 'https://stackoverflow.com/users/1497626/user1497626'}",True,4940,1,5,1658805719,1341290028,1658805719.0,11304524,CC BY-SA 4.0,https://stackoverflow.com/questions/11304524/how-to-mock-inheritance-chain-in-c-with-google-mock,How to mock inheritance chain in C++ with google mock,,,,,,,
30,"['c++', 'bezier', 'curve', 'cubic']","{'account_id': 1620556, 'reputation': 141, 'user_id': 1497235, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3b951a1085d39cf108b405f189025548?s=256&d=identicon&r=PG', 'display_name': 'Captain Awesome', 'link': 'https://stackoverflow.com/users/1497235/captain-awesome'}",True,7443,5,13,1658705965,1341274907,1541097463.0,11302937,CC BY-SA 4.0,https://stackoverflow.com/questions/11302937/finding-y-given-x-on-a-cubic-bezier-curve,Finding Y given X on a Cubic Bezier Curve?,,,,,,,
31,"['c++', 'variables', 'typeof']","{'account_id': 359594, 'reputation': 92408, 'user_id': 701092, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/lI4sr.jpg?s=256&g=1', 'display_name': 'David G', 'link': 'https://stackoverflow.com/users/701092/david-g'}",True,504506,11,227,1658533415,1341318422,1392997631.0,11310898,CC BY-SA 3.0,https://stackoverflow.com/questions/11310898/how-do-i-get-the-type-of-a-variable,How do I get the type of a variable?,38834026.0,,,,,,
32,"['c++', 'static', 'initialization']","{'account_id': 512405, 'reputation': 8211, 'user_id': 914693, 'user_type': 'registered', 'accept_rate': 63, 'profile_image': 'https://www.gravatar.com/avatar/38e267e8fb98ec0779c9ab70485d58d5?s=256&d=identicon&r=PG', 'display_name': 'linello', 'link': 'https://stackoverflow.com/users/914693/linello'}",True,2396,3,3,1658459018,1341303978,1658459018.0,11307125,CC BY-SA 4.0,https://stackoverflow.com/questions/11307125/compile-time-default-values-for-static-members-of-static-struct-defined-inside-c,Compile time default values for static members of static struct defined inside classes,11307254.0,,,,,,
33,"['c++', 'c++11', 'templates', 'enums', 'enum-class']","{'account_id': 432684, 'reputation': 1961, 'user_id': 817603, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/c2b65b8f730fe4de322ad8f9647d5487?s=256&d=identicon&r=PG', 'display_name': 'Adi', 'link': 'https://stackoverflow.com/users/817603/adi'}",True,156863,9,136,1658414608,1341952130,1586257851.0,11421432,CC BY-SA 4.0,https://stackoverflow.com/questions/11421432/how-can-i-output-the-value-of-an-enum-class-in-c11,How can I output the value of an enum class in C++11,11421471.0,,,,,,
34,"['c++', 'iostream', 'cin']","{'account_id': 109484, 'reputation': 15324, 'user_id': 290072, 'user_type': 'registered', 'accept_rate': 97, 'profile_image': 'https://i.stack.imgur.com/ITEsv.png?s=256&g=1', 'display_name': 'Almo', 'link': 'https://stackoverflow.com/users/290072/almo'}",True,38709,6,80,1658237494,1342622722,1495540509.0,11544073,CC BY-SA 3.0,https://stackoverflow.com/questions/11544073/how-do-i-deal-with-the-max-macro-in-windows-h-colliding-with-max-in-std,How do I deal with the max macro in windows.h colliding with max in std?,11544154.0,,,,,,
35,"['c++', 'c', 'pointers', 'math', 'pointer-arithmetic']","{'account_id': 1434655, 'reputation': 3809, 'user_id': 1356331, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/dc97baae8a4705010898f106e71e6b7e?s=256&d=identicon&r=PG', 'display_name': 'Mohamed Ahmed Nabil', 'link': 'https://stackoverflow.com/users/1356331/mohamed-ahmed-nabil'}",True,17910,7,16,1658163944,1343605634,1538045934.0,11713929,CC BY-SA 4.0,https://stackoverflow.com/questions/11713929/c-c-pointer-arithmetic,C/C++: Pointer Arithmetic,11714077.0,,,,,,
36,"['c++', 'ocr', 'tesseract', 'bounding-box', 'document-layout-analysis']","{'account_id': 917088, 'reputation': 4050, 'user_id': 949658, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/3f0ba4b5f4377d5d73d3956dd14c633b?s=256&d=identicon&r=PG', 'display_name': 'Pedro', 'link': 'https://stackoverflow.com/users/949658/pedro'}",True,5196,2,3,1657889783,1341605867,1657889783.0,11369126,CC BY-SA 4.0,https://stackoverflow.com/questions/11369126/tesseract-how-to-export-text-and-boundingboxes,Tesseract: How to export text and boundingboxes?,11432615.0,,,,,,
37,['c++'],"{'account_id': 1701781, 'reputation': 391, 'user_id': 1561640, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/36fd873c1483029e69a06f14129e5c86?s=256&d=identicon&r=PG', 'display_name': 'jamesbond', 'link': 'https://stackoverflow.com/users/1561640/jamesbond'}",True,211015,14,39,1657301183,1343604308,1657297823.0,11713842,CC BY-SA 4.0,https://stackoverflow.com/questions/11713842/visual-c-cant-open-include-file-iostream,Visual C++ can&#39;t open include file &#39;iostream&#39;,,,,,,,
38,"['c++', 'python', 'with-statement', 'state-management']","{'account_id': 175499, 'reputation': 7856, 'user_id': 405559, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/7ce564de069356866a8bc839867a3d5b?s=256&d=identicon&r=PG', 'display_name': 'tauran', 'link': 'https://stackoverflow.com/users/405559/tauran'}",True,2761,4,13,1656955494,1342351861,1656791736.0,11491505,CC BY-SA 4.0,https://stackoverflow.com/questions/11491505/python-with-statement-in-c,Python with statement in C++,11493847.0,,,,,,
39,"['c++', 'math']","{'account_id': 1355789, 'reputation': 31082, 'user_id': 1294207, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://i.stack.imgur.com/Inny3.jpg?s=256&g=1', 'display_name': 'Fantastic Mr Fox', 'link': 'https://stackoverflow.com/users/1294207/fantastic-mr-fox'}",True,50989,7,37,1656916433,1342413495,1448389495.0,11498169,CC BY-SA 3.0,https://stackoverflow.com/questions/11498169/dealing-with-angle-wrap-in-c-code,Dealing with Angle Wrap in c++ code,11498248.0,,,,,,
40,"['c++', 'c++11', 'auto', 'variable-declaration']","{'account_id': 47802, 'reputation': 48379, 'user_id': 141719, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/5026f7977fda423dc990cc74b2ad4c9d?s=256&d=identicon&r=PG&f=1', 'display_name': 'HighCommander4', 'link': 'https://stackoverflow.com/users/141719/highcommander4'}",True,30818,3,57,1656876889,1341275319,,11302981,CC BY-SA 3.0,https://stackoverflow.com/questions/11302981/c11-declaring-non-static-data-members-as-auto,C++11 - declaring non-static data members as &#39;auto&#39;,11303175.0,,,,,,
41,"['c++', 'regex']","{'account_id': 357886, 'reputation': 4958, 'user_id': 698329, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/4683cee4c331fd059ce2f91565a7014a?s=256&d=identicon&r=PG&f=1', 'display_name': 'eouti', 'link': 'https://stackoverflow.com/users/698329/eouti'}",True,51884,5,31,1656872014,1343120278,1343122214.0,11627440,CC BY-SA 3.0,https://stackoverflow.com/questions/11627440/regex-c-extract-substring,Regex C++: extract substring,11629776.0,,,,,,
42,"['c++', 'templates']","{'account_id': 250329, 'reputation': 83, 'user_id': 526974, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/fc4d4a5b4cef0c9c418bf653d619d559?s=256&d=identicon&r=PG', 'display_name': 'n00', 'link': 'https://stackoverflow.com/users/526974/n00'}",True,1992,2,2,1656519367,1343499624,1656519367.0,11703553,CC BY-SA 4.0,https://stackoverflow.com/questions/11703553/template-specialization-not-used,Template specialization not used,11703570.0,,,,,,
43,"['c++', 'dictionary', 'std', 'stdmap', 'c++-standard-library']","{'account_id': 1661355, 'reputation': 431, 'user_id': 1529599, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6a25e86e36b92d97b5d8715001ec9455?s=256&d=identicon&r=PG', 'display_name': 'Master Oogway', 'link': 'https://stackoverflow.com/users/1529599/master-oogway'}",True,22413,5,7,1656514953,1342459715,1539303375.0,11509415,CC BY-SA 4.0,https://stackoverflow.com/questions/11509415/character-array-as-a-value-in-c-map,Character Array as a value in C++ map,11509503.0,,,,,,
44,"['c++', 'windows', 'command-line']","{'account_id': 1205526, 'reputation': 12929, 'user_id': 1175276, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/e9f53d24beea7056b25f37491c094253?s=256&d=identicon&r=PG', 'display_name': 'Bluefire', 'link': 'https://stackoverflow.com/users/1175276/bluefire'}",True,793048,13,98,1656106579,1341590826,1552570220.0,11365850,CC BY-SA 4.0,https://stackoverflow.com/questions/11365850/run-c-in-command-prompt-windows,Run C++ in command prompt - Windows,11366013.0,,,,,,
45,"['c++', 'compiler-construction', 'dlsym', 'demangler']","{'account_id': 40019, 'reputation': 39713, 'user_id': 115751, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://i.stack.imgur.com/FkIiK.png?s=256&g=1', 'display_name': 'WilliamKF', 'link': 'https://stackoverflow.com/users/115751/williamkf'}",True,15516,5,54,1655974860,1341437339,1495540474.0,11335624,CC BY-SA 3.0,https://stackoverflow.com/questions/11335624/what-is-linux-utility-to-mangle-a-c-symbol-name,What is Linux utility to mangle a C++ symbol name?,32149525.0,,,,,,
46,"['c++', 'eclipse', 'eclipse-cdt']","{'account_id': 90678, 'reputation': 11292, 'user_id': 249490, 'user_type': 'registered', 'accept_rate': 68, 'profile_image': 'https://i.stack.imgur.com/akC5I.jpg?s=256&g=1', 'display_name': 'liaK', 'link': 'https://stackoverflow.com/users/249490/liak'}",True,68099,14,25,1655833866,1341556419,,11357009,CC BY-SA 3.0,https://stackoverflow.com/questions/11357009/eclipse-indexing-not-working,Eclipse indexing not working,,,,,,,
47,"['c++', 'curl']","{'account_id': 1647102, 'reputation': 1607, 'user_id': 1518451, 'user_type': 'registered', 'accept_rate': 58, 'profile_image': 'https://www.gravatar.com/avatar/fdd82ba2eea24ee835791fe44947285b?s=256&d=identicon&r=PG', 'display_name': 'user1518451', 'link': 'https://stackoverflow.com/users/1518451/user1518451'}",True,211683,9,105,1655747757,1342186965,1462685336.0,11471690,CC BY-SA 3.0,https://stackoverflow.com/questions/11471690/curl-h-no-such-file-or-directory,curl.h no such file or directory,11471743.0,,,,,,
