,tags,owner,is_answered,view_count,answer_count,score,locked_date,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason
10,"['c++', 'arrays', 'alignment']","{'account_id': 6373155, 'reputation': 745, 'user_id': 4944986, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/a200b7bce72becb4bfc09b9c10fb632f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Finn Eggers', 'link': 'https://stackoverflow.com/users/4944986/finn-eggers'}",True,81,1,0,,1667454059,1624881327,1667454059.0,68162937,CC BY-SA 4.0,https://stackoverflow.com/questions/68162937/c-segmentation-fault-when-creating-aligned-struct-data-twice,C++ segmentation fault when creating aligned struct data twice,68163011.0,,
11,"['c++', 'c++20']","{'account_id': 7239872, 'reputation': 445, 'user_id': 5523775, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/204a698c1831cc59c77dfddba72ba585?s=256&d=identicon&r=PG&f=1', 'display_name': 'Peter H', 'link': 'https://stackoverflow.com/users/5523775/peter-h'}",True,280,2,7,,1667310519,1624955400,1624958823.0,68175176,CC BY-SA 4.0,https://stackoverflow.com/questions/68175176/does-rangeslower-bound-have-different-requirements-for-the-comparison-than-std,Does ranges::lower_bound have different requirements for the comparison than std::lower_bound?,68175427.0,,
12,"['c++', 'linux']","{'account_id': 18453115, 'reputation': 23, 'user_id': 13442667, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/df2696d1492bd0ea842e36f8da98fade?s=256&d=identicon&r=PG&f=1', 'display_name': 'Andi', 'link': 'https://stackoverflow.com/users/13442667/andi'}",False,330,0,1,,1667245028,1623057419,1667245028.0,67868975,CC BY-SA 4.0,https://stackoverflow.com/questions/67868975/c-writing-to-framebuffer-wrong-screensize,"C++ writing to Framebuffer, wrong screensize",,,
13,"['c++', 'nullptr', 'read-access', 'decklink', 'blackmagic-design']","{'account_id': 18866600, 'reputation': 23, 'user_id': 13762186, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3c372139506f27b2506fa690776e10fd?s=256&d=identicon&r=PG&f=1', 'display_name': 'Polo', 'link': 'https://stackoverflow.com/users/13762186/polo'}",False,81,1,-1,,1667074535,1623846816,1667074535.0,68002759,CC BY-SA 4.0,https://stackoverflow.com/questions/68002759/c-read-access-violation-this-x-was-nullptr-with-blackmagic-decklink-sdk,C++: Read access violation (this-&gt; x was nullptr) with Blackmagic DeckLink SDK,,,
14,"['c++', 'header-files']","{'account_id': 2289410, 'reputation': 1923, 'user_id': 2012682, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/c9112f84d873ba861a68f3ddd7e02d1b?s=256&d=identicon&r=PG', 'display_name': 'Brice M. Dempsey', 'link': 'https://stackoverflow.com/users/2012682/brice-m-dempsey'}",True,217,2,2,,1667055970,1623936530,1623979987.0,68020388,CC BY-SA 4.0,https://stackoverflow.com/questions/68020388/how-can-i-avoid-circular-dependencies-in-a-header-only-library,How can I avoid circular dependencies in a header only library?,68021125.0,,
15,"['c++', 'gcc', 'macros', 'preprocessor']","{'account_id': 480174, 'reputation': 11827, 'user_id': 893254, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://www.gravatar.com/avatar/e4417c43fd253cd5b52e2dd709e34b44?s=256&d=identicon&r=PG&f=1', 'display_name': 'FreelanceConsultant', 'link': 'https://stackoverflow.com/users/893254/freelanceconsultant'}",True,127,3,4,,1666716987,1622555315,,67790091,CC BY-SA 4.0,https://stackoverflow.com/questions/67790091/c-gcc-preprocessor-macro-automatic-function-generation-opengl-shader-swi,C++ (gcc) Preprocessor Macro: Automatic function generation - OpenGL Shader &quot;Swizzle&quot; Syntax,,,
16,"['c++', 'c++20']","{'account_id': 11200240, 'reputation': 341, 'user_id': 8217551, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-EXrVTIVVtpo/AAAAAAAAAAI/AAAAAAAAAB0/2Ng_c3uSMbA/photo.jpg?sz=256', 'display_name': 'Roshan M', 'link': 'https://stackoverflow.com/users/8217551/roshan-m'}",True,2323,3,18,,1666084271,1623672919,1626127570.0,67970038,CC BY-SA 4.0,https://stackoverflow.com/questions/67970038/what-advantages-does-c20s-stdsource-location-have-over-the-pre-defined-macr,"What advantages does C++20&#39;s std::source_location have over the pre-defined macros __FILE__, __LINE__ and __FUNCTION__?",67970107.0,,
17,['c++'],"{'account_id': 17614936, 'reputation': 73, 'user_id': 12782206, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mBGIkXU2f4ITl3tNQQGJWOfJOsxrU4Od9yHIZC0=k-s256', 'display_name': 'GuiBeal', 'link': 'https://stackoverflow.com/users/12782206/guibeal'}",True,114,1,7,,1665624029,1622568327,1665624029.0,67793445,CC BY-SA 4.0,https://stackoverflow.com/questions/67793445/overload-resolution-between-va-list-and-ellipsis-differs-based-on-the-literal-va,Overload resolution between va_list and ellipsis differs based on the literal value. Why?,67793660.0,,
18,['c++'],"{'account_id': 21907934, 'reputation': 23, 'user_id': 16192749, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b52c3db79b3fea2a52b2e4f520a5c3d7?s=256&d=identicon&r=PG&f=1', 'display_name': 'cocker21', 'link': 'https://stackoverflow.com/users/16192749/cocker21'}",True,56,1,2,,1665586583,1623374879,1665586583.0,67930232,CC BY-SA 4.0,https://stackoverflow.com/questions/67930232/c-program-issue-with-saving-attributes-to-a-class,C++ Program Issue with Saving Attributes to a Class,67930299.0,,
19,"['c++', 'floating-point', 'denormal-numbers']","{'account_id': 3527137, 'reputation': 887, 'user_id': 2947904, 'user_type': 'registered', 'accept_rate': 45, 'profile_image': 'https://i.stack.imgur.com/CrJOp.png?s=256&g=1', 'display_name': 'bruin', 'link': 'https://stackoverflow.com/users/2947904/bruin'}",True,195,1,0,,1665294242,1623745954,1623769985.0,67982764,CC BY-SA 4.0,https://stackoverflow.com/questions/67982764/why-comparing-a-small-floating-point-number-with-zero-yields-random-result,Why comparing a small floating-point number with zero yields random result?,67984066.0,,
20,"['c++', 'template-meta-programming', 'sfinae']","{'account_id': 366640, 'reputation': 7155, 'user_id': 712302, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/2b1ef5eb8af2d0392763508bfb7971d8?s=256&d=identicon&r=PG', 'display_name': 'ritter', 'link': 'https://stackoverflow.com/users/712302/ritter'}",True,146,1,1,,1664998546,1622474067,1624332518.0,67776366,CC BY-SA 4.0,https://stackoverflow.com/questions/67776366/can-sfinae-interfere-with-partial-ordering,Can SFINAE interfere with partial ordering?,67852257.0,,
21,"['c++', 'linux', 'boost-asio', 'x509', 'boost-beast']","{'account_id': 1347869, 'reputation': 660, 'user_id': 1288259, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/280551ca7234213d3b669732912b9137?s=256&d=identicon&r=PG', 'display_name': 'Alex', 'link': 'https://stackoverflow.com/users/1288259/alex'}",True,1127,2,1,,1664729461,1624468238,,68104353,CC BY-SA 4.0,https://stackoverflow.com/questions/68104353/boost-asio-certificate-verification,boost asio certificate verification,,,
22,"['c++', 'oop', 'constructor']","{'account_id': 20891772, 'reputation': 49, 'user_id': 15346990, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b64689ea18a7277918626714cd8c017b?s=256&d=identicon&r=PG&f=1', 'display_name': 'John Milaro', 'link': 'https://stackoverflow.com/users/15346990/john-milaro'}",True,280,1,1,,1664680406,1624000056,1664680406.0,68030794,CC BY-SA 4.0,https://stackoverflow.com/questions/68030794/object-with-parameterized-constructor-as-parameter-for-another-classes-construct,Object with parameterized constructor as parameter for another classes constructor,,,
23,"['c++', 'windows', 'winapi', 'visual-c++']","{'account_id': 21955899, 'reputation': 43, 'user_id': 16234468, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/17d42f83d0c5431f9ce4eb6781674332?s=256&d=identicon&r=PG&f=1', 'display_name': 'Derek007', 'link': 'https://stackoverflow.com/users/16234468/derek007'}",True,499,3,0,,1664460352,1623939889,,68021291,CC BY-SA 4.0,https://stackoverflow.com/questions/68021291/how-to-detect-mouse-cursor-is-outside-a-windows,How to detect mouse cursor is outside a windows?,,,
24,"['c++', 'templates', 'variadic-templates']","{'account_id': 92878, 'reputation': 8093, 'user_id': 254343, 'user_type': 'registered', 'accept_rate': 64, 'profile_image': 'https://i.stack.imgur.com/iEaBt.jpg?s=256&g=1', 'display_name': 'Armen Michaeli', 'link': 'https://stackoverflow.com/users/254343/armen-michaeli'}",True,102,1,2,,1663762179,1623614042,1663762179.0,67962170,CC BY-SA 4.0,https://stackoverflow.com/questions/67962170/why-does-my-variadic-template-instantiation-not-work,Why does my variadic template instantiation not work?,67962358.0,,
25,"['c++', 'class', 'object', 'pointers', 'this']","{'account_id': 21044092, 'reputation': 27, 'user_id': 15465797, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/dfimv.png?s=256&g=1', 'display_name': 'JoshAsh', 'link': 'https://stackoverflow.com/users/15465797/joshash'}",True,120,2,1,,1663730269,1623120019,1663730269.0,67880751,CC BY-SA 4.0,https://stackoverflow.com/questions/67880751/use-a-pointer-to-the-current-object-c,use a pointer to the current object - C++,67880813.0,,
26,"['c++', 'linked-list', 'partitioning', 'singly-linked-list', 'function-definition']","{'account_id': 21214800, 'reputation': 80, 'user_id': 15602614, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/104a519c64b2f3779f140b9d36cf0572?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jay1105', 'link': 'https://stackoverflow.com/users/15602614/jay1105'}",True,749,6,0,,1662818543,1623309840,1623315292.0,67916544,CC BY-SA 4.0,https://stackoverflow.com/questions/67916544/put-elements-at-even-position-after-elements-at-odd-position-in-a-linked-list,Put elements at Even position after elements at Odd position in a Linked List,67916896.0,,
27,"['c++', 'gcc', 'compiler-errors', 'c++20', 'coroutine']","{'account_id': 239034, 'reputation': 38704, 'user_id': 508343, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/c7fe4b419ef78796ae89e40665c4394b?s=256&d=identicon&r=PG', 'display_name': 'xmllmx', 'link': 'https://stackoverflow.com/users/508343/xmllmx'}",True,289,2,6,,1662809704,1622988838,1622989139.0,67860049,CC BY-SA 4.0,https://stackoverflow.com/questions/67860049/why-cant-co-await-return-a-string,Why can&#39;t co_await return a string?,67860172.0,,
28,"['c++', 'vector', 'c++98']","{'account_id': 15580550, 'reputation': 21, 'user_id': 11240471, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10157093997982618/picture?type=large', 'display_name': 'Ofer Rozentswieg', 'link': 'https://stackoverflow.com/users/11240471/ofer-rozentswieg'}",False,297,3,1,,1662741876,1622620181,1622626417.0,67800974,CC BY-SA 4.0,https://stackoverflow.com/questions/67800974/c11-vectordata-equivalent-in-c98,C++11 Vector::data() equivalent in C++98,,,
29,"['c++', 'linux', 'shell', 'opengl', 'egl']","{'account_id': 1551863, 'reputation': 4042, 'user_id': 1444073, 'user_type': 'registered', 'accept_rate': 76, 'profile_image': 'https://i.stack.imgur.com/R739F.jpg?s=256&g=1', 'display_name': 'theV0ID', 'link': 'https://stackoverflow.com/users/1444073/thev0id'}",False,257,0,1,,1662738599,1623150173,1662738599.0,67885750,CC BY-SA 4.0,https://stackoverflow.com/questions/67885750/why-does-eglcreatepbuffersurface-give-egl-no-surface-when-display-environment-va,Why does eglCreatePbufferSurface give EGL_NO_SURFACE when DISPLAY environment variable is set?,,,
30,"['android', 'c++', 'opencv', 'visual-studio-2019']","{'account_id': 21786500, 'reputation': 13, 'user_id': 16087430, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5c2f569372c3da797245429d7efa3511?s=256&d=identicon&r=PG&f=1', 'display_name': 'Arvid Funke', 'link': 'https://stackoverflow.com/users/16087430/arvid-funke'}",True,485,1,1,,1662474345,1622479804,1662474345.0,67777653,CC BY-SA 4.0,https://stackoverflow.com/questions/67777653/opencv-for-android-via-visual-studio-to-unity,OpenCV for Android via Visual Studio to Unity,67895665.0,,
31,"['c++', 'asynchronous', 'curl', 'https', 'libcurl']","{'account_id': 7282654, 'reputation': 596, 'user_id': 5551849, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://i.stack.imgur.com/NssaZ.jpg?s=256&g=1', 'display_name': 'p.luck', 'link': 'https://stackoverflow.com/users/5551849/p-luck'}",False,734,1,2,,1662113193,1623839040,1623847319.0,68000859,CC BY-SA 4.0,https://stackoverflow.com/questions/68000859/libcurl-c-non-blocking-way-to-send-requests-to-a-single-url,Libcurl C++: Non-blocking way to send requests to a single URL,,,
32,"['c++', 'opencv', 'conan']","{'account_id': 3540276, 'reputation': 342, 'user_id': 2957581, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://i.stack.imgur.com/xMkFp.jpg?s=256&g=1', 'display_name': 'Ulrich Von Rekkenin', 'link': 'https://stackoverflow.com/users/2957581/ulrich-von-rekkenin'}",True,538,1,0,,1662099976,1624828176,1662099976.0,68155292,CC BY-SA 4.0,https://stackoverflow.com/questions/68155292/opencv-videocapture-couldnt-open-on-c-by-opened-by-python,opencv VideoCapture() couldn&#39;t open on c++ by opened by python,68184427.0,,
33,"['c++', 'c++20', 'range-v3']","{'account_id': 3743713, 'reputation': 554, 'user_id': 4031282, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/8da76124e66bf23971580c53eb35aa81?s=256&d=identicon&r=PG&f=1', 'display_name': 'Andrew', 'link': 'https://stackoverflow.com/users/4031282/andrew'}",True,311,1,5,,1661987851,1624952313,1624966139.0,68174447,CC BY-SA 4.0,https://stackoverflow.com/questions/68174447/ranges-v3-join-function-to-join-two-containers-together,ranges-v3 join function to join two containers together,68174588.0,,
34,"['c++', 'xml', 'boost', 'boost-propertytree']","{'account_id': 481929, 'reputation': 8002, 'user_id': 896012, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://i.stack.imgur.com/IKe45.png?s=256&g=1', 'display_name': 'TonySalimi', 'link': 'https://stackoverflow.com/users/896012/tonysalimi'}",True,151,1,0,,1661943027,1623690654,1661943027.0,67974510,CC BY-SA 4.0,https://stackoverflow.com/questions/67974510/why-boost-property-tree-xml-serializer-cannot-preserve-multi-line-values,Why boost property tree xml serializer cannot preserve multi-line values?,68283814.0,,
35,"['c++', 'qt', 'mingw', 'clion']","{'account_id': 20518724, 'reputation': 81, 'user_id': 15058807, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-D4znbQ7GGrU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclTd80XzyVDe4asmMKLvDPbv-ixVg/s96-c/photo.jpg?sz=256', 'display_name': 'Learner', 'link': 'https://stackoverflow.com/users/15058807/learner'}",False,978,1,3,,1660299430,1622736263,,67824944,CC BY-SA 4.0,https://stackoverflow.com/questions/67824944/unrecognized-command-line-option-zc-cplusplus-and-unrecognized-command-line,unrecognized command line option &#39;-Zc:__cplusplus&#39; and unrecognized command line option &#39;-permissive-&#39;,,,
36,['c++'],"{'account_id': 21081273, 'reputation': 13, 'user_id': 15495533, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1479967152209090/picture?type=large', 'display_name': 'Joel_RDJ', 'link': 'https://stackoverflow.com/users/15495533/joel-rdj'}",True,260,3,1,,1659723314,1624346148,1659723314.0,68079083,CC BY-SA 4.0,https://stackoverflow.com/questions/68079083/is-there-any-simple-way-to-store-an-input-in-vector-in-c-other-then-the-one-i,"Is there any simple way to store an input in vector in C++ ,other then the one i have implemented below?",68079234.0,,
37,"['c++', 'googlemock']","{'account_id': 10464132, 'reputation': 13, 'user_id': 7713985, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/802747033212993/picture?type=large', 'display_name': 'Evan Yang', 'link': 'https://stackoverflow.com/users/7713985/evan-yang'}",True,80,1,0,,1658882480,1622691751,1658882480.0,67815084,CC BY-SA 4.0,https://stackoverflow.com/questions/67815084/how-do-i-mock-this-on-c,How do I mock this on C++?,67817576.0,,
38,"['c++', 'unit-testing', 'googletest', 'googlemock']","{'account_id': 8828121, 'reputation': 1835, 'user_id': 6595663, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5c1f203ae549c956239af1fcc315da1a?s=256&d=identicon&r=PG&f=1', 'display_name': 'BhanuKiran', 'link': 'https://stackoverflow.com/users/6595663/bhanukiran'}",False,394,1,0,,1658882474,1622807620,1658882474.0,67836784,CC BY-SA 4.0,https://stackoverflow.com/questions/67836784/mock-multiple-derived-derived-class-in-cpp-google-mock,Mock Multiple derived Derived class in cpp - google mock,,,
39,"['c++', 'googlemock']","{'account_id': 6736442, 'reputation': 3560, 'user_id': 5191073, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/58bf35fa4a2da994fa7602939d962183?s=256&d=identicon&r=PG&f=1', 'display_name': 'Christopher Pisz', 'link': 'https://stackoverflow.com/users/5191073/christopher-pisz'}",True,252,1,0,,1658882467,1622824303,1658882467.0,67840889,CC BY-SA 4.0,https://stackoverflow.com/questions/67840889/gmock-perform-an-action-after-expected-calls,GMock - Perform an action AFTER Expected calls,67853183.0,,
40,"['c++', 'unit-testing', 'googletest', 'googlemock']","{'account_id': 382125, 'reputation': 1271, 'user_id': 737172, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/9c600702dddd78163b73952749b0240a?s=256&d=identicon&r=PG', 'display_name': 'pvd', 'link': 'https://stackoverflow.com/users/737172/pvd'}",True,52,1,0,,1658882459,1623377983,1658882459.0,67930515,CC BY-SA 4.0,https://stackoverflow.com/questions/67930515/how-to-address-gmock-with-symbol-not-found-error,How to address Gmock with Symbol not found error?,67932157.0,,
41,"['c++', 'unit-testing', 'googletest', 'googlemock']","{'account_id': 382125, 'reputation': 1271, 'user_id': 737172, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/9c600702dddd78163b73952749b0240a?s=256&d=identicon&r=PG', 'display_name': 'pvd', 'link': 'https://stackoverflow.com/users/737172/pvd'}",True,393,1,0,,1658882452,1623403729,1658882452.0,67934510,CC BY-SA 4.0,https://stackoverflow.com/questions/67934510/how-to-mock-non-virtual-methods-in-concrete-classes-using-gmock,How to mock Non-virtual Methods in concrete classes using gmock?,67935338.0,,
42,"['c++', 'googletest', 'googlemock']","{'account_id': 21942782, 'reputation': 3, 'user_id': 16223089, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9a76299d058270d79a49ccbf02960a85?s=256&d=identicon&r=PG&f=1', 'display_name': 'AdamH.', 'link': 'https://stackoverflow.com/users/16223089/adamh'}",True,197,1,0,,1658882444,1623767053,1658882444.0,67988167,CC BY-SA 4.0,https://stackoverflow.com/questions/67988167/what-happens-if-multiple-willrepeatedly-actions-are-specified-on-a-google-mock,What happens if multiple WillRepeatedly actions are specified on a google mock?,67989848.0,,
43,"['c++', 'unit-testing', 'googletest', 'googlemock']","{'account_id': 2531928, 'reputation': 2539, 'user_id': 2200058, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://www.gravatar.com/avatar/eb6c5930c5e17bb33b1429acc61fee88?s=256&d=identicon&r=PG', 'display_name': 'Alex Gidan', 'link': 'https://stackoverflow.com/users/2200058/alex-gidan'}",False,225,1,1,,1658882413,1624247540,1658882413.0,68062100,CC BY-SA 4.0,https://stackoverflow.com/questions/68062100/mock-a-method-and-capture-one-of-its-output-parameters-after-the-execution,Mock a method and capture one of its output parameters after the execution,,,
44,"['c++', 'googletest', 'googlemock']","{'account_id': 16433738, 'reputation': 19, 'user_id': 11871861, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-0HBzCZAUOJ8/AAAAAAAAAAI/AAAAAAAAAKw/uQbpKNIHB80/photo.jpg?sz=256', 'display_name': 'developer_in_the_making', 'link': 'https://stackoverflow.com/users/11871861/developer-in-the-making'}",False,367,1,-1,,1658870930,1624387212,1658870930.0,68089168,CC BY-SA 4.0,https://stackoverflow.com/questions/68089168/factory-pattern-w-gmock,Factory Pattern w/ Gmock,,,
45,"['c++', 'grpc', 'googletest', 'googlemock']","{'account_id': 11605674, 'reputation': 414, 'user_id': 8501483, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e4b2bbd1fbfe0e212f78c39f8301936f?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tinyden', 'link': 'https://stackoverflow.com/users/8501483/tinyden'}",False,465,1,3,,1658870919,1624426278,1658870919.0,68093995,CC BY-SA 4.0,https://stackoverflow.com/questions/68093995/google-mock-on-grpc,Google mock on gRPC,,,
46,"['c++', 'memory']","{'account_id': 15670989, 'reputation': 61, 'user_id': 11819480, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/WkUpo.png?s=256&g=1', 'display_name': 'Mark Hurden', 'link': 'https://stackoverflow.com/users/11819480/mark-hurden'}",True,873,2,0,,1658661255,1623569388,1658661255.0,67955877,CC BY-SA 4.0,https://stackoverflow.com/questions/67955877/clear-strings-from-process-memory,Clear strings from process memory,67956084.0,,
