,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason,protected_date,migrated_from,locked_date
10,"['c++', 'linux', 'cmake', 'installation']","{'account_id': 16769674, 'reputation': 408, 'user_id': 12122412, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10214973835401903/picture?type=large', 'display_name': 'Gabriel', 'link': 'https://stackoverflow.com/users/12122412/gabriel'}",False,8874,,1,3,1665014745,1575623553,59210050,CC BY-SA 4.0,https://stackoverflow.com/questions/59210050/how-to-resolve-error-when-bootstrapping-cmake-on-linux,How to resolve: Error when bootstrapping CMake on Linux,1575629749.0,,,,,
11,"['c++', 'exception', 'lambda', 'language-lawyer', 'scopeguard']","{'account_id': 2641454, 'reputation': 1202, 'user_id': 2284995, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d12a6f2f52f6daa4788c87f5411eb9d2?s=256&d=identicon&r=PG', 'display_name': 'zwhconst', 'link': 'https://stackoverflow.com/users/2284995/zwhconst'}",True,165,,1,2,1665008320,1575801148,59234517,CC BY-SA 4.0,https://stackoverflow.com/questions/59234517/is-a-lambda-expression-that-only-captures-by-reference-guaranteed-not-to-throw,Is a lambda-expression that only captures by reference guaranteed not to throw?,1575805466.0,,,,,
12,"['c++', 'templates', 'language-lawyer', 'argument-dependent-lookup']","{'account_id': 9592105, 'reputation': 578, 'user_id': 7122617, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7cd5c37256b8055814bb503de5efd0b1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Baykov Nikita', 'link': 'https://stackoverflow.com/users/7122617/baykov-nikita'}",True,122,,1,1,1664974036,1575818852,59236904,CC BY-SA 4.0,https://stackoverflow.com/questions/59236904/the-rationale-for-some-of-the-adl-algorithm-steps-c,The rationale for some of the ADL algorithm steps (C++),1575884183.0,,,,,
13,"['c++', 'language-lawyer', 'constants', 'lifetime', 'placement-new']","{'account_id': 933555, 'reputation': 7845, 'user_id': 963864, 'user_type': 'registered', 'accept_rate': 17, 'profile_image': 'https://www.gravatar.com/avatar/94e2dd813e278309b6281b4a4b7fdddd?s=256&d=identicon&r=PG', 'display_name': 'curiousguy', 'link': 'https://stackoverflow.com/users/963864/curiousguy'}",True,211,,2,6,1664935334,1576132301,59298904,CC BY-SA 4.0,https://stackoverflow.com/questions/59298904/undead-objects-basic-life-8-why-is-reference-rebinding-and-const-modificat,Undead objects ([basic.life]/8): why is reference rebinding (and const modification) allowed?,1576184770.0,,,,,
14,"['c++', 'language-lawyer', 'constexpr', 'static-data']","{'account_id': 12951808, 'reputation': 505, 'user_id': 9363849, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3e45c91290142dd4c6091736d3043de8?s=256&d=identicon&r=PG&f=1', 'display_name': 'Ankur deDev', 'link': 'https://stackoverflow.com/users/9363849/ankur-dedev'}",False,298,,1,1,1664933435,1576733821,59403808,CC BY-SA 4.0,https://stackoverflow.com/questions/59403808/static-data-member-const-declaration-constexpr-definition-does-it-work,Static data member: &quot;const declaration / constexpr definition&quot; does it work?,1576734308.0,,,,,
15,"['python', 'c++', 'opencv', 'redis']","{'account_id': 9963121, 'reputation': 909, 'user_id': 7371707, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4ffd4213f87a6f6ea4d9c6ac0d179978?s=256&d=identicon&r=PG&f=1', 'display_name': 'ToughMind', 'link': 'https://stackoverflow.com/users/7371707/toughmind'}",True,850,67745438.0,1,1,1664729378,1575452706,59173000,CC BY-SA 4.0,https://stackoverflow.com/questions/59173000/sharing-opencv-image-between-c-and-python-using-redis,Sharing Opencv image between C++ and python using Redis,,,,,,
16,"['c++', 'gcc', 'build', 'bazel', 'permission-denied']","{'account_id': 16247918, 'reputation': 53, 'user_id': 11732556, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-0biihBhangw/AAAAAAAAAAI/AAAAAAAACo0/ZR-KUu46OOY/photo.jpg?sz=256', 'display_name': 'Bill Huang', 'link': 'https://stackoverflow.com/users/11732556/bill-huang'}",False,3576,,0,1,1664518295,1576060877,59283927,CC BY-SA 4.0,https://stackoverflow.com/questions/59283927/bazel-build-permission-denied,Bazel Build Permission denied,1576119786.0,,,,,
17,"['c++', 'controls', 'smartcard']","{'account_id': 17259264, 'reputation': 31, 'user_id': 12497634, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/291962bc35fc77d8d95ec33922883112?s=256&d=identicon&r=PG&f=1', 'display_name': 'Tamtee', 'link': 'https://stackoverflow.com/users/12497634/tamtee'}",False,306,,1,2,1664378982,1576607235,59380079,CC BY-SA 4.0,https://stackoverflow.com/questions/59380079/what-is-the-windows-value-format-for-smart-card-control-codes,What is the Windows value format for Smart Card control codes?,1576631483.0,,,,,
18,"['c++', 'xcode', 'debugging', 'lldb']","{'account_id': 1570913, 'reputation': 11540, 'user_id': 1458617, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/0790c4e75c14c45344fef4937aac2e8a?s=256&d=identicon&r=PG', 'display_name': 'Rudolfs Bundulis', 'link': 'https://stackoverflow.com/users/1458617/rudolfs-bundulis'}",False,286,,2,0,1664286820,1576761650,59410627,CC BY-SA 4.0,https://stackoverflow.com/questions/59410627/lldb-source-paths-for-an-external-framework,lldb source paths for an external framework,1592644375.0,,,,,
19,"['c#', 'c++']","{'account_id': 1404203, 'reputation': 510, 'user_id': 1332365, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/1JZrS.jpg?s=256&g=1', 'display_name': 'Rob Ainscough', 'link': 'https://stackoverflow.com/users/1332365/rob-ainscough'}",True,184,,1,-4,1663674726,1575933916,59258069,CC BY-SA 4.0,https://stackoverflow.com/questions/59258069/instantiate-an-object-and-call-method-returning-a-value-in-c-or-c-with-single,Instantiate an object and call method returning a value in C# or C++ with single line of syntax?,1663674726.0,,,,,
20,"['c++', 'optimization', 'scientific-computing']","{'account_id': 17262642, 'reputation': 66, 'user_id': 12500169, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/218cb8d02c4730bab9bb73211da5626a?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bobson Dugnut', 'link': 'https://stackoverflow.com/users/12500169/bobson-dugnut'}",True,1371,,1,0,1663540324,1575811910,59235896,CC BY-SA 4.0,https://stackoverflow.com/questions/59235896/will-an-if-statement-with-an-unchanging-condition-slow-down-my-c-code,Will an if statement with an unchanging condition slow down my C++ code?,1575814165.0,,,,,
21,"['c++', 'cmake', 'googletest', 'googlemock']","{'account_id': 9363176, 'reputation': 632, 'user_id': 6948906, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/98ed394a6c0ad767f61be5a2a87930ed?s=256&d=identicon&r=PG&f=1', 'display_name': 'Alex', 'link': 'https://stackoverflow.com/users/6948906/alex'}",False,394,,0,3,1663226651,1576138282,59300175,CC BY-SA 4.0,https://stackoverflow.com/questions/59300175/why-is-expect-call-causing-a-read-access-violation-gmock,Why is EXPECT_CALL causing a read access violation GMock?,1610095726.0,,,,,
22,"['c++', 'boost', 'cmake']","{'account_id': 17236648, 'reputation': 101, 'user_id': 12479980, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7d18bc3885f95909b822504407e3c92c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Amjad Alissa', 'link': 'https://stackoverflow.com/users/12479980/amjad-alissa'}",True,5377,,2,6,1663188776,1575527911,59189573,CC BY-SA 4.0,https://stackoverflow.com/questions/59189573/could-not-find-boost-missing-unit-test-framework-found-version-1-71-0,Could NOT find Boost (missing: unit_test_framework) (found version &quot;1.71.0&quot;),1575530107.0,,,,,
23,"['c++', 'macros', 'metaprogramming']","{'account_id': 2468869, 'reputation': 1464, 'user_id': 2151275, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/2d9bf4f71e74bb9681f47ba862067c48?s=256&d=identicon&r=PG', 'display_name': 'heLomaN', 'link': 'https://stackoverflow.com/users/2151275/heloman'}",True,415,59379199.0,2,1,1662994777,1576587751,59374827,CC BY-SA 4.0,https://stackoverflow.com/questions/59374827/is-there-a-way-to-count-member-variable-of-a-class-in-compile-time,Is there a way to count member variable of a class in compile time?,,,,,,
24,"['c++', 'subclass', 'file-handling']","{'account_id': 17384123, 'reputation': 21, 'user_id': 12595794, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mDQYcZTPoF99iTGfmmvK93RMZaVRFrZRrk8cBh_2Q=k-s256', 'display_name': 'Harshaa Jaishankar', 'link': 'https://stackoverflow.com/users/12595794/harshaa-jaishankar'}",True,71,59481059.0,2,1,1662191329,1577282030,59479047,,https://stackoverflow.com/questions/59479047/i-am-not-able-to-get-input-after-a-certain-point-from-the-user-even-though-no,I am not able to get input after a certain point ( from the user) even though no error pops wile compiling,,1577352208.0,Duplicate,,,
25,"['c++', 'opencv', 'pthreads']","{'account_id': 17241062, 'reputation': 1, 'user_id': 12483299, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2172245849750097/picture?type=large', 'display_name': 'Дмитрий Бублик', 'link': 'https://stackoverflow.com/users/12483299/%d0%94%d0%bc%d0%b8%d1%82%d1%80%d0%b8%d0%b9-%d0%91%d1%83%d0%b1%d0%bb%d0%b8%d0%ba'}",False,424,,0,0,1662144642,1575517583,59187929,CC BY-SA 4.0,https://stackoverflow.com/questions/59187929/how-to-speed-opencv-createmergemertens-function,How to speed OpenCV createMergeMertens function?,1662144642.0,,,,,
26,"['c++', 'object', 'memory', 'c++17', 'typetraits']","{'account_id': 4438260, 'reputation': 24820, 'user_id': 3613500, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://i.stack.imgur.com/lIfov.png?s=256&g=1', 'display_name': 'David Haim', 'link': 'https://stackoverflow.com/users/3613500/david-haim'}",True,780,59424335.0,2,4,1661535688,1576834496,59422888,CC BY-SA 4.0,https://stackoverflow.com/questions/59422888/can-we-detect-trivial-relocatability-in-c17,Can we detect &quot;trivial relocatability&quot; in C++17?,1576836006.0,,,,,
27,['c++'],"{'account_id': 12000688, 'reputation': 89, 'user_id': 9052419, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d5fba0078422ae413384dad9bf6121e7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Beelzebielsk', 'link': 'https://stackoverflow.com/users/9052419/beelzebielsk'}",True,328,59328929.0,2,-1,1661327923,1576208193,59315801,CC BY-SA 4.0,https://stackoverflow.com/questions/59315801/class-member-without-copying,Class member without copying,1661327923.0,,,,,
28,"['c++', 'visual-studio-2019', 'c++20', 'c++-coroutine']","{'account_id': 284252, 'reputation': 3546, 'user_id': 582235, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://www.gravatar.com/avatar/e223d8b9696861a2ed29be81b74680a3?s=256&d=identicon&r=PG', 'display_name': 'kynnysmatto', 'link': 'https://stackoverflow.com/users/582235/kynnysmatto'}",True,770,,2,3,1660437020,1576711911,59401418,CC BY-SA 4.0,https://stackoverflow.com/questions/59401418/how-can-i-call-a-coroutine-from-another-coroutine-in-c,How can I call a coroutine from another coroutine in C++?,1576767045.0,,,,,
29,"['c++', 'visual-studio', 'opencv']","{'account_id': 8214253, 'reputation': 543, 'user_id': 6181244, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/Dzl4a.jpg?s=256&g=1', 'display_name': 'Mohamed Nor', 'link': 'https://stackoverflow.com/users/6181244/mohamed-nor'}",True,2031,,1,0,1660345035,1576574601,59371086,CC BY-SA 4.0,https://stackoverflow.com/questions/59371086/cv-haar-scale-image-is-not-defined-in-opencv4-on-windows,CV_HAAR_SCALE_IMAGE is not defined in OpenCv4 on windows,1660345035.0,,,,,
30,['c++'],"{'account_id': 16778997, 'reputation': 2132, 'user_id': 12473258, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/expaq.jpg?s=256&g=1', 'display_name': 'srilakshmikanthanp', 'link': 'https://stackoverflow.com/users/12473258/srilakshmikanthanp'}",True,1078,59371159.0,2,3,1659709488,1576568358,59369568,CC BY-SA 4.0,https://stackoverflow.com/questions/59369568/overloading-the-nothrow-version-of-new-and-delete,Overloading the nothrow Version of new and delete,1585469131.0,,,,,
31,"['c++', 'qt', 'syntax', 'tooltip']","{'account_id': 17231206, 'reputation': 31, 'user_id': 12475734, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e2e8a146d1b3715e7d6bedbac5ab1f60?s=256&d=identicon&r=PG&f=1', 'display_name': 'Azyrod', 'link': 'https://stackoverflow.com/users/12475734/azyrod'}",False,170,,1,1,1659279541,1575398778,59163492,CC BY-SA 4.0,https://stackoverflow.com/questions/59163492/add-a-tooltip-with-a-qsyntaxhighlighter-and-a-qtextcharformat,Add a ToolTip with a QSyntaxHighlighter and a QTextCharFormat,1575403762.0,,,,,
32,"['c++', 'casting']","{'account_id': 16568135, 'reputation': 109, 'user_id': 11972111, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/410e566c5baa9e13d7c0c43a39631a61?s=256&d=identicon&r=PG&f=1', 'display_name': 'lairv', 'link': 'https://stackoverflow.com/users/11972111/lairv'}",True,962,59471854.0,2,1,1658425849,1577207341,59471703,CC BY-SA 4.0,https://stackoverflow.com/questions/59471703/why-cant-we-static-cast-a-char-pointer-to-an-int-pointer,Why can&#39;t we static cast a char pointer to an int pointer?,,,,,,
33,"['c++', 'boost', 'command-line-arguments', 'boost-program-options']","{'account_id': 15947794, 'reputation': 45, 'user_id': 11507870, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/OtbfA.jpg?s=256&g=1', 'display_name': 'Martin Luther Yung', 'link': 'https://stackoverflow.com/users/11507870/martin-luther-yung'}",True,448,59596118.0,1,1,1658249782,1577697351,59528287,CC BY-SA 4.0,https://stackoverflow.com/questions/59528287/how-to-use-boost-program-options-to-consume-remove-an-option-in-argv-after-usage,How to use boost program_options to consume/remove an option in ARGV after usage,1658249782.0,,,,,
34,"['c++', 'qt', 'sdk', 'dllimport', 'alliedvision']","{'account_id': 10896532, 'reputation': 1, 'user_id': 8010301, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/744170131f158170d2422c9ba087e6fa?s=256&d=identicon&r=PG&f=1', 'display_name': 'farhad94', 'link': 'https://stackoverflow.com/users/8010301/farhad94'}",False,376,,0,0,1657311811,1576240304,59322692,CC BY-SA 4.0,https://stackoverflow.com/questions/59322692/qt-mingw-vimba-sdk-definition-is-marked-dllimport,Qt MinGW Vimba SDK: definition is marked dllimport,1657311811.0,,,,,
35,['c++'],"{'account_id': 13213265, 'reputation': 109, 'user_id': 9616438, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-i1EXWDr0TzY/AAAAAAAAAAI/AAAAAAAAAng/5fgLTFCvSrU/photo.jpg?sz=256', 'display_name': 'kazi siam', 'link': 'https://stackoverflow.com/users/9616438/kazi-siam'}",True,2323,,6,4,1656943099,1577512331,59508492,CC BY-SA 4.0,https://stackoverflow.com/questions/59508492/hackerrank-day-1-data-types-in-c,HackerRank: Day 1: Data Types in C++,1592640607.0,,,,,
36,"['c++', 'pointers', 'unique-ptr']","{'account_id': 14163907, 'reputation': 31, 'user_id': 10232356, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6d3fb5310896696167b63eea2d01de19?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jesse', 'link': 'https://stackoverflow.com/users/10232356/jesse'}",True,653,72832855.0,2,2,1656697612,1577704336,59529859,CC BY-SA 4.0,https://stackoverflow.com/questions/59529859/can-a-smart-pointer-be-forward-declared-and-initialized-separately,Can a smart pointer be forward declared and initialized separately?,1656697147.0,,,,,
37,"['c++', 'templates', 'c++20', 'c++-concepts', 'definition-checking']","{'account_id': 1041926, 'reputation': 22989, 'user_id': 1047788, 'user_type': 'registered', 'accept_rate': 81, 'profile_image': 'https://i.stack.imgur.com/xA1rW.png?s=256&g=1', 'display_name': 'user7610', 'link': 'https://stackoverflow.com/users/1047788/user7610'}",True,196,59336401.0,2,3,1656350183,1576330545,59335619,CC BY-SA 4.0,https://stackoverflow.com/questions/59335619/how-do-i-statically-check-my-templated-class-at-definition-time,How do I statically check my templated class at definition time?,1656350183.0,,,,,
38,"['c++', 'windows', 'opengl', 'glfw']","{'account_id': 15293671, 'reputation': 420, 'user_id': 11034467, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-RV7F1dkxgXc/AAAAAAAAAAI/AAAAAAAAARU/ShpM5Hgk_K0/photo.jpg?sz=256', 'display_name': 'Michaelt LoL', 'link': 'https://stackoverflow.com/users/11034467/michaelt-lol'}",True,5917,59167211.0,6,5,1655499006,1575407412,59165392,CC BY-SA 4.0,https://stackoverflow.com/questions/59165392/c-how-to-make-precise-frame-rate-limit,C++ How to make precise frame rate limit?,1600660043.0,,,,,
39,"['c++', 'csv', 'numbers', 'output']","{'account_id': 17311238, 'reputation': 15, 'user_id': 12538763, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mBgmpUIf9EYSNP2cJAZsLIOu99f4pxVEqNLg2G-AUY=k-s256', 'display_name': 'Mauricio Goette', 'link': 'https://stackoverflow.com/users/12538763/mauricio-goette'}",True,63,59361234.0,1,0,1655334678,1576505203,59358286,CC BY-SA 4.0,https://stackoverflow.com/questions/59358286/convert-csv-line-to-one-item-per-line,Convert CSV line to one item per line,1655334678.0,,,,,
40,"['c++', 'qt', 'qt3d']","{'account_id': 4107590, 'reputation': 762, 'user_id': 3514014, 'user_type': 'registered', 'accept_rate': 44, 'profile_image': 'https://www.gravatar.com/avatar/b9ed2b5e12257bb0151540e20288c8fc?s=256&d=identicon&r=PG&f=1', 'display_name': 'clambake', 'link': 'https://stackoverflow.com/users/3514014/clambake'}",True,612,,1,3,1655288831,1577053471,59448475,CC BY-SA 4.0,https://stackoverflow.com/questions/59448475/qt3d-skeletal-animation,Qt3D Skeletal Animation,1577062660.0,,,,,
41,"['c++', 'recursion', 'serialization', 'deserialization', 'binary-tree']","{'account_id': 5262547, 'reputation': 369, 'user_id': 10044690, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9c84efa645b45ef3756fcb459157f3c5?s=256&d=identicon&r=PG&f=1', 'display_name': 'indigoblue', 'link': 'https://stackoverflow.com/users/10044690/indigoblue'}",False,135,,2,0,1654849319,1576560433,59368076,CC BY-SA 4.0,https://stackoverflow.com/questions/59368076/c-deserializing-a-binary-tree,C++ deserializing a binary tree,,,,,,
42,"['c++', 'opencv', 'cmake']","{'account_id': 16445114, 'reputation': 45, 'user_id': 11880142, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a6f54a7087d576d99ec6e4ca7b96b38e?s=256&d=identicon&r=PG&f=1', 'display_name': 'JGil', 'link': 'https://stackoverflow.com/users/11880142/jgil'}",True,3242,59461473.0,2,3,1654512732,1577087387,59451774,CC BY-SA 4.0,https://stackoverflow.com/questions/59451774/how-can-i-simply-include-opencv-inside-my-project-with-cmake,How can I simply include opencv INSIDE my project with CMake,1577087883.0,,,,,
43,"['c++', 'arrays', 'assembly']","{'account_id': 11305439, 'reputation': 11, 'user_id': 8290211, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-7UclhhS4MQU/AAAAAAAAAAI/AAAAAAAAABc/g9cVckKSSg8/photo.jpg?sz=256', 'display_name': 'Emil', 'link': 'https://stackoverflow.com/users/8290211/emil'}",False,256,,0,1,1654165979,1575221184,59128072,CC BY-SA 4.0,https://stackoverflow.com/questions/59128072/c-inline-assembly-looping-through-2d-array,C++ inline assembly looping through 2d array,,,,,,
44,"['c++', 'visual-studio', 'visual-studio-2019']","{'account_id': 17077955, 'reputation': 146, 'user_id': 12357142, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf6704eb456f23dbb66de24500a933c7?s=256&d=identicon&r=PG&f=1', 'display_name': 'klaus_bathory', 'link': 'https://stackoverflow.com/users/12357142/klaus-bathory'}",True,1605,59537603.0,1,9,1654014565,1577744465,59537471,CC BY-SA 4.0,https://stackoverflow.com/questions/59537471/change-astericks-position-when-declaring-a-pointer,Change asterick&#39;s position when declaring a pointer,1654014565.0,,,,,
45,"['c++', 'object']","{'account_id': 7136553, 'reputation': 781, 'user_id': 5455941, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/9d15614985a2ae4540c08f7987341c1e?s=256&d=identicon&r=PG&f=1', 'display_name': 'data_pi', 'link': 'https://stackoverflow.com/users/5455941/data-pi'}",True,200,59495346.0,2,0,1653925415,1577405402,59494670,CC BY-SA 4.0,https://stackoverflow.com/questions/59494670/c-redefinition-previously-defined-error,C++ - Redefinition/Previously defined error,,,,,,
46,"['c++', 'file', 'unsigned']","{'account_id': 10703890, 'reputation': 11, 'user_id': 7878314, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-vQMzs1i9LDY/AAAAAAAAAAI/AAAAAAAAAN0/DFFOTRpcoeE/photo.jpg?sz=256', 'display_name': 'MHD Anas Alsakkal', 'link': 'https://stackoverflow.com/users/7878314/mhd-anas-alsakkal'}",True,85,59495407.0,2,0,1653555359,1577413448,59495339,CC BY-SA 4.0,https://stackoverflow.com/questions/59495339/writing-unsigned-char-into-an-output-file,Writing unsigned char into an output file,1653555359.0,,,,,
