,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,closed_date,last_edit_date,closed_reason,accepted_answer_id
10,"['c++', 'c++11', 'constructor']","{'account_id': 2912654, 'reputation': 75, 'user_id': 2496549, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/3NlOg.jpg?s=256&g=1', 'display_name': 'CodeDevil', 'link': 'https://stackoverflow.com/users/2496549/codedevil'}",True,18038,1,7,1665577495,1587876570,61435943,CC BY-SA 4.0,https://stackoverflow.com/questions/61435943/declared-implicitly-cannot-be-referenced-it-is-a-deleted-function,(declared implicitly) cannot be referenced -- it is a deleted function,,1587880297.0,,61436846.0
11,"['c++', 'string', 'algorithm', 'performance', 'optimization']","{'account_id': 16122615, 'reputation': 33, 'user_id': 11720268, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6e4a2936af75d6c644f0d8f1d0906f08?s=256&d=identicon&r=PG&f=1', 'display_name': 'groove', 'link': 'https://stackoverflow.com/users/11720268/groove'}",True,648,3,1,1665250065,1586250738,61076536,CC BY-SA 4.0,https://stackoverflow.com/questions/61076536/count-number-of-different-characters-between-two-strings-of-equal-length,Count number of different characters between two strings of equal length,,1586254968.0,,
12,"['c++', 'g++', 'mingw', 'clion', 'cplex']","{'account_id': 18165431, 'reputation': 1, 'user_id': 13216116, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9feeec684776359da352dbc766ad40cc?s=256&d=identicon&r=PG&f=1', 'display_name': 'cplextest', 'link': 'https://stackoverflow.com/users/13216116/cplextest'}",True,793,3,0,1665087334,1585951432,61021096,CC BY-SA 4.0,https://stackoverflow.com/questions/61021096/c-cplex-cp-optimizer-makefile-issues-on-project-build-using-clion-with-mingw,C++: Cplex/cp optimizer makefile issues on project build using Clion with MinGW and g++ compiler,,,,
13,['c++'],"{'account_id': 2158802, 'reputation': 113, 'user_id': 1928287, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8c214829e9587b20ed8324447939c89e?s=256&d=identicon&r=PG', 'display_name': 'paulgessinger', 'link': 'https://stackoverflow.com/users/1928287/paulgessinger'}",False,310,2,2,1665054632,1586805891,61195222,CC BY-SA 4.0,https://stackoverflow.com/questions/61195222/stdregexmultiline-does-not-exist,std::regex::multiline does not exist,,,,
14,"['c++', 'c++17']","{'account_id': 18215378, 'reputation': 73, 'user_id': 13257133, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/048df83f84e43a52485c8af2fa4525ac?s=256&d=identicon&r=PG&f=1', 'display_name': 'werico4026', 'link': 'https://stackoverflow.com/users/13257133/werico4026'}",True,111,3,1,1665031154,1587187184,61284559,CC BY-SA 4.0,https://stackoverflow.com/questions/61284559/show-name-function-template-name,show name function template name,,,,
15,"['c++', 'formatting', 'g++', 'header-files', 'c++20']","{'account_id': 6692290, 'reputation': 1459, 'user_id': 5436259, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/84f0035c8c02b5ca04d3675ff63f3937?s=256&d=identicon&r=PG&f=1', 'display_name': 'infinitezero', 'link': 'https://stackoverflow.com/users/5436259/infinitezero'}",True,8459,3,20,1664759016,1587907175,61441494,CC BY-SA 4.0,https://stackoverflow.com/questions/61441494/how-to-use-the-format-header,How to use the &lt;format&gt; header,,1587907915.0,,61441669.0
16,"['c++', 'c++17', 'language-lawyer', 'one-definition-rule']","{'account_id': 16527027, 'reputation': 21316, 'user_id': 11941443, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f27a880243178eedf3abdab24898b335?s=256&d=identicon&r=PG&f=1', 'display_name': 'walnut', 'link': 'https://stackoverflow.com/users/11941443/walnut'}",True,234,1,10,1664747100,1587286324,61301746,CC BY-SA 4.0,https://stackoverflow.com/questions/61301746/unspecified-constant-expression-values-and-odr,Unspecified constant expression values and ODR,,1587302521.0,,
17,"['c++', 'arrays', 'sorting', 'stl']","{'account_id': 18056997, 'reputation': 35, 'user_id': 13125193, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/59834a81531c60f64e961a77b9a1a545?s=256&d=identicon&r=PG&f=1', 'display_name': 'Zhihan L', 'link': 'https://stackoverflow.com/users/13125193/zhihan-l'}",False,132,1,0,1664716386,1587009237,61242419,CC BY-SA 4.0,https://stackoverflow.com/questions/61242419/insert-element-into-array-sorted-order,insert element into array sorted order,,,,
18,"['c++', 'arrays', 'data-structures', 'hashmap']","{'account_id': 10443621, 'reputation': 1, 'user_id': 7699422, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/12a2761f4f65d94f6915635e715d6ba5?s=256&d=identicon&r=PG&f=1', 'display_name': 'John_Bradely', 'link': 'https://stackoverflow.com/users/7699422/john-bradely'}",True,8153,6,-3,1664689206,1587560818,61365916,CC BY-SA 4.0,https://stackoverflow.com/questions/61365916/maximum-frequency-number-in-an-array-using-hashmaps,Maximum Frequency Number in an array using Hashmaps,,1587561200.0,,
19,"['c++', 'macos', 'filesystems']","{'account_id': 4495620, 'reputation': 1593, 'user_id': 3655463, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/c567c095653589d1b50f37aeb72dbab1?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mateusz Wojtczak', 'link': 'https://stackoverflow.com/users/3655463/mateusz-wojtczak'}",True,489,3,2,1664644249,1587656020,61391135,CC BY-SA 4.0,https://stackoverflow.com/questions/61391135/get-block-file-size-on-macos-with-statfs,Get block file size on MacOs with statfs,,1587656346.0,,
20,"['c++', 'visual-c++', 'clang-tidy']","{'account_id': 18160779, 'reputation': 71, 'user_id': 13212204, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/78234a4843105a29a4b7067f096b825c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Raymond Wright', 'link': 'https://stackoverflow.com/users/13212204/raymond-wright'}",False,1048,1,6,1664625382,1585924288,61014184,CC BY-SA 4.0,https://stackoverflow.com/questions/61014184/clang-tidys-bugprone-exception-escape-behaves-weirdly-with-msvc-stl,clang-tidy&#39;s bugprone-exception-escape behaves weirdly with MSVC STL,,1664625382.0,,
21,"['c++', 'multithreading']","{'account_id': 16364763, 'reputation': 43, 'user_id': 11819524, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/91591b547a2a585049d2120a15d1b35c?s=256&d=identicon&r=PG&f=1', 'display_name': 'Shreyans', 'link': 'https://stackoverflow.com/users/11819524/shreyans'}",True,4044,1,1,1664177764,1586176070,61059870,CC BY-SA 4.0,https://stackoverflow.com/questions/61059870/what-is-lll-lock-wait-private-and-what-can-cause-a-hang-while-malloc-consolida,What is __lll_lock_wait_private and what can cause a hang while malloc_consolidate is called?,,1664177764.0,,61064093.0
22,"['c#', 'c++', 'visual-studio', 'msbuild']","{'account_id': 18394141, 'reputation': 45, 'user_id': 13399071, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ec4668fadb0f6fc5d79f6092e2b19df7?s=256&d=identicon&r=PG&f=1', 'display_name': 'Baguji', 'link': 'https://stackoverflow.com/users/13399071/baguji'}",True,378,3,4,1664173984,1588171596,61504639,CC BY-SA 4.0,https://stackoverflow.com/questions/61504639/msbuild-in-visual-studio-moving-files-before-including-them-as-content-c,MSBuild in Visual Studio - Moving files before including them as content (C#),,,,61515171.0
23,"['c++', 'matrix']","{'account_id': 18337415, 'reputation': 11, 'user_id': 13354513, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e10cd950fcc96e24965fdd080633a2e0?s=256&d=identicon&r=PG&f=1', 'display_name': 'frushan', 'link': 'https://stackoverflow.com/users/13354513/frushan'}",True,107,2,-1,1663699134,1587747298,61413462,CC BY-SA 4.0,https://stackoverflow.com/questions/61413462/printing-out-matrix-in-c-class-method-problem,"Printing out matrix in c++, class method problem",,1587748699.0,,
24,"['c++', 'windows', 'visual-studio', 'cmake', 'nmake']","{'account_id': 2345937, 'reputation': 2913, 'user_id': 2056201, 'user_type': 'registered', 'accept_rate': 23, 'profile_image': 'https://www.gravatar.com/avatar/bba9995d4071b28c1f54bcb8ae03a1f2?s=256&d=identicon&r=PG', 'display_name': 'Mich', 'link': 'https://stackoverflow.com/users/2056201/mich'}",False,501,1,0,1663530304,1586208903,61069334,CC BY-SA 4.0,https://stackoverflow.com/questions/61069334/error-c2039-is-directory-is-not-a-member-of-stdexperimentalfilesystem,error C2039: &#39;is_directory&#39;: is not a member of &#39;std::experimental::filesystem&#39; when using CMake in Windows,,1586210054.0,,
25,"['c++', 'codeblocks', 'undefined-reference']","{'account_id': 18177833, 'reputation': 11, 'user_id': 13226224, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-eZkto2e-ug8/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJMvss-GMNbvhs7DerTBUcrLA4rqrQ/photo.jpg?sz=256', 'display_name': 'Kodi Dewitt', 'link': 'https://stackoverflow.com/users/13226224/kodi-dewitt'}",False,736,1,1,1663410671,1586068765,61038932,CC BY-SA 4.0,https://stackoverflow.com/questions/61038932/c-error-undefinded-reference-to-studentstudent,C++ Error &quot;Undefinded reference to &#39;Student::Student,,1586073294.0,,
26,"['c++', 'runtime-error', 'address-sanitizer']","{'account_id': 18204123, 'reputation': 31, 'user_id': 13247767, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-VdZinWIZJw0/AAAAAAAAAAI/AAAAAAAAAhg/AAKWJJM7xKhiLRk9SumPIyPwasvUk4nvKw/photo.jpg?sz=256', 'display_name': 'Ved Bharad', 'link': 'https://stackoverflow.com/users/13247767/ved-bharad'}",True,32557,8,3,1663350092,1586257881,61078676,CC BY-SA 4.0,https://stackoverflow.com/questions/61078676/what-does-addresssanitizer-segv-on-unknown-address-0x000000000000-mean,What does AddressSanitizer: SEGV on unknown address 0x000000000000 mean?,,1586258155.0,,
27,"['c++', 'xcode', 'xcode11']","{'account_id': 7526532, 'reputation': 109, 'user_id': 5716511, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ZVShI.jpg?s=256&g=1', 'display_name': 'Gooday2die', 'link': 'https://stackoverflow.com/users/5716511/gooday2die'}",True,639,3,1,1663224427,1587276129,61300206,CC BY-SA 4.0,https://stackoverflow.com/questions/61300206/using-sockets-in-xcode-cpp,Using Sockets in Xcode Cpp,,1587299346.0,,61994829.0
28,"['c++', 'c', 'neovim', 'clangd']","{'account_id': 14179563, 'reputation': 319, 'user_id': 10243689, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-YJCMyIzl6RQ/AAAAAAAAAAI/AAAAAAAAAAA/APUIFaPQK7GmkLP9HL4OE7KDEYThc4m3jQ/mo/photo.jpg?sz=256', 'display_name': 'AMIR REZA SADEQI', 'link': 'https://stackoverflow.com/users/10243689/amir-reza-sadeqi'}",True,16979,3,8,1663051740,1586863952,61206703,CC BY-SA 4.0,https://stackoverflow.com/questions/61206703/is-there-includepath-option-in-clangd,Is there &quot;includePath&quot; option in clangd?,,1586864685.0,,
29,"['c++', 'for-loop', 'logical-operators']","{'account_id': 18013400, 'reputation': 97, 'user_id': 13092446, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GjGCU9NWj1aEiF-2AHq72FEiosZWpi8hWQR4f2vmg=k-s256', 'display_name': 'Gyanesh Sharma', 'link': 'https://stackoverflow.com/users/13092446/gyanesh-sharma'}",True,170,2,1,1662857533,1587702325,61401132,CC BY-SA 4.0,https://stackoverflow.com/questions/61401132/multiple-conditions-in-for-loop-for-a-single-loop-in-c,Multiple conditions in &#39;for&#39; loop for a single loop in C++,,1662069885.0,,61401587.0
30,"['c++', 'c++11', 'visual-studio-code', 'vscode-settings', 'vscode-debugger']","{'account_id': 15662330, 'reputation': 51, 'user_id': 11301004, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1538453419622851/picture?type=large', 'display_name': 'Aaron  Liang', 'link': 'https://stackoverflow.com/users/11301004/aaron-liang'}",True,2060,3,5,1662739220,1585789289,60982685,CC BY-SA 4.0,https://stackoverflow.com/questions/60982685/mac-vscode-debugger-always-show-error-about-and,Mac VSCode Debugger always show error about &#39;;&#39; and &#39;:&#39;,,1585792979.0,,
31,"['c++', 'boost', 'boost-asio']","{'account_id': 18148973, 'reputation': 367, 'user_id': 13201964, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-mtIjIQyKxEE/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJPKm_pFEDF_gRu9NwDpbxZhi7Q3ng/photo.jpg?sz=256', 'display_name': 'Bad_Panda', 'link': 'https://stackoverflow.com/users/13201964/bad-panda'}",True,7351,1,13,1662664709,1585849992,60997939,CC BY-SA 4.0,https://stackoverflow.com/questions/60997939/what-exacty-is-io-context,What exacty is io_context?,,,,60998079.0
32,"['c++', 'conventions']","{'account_id': 873521, 'reputation': 7004, 'user_id': 923846, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/09e0e62acac2bdbd44edb763d8566df4?s=256&d=identicon&r=PG', 'display_name': 'obe', 'link': 'https://stackoverflow.com/users/923846/obe'}",True,95,2,4,1662383567,1586550307,61148149,,https://stackoverflow.com/questions/61148149/is-implicit-testing-of-a-variable-against-0-really-considered-a-best-practice-w,Is implicit testing of a variable against 0 really considered a best practice? Why?,1586552306.0,,Opinion-based,
33,"['c++', 'qt']","{'account_id': 2978086, 'reputation': 301, 'user_id': 2528708, 'user_type': 'registered', 'accept_rate': 46, 'profile_image': 'https://www.gravatar.com/avatar/27b2312693fb922b7cdf95e0815cdd8d?s=256&d=identicon&r=PG', 'display_name': 'Kambiz', 'link': 'https://stackoverflow.com/users/2528708/kambiz'}",True,6255,3,7,1662208645,1586029662,61033875,CC BY-SA 4.0,https://stackoverflow.com/questions/61033875/how-to-fix-this-file-is-not-part-of-any-project-the-code-model-might-have-issu,How to fix &quot;This file is not part of any project. The code model might have issues parsing this file properly.&quot; bug in Qt Creator?,,,,
34,"['c++', 'syntax', 'void']","{'account_id': 10460108, 'reputation': 1958, 'user_id': 7711148, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-5gwWMAkyge4/AAAAAAAAAAI/AAAAAAAAAcQ/0rgpJTYuA_w/photo.jpg?sz=256', 'display_name': 'Jay', 'link': 'https://stackoverflow.com/users/7711148/jay'}",True,1610,4,19,1661988033,1586638955,61163681,,https://stackoverflow.com/questions/61163681/what-is-calling-void-doing,What is calling void(); doing?,1586715398.0,1586640819.0,Duplicate,61163752.0
35,"['c++', 'struct', 'unions']","{'account_id': 11905350, 'reputation': 193, 'user_id': 8712068, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-_fCoHTh5Zns/AAAAAAAAAAI/AAAAAAAAAKs/RMsu4F1LqjI/photo.jpg?sz=256', 'display_name': 'Kishore P', 'link': 'https://stackoverflow.com/users/8712068/kishore-p'}",True,70,1,0,1661804334,1585894182,61005994,CC BY-SA 4.0,https://stackoverflow.com/questions/61005994/how-to-define-and-access-unnamed-structure-inside-an-anonymous-union,How to define and access unnamed structure inside an anonymous union?,,1661804334.0,,61006691.0
36,"['c++', 'struct', 'unions']","{'account_id': 7182677, 'reputation': 563, 'user_id': 5485977, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-SvjEWTrmELs/AAAAAAAAAAI/AAAAAAAAADY/uXFkunrpPzY/photo.jpg?sz=256', 'display_name': 'dwib', 'link': 'https://stackoverflow.com/users/5485977/dwib'}",False,41,0,0,1661804307,1586183032,61062033,CC BY-SA 4.0,https://stackoverflow.com/questions/61062033/union-structs-that-have-already-been-declared,Union structs that have already been declared,,1661804307.0,,
37,"['c++', 'dynamic-memory-allocation', 'unions']","{'account_id': 17891231, 'reputation': 43, 'user_id': 12997644, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fc40d9d978bbb4b3db58805a055b7f94?s=256&d=identicon&r=PG&f=1', 'display_name': 'yabbasi', 'link': 'https://stackoverflow.com/users/12997644/yabbasi'}",True,535,2,1,1661804282,1586464864,61129868,CC BY-SA 4.0,https://stackoverflow.com/questions/61129868/dynamically-allocate-memory-to-arrays-in-a-union,Dynamically allocate memory to arrays in a union,,1661804282.0,,61135483.0
38,"['c++', 'pointers', 'linked-list', 'swap', 'unions']","{'account_id': 18202062, 'reputation': 144, 'user_id': 13246035, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgsHgia-elF0u7D_BzlWTxrbjat-Gv2tuzHKPn7=k-s256', 'display_name': 'Lily', 'link': 'https://stackoverflow.com/users/13246035/lily'}",True,554,1,0,1661804241,1586954697,61229047,CC BY-SA 4.0,https://stackoverflow.com/questions/61229047/how-to-sort-a-linked-list,How to sort a linked-list?,,1661804241.0,,61229579.0
39,"['c++', 'arrays', 'sum', 'digits']","{'account_id': 17608877, 'reputation': 29, 'user_id': 12777370, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mA9oIcgKTB4KFBkuDfoM6rGZIsg5JnMYAUFJkNx=k-s256', 'display_name': 'Samed Škulj', 'link': 'https://stackoverflow.com/users/12777370/samed-%c5%a0kulj'}",True,5393,2,1,1661543903,1587648731,61388512,CC BY-SA 4.0,https://stackoverflow.com/questions/61388512/sum-of-digits-of-each-elements-inside-an-array-of-integers,Sum of digits of each elements inside an array of integers,,1587649055.0,,61388568.0
40,"['c++', 'qt', 'opencv']","{'account_id': 17006095, 'reputation': 29, 'user_id': 12302276, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-ks5aBx3wqQ8/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3re0vqfAr3Naa2HB_MkFBnqK_kPdMQ/photo.jpg?sz=256', 'display_name': 'ping_pung', 'link': 'https://stackoverflow.com/users/12302276/ping-pung'}",True,1570,2,0,1661518330,1586455681,61127494,CC BY-SA 4.0,https://stackoverflow.com/questions/61127494/opencv2-calib3d-hpp-no-suh-file-or-directory-how-to-link-opencv-to-qt-correct,opencv2/calib3d.hpp : No suh file or directory (How to link opencv to qt correcttly),,1661518330.0,,
41,"['c++', 'grpc']","{'account_id': 15096605, 'reputation': 55, 'user_id': 10894897, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-6rWR8LY3KX0/AAAAAAAAAAI/AAAAAAAADYM/_P6H9Lik_tc/photo.jpg?sz=256', 'display_name': 'Shubhadeep Das', 'link': 'https://stackoverflow.com/users/10894897/shubhadeep-das'}",False,651,2,0,1661515183,1587407076,61329395,CC BY-SA 4.0,https://stackoverflow.com/questions/61329395/create-a-grpc-server-as-non-blocking,Create a grpc server as non blocking,,,,
42,"['c++', 'visual-studio', 'console', 'std']","{'account_id': 6491211, 'reputation': 250, 'user_id': 5790193, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/55EH1.jpg?s=256&g=1', 'display_name': 'David', 'link': 'https://stackoverflow.com/users/5790193/david'}",True,1783,2,2,1661468331,1585974046,61023716,CC BY-SA 4.0,https://stackoverflow.com/questions/61023716/first-instance-of-std-output-handle-identifier-is-undefined,First Instance of &quot;STD_OUTPUT_HANDLE&quot; Identifier is Undefined,,,,62099965.0
43,"['c++', 'gcc', 'visual-studio-code']","{'account_id': 1283160, 'reputation': 167, 'user_id': 1236783, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/9600e2197b9c34f569f1149f0c81005a?s=256&d=identicon&r=PG', 'display_name': 'Dominic Grenier', 'link': 'https://stackoverflow.com/users/1236783/dominic-grenier'}",True,686,1,3,1661335784,1587405298,61328894,CC BY-SA 4.0,https://stackoverflow.com/questions/61328894/workspacefolder-cpp-apparently-not-recognized-as-a-valid-path-in-vscode-ta,${workspaceFolder}\\*.cpp apparently not recognized as a valid path in vscode tasks.json,,1587409520.0,,
44,"['c++', 'linux']","{'account_id': 9469950, 'reputation': 191, 'user_id': 7041067, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e110f65b3b3818ba7d0693409d065307?s=256&d=identicon&r=PG&f=1', 'display_name': 'Cery', 'link': 'https://stackoverflow.com/users/7041067/cery'}",True,2765,1,1,1661328031,1588254813,61525015,CC BY-SA 4.0,https://stackoverflow.com/questions/61525015/how-to-build-liburing,how to build liburing,,1625473358.0,,64160207.0
45,"['c++', 'mysql', 'qt']","{'account_id': 18438424, 'reputation': 21, 'user_id': 13431659, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c4c195e03c7d019d7bd3539f31726dfb?s=256&d=identicon&r=PG&f=1', 'display_name': 'EdBatt', 'link': 'https://stackoverflow.com/users/13431659/edbatt'}",True,1108,2,1,1660992020,1588153849,61498949,CC BY-SA 4.0,https://stackoverflow.com/questions/61498949/build-qt-mysql-driver-for-mac-os-catalina,Build QT Mysql driver for Mac OS Catalina,,,,61570195.0
46,"['c++', 'memory-management']","{'account_id': 14814886, 'reputation': 3, 'user_id': 10699264, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-ihY9aj8pVHc/AAAAAAAAAAI/AAAAAAAACdQ/H6dzRCHbexE/photo.jpg?sz=256', 'display_name': 'Vaishnavi Ganseh', 'link': 'https://stackoverflow.com/users/10699264/vaishnavi-ganseh'}",True,516,1,0,1660931678,1587221574,61291154,CC BY-SA 4.0,https://stackoverflow.com/questions/61291154/c-stdbad-alloc-what-stdbad-alloc,C++ &#39;std::bad_alloc&#39; what(): std::bad_alloc,,1660931678.0,,61291618.0
