,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date,migrated_from,community_owned_date
32,"['c++', 'constructor', 'initialization']","{'account_id': 104451, 'reputation': 52178, 'user_id': 279259, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/f34f02bafe93e3a3784de74c4d8b7732?s=256&d=identicon&r=PG&f=1', 'display_name': 'ereOn', 'link': 'https://stackoverflow.com/users/279259/ereon'}",True,2988,7,8,1659510988,1332149575,,9767767,CC BY-SA 3.0,https://stackoverflow.com/questions/9767767/arguments-against-initialize-method-instead-of-constructors,Arguments against &quot;initialize()&quot; method instead of constructors,9767916.0,,,,,
33,"['c++', 'int', 'byte', 'id3']","{'account_id': 954051, 'reputation': 1570, 'user_id': 979663, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/23a2d9fa26f8d1b4f66d05590fde3da9?s=256&d=identicon&r=PG', 'display_name': 'carboncomputed', 'link': 'https://stackoverflow.com/users/979663/carboncomputed'}",True,16967,4,8,1658936669,1332877540,1332877824.0,9896589,CC BY-SA 3.0,https://stackoverflow.com/questions/9896589/how-do-you-read-in-a-3-byte-size-value-as-an-integer-in-c,How do you read in a 3 byte size value as an integer in c++?,9896627.0,,,,,
34,"['c++', 'windows', 'opengl', 'sdl', 'glew']","{'account_id': 127682, 'reputation': 6705, 'user_id': 325016, 'user_type': 'registered', 'accept_rate': 70, 'profile_image': 'https://www.gravatar.com/avatar/84dd218304770335d0a408867d8cc407?s=256&d=identicon&r=PG', 'display_name': 'aCuria', 'link': 'https://stackoverflow.com/users/325016/acuria'}",True,1413,1,-1,1658156335,1331586853,1658156335.0,9674909,CC BY-SA 4.0,https://stackoverflow.com/questions/9674909/windows-8-and-sdl-glew,Windows 8 and SDL/GLEW,9680128.0,,,,,
35,"['c++', 'c']","{'account_id': 285031, 'reputation': 5432, 'user_id': 583464, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/931448dc20c10c1b799bb9dba38b5e58?s=256&d=identicon&r=PG', 'display_name': 'George', 'link': 'https://stackoverflow.com/users/583464/george'}",True,130454,7,82,1658092876,1331138356,1508764468.0,9605556,CC BY-SA 3.0,https://stackoverflow.com/questions/9605556/how-to-project-a-point-onto-a-plane-in-3d,How to project a point onto a plane in 3D?,9605695.0,,,,,
36,"['c++', 'set', 'stdset']","{'account_id': 1236664, 'reputation': 2236, 'user_id': 1200129, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/50afb8a504db160e7f469ac97a0166eb?s=256&d=identicon&r=PG', 'display_name': '01100110', 'link': 'https://stackoverflow.com/users/1200129/01100110'}",True,21810,8,13,1657915287,1331046461,1429511810.0,9586281,CC BY-SA 3.0,https://stackoverflow.com/questions/9586281/set-detect-insertion-failure,Set detect insertion failure,9586325.0,,,,,
37,"['c++', 'parameters', 'constructor', 'initializer-list']","{'account_id': 356508, 'reputation': 1426, 'user_id': 696058, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/bf870cb634677eb81599f2a3d51bacaf?s=256&d=identicon&r=PG', 'display_name': 'gardian06', 'link': 'https://stackoverflow.com/users/696058/gardian06'}",True,75690,6,84,1657776369,1332921116,1657776369.0,9903248,,https://stackoverflow.com/questions/9903248/initializing-fields-in-constructor-initializer-list-vs-constructor-body,Initializing fields in constructor - initializer list vs constructor body,9903262.0,1417360973.0,Duplicate,,,
38,"['c++', 'stream', 'ifstream']","{'account_id': 1282583, 'reputation': 146, 'user_id': 1236345, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/72298ddcc458450222fde9ac87edec68?s=256&d=identicon&r=PG', 'display_name': 'Warkanlock', 'link': 'https://stackoverflow.com/users/1236345/warkanlock'}",True,73448,3,11,1657294784,1330542294,1657294784.0,9505085,CC BY-SA 4.0,https://stackoverflow.com/questions/9505085/replace-a-line-in-text-file,Replace a line in text file,,,,,,
39,['c++'],"{'account_id': 125053, 'reputation': 7873, 'user_id': 320570, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/da52e85c547b2cc28d891fdcb7858911?s=256&d=identicon&r=PG', 'display_name': 'Jimm', 'link': 'https://stackoverflow.com/users/320570/jimm'}",True,1985,2,3,1656008863,1332126097,,9764477,CC BY-SA 3.0,https://stackoverflow.com/questions/9764477/what-is-c-modules-and-how-do-they-differ-from-namespaces,what is c++ modules and how do they differ from namespaces?,9764564.0,,,,,
40,"['c++', 'qt', 'azure']","{'account_id': 785396, 'reputation': 4114, 'user_id': 931726, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://i.stack.imgur.com/um8h7.jpg?s=256&g=1', 'display_name': 'chikuba', 'link': 'https://stackoverflow.com/users/931726/chikuba'}",True,73672,11,57,1655617334,1330662308,1544452003.0,9527960,CC BY-SA 4.0,https://stackoverflow.com/questions/9527960/how-do-i-construct-an-iso-8601-datetime-in-c,How do I construct an ISO 8601 datetime in C++?,9528166.0,,,,,
41,"['c++', 'c', 'environment-variables']","{'account_id': 141491, 'reputation': 97040, 'user_id': 348545, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://www.gravatar.com/avatar/8c45eeae6f3bdb3e49b50a0b8241f6d4?s=256&d=identicon&r=PG', 'display_name': 'Jonathan Livni', 'link': 'https://stackoverflow.com/users/348545/jonathan-livni'}",True,5144,4,9,1655156879,1330699326,1330701267.0,9535112,CC BY-SA 3.0,https://stackoverflow.com/questions/9535112/get-all-env-variables-in-c-c-on-windows,Get all env variables in C\C++ on Windows,,,,,,
42,"['c++', 'code-formatting']","{'account_id': 409522, 'reputation': 2721, 'user_id': 1132178, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/55730472ea4a3905a0418025ff3afd5d?s=256&d=identicon&r=PG', 'display_name': 'iikkoo', 'link': 'https://stackoverflow.com/users/1132178/iikkoo'}",True,46616,14,206,1653684234,1331735968,1653683333.0,9704083,CC BY-SA 4.0,https://stackoverflow.com/questions/9704083/unnecessary-curly-braces-in-c,Unnecessary curly braces in C++,9704126.0,,,,,
43,"['c++', 'arrays', 'file', 'casting']","{'account_id': 1306743, 'reputation': 1665, 'user_id': 1255592, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/f57b21aba9aef99e098ae19d3fffbebb?s=256&d=identicon&r=PG', 'display_name': 'midnightBlue', 'link': 'https://stackoverflow.com/users/1255592/midnightblue'}",False,292,1,0,1653544060,1331668966,1653544060.0,9691216,CC BY-SA 4.0,https://stackoverflow.com/questions/9691216/writing-array-to-file-code-does-not-work-c,Writing array to file code does not work (C++),,,,,,
44,"['c++', 'qt']","{'account_id': 1257749, 'reputation': 211, 'user_id': 1216853, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/2142049d32ece0114ce17719377c216c?s=256&d=identicon&r=PG', 'display_name': 'DragonDrop', 'link': 'https://stackoverflow.com/users/1216853/dragondrop'}",True,5053,4,2,1653531871,1331242651,,9625343,CC BY-SA 3.0,https://stackoverflow.com/questions/9625343/qinputdialog-with-multiline-text,QInputDialog with Multiline text,9625818.0,,,,,
45,"['c++', 'c', 'data-structures', 'header-files']","{'account_id': 451606, 'reputation': 143, 'user_id': 847587, 'user_type': 'registered', 'accept_rate': 29, 'profile_image': 'https://www.gravatar.com/avatar/7c42df2b7860fb0c711954eeb5590e6a?s=256&d=identicon&r=PG', 'display_name': 'Sachin Sabbarwal', 'link': 'https://stackoverflow.com/users/847587/sachin-sabbarwal'}",True,1834,4,0,1653206259,1331281351,1331281731.0,9630905,CC BY-SA 3.0,https://stackoverflow.com/questions/9630905/is-there-any-header-file-in-c-or-c-to-implement-data-structures-like-graph-tre,"Is there any header file in c or c++ to implement data structures like graph,trees etc?",9630947.0,,,,,
46,"['c++', 'signal-processing', 'fft', 'pitch']","{'account_id': 925322, 'reputation': 3528, 'user_id': 956216, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/d6b81013116add6ca35b3ed47d8df173?s=256&d=identicon&r=PG', 'display_name': 'Adam', 'link': 'https://stackoverflow.com/users/956216/adam'}",True,4770,3,4,1652354933,1331188267,1331238204.0,9613768,CC BY-SA 3.0,https://stackoverflow.com/questions/9613768/multiple-pitch-detection-fft-or-other,Multiple pitch detection: FFT or other?,9626849.0,,,,,
47,"['c++', 'image-processing', 'opencv', 'k-means', 'noise-reduction']","{'account_id': 192504, 'reputation': 11268, 'user_id': 433685, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/1d20b1339a3743da887052b2c6099c0f?s=256&d=identicon&r=PG', 'display_name': 'nkint', 'link': 'https://stackoverflow.com/users/433685/nkint'}",True,34654,3,18,1651832508,1330989758,1592644375.0,9575652,CC BY-SA 4.0,https://stackoverflow.com/questions/9575652/opencv-using-k-means-to-posterize-an-image,OpenCV using k-means to posterize an image,9608527.0,,,,,
48,"['c++', 'enums', 'language-design']","{'account_id': 9263, 'reputation': 27656, 'user_id': 17027, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/fb75fbfd9dd8d93d49ff88c152d82c92?s=256&d=identicon&r=PG', 'display_name': 'Mahmoud Al-Qudsi', 'link': 'https://stackoverflow.com/users/17027/mahmoud-al-qudsi'}",True,368,2,2,1651781260,1332370657,1651781260.0,9814074,CC BY-SA 4.0,https://stackoverflow.com/questions/9814074/rationale-behind-enum-access-semantics-in-c,Rationale behind enum access semantics in C++,9814145.0,,,,,
49,"['c++', 'input']","{'user_type': 'does_not_exist', 'display_name': 'user1116768'}",True,11684,3,13,1651708975,1330793516,,9547868,,https://stackoverflow.com/questions/9547868/is-there-a-way-to-get-user-input-without-pressing-the-enter-key,Is there a way to get user input without pressing the enter key?,9547954.0,1651709424.0,Duplicate,,,
