,tags,owner,is_answered,view_count,closed_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,closed_reason,title,content_license,protected_date,migrated_from,community_owned_date,locked_date
10,"['c++', 'g++', 'compiler-warnings']","{'account_id': 73891, 'reputation': 52035, 'user_id': 212555, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/b7bbc26a53917230eb17d1f8cd4b3dda?s=256&d=identicon&r=PG', 'display_name': 'Brendan Long', 'link': 'https://stackoverflow.com/users/212555/brendan-long'}",True,33668,,12222509.0,6,81,1664472433,1346446879,,12222417,https://stackoverflow.com/questions/12222417/why-should-i-initialize-member-variables-in-the-order-theyre-declared-in,,Why should I initialize member variables in the order they&#39;re declared in?,CC BY-SA 3.0,,,,
11,"['c++', 'macos']","{'account_id': 1878651, 'reputation': 93, 'user_id': 1699294, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/df05d872e505f775815b99812a03fc08?s=256&d=identicon&r=PG', 'display_name': 'axysharma', 'link': 'https://stackoverflow.com/users/1699294/axysharma'}",True,1098,,,2,2,1664322384,1348640030,1348642573.0,12595584,https://stackoverflow.com/questions/12595584/how-to-use-gethostbyname-r-in-mac-os,,How to use gethostbyname_r in MAC OS,CC BY-SA 3.0,,,,
12,"['c++', 'linker-errors', 'undefined-reference', 'c++-faq', 'unresolved-external']","{'account_id': 342531, 'reputation': 249145, 'user_id': 673730, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/5d1e4893fe7a566e6e4b90876b642163?s=256&d=identicon&r=PG', 'display_name': 'Luchian Grigore', 'link': 'https://stackoverflow.com/users/673730/luchian-grigore'}",True,845365,,12573818.0,38,1744,1664276193,1348525660,1620236605.0,12573816,https://stackoverflow.com/questions/12573816/what-is-an-undefined-reference-unresolved-external-symbol-error-and-how-do-i-fix,,What is an undefined reference/unresolved external symbol error and how do I fix it?,CC BY-SA 4.0,1413618238.0,,,
13,"['c++', 'floating-point', 'default', 'precision', 'rounding']","{'account_id': 1162208, 'reputation': 24989, 'user_id': 1141493, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/25452a0e44babf480d85311e5ece4421?s=256&d=identicon&r=PG', 'display_name': 'kiriloff', 'link': 'https://stackoverflow.com/users/1141493/kiriloff'}",True,41994,,12560367.0,5,31,1662279338,1348470231,1568715444.0,12560291,https://stackoverflow.com/questions/12560291/set-back-default-floating-point-print-precision-in-c,,Set back default floating point print precision in C++,CC BY-SA 4.0,,,,
14,"['c++', 'closures', 'lexical-closures']","{'account_id': 1624825, 'reputation': 1687, 'user_id': 1500588, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/b222c2755924f9e64ff9d3e76b9b7f5b?s=256&d=identicon&r=PG', 'display_name': 'Parvinder Singh', 'link': 'https://stackoverflow.com/users/1500588/parvinder-singh'}",True,52181,,12635227.0,7,62,1660940598,1348815902,1530117302.0,12635184,https://stackoverflow.com/questions/12635184/do-we-have-closures-in-c,,Do we have closures in C++?,CC BY-SA 4.0,,,,
15,"['c++', 'function', 'syntax', 'inline']","{'account_id': 1082519, 'reputation': 31098, 'user_id': 1079110, 'user_type': 'registered', 'accept_rate': 96, 'profile_image': 'https://i.stack.imgur.com/07tNg.jpg?s=256&g=1', 'display_name': 'danijar', 'link': 'https://stackoverflow.com/users/1079110/danijar'}",True,61901,,12483809.0,4,51,1660851279,1347996823,1660851279.0,12483753,https://stackoverflow.com/questions/12483753/how-do-define-anonymous-functions-in-c,,How do define anonymous functions in C++?,CC BY-SA 4.0,,,,
16,"['c++', 'linux', 'exception-handling']","{'account_id': 1816843, 'reputation': 2959, 'user_id': 1651768, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/cd6576813a16bcb6d35249000b3e7cce?s=256&d=identicon&r=PG', 'display_name': 'Shamdor', 'link': 'https://stackoverflow.com/users/1651768/shamdor'}",True,30394,,12348164.0,2,13,1660835120,1347266212,,12347981,https://stackoverflow.com/questions/12347981/terminate-called-recursively,,terminate called recursively,CC BY-SA 3.0,,,,
17,"['c++', 'googletest', 'googlemock']","{'account_id': 178526, 'reputation': 3199, 'user_id': 410560, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/a59fb487f95f0d833fb40b9959a67988?s=256&d=identicon&r=PG', 'display_name': 'Stefano', 'link': 'https://stackoverflow.com/users/410560/stefano'}",True,22275,,12340578.0,2,14,1659673284,1347205323,1611576380.0,12340470,https://stackoverflow.com/questions/12340470/compare-containers-with-googletest,,Compare containers with GoogleTest,CC BY-SA 4.0,,,,
18,"['c++', 'winapi', 'mingw']","{'account_id': 1851199, 'reputation': 299, 'user_id': 1677734, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/e64d376ea30d076c2f042bc1efd3d390?s=256&d=identicon&r=PG', 'display_name': 'leggo', 'link': 'https://stackoverflow.com/users/1677734/leggo'}",True,47630,,12460812.0,4,23,1659202432,1347889889,1347890119.0,12460712,https://stackoverflow.com/questions/12460712/convert-lpwstr-to-string,,Convert LPWSTR to string,CC BY-SA 3.0,,,,
19,"['c++', 'unit-testing', 'googlemock']","{'account_id': 1867620, 'reputation': 11, 'user_id': 1690768, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/38656128a1a13d255747ed3e694536fc?s=256&d=identicon&r=PG', 'display_name': 'user1690768', 'link': 'https://stackoverflow.com/users/1690768/user1690768'}",True,1458,,,1,1,1658805707,1348312819,1658805707.0,12543274,https://stackoverflow.com/questions/12543274/gmock-error-is-mock-method11-not-allowed,,GMOCK Error: Is MOCK_METHOD11 not allowed,CC BY-SA 4.0,,,,
20,"['c++', 'c', 'clang']","{'account_id': 469918, 'reputation': 1255, 'user_id': 876824, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/64a22fce2265b0ae4eef3942443f4839?s=256&d=identicon&r=PG', 'display_name': 'sunny2016', 'link': 'https://stackoverflow.com/users/876824/sunny2016'}",True,8250,,12498724.0,3,13,1658431992,1347979749,,12479458,https://stackoverflow.com/questions/12479458/how-to-build-clang-with-clang,,How to build clang with clang?,CC BY-SA 3.0,,,,
21,"['c++', 'algorithm']","{'account_id': 153379, 'reputation': 16199, 'user_id': 368599, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://www.gravatar.com/avatar/66980d1eac668f75552936922491cd82?s=256&d=identicon&r=PG', 'display_name': 'Samaursa', 'link': 'https://stackoverflow.com/users/368599/samaursa'}",True,415,,12443704.0,3,7,1657737800,1347756706,1657737800.0,12443621,https://stackoverflow.com/questions/12443621/why-dont-stdalgorithms-work-directly-on-containers-as-well,,Why don&#39;t std::algorithms work directly on containers as well?,CC BY-SA 4.0,,,,
22,"['c++', 'file-io', 'stream']","{'account_id': 297339, 'reputation': 3078, 'user_id': 602798, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/2KGux.jpg?s=256&g=1', 'display_name': 'Arun', 'link': 'https://stackoverflow.com/users/602798/arun'}",True,8122,,12365984.0,2,18,1657719568,1347350234,1347350815.0,12365218,https://stackoverflow.com/questions/12365218/c-file-stream-open-modes-ambiguity,,C++ file stream open modes ambiguity,CC BY-SA 3.0,,,,
23,"['c++', 'image-processing', 'opencv', 'enums', 'image-formats']","{'account_id': 130290, 'reputation': 8241, 'user_id': 1133286, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/e56d25a40f2c0e4e6696b9738877fce8?s=256&d=identicon&r=PG', 'display_name': 'solvingPuzzles', 'link': 'https://stackoverflow.com/users/1133286/solvingpuzzles'}",True,39697,,12335965.0,3,23,1656670013,1347151725,,12335663,https://stackoverflow.com/questions/12335663/getting-enum-names-e-g-cv-32fc1-of-opencv-image-types,,Getting enum names (e.g. CV_32FC1) of OpenCV image types?,CC BY-SA 3.0,,,,
24,"['c++', 'double-dispatch']","{'account_id': 1552754, 'reputation': 237, 'user_id': 1444768, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e10b2309356546ae3aca0e5c3af00d1f?s=256&d=identicon&r=PG', 'display_name': 'gartenzwerg', 'link': 'https://stackoverflow.com/users/1444768/gartenzwerg'}",True,17370,,12582114.0,4,22,1656635056,1348572588,,12582040,https://stackoverflow.com/questions/12582040/understanding-double-dispatch-c,,Understanding double dispatch C++,CC BY-SA 3.0,,,,
25,"['c++', 'windows', 'filesystems', 'directory', 'mingw']","{'account_id': 1582023, 'reputation': 3348, 'user_id': 1467202, 'user_type': 'registered', 'accept_rate': 95, 'profile_image': 'https://www.gravatar.com/avatar/a08ba466953435a072ca8a285a58a736?s=256&d=identicon&r=PG', 'display_name': 'kjh', 'link': 'https://stackoverflow.com/users/1467202/kjh'}",True,12515,,12658081.0,2,4,1656199617,1348969361,1408915667.0,12657980,https://stackoverflow.com/questions/12657980/direct-h-documentation,,direct.h documentation,CC BY-SA 3.0,,,,
26,"['c++', 'c++11']","{'user_type': 'does_not_exist', 'display_name': 'user1599559'}",True,35534,,12397568.0,7,46,1655683258,1347493359,,12397532,https://stackoverflow.com/questions/12397532/access-index-in-range-for-loop,,Access index in range-for loop,CC BY-SA 3.0,,,,
27,"['c++', 'boost', 'boost-multi-array']","{'account_id': 926403, 'reputation': 2916, 'user_id': 957121, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/af5de311d35a52d7c5feaf9784e06a51?s=256&d=identicon&r=PG', 'display_name': 'user957121', 'link': 'https://stackoverflow.com/users/957121/user957121'}",False,341,,,2,0,1655235351,1348918070,,12652294,https://stackoverflow.com/questions/12652294/compile-error-on-boostmulti-array-builder,,Compile error on boost::multi_array builder,CC BY-SA 3.0,,,,
28,"['c++', 'boost', 'iterator', 'boost-multi-array']","{'account_id': 19191, 'reputation': 2437, 'user_id': 44738, 'user_type': 'registered', 'accept_rate': 62, 'profile_image': 'https://www.gravatar.com/avatar/8ed4273432b7fd627d6a328813b3c82d?s=256&d=identicon&r=PG', 'display_name': 'foxcub', 'link': 'https://stackoverflow.com/users/44738/foxcub'}",False,390,,,2,2,1655231094,1348594597,,12588221,https://stackoverflow.com/questions/12588221/iterating-over-a-boost-multi-array-view,,Iterating over a Boost multi_array view,CC BY-SA 3.0,,,,
29,"['c++', 'clock', 'timing']","{'account_id': 365713, 'reputation': 2518, 'user_id': 710805, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://www.gravatar.com/avatar/ecb0373e5f036a9bbecf94cb5e3219ad?s=256&d=identicon&r=PG', 'display_name': 'blaze', 'link': 'https://stackoverflow.com/users/710805/blaze'}",True,97460,,12231231.0,5,66,1655111935,1346531615,1373087711.0,12231166,https://stackoverflow.com/questions/12231166/timing-algorithm-clock-vs-time-in-c,,Timing algorithm: clock() vs time() in C++,CC BY-SA 3.0,,,,
30,"['c++', 'linux', 'gcc']","{'account_id': 108918, 'reputation': 19849, 'user_id': 1018562, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/ca58bb22c2bf586eb0c11e94d79d031e?s=256&d=identicon&r=PG', 'display_name': 'pythonic', 'link': 'https://stackoverflow.com/users/1018562/pythonic'}",True,11673,,12601815.0,3,6,1654781234,1348662612,,12601759,https://stackoverflow.com/questions/12601759/determine-if-a-process-exists-from-its-process-id,,Determine if a process exists from its Process ID,CC BY-SA 3.0,,,,
31,"['c++', 'polymorphism', 'virtual-functions', 'diamond-problem']","{'account_id': 980444, 'reputation': 2279, 'user_id': 1000290, 'user_type': 'registered', 'accept_rate': 72, 'profile_image': 'https://www.gravatar.com/avatar/765a148b3022ef1ccf1af2cba0f2339f?s=256&d=identicon&r=PG', 'display_name': 'tdihp', 'link': 'https://stackoverflow.com/users/1000290/tdihp'}",True,72872,,12616108.0,2,11,1653877828,1348729574,,12615904,https://stackoverflow.com/questions/12615904/g-because-the-following-virtual-functions-are-pure-with-abstract-base-class,,g++ &quot;because the following virtual functions are pure&quot; with abstract base class,CC BY-SA 3.0,,,,
32,"['c++', 'segmentation-fault']","{'account_id': 1641797, 'reputation': 147, 'user_id': 1514087, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/7f97f34e51611b5570c51e306121e881?s=256&d=identicon&r=PG', 'display_name': 'singingsingh', 'link': 'https://stackoverflow.com/users/1514087/singingsingh'}",True,2156,,12411017.0,4,7,1653574382,1347550939,1347603460.0,12410016,https://stackoverflow.com/questions/12410016/why-dont-i-get-a-segmentation-fault-when-i-write-beyond-the-end-of-an-array,,Why don&#39;t I get a segmentation fault when I write beyond the end of an array?,CC BY-SA 3.0,,,,
33,['c++'],"{'account_id': 1629476, 'reputation': 3627, 'user_id': 1504331, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/0670cf5e6f96b1be9b49e0bb4f833fdd?s=256&d=identicon&r=PG', 'display_name': 'Natalie Carr', 'link': 'https://stackoverflow.com/users/1504331/natalie-carr'}",True,1059,1652402880.0,12638978.0,3,0,1652385515,1348830577,,12638864,https://stackoverflow.com/questions/12638864/check-input-is-a-valid-integer,Duplicate,Check input is a valid integer,,,,,
34,"['c++', 'linux', 'memory-leaks', 'valgrind']","{'account_id': 949509, 'reputation': 8477, 'user_id': 975959, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/7ryXR.jpg?s=256&g=1', 'display_name': 'La bla bla', 'link': 'https://stackoverflow.com/users/975959/la-bla-bla'}",True,454,,,2,0,1651073201,1346968304,1651073201.0,12308927,https://stackoverflow.com/questions/12308927/understanding-valgrinds-output,,Understanding Valgrind&#39;s output,CC BY-SA 4.0,,,,
35,"['c++', 'c', 'macros', 'c-preprocessor']","{'account_id': 1450094, 'reputation': 979, 'user_id': 1367292, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/79fb0b98d049c45a64f131dd93dae74f?s=256&d=identicon&r=PG', 'display_name': 'user1367292', 'link': 'https://stackoverflow.com/users/1367292/user1367292'}",True,58502,,12447616.0,6,74,1650536685,1347804668,1511788396.0,12447557,https://stackoverflow.com/questions/12447557/can-we-have-recursive-macros,,Can we have recursive macros?,CC BY-SA 3.0,,,,
36,['c++'],"{'account_id': 1752417, 'reputation': 25, 'user_id': 1601209, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f52be28aae1007b2f1b255877d36c814?s=256&d=identicon&r=PG', 'display_name': 'paulius juoz', 'link': 'https://stackoverflow.com/users/1601209/paulius-juoz'}",True,99,1347629328.0,12425371.0,2,0,1649760800,1347628461,1649760800.0,12425337,https://stackoverflow.com/questions/12425337/random-output-when-computing-power,too localized,Random output when computing power,,,,,
37,"['c++', 'stack']","{'account_id': 485176, 'reputation': 1536, 'user_id': 901336, 'user_type': 'registered', 'accept_rate': 61, 'profile_image': 'https://www.gravatar.com/avatar/7bc1eb93a20872bafc2b872487b8e744?s=256&d=identicon&r=PG', 'display_name': 'John', 'link': 'https://stackoverflow.com/users/901336/john'}",True,29766,,12631582.0,7,10,1649481062,1348788348,1348792203.0,12631514,https://stackoverflow.com/questions/12631514/how-can-i-print-out-the-contents-of-stdstack-and-return-its-size,,How can I print out the contents of std::stack and return its size?,CC BY-SA 3.0,,,,
38,"['c++', 'visual-studio-2008', 'include']","{'account_id': 1778775, 'reputation': 781, 'user_id': 1622006, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/625744e50870607ab24dc6f2fde19fb4?s=256&d=identicon&r=PG', 'display_name': 'Nabijon', 'link': 'https://stackoverflow.com/users/1622006/nabijon'}",True,175410,,12490073.0,15,50,1648360441,1348038678,1648360441.0,12490015,https://stackoverflow.com/questions/12490015/visual-studio-cant-see-my-included-header-files,,Visual Studio can&#39;t &#39;see&#39; my included header files,CC BY-SA 4.0,,,,
39,"['c++', 'c++11', 'thread-safety', 'atomic', 'memory-model']","{'user_type': 'does_not_exist', 'display_name': 'user34537'}",True,40977,,14091836.0,3,92,1648329023,1347259184,1367961026.0,12346487,https://stackoverflow.com/questions/12346487/what-do-each-memory-order-mean,,What do each memory_order mean?,CC BY-SA 3.0,,,,
40,"['c++', 'linux', 'sockets']","{'account_id': 203415, 'reputation': 672, 'user_id': 451053, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/97184db8649f5f0fb2d518a00c4c1124?s=256&d=identicon&r=PG', 'display_name': 'Alex', 'link': 'https://stackoverflow.com/users/451053/alex'}",True,4688,,,2,2,1647016282,1347371748,1347372844.0,12371385,https://stackoverflow.com/questions/12371385/how-to-specify-which-interface-to-use-for-a-socket-in-linux,,how to specify which interface to use for a socket in linux,CC BY-SA 3.0,,,,
41,"['c++', 'algorithm', 'c++11']","{'account_id': 452828, 'reputation': 94, 'user_id': 849474, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2ce3ae03142ba962ecf91641231bb6eb?s=256&d=identicon&r=PG', 'display_name': 'chandras', 'link': 'https://stackoverflow.com/users/849474/chandras'}",True,404,,,3,1,1645682148,1348631178,1348637365.0,12594254,https://stackoverflow.com/questions/12594254/search-from-a-range-of-integers,,Search from a range of integers,CC BY-SA 3.0,,,,
42,['c++'],"{'account_id': 1629476, 'reputation': 3627, 'user_id': 1504331, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/0670cf5e6f96b1be9b49e0bb4f833fdd?s=256&d=identicon&r=PG', 'display_name': 'Natalie Carr', 'link': 'https://stackoverflow.com/users/1504331/natalie-carr'}",True,25375,,12510498.0,6,8,1645420212,1348135962,,12510454,https://stackoverflow.com/questions/12510454/check-if-integer-is-multiple-of-8,,Check if integer is multiple of 8,CC BY-SA 3.0,,,,
43,"['c++', 'double', 'precision']","{'account_id': 1769398, 'reputation': 141, 'user_id': 1614544, 'user_type': 'registered', 'accept_rate': 0, 'profile_image': 'https://www.gravatar.com/avatar/6f4c510a573e7b10a65285bcdda1f8ef?s=256&d=identicon&r=PG', 'display_name': 'programmingNoob', 'link': 'https://stackoverflow.com/users/1614544/programmingnoob'}",True,14960,,,3,7,1645400679,1347271129,1347272235.0,12349323,https://stackoverflow.com/questions/12349323/setting-the-precision-of-a-double-without-using-stream-ios-baseprecision,,Setting the precision of a double without using stream (ios_base::precision),CC BY-SA 3.0,,,,
44,"['c++', 'file-io', 'ifstream']","{'account_id': 210795, 'reputation': 21016, 'user_id': 462608, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/s9JpE.jpg?s=256&g=1', 'display_name': 'Aquarius_Girl', 'link': 'https://stackoverflow.com/users/462608/aquarius-girl'}",True,1954,,12277020.0,5,1,1645397373,1346831385,,12276834,https://stackoverflow.com/questions/12276834/how-to-read-the-6th-character-from-the-end-of-the-file-ifstream,,How to read the 6th character from the end of the file - ifstream?,CC BY-SA 3.0,,,,
45,"['c++', 'language-lawyer', 'lifetime', 'temporary-objects']","{'account_id': 234137, 'reputation': 127838, 'user_id': 500104, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/ff1143d80ee378720a879e79fe6da68f?s=256&d=identicon&r=PG', 'display_name': 'Xeo', 'link': 'https://stackoverflow.com/users/500104/xeo'}",True,1274,,12554621.0,3,15,1645252249,1348421908,,12554619,https://stackoverflow.com/questions/12554619/what-is-the-lifetime-of-a-default-argument-temporary-bound-to-a-reference-parame,,What is the lifetime of a default argument temporary bound to a reference parameter?,CC BY-SA 3.0,,,,
46,"['c++', 'database', 'oracle11g', 'uint64', 'occi']","{'account_id': 273828, 'reputation': 352, 'user_id': 565678, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://i.stack.imgur.com/4vJMN.jpg?s=256&g=1', 'display_name': 'Marco Fiocco', 'link': 'https://stackoverflow.com/users/565678/marco-fiocco'}",True,1969,,12600096.0,4,1,1643603257,1348248094,1348248954.0,12535202,https://stackoverflow.com/questions/12535202/best-way-to-store-an-unsigned-64-bit-integer-in-oracle-database-11g-using-occi,,Best way to store an unsigned 64 bit integer in Oracle Database 11g using OCCI,CC BY-SA 3.0,,,,
47,"['c++', 'visual-studio', 'visual-studio-2012']","{'account_id': 468403, 'reputation': 1657, 'user_id': 874371, 'user_type': 'registered', 'accept_rate': 40, 'profile_image': 'https://i.stack.imgur.com/Q2c49.jpg?s=256&g=1', 'display_name': 'Iron-Eagle', 'link': 'https://stackoverflow.com/users/874371/iron-eagle'}",True,15666,,12562074.0,6,2,1643352683,1348477519,1361920005.0,12561861,https://stackoverflow.com/questions/12561861/c1xx-fatal-error-c1083-cannot-open-source-file-with-some-chinese-or-javanes,,c1xx : fatal error C1083: Cannot open source file - with some Chinese or Javanese,CC BY-SA 3.0,,,,
48,"['c#', 'c++', 'vb.net', 'visual-studio-2010', 'performance']","{'account_id': 1791825, 'reputation': 2465, 'user_id': 1632018, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/6c58c75d05e1be1b3f56e15fc7357c2b?s=256&d=identicon&r=PG', 'display_name': 'user1632018', 'link': 'https://stackoverflow.com/users/1632018/user1632018'}",True,5308,,12324240.0,5,13,1643132599,1347046033,1347049370.0,12324223,https://stackoverflow.com/questions/12324223/does-having-old-commented-code-and-a-lot-of-whitespaces-in-code-slow-down-perfor,,Does having old commented code and a lot of whitespaces in code slow down performance?,CC BY-SA 3.0,,,,
