,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,protected_date,community_owned_date,closed_date,closed_reason,migrated_from
13,"['c++', 'class', 'object', 'structure']","{'user_type': 'does_not_exist', 'display_name': 'user1156075'}",True,41634,4,0,1665475702,1329381502,1329381835.0,9307942,CC BY-SA 3.0,https://stackoverflow.com/questions/9307942/addition-and-subtraction-of-complex-numbers-using-class-in-c,Addition and subtraction of complex numbers using class in C++,,,,,,
14,"['c++', 'std', 'fstream']","{'account_id': 1017211, 'reputation': 1522, 'user_id': 1028504, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/692d3fd8e03c77743fbe65192f5da7fa?s=256&d=identicon&r=PG', 'display_name': 'YankeeWhiskey', 'link': 'https://stackoverflow.com/users/1028504/yankeewhiskey'}",True,8668,4,3,1665385866,1329072479,1329080008.0,9251581,CC BY-SA 3.0,https://stackoverflow.com/questions/9251581/c-substitution-of-iosnoreplace,C++ substitution of ios::noreplace,9251617.0,,,,,
15,"['c++', 'gdb', 'g++']","{'account_id': 418636, 'reputation': 19671, 'user_id': 795319, 'user_type': 'registered', 'accept_rate': 89, 'profile_image': 'https://www.gravatar.com/avatar/5b759d810e5691383ca0b4723a0ba595?s=256&d=identicon&r=PG', 'display_name': 'dangerChihuahua007', 'link': 'https://stackoverflow.com/users/795319/dangerchihuahua007'}",True,95646,5,45,1665246486,1328243159,,9123676,CC BY-SA 3.0,https://stackoverflow.com/questions/9123676/how-do-i-view-the-value-of-an-optimized-out-variable-in-c,How do I view the value of an &lt;optimized out&gt; variable in C++?,9123691.0,,,,,
16,"['c++', 'windows', 'file', 'directory', 'copy']","{'account_id': 556646, 'reputation': 1147, 'user_id': 1203062, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://i.stack.imgur.com/vhm4s.jpg?s=256&g=1', 'display_name': 'pourjour', 'link': 'https://stackoverflow.com/users/1203062/pourjour'}",True,235786,10,84,1664980781,1328912732,1485251401.0,9235679,CC BY-SA 3.0,https://stackoverflow.com/questions/9235679/create-a-directory-if-it-doesnt-exist,Create a directory if it doesn&#39;t exist,9235708.0,,,,,
17,"['c++', 'linux', 'cmake', 'mingw', 'portability']","{'account_id': 116120, 'reputation': 1691, 'user_id': 304632, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/f02a46935fffe342b816ba7c6c03f381?s=256&d=identicon&r=PG', 'display_name': 'Prasad', 'link': 'https://stackoverflow.com/users/304632/prasad'}",True,165660,10,154,1664352493,1328532440,1537270485.0,9160335,CC BY-SA 4.0,https://stackoverflow.com/questions/9160335/os-specific-instructions-in-cmake-how-to,OS specific instructions in CMAKE: How to?,9160449.0,,,,,
18,"['c++', 'c', 'gcc']","{'account_id': 287280, 'reputation': 17390, 'user_id': 586986, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://i.stack.imgur.com/XOJW1.jpg?s=256&g=1', 'display_name': 'Cemre Meng&#252;', 'link': 'https://stackoverflow.com/users/586986/cemre-meng%c3%bc'}",True,2332,6,8,1663512857,1328993707,,9243994,CC BY-SA 3.0,https://stackoverflow.com/questions/9243994/gcc-g-output-type,gcc/g++ output type,9244030.0,,,,,
19,"['c++', 'performance', 'visual-studio-2010', 'compilation', 'floating-point']","{'account_id': 1254438, 'reputation': 14601, 'user_id': 1214219, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/108e0f542061720793bffdfed4c25458?s=256&d=identicon&r=PG', 'display_name': 'GlassFish', 'link': 'https://stackoverflow.com/users/1214219/glassfish'}",True,158506,6,1640,1663433603,1329407919,1575127893.0,9314534,CC BY-SA 4.0,https://stackoverflow.com/questions/9314534/why-does-changing-0-1f-to-0-slow-down-performance-by-10x,Why does changing 0.1f to 0 slow down performance by 10x?,9314926.0,1545281174.0,,,,
20,"['c++', 'opencv', 'image-processing', 'libraries']","{'account_id': 386861, 'reputation': 21833, 'user_id': 744859, 'user_type': 'registered', 'accept_rate': 92, 'profile_image': 'https://www.gravatar.com/avatar/0e0ac290b833189cfaab8b5b060db879?s=256&d=identicon&r=PG', 'display_name': 'Jav_Rock', 'link': 'https://stackoverflow.com/users/744859/jav-rock'}",True,33334,7,24,1663228967,1328258386,1419000158.0,9125817,CC BY-SA 3.0,https://stackoverflow.com/questions/9125817/opencv-imreadfilename-fails-in-debug-mode-when-using-release-libraries,OpenCV imread(filename) fails in debug mode when using release libraries,9134106.0,,,,,
21,['c++'],"{'account_id': 1232603, 'reputation': 140, 'user_id': 1196861, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/ZKpn8.jpg?s=256&g=1', 'display_name': 'Hristijan Gjorshevski', 'link': 'https://stackoverflow.com/users/1196861/hristijan-gjorshevski'}",True,70319,2,5,1661743922,1328696583,,9191428,CC BY-SA 3.0,https://stackoverflow.com/questions/9191428/maze-solving-algorithm-in-c,Maze Solving Algorithm in C++,,,,,,
22,"['c++', 'stl', 'multiset']","{'account_id': 224418, 'reputation': 4596, 'user_id': 484230, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/3d558a3b98b144707ae0d006717d8f66?s=256&d=identicon&r=PG', 'display_name': 'Martin', 'link': 'https://stackoverflow.com/users/484230/martin'}",True,53230,9,107,1661197287,1328564818,1345370082.0,9167745,CC BY-SA 3.0,https://stackoverflow.com/questions/9167745/in-stdmultiset-is-there-a-function-or-algorithm-to-erase-just-one-sample-unic,In std::multiset is there a function or algorithm to erase just one sample (unicate or duplicate) if an element is found,,,,,,
23,"['c++', 'c', 'sqlite']","{'account_id': 382074, 'reputation': 389, 'user_id': 737088, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/156c20e6445524084e2544fb800a29e9?s=256&d=identicon&r=PG', 'display_name': 'jobobo', 'link': 'https://stackoverflow.com/users/737088/jobobo'}",True,1150,1,-1,1660228819,1330389524,,9474680,CC BY-SA 3.0,https://stackoverflow.com/questions/9474680/sqlite-scientific-notation-during-select,sqlite scientific notation during select,9475045.0,,,,,
24,"['c++', 'mingw', 'protocol-buffers']","{'account_id': 1189283, 'reputation': 1419, 'user_id': 1162522, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://www.gravatar.com/avatar/4e8448105c91ff3d2b9d23bc546e6a43?s=256&d=identicon&r=PG', 'display_name': 'Alex', 'link': 'https://stackoverflow.com/users/1162522/alex'}",True,23930,4,23,1660026619,1328992380,1442213159.0,9243816,CC BY-SA 3.0,https://stackoverflow.com/questions/9243816/how-to-build-googles-protobuf-in-windows-using-mingw,How to build Google&#39;s protobuf in Windows using MinGW?,9244456.0,,,,,
25,"['c++', 'string', 'vector']","{'account_id': 192504, 'reputation': 11268, 'user_id': 433685, 'user_type': 'registered', 'accept_rate': 73, 'profile_image': 'https://www.gravatar.com/avatar/1d20b1339a3743da887052b2c6099c0f?s=256&d=identicon&r=PG', 'display_name': 'nkint', 'link': 'https://stackoverflow.com/users/433685/nkint'}",True,55270,10,45,1659984471,1329226940,1329228894.0,9277906,CC BY-SA 3.0,https://stackoverflow.com/questions/9277906/stdvector-to-string-with-custom-delimiter,std::vector to string with custom delimiter,9278001.0,,,,,
26,"['c++', 'c', 'linux', 'email', 'gmail']","{'account_id': 1254905, 'reputation': 187, 'user_id': 1214587, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://www.gravatar.com/avatar/e1aa5dce9a3c30d536c0005a37a9b164?s=256&d=identicon&r=PG', 'display_name': 'Madagascar', 'link': 'https://stackoverflow.com/users/1214587/madagascar'}",True,34338,5,14,1659948183,1329418485,1329418573.0,9317305,CC BY-SA 3.0,https://stackoverflow.com/questions/9317305/sending-an-email-from-a-c-c-program-in-linux,sending an email from a C/C++ program in linux,9317444.0,,,,,
27,"['c++', 'unit-testing', 'mocking', 'googlemock']","{'account_id': 1080192, 'reputation': 7005, 'user_id': 1077385, 'user_type': 'registered', 'accept_rate': 49, 'profile_image': 'https://i.stack.imgur.com/CIuPw.jpg?s=256&g=1', 'display_name': 'fhnaseer', 'link': 'https://stackoverflow.com/users/1077385/fhnaseer'}",True,337,1,1,1658805731,1328790793,1658805731.0,9210907,CC BY-SA 4.0,https://stackoverflow.com/questions/9210907/google-mock-help-required,"Google Mock Help Required,",9211039.0,,,,,
28,['c++'],"{'account_id': 205095, 'reputation': 18916, 'user_id': 453673, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://i.stack.imgur.com/QhMRI.png?s=256&g=1', 'display_name': 'Nav', 'link': 'https://stackoverflow.com/users/453673/nav'}",True,38858,4,17,1658595171,1328672955,1621333149.0,9187616,CC BY-SA 4.0,https://stackoverflow.com/questions/9187616/three-forward-slashes-for-block-commenting,Three forward slashes for block commenting?,9187657.0,,,,,
29,"['c++', 'visual-studio', 'add-in']","{'account_id': 8159, 'reputation': 890, 'user_id': 14535, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/5448807f2897a7a394c3561c5c20747f?s=256&d=identicon&r=PG', 'display_name': 'cos', 'link': 'https://stackoverflow.com/users/14535/cos'}",True,2765,1,15,1658515783,1329136039,1658515783.0,9260500,CC BY-SA 4.0,https://stackoverflow.com/questions/9260500/how-can-i-sort-method-implementations-according-to-their-declaration-order,How can I sort method implementations according to their declaration order,,,,,,
30,"['c++', 'tree', 'iterator', 'quadtree']","{'account_id': 382451, 'reputation': 81, 'user_id': 737674, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bf84ea3e21f5f68f983791114c1fcc68?s=256&d=identicon&r=PG', 'display_name': 'Matt Mils', 'link': 'https://stackoverflow.com/users/737674/matt-mils'}",True,4596,3,8,1658331679,1328291148,,9133059,CC BY-SA 3.0,https://stackoverflow.com/questions/9133059/quadtree-traversal,Quadtree traversal,,,,,,
31,"['c++', 'object', 'default', 'arguments']","{'account_id': 1115701, 'reputation': 1069, 'user_id': 1210279, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/4f7150791487cf3c02f1cb4f8032d58b?s=256&d=identicon&r=PG', 'display_name': 'tuzzer', 'link': 'https://stackoverflow.com/users/1210279/tuzzer'}",True,23430,4,56,1658288693,1329267708,1658288693.0,9286533,CC BY-SA 4.0,https://stackoverflow.com/questions/9286533/how-to-use-a-member-variable-as-a-default-argument-in-c,How to use a member variable as a default argument in C++?,9286558.0,,,,,
32,"['c++', 'string', 'character']","{'account_id': 79304, 'reputation': 57057, 'user_id': 224988, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/7XElg.jpg?s=256&g=1', 'display_name': 'Moshe', 'link': 'https://stackoverflow.com/users/224988/moshe'}",True,94347,10,20,1658154110,1329855102,1329855808.0,9384448,CC BY-SA 3.0,https://stackoverflow.com/questions/9384448/how-many-bytes-does-a-string-take-a-char,How many bytes does a string take? A char?,9384476.0,,,,,
33,"['c++', 'arrays', 'class', 'object']","{'account_id': 1259644, 'reputation': 169, 'user_id': 1218328, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c76d460f6c015cff172a622b1d76f24a?s=256&d=identicon&r=PG', 'display_name': 'Kardsen', 'link': 'https://stackoverflow.com/users/1218328/kardsen'}",True,72512,4,16,1657898712,1329584226,1443546724.0,9343148,CC BY-SA 3.0,https://stackoverflow.com/questions/9343148/a-pointer-to-a-bound-function-may-only-be-used-to-call-the-function,A pointer to a bound function may only be used to call the function,,,,,,
34,"['c++', 'modulo']","{'account_id': 996097, 'reputation': 5236, 'user_id': 1011990, 'user_type': 'registered', 'accept_rate': 94, 'profile_image': 'https://www.gravatar.com/avatar/fdc1be08b606b41450eaf0796683e989?s=256&d=identicon&r=PG', 'display_name': 'Bhaxy', 'link': 'https://stackoverflow.com/users/1011990/bhaxy'}",True,242591,4,230,1657573229,1328335358,1418678523.0,9138790,CC BY-SA 3.0,https://stackoverflow.com/questions/9138790/cant-use-modulus-on-doubles,Can&#39;t use modulus on doubles?,9138794.0,,,,,
35,"['c++', 'glog']","{'account_id': 7307, 'reputation': 7602, 'user_id': 12649, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/9eec32a3bf283593835bbc2aff3755f0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Anand', 'link': 'https://stackoverflow.com/users/12649/anand'}",True,2627,1,5,1657565708,1330137416,,9440688,CC BY-SA 3.0,https://stackoverflow.com/questions/9440688/module-wise-verbose-logging-in-google-glog,Module-wise verbose logging in Google glog,,,,,,
36,"['c++', 'c++11']","{'account_id': 550519, 'reputation': 445, 'user_id': 922839, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/193632d10629efe765213de65252212a?s=256&d=identicon&r=PG', 'display_name': 'Kyle', 'link': 'https://stackoverflow.com/users/922839/kyle'}",True,12693,4,37,1657222004,1329585590,1344472976.0,9343329,CC BY-SA 3.0,https://stackoverflow.com/questions/9343329/how-to-know-underlying-type-of-class-enum,How to know underlying type of class enum?,9343465.0,,,,,
37,"['c++', 'c++11', 'shared-ptr']","{'account_id': 127983, 'reputation': 5037, 'user_id': 325519, 'user_type': 'registered', 'accept_rate': 80, 'profile_image': 'https://www.gravatar.com/avatar/63c20a7fe403aad674b6011ba163e2d3?s=256&d=identicon&r=PG', 'display_name': 'Goofy', 'link': 'https://stackoverflow.com/users/325519/goofy'}",True,87714,3,137,1656663773,1328267941,1648142721.0,9127816,CC BY-SA 4.0,https://stackoverflow.com/questions/9127816/stdshared-ptr-thread-safety-explained,std::shared_ptr thread safety explained,13639645.0,,,,,
38,"['c++', 'templates', 'stl', 'template-meta-programming']","{'account_id': 393242, 'reputation': 1418, 'user_id': 755004, 'user_type': 'registered', 'accept_rate': 38, 'profile_image': 'https://www.gravatar.com/avatar/d01b7d0f9cccc3e1cedcfe09c428a4c7?s=256&d=identicon&r=PG', 'display_name': 'Xander Tulip', 'link': 'https://stackoverflow.com/users/755004/xander-tulip'}",True,22859,8,24,1656003635,1329972700,1552008625.0,9407367,CC BY-SA 4.0,https://stackoverflow.com/questions/9407367/determine-if-a-type-is-an-stl-container-at-compile-time,Determine if a type is an STL container at compile time,9407420.0,,,,,
39,"['c++', 'loops', 'for-loop', 'struct']","{'account_id': 997336, 'reputation': 1037, 'user_id': 1012968, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/ecd0055320afc6e3d5157d94529c61c0?s=256&d=identicon&r=PG&f=1', 'display_name': 'sircrisp', 'link': 'https://stackoverflow.com/users/1012968/sircrisp'}",True,12982,5,1,1655938302,1328110530,1360932738.0,9098599,CC BY-SA 3.0,https://stackoverflow.com/questions/9098599/for-loop-skipping-getline,for loop skipping getline,9098904.0,,,,,
40,"['c++', 'windows', 'locale']","{'account_id': 278156, 'reputation': 5403, 'user_id': 572586, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/4837f7d94d6466b2e4a6d4af3551926a?s=256&d=identicon&r=PG', 'display_name': 'cprogrammer', 'link': 'https://stackoverflow.com/users/572586/cprogrammer'}",True,449,2,2,1655906154,1329142020,1329142886.0,9261905,CC BY-SA 3.0,https://stackoverflow.com/questions/9261905/win32-api-to-convert-2-letter-neutral-identifiers-to-language,Win32 Api to convert 2-letter (neutral) identifiers to Language,9263936.0,,,,,
41,"['c++', 'arrays', 'multidimensional-array']","{'account_id': 427315, 'reputation': 1654, 'user_id': 809015, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/ba778facbad1e33e940db4a99826b1ca?s=256&d=identicon&r=PG', 'display_name': 'Michael Taufen', 'link': 'https://stackoverflow.com/users/809015/michael-taufen'}",True,561,3,0,1655786601,1330353345,,9466770,CC BY-SA 3.0,https://stackoverflow.com/questions/9466770/c-iteration-on-nonuniform-multidimensional-arrays,C++ Iteration on nonuniform multidimensional arrays,9466980.0,,,,,
42,"['c++', 'winsock']","{'account_id': 1190019, 'reputation': 1400, 'user_id': 1163054, 'user_type': 'registered', 'accept_rate': 77, 'profile_image': 'https://www.gravatar.com/avatar/592fa24a948c60dd9e382c98f0b8fef1?s=256&d=identicon&r=PG', 'display_name': 'James', 'link': 'https://stackoverflow.com/users/1163054/james'}",True,22871,3,21,1655331982,1328482959,,9153911,CC BY-SA 3.0,https://stackoverflow.com/questions/9153911/is-there-a-difference-between-winsock-h-and-winsock2-h,Is there a difference between &lt;winsock.h&gt; and &lt;winsock2.h&gt;?,9168850.0,,,,,
43,"['c++', 'multithreading', 'c++11', 'stdthread']","{'account_id': 338498, 'reputation': 1812, 'user_id': 667409, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/0ac46f9edf4508a6caec4706efe8246d?s=256&d=identicon&r=PG', 'display_name': 'kispaljr', 'link': 'https://stackoverflow.com/users/667409/kispaljr'}",True,144497,8,109,1655126606,1328092879,1476777068.0,9094422,CC BY-SA 3.0,https://stackoverflow.com/questions/9094422/how-to-check-if-a-stdthread-is-still-running,How to check if a std::thread is still running?,17204246.0,,,,,
44,"['c++', 'algorithm', 'math', 'logic']","{'account_id': 1071534, 'reputation': 2460, 'user_id': 1070659, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/10ca57eebc0af1f4b9f3e6fa5f2b1762?s=256&d=identicon&r=PG', 'display_name': 'Alex Z', 'link': 'https://stackoverflow.com/users/1070659/alex-z'}",True,90778,10,57,1655086858,1329460377,1329461249.0,9323903,CC BY-SA 3.0,https://stackoverflow.com/questions/9323903/most-efficient-elegant-way-to-clip-a-number,Most efficient/elegant way to clip a number?,9324086.0,,,,,
45,"['c++', 'comma-operator']","{'account_id': 1154950, 'reputation': 1006, 'user_id': 1137356, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/546adaf2a6cc299639faa9d183cbd289?s=256&d=identicon&r=PG', 'display_name': 'dreta', 'link': 'https://stackoverflow.com/users/1137356/dreta'}",True,164,4,4,1654630330,1328124739,1654630330.0,9101999,CC BY-SA 4.0,https://stackoverflow.com/questions/9101999/expression-variable-variable-value,"Expression &quot;variable, variable = value;&quot;",9102045.0,,,,,
46,"['c++', 'g++', 'clang', 'cstring', 'clang++']","{'account_id': 428789, 'reputation': 31804, 'user_id': 811335, 'user_type': 'registered', 'accept_rate': 85, 'profile_image': 'https://www.gravatar.com/avatar/ca588e5bfb1ac0a5d8ec8acb422aa564?s=256&d=identicon&r=PG', 'display_name': 'A. K.', 'link': 'https://stackoverflow.com/users/811335/a-k'}",True,35298,3,21,1654112996,1328735664,1376002938.0,9201521,CC BY-SA 3.0,https://stackoverflow.com/questions/9201521/g-4-6-issue-no-bits-cconfig-h-file-as-required-by-the-header-cstring,g++ 4.6 issue no &lt;bits/c++config.h&gt; file as required by the header cstring,9202503.0,,,,,
47,"['c++', 'c', 'security', 'freebsd']","{'account_id': 1251649, 'reputation': 43, 'user_id': 1211953, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b41bc01969e38310b780af38da36364f?s=256&d=identicon&r=PG', 'display_name': 'Tyler Neely', 'link': 'https://stackoverflow.com/users/1211953/tyler-neely'}",True,1691,3,4,1653844817,1329326178,1359108791.0,9298005,CC BY-SA 3.0,https://stackoverflow.com/questions/9298005/how-can-i-disable-aslr-on-freebsd,How can I disable ASLR on FreeBSD?,9298178.0,,,,,
48,"['c++', 'cout']","{'account_id': 1234560, 'reputation': 843, 'user_id': 1198431, 'user_type': 'registered', 'accept_rate': 86, 'profile_image': 'https://www.gravatar.com/avatar/c91bc5d60f52fa3b159eab5af16f9f96?s=256&d=identicon&r=PG', 'display_name': 'spatara', 'link': 'https://stackoverflow.com/users/1198431/spatara'}",True,44058,5,18,1652009908,1330199058,1652009908.0,9447428,CC BY-SA 4.0,https://stackoverflow.com/questions/9447428/this-very-simple-c-program-using-the-standard-library-doesnt-compile-with-gcc,This very simple C++ program using the standard library doesn&#39;t compile with GCC,9447455.0,,,,,
